job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
GIS项目需求分析师,思行伟业,11-20K,北京·海淀区·西三旗,北京,硕士,经验不限,,boss,项目管理 需求分析 解决方案 gis 地理信息,项目管理 需求分析 解决方案 gis 地理信息,https://www.zhipin.com/job_detail/ec0ee1fb052d8add1XF52Nq0GVI~.html
需求分析师-保险经验,上海恒格信息,16-20K,北京·通州区·马驹桥,北京,本科,3-5年,,boss,金融/保险行业项目经验,金融/保险行业项目经验,https://www.zhipin.com/job_detail/52f6bc487de3fb780nJ-2dy9FVpS.html
高级需求分析师,合肥景彦科技有限公司,18-20K,北京·西城区·金融街,北京,大专,5-10年,,boss,Axure Visio 新能源 充电桩,Axure Visio 新能源 充电桩,https://www.zhipin.com/job_detail/6d484f34ceaf32b00nF-29q5E1RW.html
需求分析工程师,信雅达科技股份,14-15K,北京·丰台区·北大地,北京,本科,3-5年,,boss,Oracle/MySQL 金融/保险行业项目经验 财务/金融相关专业 PowerDesigner Axure 计算机/软件工程相关专业,Oracle/MySQL 金融/保险行业项目经验 财务/金融相关专业 PowerDesigner Axure 计算机/软件工程相关专业,https://www.zhipin.com/job_detail/43c0183586022cbc03x-0t-8FFpR.html
系统需求分析师,中铁科,12-20K,北京·海淀区·北下关,北京,本科,经验不限,,boss,需求确认 需求说明 需求调研 需求管理 铁路运输,需求确认 需求说明 需求调研 需求管理 铁路运输,https://www.zhipin.com/job_detail/c60eaf19bc5e3e8e1nJz29W6EltS.html
中级需求分析,北京申朴,12-15K,北京·朝阳区·四惠东,北京,大专,5-10年,,boss,Axure,Axure,https://www.zhipin.com/job_detail/858fd560bee813970nB63tq7ElVU.html
需求分析工程师,中国科学院软件研究所,20-30K,北京·海淀区·知春路,北京,博士,经验不限,,boss,计算机/软件工程相关专业 软件需求分析管理经验,计算机/软件工程相关专业 软件需求分析管理经验,https://www.zhipin.com/job_detail/2a95c278b999f6771XN509-_E1ZX.html
清算需求分析师,深圳某大型金融行业信息系统软件上市公司,25-45K·13薪,北京,北京,大专,经验不限,,boss,SQL,SQL,https://www.zhipin.com/job_detail/907d8c56f56a7d340nF-2d21GFJS.html
需求分析师(银行外包项目),神州信息,14-17K,北京·海淀区·西北旺,北京,本科,5-10年,,boss,Oracle/MySQL,Oracle/MySQL,https://www.zhipin.com/job_detail/903f1756c43c36de1Hd409-9FlVQ.html
需求分析工程师,程易科技,12-24K,北京·朝阳区·三元桥,北京,本科,3-5年,,boss,需求分析 解决方案 敏捷,需求分析 解决方案 敏捷,https://www.zhipin.com/job_detail/4c27a23b219a3e541Xd_2ty8GFM~.html
需求分析师BA,元年科技,15-20K·14薪,北京·海淀区·知春路,北京,大专,3-5年,,boss,软件需求分析 软件实施,软件需求分析 软件实施,https://www.zhipin.com/job_detail/0e7e5051e9b0db6d1nx83tW8GFtQ.html
BA需求分析师（寿险-驻场）,暖哇科技,10-15K,北京·丰台区·六里桥,北京,本科,5-10年,,boss,Visio Axure 软件需求分析管理经验 金融/保险行业项目经验 寿险 风控,Visio Axure 软件需求分析管理经验 金融/保险行业项目经验 寿险 风控,https://www.zhipin.com/job_detail/a01f3e834f5660710nF8296_E1ZY.html
项目需求分析师,北科博研,14-25K,北京·西城区·广安门,北京,本科,3-5年,,boss,需求分析工程师,需求分析工程师,https://www.zhipin.com/job_detail/e12add22094c9bd73nN43d--FFs~.html
项目需求分析师,镁塔科技,10-15K,北京·朝阳区·三元桥,北京,本科,经验不限,,boss,需求分析工程师 IT项目管理 项目经理 项目助理 项目专员 大数据 BI 管理系统,需求分析工程师 IT项目管理 项目经理 项目助理 项目专员 大数据 BI 管理系统,https://www.zhipin.com/job_detail/fb3c9b6f7b27bba233dz29i1Els~.html
需求分析师（保险行业）,高伟达公司,15-20K,北京·朝阳区·国贸,北京,本科,3-5年,,boss,金融/保险行业项目经验,金融/保险行业项目经验,https://www.zhipin.com/job_detail/bd11810fcc2ff0da1Xx70929FVFX.html
需求分析,宇信科技,14-17K,北京·通州区·新华大街,北京,本科,经验不限,,boss,app,app,https://www.zhipin.com/job_detail/d04583d48ab619110nFy09i-ElRQ.html
需求分析工程师,欧斯莱,17-30K,北京·朝阳区·国贸,北京,学历不限,经验不限,,boss,需求分析,需求分析,https://www.zhipin.com/job_detail/49207a723e807cfa0nF82926EVU~.html
需求分析师,博远飞诚,8-13K·14薪,北京·昌平区·回龙观,北京,学历不限,1-3年,,boss,需求调研 原型设计,需求调研 原型设计,https://www.zhipin.com/job_detail/b2a6740db32a70031nN53dm4F1pV.html
需求分析工程师,华如科技,18-25K·13薪,北京,北京,本科,5-10年,,boss,原型设计 软件需求分析 需求调研 技术管理,原型设计 软件需求分析 需求调研 技术管理,https://www.zhipin.com/job_detail/144fbde803b532ad1nF9296-ElBR.html
需求分析师（保险行业）,九安数据,15-20K,北京·西城区·西直门,北京,大专,1-3年,,boss,Axure,Axure,https://www.zhipin.com/job_detail/c63e41d30a89706d1Xx-2dq1GVdW.html
需求分析工程师_北京,维思讯,15-17K,北京·西城区·西直门,北京,大专,5-10年,,boss,财务/金融相关专业 金融/保险行业项目经验 金融实施 互联网实施,财务/金融相关专业 金融/保险行业项目经验 金融实施 互联网实施,https://www.zhipin.com/job_detail/46b122458e826ac70nJ5096_EVJT.html
业务需求分析师,长亮科技,12-16K,北京·丰台区·花乡,北京,本科,3-5年,,boss,财务/金融相关专业 金融/保险行业项目经验 快消/零售行业项目经验 软件需求分析管理经验 计算机/软件工程相关专业,财务/金融相关专业 金融/保险行业项目经验 快消/零售行业项目经验 软件需求分析管理经验 计算机/软件工程相关专业,https://www.zhipin.com/job_detail/56e59fdc53c75dc80nJ62927EldR.html
双休不加班 需求分析工程师助理,亳州市初灵信息科技,9-14K·13薪,北京,北京,本科,经验不限,,boss,五险一金 底薪+绩效2k 包吃住或补贴,五险一金 底薪+绩效2k 包吃住或补贴,https://www.zhipin.com/job_detail/3c29307941577e2d03Z929W4E1dR.html
