job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
项目经理,北京晟世养老有限公司,16-30K,北京·朝阳区·朝外,北京,大专,经验不限,,boss,团队管理经验 PMP 计算机相关专业 销售支持/交付管理 管理相关专业 售前支持经验 软件研发经验,团队管理经验 PMP 计算机相关专业 销售支持/交付管理 管理相关专业 售前支持经验 软件研发经验,https://www.zhipin.com/job_detail/5777b5dc922f553f031_29m_EVJS.html
水务项目经理,京鲲腾源,12-14K,北京·怀柔区·雁栖,北京,本科,10年以上,,boss,企业内部技术项目管理,企业内部技术项目管理,https://www.zhipin.com/job_detail/f3d0b251230a2ef90nFz3Ny7ElZQ.html
运维项目经理,北京博奇电力科技,17-22K,北京·朝阳区·来广营,北京,大专,5-10年,,boss,霍州地区须持有B证,霍州地区须持有B证,https://www.zhipin.com/job_detail/91854c4459b9cce70nJ50ty8FFpQ.html
项目经理/主管,上海思芮,9-13K,北京·石景山区·苹果园,北京,本科,1-3年,,boss,管理相关专业 大数据项目管理经验 中大型软件项目管理经验 ERP项目管理经验 团队管理经验,管理相关专业 大数据项目管理经验 中大型软件项目管理经验 ERP项目管理经验 团队管理经验,https://www.zhipin.com/job_detail/514bbe8a84e39e8a0nJ-2dq5EFdV.html
项目经理/主管,杭州悦数,20-30K,北京·海淀区·五棵松,北京,大专,经验不限,,boss,PMP,PMP,https://www.zhipin.com/job_detail/0b16642c1fb88b480nFz09i8FlRS.html
项目经理（施工总承包）,华伟投资,15-25K,北京·朝阳区·亚运村,北京,大专,5-10年,,boss,ERP项目管理经验 团队管理经验 实施交付经验 管理相关专业,ERP项目管理经验 团队管理经验 实施交付经验 管理相关专业,https://www.zhipin.com/job_detail/1a016f6198b7cb180nF92ty5ElBZ.html
数据中心项目经理,北京软通动力云计...,20-35K,北京,北京,大专,5-10年,,boss,数据中心 IDC 智算,数据中心 IDC 智算,https://www.zhipin.com/job_detail/3e2b6ad5f1f9ad9c0nFy29W5EVpU.html
外装项目经理,北京靖昌盛世建筑工程,10-11K,北京·房山区·良乡,北京,高中,1-3年,,boss,管理相关专业,管理相关专业,https://www.zhipin.com/job_detail/e16c3f86f6f3394a03B509y1E1NQ.html
木作项目经理,金隅天坛家具,10-15K,北京·海淀区·清河,北京,大专,3-5年,,boss,实施交付经验 橱柜 木门 工程施工管理,实施交付经验 橱柜 木门 工程施工管理,https://www.zhipin.com/job_detail/e5ae763fa42c447a1HB82920EFpS.html
项目经理/主管,某中型音乐制作与娱乐公司,20-30K,北京,北京,大专,3-5年,,boss,男团 男团孵化,男团 男团孵化,https://www.zhipin.com/job_detail/b4decc8ba17c851a0nJ539W_FlZY.html
