job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
驱动开发工程师,东土科技,15-30K,北京,北京,本科,,,boss,C/C++ 计算机相关专业,C/C++ 计算机相关专业,https://www.zhipin.com/job_detail/6d80bff6243b6a840nF52NW_FlJV.html
嵌入式Linux驱动开发工程师,北京迅为,15-30K·13薪,北京·海淀区·西北旺,北京,本科,1-3年,,boss,ARM开发 Linux 嵌入式技术 BSP开发 嵌入式软件开发 Android 底层驱动 驱动移植,ARM开发 Linux 嵌入式技术 BSP开发 嵌入式软件开发 Android 底层驱动 驱动移植,https://www.zhipin.com/job_detail/d8b577e7c0cf4a021nFy3dm0EltS.html
驱动开发工程师,来牟科技,15-30K·13薪,北京·海淀区·上地,北京,本科,3-5年,,boss,C/C++ Linux驱动开发经验 camera BSP 点亮bringup uboot,C/C++ Linux驱动开发经验 camera BSP 点亮bringup uboot,https://www.zhipin.com/job_detail/e298c17405023be70nJ40tS6FFFY.html
驱动开发工程师,比科奇,15-30K·14薪,北京·海淀区·北太平庄,北京,本科,经验不限,,boss,驱动开发 RTOS 通信接口/总线 软件工程师 Makefile GCC PCⅠe JESD,驱动开发 RTOS 通信接口/总线 软件工程师 Makefile GCC PCⅠe JESD,https://www.zhipin.com/job_detail/f2df046cbe1f26a0331y3N69E1A~.html
camera驱动开发工程师,比特微,25-45K·15薪,北京·海淀区·北太平庄,北京,本科,5-10年,,boss,ISP camera 驱动开发,ISP camera 驱动开发,https://www.zhipin.com/job_detail/f3781c5b3b4577c81HN_3Ni-E1RZ.html
驱动开发工程师,清华大学,30-60K,北京·海淀区·圆明园,北京,硕士,经验不限,,boss,PCIE Linux驱动开发经验,PCIE Linux驱动开发经验,https://www.zhipin.com/job_detail/ef776244c7ed62d603d-2dW0FFVS.html
GPU虚拟化驱动开发工程师,摩尔线程,30-55K·16薪,北京·朝阳区·望京,北京,本科,5-10年,,boss,C++ C,C++ C,https://www.zhipin.com/job_detail/b412bf8a3c824dcc0nJ62Ny1ElJZ.html
GPU驱动开发工程师/架构师,某中型半导体/芯片公司,45-75K·15薪,北京,北京,本科,经验不限,,boss,C/C++ 计算机相关专业 电子工程相关专业 大算力 GPGPU Runtime 用户态/UMD 内核态/KMD,C/C++ 计算机相关专业 电子工程相关专业 大算力 GPGPU Runtime 用户态/UMD 内核态/KMD,https://www.zhipin.com/job_detail/663d041047990d0b0nFy2dS-GVtX.html
Windows驱动开发工程师,火绒安全,22-35K·13薪,北京·朝阳区·奥运村,北京,学历不限,经验不限,,boss,Windows C语言 底层驱动 汇编语言,Windows C语言 底层驱动 汇编语言,https://www.zhipin.com/job_detail/b21517b4318d52af1nZ-3Nu6F1tW.html
BSP驱动开发工程师实习生,平治东方,200-300元/天,北京·海淀区·上地,北京,本科,,,boss,电子工程相关专业 Linux驱动开发经验 嵌入式/RTOS驱动开发经验 计算机相关专业 自动化相关专业,电子工程相关专业 Linux驱动开发经验 嵌入式/RTOS驱动开发经验 计算机相关专业 自动化相关专业,https://www.zhipin.com/job_detail/3622936b8209e5330nFz0tq5FVFR.html
驱动开发工程师,北京里尔诺,20-30K,北京,北京,本科,3-5年,,boss,Linux驱动开发经验 Windows驱动开发经验,Linux驱动开发经验 Windows驱动开发经验,https://www.zhipin.com/job_detail/1b4dc6b15d5acdf11HN839W9FFBZ.html
嵌入式Linux驱动开发工程师,某电子公司,20-21K,北京,北京,本科,3-5年,,boss,C++ C SDK Linux dts 瑞芯微SDK,C++ C SDK Linux dts 瑞芯微SDK,https://www.zhipin.com/job_detail/f5de9c56d2d74bea0nJ529u5E1tS.html
驱动开发工程师,华为,15-30K·15薪,北京,北京,本科,1-3年,,boss,C/C++ 计算机相关专业 电子工程相关专业 Linux驱动开发经验,C/C++ 计算机相关专业 电子工程相关专业 Linux驱动开发经验,https://www.zhipin.com/job_detail/93995c8249848ca31Hd43NS9GFRX.html
相机驱动软件工程师,北京软通动力云计...,13-26K,北京·海淀区·上地,北京,大专,1-3年,,boss,音视频/流媒体开发 图形开发/渲染 C++ C 音视频编解码 音视频开发经验 图形开发经验 camera 驱动 camera hal,音视频/流媒体开发 图形开发/渲染 C++ C 音视频编解码 音视频开发经验 图形开发经验 camera 驱动 camera hal,https://www.zhipin.com/job_detail/aba2157fb946956b0nB92dW8EVVQ.html
camera驱动开发,法本,15-30K,北京·朝阳区·望京,北京,大专,5-10年,,boss,计算机相关专业 camera,计算机相关专业 camera,https://www.zhipin.com/job_detail/11bcf6ef621f89c50nJ73tu9E1JU.html
Linux内核/BSP驱动开发工程师,瑞芯微,30-50K,北京·海淀区·学院路,北京,本科,5-10年,,boss,Linux内核/BSP驱动,Linux内核/BSP驱动,https://www.zhipin.com/job_detail/b97c96bc75ecd96203Z529m1ElFU.html
驱动开发工程师,北斗天地股份有限公司,22-28K,北京·海淀区·苏州街,北京,本科,1-3年,,boss,C/C++ 自动化相关专业 电子工程相关专业 Linux驱动开发经验,C/C++ 自动化相关专业 电子工程相关专业 Linux驱动开发经验,https://www.zhipin.com/job_detail/a94588b9a60ced4e1X1y39y5GVBU.html
gpu驱动开发工程师,紫荆芯界,25-50K·16薪,北京·朝阳区·亚运村,北京,本科,经验不限,,boss,Linux驱动开发经验,Linux驱动开发经验,https://www.zhipin.com/job_detail/8197814aaa65bf6d0nRy09q_E1BR.html
驱动开发-外企项目,诚迈科技,15-20K,北京,北京,本科,1年以内,,boss,Linux驱动开发经验 内核,Linux驱动开发经验 内核,https://www.zhipin.com/job_detail/eca2dd1a22a33ab70nJ52ty7FltV.html
camera驱动开发工程师,外企德科数字,15-30K,北京·海淀区·苏州桥,北京,本科,经验不限,,boss,Camera Bringup,Camera Bringup,https://www.zhipin.com/job_detail/bf4e6bfc269e285f0nJ509-0GVpV.html
芯片平台驱动开发工程师（Linux/BSP方向）,地平线,25-35K·15薪,北京·海淀区·西北旺,北京,本科,3-5年,,boss,Linux驱动开发经验,Linux驱动开发经验,https://www.zhipin.com/job_detail/66ba434f99dbaf320nFy09u8EVFR.html
嵌入式Linux驱动开发工程师,爱勒康,18-35K,北京·朝阳区·左家庄,北京,学历不限,5-10年,,boss,嵌入式技术 单片机开发 驱动开发 ARM开发 Linux RTOS 功能测试,嵌入式技术 单片机开发 驱动开发 ARM开发 Linux RTOS 功能测试,https://www.zhipin.com/job_detail/72739c843de792b51nFy39S-FVpS.html
嵌入式Linux驱动开发工程师,合众恒跃,12-16K,北京·海淀区·清河,北京,本科,3-5年,,boss,Linux驱动开发经验,Linux驱动开发经验,https://www.zhipin.com/job_detail/47c818fddb6ed96d0nF52dW6EltS.html
Linux 驱动工程师,石头科技,18-35K·16薪,北京·昌平区·回龙观,北京,本科,3-5年,,boss,嵌入式技术 驱动开发 DSP开发 BSP开发 ARM开发 RTOS Android 硬件,嵌入式技术 驱动开发 DSP开发 BSP开发 ARM开发 RTOS Android 硬件,https://www.zhipin.com/job_detail/43271c745c11824f1nZ82tW-EVFX.html
AI芯片Linux驱动开发工程师（北京）,北京智芯微电子,20-40K·15薪,北京·昌平区·南邵,北京,本科,经验不限,,boss,C/C++ Linux驱动开发经验,C/C++ Linux驱动开发经验,https://www.zhipin.com/job_detail/c482eee663f819c51HF42Ny0EltU.html
Linux 驱动开发工程师,天华嵌微,12-20K·14薪,北京,北京,本科,5-10年,,boss,linux 开发  嵌入式软件,linux 开发  嵌入式软件,https://www.zhipin.com/job_detail/a1347b51214aebd033dy39m1GVY~.html
驱动开发工程师,长川科技,20-35K,北京·海淀区·学院路,北京,本科,3-5年,,boss,C/C++,C/C++,https://www.zhipin.com/job_detail/27763b66c58173d00ndz2tm5EFtS.html
