job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
鸿蒙开发（全国）,北京软通动力云计...,11-22K,北京,北京,本科,经验不限,,boss,ArkTs 鸿蒙开发 ArkUI开发 HarmonyOS,ArkTs 鸿蒙开发 ArkUI开发 HarmonyOS,https://www.zhipin.com/job_detail/764b45c50a5df26f0nJ429-4ElBW.html
鸿蒙开发工程师 外包百度 全额五险一金,柯莱特集团,12-18K,北京·海淀区·上地,北京,大专,经验不限,,boss,鸿蒙,鸿蒙,https://www.zhipin.com/job_detail/589a1028437ab8850nJ52dy5F1NR.html
鸿蒙开发,中软国际,12-19K,北京·海淀区·学院路,北京,大专,5-10年,,boss,Java 鸿蒙系统开发经验 安卓 KMP 鸿蒙,Java 鸿蒙系统开发经验 安卓 KMP 鸿蒙,https://www.zhipin.com/job_detail/ea6dc688921fb9e40nBy3924FVJR.html
HarmonyOS鸿蒙开发工程师,乡村通,15-30K·13薪,北京·朝阳区·东坝,北京,学历不限,经验不限,,boss,HarmonyOS,HarmonyOS,https://www.zhipin.com/job_detail/c588e62fd256aeb81HNz29i8FlNY.html
鸿蒙开发工程师,未来数通,12-18K,北京·海淀区·上地,北京,本科,1-3年,,boss,鸿蒙,鸿蒙,https://www.zhipin.com/job_detail/f32a91687ee93a2e03R72t-5FlBW.html
鸿蒙开发工程师,上海佩航航空科技,10-15K·13薪,北京·海淀区·西北旺,北京,本科,1-3年,,boss,鸿蒙开发经验,鸿蒙开发经验,https://www.zhipin.com/job_detail/b493a6717d0a7bf50nJ509-5FFBY.html
鸿蒙开发工程师,北京能科瑞元有限公司,15-20K,北京·海淀区·清河,北京,本科,5-10年,,boss,鸿蒙开发,鸿蒙开发,https://www.zhipin.com/job_detail/d33e0a50a5ab125c0nJ609q0F1pX.html
鸿蒙开发工程师,河南猎上,21-30K,北京·海淀区·苏州桥,北京,本科,3-5年,,boss,Android客户端产品研发 Kotlin,Android客户端产品研发 Kotlin,https://www.zhipin.com/job_detail/8d3ed1df8ba8c21b0nVz3ti0E1pR.html
鸿蒙开发【鸿蒙1年+】,某知名银行上市公司,20-40K,北京,北京,本科,5-10年,,boss,鸿蒙 harmonyOS,鸿蒙 harmonyOS,https://www.zhipin.com/job_detail/55ea6dc72bfe336a03F_3t--FVpV.html
鸿蒙开发工程师,北京好运在线网络科技,15-20K,北京·海淀区·新街口,北京,本科,3-5年,,boss,独立开发者 Flutter开发 鸿蒙APP AI coding,独立开发者 Flutter开发 鸿蒙APP AI coding,https://www.zhipin.com/job_detail/ec25dcfcbc1451450ndy3926EFtZ.html
鸿蒙开发（Flutter）,北京三六零数智科技,25-35K·15薪,北京,北京,本科,5-10年,,boss,鸿蒙,鸿蒙,https://www.zhipin.com/job_detail/79cedf979f250f7b0nF52tq5EFRV.html
鸿蒙开发工程师,某小型人工智能公司,30-50K·16薪,北京,北京,本科,经验不限,,boss,鸿蒙开发 android 鸿蒙,鸿蒙开发 android 鸿蒙,https://www.zhipin.com/job_detail/e1448605efb9afdd03Fy0tu_E1ZU.html
鸿蒙开发工程师,北京汉原技术有限公司,10-11K,北京·海淀区·上地,北京,本科,1-3年,,boss,鸿蒙 前端 安卓 ArkTS HarmonyOS,鸿蒙 前端 安卓 ArkTS HarmonyOS,https://www.zhipin.com/job_detail/d961c7ef92da3e3e03153dW9GVNR.html
安卓/鸿蒙开发工程师,腾讯科技(北京)公司,15-30K·16薪,北京·海淀区·马连洼,北京,本科,1-3年,,boss,安卓 鸿蒙 移动端开发,安卓 鸿蒙 移动端开发,https://www.zhipin.com/job_detail/99beb7bd3343dad41HJy3N24GVtW.html
鸿蒙开发实习,纷享销客,150-200元/天,北京·海淀区·中关村,北京,本科,,,boss,鸿蒙,鸿蒙,https://www.zhipin.com/job_detail/20bceb32146fd34903R42t68FVRR.html
中高级鸿蒙开发工程师（HarmonyOS）,北汽科服,15-25K·15薪,北京·大兴区·亦庄,北京,本科,3-5年,,boss,鸿蒙,鸿蒙,https://www.zhipin.com/job_detail/981d5e8aeb7a437a0nF40ty0GFdZ.html
鸿蒙开发工程师,同仁堂健康,15-22K,北京·大兴区·亦庄,北京,本科,经验不限,,boss,前端开发 APP开发 HarmonyOS开发 全职,前端开发 APP开发 HarmonyOS开发 全职,https://www.zhipin.com/job_detail/8152f31bff973d5403V-3d-9EFZU.html
