job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI产品经理,中诺凯琳医药发展（苏州）,1.8-2.5万·13薪,常熟,苏州,本科,2年及以上,2026-07-10 11:48:26,job51,"【工作内容】
- 负责AI产品从概念到上线的全流程管理，包括需求分析、功能设计及项目推进；
- 分析用户需求与市场趋势，制定产品策略并持续迭代产品功能。
- 根据技术迭代，及公司应用场景的变化，不断优化AI产品。
【任职要求】
- 对人工智能领域有浓厚兴趣，具备良好的逻辑思维和数据分析能力；
- 拥有较强的学习能力和沟通协调能力，能独立完成产品规划与文档撰写；
- 有相关项目经验者优先，有AI产品经理至少2年以上经验；
- 良好的沟通表达能力，熟练使用JAVA或Python 设计语言。",Java Python 需求分析 数据分析 产品规划,https://jobs.51job.com/changshu/171768823.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
AI 产品/项目经理,苏州超集信息科技,2-3万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-27 15:44:51,job51,"1.负责 AI 平台（如智能体Agent、知识库、数据分析、数字员工、工业AI应用等）的产品规划、需求分析与版本路线图制定。 
2.深入理解制造业、企业数字化场景（MES/WMS/ERP 等），挖掘可落地的 AI 应用场景并形成产品方案。 
3.负责跨部门沟通协调，推动研发、算法、设计、测试共同完成产品设计与交付。 
4.设计用户体验流程，包括人机交互、数字员工工作流、智能体能力组合方案。 
5.跟踪AI技术前沿（大模型、RAG、Agent Framework、多模态等），将新能力结合到产品中。 
6.负责产品文档、PRD、原型设计，参与产品商业化策略制定。 
7.负责 AI 项目的整体交付管理，包括需求评审、项目计划制定、资源协调、进度监控与风险管理。 
8.深入客户现场，理解业务流程，转化为可执行的 AI 方案（如数字员工流程、智能巡检、质量判定、预测性维护等）。 
9.组织项目例会，确保研发/部署/客户三方信息同步，对项目时间、范围和质量负责。 
10.总结项目经验，沉淀成标准化交付模板、行业化解决方案。 
任职要求 
基本要求 
1.本科及以上学历，计算机、软件工程、信息管理、自动化等相关专业优先。 
2.3 年以上产品或项目管理经验；有 AI、大模型、工业数字化经验者优先。 
3.熟悉 AI 产品架构（大模型、RAG、向量库、Agent、数据处理、多模态等）者优先。 
4.熟悉制造业流程（MES/WMS/ERP/QMS/APS 任意一种即可）者优先。 
技能要求 
1.能独立撰写 PRD、流程图、原型图，具备良好的系统思维。 
2.善于沟通，能与客户、研发、算法、多部门协同推进复杂项目。 
3.具备基本的技术理解能力（API、数据结构、模型调用等）。 
4.懂得拆解问题、制定项目计划、把控风险并推动落地。 
5.有成功交付 AI 或数字化项目的经验者优先。",Agent 大模型 RAG 多模态 知识库 数据分析 产品规划 需求分析 产品设计 产品文档 原型设计 资源协调 风险管理 项目管理,https://jobs.51job.com/suzhou-gyyq/169674231.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
供应链AI产品经理,苏州恒力智能科技,1.5-2万·13薪,苏州·吴江区,苏州,大专,2年及以上,2026-07-04 17:54:03,job51,"岗位职责
1.负责供应链产品线，围绕多元化业务搭建整体供应链系统能力，包括:供应链存货管理、存货凭证、发票管理、资金使用、MRP、采购合同、供应商管理、送货管理、库存管理、库内管理、入出库管理等，及多维度管理物料生命周期，支持产品研发实现;
2.结合供应链、财务实际业务场景，梳理标准化业务逻辑与落地诉求，输出业务说明文档、流程图等；
3.可运用 AI 大模型、AI 系统生成工具，将业务规则转化为系统功能、表单、流程，完成系统搭建；
4.对 AI 生成的内容做业务校验、规则修正，确保贴合现场实际使用要求；
5.配合少量技术人员完成系统部署、基础代码调试，跟进上线使用；
6.对接各业务部门，收集使用反馈，结合 AI 迭代优化系统功能；
7.与业务部门、技术部门、公司外部进行跨组织的协作和沟通。具备Owner意识，作为业务与开发的沟通桥梁，抽象提炼需求，与内外部团队协作完成系统的研发落地;
8.负责系统版本的迭代计划、迭代进度、上线质量，实现需求敏捷迭代，项目及时复盘。

任职要求
1.学历：大专及以上，制造业供应链、财务相关专业优先；
2.经验：2-3 年供应链 / 制造行业财务、仓储、采购、物料管理、ERP 实施相关经验；
3.能力：熟悉供应链全流程、财务月结、成本核算等业务逻辑，能独立梳理业务规则；
4.工具：了解主流 AI 大模型 / AI 办公工具，愿意学习 AI 系统生成相关用法；
5.思维：接受无原型、无 UI、无传统开发测试的轻量化落地模式，思维灵活；
6.加分项：有 AI 落地、低代码平台使用、制造业系统相关经验优先",大模型 供应链 采购 MRP AI ERP UI,https://jobs.51job.com/suzhou-wjq/172795469.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
OSCOOL产品经理,牛津大学（苏州）科技,1.2-1.8万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-07 16:20:25,job51,"冰火源(苏州)储能技术有限公司（OSCool）是牛津大学高等研究院（苏州）孵化的衍生公司，专注自主知识产权的相变储冷控温产品开发与应用，以相变储冷材料、高效换热器和蓄冷系统集成为核心，为冷藏低温环境的精准控制提供系列产品和整体解决方案，应用领域包括冷链运输、冷链储藏、数据中心和建筑楼宇等，助力冷链物流降本增效，推动冷库及数据中心的绿色低碳发展，为“双碳”目标赋能。 
该职位负责公司蓄冷衣等生活蓄冷产品从需求梳理、方案设计、样衣开发到试产落地的全过程，推动25℃相变材料在生活蓄冷产品场景中的产品化与市场化。
岗位职责
 参与蓄冷衣产品定义，梳理目标场景、用户需求和核心卖点。
 负责产品方案设计，包括结构思路、材料搭配、样衣打样和基础实验测试。
 对接供应商、工厂和内部研发团队，推动样衣修改、试产和量产转化。
 跟进产品使用体验、反馈问题和迭代优化。
 配合销售和市场团队输出产品资料、应用方案和客户答疑支持。
 参与竞品调研和行业趋势分析，持续完善产品功能与成本结构。
任职要求
 硕士及以上学历，热管理、材料、化学工程、服装工程等相关专业优先。
 2年以上功能性服饰、户外装备、可穿戴产品等产品开发经验优先。
 了解产品结构设计，愿意学习新材料应用。
 具备较强的沟通协作能力，能推动供应商、工厂和内部团队协同完成项目。
 动手能力强，做事细致，有较强的执行力和项目推进意识。
加分项
 有功能性服装、降温产品、冰感服饰、劳保防护服或户外服装开发经验。
 熟悉样衣开发、试穿测试、打版改版和量产跟单流程。
 对热管理、相变材料或温控类产品有兴趣。
 有从0到1推动新产品落地的经验。",知识产权 方案设计 OSCool,https://jobs.51job.com/suzhou-gyyq/173193998.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
AI销售运营主管,苏州华辰生物科技,8千-1.2万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-19 09:57:10,job51,"岗位职责
1. AI销售体系全搭建
基于公司业务（筹款购粮/生物医药相关），独立规划并落地线上获客-AI转化-客户对接-订单生成-发货协同的全流程自动化销售体系，全程无需传统销售人员参与。
2. 工具集成与系统打通
主导简道云低代码平台搭建客户管理、订单管理、数据看板模块；完成简道云与企业微信、行业获客平台（丁香通/药融圈等）、AI客服工具的接口对接、数据同步与流程自动化配置；熟练运用简道云AI助手完成产品知识库搭建、智能问答配置。
3. 线上获客与精准推广
负责行业垂直平台（丁香园、LinkedIn、专业商务平台）、线上广告渠道的线索抓取、精准投放与获客落地；通过AI工具/平台自动筛选目标客户，实现线索自动同步至核心系统，搭建线上销售获客网络。
4. AI智能承接与客户流转
配置AI客服自动应答规则，完成产品咨询、技术疑问、订单咨询的AI自动化回复；设定客户分级流转规则，高意向客户自动对接公司客服/商务专员，实现无销售介入的高效承接。
5. 流程优化与数据运营
通过简道云数据仪表盘监控获客量、转化率、订单履约率等核心指标；持续优化AI话术、获客策略、系统流程，提升体系自动化效率与销售转化效果；定期输出数据复盘报告，迭代销售体系方案。
6. 系统维护与问题解决
负责整套AI销售系统的日常运维、故障排查、功能迭代；对接各工具服务商，解决系统打通、功能使用中的技术与流程问题，保障体系7*24小时稳定运转。
任职要求
1. 学历与经验：本科及以上学历，3年及以上智能销售体系搭建、SaaS系统运营、企业微信/低代码平台（简道云/明道云等）实操相关工作经验；有生物医药/农资/To B行业经验优先。
2. 工具实操能力：必须熟练使用简道云，能独立搭建应用、配置工作流、AI助手、数据工厂；熟悉企业微信生态集成、API接口对接逻辑，会操作AI客服、垂直行业获客平台者优先。
3. 业务能力：懂线上获客（垂直平台/精准投放）、To B客户转化逻辑，能独立设计无销售介入的自动化销售流程，具备全链路体系化思维。
4. 综合能力：具备较强的问题解决能力、数据复盘能力，能自主推进项目落地，对接内外部资源完成系统与业务闭环；熟悉AI工具在销售/客服场景的落地应用。
5. 职业素养：责任心强，执行力高，能快速理解公司业务需求，独立完成整套体系的搭建与后期运营优化。
加分项
1. 有纯线上无销售团队的销售体系搭建成功案例，可提供落地成果；
2. 熟悉丁香通、药融圈、LinkedIn Sales Navigator等生物医药/垂直行业获客工具；
3. 具备低代码平台二次开发、简单API配置调试能力；
4. 了解筹款购粮、生物医药试剂/耗材类业务场景。
工作内容核心亮点
全程主导公司AI智能化销售体系从0到1搭建，无需管理传统销售团队，专注系统、工具、AI与业务的融合，打造高效自动化的线上盈利链路。",知识库 流程优化 故障排查 LinkedIn To,https://jobs.51job.com/suzhou-gyyq/170974564.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
AI工程师,神讯电脑（昆山）,1-2万,昆山,苏州,本科,1-3年,2026-08-03 09:42:58,job51,"岗位职责：
1. 与生产、工程、品质团队紧密协作，挖掘真实业务痛点，将AI技术转化为可量化的生产价值。
2. 独立完成面向工厂场景的AI Agent设计与开发，覆盖业务流程、生产流程、品质管理和产品管理等核心业务，打造可落地的工业智能体解决方案。
3. 持续监控 AI 工具运行效果，收集用户反馈，重点优化 RAG 检索准确率及模型响应速度，完善AI功能优化用户体验。
4. 在公司内部推广 AI应用，提供相应的技术培训与支持。
5. 跟进AI Agent***，搭建适配全生产流程的智能体协同体系，持续迭代优化。
任职要求:
1. 本科及以上学历，计算机、人工智能等相关专业，1-3年AI应用开发经验。
2. Python 编程与工程化：精通 Python 编程，熟练掌握Web API 服务开发，具备良好的代码规范与工程化落地能力。
3. AI 开发框架掌握：熟练掌握 LangChain生态系统，深刻理解并能运用 Chain、Agent、Memory 等核心概念。
4. 向量数据库技术：精通 Vector Database (如 Milvus/Pinecone/Chroma) 的搭建、索引优化以及数据清洗入库流程。
5. 实战经验：具备实际的 AI Agent (智能体) 开发经验，能设计复杂的任务规划与工具调用逻辑。
6. 独立解决问题能力和项目管理能力，能清晰汇报进度；对新技术敏感，能主动提出利用 AI 解决业务痛点的创新方案。",AI Agent RAG Python LangChain Agent 向量数据库 培训 项目管理,https://jobs.51job.com/kunshan/173124007.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
资深产品经理,苏州雷格特智能设备,2-3万,苏州·吴中区,苏州,本科,5年及以上,2026-07-23 10:21:20,job51,"岗位职责：
1、产品战略与规划
*深入理解智能硬件与软件交互系统的行业趋势、用户痛点等，制定中长期产品路线图
*主导产品从概念到上市的全生命周期管理
2、软硬一体化体验设计
*协同结构、嵌入式等多团队，确保硬件外观、交互逻辑、软件体验三者高度统一
*定义关键交互场景，输出高质量PRD及原型文档
3、跨部门协作与项目管理
*识别项目风险并制定应对策略，建立高效的沟通与决策机制
*作为产品owner,协调研发、测试、供应链、营销、售后等部门，推动产品按时保质交付
4、市场与商业化支持
*跟踪销售数据和用户反馈，为下一代产品提供输入
任职资格：
1、全日制本科及以上，电子工程、工业设计、人机交互等相关专业优先
2、5年以上产品经理经验，从事智能硬件或复杂软件交互系统的产品管理工作，有过AI产品的管理经验优先考虑
3、熟悉嵌入式、传感器、无线通信、云端架构等基础原理
4、有较强的沟通能力和抗压适应能力",跨部门协作 项目管理 供应链,https://jobs.51job.com/suzhou-wzq/173012849.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
04人工智能子公司主管（江苏金服）,苏州市相融人才发展集团,40-80万/年,苏州·相城区,苏州,本科,5年及以上,2026-07-23 13:18:56,job51,"岗位职责：
1、负责管理团队，完成业务指标；
2、负责结合AI技术发展趋势及金融行业政策导向及市场需求，调整业务拓展目标，推动战略落地实施；
3、负责统筹公司技术研发、产品迭代、市场推广等核心业务板块；
4、负责牵头制定市场拓展策略与商务合作方案，拓展重要客户资源与战略合作伙伴。

任职要求：
1、本科及以上学历，计算机科学与技术、人工智能、电子信息工程、自动化等相关专业；
2、具有五年及以上人工智能、互联网技术应用相关工作经验，曾担任部门负责人及以上职务者优先；
3、熟悉人工智能、金融科技、数字金融等领域，熟悉国企科技项目申报项目对接、成果转化等事宜，在机关企事业单位、国企主导过人工智能类产品落地、市场化推广或政策类项目申报者优先；
4、有机关企事业单位、国有企业对外合作、政企对接、高端资源链接及合作方关系维护经验者优先。",产品迭代 市场推广,https://jobs.51job.com/suzhou-xcq/173016288.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
工业具身智能 / 半导体设备方向,普雷赛斯（苏州）智能科技,2.5-4.5万·13薪,苏州·吴江区,苏州,本科,2年及以上,2026-07-22 15:58:31,job51,"岗位职责：
1. 负责AI Agent及多Agent协作系统的架构设计、核心模块开发和持续优化，推动相关能力在公司业务场景中落地。 
2. 负责Agent任务规划、工具调用、上下文管理、长期记忆、状态管理和工作流编排等核心能力建设。 
3. 设计多Agent之间的角色分工、信息传递、任务协作、结果汇总、冲突处理和失败重试机制。 
4. 结合业务需求，完成大语言模型、RAG、知识库、搜索及外部工具的集成与应用开发。 
5. 将公司现有系统、数据和业务能力封装为标准化工具或服务，支持Agent安全、稳定地调用。 
6. 建设Agent效果评估体系，包括测试集、任务成功率、回答准确性、工具调用正确率和稳定性评估。 
7. 负责Agent应用的提示词、模型选择、推理链路和上下文策略优化，提升系统效果和响应效率。 
8. 建设Agent运行监控、日志追踪、异常处理、权限控制和安全防护机制，保证系统可控、可追溯。 
9. 参与大模型及Agent系统的私有化部署、推理服务建设、性能优化和成本优化。 
10. 跟踪多Agent、大模型应用及智能工作流领域的技术发展，完成技术预研和原型验证。 
11. 与产品、算法、软件及业务团队协作，参与需求分析、技术方案设计、开发测试和项目交付。 
12. 沉淀可复用的Agent组件、工具接口和工程规范，提高多场景开发和交付效率。
任职要求：
1. 计算机、人工智能、软件工程、自动化等相关专业，本科及以上学历。 
2. 具备扎实的编程和软件工程能力，能够独立完成系统设计与开发。 
3. 熟悉大语言模型应用开发，理解Prompt、Tool Calling、RAG、结构化输出和上下文管理。 
4. 熟悉至少一种主流Agent或工作流开发框架，并具有实际项目开发经验；熟悉多Agent系统的任务拆解、角色协作、状态流转、结果验证和异常处理机制。
5. 熟悉向量检索、Embedding、知识库或知识图谱相关技术。 
6. 熟悉Linux、Docker及常见部署方式，具备服务调试和性能优化能力。 
7. 具备Agent评估、链路追踪、稳定性建设或私有化部署经验者优先。 
8. 具备较强的业务理解、问题分析和跨团队沟通能力，能够推动方案从原型走向实际应用。 
9. 关注AI Agent领域发展，对新技术保持敏感，具备快速学习和独立解决问题的能力。",AI Agent Agent RAG 大模型 Prompt Embedding Linux Docker 知识库 需求分析 技术方案,https://jobs.51job.com/suzhou-wjq/173004822.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
产品经理（C 端 O2O 方向）,悉平方科技（苏州）,8千-1.2万,苏州·吴中区,苏州,本科,5年及以上,2026-07-15 19:52:09,job51,"岗位亮点
•	核心业务自主：主导 O2O 社交化交易新产品从 0 到 1 全链路规划与落地，拥有充分的产品决策权，方案可直接推动业务落地
•	赛道成长空间：深耕本地生活与服务交易赛道，深度参与产品商业模式探索，个人成长与业务规模同步发展
•	全链路视野：串联线上用户、线下商户、履约服务全链路，深度打磨 LBS 匹配、AI 赋能、社交裂变等核心能力
•	高效协作团队：对接成熟研发、设计、运营团队，流程敏捷灵活，支持快速试错与功能迭代
核心职责
1.	产品全生命周期管理
主导 C 端 O2O 产品从 0 到 1 的规划、设计与落地，覆盖用户从线上种草、决策下单到线下履约、售后复购的完整路径；通过用户深度访谈、行为数据分析、商户端调研挖掘核心需求，输出高保真原型与完整 PRD，统筹需求评审、排期、测试、上线全流程。
2.	战略规划与行业洞察
跟踪 O2O 本地生活、社交化交易、AI 工具应用等行业前沿趋势，深度对标头部竞品与创新玩家，制定产品中长期路线图；探索 LBS 精准匹配、AI 智能推荐、实时通信等技术能力与商业模式的结合点，推动产品创新与商业价值落地。
3.	跨部门项目协同
串联研发、UI/UX 设计、运营、商户管理、线下履约等多团队，主导敏捷迭代全流程；负责需求评审、版本规划、进度管控与风险同步，拉通各方资源解决项目卡点，保障产品版本按时高质量交付，达成用户增长、交易转化、留存提升等核心业务指标。
4.	数据驱动产品迭代
搭建产品核心数据指标体系，通过用户行为分析、A/B 测试、场景化复盘持续优化产品功能；重点攻坚 LBS 服务匹配效率、社交化交易闭环体验、到店 / 到家履约链路流畅度等关键问题，持续提升用户留存、转化率与用户满意度。
任职要求
基础资质
全日制统招本科及以上学历，5 年及以上互联网 C 端产品经理工作经验；有 O2O 本地生活、社交电商、即时服务类产品完整项目经验，主导过从 0 到 1 产品落地者优先。
专业能力
•	熟练使用 Axure、Figma、墨刀等原型工具，可独立输出高保真原型、交互说明与逻辑严谨的需求文档
•	具备扎实的逻辑思维与定量分析能力，能通过数据拆解定位用户痛点与业务问题，可独立完成产品复盘并输出可落地的优化方案
•	了解互联网产品技术实现逻辑，熟悉 LBS 服务、实时通信、交易系统等 O2O 场景相关技术边界，可与研发团队高效沟通、合理评估方案成本与周期
软性素质
•	具备创业心态与强自驱力，能适应快节奏高压环境，可独立牵头复杂项目、跨部门推动落地，对最终业务结果负责
•	拥有敏锐的 C 端用户洞察能力，擅长从真实消费场景出发做产品设计，对用户体验有极致追求
•	具备较强的商业敏感度，能平衡用户价值、商业目标与技术可行性，做出合理的产品决策
加分项
•	有社交化交易、AI 工具类产品从 0 到 1 冷启动的成功案例
•	深度理解本地生活 / 到店 / 到家业务模式，熟悉线下履约链路与商户运营逻辑
•	具备 SQL、Python 等数据分析能力，可独立完成用户行为深度分析
•	有千万级用户规模产品迭代经验，或有头部互联网 / O2O 平台从业背景",SQL Python 数据分析 产品迭代 产品设计 O2O LBS AI,https://jobs.51job.com/suzhou-wzq/172926807.html?s=sou_sou_soulb&t=0_0&req=0385d5b44dbe556a8cc2f09a6ecaebeb
