job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
DSP软件开发工程师,富晟汽车电子（江苏）,2-2.5万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-29 14:58:03,job51,"岗位职责：
1.参与车载功放DSP平台搭建；
2.根据项目需求，完成功放产品DSP相关软件开发和调试；
3.负责软件部门的代码、技术文档编写和整理；
4.参与新硬件的bringup；
5.配合硬件、MCU、调音等各团队进行联通；
6.配合项目经理完成功放项目相关开发任务以及交付；
7.负责领导交办的其他事项

岗位要求：
熟悉C/C++编程语言；熟悉主流DSP如ADI 21565、21569、21593等DSP芯片；熟悉DSP驱动开发；有较强的抗压能力和良好的沟通能力；有功放量产项目开发经验者优先；熟悉环绕、全景声、降噪算法者优先；有参与ASPICE审核并通过者优先",DSP MCU C++ SPI 技术文档,https://jobs.51job.com/suzhou-gyyq/172725672.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
DSP软件工程师,上能电气,2-3万·14薪,苏州·吴中区,苏州,本科,3年及以上,2026-06-23 17:33:04,job51,"岗位职责：
1、负责新能源领域（光伏、储能等）电力电子产品的控制软件开发；
2、按产品开发流程完成相关文档编写、设计编码、调试测试等工作；
3、负责电力电子产品控制算法的设计、建模仿真及控制参数的调试优化；
4、负责产品的生产和市场问题的跟踪、分析和解决。

任职要求：
1、本科及以上学历，电力电子与电气传动、电机、自动控制或相关专业；
2、掌握电路原理，模拟和数字电路，电力电子技术及自动控制理论等专业知识；
3、掌握C/C++语言编程，熟悉DSP、ARM或MCU相关控制芯片应用，TI C2000系列开发经验者为佳；
 4、具备良好的软件开发习惯，有光伏逆变器、风电变流器、UPS、电机控制、变频器等相关产品控制软件开发者优先。",C++ DSP ARM MCU 文档编写 TI UPS,https://jobs.51job.com/suzhou-wzq/138656180.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
DSP软件工程师,苏州四通恒升电源科技,1.6-3万·13薪,苏州·相城区,苏州,本科,5年及以上,2026-07-20 13:38:06,job51,"岗位要求： 
1、学历：大学本科或以上学历，电力电子、电气工程自动化、电机控制等相关专业；
2、熟悉电路原理，模拟和数字电路，电力电子技术及自动控制理论等专业知识； 
3、熟悉C\C++语言编程，了解simulink / PSIM等控制系统仿真工具，了解嵌入式系统uc/os，熟悉ARM、DSP或MCU相关控制芯片应用，TIC2000系列开发经验者为佳； 
4、有工业电源、逆变器、PWM整流器、充电桩、UPS、电机控制、变频器等相关产品开发经验者优先。 
5、有较强的逻辑分析能力和学习能力，具备较强的总结能力； 拥有较好的沟通技巧及团队合作精神，较强的责任感及进取精神； 工作细致认真，有耐心； 

岗位职责： 
1、交直流电源、工业电源或其他相关产品的软件开发； 
2、支持相关部门处理相关的技术问题； 
3、相关技术文档的编写； 
4、其他软件相关事项。",C++ ARM DSP MCU 技术文档 UPS,https://jobs.51job.com/suzhou-xcq/155847722.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
软件工程师（DSP）,沃太能源集团,3-5.5万,苏州·吴中区,苏州,本科,3年及以上,2026-07-03 10:54:06,job51,"1、本科及以上学历，电力电子、电气工程、自动化、控制工程、电子信息等相关专业；
2、3年以上dsp软件开发经验，有储能 PCS、逆变器、双向 DC/DC、电源、工业控制等项目经验者优先；
3、熟悉 TI C2000 系列 DSP 平台，如 F28035、F28335、F28377、F280049、F280039 等；
4、熟练掌握 C 语言，熟悉嵌入式软件开发流程，具备良好的代码规范和模块化设计能力；
5、具备较强的问题分析能力、系统联调能力和工程落地能力。",DSP PCS DC TI C2000 F28035 F28335 F28377,https://jobs.51job.com/suzhou-wzq/172782102.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
高级DSP软件工程师,固德威技术,2.5-4.5万,苏州,苏州,本科,3年及以上,2026-07-02 14:34:29,job51,"岗位职责:
1、负责电力电子产品控制方案及控制流程设计；
2、负责电力电子产品控制环路稳定性设计，并据此给出硬件参数需求；
3、负责进行电力电子产品控制系统仿真；
4、负责控制代码编写和调试；
任职要求:
1、电力电子相关专业硕士以上学历、3年以上工作经验
2、了解仿真软件的使用方法；
3、了解逆变器控制方法和控制算法，熟悉PWM/SVPWM，了解锁相环技术。",SVPWM,https://jobs.51job.com/suzhou/172771222.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
高级ARM软件工程师,固德威技术,2.5-4.5万,苏州,苏州,本科,3年及以上,2026-08-07 14:39:52,job51,"""岗位职责：
1、光伏逆变器产品通信及接口软件设计开发，编写代码，调试，测试以及试产与量产相关工作。
2、在现有产品基础上，进行功能升级，满足客户定制化要求。
任职要求:
1、5年以上新能源物联网行业嵌入式工作经验，精通C语言，熟练使用STM32系列MCU。
2、熟悉UCOS-III、RTThread操作系统
3、熟悉WiFi，GPRS，以太网的TCP/IP网络协议。熟悉各种编程工具以及行业工具的使用，诸如编译工具、调试工具、代码查看工具、代码比较工具、抓包工具、代码管理工具等。
4、能设计外围接口，如:UART、USB、CAN、EARTHNET电路等""",C语言 STM32 MCU WiFi TCP/IP UART CAN,https://jobs.51job.com/suzhou/173191450.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
嵌入式软件工程师,苏州市悠越电子,1.2-2.4万,苏州·高新区,苏州,本科,5年及以上,2026-08-07 13:39:12,job51,"负责汽车氛围灯控制系统的核心软件开发，确保产品与车辆网络无缝集成。具体工作包括： 
1、嵌入式软件开发：基于MCU（微控制器）平台，使用C语言进行氛围灯控制软件的设计、编码和调试。 
2、总线通信集成：实现CAN和LIN总线通信协议，负责氛围灯与车辆ECU（电子控制单元）的数据交换和命令处理。 
3、系统架构设计：参与软件架构规划，优化代码性能、功耗和可靠性，确保符合汽车行业标准（如AUTOSAR或功能安全要求）。 
4、测试与验证：进行单元测试、集成测试和实车测试，排查软硬件问题，确保产品稳定性和安全性。 
5、跨团队协作：与硬件工程师、测试工程师紧密合作，完成软硬件联调和技术文档编写。 
6、技术升级：跟踪汽车电子新技术，持续改进氛围灯功能（如动态效果、OTA升级等）。

要求：
1、 有单片机开发经验，偏软件，熟悉常用的开发工具，有一定的单片机编程经验；
2、 熟练掌握汇编语言和C语言；
3、5年以上相关经验。",MCU C语言 CAN 单片机 汇编 技术文档,https://jobs.51job.com/suzhou-gxq/173189877.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
低压锂电系统工程师,江苏优利卡新能源科技,1-2万·13薪,苏州·吴中区,苏州,本科,2年及以上,2026-08-07 15:23:24,job51,"此岗位是：控制器开发的系统工程师

职位描述：
1、客户方案制定
2、客户跟踪，交流需求确认
3、内部系统需求编写
4、内部开发进度管理跟踪，推进
5、产品级功能验收
任职要求：
1、具备电池BMS开发经验2年以上
2、接触过DCDC
3、独立开发过嵌入式硬件软件
4、对结构有概念",进度管理,https://jobs.51job.com/suzhou-wzq/173192505.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
大储PCS DSP高工/主任,阿特斯阳光电力集团,3.5-5万·14薪,苏州·高新区,苏州,本科,3年及以上,2026-07-24 16:30:00,job51,"岗位职责：
- 负责嵌入式软件相关调试及测试工作；
Responsible for embedded software debugging and testing
- 负责产品软件相关的现场调试工作；
Responsible for product software field debugging
- 负责多国安规的认证和调试工作，并协助测试部门完成认证工作
Responsible for the certification of multi-national security code and debugging job, and assist the testing department to complete the certification work. 
- 完成领导交办的其他它工作
 Other jobs assigned by leaders

主要能力素质：
熟练使用C语言，并对C++有一定了解；
Familiar with C language, and have a certain understanding of C++. 
熟悉DSP, FPGA, ARM等微型处理器的设计；
Familiar with DSP, FPGA, ARM and other microprocessors design. 
具备良好的沟通能力；
Good communication ability. 
具有较强的工作责任心和事业心。
Strong sense of responsibility and enterprise",Gin C语言 C++ DSP FPGA ARM Go,https://jobs.51job.com/suzhou-gxq/173035354.html?s=sou_sou_soulb&t=0_0&req=92dac5d54035311e1a23f8da276c49ec
