job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
监管报送ETL数据开发工程师,上海向晨信息科技,1-1.5万·13薪,常熟,苏州,大专,无需经验,2026-06-20 00:00:00,job51,"【工作内容】
- 负责监管报送系统的ETL开发与维护，确保数据准确、及时、合规地传输至监管机构；
- 设计并优化数据抽取、转换和加载流程，提升数据处理效率与稳定性；
- 与业务部门及数据团队协作，理解监管数据需求并实现技术落地；
- 参与数据模型设计与数据质量监控，保障数据符合监管要求。
【任职要求】
- 大专及以上学历，计算机、信息管理或相关专业背景；
- 熟悉SQL、Python等编程语言，具备扎实的数据处理能力；
- 熟悉ETL工具的使用与开发；
- 具备良好的沟通能力和团队协作精神，有金融行业或监管报送项目经验者优先。",SQL Python 合规,https://jobs.51job.com/changshu/172621742.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
数据库开发工程师,江苏磅礴医疗科技,8千-1.6万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-06-17 16:09:02,job51,"我们正在寻找专业的数据库开发工程师，负责数据库的设计、开发、优化和维护。

工作内容：
1. 参与数据库设计和架构规划；
2. 负责数据库的开发、测试和优化；
3. 监控数据库性能，定位并解决性能问题；
4. 配合应用开发人员完成数据接口开发和调试；
5. 负责数据库的日常维护和备份；
6. 与团队内部以及需求部门进行有效沟通，跟进项目进度以及解决相关数据问题。

岗位要求：
1. 计算机相关专业本科及以上学历；
2. 2年以上数据库开发经验；
3. 熟悉多种关系型数据库（PostgreSQL、Oracle、SQLServer、MySql)
4. 独立进行数据需求分析，编写需求分析文档
5. 进行数据库设计、ETL设计
6. 熟练掌握Shell、SQL语言
7. 有良好的沟通表达能力、团队协作精神和服务意识。",PostgreSQL Oracle SQL MySQL Shell 需求分析,https://jobs.51job.com/suzhou-gyyq/161277713.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
APP开发工程师,千屿科技（苏州）,1-1.5万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-22 19:01:35,job51,"岗位职责
•负责 Flutter 客户端的功能开发、迭代和日常维护。
•负责 Android、Windows 等平台的跨平台适配。
•根据产品需求完成页面、组件、交互和业务逻辑开发。
•负责设备管理、实时数据展示、数据上传、报告回放及后台管理等功能。
•完成客户端与服务端接口的对接、数据解析和业务状态联动。
•参与实时数据、图表、波形及历史数据可视化功能的开发和优化。
•处理页面布局、状态同步、弱网、超时、缓存及异常恢复等问题。
•根据测试反馈和缺陷记录完成问题定位、代码修复及回归验证。
•编写和维护单元测试、组件测试及核心业务逻辑测试。
•负责 Android APK、Windows 客户端的构建、打包和发布前验证。
•持续优化客户端的稳定性、性能、代码质量和用户体验。
•与产品、服务端、测试及其他研发人员协作，推动需求和问题闭环。
任职要求
•熟悉 Dart，具有良好的 Flutter 开发基础。
•具有 2 年以上 Flutter 项目开发经验，并参与过较完整的项目交付。
•熟悉 Flutter 常用组件、布局、路由、状态管理和页面生命周期。
•熟悉异步编程、Stream、数据模型及复杂业务状态管理。
•熟悉 REST API、JSON、文件上传下载等常见客户端开发场景。
•具备 Android 真机调试经验，能够使用 ADB、日志等工具排查问题。
•了解 Windows 桌面端开发，或具备 Flutter Windows 项目经验。
•具备较强的问题定位能力，能够根据日志、代码和问题现象分析原因。
•熟悉 Git，能够独立完成代码提交、分支管理及冲突处理。
•具备测试意识，能够为核心逻辑编写单元测试或组件测试。
•能够独立完成“需求理解—功能开发—测试验证—问题修复”的工作闭环。
•工作认真负责，具备良好的沟通和团队协作能力。
加分项
•有 Android、Windows 多平台项目开发经验。
•有图表、实时数据、波形或大数据量绘制经验。
•有医疗健康、物联网、工业软件或数据监测类项目经验。
•有复杂表单、后台管理、数据回放或文件管理功能开发经验。
•有客户端性能优化、弱网处理、异常恢复或稳定性治理经验。
•了解 Kotlin、Java、C++ 或 Flutter Plugin 开发。
•有应用打包、签名、发布和版本管理经验。
•熟悉 MQTT、WebSocket、WebRTC 等实时通信技术。
•有自动化测试、白盒测试或持续集成经验。
•熟悉禅道、Jira 等项目及缺陷管理工具。",Flutter Git Kotlin Java C++ Gin MQTT WebSocket 版本管理 自动化测试 缺陷管理,https://jobs.51job.com/suzhou-gyyq/173009259.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
数据开发工程师(J10160),广东顺大食品调料,8千-1.2万·14薪,昆山,苏州,本科,2年,2026-07-02 16:36:26,job51,"工作职责:
1. 牵头从零搭建公司数据仓库/数据湖，完成整体架构规划、分层设计（ODS/DWD/DWS/ADS）、规范制定，建立统一数据标准、命名规范、开发规范。
2. 对接各业务系统（业务库、日志、第三方数据），完成数据源梳理、数据接入、同步、清洗、建模，落地离线/实时数据链路，实现业务数据全归集。
3. 搭建数据调度、监控体系，保障数据任务稳定运行，解决数据延迟、异常、口径不一致问题，支撑后续分析、报表、看板使用。
4. 配合数据分析师共同落地指标体系，建设公共中间层模型，统一指标口径，避免后续多部门数据打架。
5. 开展初期数据治理：梳理数据血缘、完善元数据、权限管理，建立数据字典，为后续数字化运营打基础。
6. 对接业务方理解数据需求，快速迭代数仓模型，支撑业务报表、专项分析、BI看板的数据供给。
任职资格:
1. 本科及以上，计算机、大数据、软件工程相关，1–3年数据开发经验，有从零搭建/参与新建数仓经验优先。
2. 熟练SQL，精通Hive/Spark，了解Flink，熟悉数仓分层、维度建模，能独立从零设计数仓架构。
3. 熟悉MySQL等业务库，会数据同步、ETL开发，能梳理多业务系统数据源。
4. 有规范意识，能制定数据开发、建模、指标口径等基础规范。
5. 主动推进、沟通能力强，能和分析师、业务方协同，适应初创型数据体系建设节奏。",SQL Hive Spark Flink MySQL 数据分析 数据治理,https://jobs.51job.com/kunshan/172774746.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
Software Engineer III数据工程师,昆山杜克大学,1.2-1.5万,苏州,苏州,本科,5年及以上,2026-07-14 09:59:23,job51,"Position Overview:
Duke Kunshan University is a world-class liberal arts university offering high-quality, interdisciplinary undergraduate and graduate programs. The IT Applications team within the Office of Information Technology works closely with customers and peer teams to deliver a wide range of applications and services.

This position is for a Data Engineer, a key technical role within the IT Applications team. You will be responsible for building and evolving the core data platform for Duke Kunshan University. Your work will be instrumental in enabling university-wide, data-driven decision-making by transforming our diverse data ecosystem into a scalable, reliable, and well-governed analytical foundation. We are looking for a technical expert who not only excels in engineering but also collaborating with business stakeholders to ensure our data assets deliver maximum impact.

Reports to:
Manager – IT Applications

Essential Duties:
1.	Collaborate with customers, business analysts and stakeholders to understand business needs and translate them into effective data architecture and pipeline solutions.
2.	Design, build, and manage robust, scalable data ingestion and integration pipelines to consolidate data from diverse source systems into a central data platform for data processing and automation.
3.	Design and implement scalable data models for the enterprise data platform to transform and structure raw data into reliable, well-documented datasets that serve for analytics and data products.
4.	Develop and maintain core components of the data platform including data service APIs, a unified data asset catalog, and standardized data layers to empower self-service analytics and data product consumption.
5.	Collaborate with business teams to define key metrics and success criteria for data products and take ownership of developing the corresponding dashboards and visualizations to translate data into actionable insights.
6.	Contribute to the data governance framework by collaborating with Data Owners to implement data quality standards, monitoring, and remediation, and to ensure data assets are properly classified, documented, and accessible.
7.	Ensure the operational excellence, stability, and performance of the data platform through proactive monitoring, troubleshooting complex issues, and systematic optimization of queries and pipelines.
8.	Create and maintain comprehensive technical documentation for data architectures, pipeline specifications, data dictionaries, and operational procedures.
9.	Stay current with emerging technologies and best practices in data engineering, cloud platforms, and big data ecosystems to drive continuous innovation.
10.	Work toward achieving assigned annual objectives and KPIs, demonstrating accountability for performance and results.
11.	Perform other duties as assigned.
12.	University employees' job responsibilities will continue to expand in scope and depth as the University grows in size and complexity in its programs.

Required Qualifications:
1.	Full-time bachelor’s degree or above in information technology, computer science, or a related field preferred.
2.	At least 5 years of professional experience in data engineering or a closely related field.
3.	Strong ability to collaborate effectively with stakeholders and communicate with both technical and non-technical audiences.
4.	Excellent oral, written, and interpersonal communication skills in both English and Chinese.
5.	Strong motivation and capacity to learn new concepts and apply emerging technologies to transform business and technical processes and drive continuous improvement.
6.	A strong interest in, coupled with a practical understanding of, the complete data product lifecycle—from data curation and development to enabling consumption and measuring business impact.
7.	A strong sense of ownership for the stability, performance, and data quality of the systems you build.
8.	Experience in building data ingestion pipelines, pulling data from diverse sources, and orchestrating the subsequent ETL/ELT processes to deliver clean, reliable data for downstream consumption.
9.	Practical experience with Python for data processing, automation, and scripting. Familiarity with Java or Scala is a plus.
10.	High proficiency in SQL and extensive hands-on experience with at least one major RDBMS (e.g., PostgreSQL, MySQL, SQL Server, Oracle).
11.	Practical, hands-on experience with modern cloud data platforms and services (e.g., Snowflake, Databricks). 
12.	Solid understanding and practical experience in data modeling for analytical systems (e.g., Star Schema, Snowflake Schema, Data Vault).
13.	Solid understanding of data governance principles and hands-on experience with supporting tools for metadata management, data lineage, or data quality.
14.	Partner with stakeholders to define data product and related metrics and develop the corresponding tracking dashboards (e.g., Tableau, Power BI).
Preferred Qualifications
1.	Hands-on experience in implementing a data platform end-to-end. Direct experience within a higher education setting is a strong plus.
2.	Hands-on experience with distributed data processing frameworks (e.g., Apache Spark) and streaming data technologies (e.g., Apache Kafka, Flink).
3.	Experience productizing administrative data and metrics via APIs (e.g., RESTful, GraphQL).
4.	Expertise in enterprise data warehouse design, including dimensional modeling, layered architecture, and metric system planning.
5.	Experience in designing and supporting data analysis solutions for AI/ML and LLM initiatives.
6.	Practical experience with enterprise systems (e.g., ERP like Oracle, SAP) in a complex organizational environment.
7.	Experience in building data solutions for core administrative domains (e.g., Finance, HR), with an understanding of the key data entities, lifecycle, and quality requirements specific to these functions.

How to Apply:
Please be advised the salary is commensurate with experience.
Please submit your formal application by searching the position on DKU recruitment portal.",Gin Scala Go Perl Python Java SQL PostgreSQL MySQL SQL Server Oracle Spark Kafka Flink LLM GAN,https://jobs.51job.com/suzhou/171627406.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
资深信息化软件开发工程师(J10229),苏州杰锐思智能科技,1.5-2.5万,苏州·吴中区,苏州,本科,5年及以上,2026-07-05 15:03:05,job51,"工作职责:
1、对接业务部门，梳理需求、优化流程，输出需求文档、技术方案及实施计划；
2、主导系统开发、迭代与定制化，规范代码与文档；负责测试、BUG修复、上线部署及用户培训运维；
3、统筹金蝶ERP与PDM/PLM深度集成，落地BOM对接、工程变更同步、图纸联动等关键功能；
4、开展ETL数据治理，搭建标准化数据体系；维护钉钉、纷享销客等第三方系统接口稳定运行；
5、负责帆软报表定制开发与优化，实现自动化生成与分发，为企业经营决策提供数据支撑；
6、负责团队任务分工、进度管控、技术指导与ai自动写代码给团队赋能。全程参与项目全流程管理，推动新技术落地与团队效能提升。
任职资格:
1、本科及以上，计算机相关专业；5年以上企业信息化开发经验，有团队管理或项目统筹经验者优先；
2、精通C#、ASP.NET及前端三剑客（HTML/CSS/JS），熟悉Python/PHP；具备独立系统架构设计与规范化文档输出能力；
3、精通SQL Server、Oracle调优与开发；熟悉非标行业ERP、PDM、SRM、CRM业务流程，具备二次/定制开发经验；
4、精通API/中间件集成（钉钉、EHR、纷享销客等）；熟练掌握ETL数据治理全流程，保障数据全链路可追溯；
5、具备出色的跨部门沟通、抗压与自学能力；能独立排障，同时具备团队任务分配与项目推进能力。",C# Python PHP SQL Server Oracle 技术方案 培训 数据治理 团队管理,https://jobs.51job.com/suzhou-wzq/172797207.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
数据开发工程师,张家港众智纺织品,1.2-1.8万,张家港,苏州,本科,1年及以上,2026-06-18 15:19:45,job51,"一、岗位职责：
1.负责从内部数据库（如ERP、CRM）和外部数据源（如行业报告、第三方平台）等多渠道系统收集业务数据，进行清洗、转换、集成与归档处理，统一数据标准，消除重复、缺失及错误数据，构建高质量分析数据集，确保数据的准确性、完整性和可靠性。
2.运用统计学方法及机器学习算法（如回归分析、聚类分析、决策树等），开展深度数据挖掘与建模分析，探索数据内在关联与趋势，按月完成至少2个数据分析模型的构建、训练、评估与优化，为业务决策提供量化依据。
3.基于分析结果，撰写详细的数据分析报告，包括分析背景、方法、过程与结论，并通过数据可视化工具（如Tableau、Power BI、Matplotlib等）制作图表和仪表盘，清晰呈现业务洞察，定期向业务部门与管理层汇报。
4.紧密结合业务场景，提出流程优化、产品改进或策略调整等方面的可行性建议，协助业务部门推动数据驱动决策，促进数据分析成果在实际业务中的落地应用，助力业绩增长。
5.参与企业数据底层架构和BI报表体系建设，设计与业务需求高度匹配的数据模型与可视化解决方案，支持高效、灵活的数据分析需求。
6.建立数据质量监控指标体系，定期开展数据质量评估与检查，识别数据偏差、不一致等问题，协同数据管理及技术团队制定改进方案，持续提升数据质量。
7.与业务部门保持密切沟通，提供数据技术支持和咨询服务，帮助业务人员理解数据、应用数据，协助其解决实际数据问题，提升整体数据应用水平。
8.根据业务反馈与发展动态，及时调整分析方向与重点，确保数据分析工作与企业目标一致，并推动数据价值在关键业务场景中的实现。
9.持续跟踪数据分析领域的新技术、新工具与行业实践，引入适合企业业务需要的先进分析方法与平台，提升团队分析效率与能力。 

二、任职要求：
1.1年及以上数据分析或相关领域工作经验，具备独立完成复杂数据分析项目的能力，有纺织行业经验者优先。
2.精通SQL、Python或R等数据处理与分析工具，能够熟练进行数据提取、清洗、建模及分析。
3.熟练使用Tableau、Power BI或Excel等数据可视化工具，具备良好的可视化设计能力，能清晰有效地呈现分析结果。
4.掌握统计学原理及常用数据分析方法，了解机器学习与数据挖掘算法（如聚类、分类、回归等），具备建模与优化能力。
5.熟悉数据库原理，能熟练运用SQL进行复杂数据查询与处理。
6.对数据敏感，具备较强的逻辑思维、数据分析及业务洞察能力，能从复杂数据中识别问题、发现规律并提出解决方案。
7.具备优秀的沟通协调、团队合作及项目推动能力。
8.逻辑清晰，对数据敏感，学习与沟通协作能力强。",机器学习 SQL Python 数据分析 流程优化 技术支持,https://jobs.51job.com/zhangjiagang/172613271.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
高级数据工程师,苏州联讯仪器,1.5-2.5万·14薪,苏州·高新区,苏州,本科,5年及以上,2026-06-12 19:05:40,job51,"岗位职责：
1. 负责设备日志、运行状态、报错码、传感器数据、测试结果、维修记录和业务系统数据的接入。
2. 设计设备、客户、项目、批次、时间、故障和维修记录等标准数据模型。
3. 建设批量和实时数据管道，处理数据库、文件、Kafka、MQTT、HTTP 和设备私有接口等数据来源。
4. 负责数据清洗、标准化、关联、去重、异常处理、历史补录和数据质量监控。
5. 与业务部门共同定义设备在线率、故障率、维修时长、诊断准确率、测试通过率等指标口径。
6. 将设备数据和指标封装为稳定的数据 API，供 Agent、Skill、产品页面和分析系统使用。
7. 开发设备状态查询、近期告警、历史故障、维修记录、测试结果和指标趋势等数据类 Skill。
8. 建设面向设备文档、故障案例、维修记录和测试资料的 RAG 知识库，负责文档解析、数据清洗、切分、索引、检索和效果优化。
9. 建设数据权限、敏感数据脱敏、客户隔离、数据血缘、数据版本和审计机制。
10. 支持客户现场、客户内网和离线环境的数据接入与部署。
11. 与 AI 架构工程师共同定义 Agent 数据调用规范，与全栈工程师协作完成数据在产品中的使用。

任职要求：
1. 计算机、数据工程、软件工程或相关专业本科及以上学历，5 年以上数据工程或数据平台经验。
2. 熟练掌握 Python、SQL，并具备稳定数据 API 的开发能力。
3. 熟悉 ETL、实时数据处理、任务调度、数据质量和数据建模。
4. 熟悉 PostgreSQL、时序数据库、分析数据库及 Redis 等数据组件。
5. 熟悉 Kafka、MQTT 或其他消息和设备数据接入方式。
6. 能够处理日志、指标、时序数据和复杂设备数据。
7. 具备指标体系建设经验，能够明确指标定义、计算公式、数据来源和更新机制。
8. 具备 RAG 知识库建设经验，熟悉文档解析、文本切分、Embedding、向量检索、混合检索、召回优化和效果评估。
9. 熟悉 Docker、Linux 和数据服务部署，能够定位数据链路和生产问题。
10. 具备数据安全、权限隔离、脱敏和客户数据保护意识。",Kafka MQTT Agent RAG Python SQL PostgreSQL Redis Embedding Docker Linux 知识库 审计,https://jobs.51job.com/suzhou-gxq/172539759.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
数据库工程师（数据治理与建模）,苏州福柯思电气,10-20万/年,太仓,苏州,本科,3年及以上,2026-07-23 10:07:45,job51,"岗位职责：
1、行业数据治理体系建设
1.1负责梳理公司内部（如ERP、MES、SCADA）及外部（设备运行）数据来源，辅助制定行业数据治理规范，包括数据标准、数据质量检核规则及元数据管理。
1.2建立数据全生命周期管理流程，针对电气设备台账、实时运行数据、故障代码等核心数据资产，进行标准化定义，确保“数出同源”。
2、业务数据建模与应用
2.1深入理解电气控制业务场景（如：配电损耗分析、设备健康度评估），进行业务数据建模，构建主题模型（如设备画像、故障预测模型特征宽表）。
2.2负责数据仓库或数据湖的模型设计（如维度建模），将多源异构数据（结构化、时序、日志）进行整合，为前端BI报表和算法团队提供高质量、易理解的数据服务。
3、数据库架构与性能保障
3.1负责核心数据库（SQL Server/MySQL/时序数据库）的架构优化，保障在复杂分析查询下的性能稳定。
3.2支持数据开发团队，进行SQL性能调优和ETL流程优化。
任职要求：
1、 本科及以上学历，计算机、自动化、数学/统计学相关专业。
2、3年以上数据相关工作经验，其中至少1年专注于数据治理或数据建模工作，有电气、能源、工业物联网行业背景者优先。
3、 熟悉DAMA或DCMM数据治理体系，有实际参与过数据标准制定、数据质量改进项目的经验；对电力行业常见的业务术语（如：线损、功率因数、拓扑结构）有快速学习能力或了解。
4、精通SQL，具备扎实的数据仓库建模理论（如Kimball维度建模），能独立完成从业务调研到逻辑/物理模型的设计；有Python或Scala数据分析经验者更佳。
5、精通至少一种主流关系型数据库（MySQL / SQL Server / PostgreSQL）的管理与优化。熟悉ETL工具（如DataX、Kettle、SeaTunnel）及调度框架（如Airflow、DolphinScheduler）。了解时序数据库（TDengine / InfluxDB）或大数据组件（Hive / Spark）者优先。
6、 具备将“电气业务问题”转化为“数据技术问题”的能力，能够主动与业务部门（生产、运维、销售）沟通，挖掘数据需求。
7、逻辑严谨，对数据敏感，能从杂乱的数据中抽象出规律，并形成规范文档。
8、 熟悉电力行业标准（如CIM模型）或有参与电网信息化项目建设经验者， 有数据治理工具（如Atlas、DataHub）或数据可视化工具（Tableau、FineReport）使用经验者， 持有CDMP（数据管理专业人士认证）或相关云厂商数据认证者优先。",SQL Server MySQL SQL Python Scala PostgreSQL DataX Airflow Gin Hive Spark 数据治理 流程优化 数据分析,https://jobs.51job.com/taicang/170623662.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
IT开发工程师JDTDHY,张家港保税区泰德瑞尔轨道科技,7千-1万,张家港,苏州,大专,3年及以上,2026-07-30 11:25:30,job51,"岗位职责
负责CRM系统与低代码平台的数据打通，在无API文档的情况下，通过直连MySQL数据库、编写复杂SQL查询或构建数据中间表等方式，实现核心业务数据的实时/定时同步；
负责竞价系统与低代码平台的数据打通，解析MySQL底层数据结构，将竞价数据、转化数据等安全、稳定地接入低代码平台，支持业务报表与流程自动化；
设计并开发针对本地人才网的自动化简历抓取程序，通过网页解析、RPA或浏览器自动化技术，实现简历信息的自动提取、清洗，并无缝推送至低代码平台；
设计高可用、高安全性的数据同步方案，包含数据校验、异常告警、断点续传及日志监控，确保数据一致性与系统稳定性；
任职要求
计算机相关专业大专及以上学历，3年以上系统集成、数据ETL、爬虫开发或RPA自动化经验；
精通MySQL数据库，具备极强的SQL编写与调优能力，熟悉数据库底层架构、索引原理及锁机制，有在无文档情况下进行数据库逆向分析、表结构梳理经验者优先；
具备丰富的无API系统对接经验，能独立设计基于数据库层面的数据同步方案，并具备数据安全与合规意识；
熟练掌握网页数据抓取技术，精通至少一种自动化/RPA工具（如Python Selenium/Playwright/Puppeteer、UiPath、影刀等），有针对招聘网站或复杂动态页面的抓取实战经验；
精通至少一种后端语言（Python/Java/Go/.NET），熟悉HTTP协议、JSON/XML数据格式及RESTful接口设计；
熟悉主流低代码平台的连接器开发或数据接入规范者优先；
具备较强的抗压能力与独立攻坚能力，能在信息不全、文档缺失的极端情况下快速定位问题并输出解决方案；
具备良好的技术文档编写习惯，能输出清晰的集成方案、数据字典与自动化脚本说明。",MySQL SQL 高可用 Python Java Go 合规 技术文档,https://jobs.51job.com/zhangjiagang/173095663.html?s=sou_sou_soulb&t=0_0&req=909eecde3f09ceb72e53bda0c480f40e
