job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
FPGA开发工程师,苏州金橙子激光技术,1.5-3万·13薪,苏州·虎丘区,苏州,硕士,3年及以上,2026-07-01 17:08:19,job51,"1. FPGA全栈设计
 - 负责FPGA方案设计、逻辑开发、仿真验证及硬件调试，独立完成从需求分析到产品落地的全流程工作。
 - 参与系统架构设计，完成关键模块的代码编写（Verilog/VHDL）、综合、布局布线及时序优化。
2. 接口与协议开发
 - 主导高速接口设计（如PCIe、DDR3/4、SerDes、Ethercat等）及通信协议栈（UDP/TCP）开发。
 - 配合硬件团队完成电路调试、器件选型及信号完整性分析。
3. 系统联调与算法加速
 - 支持软硬件协同开发（如Zynq系列ARM+FPGA架构），参与激光加工卡研发；
 - 解决资源优化、时序收敛、功耗控制等关键技术问题。
4. 技术文档与标准化
 - 编写设计文档、测试案例及技术规范，参与构建团队开发流程和测评体系。
5. 运动控制底层相关开发经验。

任职要求
1. 统招一本以上学历，控制科学、自动化、电子等相关专业，硕士尤佳；
2. 3-5年以上相关工作经验；
3. 优秀的自我驱动与协作能力。",FPGA Verilog VHDL PCIe ARM 方案设计 需求分析 技术文档,https://jobs.51job.com/suzhou-hq/170530201.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
fpga开发工程师,苏州工业园区慧鱼科技,1.5-3万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-05 11:06:53,job51,"职位：FPGA 应用工程师（研发部）

工作内容：
1、在项目规划初期参与项目讨论、实现方案制定。
2、项目落实阶段根据项目需求进行FPGA代码开发、调试工作；
3、根据项目需要完成相关资料的整理，工程代码上传等。

职位要求：
1、电子信息工程、自动化等相关专业，本科以上学历；
2、熟练掌握Verilog HDL语言，熟悉FPGA架构，熟悉Xilinx（AMD）或Altera（Intel）的FPGA开发工具及开发流程；
3、用过相关Kintex（如XC7K325T）、Artix（如XC7A100T）、Kintex UltraScale（如XCKU060）、Zynq 7000S（如Z-7035）FPGA有实际项目经验优先；
3、精通DDR3/4，了解GTX等高速Serdes应用设计，有实际相关项目经验优先；
4、熟悉PCIe协议、SATA协议、DisplayPort、LVDS协议优先；
5、具备一定的动手调试、独自解决问题的能力；
6、具备良好的学习、理解、沟通、团队协作能力。

职位福利：公司提供具有竞争力的薪资待遇、五险一金、额外补充险、绩效奖金、全勤奖、餐补、午餐水果、带薪年假、弹性工作、定期体检、定期旅游",FPGA Verilog LTE PCIe AMD Intel Artix Kintex,https://jobs.51job.com/suzhou-gyyq/173157343.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
FPGA开发工程师,苏州德翼汽车电子,1.2-1.8万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-06 13:10:32,job51,"岗位职责：
1. 负责标准品FPGA代码的编写、调试、验证;
2. 根据 FPGA模块功能需求，合理设计 FPGA 框架，并实现代码编写、测试、仿真验证；
3. 协同硬件、软件工程师进行整机调试；
4. 负责相关技术文档编写相关工作；
5. 负责现有产品中FPGA程序的升级维护，以及调试、文档更新等工作；
6. 领导安排的其他工作。

任职要求：
1. 电子、信息类相关专业，硕士或本科2年以上FPGA工作经验；
2. 熟悉FPGA开发流程，熟悉Altera或Xilinx开发环境，熟练使用VCS或Modelsim至少一种仿真工具；
3. 专业基础扎实，掌握较好的数字、模拟电路基础知识；
4. 熟练掌握Verilog，有良好的编码风格，熟悉 CAN/LIN等总线协议；
5. 具有良好的理解沟通能力，较强思维能力和团队协作意识，能够承受较强的工作压力。",FPGA LTE Verilog CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/168892360.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
嵌入式硬件工程师（FPGA开发）,昆山捷嵘发测控设备,1.5-3万,昆山,苏州,本科,5年及以上,2026-07-09 15:04:34,job51,"【关于我们】
我司是一家拥有15年发展历史的成熟科技企业，与国内多所高校建立深度合作，并与腾讯达成战略合作关系，是市、镇两级政府重点扶持的企业之一。

【我们为您提供】
- 发展平台：依托公司官方认定的工程技术中心，与优秀伙伴共事，技术氛围浓厚。
- 人才待遇：为重点科技人才提供10万元购房助力、股权激励，并协助解决子女入学与配偶工作问题。
- 安家保障：提供别墅作为过渡住房，距苏州南站仅10分钟车程，半小时可达华为练秋湖研发基地等核心产业区。
- 薪酬福利：五险一金，完善的薪酬体系，优秀员工年薪可达15薪以上，并享有健康体检、团建等全面福利。

【岗位职责】 
1、负责项目整体硬件方案设计、器件选型、原理图绘制、PCB Layout，涵盖激光管驱动电路、光电接收采样电路、信号调理电路、STM32主控电路、FPGA外围电路、电源电路、工业通讯及防护电路设计。
2、负责激光模组适配开发，完成激光发射、光电接收模块的硬件调试、光路匹配调试，解决激光信号噪声、信号失真、采样不稳定等硬件问题。
3、负责FPGA、STM32硬件电路调试，包括高速数据采集、差分信号、模拟信号调理、接地、抗干扰、EMC整改，保障设备工业环境稳定运行。
4、负责样机调试、可靠性测试、高低温测试、振动测试，输出硬件测试报告、整改方案，完成硬件版本迭代优化。
5、配合软件工程师完成软硬件联调，对接上位机、通讯协议，配合生产部门完成量产工艺优化、BOM整理、生产指导。
6、跟进行业精密检测设备硬件技术，优化硬件方案，降低成本、提升设备测量精度与稳定性。

【任职要求】 
1、核心硬件基础：精通模拟电路、数字电路，熟练掌握运放调理、滤波电路、差分信号处理、高精度AD/DA采样电路设计，熟悉工业设备抗干扰、EMC、安规设计规范。
2、主控硬件开发：熟练STM32全系硬件设计，精通STM32外围电路（串口、SPI、I2C、CAN、ADC、DMA等）设计与调试。
3、FPGA硬件适配：熟悉FPGA外围硬件电路设计，掌握FPGA与STM32、AD采集芯片、光电传感器的硬件对接与布线规范，懂高速信号布线、阻抗匹配。
4、激光模组硬件开发：熟悉激光二极管（激光管）驱动电路、恒功率/恒流驱动设计，掌握光电接收传感器、CCD/CMOS成像采样电路设计与调试，有光学检测设备硬件开发经验优先。
5、工具与实操能力：熟练使用Altium Designer等PCB设计软件，精通示波器、信号发生器、万用表、频谱仪等测试仪器，可独立完成硬件故障排查与整改。
6、工业通讯能力：熟悉RS485、MODBUS、以太网、USB等常用工业通讯接口硬件设计。",STM32 FPGA SPI I2C CAN Modbus 方案设计 数据采集 故障排查,https://jobs.51job.com/kunshan/172855307.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
fpga工程师,苏州龙马璞芯芯片科技,2-3万·13薪,苏州,苏州,本科,3年及以上,2026-06-23 19:40:42,job51,"1. 负责图像处理/激光驱动等相关产品的FPGA系统开发；
2. 负责产品中的FPGA部分代码实现与上机调试；
3. 负责配合数字IC验证工程师开展网表建立与验证；
4. 负责开发文档的撰写和整理",FPGA,https://jobs.51job.com/suzhou/171563432.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
FPGA工程师,苏州旭欣智能科技,2-3万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-04 11:37:48,job51,"岗位职责：
1、负责FPGA程序架构设计、代码编写、调试、验证
2、配合软件、硬件工程师进行整机调试
3、编写相关的设计文档、调试记录与报告

岗位要求：
1、本科以上学历，电子/通信/自动化/仪器仪表/信号处理类专业；
2、具有3年以上专职的 FPGA设计经验；
3、熟悉各类总线(DDR、SPI、UART、I2C、LVDS、USB 等)协议；
4、扎实的模电、数电基础知识及数学基础扎实,孰悉各类算法的 FPGA 实现
5、掌握 FPGA 资源及时序优化，熟练应用数字电路仿真测试工具",FPGA SPI UART I2C DDR LVDS USB,https://jobs.51job.com/suzhou-gyyq/168355903.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
FPGA工程师,普罗斯通信技术（苏州）,1.2-2.4万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-06-16 14:26:23,job51,"1.负责无线基站 FPGA代码的设计、开发与验证；
2.编写各类设计文档和标准化资料，实现资源、经验共享；
3.负责生产工程反馈问题的解决。

任职资格：
1.本科及以上学历，通信/电子工程等相关专业，2年以上Altera/xilinx FPGA开发经验；
2.熟悉FPGA相关的常用高速接口电路设计原理（DDR、Serdes、PCIe等）；
3.熟悉数字中频算法（如滤波器、DDS、DDC/DUC、FFT/iFFT）和CPRI协议；
4.熟悉CFR（消峰）/DPD（数字预失真）算法优先；
5.有完整的RRU或数字直放站的设计经验优先；
6.有以太网TCP/IP开发经验优先；
7.熟悉eCPRI，有open Ran前传开发经验的优先。",FPGA LTE PCIe TCP/IP DDR Serdes DDS DDC,https://jobs.51job.com/suzhou-gyyq/139832970.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
高级FPGA工程师,苏州微清医疗器械,2.8-4.5万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-10 11:18:49,job51,"岗位职责：
1、负责项目中FPGA方案及架构设计；
2、负责FPGA代码编写；
3、负责FPGA代码的仿真和调试；
4、负责控制时序，通信以及图像处理；
5、参与总体设计中逻辑设计部分的设计与资源评估；
6、负责各测试阶段中FPGA方面的测试和支持。
任职要求：
1、通信、电子、计算机等相关专业，本科5年以上，硕士3年以上FPGA逻辑设计和调测经验；
2、熟悉Xilinx A7/K7/ZYNQ FPGA芯片，有若干个大项目FPGA开发经验，精通Verilog或VHDL硬件语言；
3、熟练使用FPGA内部资源，包括PLL，RAM，DSP，以及各种IP CORE的使用；
4、分析并解决开发过程中的问题，精通FPGA的资源及时序优化；
5、具备良好的数字电路和模拟电路基础；
6、具有数字信号处理、图像处理算法或高速数据处理开发经验者优先；
7、有过高速采集LVDS、JESD204B、PCIE调试经验优先；
8、有过ZYNQ PS侧/Micro Blaze开发与调试经验优先；
8、具备较强的分析和解决问题能力，团队合作精神和良好的沟通技巧。",FPGA Verilog VHDL DSP PCIe A7 K7 ZYNQ,https://jobs.51job.com/suzhou-gyyq/172865351.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
fpga工程师,苏州路之遥智能装备,2.5-3万·13薪,苏州·高新区,苏州,本科,5年及以上,2026-06-12 10:23:20,job51,"我们期望您在以下至少一个方向上拥有突出经验与项目成果：高速数字信号传输（尤其光通信/PON）、软件无线电与信号处理​ 或 图像处理与视频系统。您将作为技术核心，主导从需求分析、架构设计到实现、优化与集成的全流程开发，攻克相关领域的技术挑战。如果您渴望在专业领域深入钻研并创造高价值解决方案，我们诚挚邀请您的加入。

主要职责
1、负责FPGA系统从方案设计、代码实现、仿真验证到上板调试的全流程开发。
2、根据专业方向，独立承担核心模块的开发与验证任务，确保设计的功能、时序和性能达标。
3、构建和维护模块级及系统级的自动化验证环境，执行全面的功能与集成测试。
4、主导或深度参与板级调试，使用各类工具定位并解决硬件与逻辑问题。
5、编写与维护清晰、准确的技术文档，包括设计文档、验证计划和测试报告。
6、与团队紧密协作，参与设计评审，并为项目中的技术难点提供解决方案。

核心技能要求
1、教育背景：电子、通信、计算机等相关专业全日制本科及以上学历。
2、必备基础：精通FPGA开发全流程（RTL设计、仿真、综合、调试）；精通Verilog/SystemVerilog；熟练使用Vivado/Quartus等工具。
方向一（高速）：精通高速SerDes/GT应用与协议（如PCIe, Ethernet）；有光通信/PON相关开发经验者优先。
方向二（无线）：精通数字信号处理算法（如滤波、FFT、调制解调）的FPGA实现；熟悉4G/5G/WiFi等无线协议物理层。
方向三（验证）：精通基于Cocotb或UVM的验证方法学；拥有丰富的FPGA板级调试与ILA等工具使用经验。
3、流程与协作：具备良好的代码、文档习惯，出色的分析和解决问题能力，以及团队协作精神。

加分项
1、通用技能：熟练使用Python/Tcl/Perl等脚本语言进行自动化开发；熟悉CI/CD流程。
2、硬件能力：具备扎实的板级调试能力，能熟练操作示波器、逻辑分析仪等",FPGA Verilog UART PCIe 4G 5G WiFi Python Perl CI/CD 需求分析 方案设计 技术文档,https://jobs.51job.com/suzhou-gxq/170880378.html?s=sou_sou_soulb&t=0_0&req=fe2185a819cfae4a966268ac84f4f343
