job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
FDE工程师,苏州富纳智能科技,1-2万,苏州,苏州,本科,3年及以上,2026-08-07 13:23:41,job51,"岗位职责 深⼊客户⼀线，将模糊业务需求拆解为清晰的技术架构⽅
案与执⾏计划；
负责数据集成与系统对接；AI ⽅向负责⼤模型微调、RAG
系统构建、Agent ⼯作流搭建；
将⽅案⾼质量部署⾄客户私有云 / 本地基础设施，处理边
界案例与性能优化；
沉淀前线通⽤需求与产品缺陷，⾼保真反馈总部研发，推
动标准化产品迭代；
制作操作⼿册、开展客户培训，保障⽅案⻓期稳定运⾏。
⼯作内容 场景拆解 · 定制开发（RAG / Agent）· 现场部署（Docker
/ K8s / 私有云）· 客户培训 · 项⽬全周期交付与持续优化 ·
产品反馈闭环。
具体要求 本科及以上，计算机相关；扎实算法与代码功底，精通
Python / Java / Go ⾄少⼀种；
熟悉 LLM 原理，有 RAG、向量数据库、Agent 开发或⼤
数据组件（Spark / Flink）实战经验；
熟练 Docker / Kubernetes，熟悉主流公有云（阿⾥云
等）部署；
极强沟通⼒，兼具""⼯程脑""与""商业脑""，能快速理解制造
业业务逻辑；
抗压⾃驱，适应短期出差 / 驻场（富纳含常熟、苏州及合
作基地驻场）。",RAG Agent Docker K8s Python Java Go LLM 向量数据库 Spark Flink Kubernetes 产品迭代 培训,https://jobs.51job.com/suzhou/173189629.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
java开发工程师（银行经验，出差）,南京日冲软件,1.2-1.3万,苏州,苏州,本科,3年及以上,2026-06-29 14:18:08,job51,"工作职责
1、参与项目方案设计、开发和技术测试工作；
2、根据项目要求，配合项目经理参与项目可行性与需求分析；
3、负责相关系统日常运维、迭代需求设计及开发。
4、参与相关系统或项目模块标准化文档的编写。
5、完成交办的其他工作事项。
任职资格
1、统招大学本科或以上学历，计算机或相关专业毕业；
2、3年以上JAVA开发经验，熟悉db2、oracle、mysql等一种数据库；
3、有传统支付相关银行现场实施经验至少1年；
4、具备良好的表达沟通能力，有良好的协调组织能力，高度的工作热情和客户服务意识；
5、有较好的团队合作意识和积极的主动的心态，有责任心和使命感。
6、有强烈的责任心、良好的表达及沟通能力、团队协作精神及独立解决问题能力。",Java Oracle MySQL 方案设计 需求分析 客户服务,https://jobs.51job.com/suzhou/172724428.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
Java开发工程师,苏州金记食品,1.3-1.6万·13薪,苏州·吴中区,苏州,本科,2年及以上,2026-06-23 13:15:51,job51,"岗位职责：
1. 负责公司信息化系统（如ERP）功能开发，完成代码编写与测试；
2. 独立完成功能模块的技术方案设计，包括接口规范、数据库设计与评审；
3. 完成接口性能优化，包括SQL调优、接口逻辑重构等；
4. 负责功能上线后的故障排查与日常运维；
岗位要求：
1. 统招本科及以上，计算机相关专业；
2. 熟练掌握Java，具备良好的代码质量与工程习惯；
3. 熟悉SQL Server，能够独立阅读执行计划并进行SQL优化；
4. 会熟练使用codex、claude code工具辅助开发者优先。；
5. 逻辑思维清晰，有较好的执行力，具备团队协作意识与带教潜质。",SQL Java SQL Server 技术方案 故障排查 Server,https://jobs.51job.com/suzhou-wzq/168719645.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
Java工程师,儒拉玛特自动化技术（苏州）,8千-1.5万·14薪,苏州·苏州工业园区,苏州,本科,1-3年,2026-08-05 14:37:00,job51,"工作职责
1. 负责MES系统（制造执行系统）及产线相关后端接口开发、需求落地、代码优化，确保系统稳定、高效运行，适配产线生产调度、数据采集、流程管控等核心场景。
2. 基于Java、SpringBoot框架进行微服务架构设计与开发，参与系统需求分析、技术方案评审、接口文档编写，保障代码质量与开发效率。
3. 负责PostgreSQL数据库的设计、优化，包括复杂SQL编写、索引优化、事务控制、存储过程开发，支撑MES系统海量产线数据的存储与查询。
4. 集成各类中间件（Redis、RabbitMQ/Kafka、Elasticsearch等），实现系统异步解耦、数据缓存、消息投递、日志检索等功能，适配产线高并发、高可用需求。
5. 配合前端、测试及业务部门，完成MES系统联调、问题排查、版本迭代，持续优化系统性能、提升用户体验。
6. 关注行业技术动态，引入合适的技术方案，解决MES系统及产线数字化过程中的技术难点，推动系统迭代升级。
7. 参与技术文档编写、代码评审，规范开发流程，提升团队研发能力。

任职资格
1. 本科及以上学历，计算机、软件工程、电子信息等相关专业，1-3年及以上Java后端开发经验。
2. 优先考虑有MES系统开发经验、产线数字化系统开发经验者，熟悉MES核心业务（生产调度、工序管理、数据采集、质量追溯等）者优先，可放宽部分条件。
3. 精通Java语言，熟练掌握JDK8+新特性（Lambda、Stream、函数式编程等），熟悉Java并发编程、IO、集合框架，具备扎实的Java基础。
4. 熟练使用SpringBoot框架进行后端开发，熟悉SpringCloud微服务生态（Nacos、Feign、Gateway等），能独立完成微服务模块开发与部署。
5. 熟练使用PostgreSQL数据库，具备丰富的数据库设计、复杂SQL编写、索引优化、事务处理经验，了解MySQL、时序数据库者加分。
6. 熟悉各类中间件使用：熟练使用Redis进行缓存设计与优化，熟练使用RabbitMQ/Kafka实现消息队列、异步通信，了解Elasticsearch、MinIO、XXL-JOB等中间件者优先。
7. 熟悉RESTful接口设计规范，能独立编写接口文档，具备接口调试、问题排查能力，了解Swagger、Postman等工具。
8. 了解Docker容器化部署、Git版本控制，熟悉Linux系统基本操作，能独立处理开发、测试及生产环境的常见问题。
9. 具备良好的代码规范，有较强的问题分析与解决能力，能快速定位并解决开发过程中的技术难题。",Java Spring 微服务 PostgreSQL SQL Redis RabbitMQ Kafka Elasticsearch 高并发 高可用 MySQL Docker 容器化 Git Linux 数据采集 需求分析 技术方案 文档编写 技术文档,https://jobs.51job.com/suzhou-gyyq/172408162.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
java开发工程师-银行,厦门至恒融兴信息技术,1-1.3万,苏州,苏州,本科,3年及以上,2026-07-27 16:25:07,job51,"【工作内容】
1、负责银行核心业务系统后端模块的代码编写、单元测试及功能迭代开发；
2、参与系统架构设计与数据库优化，确保高并发场景下的系统稳定性与安全性；
3、配合测试团队完成需求分析、代码评审及生产环境部署，快速响应线上故障；
4、编写高质量技术文档，包括接口定义、设计说明书及运维操作手册；
5、持续跟进金融领域新技术，优化现有代码性能并提升系统可维护性。

【任职要求】
1、计算机相关专业本科及以上学历，拥有3年以上Java后端开发经验；
2、精通Spring Boot、Spring Cloud等主流框架，熟悉MySQL及Redis数据库应用；
3、具备扎实的Java基础，深入理解多线程编程、JVM调优及网络通信原理；
4、有银行或金融行业项目经历者优先，熟悉国密算法及金融安全规范；
5、具备良好的沟通协作能力与抗压能力，对代码质量有极高追求且责任心强。",高并发 Java Spring Boot Spring Cloud MySQL Redis 需求分析 技术文档,https://jobs.51job.com/suzhou/173055135.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
java开发工程师,亦笙生命科技（苏州）,1-1.4万·13薪,苏州,苏州,本科,2年及以上,2026-08-07 08:58:47,job51,"【工作内容】
1、负责核心业务系统的后端代码编写、模块设计及功能迭代开发；
2、参与系统架构优化，解决高并发场景下的性能瓶颈与技术难题；
3、配合前端及测试团队完成接口联调，确保项目按时高质量交付；
4、撰写并维护技术文档，持续进行代码重构以提升系统可维护性；
5、响应线上故障，快速定位问题根源并实施修复方案保障系统稳定。

【任职要求】
1、计算机相关专业本科及以上学历，2年及以上相关经验，具备扎实的Java基础与数据结构知识；
2、精通Spring Boot、MyBatis等主流框架，熟悉MySQL数据库及SQL优化；
3、熟练掌握Redis、RabbitMQ等中间件，有微服务架构实战经验者优先；
4、具备良好的代码规范意识，拥有良好的沟通协作能力及问题解决能力；
5、工作责任心强，抗压能力强，对新技术保持敏感并乐于接受挑战。",高并发 Java Spring Boot MyBatis MySQL SQL Redis RabbitMQ 微服务 技术文档,https://jobs.51job.com/suzhou/172995282.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
Java开发（银行支付经验）,南京日冲软件,1.3-1.4万,昆山,苏州,本科,3年及以上,2026-07-16 16:50:28,job51,"工作职责
1、参与项目方案设计、开发和技术测试工作；
2、根据项目要求，配合项目经理参与项目可行性与需求分析；
3、负责相关系统日常运维、迭代需求设计及开发。
4、参与相关系统或项目模块标准化文档的编写。
5、完成交办的其他工作事项。
任职资格
1、统招大学本科或以上学历，计算机或相关专业毕业；
2、3年以上JAVA开发经验，熟悉db2、oracle、mysql等一种数据库；
3、有传统支付相关银行现场实施经验至少1年；
4、具备良好的表达沟通能力，有良好的协调组织能力，高度的工作热情和客户服务意识；
5、有较好的团队合作意识和积极的主动的心态，有责任心和使命感。
6、有强烈的责任心、良好的表达及沟通能力、团队协作精神及独立解决问题能力。",Java Oracle MySQL 方案设计 需求分析 客户服务,https://jobs.51job.com/kunshan/172939652.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
java开发工程师,苏州麦迪斯顿医疗科技,1.2-1.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-22 15:53:06,job51,"一、技术能力要求
1. 熟练掌握 Java 15 及以上核心技术、Docker Compose、rxJava 2、Spring 基础框架、Spring Boot，具备单元测试实操能力
2. 有 REST 接口开发经验，熟悉 HTTP 通信协议
3. 掌握外观模式、命令模式、命令查询职责分离（CQS）等设计模式
4. 理解关系型 SQL 数据库与非关系型 NoSQL 数据库原理与使用
5. （优先加分项）了解分布式系统架构、微服务体系
6. （优先加分项）掌握 Kafka 或其他消息中间件
7. （优先加分项）熟悉 Jenkins、K8s、Grafana、ELK 等运维监控工具或同类组件

二、任职经验要求
1. 软件开发岗位3年及以上工作经验
2. 具备日语听说流利、英语读写流利
3. 有 Scrum 敏捷开发落地经验

 三、职业素养要求
1. 乐于学习、落地、拓展自研内部框架与技术方案
2. 具备成长思维：不仅追求个人提升，也助力团队成长、共创公司业务成果
3. 拥有乐于分享、带教他人的讲师思维（重点加分项）

 四、岗位职责
1. 基于 EIS 开发平台，结合业务需求完成功能设计与开发，负责线上存量系统运维支撑
2. 对接业务分析师、客户，深度梳理业务需求与真实诉求
3. 编写自动化测试用例，覆盖所有交付功能
4. 全程参与 Scrum 敏捷会议：迭代规划、需求梳理、站会、复盘总结
5. 严格遵循开发***实践与团队规范开展工作
6. 负责新人带教；依托内部知识平台 EIS Stack Overflow 答疑、沉淀技术问题
7. 完整参与软件研发全生命周期，协同团队达成整体项目目标

 五、公司提供福利（原文 + 补充中文福利合并翻译）
1. 多元化技术分享、专业培训学习机会
2. 国际化多元工作氛围
3. 商业医疗保险
4. 氛围融洽、激励型团队
5. 弹性工作制、带薪年假、带薪病假",Java Docker Spring Spring Boot SQL 分布式 微服务 Kafka Jenkins K8s Grafana 技术方案 系统运维 自动化测试 培训,https://jobs.51job.com/suzhou-gyyq/173005436.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
Java开发工程师,江苏深巡科技,6千-1万·13薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-07-28 10:35:55,job51,"〖岗位职责〗
1.负责安消防智能化系统与前端采集设备的数据接入工作；
2.配合项目团队完成相关项目的现场调试工作；
3.熟悉安消防相关的智能化设备及其通讯和组网方式。

〖任职要求〗
1.	本科及以上学历，计算机、物联网等相关专业，1年以上开发经验；
2.	熟悉物联网设备接入流程，包括设备调试、数据传输、协议适配等；
3.	熟悉工业控制及物联网相关协议，如Modbus、MQTT、LoRaWAN、HTTP、TCP/IP(Websocket)等；
4.	具备协议解析与开发能力，能够根据协议规范实现设备与平台之间的通信对接，解决协议适配过程中出现的问题；
5.	熟练掌握Java，具备扎实的Java基础，熟悉多线程、IO等技术；
6.	熟悉Spring、SpringBoot、SpringCloud等主流Java开发框架，能够运用相关框架进行物联网设备接入服务的开发与搭建；
4.熟练使用progresql、mysql、sqlserver等常用数据库；
5.具有良好的学习、沟通能力，对工作认真负责、有团队合作精神；",Modbus MQTT LoRA TCP/IP WebSocket Java Spring SQL MySQL,https://jobs.51job.com/suzhou-gyyq/161762461.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
it开发工程师（J10020）,优护优家健康科技（苏州）,1-1.6万,昆山,苏州,大专,3年及以上,2026-06-22 11:47:03,job51,"岗位名称：信息系统开发工程师

岗位职责：
1、负责核心业务系统（T100、OA、PLM等）二次开发与优化，涵盖业务逻辑调整、流程配置、报表定制及系统间接口对接。
2、负责数据库开发与性能优化，包括复杂查询、存储过程编写及数据结构设计，支撑经营分析报表与数据中台建设。
3、探索AI在内部系统中的落地应用，如文档自动生成、数据自动核对等场景。

任职要求：
（一）技术能力
1、精通Java及Spring Boot/Spring Cloud框架；熟悉.NET Core或C#者优先。
2、熟悉Oracle、MySQL、SQL Server等数据库，具备复杂SQL编写、性能调优及存储过程开发能力。
3、掌握HTML、CSS、JavaScript，熟悉Vue.js或React，能独立完成报表及后台页面开发。
4、熟悉RESTful API、Web Service等接口规范，能独立完成系统间数据对接。
（二）AI工具应用
熟练使用AI编程工具辅助开发，了解主流AI工具并能结合业务场景探索落地应用。
（三）行业与经验
1、统招大专及以上学历，计算机、软件工程、信息管理等相关专业。
2、3年以上制造业信息化系统开发或实施经验，熟悉制造业核心业务流程。
3、有T100、泛微OA或PLM系统开发经验者优先。",Java Spring Boot Spring Cloud C# Oracle MySQL SQL Server SQL JavaScript Vue React,https://jobs.51job.com/kunshan/172632315.html?s=sou_sou_soulb&t=0_0&req=14a01556ac88d779f37c5674804157db
