job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
Shopify 独立站后端开发,苏州惠禾科技,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-07-14 17:18:05,job51,"岗位职责
本岗位为Shopify独立站复合型开发，兼顾UI前端落地与轻后端接口开发，负责公司跨境DTC独立站的功能定制、页面迭代、数据对接与全站运维优化：
1、承接UI设计稿，独立完成Shopify全站页面1:1还原定制，包含首页、商品页、合集页、详情页、购物车、结算页，实现个性化交互、多设备适配、样式兼容优化。
2、精通Online Store 2.0架构，独立完成主题二次开发、自定义Section组件搭建，根据运营转化需求迭代页面功能、修改模块样式、优化用户浏览体验。
3、负责后端接口开发与数据对接，熟练调用Shopify Admin/Storefront GraphQL&amp;REST API、配置Webhook，实现商品、订单、库存、客户数据自动化同步，处理接口异常、数据纠错与业务逻辑校验。
4、专注站点性能优化，针对性提升Core Web Vitals核心指标，解决页面加载慢、卡顿、兼容异常等问题，助力网站SEO优化与店铺转化率提升。
5、独立对接集成跨境常用第三方工具，包含支付、物流、邮件营销、测评、折扣插件，完成功能调试、适配兼容，保障店铺全流程业务正常运转。
6、负责多店铺日常运维、线上bug修复、版本迭代更新，沉淀通用组件、接口方案与开发规范，保障项目稳定、高效落地。
任职要求
1、1年及以上全职Shopify独立站开发经验，非自学demo经验，熟练掌握Liquid、HTML/CSS、原生JavaScript，可独立完成主题改造、页面定制与交互开发。
2、具备扎实的轻后端开发能力，熟练使用Node.js/Java/PHP任意技术栈，可独立完成接口开发、Shopify API对接、Webhook数据同步与问题调试。
3、具备优秀的UI还原能力，精准落地设计稿，熟练处理移动端/PC端适配、浏览器兼容、交互细节优化，无明显视觉偏差与功能bug。
4、具备独立线上问题排查能力，可自主解决页面报错、接口异常、性能卡顿、数据同步失败等各类线上问题，持续跟进Shopify官方版本迭代更新。
5、逻辑严谨、责任心强，具备良好的跨部门沟通能力，可高效配合设计、运营、产品推进项目迭代，严格把控开发质量与交付效率。",JavaScript Node.js Java PHP Store Admin Storefront GraphQL,https://jobs.51job.com/suzhou-gyyq/172909502.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
IOT工程师,麦豆智能电气（苏州）,8千-1.2万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-07-24 14:36:10,job51,"岗位职责
1. 负责公司物联网设备管理平台的设计与开发，包括：
 * 用户账号体系
 * 项目管理
 * 设备管理
 * 数据采集与存储
 * 设备远程控制
 * 数据可视化展示
2. 负责 MQTT 物联网通信平台开发
 * 设备接入管理
 * MQTT Topic 设计
 * 消息订阅与发布
 * 设备状态管理
 * 数据解析与处理
3. 负责后端服务开发：
 * 设计 RESTful API 接口
 * 用户权限管理
 * 多项目、多设备数据隔离
 * 设备控制指令下发
 * 操作日志、报警记录等功能开发
4. 负责数据库设计与优化：
 * 设备信息管理
 * 电能数据存储
 * 历史数据查询
 * 数据统计分析
5. Web 管理平台开发：
 * 项目列表
 * 设备列表
 * 实时数据展示
 * 电能曲线
 * 分合闸控制界面
6. 负责系统部署、调试和维护：
 * Linux服务器部署
 * Docker环境搭建
 * MQTT服务器维护
 * 系统性能优化

# 任职要求
1. 熟悉后端开发，有物联网平台开发经验。
2. 熟练掌握以下一种或多种后端语言：
 * Go（优先）
 * Java
 * Python
 * Node.js
3. 熟悉 MQTT 协议：
 * Topic设计
 * QoS机制
 * 消息发布/订阅
 * 设备在线状态管理
4. 熟悉数据库：
 * MySQL / PostgreSQL
 * 数据表设计
 * SQL优化
5. 熟悉 Web 开发：
 * REST API设计
 * WebSocket实时通信
 * 前后端分离开发
6. 熟悉 Linux 环境：
 * 服务部署
 * 日志分析
 * 网络调试",MQTT Linux Docker Go Java Python Node.js MySQL PostgreSQL SQL WebSocket 项目管理 数据采集 日志分析,https://jobs.51job.com/suzhou-gxq/173032348.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
技术对接人,兰笺（苏州）科技,1-2万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-12 14:58:13,job51,"岗位职责：
1.负责日常的技术交流、方案汇报及答疑。能够准确理解客户的业务痛点与技术诉求，将模糊的业务语言转化为清晰、可执行的技术需求文档，并精准反馈给公司研发团队。
2.对客户在项目推进或产品使用过程中遇到的各类技术问题提供及时、专业的解答与排查支持；协调内部研发资源，推动复杂问题的快速定位与解决，确保客户满意度。
3.参与项目前期的技术可行性评估，结合对前后端架构的了解，为客户提供合理的技术选型建议与落地方案；在研发交付阶段，协助把控产品质量，确保最终产出符合客户预期。
4.紧密串联客户端与公司内部产研团队，跟进需求的开发进度，定期向客户同步项目里程碑与阶段性成果，有效管理客户期望，保障项目平稳交付。
任职要求：
1.计算机或相关专业出身，具备丰富的软件开发经验。对主流的前后端框架（如 Vue/React、Spring Boot/Node.js 等）、数据库设计、API接口规范及系统架构有全面且深入的了解，能与研发工程师无障碍进行底层技术探讨。
2.言行谈吐专业得体，具备极强的同理心与服务意识。能够在面对不同层级的客户（从业务高管到一线技术人员）时灵活切换沟通策略，做到不卑不亢、逻辑清晰。
3.具备优秀的问题分析与抽象能力，能够从繁杂的客诉和零散的对话中迅速抓取核心诉求，避免需求传递过程中的信息失真。
4.具备良好的时间管理与多线程处理能力，面对客户的紧急问题或突发状况能保持冷静，及时给出安抚措施与初步解决方案。
加分项：
•有过售前技术支持、实施项目经理或乙方驻场技术负责人等相关经验者优先。
•熟悉智慧工地相关业务场景，了解相关技术栈者优先。
•具备 PMP 证书或优秀的文档撰写能力（能独立输出高质量的技术方案、需求规格说明书）。",Vue React Spring Boot Node.js 技术支持 技术方案,https://jobs.51job.com/suzhou-gyyq/172534116.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
全栈开发工程师（Web应用方向）,苏州材科源图科技,1.3-1.8万·14薪,苏州,苏州,本科,2年及以上,2026-07-15 16:27:26,job51,"岗位职责：
1.负责公司Web应用及智能体交互界面的前后端全栈开发，涵盖架构设计、开发与维护；
2.使用 React 或 Vue 进行前端界面开发，使用 Node.js (或其他主流后端技术)进行服务端开发；
3.负责RESTful/GraphQL API接口设计、开发与对接，实现前后端高效协作；
4.实现Markdown内容渲染与格式转换、数据可视化后台管理界面等功能模块；
5.负责整体页面交互设计、性能优化及用户体验提升；
6.熟练使用AI辅助编程工具（如Cursor、Copilot、Qrder等）提升开发效率与代码质量；
7.参与技术选型、代码评审，推动团队工程化水平提升。

任职要求：
1.计算机、软件工程等相关专业，本科211及以上学历，2年以上Web开发经验（优秀者可放宽）；
2.熟练掌握HTML5/CSS3/JavaScript/TypeScript，具备良好的编码规范；
3.熟练使用React或Vue及其生态（状态管理、路由、构建工具）；
4.熟练使用Node.js及主流框架（如Express/Nest.js/Koa），有数据库（MySQL/PostgreSQL/MongoDB）使用经验；
5.熟悉JSON API设计规范、Markdown处理工具（如remark、markdown-it）；
6.熟练使用AI辅助编程工具，能够通过AI提高编码效率、辅助代码审查和问题排查；
7.具备独立完成模块开发的能力，能设计简洁美观的交互界面；
8.具备良好的英文技术文档读写能力。

 福利待遇：
【加入我们，定义材料科学的未来形态】
我们是一支由985高校硕博组成的材料AI先行者团队，正用AI重构物质世界的可能性。如果你厌倦在既定轨道上奔跑，渴望参与从0到1的创造，这里有你需要的所有支撑：
▌长期价值 · 共同成长
• 早期核心成员将获得期权激励，成为公司的共建者而非雇员
• 与985高校背景的研发团队深度协作，思维碰撞无壁垒
▌当下保障 · 专注创造
• 入职即享六险二金（含补充医疗+企业年金）
• 采用月度+季度双倍激励体系，让优秀表现获得即时回报
• 每月提供餐补+交补，并设立专属探亲假与带薪病假
▌未来视野 · 无限可能
• 每年深度健康体检，支持可持续创新
• 深耕材料AI赛道——这是属于科学探索者的星辰大海
• 在这里，你写下的每一行代码都在重新定义行业边界
我们寻找这样的同行者：
• 相信AI能解码材料的深层逻辑
• 在不确定中看到可能性，在混沌中找到路径
• 追求技术深度与商业价值的共振
我们正在寻找的，不是员工，而是材料科学新范式的共建者。",React Vue Node.js HTML5 CSS3 JavaScript TypeScript Express Koa MySQL PostgreSQL MongoDB 技术文档,https://jobs.51job.com/suzhou/172923749.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
前端开发工程师（应届）,兰笺（苏州）科技,6千-1万,苏州·苏州工业园区,苏州,本科,无需经验,2026-06-28 19:09:49,job51,"岗位职责
1.系统页面开发与维护：负责公司业务系统 Web 端页面的开发与迭代，基于设计稿或原型图完成高质量的前端页面还原，确保多浏览器兼容性与交互体验。
2.前后端接口联调：配合后端工程师完成 RESTful API 的对接与调试，基于接口文档完成数据绑定、状态管理及异常场景的前端处理。
3.前端组件库建设：参与团队前端组件库的规划与开发，封装可复用的业务组件，提升团队开发效率与代码一致性。
4.性能与体验优化：参与页面加载性能优化（首屏渲染、懒加载、缓存策略等），持续改善用户交互体验。
5.技术文档沉淀：负责组件使用说明、前端开发规范及项目相关技术文档的编写与维护。
任职要求
1.全日制本科一批或 211/985 院校，计算机科学与技术、软件工程、信息管理与信息系统等相关专业。
2.前端基础扎实：熟练掌握 HTML5、CSS3 及 JavaScript（ES6+），理解语义化标签、Flex/Grid 布局、事件模型、Promise 及 async/await 等核心机制。
3.TypeScript 能力：了解 TypeScript 基础类型系统、接口与泛型的使用，能在实际开发中编写类型安全的代码，有 TypeScript 项目实践者优先。
4.前端框架应用：熟悉 Vue.js 2/3 或 React 框架的核心概念（组件化、响应式数据、生命周期、状态管理等），了解 Vue Router / React Router 及状态管理库的基本用法。
5.HTTP 与调试工具：理解 HTTP/HTTPS 协议基础、常见状态码含义及浏览器同源策略；熟练使用 Chrome DevTools 进行页面调试与网络分析。
6.构建工具链：了解 Webpack 或 Vite 的基本配置与核心概念（loader、plugin、HMR 热更新等），能独立完成项目的构建与本地开发环境搭建。
7.工程化与协作：熟练使用 Git 进行版本管理与协作开发；具备良好的代码规范意识，能遵循 ESLint/Prettier 等团队配置；思维清晰，沟通主动，具备团队协作精神。
加分项
有个人技术博客或 GitHub 开源项目 / 贡献者优先。
了解 Node.js 基础或有过 Express / Koa 简单使用经验者优先。
了解移动端适配（rem / vw / 媒体查询）或有过小程序 / UniApp 开发经验者优先。
了解前端性能优化指标（FCP / LCP / CLS）及常见优化手段者优先。
了解 Element Plus / Ant Design 等 UI 组件库的使用与二次封装。",HTML5 CSS3 JavaScript TypeScript Vue React Webpack Vite Gin Git Node.js Express Koa UniApp 技术文档 版本管理,https://jobs.51job.com/suzhou-gyyq/172716159.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
全栈工程师,昆山汉唐金缘文化发展,8千-1.2万,昆山,苏州,本科,3年及以上,2026-07-07 17:09:00,job51,"岗位职责: 
1、参与公司跨境电商系统研发，包括 自建商城、ERP系统、广告系统及数据看板等业务系统开发；
2、负责电商平台核心模块开发，包括商品、订单、库存、营销、用户等业务功能；
3、参与 Shopify系统对接及数据同步开发，包括订单、商品、库存等接口集成；
4、参与公司 Shopify 一自建站系统架构设计与开发；
5、负责 广告投放系统、素材管理系统及BI数据看板等内部系统开发；
6、参与系统性能优化、高并发处理及系统稳定性建设；
7、与产品、运营团队协作，持续优化电商系统功能和用户体验；

任职要求: 
1、统招本科及以上学历
2、3年以上开发经验，计算机相关专业优先
3、熟练掌握 Node.js / JavaScript / TypeScript
4、熟练使用 React/ Vue 等前端框架
5、熟悉 RESTful API设计与开发
6、熟悉 MySQL/ PostgreSQL 等数据库设计与优化
7、熟悉 Redis缓存、消息队列等后端常见技术
8、熟悉 Linux、Docker、Git 等开发及部署环境

【工作时间】
1.工作时间，周一至周五：8:30-17:30，周末双休
2.法定节假日正常休息
【薪资福利】
1.完善的薪资体系；
2.五险一金，带薪年休假，节日福利，员工旅游；
3.公司提供宿舍。",高并发 Node.js JavaScript TypeScript React Vue MySQL PostgreSQL Redis Linux Docker Git,https://jobs.51job.com/kunshan/171957196.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
前端工程師,苏州虹保世纪科技,1-1.5万·14薪,苏州·高新区,苏州,本科,3年及以上,2026-08-06 09:40:52,job51,"岗位职责】
1. 负责公司核心业务前端架构设计与性能优化，善用AI工具提升开发效率与代码质量；
2. 基于项目需求，开发相关系统界面与前端组件；
3. 对接 UI/UX、产品、后端团队，推进需求落地，保障体验一致性；
4. 负责主流浏览器兼容适配、测试与体验优化；

【任职要求】
1. 3年以上前端开发经验，2年以上以React为主导的项目经验，必须熟练掌握React
2. 熟练掌握JavaScript/TypeScript、HTML、CSS，熟练使用ECharts等数据可视化库；
3. 熟练使用各种常用前端开发工具，如Node.js、npm、Chrome DevTools（Elements/Network/Performance）、React DevTools等；
4. 熟练使用构建工具（Vite）进行配置优化、Tree Shaking、Loader/Plugin开发。掌握Git协作流程、ESLint+Prettier代码规范、单元测试与E2E测试实践；
5. 具备良好的问题解决能力、逻辑思维与沟通协调能力，能独立负责复杂模块从设计到落地的全流程，能承受一定工作压力；
6. 熟练使用AI开发工具，具备优秀的Prompt工程能力，能有效利用AI加速前端开发、提升代码质量并解决复杂技术问题；

【加分项】
1. 熟悉WebAssembly、MQTT、WebSocket等物联网相关技术；
2. 掌握Python/Node.js/Go任一后端语言；
3. 能阅读英文文档，有开源贡献优先。",React JavaScript TypeScript Node.js Vite Gin Git Prompt MQTT WebSocket Python Go,https://jobs.51job.com/suzhou-gxq/171674389.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
web前端开发工程师,苏州材科源图科技,1.2-1.8万·14薪,苏州,苏州,本科,2年及以上,2026-07-15 11:37:47,job51,"岗位职责：
1、负责公司网站及相关 Web 项目（智能体的前端交互界面）的前端架构设计、开发与维护；
2、使用 Next.js 或其他现代前端框架开发高性能网站和应用；
3、实现 JSON 数据接口对接、Markdown 内容渲染与格式转换 等内容管理工具开发；
4、负责页面交互设计与用户体验优化，提升整体可用性与访问速度；
5、根据运营需求，开发后台管理界面与数据展示页面；
6、关注前端技术发展，积极学习和应用新技术、新工具，推动团队技术进步和创新。
任职要求：
1、计算机、软件工程等相关专业，本科211大学以上学历，2年以上前端开发经验（优秀者可放宽）；
2、熟练掌握 HTML5、CSS3、JavaScript / TypeScript ，具有良好的代码规范。熟悉版本控制工具 Git 及团队协作流程；
3、熟练使用至少一种 Next.js或者其他前端框架以及相应开发生态；
4、熟悉 JSON 数据接口处理、Markdown 格式内容转换与渲染相关工具（如 remark、markdown-it 等）；
5、能独立设计并呈现简洁美观的用户交互界面；
6、具备良好的英文读写能力。

福利待遇：
【加入我们，定义材料科学的未来形态】
我们是一支由985高校硕博组成的材料AI先行者团队，正用AI重构物质世界的可能性。如果你厌倦在既定轨道上奔跑，渴望参与从0到1的创造，这里有你需要的所有支撑：
▌长期价值 · 共同成长
• 早期核心成员将获得期权激励，成为公司的共建者而非雇员
• 与985高校背景的研发团队深度协作，思维碰撞无壁垒
▌当下保障 · 专注创造
• 入职即享六险二金（含补充医疗+企业年金）
• 采用月度+季度双倍激励体系，让优秀表现获得即时回报
• 每月提供餐补+交补，并设立专属探亲假与带薪病假
▌未来视野 · 无限可能
• 每年深度健康体检，支持可持续创新
• 深耕材料AI赛道——这是属于科学探索者的星辰大海
• 在这里，你写下的每一行代码都在重新定义行业边界
我们寻找这样的同行者：
• 相信AI能解码材料的深层逻辑
• 在不确定中看到可能性，在混沌中找到路径
• 追求技术深度与商业价值的共振
我们正在寻找的，不是员工，而是材料科学新范式的共建者。",Next.js HTML5 CSS3 JavaScript TypeScript Git,https://jobs.51job.com/suzhou/169514282.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
资深H5前端开发工程师,通祐电梯,1-1.5万,昆山,苏州,本科,5年及以上,2026-07-16 10:52:22,job51,"岗位职责：
1、负责公司产品的前端架构与开发，完成页面功能与公共组件的封装。
2、主导PC端、移动端开发，确保多端兼容性与交互一致性。
3、通过AI辅助编程提升代码编写、代码质量及排查速度，基于AI将公司业务场景在前端应用并落地。
4、与UX/UI设计师、产品经理紧密配合，从技术角度优化用户体验，持续进行前端性能调优。
5、负责前端工程化建设，封装高复用组件，优化底层框架，推动前端模块化与标准化进程。
6、与后端工程师高效协作，完成接口定义、数据交互及前后端联调，确保业务逻辑的准确实现。
7、完成领导交办的其他技术或团队协作任务。
岗位要求：
1、统招本科及以上学历，5年及以上前端开发经验，具备扎实的PC端及移动端大型项目开发、性能优化经验。
2、具备良好的AI素养，精通开发中使用AI工具辅助编码、生成单元测试或优化代码逻辑，能利用AI显著提升研发效能。
3、精通HTML5、CSS3底层原理，熟练掌握原生JavaScript，具备扎实的原生代码编写与调试能力。
4、深度掌握Vue3或React框架，熟悉其核心原理及全生命周期开发技巧；熟练使用TypeScript、Node.js以及02Element/AntD02等主流UI框架。
5、熟练掌握Git代码管理，精通Webpack、Vite等前端构建工具，熟练操作CI/CD自动化工具。
6、有物联网（IoT）相关项目开发经验者优先考虑。
7、具备一定的UI设计能力或审美素养，能独立进行简单的界面调整与优化者优先。",HTML5 CSS3 JavaScript Vue React TypeScript Node.js Git Webpack Vite CI/CD,https://jobs.51job.com/kunshan/172417788.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
高级全栈开发工程师,江苏硕晟软件科技,1.2-2万,苏州·吴中区,苏州,本科,8年及以上,2026-07-25 15:56:23,job51,"岗位职责:
1、负责项目前后端全栈研发，涵盖用户、商户、订单、支付、会员营销等核心业务模块。
2、负责APP、H5、小程序、运营后台、商家后台开发，接口设计、业务逻辑开发、数据库设计及性能优化。
3、对接微信/支付宝支付、地图定位、短信推送、OSS存储等第三方服务，保障系统高并发、高可用、数据稳定。
4、参与技术方案评审、问题排查、版本迭代与线上维护，持续优化产品体验与系统性能。

任职要求:
1、本科及以上学历，8年以上全栈开发经验，有本地生活/同城服务/外卖APP/出行app/旅游app/商旅/家政/招聘等项目经验优先。
2、前端熟练掌握
语言:JavaScript, Dart, Swift, Kotlin
框架：uni-app / React Native / Vue, Flutter, iOS
原生，Android原生。
3、后端精通
开发语言:Java/PHP
Java 框架:Spring/Spring Boot，具备SpringCloud微服务架构或经典分层架构
PHP框架:ThinkPHP/Laravel主流框架
4、熟悉SpringCloud, MyBatis-Plus, Node.js/Nest5、熟练使用MySQL、Redis，懂索引优化、事务、分布式缓存、高并发处理。
6、熟悉Linux、Git，了解Docker部署，有支付对接、地图集成、订单系统开发经验优先。
7、逻辑思维强，能独立攻坚业务模块，沟通协作好，抗压能力强，具备良好代码规范和自驱力。",高并发 高可用 JavaScript Swift Kotlin React Native Vue Flutter Java PHP Spring Spring Boot 微服务 MyBatis-Plus Node.js MySQL Redis 分布式 Linux Git Docker 技术方案,https://jobs.51job.com/suzhou-wzq/172673826.html?s=sou_sou_soulb&t=0_0&req=c0e4be4f831138477f69d3f4180a3ef5
