job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI数据中心工程师,苏州玖隆再生科技集团,1-1.2万,苏州,苏州,本科,3年及以上,2026-06-26 09:42:46,job51,"负责公司数据治理、数据运维分析及AI模型落地、轻量化AI应用搭建，兼顾基础IT支撑工作，助力企业数字化、智能化升级；

- 本科及以上学历，计算机、大数据、人工智能、软件工程等相关专业，3年以上相关工作经验。
- 熟练掌握Python、SQL，精通主流数据库，熟悉数据治理、数据分析及可视化相关工作。
- 了解AI模型微调、轻量化部署、容器化运维，具备AI应用落地实操经验。
- 熟悉Linux基础操作，具备独立排查数据、系统、模型常见故障的能力。 
- 工作严谨负责，具备良好的沟通协作能力和自主学习能力，有业务思维。",Python SQL 容器化 Linux 数据治理 数据分析,https://jobs.51job.com/suzhou/172697256.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
AI部署工程师,杭州盈泽商业管理,8千-1.3万,苏州·苏州工业园区,苏州,本科,1-3年,2026-07-13 13:21:47,job51,"岗位职责：
1. 负责利用 AI 编程工具（如 Cursor、GitHub Copilot 等）开展公司内部数字化产品、管理工具及自动化脚本的设计、开发、测试与部署工作，能够独立完成小型软件项目的全流程交付。 
2. 负责 AI 工作流的设计、搭建与落地，结合 AI 工具完成多源数据的采集、清洗、分析与处理，持续提升数据应用效率与业务支撑能力。 
3. 负责数字化产品的技术支持与持续优化，收集并分析用户反馈，快速定位和解决系统问题，协助开展系统培训，推动产品迭代升级。 
4. 配合业务部门完成技术方案设计、评审与实施，负责相关软件系统的部署、初始化、交付及硬件安装过程中的技术对接工作。 
5. 负责办公网络、域控、文件共享等基础 IT 系统的日常管理与维护，保障公司核心业务系统稳定、安全、高效运行。 
任职资格：
1. 全日制统招本科及以上学历，计算机科学与技术、软件工程、人工智能、信息工程等相关专业优先。 
2. 熟悉 AI 编程范式，能够熟练使用至少一种主流 AI 编程工具（如 Cursor、GitHub Copilot、通义灵码等）进行高效的人机协作开发，具备独立完成软件应用设计与开发的能力。 
3. 熟练掌握 Python、Java、Go 等至少一门编程语言，具备良好的工程化开发能力与代码规范意识。 
4. 熟悉 MySQL、PostgreSQL 等关系型数据库。 
5. 熟悉 Git 版本管理、Docker 容器化部署及 Linux 基本操作，具备基础的软件部署、运维和问题排查能力。 
6. 具备较强的逻辑思维能力、问题分析与拆解能力、学习能力及沟通协作能力，能够将复杂业务需求转化为清晰可执行的技术方案。 
7. 工作认真踏实，责任心强，具备良好的服务意识与团队合作精神。 
加分项
1. 熟悉大模型（LLM）应用开发，有 LangChain、LlamaIndex 等相关框架实战经验者优先。 
2. 具备数据爬取、自动化流程搭建、推荐算法或智能应用落地经验者优先。 
3. 有企业内部信息化、数字化系统建设或城市级 IT 项目实施经验者优先。",Git Python Java Go MySQL PostgreSQL Docker 容器化 Linux 大模型 LLM LangChain 技术支持 培训 产品迭代 技术方案 版本管理,https://jobs.51job.com/suzhou-gyyq/172884561.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
AI工程师（大模型方向）,飞依诺科技,1.5-2.1万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-10 09:44:46,job51,"工作职责：
1.结合深度学习和计算机视觉算法，实现图像检测、分割、分类、识别等任务。
2.跟踪并研究图像分析领域的前沿技术，结合实际需求进行技术落地。
3.深入理解临床场景，与产品、医生协作，推进算法在临床中的验证和迭代，提高诊断效率与准确率。
4.推动算法模块向产品转化，协助算法部署、性能评估调优、支持产品持续升级。
5.与公司其他部门紧密合作，理解其业务需求，提供定制化的大模型服务API和解决方案。
6.负责大模型推理框架的调研、选型、开发与深度优化，提升推理效率和降低延迟。
任职要求：
1.计算机、人工智能、软件工程或相关专业研究生及以上学历；具备2年以上相关工作经验。
2.精通Python、C++编程，熟悉Linux开发环境；熟练掌握PyTorch/TensorFlow等主流深度学习框架。
3.深入理解Transformer架构，对主流大模型（如GPT系列、Llama、Mistral等）有实际使用或研究经验。
4.熟悉Docker/Kubernetes等容器化技术，具备大模型服务部署和监控经验。
5.具备较强的问题分析和解决能力。
6.具备良好的团队合作精神和沟通能力，能够与跨学科团队成员协作工作。",深度学习 计算机视觉 大模型 Python C++ Linux PyTorch TensorFlow Transformer GPT Docker Kubernetes 容器化,https://jobs.51job.com/suzhou-gyyq/172861576.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
AI算法工程师（图像方向）,达智汇科技服务（苏州）,1.8-2.8万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:34:19,job51,"岗位职责：
1.负责工业图像相关算法研发，包括缺陷检测、图像分类、目标检测、语义分割等。
2.基于深度学习方法进行模型设计、训练、调优与验证，满足工业场景高精度、高鲁棒性要求。
3.将算法封装为高性能推理模块，支持在工业AI平台上使用 C++ 或 Python 进行部署与集成。
4.配合平台团队完成模型压缩、加速（TensorRT/ONNX）、边缘端适配等工作。
5.深入客户产线，理解质检、定位等实际需求，推动算法落地与迭代。

任职要求：
1.硕士及以上学历（优秀本科生亦可），计算机、自动化、图像处理等相关专业，2年以上图像领域算法经验。
2.熟练掌握 Python 或 C++，至少熟悉一种深度学习框架（PyTorch/TensorFlow/PaddlePaddle）。
3.熟悉常见图像任务模型（ResNet、YOLO、UNet、Transformer等）及其训练技巧。
4.有工业图像处理经验（如缺陷检测、OCR、定位测量），了解光照、噪声、小样本等工业难点。
5.熟悉 Linux、Git、Docker，有模型部署经验（ONNX、TensorRT、OpenCV等）。
6.良好的沟通能力，能接受短期现场调研与技术支持。

加分项：
1.有工业视觉检测项目落地案例（如光伏、锂电池、3C、钢铁等行业）。
2.熟悉 C++ 高性能编程，有推理服务开发经验。",深度学习 C++ Python ONNX PyTorch TensorFlow PaddlePaddle Transformer Linux Git Docker OpenCV 技术支持,https://jobs.51job.com/suzhou-gyyq/171706364.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
AI高级工程师,宁波震裕科技,2.5-3.5万·14薪,苏州·虎丘区,苏州,本科,3年及以上,2026-07-13 11:19:22,job51,"工作职责：
1. 场景发现与落地：深入公司各业务部门，调研并识别 AI 应用场景（如智能知识库、自动化报表分析、AI客服、公文辅助写作等），负责从需求分析到上线的小型 AI 项目全生命周期管理。
2. 技术方案设计：负责 AI 小场景的技术方案选型（如选择合适的开源模型或商业 API），独立完成基于 RAG 或 Agent 架构的轻量级应用搭建。
3. 乙方合作伙伴管理：参与公司大型 AI 中台/平台的选型与建设，作为技术接口人监督乙方的实施进度与交付质量，确保平台底层能力能支撑后续业务扩展。
4. 内生能力沉淀：负责将乙方交付的平台能力进行“甲方化”吸收，编写内部应用开发规范，指导业务部门或 IT 同事利用平台工具快速复制更多业务场景。
5. 前瞻性研究：跟踪生成式 AI (GenAI) 领域的最新进展，定期进行内部技术分享和 AI 文化布道。

任职资格:
1. 教育背景：计算机科学、人工智能、机器学习或相关领域的学士或硕士学位。
2. 核心经验：
 -- 3年以上 IT 开发或数据相关经验，至少 1 年以上的 LLM 应用落地经验。
 -- 有成功的“甲方”工作经验或知名咨询/集成商背景者优先。
 -- 熟悉主流大模型（如 GPT、豆包、文心一言、通义千问等）的特性及其 API 调用。
3. 知识与技能：
 -- 精通至少一种编程语言，如Python、Java或C++；
 -- 熟悉 LangChain, LlamaIndex, Dify 或类似 AI 应用开发框架；
 -- 理解向量数据库（如 Milvus, Pinecone, Chroma）及 RAG 检索优化原理。
 -- 具备基础的 Prompt Engineering 技巧及 Agent 开发逻辑。
4. 软性素质：
 -- 极强的沟通能力：能听懂业务部门的痛苦，并能用非技术语言解释 AI 的边界。
 -- 项目管控力：有带项目或管理供应商的经验，结果导向。
 -- 快速自驱力：AI 技术迭代极快，需要具备极强的自我学习能力。",RAG Agent 机器学习 LLM 大模型 GPT Python Java C++ LangChain 向量数据库 Prompt Gin 知识库 需求分析 技术方案,https://jobs.51job.com/suzhou-hq/172884236.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
数据分析工程师,江苏西格数据科技,8千-1万,苏州·苏州工业园区,苏州,大专,2年及以上,2026-07-30 17:55:45,job51,"岗位职责：
1、边缘计算部产品功能迭代、新功能验证、历史功能优化；
2、协助处理现场问题；
3、支持POC的实施工作；
4、参与部门软件产品知识体系的构建；

任职资格：
1、计算机科学、软件工程、数控技术、统计分析、数据分析相关专业，2年及以上相关的工作经验，优秀应届毕业生也可以，要懂电气，或者统计分析、数学、算法相关背景的，然后做过软件行业相关工作的也行；
2、具备积极主动的沟通意识，较强的学习能力；",数据分析,https://jobs.51job.com/suzhou-gyyq/173104097.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
软件开发工程师,大金机电设备（苏州）,1-1.5万·14薪,苏州,苏州,本科,2年及以上,2026-07-03 11:14:23,job51,"【工作内容】
1、负责工厂内部轻量化软件及统计小程序开发，基于Python、C#开发适配PCBA生产工序的辅助工具，替代人工Excel统计、手动数据录入，解决生产、工艺、品质部门日常数据处理繁琐问题，提升车间生产办公效率。
2、负责生产系统后端API接口对接与调试，对接工厂MES、ERP、生产设备等相关系统，完成数据通信、数据同步、接口联调工作，打通各系统数据壁垒，实现生产台账、设备数据、质检数据互联互通。
3、主导生产全链路数据处理工作，针对PCBA生产产量、良率、不良缺陷、工艺参数、设备运行、元器件来料等原始数据，进行批量抓取、字段提取、数据清洗、分类规整，搭建标准化生产数据台账。
4、根据内部需求开发简易桌面GUI可视化工具，实现生产数据查询、参数展示、报表导出、异常数据提醒等功能，简易前端页面开发。
5、开发自动化数据统计脚本与报表工具，实现日/周/月产能、制程良率、返工率、设备稼动率等核心生产数据自动统计与报表生成，为工艺优化、产能提升、品质改善提供精准数据支撑。
6、负责现有自研生产软件、数据脚本、对接接口的日常维护、故障排查、功能迭代，根据生产现场新增需求，持续优化数据处理逻辑与工具功能。

【任职要求】
1、本科及以上学历，计算机、软件工程、电子信息、自动化等相关专业，有电子厂、智能制造、制造业生产数字化开发经验者优先。
2、熟练掌握Python、C#编程，熟悉后端API接口开发与对接，掌握常见接口协议，具备优秀的数据梳理与处理能力。
3、逻辑思维清晰，对生产数据敏感，能精准理解生产现场业务需求，落地实用化开发成果。
4、沟通协作能力良好，服从部门工作安排，可配合制造、技术、开发、品质部门完成数字化支撑工作。

岗位为工厂刚需数字化岗位，工作稳定，无互联网行业高强度迭代压力；工作内容贴合生产实际，落地性强，每一项开发成果均可直接赋能生产、提升效率；技术栈固定，无需频繁更新学习，成长稳定，适合长期深耕制造业数字化方向。",Python C# 故障排查 ERP,https://jobs.51job.com/suzhou/172782682.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
数据科学家,益进信息服务（苏州）,3-4.5万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-23 13:45:56,job51,"主要工作内容
1、通过特征工程、调参与效果评估，优化现有的有监督欺诈检测模型（以 XGBoost 为主）
2、设计并实现无监督、半监督异常检测模型（例如 ECOD、孤立森林、基于聚类的算法）
3、研究集成方案，融合异常信号、有监督模型评分以及业务规则
4、分析出险报案（FNOL）及理赔全链路数据中的欺诈模式
5、针对新兴欺诈类型搭建新型模型（时序异常、行为突变、结构性矛盾等场景）
6、评估欺诈评分的偏差、稳定性与置信度，支持判定阈值校准
7、和工程团队协作，在 AWS 与 Snowflake 环境中将模型投产上线
8、提供面向客户的数据分析与结果解读，必要时参与日语沟通研讨
9、清晰记录研究结论、前提假设与方案取舍，同时适配技术人员与非技术人员阅读

任职必备条件
1、5 年以上数据科学或应用机器学习实操经验，有欺诈风控、异常检测相关经验优先
2、熟练使用 XGBoost 或同类树模型
3、具备无监督异常检测项目实战经验
4、精通 Python（pandas、numpy、scikit-learn、机器学习流程搭建）
5、有在生产环境处理大规模表格数据的经验
6、扎实的 SQL 能力，拥有在 Snowflake 开展数据查询与建模经验
7、熟悉 AWS（S3、IAM、计算服务；了解 SageMaker 更佳）
8、日语、英语读写口语流利
9、能够处理标注缺失、存在噪声、持续动态变化的数据集

优先条件
1、拥有保险理赔、车险或金融反欺诈相关经验
2、有融合有监督与无监督模型输出综合风险分的落地经验
3、掌握模型可解释性方法（SHAP、特征重要性分析）
4、熟悉数据管道（DBT、ELT 流程）
5、有合规监管相关项目经验
6、做过机器学习模型偏见与公平性分析",XGBoost AWS 机器学习 Python Scikit-learn SQL 数据分析 合规,https://jobs.51job.com/suzhou-gyyq/173016853.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
全栈开发工程师（Web应用方向）,苏州材科源图科技,1.3-1.8万·14薪,苏州,苏州,本科,2年及以上,2026-07-15 16:27:26,job51,"岗位职责：
1.负责公司Web应用及智能体交互界面的前后端全栈开发，涵盖架构设计、开发与维护；
2.使用 React 或 Vue 进行前端界面开发，使用 Node.js (或其他主流后端技术)进行服务端开发；
3.负责RESTful/GraphQL API接口设计、开发与对接，实现前后端高效协作；
4.实现Markdown内容渲染与格式转换、数据可视化后台管理界面等功能模块；
5.负责整体页面交互设计、性能优化及用户体验提升；
6.熟练使用AI辅助编程工具（如Cursor、Copilot、Qrder等）提升开发效率与代码质量；
7.参与技术选型、代码评审，推动团队工程化水平提升。

任职要求：
1.计算机、软件工程等相关专业，本科211及以上学历，2年以上Web开发经验（优秀者可放宽）；
2.熟练掌握HTML5/CSS3/JavaScript/TypeScript，具备良好的编码规范；
3.熟练使用React或Vue及其生态（状态管理、路由、构建工具）；
4.熟练使用Node.js及主流框架（如Express/Nest.js/Koa），有数据库（MySQL/PostgreSQL/MongoDB）使用经验；
5.熟悉JSON API设计规范、Markdown处理工具（如remark、markdown-it）；
6.熟练使用AI辅助编程工具，能够通过AI提高编码效率、辅助代码审查和问题排查；
7.具备独立完成模块开发的能力，能设计简洁美观的交互界面；
8.具备良好的英文技术文档读写能力。

 福利待遇：
【加入我们，定义材料科学的未来形态】
我们是一支由985高校硕博组成的材料AI先行者团队，正用AI重构物质世界的可能性。如果你厌倦在既定轨道上奔跑，渴望参与从0到1的创造，这里有你需要的所有支撑：
▌长期价值 · 共同成长
• 早期核心成员将获得期权激励，成为公司的共建者而非雇员
• 与985高校背景的研发团队深度协作，思维碰撞无壁垒
▌当下保障 · 专注创造
• 入职即享六险二金（含补充医疗+企业年金）
• 采用月度+季度双倍激励体系，让优秀表现获得即时回报
• 每月提供餐补+交补，并设立专属探亲假与带薪病假
▌未来视野 · 无限可能
• 每年深度健康体检，支持可持续创新
• 深耕材料AI赛道——这是属于科学探索者的星辰大海
• 在这里，你写下的每一行代码都在重新定义行业边界
我们寻找这样的同行者：
• 相信AI能解码材料的深层逻辑
• 在不确定中看到可能性，在混沌中找到路径
• 追求技术深度与商业价值的共振
我们正在寻找的，不是员工，而是材料科学新范式的共建者。",React Vue Node.js HTML5 CSS3 JavaScript TypeScript Express Koa MySQL PostgreSQL MongoDB 技术文档,https://jobs.51job.com/suzhou/172923749.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
AI算法工程师,英诺维尔智能科技（苏州）,1.5-2.5万,苏州·苏州工业园区,苏州,本科,1年及以上,2026-06-16 16:44:22,job51,"一、岗位职责
1.总体方案与路线：负责 AI 在 “生物自动化工艺 / 协议编辑（如液体处理、实验流程生成、耗材参数匹配）” 场景的整体技术路线与落地效果，对核心指标（效率、质量与安全）负责。
2.能力建设与平台化：主导通用智能能力（理解、生成、推理、检索）的平台化与标准化接口，沉淀可复用的组件与规范；兼顾效果、时延与成本权衡，支持本地 / 云 / 边缘的多形态部署。
3.算法迭代与优化：负责实验场景 LLM 应用迭代，包括自然语言转实验流程、流程推理引擎优化、歧义需求（如 “加样至实验组” 关联样本分组）处理、复杂流程嵌套（如多步稀释 + 混合）拆解等核心算法落地。
4.安全与质量保障：建立并迭代关键护栏与评测体系，确保输出可追溯、可回滚、符合实验室安全与合规要求（如单位规范、权限管控）。
5.数据与知识运营：推动高价值数据资产的建设与治理（样本、语料、评价集、实验室知识图谱），形成持续学习的闭环。
6.协同与赋能：与产品、工艺 / 自动化、前后端及运营协同，推动从概念验证到规模化上线的端到端交付，并沉淀文档与优秀实践。
二、任职资格（必须）
1.学历与专业：计算机 / 自动化 / 生物信息学等相关专业，本科及以上学历；1 年 + NLP/LLM/ 信息检索实战经验，有实验室自动化、机器人控制或生物实验流程相关场景经验者优先。
2.技术能力：Python 基础扎实，熟悉一种及以上主流框架或工具链：PyTorch /vLLM/ FastAPI / Ray / Triton。
3.实战经验：有基于 LLM API 或开源大模型的函数调用 / Agent 实战（如 ReAct / 工具调用 / 结构化输出校验），尤其欢迎有 Agent 应用于实验流程推理、工具链调用相关经验者。
4.RAG 基础：熟悉 RAG 核心流程（向量化、切块、召回 / 重排、评测指标 Recall/NDCG/MRR），使用过任一向量库（FAISS/Weaviate/PGV/ES/OpenSearch）。
5.工程习惯：具备可测试的工程习惯，包括单元 / 回归测试、CI/CD、观测与日志；能实现 Prompt / 数据 / 模型的版本化管理。
6.结构化处理：熟悉结构化数据处理，掌握 JSON Schema 校验、文本差异最小化策略，了解 JSON Patch（RFC 6902）者优先。
7.合规意识：对安全与合规敏感，能将实验场景安全合规要求（如 “禁止数字 + 单位直写”“只读模式”“双人签核”）转化为可执行策略。
三、任职资格（加分）
1.实验自动化背景：有 Open Trons 等实验室机器人操作、实验流程调度 / 仿真、实验室数据处理相关 P O C 或项目经验。
2.检索优化经验：具备信息检索 / 排序 / 重排实战经验，如 cross-encoder/Col BERT/reranker 蒸馏与线上 A/B 测试。
3.结构化编辑能力：熟悉结构化编辑 / 协作技术，如 CRDT /OT、图编辑、DSL 设计、单位与量纲系统。
4.模型优化能力：掌握模型轻量化技术（量化 / 蒸馏 / LoRA），有多模型路由与成本优化经验。
5.合规与隐私：了解数据治理与隐私保护技术（脱敏、分级授权、审计追溯），有 GxP/CSV/ 电子签名场景经历者优先。
6.文档阅读能力：英文读写良好，能快速阅读领域论文 / 技术文档并转化为工程方案。",LLM Python PyTorch FastAPI 大模型 Agent React RAG CI/CD Prompt ROS BERT LoRA 合规 安全合规 数据治理 审计 技术文档,https://jobs.51job.com/suzhou-gyyq/172581753.html?s=sou_sou_soulb&t=0_0&req=43013bb9e6ceceb143be2748a8335727
