job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
SLAM算法工程师,兰笺（苏州）科技,1.2-1.8万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-06-17 10:28:33,job51,"岗位职责
1.负责公司室内定位与巡检产品中SLAM相关算法的研发与优化工作；
2.参与视觉SLAM、VIO、多传感器融合等算法的开发、测试与工程落地；
3.参与复杂场景下定位精度与稳定性优化，包括动态环境、弱纹理环境、光照变化等场景；
4.参与视觉、IMU等传感器数据处理与融合，提高定位和建图效果；
5.参与轨迹优化、重定位、地图构建等功能开发与性能优化；
6.配合产品及研发团队完成算法集成、问题定位和产品迭代工作。
工作经验/背景要求
1.计算机科学、电子工程、数学或相关专业硕士及以上学历；
2.熟练掌握C++及Linux系统，两年及以上C++编程经历，熟练使用ROS、opencv等常见库；
3.掌握SLAM领域常见数学知识，掌握李群李代数，熟悉图优化或卡尔曼滤波；
4.熟悉常见视觉SLAM框架中至少一种：例如Vins系列、ORB-SLAM系列、MSCKF、SVO等；
5.有SLAM、计算机视觉、多传感器融合、三维视觉重建及类似项目开发的经历。",SLAM C++ Linux ROS OpenCV 计算机视觉 产品迭代,https://jobs.51job.com/suzhou-gyyq/172589975.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
SLAM算法工程师,苏州惠禾科技,3.2-4.5万·13薪,苏州·苏州工业园区,苏州,硕士,2-4年,2026-06-18 10:24:41,job51,"岗位职责
1. 负责割草机器人通用SLAM系统的架构设计、算法研发与工程落地，实现户外草坪未知环境的实时建图、全局定位、回环检测与地图优化，支撑机器人自主作业。
2. 统筹激光SLAM、视觉SLAM融合方案，针对草坪弱纹理、重复纹理、地形起伏、光照变化、动态干扰多的场景，优化SLAM前端特征提取、匹配定位，后端优化与闭环矫正算法。
3. 负责地图构建与迭代优化，实现草坪作业区域的栅格地图、语义地图、拓扑地图的精准构建，支持地图保存、复用、更新、扩容，适配多场景、多地块作业需求。
4. 解决SLAM核心痛点问题，包括长时间作业定位漂移、建图重叠、闭环误匹配、动态障碍物导致的地图畸变、快速转向场景下的位姿跳变等问题，提升建图精度与定位稳定性。
5. 完成SLAM算法的算力裁剪、延时优化、嵌入式部署与批量落地测试，适配低成本硬件方案，平衡算法精度、速度与硬件成本。
6. 配合感知、定位、规控团队完成系统联调，输出标准化技术文档、测试报告，持续迭代优化SLAM系统性能，支撑产品量产落地。
任职要求
1. 硕士及以上学历，机器人、计算机、自动化、测绘等相关专业，2-4年移动机器人SLAM算法研发量产经验，有户外机器人SLAM落地经验优先。
2. 精通SLAM完整技术链路，熟悉激光SLAM、VSLAM、VIO核心原理，熟练掌握前端特征匹配、后端优化、回环检测、重定位等核心模块。
3. 熟练使用C++，精通ROS/ROS2，熟练运用GTSAM、Ceres、g2o等优化库，具备扎实的数学功底（线性代数、概率论、矩阵优化）。
4. 具备户外复杂场景SLAM优化实战经验，能独立排查建图畸变、定位漂移、闭环失效等各类问题。
5. 熟悉嵌入式平台算法部署与性能优化，有低成本机器人SLAM量产经验者优先，具备良好的团队协作与技术复盘能力。",SLAM C++ ROS SAM 技术文档 VSLAM ROS2 Ceres,https://jobs.51job.com/suzhou-gyyq/172606896.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
Slam算法工程师,宁波大叶园林设备股份有限公司苏州,2.5-3.5万·15薪,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-07-07 10:33:02,job51,"【工作内容】
1、负责机器人或自动驾驶场景下的SLAM算法研发，包括建图、定位及路径规划核心模块；
2、基于激光雷达、深度相机等传感器数据，优化前端特征提取与后端优化策略，提升系统精度；
3、主导多传感器融合方案设计与调试，解决复杂动态环境下的鲁棒性难题及实时性瓶颈；
4、配合工程团队完成算法部署与落地，持续监控线上性能并迭代优化代码架构与逻辑。

【任职要求】
1、计算机视觉、自动化、数学或相关专业硕士及以上学历，具备扎实的数学建模基础；
2、精通C++编程，熟悉ROS/ROS2框架，熟练掌握Eigen、OpenCV等常用开源库；
3、深入理解EKF、UKF、因子图优化等主流SLAM理论，有实际项目落地经验者优先；
4、具备良好的英文文献阅读能力与逻辑思维，拥有极强的问题解决能力及团队协作精神。",SLAM 计算机视觉 C++ ROS OpenCV 方案设计,https://jobs.51job.com/suzhou-gyyq/172817540.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
机器人系统软件工程师,苏州镁伽科技,2.5-3.5万·16薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 16:08:47,job51,"工作职责:
1、负责机器人系统软件架构设计、核心模块开发与集成。
2、主导机器人操作系统(比如ROS 2、RTOS)、中间件(比如实时主站)、驱动及硬件抽象层的开发与优化。
3、与硬件、嵌入式、算法等团队协作，实现传感器数据流、运动控制、任务调度等系统模块的高效实时处理，优化系统整体性能。
4、保障系统稳定性、安全性与性能，解决底层关键技术难题。
5、编写核心代码、技术文档，主导代码审查，推动团队工程能力提升。
任职资格:
1、计算机、自动化、机器人等相关专业本科及以上学历，5年以上系统软件开发经验，需有机器人行业工作经验。
2、精通C++，熟悉Python，具备扎实的Linux系统、多线程/进程、网络编程能力。
3、熟悉机器人操作系统（ROS 2、RTOS），熟悉实时主站，有完整的机器人产品系统开发与部署经验。
4、熟悉常见的传感器、执行器通信与驱动开发（如EtherCAT、CAN等）。
5、具备嵌入式系统、实时系统或高性能计算优化经验者优先。
6、具备优秀的系统调试、性能分析与解决问题能力，能独立主导技术模块。",ROS RTOS C++ Python Linux CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/173193686.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
感知SLAM算法-苏州宁波,深圳市麦肯金咨询,3.5-5.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-17 16:09:11,job51,"一、机器人感知算法-浙江宁波
岗位职责 (Job Responsibilities):
1. 视觉算法落地与优化：负责计算机视觉核心算法在机器人端的工程化落地，包括但不限于针对具身任务场景下，设计、实现与测试三维场景感知算法在具身智能体的导航、抓取与操作中的应用；
2. 多传感器融合感知系统开发：设计并实现基于 RGB-D 相机、LiDAR、IMU 等多传感器融合的感知系统，基于机器人多模态的感知信息融合，实现对机器人的高精度状态估计与环境建模等；
3. 感知算法的真机部署与测试：针对传感器原始数据（深度图/点云）进行滤波、补全与优化，提升感知系统的鲁棒性；与机器人其他模块合作，整合算法系统，完成真机部署与测试；
4. 算法性能优化：针对嵌入式计算平台（NVIDIA Jetson/Orin）进行算法裁剪与加速（TensorRT/CUDA），确保感知算法在有限算力下满足实时性等应用要求。

任职要求 (Job Requirements):
1. 教育背景：计算机、自动化、机器人、电子信息等相关专业硕士及以上学历；
2. 编程基础：精通 C++ 和 Python，熟悉 Linux 开发环境，熟练使用 ROS/ROS2 进行机器人系统开发；
3. 理论基础：扎实的计算机视觉与机器学习算法基础，熟悉多视图几何、矩阵论、概率论等基础理论；
4. 框架经验：熟练掌握 OpenCV, PCL以及至少一种深度学习框架（如PyTorch）；具备RGB-D、point cloud、voxel、mesh、neural 3D representations(如SDF,NeRF,3D-GS)等相关算法的应用和研发经验;
5. 算法经验：深入理解主流的2D视觉任务与架构，熟悉相关的3D感知核心算法。
加分项：
1. 具备以下多项领域相关的研究或工作经历: a)三维点云场景理解或重建，b) human-centric perception and understanding, c) 基于三维输入的抓取操控学习，d) 6D估计，e) multiview stereo，f) 机械臂抓取生成；
2. 有人形机器人或移动机器人实际项目经验，处理过真实传感器数据及各种感知算法的真机部署经验优先；
3. 熟悉 CUDA 编程，有 TensorRT 模型加速或边缘端部署经验者优先。

二、感知算法工程师-苏州（6D，点云处理）

三、SLAM/定位算法工程师-苏州
1、负责根据产品业务需求，设计最优技术方案，包括激光雷达与相机选型、传感器布局方案等；
2、负责激光雷达（单线/多线）、相机、IMU、里程计等融合建图与定位系统搭建；
3、负责激光雷达与相机驱动的开发与维护；
4、负责传感器的标定，包括相机内参标定、激光雷达与相机以及IMU的联合标定等；
5、基于深度相机实现空间障碍避障以及固定特征物识别定位；
6、负责算法在移动机器人平台上的落地部署、性能优化；
7、负责与上层应用、规划导航等上下游模块等功能对接。
职位要求
1、计算机、通信、自动化控制、电子信息等相关专业，本科及以上，五年以上SLAM工作经验；
2、使用过常见类型的激光雷达（单线/多线）、单目/双目/RGBD相机，有实际产品落地经验；
3、熟悉C/C++编程和常用数据结构算法，熟悉opencv，有良好的编程风格和编程习惯；
4、熟悉激光SLAM基本原理，精通卡尔曼滤波相关算法，熟悉多传感器融合定位导航算法；
5、对主流的激光slam和视觉slam开源框架熟练掌握，例如gmapping,catorgrapher，orbslam,RTABMAP等；
6、熟悉ROS2系统，可熟练使用仿真软件和Rviz；
7、有实际SLAM算法开发与调试经验并具备较强的工程和代码能力；
8、具有扎实的数学和算法理论功底，对算法与数据结构有深刻的理解；
9、有无人车、机器人等相关领域的研发经验者优先。

四、机器人多传感器融合算法工程师-苏州
职位描述
1、负责机器人多传感器融合系统研发，构建统一的机器人环境感知与状态估计能力。
2、融合 LiDAR、RGB/RGB-D、鱼眼相机、IMU、关节编码器、力觉/触觉等多源信息，实现机器人感知与状态理解。
3、负责机器人传感器标定、时间同步、坐标系统管理及数据对齐，构建稳定可靠的传感器融合框架。
4、开发环境感知、目标跟踪、状态估计与空间理解算法，支持导航（Navigation）与移动操作（Mobile Manipulation）任务。
5、基于 URDF、TF Tree 与机器人运动学模型，实现机器人、传感器及末端执行器信息的统一表达与融合。
6、与导航、规划、控制及操作团队协同，完成机器人感知系统集成与产品落地。
任职要求
1、计算机、机器人、自动化、电子信息等相关专业本科及以上学历。
2、熟悉机器人常见传感器（LiDAR、Camera、IMU、Encoder、Force/Torque Sensor 等）及其工作原理。
3、熟悉以下至少一个方向：
- 多传感器融合
- 感知与跟踪
- 机器人运动学与标定
4、熟悉 ROS/ROS2、Linux、C++/Python 开发环境。
5、具备机器人系统开发经验，理解 URDF、TF Tree、外参标定、时间同步及机器人坐标系管理。
加分项（非必须）
1、具备人形机器人、移动操作机器人或自动驾驶相关项目经验。
2、熟悉视觉-惯导融合（VIO）、LiDAR-Inertial、Multi-Camera Fusion、Robot State Estimation 等方向。
3、具备机器人全身感知（Whole-Body Perception）或状态估计经验。
4、具备真实机器人系统部署经验。
5、在机器人、自动驾驶或计算机视觉方向具备顶会论文（ICRA、IROS、RSS、CVPR、ICCV、ECCV、CoRL、NeurIPS 等）、开源项目或产品落地经验。

五、slam算法-深圳定位方向，北京vslam算法方向
岗位职责
1、搭建和维护机器人定位系统，包括激光SLAM、视觉SLAM、全局重定位、里程计等
2、参与开发机器人路径规划和控制算法
3、参与开发机器人部署和运维工具
岗位要求：
1、计算机相关专业硕士或以上学历，具备SLAM相关算法研究经历
2、具备3年以上SLAM算法工程师从业经验，经历过完整系统搭建和量产
3、熟练掌握C++，精于代码结构设计和性能调优
4、理论功底扎实，熟练掌握非线性优化、多视角几何、概率统计相关知识并能灵活运用
5、对一类以上learning-based方法有较好的理解，如特征提取和匹配、视觉三维重建、视觉语言导航大模型等",计算机视觉 LiDAR 多模态 C++ Python Linux ROS 机器学习 OpenCV 深度学习 PyTorch SLAM IPS 大模型 技术方案,https://jobs.51job.com/suzhou-gyyq/172953071.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
融合定位算法工程师,苏州惠禾科技,2.3-3.5万·13薪,苏州·苏州工业园区,苏州,硕士,1-3年,2026-06-18 09:57:59,job51,"岗位职责
1. 负责割草机器人多传感器融合定位算法的设计、研发与工程化落地，解决户外草坪无GPS、弱GPS、遮挡场景下的定位漂移、丢定位、轨迹偏移等行业痛点，保障机器人长时间作业的定位稳定性。
2. 搭建适配割草机器人的多源融合定位框架，整合GNSS/RTK、IMU、激光雷达、视觉相机、轮速计、地磁传感器等多维度数据，实现高精度、高鲁棒性的实时位姿估计。
3. 优化融合定位核心算法，基于EKF、UKF、粒子滤波、图优化等算法，完成传感器数据校准、时空同步、异常数据剔除、姿态解算、位置修正，适配草坪起伏、低速行走、频繁转向等作业特性。
4. 针对草坪重复纹理、大面积空旷场景、树荫遮挡、信号干扰等特殊场景，迭代融合策略，提升全局定位一致性与局部定位精度，满足全覆盖割草、边界精准作业的定位需求。
5. 负责定位算法的算力优化、延时优化与稳定性测试，适配嵌入式硬件平台，完成实地调试、问题复盘、版本迭代，输出标准化算法方案与技术文档。
6. 联动SLAM、感知、规控团队，打通定位与建图、导航路径规划的闭环，支撑机器人自主回充、定点作业、区域复刻等高级功能实现。
任职要求
1. 硕士及以上学历，导航制导、自动化、机器人、计算机等相关专业，1-3年机器人融合定位算法研发经验，有户外移动机器人定位落地经验优先。
2. 精通多传感器融合定位原理，熟练掌握卡尔曼滤波、图优化等核心算法，熟悉IMU、RTK、轮速、视觉、激光定位的优缺点及融合适配方案。
3. 熟练使用C++编程，熟悉ROS/ROS2开发环境，掌握GTSAM、Ceres、Eigen等主流算法库，具备嵌入式算法优化与部署能力。
4. 熟悉户外机器人定位场景特性，具备解决弱信号、动态干扰、场景同质化下定位问题的实战经验。
5. 具备独立算法调试、数据分析、性能优化能力，能接受户外实地测试，严谨细致，具备良好的技术沉淀与迭代思维。",GPS SLAM C++ ROS SAM 技术文档 数据分析,https://jobs.51job.com/suzhou-gyyq/172606077.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
SLAM导航算法工程师,博实（苏州）智能科技,2.5-3.5万,昆山,苏州,本科,2年及以上,2026-06-24 13:58:13,job51,"1、开发基于激光雷达/摄像头/惯性测量单元/全球定位系统等多传感器融合的标定、定位、建图算法;
2、开发基于激光雷达/摄像头的高禾呈图、地形重建、环境感知算法;
3、开发基于四足/人形机器人的全局规划器、局部规划器算法;
4、负责机器人自主导航、巡检功能调试及落地应用;
5、输出方案设计、模块和版本发布等相关文档;
6、持续优化产品标准化程度与可服务性，提升项目交付效率和稳定性;",方案设计,https://jobs.51job.com/kunshan/172670565.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
算法工程师（SLAM）,领世（苏州）机器人,50-90万/年,苏州·吴中区,苏州,硕士,5年及以上,2026-07-03 10:33:55,job51,"岗位描述
1. 负责具身智能机器人 SLAM（同步定位与建图）算法的开发与优化，解决复杂环境下的定位与建图难题。
2. 研究并实现基于多特征的 SLAM 算法，提升算法在动态场景中的计算效率与鲁棒性。
3. 探索深度学习与 SLAM 融合技术，增强算法对复杂场景的适应性。
4. 基于 ROS/ROS 框架搭建 SLAM 系统，实现算法与硬件的高效对接及在嵌入式平台的移植与性能优化。
职位要求
1. 计算机科学、自动化、机器人学等相关专业硕士及以上学历。
2. 5年以上机器人 SLAM 算法研发经验，有具身智能机器人项目落地经验者优先
3. 精通 SLAM 算法及开源框架，熟悉多传感器融合技术，具备激光雷达、视觉或 IMU 数据处理经验。
4. 掌握路径规划与运动控制算法，熟悉 ROS/ROS 开发环境，熟练使用C++/Python 编程，具备嵌入式开发与算法优化能力。",SLAM 深度学习 ROS C++ Python IMU,https://jobs.51job.com/suzhou-wzq/172781587.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
雷达Slam工程师-[465301],安德烈斯蒂尔动力工具（青岛）,2-4万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-03 16:40:02,job51,"岗位描述
负责公司机器人/智能设备的 激光雷达 SLAM（LIDAR SLAM）系统研发与优化，包括前端特征提取、后端优化、回环检测、建图策略、定位算法等核心模块。通过算法开发、仿真验证与实机测试，提升机器人在复杂环境中的定位精度、建图质量与鲁棒性。
________________________________________
岗位职责
1. 核心 SLAM 算法研发
•	负责 LIDAR SLAM 前端（特征提取、匹配、scan-to-map、ICP、NDT 等）实现与优化。
•	负责 SLAM 后端（位姿图优化、因子图优化、BA、回环检测）算法设计与落地。
•	优化 SLAM 在动态场景、多障碍场景下的稳定性与抗干扰能力。
2. 激光雷达数据处理
•	开发点云处理算法（滤波、分割、配准、地图融合等）。
•	优化点云处理在嵌入式平台上的性能（CPU/GPU/ARM）。
3. 建图与定位系统
•	构建高一致性、高精度的 2D/3D 地图。
•	优化机器人实时定位精度，包括多源融合（IMU、里程计、UWB 等）。
4. 系统整合与验证
•	在 ROS/ROS2 系统中构建 SLAM 模块并进行系统集成。
•	搭建仿真环境（Gazebo、Webots、CARLA）和实车测试流程。
•	优化算法边界条件、资源占用、延迟与稳定性。
5. 跨部门协作
•	与导航、路径规划、控制、硬件等团队合作，推动 SLAM 的产品化落地。
•	分析测试数据并持续提升 SLAM 性能。
________________________________________
任职要求
必备要求
•	计算机、机器人、自动化等相关专业本科及以上学历。
•	精通至少一种 LIDAR SLAM 框架或算法，如： 
o	LOAM / A-LOAM / LIO-SAM
o	Cartographer
o	Gmapping / HectorSLAM
o	FAST-LIO / VINS-LIO
•	熟悉点云处理（ICP、NDT、RANSAC、Kd-tree、特征提取等）。
•	熟练使用 C++，掌握 ROS/ROS2 的开发流程。
•	具备良好的数学基础（线性代数、最优化、概率论、几何）。
•	有机器人 SLAM、无人车、AGV、清洁机器人等相关项目经验。
加分项
•	有 Lidar + IMU 紧耦合（LIO）项目经验。
•	熟悉传感器标定：外参标定、时延补偿、畸变校正等。
•	有多传感器融合经验（IMU/Odom/UWB/视觉）。
•	熟悉算法嵌入式部署（ARM、DSP、GPU）。
•	有开源 SLAM 项目贡献记录者优先。",SLAM LiDAR CAN ARM ROS SAM C++ DSP 跨部门协作,https://jobs.51job.com/suzhou-gyyq/171125462.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=05dcb6f30ba1f58ca7e9d737b2989759
