job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
高级APP开发工程师（安卓IOS）,江苏诺尔曼生命科技,1.8-3万·14薪,苏州·苏州工业园区,苏州,本科,8年及以上,2026-06-10 19:21:26,job51,"【岗位职责】
1、负责移动端产品的开发、维护和部署，并保证可扩展和可维护性；
2、研究iOS或Android版本的机制和新特性，为产品做技术储备；
3、和团队伙伴一起研讨技术实现方案，进行应用及系统整合；
持续对产品开发流程进行改进与优化，通过技术提升内部效率，用户体验和可用性；

【任职要求】
 1、大学本科以上学历，计算机、电子或通信相关专业，8年以上移动端App实际开发经验丰富；
2、良好的英语水平，有扎实的计算机基础；
3、熟悉iOS或Android开发平台，熟练掌握系统开发框架以及常用的第三方框架；
4、熟悉设计模式，了解组件化、模块化、架构设计；
5、熟悉iOS或Android内存管理机制，能够独立分析解决问题；
6、有较好的学习能力和沟通能力，有创新能力和责任感，对移动端产品有浓厚的兴趣；
7、具有较强的分析和解决问题的能力；热爱互联网新技术，了解并探索业界技术动向；
8、有医疗器械行业经验，熟悉IEC62304医用软件设计开发流程优先

备注：负责公司CGM事业部的产品设计工作，工作地点苏州",产品设计,https://jobs.51job.com/suzhou-gyyq/172504780.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
UE5开发工程师,苏州镁伽科技,1.5-2.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 16:06:09,job51,"工作职责:
1、负责UE5数字孪生平台逻辑功能的设计与开发，实现数据驱动的3D场景实时交互与状态同步。
2、对接外部系统（IoT平台、业务管理系统等）数据接口，将实时设备数据、传感器数据、决策结果接入UE5场景，驱动数字孪生体动态行为。
3、负责UE5 Blueprint与C++逻辑模块开发，包括设备状态联动、告警事件响应、场景交互控制等核心功能。
4、与全栈工程师协作，搭建数字孪生管理平台后端接口服务，实现UE5与Web管理系统的数据通路与资产管控。
5、负责Pixel Streaming推流方案的技术落地，保障多用户并发访问的实时性与稳定性。
6、参与性能优化工作，解决大场景渲染、复杂逻辑计算带来的帧率与延迟问题，输出性能调优方案。
任职资格:
1、本科及以上学历，3年以上UE开发经验，有C++和Blueprint混合编程实战经验。
2、完整参与过至少1个UE项目从立项到交付的全周期，承担过核心逻辑开发。
3、熟悉HTTP RESTful API、WebSocket、MQTT等数据通信协议，有实时数据接入UE5场景的落地经验。
4、了解Pixel Streaming架构，熟悉信令服务器、WebRTC推流的基本原理。
5、具备良好的代码规范和工程化习惯，能使用Git进行团队协作开发。

加分项
1、有数字孪生或3D可视化项目落地经验，熟悉农业/工业场景设备状态可视化需求。
2、提供 UE5 项目的演示视频或可运行Demo，能展示数据驱动逻辑的Demo优先。
3、有Blueprint/Material优化经验，熟练使用Unreal Insights等Profiling工具进行性能分析。
4、有C#或.NET后端开发经验，能独立完成UE5与后端系统的接口联调。
5、有 Niagara 粒子系统开发经验，能制作简单流体/烟雾/闪光等特效。",C++ WebSocket MQTT Git C# RESTful API UE5,https://jobs.51job.com/suzhou-gyyq/173193629.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
asp.net高级开发工程师（工正）,昆山西交创新中心管理,7千-1.2万,昆山,苏州,大专,3-5年,2026-07-22 14:37:47,job51,"一、岗位职责：
全栈开发工程师
1. 基于 UniApp 框架，负责跨平台（iOS/Android/小程序/H5）移动端及PC端应用的设计、开发与性能优化，确保多端一致性及流畅体验。
2. 参与业务需求分析，完成前端页面架构、组件封装及交互逻辑实现，与后端协同制定接口规范。
3. 负责 ASP/ASP.NET 服务端业务模块开发，包括但不限于权限管理、业务逻辑层、数据访问层及定时任务等。
4. 设计并维护 SQL Server 数据库结构，编写高性能 T-SQL 语句、存储过程、触发器及函数，进行查询优化和索引调优。
5. 开发并封装 RESTful API 及第三方接口对接，确保接口安全性、幂等性及高可用性。
6. 参与系统部署、线上问题排查与性能监控，持续改进代码质量和系统稳定性。
7. 负责已有系统（PC端及移动端）的日常运维支持、Bug修复、功能迭代及性能调优，保障线上服务连续性、数据一致性与安全性，能够快速响应并解决生产环境突发事件。
 8. 负责生产/业务数据看板（电看板）在手机端的数据可视化设计与开发，包括但不限于实时数据图表（柱状图、折线图、仪表盘、表格等）、预警提示、多维度筛选交互及数据自动刷新机制，确保大并发下数据展示的实时性、准确性与交互流畅度。同时承担数据展示类问题的技术支持与故障排查，快速定位并解决数据延迟、图表渲染异常等问题。

二、任职要求（必备）
1. 后端技术栈：3～5年 ASP（VBScript）或 ASP.NET（C#/VB.NET）开发经验，熟悉 IIS 部署及配置，能独立完成PC端及移动端Web项目。
2. 行业经验优先：具有 ERP / MES / WMS 等企业级管理系统的开发或实施经验，理解制造业/供应链业务流程；有生产电子看板、数据大屏或移动端BI展示项目经验者优先，熟悉看板数据源对接与展示逻辑。
3. 前端开发技能：
* 精通 HTML5 / CSS3，熟悉响应式布局、Flex/Grid布局及移动端适配方案（如 rem、vw/vh），具备跨端UI还原能力。
*熟练掌握 JavaScript（ES6+） 原生语法、DOM操作、事件机制及异步编程（Promise/async），熟悉 jQuery 等常用库。
*必须具备基于 Vue.js（2.x/3.x）的 UniApp 实际项目开发经验，熟悉UniApp生命周期、组件化开发、组件通信（props/emit/vuex/pinia）、条件编译及多端兼容处理（iOS/Android/小程序/H5）。
*熟练使用 HBuilderX 或 Vue CLI 进行项目构建、调试、多端打包发布，了解 nvue 与 vue 混合开发、原生插件集成及前端性能调优（首屏加载、分包、图片压缩等）。
 * 能熟练编写 VBScript 脚本（用于维护ASP老系统）。
*具备移动端数据可视化开发经验，熟悉 ECharts、Chart.js 或 UniApp 生态下的图表组件库，能够根据业务需求设计直观、高效的数据展示界面，并处理数据更新、动画过渡及触摸交互。
4. 数据库能力：精通 SQL Server（2012+），熟练编写复杂存储过程、视图、自定义函数，具备SQL性能分析及死锁处理能力，熟悉事务隔离级别及索引策略。
5. 接口开发：熟练掌握 Web API / WCF / WebService 开发，理解HTTP协议、JSON/XML数据格式，能实现接口鉴权（JWT/OAuth2.0）、日志记录及异常处理。
6. 工具与协作：熟练使用 Git/SVN 版本控制，熟悉 Postman/Swagger 接口调试，具备良好的文档编写和团队沟通能力。
7. 运维能力：具备生产环境问题排查与应急处理经验，熟悉 IIS 日志分析、Windows性能计数器、事件查看器等常用运维手段，能独立完成系统补丁更新、配置调整及数据备份恢复。【新增】 对数据展示类问题（如数据刷新失败、图表加载缓慢、渲染卡顿等）有快速定位和解决能力。

三、加分项：
· 有 UniApp 插件开发 或 原生SDK集成 经验。
· 熟悉 TypeScript、Vite 等现代前端工程化工具。
· 了解 .NET Core / .NET 5+ 跨平台开发。
· 熟悉消息队列（RabbitMQ）、缓存（Redis）等中间件应用，有数据实时推送（WebSocket）经验者优先。
· 具备基础运维自动化能力（批处理/PowerShell脚本）。
有工业制造领域电子看板、安灯系统或实时数据监控 项目实施经验，熟悉OPC、Modbus等工业数据采集协议者优先。
经验3-5年，薪资范围7K-12K",UniApp SQL Server SQL 高可用 C# HTML5 CSS3 JavaScript jQuery Vue Git SVN TypeScript Vite RabbitMQ Redis WebSocket Shell Modbus 需求分析 技术支持 故障排查 供应链 文档编写 日志分析 数据采集,https://jobs.51job.com/kunshan/173003337.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
研发软件工程师(C#),贸联电子（昆山）,9千-1.5万,昆山,苏州,本科,1年及以上,2026-07-21 10:02:07,job51,"职位描述：
1.软件项目维护
2.产品Firmware功能与规划
3.执行、协助或配合韧体新技术之研发、导入
4.软件项目进度管理

岗位要求：
1.精通 Net framework and windows programming 
2.熟悉 basic Oracle SQL operation
3.精通 C# / JAVA / C++
4.熟悉 OPEN CV
5.熟悉 mobile device programming (Android/iOS) 加分
6.有 SA/SD 相关经验尤佳
7.有 Labview 开发经验尤佳
8.熟悉 GitLab",Oracle SQL C# Java C++ Git 进度管理,https://jobs.51job.com/kunshan/172980241.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
Flutter移动端开发工程师,悉平方科技（苏州）,8千-1.2万,苏州·吴中区,苏州,本科,3年及以上,2026-08-05 08:51:22,job51,"一、岗位职责
1.负责公司移动端产品基于Flutter的全流程开发，覆盖iOS与Android双端，完成功能迭代、需求落地与版本交付；
2.参与产品需求评审、技术方案设计与架构选型，输出规范的技术文档，独立完成核心业务模块的编码、自测与联调；
3.针对iOS、Android不同系统版本、设备机型做兼容性适配，处理系统权限、页面渲染、交互逻辑等双端差异化问题，保障全机型体验一致；
4.负责APP性能优化，包括启动速度、页面流畅度、包体积、内存占用等专项调优，持续提升应用稳定性与用户体验；
5.配合产品、UI设计、后端、测试团队，协同完成功能联调、线上问题定位与bug修复，保障版本迭代效率；
6.跟进Flutter前沿技术与行业***实践，沉淀通用组件、开发规范与工具链，推动团队技术效率提升。
二、任职要求
硬性要求
1.本科及以上学历，计算机、软件工程等相关专业，3年及以上移动端开发经验，具备1.5年以上Flutter商业项目实战经验；
2.精通Dart编程语言，深入理解Flutter框架核心原理与渲染机制，熟练掌握GetX/Riverpod/Provider等至少一种主流状态管理方案，具备自定义组件、复杂交互动画的开发能力；
3.熟悉iOS与Android双端平台特性与开发规范，了解iOSUIKit、Android原生开发基础，具备双端打包签名、权限适配、应用商店上架的实操经验；
4.熟练使用Dio、本地存储、图片加载等常用开发组件，有Flutter与原生混合开发、自定义插件封装经验者优先；
5.具备良好的代码规范与工程化意识，熟练使用Git进行版本管理，有移动端性能优化、线上稳定性治理相关经验；
6.具备独立分析问题、解决问题的能力，能快速定位并修复线上故障，保障应用稳定运行。
三、软性要求
1.具备良好的沟通协作能力，能高效配合跨团队推进项目落地；
2.责任心强，对产品体验与代码质量有较高要求，注重开发细节与交付质量；
3.自主学习能力强，乐于跟进新技术，能快速适配业务需求变化。
四、加分项
1.有从0到1完整Flutter上线项目，可提供作品演示；
2.具备iOS/Android原生开发能力，熟悉Flutter与原生混合开发、MethodChannel通信机制；
3.有大型APP架构设计、崩溃率治理、包体积优化等专项经验；
4.了解HarmonyOS跨端适配、小程序开发相关技术；
5.有开源社区贡献、技术博客输出或个人技术作品。",Flutter Git HarmonyOS 技术方案 技术文档 版本管理,https://jobs.51job.com/suzhou-wzq/173153369.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
移动端开发工程师,江苏深巡科技,6千-1万·13薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-07-28 10:36:26,job51,"〖岗位职责〗
1.开发手机端应用程序，实现各项功能；
2.与后台开发人员协作，制定通讯接口和协议；
3.优化UI界面和交互设计，提升用户体验。

〖任职要求〗
1.本科及以上学历，计算机科学、软件工程等相关专业，1年以上APP开发经验；
2.精通安卓（Java或Kotlin）、IOS（Swift或Objective-C）、鸿蒙（ArkTS等）至少一种主流开发语言，熟练掌握对应平台开发框架与工具；
3.具备扎实的数据结构与算法基础，能运用其优化代码性能，解决复杂技术问题；
4.熟悉多平台APP性能优化技巧，有处理内存优化、卡顿优化、网络优化等实际项目经验；
5.了解APP开发流程中的安全问题，掌握常见安全防护措施，保障应用安全；
6.拥有良好的团队协作、沟通能力，对工作认真负责，积极参与项目讨论与技术分享；
7.对新技术充满热情，具备较强学习能力，能快速掌握并应用新的开发技术；
8.有跨平台开发经验（如Flutter等）者优先；有大型APP项目开发经验者优先；
9.优秀毕业生也可投(在校期间参与过相关的开发工作)。",Java Kotlin Swift 鸿蒙 ArkTS Flutter,https://jobs.51job.com/suzhou-gyyq/165973926.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
android安卓开发工程师,苏州猎光者科技,1-1.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-28 16:24:06,job51,"【岗位职责】 
1. 负责公司 Android App 的功能开发、日常维护及问题修复；
2. 根据产品需求完成页面、业务功能及设备交互功能开发；
3. 与 iOS 开发工程师协作，保持 Android 与 iOS 端功能和体验一致；
4. 参与需求评审、技术方案讨论及开发任务拆解；
5. 配合测试完成问题定位、缺陷修复和版本发布；
6. 编写必要的技术文档，做好代码及版本管理；
7. 协助处理用户反馈和客户使用过程中遇到的 App 问题。

【任职要求】
1. 学信网本科及以上学历，计算机、软件工程等相关专业优先；
2. 具有 3 年以上 Android App 开发经验，有完整项目开发或上线经验；
3. 熟悉 Kotlin 或 Java，掌握 Android 常用组件及开发流程；
4. 熟悉网络请求、数据存储、多线程及常用第三方框架；
5. 能够根据产品原型和接口文档，独立完成常规功能开发；
6. 具备基本的问题分析、调试和缺陷定位能力；
7. 工作认真负责，具有良好的沟通能力和团队协作意识。
加分项
1. 有蓝牙、BLE、Wi-Fi配网或智能硬件 App 开发经验；
2. 有 Kotlin、Jetpack、组件化或跨端开发经验；
3. 有 App 上架、版本发布及不同 Android 机型适配经验；
4. 有智能家居或 IoT 产品相关经验。",Kotlin Java 技术方案 技术文档 版本管理 Android App BLE,https://jobs.51job.com/suzhou-gyyq/172854662.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
德系外企 移动端开发工程师,苏州普瑞瓴商务咨询,1.5-2.5万·14薪,苏州·高新区,苏州,本科,3-5年,2026-06-17 17:05:34,job51,"Position:
As part of its activities, WIKA offers a position as a .NET MAUI mobile application software development
engineer for its R&amp;D center located in Suzhou. You will actively participate in the development and
evolution of our mobile application to control WIKA IIoT sensors in close collaboration with the
development teams based in Europe.
Your activities:
• Design, develop and maintain Android and iOS mobile applications in .NET MAUI
• Participate in technological choices and the development of building blocks that can be
integrated into WIKA mobile applications
• Write clean, maintainable and tested code, in accordance with company standards
• Participate in Agile meetings (Scrum): daily, sprint planning, review, retrospective
• Ensure the interface with the local teams (definition of specifications, project meeting), use of
the right vocabulary
• Work closely with development teams in Europe. An initial onboarding of several weeks will be
plan locally
Your profile:
• Master's degree in engineering in the field of software development or equivalent
• Minimum 5 years of experience in a similar position in mobile development
• Sense of quality, rigor, autonomy and strength of proposal
• Team spirit and adaptability
• Fluent in English
Technical skills:
• Proficiency in C#, .NET framework and MAUI (or Xamarin with a desire to transition)
• Participation in mobile projects published on Android stores, IoS, and excellent knowledge of
the ecosystem of stores in China: Huawei app gallery, OPPO software Store,…
• Good knowledge of Git and development workflows
• Experience with Azure DevOps (Backlogs, Boards, Repos, Pipelines)
• Knowledge of Bluetooth LE or NFC communication
• Familiar with monitoring and crash reporting tools
• UI/UX sensitivity appreciated",Gin CAN ROS Go SPI C# Git Azure DevOps Bluetooth,https://jobs.51job.com/suzhou-gxq/172600852.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
Android 开发工程师,普罗斯通信技术（苏州）,8千-1.5万,昆山,苏州,本科,5年及以上,2026-07-24 11:03:35,job51,"岗位职责：
1. Android原生开发经验，深入理解Android SDK及开发工具，对Android系统机制（如内存管理，事件分发，绘制流程）以及多线程任务处理等
2. 精通Android UI开发，性能调优与复杂交互实现、能独立完成应用开发与调试
3. 熟悉常用的设计模式与开发模式
4. 熟练的掌握HTML JavaScript CSS Vue 等
5. 熟悉智能设备常用的通信协议（如MQTT WIFI BLE蓝牙）
6. 完成设计开发文档和使用说明等文件编写。
7. 竞争产品功能及实现分析。
8. 负责上位机与下位机软件配合进行相关协议和接口的设计开发。
9. 代码托管git使用

任职资格：
1. 熟悉 Android 相关软件模块的维护与开发。
2. 能够完成软件开发相关文档编写，具备扎实的编码与调试能力。
3. 具备 Android 原生开发经验，深入理解 Android SDK、开发工具及系统机制（如内存管理、事件分发、绘制流程、多线程处理等）。
4. 精通 Android UI 开发，熟悉性能优化与复杂交互实现，能够独立完成应用的开发与调试。

工作地点: 昆山淀山湖镇，在上海、昆山、苏州有多条通勤班车路线
工作时间：09:00-17:30",JavaScript Vue MQTT WiFi Git 文档编写,https://jobs.51job.com/kunshan/173028901.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
Android Framework 系统应用软件工程师,孔像汽车科技（上海）,1.7-2万,苏州,苏州,本科,3-5年,2026-07-13 09:07:20,job51,"Android Framework 系统应用方向软件开发工程师
工作职责
1、负责智能座舱的应用软件研发工作，包括launcher、systemui、docker和车控等应用
2、充分理解需求并根据需求完成软件架构、模块设计和开发工作； 
3、按照项目计划，按时提交高质量的代码，完成开发任务； 
4、负责软件的性能和稳定性调优，提升用户使用体验； 
5、负责应用软件问题分析和bugfix
6、负责应用软件相关技术文档的编写，包括架构文档和设计文档等

职位要求
1、本科及以上学历，3年～5年工作经验，计算机或相关专业优先； 
2、精通 Android 应用或 Framework 开发，具备大中型软件架构的设计能力；
3、熟练掌握 MVC、MVP、MVVM 等设计模型，对常用的设计模式、数据结构和算法有深入了解，并能灵活应用；
4、深入理解面向对象编程思想，具有较强的设计能力；
5、有智能座舱软件开发经验者优先；
6、有音视频编解码、直播、点播软件开发经验者优先。",Docker 技术文档 Android Framework MVC MVP MVVM,https://jobs.51job.com/suzhou/167383052.html?s=sou_sou_soulb&t=0_0&req=d2fe1ff29c3ef834409ddd59a3baa8df
