job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
ERP运维工程师（金蝶云星空/非标制造）,昊明智能设备制造（太仓）,9千-1.5万,太仓,苏州,大专,3年及以上,2026-07-15 09:59:32,job51,"岗位职责：
1. 负责金蝶云星空 V9.0 系统的日常运维，重点保障生产订单、BOM管理、工序汇报及成本核算模块的正常运行；
2. 针对辊压成型及非标模具业务，维护物料编码规范，处理设计变更（ECN）在系统中的流转与版本控制；
3. 使用 SQL 编写生产进度、模具寿命、订单交期等管理报表，配合财务完成月度成本卷积与存货对账；
4. 利用金蝶 BOS 设计器进行表单字段扩展及简单插件配置，响应业务部门的轻量化二开需求；
5. 负责公司局域网、服务器及数据库的日常巡检，保障30+并发用户及车间PDA/工控机的连接稳定；
6. 管理企业微信/钉钉与金蝶的集成接口，执行数据备份策略，确保核心图纸及配方数据安全。
任职要求：
1. 大专及以上学历，计算机或机械/工业工程相关专业；
2. 3年以上制造业IT运维经验，必须精通金蝶云星空 V8.0/V9.0或类似ERP维护经验和相关专业知识，有汽车零部件或模具行业背景优先；
3. 熟悉非标制造（ETO/MTO）逻辑，理解BOM层级、工艺路线及成本分摊原理；
4. 熟练使用 T-SQL，能独立编写多表关联查询、存储过程，具备基本的数据库性能分析能力；
5. 熟悉金蝶 BOS IDE，能进行简单的表单/列表插件配置或 C# 代码调试；
6. 具备良好的沟通能力，能将业务痛点转化为系统配置方案，适应制造业工作节奏。
加分项：
- 持有金蝶云星空实施/开发认证；
- 有 PLM/MES 与金蝶集成对接经验；
- 熟悉 Power BI / FineReport 报表工具；
- 有辊压/冲压/机加工工艺流程理解。",SQL C# V9.0 ECN BOS V8.0 V9. ETO,https://jobs.51job.com/taicang/172914123.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
erp实施工程师,广州深晓科技,1.3-1.6万,苏州·苏州工业园区,苏州,本科,1年及以上,2026-08-09 17:49:39,job51,"【工作内容】
1、负责ERP系统的需求调研、方案设计及客户现场实施部署，确保项目按时交付；
2、主导系统参数配置、基础数据导入及业务流程梳理，解决实施过程中的技术难题；
3、编写操作手册与培训课件，组织用户培训并指导客户完成系统上线后的日常运维；
4、收集并分析客户反馈的业务问题，协调研发部门进行功能优化或二次开发支持。

【任职要求】
1、本科及以上学历，计算机、信息管理或相关专业，具备ERP实施或项目管理经验；
2、熟悉主流ERP系统架构，掌握SQL数据库操作，能独立进行数据查询与简单脚本编写；
3、具备良好的沟通协调能力与文档撰写能力，能适应短期出差及项目驻场工作；
4、拥有较强的逻辑思维与问题解决能力，抗压能力强，对提升企业数字化效率有热情。",SQL 方案设计 培训 项目管理,https://jobs.51job.com/suzhou-gyyq/173202337.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
IT技术支持,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,大专,1年及以上,2026-08-09 18:19:32,job51,"【工作内容】
1、负责办公网络、终端设备及软硬件故障的排查与修复，保障日常业务系统稳定运行；
2、响应并处理员工提出的 IT 服务请求，提供远程或现场技术支持，确保问题高效闭环；
3、负责公司服务器、打印机及会议设备的定期巡检与维护，优化系统性能与安全策略；
4、协助搭建新员工入职环境，管理账号权限，配合完成数据备份及信息安全合规工作；
5、编写常见问题操作手册，开展内部 IT 培训，提升全员数字化办公技能与安全意识。

【任职要求】
1、计算机、通信工程或相关专业大专及以上学历，具备扎实的计算机网络基础理论；
2、熟悉 Windows/Linux 操作系统及主流办公软件，掌握常见硬件设备维护与调试技能；
3、拥有 1 年以上企业 IT 运维经验，具备独立解决网络故障及系统部署问题的能力；
4、具备良好的服务意识与沟通协调能力，工作严谨细致，能适应突发状况下的应急处理；
5、持有相关技术认证者优先，认同公司文化，具有强烈的责任心和团队协作精神。",Linux 技术支持 安全合规 培训 IT Windows,https://jobs.51job.com/suzhou-gsq/173202424.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
桌面运维工程师,广州深晓科技,8千-1.2万,苏州·苏州工业园区,苏州,大专,1年及以上,2026-08-09 17:48:44,job51,"【工作内容】
1、负责公司桌面终端（PC、笔记本）的日常安装、配置、调试及故障排查，确保设备稳定运行；
2、维护办公网络环境，处理局域网连接、打印机共享及视频会议系统等技术问题；
3、响应并解决员工提出的软硬件报修需求，提供高效的技术支持服务与操作指导；
4、负责办公软件的安装部署、病毒查杀及系统补丁更新，保障信息安全与合规性；
5、管理公司资产台账，配合完成IT设备的采购验收、入库登记及报废处置工作。

【任职要求】
1、大专及以上学历，计算机、电子信息或相关专业背景，具备扎实的网络与硬件基础；
2、熟悉Windows/Mac操作系统及Office等常用办公软件，掌握常见外设驱动安装与维护；
3、了解TCP/IP协议及局域网基本架构，具备独立排查网络连通性及IP冲突问题的能力；
4、拥有1年以上桌面运维或技术支持经验，持有相关技术认证者优先考虑；
5、具备良好的服务意识与沟通协调能力，工作细致耐心，能适应突发故障的紧急处理。",TCP/IP 故障排查 技术支持 合规 采购 PC,https://jobs.51job.com/suzhou-gyyq/173202334.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
系统开发工程师(J10142),广东顺大食品调料,8千-1.5万·14薪,昆山,苏州,大专,2年及以上,2026-07-02 16:42:00,job51,"工作职责:
1.负责企业核心业务系统（金蝶云星空为核心）的二次开发、功能扩展、报表定制、单据开发等定制化开发工作。
2.负责云星空与飞书、ERP、SRM、北森、OA、MES、WMS 等外部系统的接口对接、数据互通、跨系统集成方案设计与开发落地。
3.参与系统需求调研、方案设计、接口文档编写，制定跨系统数据同步、流程打通、权限对接等技术方案。
4.负责集成接口的开发、调试、联调、压测与上线部署，保障接口稳定、数据准确、传输高效。
5.处理云星空及集成链路中的日常问题、性能优化、BUG 修复、日志排查，保障系统稳定运行。
6.配合业务部门梳理业务流程，提供系统解决方案，输出开发规范、集成标准与技术文档。
7.参与系统升级、迁移、数据清洗与迁移工作，确保跨系统数据一致性。
任职资格:
1.大专及以上学历，计算机、软件工程等相关专业，2 年以上企业级系统开发或系统集成工作经验。
2.必须熟悉金蝶云星空平台，具备实际项目开发经验：
3.熟悉云星空 BOS 设计器、单据开发、报表开发、插件开发（C#/VB.NET）
4.熟悉云星空开放平台、API 接口、WebAPI、EAS 集成模式
5.能独立完成表单、流程、打印模板、基础资料、业务对象扩展开发
1.熟练掌握至少一种开发语言：C#/Java/Python，熟悉 SQL，能独立编写复杂查询、存储过程、数据处理脚本。
2.熟悉跨系统集成技术：接口开发（RESTful API/WebService）、JSON/XML、消息队列、定时同步、中间件集成等。
3.有实际集成项目经验优先：如云星空与 OA、HR、MES、WMS、飞书、企业微信、自研系统对接经验。
4.具备良好的需求理解能力、问题排查能力，工作严谨负责，能独立承担项目模块开发与交付。
5.有制造业、多工厂集团信息化、数字化转型项目经验者优先。",C# Java Python SQL 方案设计 文档编写 技术方案 技术文档,https://jobs.51job.com/kunshan/172774908.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
高级开发运维工程师（DevOps）,苏州联讯仪器,1.5-2.5万·14薪,苏州·高新区,苏州,本科,5年及以上,2026-06-12 19:01:14,job51,"岗位职责:
1. 负责服务器、存储、容器平台和 Kubernetes 集群的规划、建设、升级及日常运维。
2. 部署并维护 Kafka、PostgreSQL、Redis、对象存储等基础中间件和数据组件。
3. 建设开发、测试和生产环境，以及 CI/CD、自动化部署、配置管理和版本发布流程。
4. 建设日志、监控、告警、链路追踪和运行看板，持续跟踪系统容量、性能和稳定性。
5. 制定并执行数据备份、恢复验证、高可用、容灾和故障响应方案。
6. 负责网络访问、域名、证书、防火墙、环境隔离、密钥和基础安全配置。
7. 负责 AI 网关、Agent 平台、数据服务及具体 Agent 产品的环境部署和运行保障。
8. 建设客户内网和离线环境的标准化安装包、部署脚本、升级流程及问题排查能力。
9. 与 AI 架构工程师协作制定基础设施架构、容量规划、部署规范和运行标准。
10. 与应用、数据及现有 IT 团队协作处理发布、性能、故障和生产环境问题。

任职要求:
1. 计算机/网络工程/软件或相关本科及以上学历，5 年以上 DevOps、SRE、云平台或基础设施运维经验。
2. 具备从零建设并实际运维生产级 Kubernetes 集群的经验，而不只是使用已有 Kubernetes 环境。
3. 熟悉 Docker、Helm、Kubernetes 网络、存储、权限和常见故障排查。
4. 熟悉 Kafka、PostgreSQL、Redis、对象存储等组件的部署、监控、备份和故障恢复。
5. 熟悉 Jenkins、GitLab CI、GitHub Actions、Argo CD 等 CI/CD 和自动化发布工具。
6. 熟悉 Prometheus、Grafana、ELK、Loki、OpenTelemetry 等日志监控和链路追踪体系。
7. 熟悉 Linux、网络、域名、证书、防火墙、负载均衡和基础安全配置。
8. 具备生产故障处理、性能分析、容量规划、备份恢复和高可用建设经验。
9. 能够编写 Shell、Python 或其他自动化脚本，减少重复部署和人工运维工作。
0. 能够独立推进基础设施建设，并与研发、现有 IT 和信息安全团队协作。

优先条件
- 有 AI 平台、模型服务、数据平台或企业级 SaaS 基础设施建设经验。
- 有 GPU 服务器、推理服务、本地模型或异构计算资源运维经验。
- 有客户内网、私有化部署、完全离线环境或边缘环境交付经验。
- 熟悉 Terraform、Ansible 等基础设施即代码和自动化配置工具。
- 有多集群管理、零停机升级、容灾演练和复杂生产故障处理经验。",Kubernetes Kafka PostgreSQL Redis CI/CD 高可用 防火墙 Agent DevOps Docker Helm Jenkins GitLab CI Git Go Prometheus Grafana Linux Shell Python Terraform Ansible 故障排查,https://jobs.51job.com/suzhou-gxq/172539730.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
全栈开发工程师,苏州中析生物信息,1.5-2.5万,苏州·吴中区,苏州,本科,3年及以上,2026-07-28 16:17:30,job51,"你将负责贯穿 IVD 设备全生命周期的软件系统开发与维护，核心职责如下：

岗位职责：
参与 IVD 仪器（生化、免疫、血球、分子诊断等）的上位机/下位机软件开发。
基于 Linux / Yocto / Ubuntu​ 环境，编写设备控制逻辑、仪器状态监控及故障诊断程序。
负责设备与外部模块（电机、传感器、光学部件、扫码器等）的串口/网口通信协议（如 TCP/IP, UDP, RS232, Modbus, HL7, ASTM）开发与解析。
优化 Linux 系统性能，编写 Shell/Python 脚本实现设备自动化运维与日志收集。
使用 C# / Python / Go​ 等语言，开发高并发、高可用的业务微服务。
负责 LIS/ LIMS的数据接口对接，确保符合医疗数据标准。
设计并实现海量检验数据的存储、清洗与分析引擎（MySQL / PostgreSQL / MongoDB / Redis）。
开发 IVD 设备的本地触控屏操作界面（HMI）
开发面向管理人员的Web 数据看板与管理后台（Vue.js）。
实现流程的可视化、仪器状态的实时 3D/2D 动画展示及报表导出功能。
参与医疗云平台（AWS / 阿里云 / 私有云）的架构设计与落地。
基于 Docker / Kubernetes​ 实现服务的容器化部署与弹性伸缩。
搭建 CI/CD 流水线（Jenkins / GitLab CI），保障代码质量与快速迭代。
探索并应用 IoT 物联网平台，实现移液工作站设备的远程监控、OTA 升级与预测性维护。

任职要求：
本科及以上、计算机/软件相关专业；3 年以上 .Net 开发经验
1.精通 C#，熟练 .NET Framework / .NET Core / .NET 5+
2.熟练掌握 ASP.NET Core、MVC / Web API，熟悉 IOC、DI、AOP、RESTful API 设计规范

加分项
1.有音视频流处理、边缘计算或 AI 算法工程化落地经验。
2.有自己的开源项目
3.竞赛经历",Linux TCP/IP Modbus Shell Python C# Go 高并发 高可用 微服务 MySQL PostgreSQL MongoDB Redis Vue AWS 阿里云 Docker Kubernetes 容器化 CI/CD Jenkins GitLab CI,https://jobs.51job.com/suzhou-wzq/173070612.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
golang开发工程师,苏州清陶新能源科技,2-3万,昆山,苏州,本科,3年及以上,2026-06-29 08:47:23,job51,"岗位职责：
1.基于公司现有EMS底层架构，使用Go语言进行核心功能模块开发
2.优化系统性能，确保高并发场景下的数据实时性与稳定性
3.协助算法团队实现能量管理策略（如峰谷套利、需求响应等），并集成至EMS平台
4.对接储能设备（如BMS、PCS）、电网调度系统、云平台等外部接口，确保数据交互与协议兼容
5.负责系统联调、测试用例编写及问题定位修复
6.编写技术文档（设计文档、接口规范、维护手册等）
7.为运营、测试团队提供技术支持，协助解决现场部署问题
 任职要求：
1.本科及以上学历
2.精通Go语言开发，3年以上实际项目经验，熟悉Goroutine、Channel等并发机制
3.熟悉数据库（如MySQL、Redis、时序数据库）设计与优化，掌握高性能数据存储方案
4.熟悉Linux环境开发，掌握Docker、Kubernetes等容器化技术者优先
5.熟悉微服务架构、消息队列（如Kafka、RabbitMQ）者优先
6.具备良好的沟通与团队协作能力，学习能力强，责任心强，注重代码质量与系统稳定性，具备性能优化意识，能快速理解业务需求并转化为技术方案
7.有能源管理、储能EMS系统开发经验 、或了解储能系统架构（含BMS、PCS、EMS交互逻辑）的优先
8.具备良好的英语听说读写能力
9.持有电气工程、自动化、计算机等相关专业本科及以上学历",Go 高并发 MySQL Redis Linux Docker Kubernetes 容器化 微服务 Kafka RabbitMQ 测试用例 技术文档 技术支持 技术方案,https://jobs.51job.com/kunshan/172716916.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
中高级IT支持,苏州云格致智能科技,1-1.8万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-08 10:02:47,job51,"主要职责
1. 信息系统管理与优化：
--全面负责公司ERP系统、OA办公自动化系统及其他核心业务系统的日常运维、用户支持、权限管理和性能优化。
--主导或参与公司内部系统的选型、升级、二次开发及新模块的上线项目实施，确保项目按时、按质、按预算完成。
--深入理解业务需求，推动ERP、OA系统与业务流程的深度融合，提出系统优化方案，提升运营效率。
--建立和完善系统操作规范、运维流程及知识库。
2. 信息安全管理：
--建立、实施并维护公司信息安全管理体系，制定和执行信息安全策略、制度与流程。
--负责网络、服务器、数据及应用系统的安全防护，定期进行安全风险评估、漏洞扫描和渗透测试，并组织整改。
--管理和监控网络安全设备（防火墙、WAF、IDS/IPS等），处理信息安全突发事件，主导安全事件的应急响应与调查。
--组织开展员工信息安全意识培训，提升全员安全防范水平。
3. 团队管理与建设：
--领导IT团队，包括系统管理员、网络工程师、技术支持等岗位，负责团队成员的日常工作安排、绩效考核、技能培训和人才发展。
--建立高效的团队协作机制，提升团队技术能力和服务水平。
--管理与协调外部供应商及服务商，确保其服务质量和合作效率。
4. IT基础设施与日常运维：
--负责公司机房、网络、服务器、存储等IT基础设施的规划与管理，确保其稳定、可靠。
--管理公司电脑、打印机、电话会议等办公设备的软硬件支持。
--编制和管理部门预算，控制IT成本。
任职资格要求
必备条件：
1.本科及以上学历，计算机科学、信息管理等相关专业。
2.至少5年以上IT工作经验，其中3年以上IT团队管理经验，具备清晰的团队管理思路和成功的管理实践。
3.具有丰富的ERP系统（如金蝶、用友、SAP、Oracle等）和OA系统的项目实施或运维管理经验，深刻理解企业业务流程。
4.具备扎实的信息安全知识和管理经验，熟悉网络安全、数据安全、应用安全等领域，对常见的安全威胁和防护措施有深入理解。
5.出色的项目管理和沟通协调能力，能够有效管理内外部资源，推动项目落地。
6.具备强烈的责任心、服务意识和抗压能力。

优先考虑：
1.持有PMP、CISSP、CISA、ITIL等相关认证者优先。
2.有从0到1主导或核心参与过ERP/OA系统上线项目经验者优先。
3.熟悉国家网络安全法律法规（如网络安全法、数据安全法）者优先。",漏洞扫描 渗透测试 防火墙 IDS IPS Oracle 知识库 应急响应 培训 团队管理 技术支持 项目管理,https://jobs.51job.com/suzhou-gyyq/172832953.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
运维工程师(CIM)(J10539),苏州苏纳光电,1.8-3万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-14 16:15:51,job51,"工作职责:
1、负责CIM平台系统的稳定性运营，包括但不仅限MES、EAP、RMS等系统，确保平台系统7*24小时稳定运行；
2、负责CIM平台系统工厂端用户需求的收集和问题反馈；
3、负责CIM平台系统需求的方案设计、功能开发及测试上线；
4、负责处理、跟进生产及业务反馈的生产异常；
5、负责CIM平台系统代码层面业务流程、逻辑、性能优化；

任职资格:
1、计算机、信息系统或相关专业大学本科以上学历，或有同等的培训及工作经验；
2、至少具备5年以上制造业CIM从业经验，半导体行业优先；
3、能熟练掌握C++、C#、JAVA中的至少一种开发语言；
4、熟悉SQL语言，熟悉关系型数据库的结构和日常操作；
5、需熟悉SECS/GEM、TCP/IP等工业通信协议；
6、需良好的文档编写能力，熟悉代码管理工具（SVN/Git），能适应团队协作开发模式；
7、能独立分析系统故障并优化性能，具备应急处理突发事件的经验；
8、有良好的学习和沟通能力，具备一定抗压能力。",C++ C# Java SQL TCP/IP SVN Git 方案设计 培训 文档编写,https://jobs.51job.com/suzhou-gyyq/172907639.html?s=sou_sou_soulb&t=0_0&req=d087bcd10c50f49b46b2ba66cec6fd94
