job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
桌面运维工程师,广州深晓科技,8千-1.2万,苏州·苏州工业园区,苏州,大专,1年及以上,2026-08-09 17:48:44,job51,"【工作内容】
1、负责公司桌面终端（PC、笔记本）的日常安装、配置、调试及故障排查，确保设备稳定运行；
2、维护办公网络环境，处理局域网连接、打印机共享及视频会议系统等技术问题；
3、响应并解决员工提出的软硬件报修需求，提供高效的技术支持服务与操作指导；
4、负责办公软件的安装部署、病毒查杀及系统补丁更新，保障信息安全与合规性；
5、管理公司资产台账，配合完成IT设备的采购验收、入库登记及报废处置工作。

【任职要求】
1、大专及以上学历，计算机、电子信息或相关专业背景，具备扎实的网络与硬件基础；
2、熟悉Windows/Mac操作系统及Office等常用办公软件，掌握常见外设驱动安装与维护；
3、了解TCP/IP协议及局域网基本架构，具备独立排查网络连通性及IP冲突问题的能力；
4、拥有1年以上桌面运维或技术支持经验，持有相关技术认证者优先考虑；
5、具备良好的服务意识与沟通协调能力，工作细致耐心，能适应突发故障的紧急处理。",TCP/IP 故障排查 技术支持 合规 采购 PC,https://jobs.51job.com/suzhou-gyyq/173202334.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
IT技术支持,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,大专,1年及以上,2026-08-09 18:19:32,job51,"【工作内容】
1、负责办公网络、终端设备及软硬件故障的排查与修复，保障日常业务系统稳定运行；
2、响应并处理员工提出的 IT 服务请求，提供远程或现场技术支持，确保问题高效闭环；
3、负责公司服务器、打印机及会议设备的定期巡检与维护，优化系统性能与安全策略；
4、协助搭建新员工入职环境，管理账号权限，配合完成数据备份及信息安全合规工作；
5、编写常见问题操作手册，开展内部 IT 培训，提升全员数字化办公技能与安全意识。

【任职要求】
1、计算机、通信工程或相关专业大专及以上学历，具备扎实的计算机网络基础理论；
2、熟悉 Windows/Linux 操作系统及主流办公软件，掌握常见硬件设备维护与调试技能；
3、拥有 1 年以上企业 IT 运维经验，具备独立解决网络故障及系统部署问题的能力；
4、具备良好的服务意识与沟通协调能力，工作严谨细致，能适应突发状况下的应急处理；
5、持有相关技术认证者优先，认同公司文化，具有强烈的责任心和团队协作精神。",Linux 技术支持 安全合规 培训 IT Windows,https://jobs.51job.com/suzhou-gsq/173202424.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
IDC运维值班工程师,港城云联（苏州）数据系统,5-7千,张家港,苏州,大专,1年及以上,2026-07-28 09:20:16,job51,"主要职责：
1.负责数据中心7*24小时现场维护交接班工作，按要求填写交接班表;
2.熟悉数据中心设施设备，按规范要求对发电机、动力设备、机房环境、消防设备、空调外机等运行巡检并记录;
3.定期进行供电系统、后备发电机带载测试及应急演练并记录数据，确保供电安全;
4.协同做好 UPS、空调，发电机、蓄电池等设备维护工作;
5.及时监控发现故障及时定位、处理和通报;
6.及时响应设备运行产生的突发事件;
7.对维护工具进行清点和需求统计;
8.完成上级交办或者其他部门需要协助的具体工作。
任职要求：
1、专科以上学历，机电相关专业，具备高压、低压电工证或制冷与空调设备维修运行操作作业证；
2、1年以上中大型数据中心值班管理和维护经验；
3、从事过机电、暖通、消防、弱电等设备的管理和维护等工作；
4、具备良好的口头与书面沟通、表达能力，良好的团队精神和较强的协调能力；
5、具备较强的责任心，上进心，关注细节，具有独立性，学习能力强，能承受较大的工作压力。
入职可灵佳实。",UPS,https://jobs.51job.com/zhangjiagang/166440316.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
it运维工程师,江苏益展研创智能科技,6-8千,苏州·姑苏区,苏州,本科,1年及以上,2026-07-13 16:11:55,job51,"岗位职责
1、安防监控设备、智慧交通道闸设备、网络、车载监控终端等各类IT硬件的配置、巡检、安装调试。
2、网络硬件运维，包含交换机、路由器、网线布线、工位网络调试，处理断网、网络异常等问题。
3、处理道路枢纽摄像头、录像机、车载GPS/车载监控终端调试、故障处理，保障车载及安防设备稳定运行。
任职要求
1、了解计算机软硬件基础知识，有1年以上IT硬件运维经验，应届生可培养。
2、熟悉监控、车载终端等主流硬件设备安装调试与故障排查，能独立处理监控、设备常见问题。
3、熟悉局域网、无线网络、综合布线，掌握基础网络及安防、车载设备联动运维能力。
4、工作踏实主动、响应快、有服务意识，能适应日常现场运维工作。",GPS 故障排查,https://jobs.51job.com/suzhou-gsq/172891014.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
IT运维专员,苏州文迪光电科技,8千-1.2万,苏州·高新区,苏州,大专,1-3年,2026-07-09 08:59:22,job51,"岗位职责
1. 负责金蝶云星空ERP系统日常运维，账号权限、单据异常、月结关账、流程配置，对接原厂处理问题，组织员工操作培训。
2. 负责车间MES生产系统运维，工单报工、扫码追溯、看板、PDA/条码打印机调试，保障ERP与MES接口数据同步。
3. 全厂办公电脑、打印机、工业终端、交换机、门禁、监控等硬件故障检修、装机维护，管理IT资产台账。
4. 厂区局域网故障排查、Windows服务器日常巡检、数据备份，接收各部门IT报修，优先保障产线系统稳定。
5. 完成领导交办的其他信息化相关工作。

任职要求

1.大专及以上，计算机、机电、信息管理等相关专业，1-3年制造业IT运维经验。
2.熟练金蝶云星空ERP运维，熟悉供应链、生产模块；有MES系统运维经验优先。
3.会基础SQL语句，可做简单数据查询；懂Windows服务器基础操作、数据备份。
4.能独立维修电脑、外设、PDA、交换机等硬件，排查内网常见网络问题。
5.动手能力强，执行力好，能应急处理产线突发故障，沟通顺畅。


工作地点：苏州1位，河南2位

加分项

具有光电/精密制造行业经验、ERP与MES集成运维、金蝶相关证书、车间IoT设备调试经验",SQL 培训 系统运维 故障排查 供应链 PDA,https://jobs.51job.com/suzhou-gxq/172846696.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
IDC运维工程师,兰笺（苏州）科技,8千-1.2万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-14 15:38:18,job51,"岗位职责：
1、负责公司产品线上服务器的日常运行维护，包括健康检查、性能监控、告警响应与故障处理，保障业务稳定运行；
2、负责服务器硬件维护及基础系统维护，能够定位和处理硬件故障，确保服务器生命周期管理规范有序；
3、负责公司软件及服务的自动化发布、升级、回滚，制定变更流程，降低上线风险；
4、规划和优化服务器上架、操作系统安装流程，持续改进装机系统，提升交付效率；
5、负责公司内部ID系统（如账号、权限、认证平台）的日常维护与优化；
6、编写自动化脚本与运维工具，推动运维效率提升，降低人工操作比例；
7、参与规划、上架、装机、交付、运维等平台的搭建与开发，推动运维体系标准化建设。
职位要求：
1、统招本科及以上学历，通信、计算机、电子工程等相关专业，具备扎实的计算机硬件基础知识；
2、3年以上IT运维或运维开发相关工作经验，熟练掌握Linux/Unix系统管理、Shell、Python、SQL等工具；
3、熟悉服务器硬件架构，能够独立定位和处理硬件故障，有较强的分析与解决问题能力；
4、熟悉自动化运维技术与工具，有实际自动化发布、监控告警体系建设经验者优先；
5、抗压能力强，能承担较高工作压力；学习能力强，对新技术保持敏感；责任心强，工作积极主动；
6、具备良好的沟通能力和团队合作精神，能够独立推进工作并完成交付。",Linux Unix Shell Python SQL 监控告警,https://jobs.51job.com/suzhou-gyyq/172906513.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
it运维工程师,上海启佳信息科技,1-1.4万,常熟,苏州,本科,1年及以上,2026-08-04 17:45:39,job51,"【工作内容】
- 负责公司服务器、网络设备及各类系统的日常维护与监控；
- 处理日常IT技术支持问题，保障系统稳定运行；
- 配合完成系统部署、更新及优化工作；
- 协助制定和执行IT运维相关流程与规范。
【任职要求】
- 本科及以上学历，计算机相关专业优先；
- 对IT运维工作有浓厚兴趣，愿意学习并接受新知识；
- 具备良好的沟通能力和团队协作精神；
- 有责任心，能适应一定的加班需求。",技术支持,https://jobs.51job.com/changshu/173151043.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
基础运维工程师(J10644),苏州天孚光通信,8千-1.4万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-07-25 15:07:00,job51,"工作职责:
1.对桌面用户电脑使用负责
1.1 负责桌面用户的支援，及时解决桌面用户电脑系统软件故障；
1.2 负责系统硬件故障时，对无法排除的硬件故障，向用户提出明确解决方
案；
1.3 负责检查桌面用户电脑防毒软件是否正常运行；
1.4 负责桌面用户标准软件之外的软件需求安装；
1.5 负责桌面用户电脑运行效能评估；
1.6 负责桌面用户电脑使用效能降低时，电脑替代，资料备份
2.对各安防系统、会议室正常运行负责
2.1负责监控系统点检工作，对录象有效期、角度、清晰度负责
2.2 负责门禁系统点检工作，对门禁有效闭合、可控通行负责
2.3 负责会议室各系统点检工作，对会议室正常投入使用负责。
2.4 负责监控系统新增时的施工评估，协调参与监控新增时的安装工作
2.5 负责门禁系统新增时的施工评估，协调参与门禁新增时的安装工作
3.对资讯列管资产负责
3.1 负责对资讯列管资产（电脑、打印机等）进行验收
3.2 负责对资讯列管资产进行及时、准确资产登记
3.3、负责对租用打印机每季度读数登记
4. 对入职员工电脑交付负责
4.1 负责入职员工电脑系统、应用软件安装
4.2 负责入职员工电脑帐号的正确配置，网络盘映射
4.3 负责入职员工电脑打印机的正确安装（A4、三联纸）
4.4 负责入职员工电脑移交过程中的各系统密码交付
4.5 负责电脑交付确认单回函确认
任职资格:
1.全日制本科及以上、3年及以上企业桌面运维工作经验
2.熟悉桌面运维常见问题及处置方法
3.熟悉网络问题处理方法
4.有良好的沟通能力",A4,https://campus.51job.com/tfcsz/jobinfo.html?jobid=173040764
监控维护技术员,江苏凯成智能科技,5.5-7.5千,昆山,苏州,大专,1年及以上,2026-08-06 14:13:19,job51,"一、岗位职责：
1.&nbsp;负责监控摄像头、NVR录像机、交换机、显示器、门禁、网络布线日常巡检、故障排查、维修；
2.&nbsp;监控设备安装、调试、点位整改、线路整理、硬盘更换；
3.&nbsp;处理监控无图像、卡顿、掉线、录像异常、夜视故障等问题；
4.&nbsp;定期巡检，做好维保记录，整理设备台账；
5.&nbsp;配合甲方调试监控平台，简单网络排查，熔接网线/光纤优先加分；
6.&nbsp;服从安排，外勤上门维修，及时响应故障报修。
 
二、任职要求：
1.&nbsp;年龄22–45周岁；
2.&nbsp;必备基础：认识模拟/网络摄像头，会排查监控不通、不通电、无画面故障，熟悉录像机基础操作；
3.&nbsp;了解网线、POE供电、交换机基础网络知识，能独立布线、水晶头压制；
4.&nbsp;有弱电、安防监控、网络施工维修经验优先；
5.&nbsp;持有登高证、电工证优先（高空检修摄像头需要）；
6.&nbsp;动手能力强，能爬梯高空作业，无恐高症；
7.&nbsp;有驾驶证、自备交通工具优先；
8.&nbsp;责任心强，沟通良好，能接受偶尔应急加班；
9.&nbsp;无违法犯罪记录。

工作时间：一般为常白班，应急抢修时需轮值。",故障排查 nbsp,https://jobs.51job.com/kunshan/173176043.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
运维工程师,苏州银橡智能科技,8千-1.2万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-06 10:12:00,job51,"岗位名称：运维工程师（智能柜/物联网交付方向）
（注：岗位需要去客户现场运维支持，不考虑单纯中间件和线上运维，请大家提前关注下哈）
岗位简介：
1. 负责公司智能柜、物联网平台等自研产品的软件交付实施，包括现场安装、环境配置、系统部署、功能调试、集成测试及用户培训；
2. 根据项目交付清单，核验软件功能点及系统运行状态，配合完成项目验收，确保交付质量和进度；
3. 快速响应客户现场软硬件问题，独立完成问题定位、故障排查和初步解决，必要时协调研发团队进行技术支持，推动问题闭环；
4. 独立搭建软硬件测试环境，模拟客户现场运行环境，复现、分析并定位问题，为研发优化和产品迭代提供支持；
5. 持续优化交付流程、部署脚本和标准化配置模板，提高项目交付效率和产品部署质量；
6. 收集并反馈客户使用过程中的产品问题和改进建议，协助推动产品持续优化。

任职要求：
1. 全日制统招本科及以上学历，计算机、软件工程、电子信息、网络工程等相关专业优先；
2. 具备至少两年以上业务软件的交付经验，包括：用户现场的业务需求跟进，第三方软件的系统对接、现场业务软件实施和部署、现场技术培训等；
3. 优秀的沟通表达能力和闭环意识，能够准确理解并传递业务需求，与客户、项目经理及研发团队高效协同，推动问题从发现、分析到解决的全过程闭环；
4. 具备良好的交付意识和跨部门资源协调能力，抗压能力强，能够快速适应项目交付需求；
5. 具备 Linux 系统部署与运维能力，熟悉常见Linux 发行版的安装、配置、服务管理及故障排查；
6. 熟悉 MySQL、PostgreSQL 等关系型数据库的部署、配置、备份恢复及基础运维；掌握 TCP/IP 网络基础，具备网络连通性分析及数据通信问题定位能力；
7. 能适应中短时间（1~2个月）的出差及客户现场驻场支持。

优先/加分条件：
1. 具备复杂网络环境下物联网系统交付经验，熟悉公网、专网、局域网、弱网、离线等场景下的设备接入、服务部署、数据同步及远程运维；
2. 具备智能硬件、物联网平台、工业互联网、边缘计算或软硬件一体化项目交付经验者优先；
3. 有智能柜、POS、物流柜、智慧零售、工业设备等相关行业项目交付经验；
4. 具备技术方案、部署手册、运维文档编写及客户培训经验。
5. 熟悉容器化技术体系，能够使用 Docker、Docker Compose 完成应用部署、配置管理、版本升级和故障排查；了解 Kubernetes（K8s）、K3s 等容器编排技术；",Linux MySQL PostgreSQL TCP/IP 容器化 Docker Kubernetes K8s 培训 故障排查 技术支持 产品迭代 资源协调 技术方案 文档编写,https://jobs.51job.com/suzhou-gyyq/173170813.html?s=sou_sou_soulb&t=0_0&req=dfd02d00ea6e606dbac3e3dec8584040
