job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
云计算工程师(J10212),吴江市东吴机械,9千-1.8万·13薪,苏州·虎丘区,苏州,本科,3年,2026-07-30 14:15:16,job51,"工作职责:
1、负责云平台建设与维护，设计业务上云规划与后期运维；
2、实施多区域高可用与灾备架构，保障业务连续性；
3、对云资源使用与效率进行监控与维护，保障云系统稳定与资源合理；
4、构建敏捷开发流程体系，与开发运维进行联动合作。
任职资格:
1、熟悉主流公有云平台（AWS，阿里云，Azure等）具备云资源管理与优化经验；
2、熟悉CI/CD工作流以及相关工具使用（如Jenkins，Gitlab，ArgoCD等）；
3、熟悉容器化（Docker，Kubernetes）；
4、对网络、安全、负载均衡与微服务概念有深度理解；
5、有从事公有云工作经验优先。",高可用 AWS 阿里云 Azure CI/CD Jenkins Git Go 容器化 Docker Kubernetes 微服务,https://jobs.51job.com/suzhou-hq/173098535.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
点云后处理算法工程师,派姆特科技（苏州）,2.5-4.5万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-10 16:12:36,job51,"【工作内容】
- 负责点云数据的后处理算法设计与开发，包括去噪、配准、分割、特征提取等；
- 研究并优化点云数据的高效处理方法，提升算法性能与精度；
- 与团队协作，参与三维数据处理系统的整体架构设计与实现。
【任职要求】
- 计算机科学、人工智能、测绘工程或相关专业本科及以上学历；
- 熟悉点云处理相关算法，具备扎实的数学基础和编程能力；
- 熟练使用C++/Python，了解Open3D、PCL等点云处理库者优先；
- 具备良好的逻辑思维能力和团队协作精神，对算法研究有热情。",C++ Python,https://jobs.51job.com/suzhou-gyyq/167291681.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
云端多模态大模型工程师,安德烈斯蒂尔动力工具（青岛）,2-3.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-13 15:50:36,job51,"岗位职责 

负责云端多模态大模型（LLM / VLM）的训练、微调与评估； 
负责大模型在云端的部署、推理优化与服务化（API化）； 
设计并实现云端大模型与本地小模型之间的通信与协同机制（如蒸馏、路由、分层推理等）； 
基于 AWS（如 EC2、S3、EKS、ECR 等）搭建与维护训练与推理基础设施； 
负责模型性能优化，包括推理加速（TensorRT / vLLM / quantization 等）； 
参与多模态数据处理（图像、文本、语音等）与训练管道建设。 

 
任职要求 
计算机、人工智能或相关专业； 
熟悉 PyTorch / Deep Learning 训练框架； 
熟悉大模型训练或微调（LLM / Vision-Language Model）； 
熟悉模型部署与推理服务（FastAPI / Triton / vLLM 等）； 
熟悉 AWS 云平台（EC2、S3、EKS、IAM、ECR 等）； 
了解分布式训练或多机多卡（DDP / FSDP）； 
熟悉 Python，具备一定 C++ 或系统工程能力。 

 
加分项 
有多模态模型（如 CLIP、LLaVA、Gemini 类）经验； 
有云端大规模训练或推理优化经验； 
熟悉模型压缩（量化、蒸馏、剪枝）； 
有边缘端/本地小模型部署经验； 
熟悉 AWS 生产级 MLOps 架构； 
有 K8s / Docker / CI-CD 实践经验。",多模态 大模型 LLM AWS PyTorch FastAPI 分布式 Python C++ CLIP K8s Docker,https://jobs.51job.com/suzhou-gyyq/172890322.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
云端多模态大模型工程师-[649998],安德烈斯蒂尔动力工具（青岛）,2-4万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-11 09:06:10,job51,"岗位职责 

负责云端多模态大模型（LLM / VLM）的训练、微调与评估； 
负责大模型在云端的部署、推理优化与服务化（API化）； 
设计并实现云端大模型与本地小模型之间的通信与协同机制（如蒸馏、路由、分层推理等）； 
基于 AWS（如 EC2、S3、EKS、ECR 等）搭建与维护训练与推理基础设施； 
负责模型性能优化，包括推理加速（TensorRT / vLLM / quantization 等）； 
参与多模态数据处理（图像、文本、语音等）与训练管道建设。 
 
 
任职要求 
计算机、人工智能或相关专业； 
熟悉 PyTorch / Deep Learning 训练框架； 
熟悉大模型训练或微调（LLM / Vision-Language Model）； 
熟悉模型部署与推理服务（FastAPI / Triton / vLLM 等）； 
熟悉 AWS 云平台（EC2、S3、EKS、IAM、ECR 等）； 
了解分布式训练或多机多卡（DDP / FSDP）； 
熟悉 Python，具备一定 C++ 或系统工程能力。 
 
 
加分项 
有多模态模型（如 CLIP、LLaVA、Gemini 类）经验； 
有云端大规模训练或推理优化经验； 
熟悉模型压缩（量化、蒸馏、剪枝）； 
有边缘端/本地小模型部署经验； 
熟悉 AWS 生产级 MLOps 架构； 
有 K8s / Docker / CI-CD 实践经验。",多模态 大模型 LLM AWS PyTorch FastAPI 分布式 Python C++ CLIP K8s Docker,https://jobs.51job.com/suzhou-gyyq/172507091.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
视觉算法工程师（3D点云）,苏州辰瓴光学,1.5-2万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-07-08 17:17:06,job51,"岗位定位： 负责2D/3D视觉算法的研发、优化与工程化落地，聚焦工业检测、测量与定位场景。
一、 岗位职责
核心算法开发：负责2D传统视觉算法（图像滤波、边缘检测、模板匹配、尺寸测量、特征提取）与3D点云算法（去噪滤波、配准拼接、分割聚类、特征提取、三维重建）的设计、开发与优化。
多算法融合应用：结合2D图像与3D点云数据，实现高精度测量（如平面度、高度差、轮廓测量）、缺陷检测及引导定位等复合视觉任务。
工程化落地：基于C++ 进行算法封装、性能调优（实时性与资源占用），与软件、硬件团队协作，确保算法在工业设备上的稳定运行。
技术文档与沉淀：输出算法设计文档、测试报告，并沉淀可复用的算法模块与工具库。
二、 任职要求
1. 专业与学历
学历：本科及以上学历。经验丰富、有成熟落地项目者。
专业：计算机、自动化、数学、图像处理、物理、机械工程等相关专业。
2. 硬性技能
编程语言：精通C++，具备扎实的算法工程化能力、良好的代码风格与调试优化经验。掌握Python者更佳。
核心算法库：熟练掌握以下至少一种工具，并有实际项目开发经验：
传统视觉库：OpenCV（C++版本）、Halcon、VisionPro。
点云处理库：PCL（Point Cloud Library），以及Eigen、Ceres等数值计算库。
算法原理：深入理解2D视觉核心算法（滤波、分割、模板匹配、标定）和3D点云核心算法（配准如ICP、滤波、分割、特征提取）的底层数学原理与实现逻辑。",C++ Python OpenCV 技术文档 Halcon VisionPro PCL Point,https://jobs.51job.com/suzhou-gyyq/172843636.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
激光雷达点云算法工程师,苏州赛瞳智能科技,3-5万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-07-24 17:10:02,job51,"职位描述：
1、负责激光雷达点云数据的预处理、去噪、滤波、分割、聚类、配准、融合、目标检测与跟踪等算法研发与优化。
2、能够完成激光雷达点云的测试以及标定。
3、面向自动驾驶、机器人、割草机、测绘、工业检测或智能交通场景，设计点云感知与理解算法方案。
4、完成点云与相机、毫米波雷达等多传感器数据融合、时空同步、标定及后处理。
5、基于点云特征实现障碍物检测、分类、车道线/可行驶区域提取、姿态估计等功能。
6、负责算法在嵌入式/车载平台的移植、优化、加速与落地验证，满足实时性与精度要求。
7、搭建点云算法测试、评估、可视化 pipeline，分析 BadCase 并持续迭代。
8、跟踪国内外点云相关前沿技术（传统几何算法、深度学习点云算法、SLAM、建图等）。

任职要求：
1、计算机、自动化、电子、测绘、数学、机器人等相关专业，本科及以上学历。
2、扎实的数学基础：线性代数、概率论、立体几何、优化理论、点云拓扑与空间变换。
3、熟练掌握 C++/Python 开发，熟悉 PCL、Open3D、VTK、Matplotlib 等点云工具库。
4、熟悉至少一种点云深度学习框架：PyTorch/TensorFlow/JAX，了解PointNet、PointRCNN、VoxelNet、CenterPoint 等经典模型。
5、熟悉点云常用算法：滤波、下采样、 registration（ICP/NDT等）、分割、聚类、目标跟踪。

有以下任一经验者优先：
1、自动驾驶/机器人激光雷达感知落地经验。
2、LiDAR SLAM、激光里程计、点云地图构建与更新。
3、多传感器融合（Camera+LiDAR+Radar）。
4、模型量化、TensorRT/ONNX 部署、嵌入式优化。
5、点云数据集制作、标注、评估与 pipeline 搭建。
6、良好的工程实现能力、问题定位能力与团队协作意识。

加分项
1、有 KITTI、Waymo、NuScenes、SemanticKITTI 等数据集竞赛或评测成绩。
2、熟悉 ROS/ROS2 开发，有实际机器人或自动驾驶项目部署经验。
3、了解激光雷达原理：线束、TOF/FMCW、点云成像特性、噪声模型。
4、发表过点云/3D 感知相关顶会论文（CVPR/ICCV/ECCV/ICRA/IROS 等）。
5、熟练使用 Linux 开发环境、CMake、Git、Docker 等工具链。",深度学习 SLAM C++ Python PyTorch TensorFlow LiDAR ONNX ROS Linux CMake Git Docker,https://jobs.51job.com/suzhou-gxq/173036285.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
激光雷达点云感知工程师-[636035],安德烈斯蒂尔动力工具（青岛）,2-4万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-11 09:08:13,job51,"岗位职责 
负责激光雷达（LiDAR）点云感知算法开发与优化； 
负责3D目标检测、点云分割、多传感器融合等相关算法研发； 
负责点云数据处理、评估及部署； 
参与自动驾驶/机器人感知系统的工程化落地； 
配合完成数据分析、性能优化及问题定位。 
 
 
任职要求 
计算机、自动化、人工智能、机器人等相关专业； 
熟悉 C++ / Python 编程； 
了解常见点云算法； 
了解 ROS、Linux 开发环境； 
具备良好的算法理解与工程实现能力。 
 
 
加分项 
有自动驾驶、机器人相关项目经验； 
熟悉 CUDA、TensorRT、BEV 感知； 
有激光雷达、多传感器融合经验； 
有大规模点云训练与部署经验。",LiDAR C++ Python ROS Linux 数据分析,https://jobs.51job.com/suzhou-gyyq/172507152.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
C++点云算法工程师,派姆特科技（苏州）,2.5-2.8万,苏州,苏州,本科,2年及以上,2026-07-10 16:08:51,job51,"【工作内容】
1、负责激光扫描数据实时处理，包括：特征提取、点云采样、融合、噪声剔除、平滑、网格化等；
2、负责网格化数据的修复、降噪、精简、补洞等算法开发;
3、负责相关算法模块的测试、维护，编写相关设计文档;
4、能解决三维测量软件在开发过程中的技术难题，应用前沿技术提升产品的核心竞争力。

【任职要求】
1、计算机、通信、信息科学，自动化、摄影测量与遥感、测绘或相关专业本科及以上学历，具备扎实的数学与编程基础；
2、数学基础好，尤其是线性代数及基本的空间几何运算；
3、精通三维点云、网格数据处理算法，具有点云处理相关开发经验，有扎实的机器视觉、图像处理理论基础；
4、熟练掌握C++编程，有使用过CUDA者优先；
5、有用过CGAL、vcglib、openmesh者优先；
6、具有2年以上点云算法实战经验者优先；
7、具备良好的逻辑思维能力、英语文档阅读能力及团队协作精神。",C++ vcglib,https://jobs.51job.com/suzhou/172870825.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
IT技术支持,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,大专,1年及以上,2026-08-09 18:19:32,job51,"【工作内容】
1、负责办公网络、终端设备及软硬件故障的排查与修复，保障日常业务系统稳定运行；
2、响应并处理员工提出的 IT 服务请求，提供远程或现场技术支持，确保问题高效闭环；
3、负责公司服务器、打印机及会议设备的定期巡检与维护，优化系统性能与安全策略；
4、协助搭建新员工入职环境，管理账号权限，配合完成数据备份及信息安全合规工作；
5、编写常见问题操作手册，开展内部 IT 培训，提升全员数字化办公技能与安全意识。

【任职要求】
1、计算机、通信工程或相关专业大专及以上学历，具备扎实的计算机网络基础理论；
2、熟悉 Windows/Linux 操作系统及主流办公软件，掌握常见硬件设备维护与调试技能；
3、拥有 1 年以上企业 IT 运维经验，具备独立解决网络故障及系统部署问题的能力；
4、具备良好的服务意识与沟通协调能力，工作严谨细致，能适应突发状况下的应急处理；
5、持有相关技术认证者优先，认同公司文化，具有强烈的责任心和团队协作精神。",Linux 技术支持 安全合规 培训 IT Windows,https://jobs.51job.com/suzhou-gsq/173202424.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
桌面运维工程师,广州深晓科技,8千-1.2万,苏州·苏州工业园区,苏州,大专,1年及以上,2026-08-09 17:48:44,job51,"【工作内容】
1、负责公司桌面终端（PC、笔记本）的日常安装、配置、调试及故障排查，确保设备稳定运行；
2、维护办公网络环境，处理局域网连接、打印机共享及视频会议系统等技术问题；
3、响应并解决员工提出的软硬件报修需求，提供高效的技术支持服务与操作指导；
4、负责办公软件的安装部署、病毒查杀及系统补丁更新，保障信息安全与合规性；
5、管理公司资产台账，配合完成IT设备的采购验收、入库登记及报废处置工作。

【任职要求】
1、大专及以上学历，计算机、电子信息或相关专业背景，具备扎实的网络与硬件基础；
2、熟悉Windows/Mac操作系统及Office等常用办公软件，掌握常见外设驱动安装与维护；
3、了解TCP/IP协议及局域网基本架构，具备独立排查网络连通性及IP冲突问题的能力；
4、拥有1年以上桌面运维或技术支持经验，持有相关技术认证者优先考虑；
5、具备良好的服务意识与沟通协调能力，工作细致耐心，能适应突发故障的紧急处理。",TCP/IP 故障排查 技术支持 合规 采购 PC,https://jobs.51job.com/suzhou-gyyq/173202334.html?s=sou_sou_soulb&t=0_0&req=0d3c21249c945e35f97f26a10ab4073c
