job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
系统开发岗/软件开发维护人员,日盛国际融资租赁,6千-1万·13薪,苏州·苏州工业园区,苏州,大专,2年,2026-06-25 09:02:26,job51,"1、负责公司营运系统的全栈开发，包括前端、后端和数据库的设计和实现。
2、负责应用程序的性能优化和故障排查；
3、在项目组内完成系统开发任务，确保项目按时高质量交付；
4、完成公司日常需求单的维护，解决线上问题、排查Bug，持续迭代优化。
5、完成部门技术支持与主管指派任务。
6、其他上级主管交代事项。

任职要求:
1、大专及以上学历，计算机相关专业毕业。
2、精通Angular前端 + .Net Core后端开发(或者Java后端开发)。
3、精通Web API 设计与开发， HTTP /Network 等知识。
4、精通ORM 架构及使用方式 (Dapper /Entity Framework)。
5、熟悉MS SQL、Oracle等任一关系型数据库。
6、熟悉FineReport、SQL Server Reporting Services。
7、熟悉具备版本控制概念，GIT实际操作经验。
8、具备团队合作精神及良好的沟通能力。
9、具备备主动积极特质、解决问题有不放弃的毅力。
10、两年以上相关ERP或者BPM维护与开发经验(熟悉python优先)。",Angular Java SQL Oracle SQL Server Git Python 故障排查 技术支持,https://jobs.51job.com/suzhou-gyyq/169778971.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
项目实施工程师,苏州云格致智能科技,6千-1万,苏州,苏州,大专,1年及以上,2026-06-27 01:05:27,job51,"1、性格要求：执行力强，能吃苦，做事有耐心，且具备很强的沟通能力；
2、项目管理技能要求：有项目管理理论，熟悉项目管理方法和管理工具；
3、物流自动化专业知识技能要求：熟悉一般软件工程知识；有基本的机械、自动化、计算机软、硬件、网络知识；有强、弱电基本管理能力。
4、优秀应届毕业生或一年以上AGV、输送线分拣机、ERP、WMS、MES或自动化实施相关的工作经验。
「工作内容」
1、按照项目计划，现场软件系统、硬件设备的实施调试服务，协助进行项目的进度控制、质量控制和成本控制；
2、与客户保持密切沟通，建立良好的客户合作关系，保障良好的客户满意度，负责软件系统、AGV及相关设备的现场实施、调试、交付及售后；同时负责客户现场的使用培训和项目验收；保障技术支持和故障排除，确保设备安装、调试及运行良好， 
3、与项目经理、电气、软硬件研发人员、设备生产人员紧密协作；执行项目报告机制，制定总结产品、项目改善文档，协助产品、项目持续迭代；
4、负责实施期间现场问题的解决，并且进行记录；可执行需求调查、需求分析工作，并形成规范的需求文档；
5、对于需要其他人员协助解决的问题，必须提供明确的目标要求，进行精确的问题定位，必要时提供如截图、错误报告等描述文档。
6、可承担客户的系统软件、硬件平台的安装搭建与实施工作；辅助客户实施系统，进行良好的客户培训服务工作，以及及时的响应服务；
7、协助系统测试工作及用户手册编制工作；
8、积极学习目标客户行业业务需求及相关软、硬件技术，并可形成需求、技术文档以提交给产品、研发部门；
9、会使用AutoCAD，Solidworks等，协助规划顾问人员绘制项目实施布局CAD图、项目地图、项目二维码，并制作简单的业务流程图，协助整理项目中的各类文档。",项目管理 成本控制 培训 技术支持 需求分析 技术文档,https://jobs.51job.com/suzhou/169286314.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
IE技术员,苏州市博电云科能源科技,7千-1.1万,苏州·吴江区,苏州,中技/中专,3-4年,2026-07-21 11:57:47,job51,"岗位职责：
1.制作SOP（标准作业指导书）及优化；
2.制定标准工时；
3.随线教线，问题记录；
4.现场改善与产能提升；
5.协助处理生产异常问题；
6.协助工程师制作生产线配置图；
7.负责新产品导入量产线工艺设计与完善；
8.对产线执行工艺状况进行监督与检查，并对作业员进行技术指导；
9.建立机种标准工时表数据库。

任职要求：
1.中专及以上学历，计算机，通信工程，电子工程或其相关专业；
2.熟悉电子产品生产工艺设计流程优化；
3.对电子产品组装、焊锡等有一定的了解；
4.能吃苦耐劳，能配合加班，工作积极，认真负责，具备良好沟通能力。
5.身体健康状况须满足岗位正常履职要求，无影响工作稳定性、现场审核、沟通协作及团队秩序的身心疾病或异常症状或相关既往病史",流程优化,https://jobs.51job.com/suzhou-wjq/150712055.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
IT技术支持,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,大专,1年及以上,2026-08-09 18:19:32,job51,"【工作内容】
1、负责办公网络、终端设备及软硬件故障的排查与修复，保障日常业务系统稳定运行；
2、响应并处理员工提出的 IT 服务请求，提供远程或现场技术支持，确保问题高效闭环；
3、负责公司服务器、打印机及会议设备的定期巡检与维护，优化系统性能与安全策略；
4、协助搭建新员工入职环境，管理账号权限，配合完成数据备份及信息安全合规工作；
5、编写常见问题操作手册，开展内部 IT 培训，提升全员数字化办公技能与安全意识。

【任职要求】
1、计算机、通信工程或相关专业大专及以上学历，具备扎实的计算机网络基础理论；
2、熟悉 Windows/Linux 操作系统及主流办公软件，掌握常见硬件设备维护与调试技能；
3、拥有 1 年以上企业 IT 运维经验，具备独立解决网络故障及系统部署问题的能力；
4、具备良好的服务意识与沟通协调能力，工作严谨细致，能适应突发状况下的应急处理；
5、持有相关技术认证者优先，认同公司文化，具有强烈的责任心和团队协作精神。",Linux 技术支持 安全合规 培训 IT Windows,https://jobs.51job.com/suzhou-gsq/173202424.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
桌面运维工程师,广州深晓科技,8千-1.2万,苏州·苏州工业园区,苏州,大专,1年及以上,2026-08-09 17:48:44,job51,"【工作内容】
1、负责公司桌面终端（PC、笔记本）的日常安装、配置、调试及故障排查，确保设备稳定运行；
2、维护办公网络环境，处理局域网连接、打印机共享及视频会议系统等技术问题；
3、响应并解决员工提出的软硬件报修需求，提供高效的技术支持服务与操作指导；
4、负责办公软件的安装部署、病毒查杀及系统补丁更新，保障信息安全与合规性；
5、管理公司资产台账，配合完成IT设备的采购验收、入库登记及报废处置工作。

【任职要求】
1、大专及以上学历，计算机、电子信息或相关专业背景，具备扎实的网络与硬件基础；
2、熟悉Windows/Mac操作系统及Office等常用办公软件，掌握常见外设驱动安装与维护；
3、了解TCP/IP协议及局域网基本架构，具备独立排查网络连通性及IP冲突问题的能力；
4、拥有1年以上桌面运维或技术支持经验，持有相关技术认证者优先考虑；
5、具备良好的服务意识与沟通协调能力，工作细致耐心，能适应突发故障的紧急处理。",TCP/IP 故障排查 技术支持 合规 采购 PC,https://jobs.51job.com/suzhou-gyyq/173202334.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
AGV项目实施工程师,苏州云格致智能科技,1-1.3万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-06-11 13:27:51,job51,"岗位职责：
1、按照项目计划，现场软件系统、硬件设备的实施调试服务，协助进行项目的进度控制、质量控制和成本控制；
2、与客户保持密切沟通，建立良好的客户合作关系，保障良好的客户满意度，负责软件系统、AGV及相关设备的现场实施、调试、交付及售后；同时负责客户现场的使用培训和项目验收；保障技术支持和故障排除，确保设备安装、调试及运行良好， 
3、与项目经理、电气、软硬件研发人员、设备生产人员紧密协作；执行项目报告机制，制定总结产品、项目改善文档，协助产品、项目持续迭代；
4、负责实施期间现场问题的解决，并且进行记录；可执行需求调查、需求分析工作，并形成规范的需求文档；
5、对于需要其他人员协助解决的问题，必须提供明确的目标要求，进行精确的问题定位，必要时提供如截图、错误报告等描述文档。
6、可承担客户的系统软件、硬件平台的安装搭建与实施工作；辅助客户实施系统，进行良好的客户培训服务工作，以及及时的响应服务；
7、协助系统测试工作及用户手册编制工作；
8、积极学习目标客户行业业务需求及相关软、硬件技术，并可形成需求、技术文档以提交给产品、研发部门；
9、会使用AutoCAD，Solidworks等，协助规划顾问人员绘制项目实施布局CAD图、项目地图、项目二维码，并制作简单的业务流程图，协助整理项目中的各类文档。
职位要求：
1. 大学本科或以上学历；
2. 计算机、机械或者自动化相关专业；
3. 熟练使用Auto CAD、Solidworks、Visio、Excel、Word等软件，有AGV、AMR、WMS、ERP、MES实施经验者优先；
4. 了解制造、仓储、物流、机器人自动化行业，对仓储自动化系统设计集成有兴趣；
5. 逻辑思维能力强，善于学习总结，具有良好的沟通、团队协作、计划能力，责任心强。

任职资格：
1、性格要求：执行力强，能吃苦，做事有耐心，且具备很强的沟通能力；
2、项目管理技能要求：有项目管理理论，熟悉项目管理方法和管理工具；
3、物流自动化专业知识技能要求：熟悉一般软件工程知识；有基本的机械、自动化、计算机软、硬件、网络知识；有强、弱电基本管理能力。
4、其他要求：具备需求提炼和撰写文档的能力；具备较强文档的理解能力和文字表达能力。
5、优秀应届毕业生或一年以上AGV、输送线分拣机、ERP、WMS、MES或自动化实施相关的工作经验。
 
未来发展多样化，包括（但不限于）实施经理、业务顾问、项目经理等。",成本控制 培训 技术支持 需求分析 技术文档 项目管理,https://jobs.51job.com/suzhou-gyyq/172513988.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
资深IT工程师,苏州云格致智能科技,1-1.5万,苏州·苏州工业园区,苏州,大专,5年及以上,2026-07-13 17:11:19,job51,"【岗位定位】
全面负责公司基础网络、硬件服务器及项目现场IT环境的稳定运行，保障公司各项业务（含海外）的有效运转。

【岗位职责】
1、基础架构与网络运维：全面负责公司总部及分支机构（含海外子公司）的网络架构规划、配置与日常运维，保障网络系统的高可用性与安全性。
2、负责公司机房管理、服务器（含虚拟化环境）评估、部署与性能调优，保障OA、ERP等核心业务系统的底层运行环境稳定。
3、负责公司防火墙、VPN、上网行为管理及绿盾加密软件等安全策略的配置与巡检。
4、项目现场IT部署支持：参与公司智能仓储等业务项目的前期IT规划，负责项目现场的弱电网络布线规划、网络设备配置与调试。
5、评估项目所需的服务器资源与网络架构，保障项目交付阶段的IT环境顺利搭建与验收。
6、资产与配置管理：负责IT固定资产（电脑、服务器、网络设备等）及软件资产的台账管理、盘点与寿命周期管理。
7、规范IT软硬件采购标准，提供选型建议与成本把控。
8、团队赋能与流程建设：基于现有团队人员（如系统管理员、软件运维人员）的技术短板，提供网络层、硬件层的技术指导与培训，提升团队整体技术水位。
9、梳理并沉淀IT基础运维SOP（标准作业程序），建立故障响应机制，降低对单一人员的依赖。

【任职要求】
1、学历与经验： 大专及以上学历，计算机科学、网络工程或相关专业；5年以上中大型企业IT运维或网络工程师经验，有制造业或智能仓储项目IT部署经验者优先。
2、硬性技术门槛（必须独立实操过）：
——网络侧：精通路由器、交换机、防火墙的配置与管理（熟悉华为、深信服等主流品牌）；能独立规划VLAN、路由协议及VPN组网。
——系统与硬件侧：精通Windows Server/Linux系统管理；熟练掌握VMware等虚拟化技术的部署与运维；熟悉机房动环、存储设备的日常维护。
3、业务理解力： 熟悉制造业或科技企业的日常IT运作流程，了解致远OA、ERP等企业级应用软件的网络及服务器部署要求。
4、综合素质：
——极强的排障能力和应急响应能力，能在高压下快速定位并解决网络/服务器突发故障。
——具备一定的沟通协调能力，能跨部门对接业务需求，并耐心指导内部初级IT人员。
——接受项目现场的短期出差支持。

【加分项】
1、持有CCNP/CCIE、HCIP/HCIE或同等网络高级认证。
2、有海外网络节点组建与运维经验，熟悉跨国组网及合规要求。
3、有弱电施工、仓储自动化项目现场网络调试经验。",高可用 防火墙 加密 Linux 采购 培训 应急响应 合规,https://jobs.51job.com/suzhou-gyyq/172892793.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
IT技术支持,江苏长江纸业,7千-1万·13薪,常熟,苏州,大专,3年及以上,2026-08-07 17:00:12,job51,"【工作内容】
- 负责公司内部IT系统的日常维护与技术支持，确保系统稳定运行；
- 协助处理硬件设备的安装、调试、维护及保养工作；
- 提供用户技术咨询与问题解决支持，提升用户体验；
- 负责用友U9系统的开发与维护，确保系统稳定运行；
- 参与需求分析、系统设计及功能模块的实现；
- 与项目团队协作，完成系统优化和问题排查；
- 编写技术文档，支持后续系统升级与维护工作。
【任职要求】
- 大专及以上学历，计算机相关专业优先；
- 3年以上IT技术支持或相关工作经验，具备良好的沟通能力；
- 熟悉用友U9系统的开发与维护，具备实际项目经验；
- 熟悉各类硬件设备的维护、保养及保修流程；
- 具备较强的问题分析与解决能力，责任心强，能适应一定强度的工作压力。",技术支持 技术咨询 需求分析 技术文档,https://jobs.51job.com/changshu/170586549.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
IT运维助理工程师,梵利特智能科技（苏州）,7千-1万·13薪,苏州·苏州工业园区,苏州,大专,2年及以上,2026-07-30 13:43:46,job51,"岗位名称：IT运维助理工程师
岗位画像：​协助维护公司IT体系的安全与合规，日常IT运维工作。

一、 核心职责详情
1. 合规支持与资质稽核
配合ISO 27001信息安全管理体系及行业资质的常态化审核与年度稽核工作。
负责合规性证据（Evidence）的收集、整理、分类与归档，确保在严苛的行业审查中，IT交付物完整、准确、可追溯。
针对内外部审计发现的问题，协助制定整改计划并推动闭环，维护公司在行业监管中的高标准形象。

2. IT运维支撑协助维护公司整体IT基础设施的日常运营，包括但不限于账号权限体系的生命周期管理、资产台账维护及系统配置备份。
定期巡检运维数据，确保各类记录（如访问日志、变更记录）的完整性与规范性，为合规审计提供底层数据支撑。
响应日常桌面运维需求，处理软硬件故障，确保办公环境的稳定运行。

3. 文档体系与台账管理负责运维知识库的建设与优化，将碎片化的操作流程标准化、文档化（SOP）。
精细化管理各类运维台账（资产、IP、密匙等），做到“账实相符、变动留痕”，杜绝因文档疏漏导致的合规风险。",合规 审计 知识库 Evidence SOP IP,https://jobs.51job.com/suzhou-gyyq/172384139.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
(昆山)系统运维工程师,广州天诚伟业通信科技,6.7-9.7千,昆山,苏州,大专,2年及以上,2026-07-23 10:13:00,job51,1、 负责Linux\unix\Windows服务器环境的日常维护 2、 负责服务器运维相关工作，主要包括故障诊断、故障处理、硬件配置等 3、 负责生产系统运行状态监控，主要包括服务器状态、应用运行状态等 4、 负责操作系统内版本升级、故障排错、系统配置、应用配置、应用发布等。 5、在运维工作中主动发现问题，提出合理化建议和优化手段 6、负责数据备份运维、策略优化、故障处置、恢复演练及灾备其他相关工作。 任职要求： 1、大专及以上学历，计算机相关专业； 2、熟练进行基于Linux/Windows操作系统常用软件的安装配置优化及故障处理 3、能够进行常用服务（如sftp/ftp，httpd，ntp，nfs）的安装配置优化及问题处理 4、熟悉负载均衡（如nginx，haproxy，keepalived，lvs）的安装配置优化及问题处理 5、熟悉常用中间件（如tomcat，rabbitmq，redis，ELK，Jenkins）的安装配置优化及问题处理 6、熟悉ansible/saltstack等自动化工具得使用配置 7、熟悉shell/python脚本、熟悉zabbix/Prometheus等监控工具 8、熟悉主流备份设备与备份软件、具备备份工作及故障排查、灾备方案撰写能力 9、必须要有系统相关证书,Linux Unix Nginx HAProxy Tomcat RabbitMQ Redis Jenkins Ansible Shell Python Prometheus 故障排查,https://jobs.51job.com/kunshan/173012764.html?s=sou_sou_soulb&t=0_0&req=25d9ad1bbeb55ad65d82661409215217
