job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
人工智能岗,张家港众智纺织品,8.5千-1.2万,张家港,苏州,本科,1年及以上,2026-06-17 15:07:22,job51,"岗位职责：
1.负责AI大模型、智能体应用项目从立项到交付的全流程推进，制定实施计划、管控项目进度与风险，保障项目按质按期完成交付。
2、负责技术发展趋势洞察与预研，分析业务应用场景，搭建人工智能的平台化应用、搭建系统知识库。
3、智能体应用开发：负责智能问答（RAG）、智能问数、智能数据提取与校验、智能文档生成等场景的智能体开发与迭代，基于智能体平台快速搭建与落地。
4、场景落地：对接公司内部需求，梳理业务痛点并转化为技术方案，完成智能体产品部署（docker/k8s）、环境适配、数据迁移与用户培训，保障项目按时验收。
5、运维优化：监控智能体运行状态（响应速度、准确率、稳定性），快速排查并解决现场技术问题，结合反馈意见优化产品性能与交互体验。
6.主导项目交付后的运营机制搭建，制定运营SOP、服务标准与效果评估体系；基于业务数据与客户反馈，持续优化智能体应用场景与大模型落地效果，实现业务价值闭环。

任职要求：
核心硬性要求：
1、本科及以上学历，1年以上全栈研发经验，前后端能力突出（熟练Vue3，具备复杂交互界面开发经验），1年以上智能体（Agent）或RAG、问数、报告生成等相关项目开发与实施经验。
2.熟练Java或Python，掌握Redis/MongoDB/Elasticsearch等中间件，了解向量数据库（Milvus/Qdrant）。
3.熟练Vue3、Element Plus/Ant Design等组件库，熟悉Vite/Webpack打包优化，具备可视化图表（ECharts/DataV）、低代码平台开发经验者优先。
智能体技术：使用过Dify/Coze等低代码平台、熟悉 RAG 全流程、大模型 API、工具调用与流程编排，有MCP工具开发、Skill开发经验、OpenClaw开发经验者优先。
4.运维能力：能独立应对复杂环境（国产化服务器、内网部署），快速解决部署、运维中的突发问题。

软实力要求
1、强需求拆解与表达能力，能清晰对接内部团队，平衡业务需求与技术可行性。
2、适应项目制工作节奏，能承受多任务并行与实施压力。
3、关注AI前沿技术，能快速迭代技术栈适配智能体产品迭代需求。

加分项：
1、有智能问答、智能问数、数据提取校验、智能文档生成等场景落地经验。
2、具备纺织行业从业经验或项目实施经验。
3、协调内部算法、后端团队推进需求落地与技术攻关，输出部署手册、操作指南、故障排查手册等文档。
4、发展和掌握人工智能关键技术和应用，对相关人员和项目进行专业指导，提升整体专业水平和工作绩效。",大模型 RAG Docker K8s Vue Agent Java Python Redis MongoDB Elasticsearch 向量数据库 Vite Webpack 知识库 技术方案 培训 产品迭代 故障排查,https://jobs.51job.com/zhangjiagang/172596532.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
AI智算售前技术经理,苏州麦迪斯顿医疗科技,1.5-2万,苏州,苏州,本科,3年及以上,2026-08-05 16:08:24,job51,"岗位职责
1、技术赋能销售：作为销售团队的核心技术搭档，独立负责AI服务器、智算中心、大数据及信创等领域的项目，主导客户技术交流、需求挖掘与引导，提供专业解决方案以促成业绩达成。
2、方案设计与呈现：独立完成从需求分析、产品选型、方案编写到PPT制作的全过程，并能面向客户进行高质量的方案宣讲与演示，精准传递产品价值。
3、招投标全流程负责：独立主导投标项目，负责技术方案撰写、产品配置与询价、标书整合及现场述标答疑，对中标率负责。
4、项目全周期管理：承担售前项目经理角色，协调内外部资源，推动项目从售前支持到中标交付的有序进行，确保项目顺利转化。
5、行业知识沉淀：建立并持续更新所负责领域的售前技术资料库、典型案例和标准化方案，提升团队整体作战能力。
任职资格
1、经验要求：本科及以上学历，计算机、通信、人工智能等相关专业；具备3年以上IT行业售前工作经验，有中科曙光、华为、新华三、浪潮等主流厂商背景者优先。
2、技术能力：
a、硬件基础：精通AI服务器（GPU/NPU）、存储、交换机等硬件产品技术体系。
b、架构视野：熟悉超算/智算中心整体架构（计算/存储/网络/安全/管理），了解AI大模型训练/推理的算力配置与集群方案。
c、信创专家：深刻理解国产化（信创）生态，熟悉海光、鲲鹏、飞腾等CPU及麒麟、统信等操作系统。
3、核心素质：
a、独立作战：具备极强的自驱力和独立工作能力，能同时支持多个销售项目并高效推进。
b、沟通表达：拥有出色的方案撰写能力（PPT/Word）和现场演讲能力，能与客户各级别人员进行有效沟通。
c、流程精通：熟悉招投标及政府采购流程，有从0到1支持项目中标的成功案例。",大模型 方案设计 需求分析 招投标 投标 技术方案 采购,https://jobs.51job.com/suzhou/173163801.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
AI应用全栈工程师,苏州联讯仪器,1.5-2.5万·14薪,苏州·高新区,苏州,本科,3年及以上,2026-06-12 19:08:04,job51,"岗位职责：
1. 深入理解 AE、FAE、驻场工程师、售后和内部员工的真实工作流程，将需求转化为产品功能和业务流程。
2. 负责具体 Agent 产品的前端、业务后端、BFF、配置和集成开发。
3. 开发用户登录、项目管理、资料上传、任务创建、执行进度、人工审核、结果展示、导出和历史追溯等功能。
4. 调用 Agent Harness、Skill、A2A、模型网关、知识库和数据 API，完成具体业务流程配置与产品化。
5. 开发具体业务场景所需的轻量 Skill、规则、提示词、模板和业务接口。
6. 建设 Agent 使用量、任务成功率、人工修正率、节省时间和业务效果看板。
7. 负责产品服务容器化、测试环境部署、自动化测试和上线验证，与 AI 架构工程师及 IT 协作完成生产发布。
8. 参与客户内网和离线环境的应用适配，处理部署后的产品功能问题。
9. 持续收集用户反馈，快速迭代产品流程、交互和业务能力。
10. 对所负责 Agent 产品的交付周期、使用体验、质量和业务效果负责。

任职要求：
1. 计算机、软件工程或相关专业本科及以上学历，3 年以上全栈或应用研发经验。
2. 熟悉 React、Vue 等前端框架，并熟悉 Python、Java、Go、Node.js 或 C# 中至少一种后端技术栈。
3. 能够独立完成从数据模型、API、业务逻辑到前端交互的完整功能开发。
4. 有大模型应用、Agent、RAG、Function Calling 或 AI 产品开发经验。
5. 熟悉任务型产品、工作流产品或企业管理系统的交互设计与开发。
6. 熟悉 Docker、接口测试、自动化测试和基本部署流程。
7. 能够与业务人员沟通并快速理解复杂业务流程。
8. 具备较强的产品意识，关注用户是否能够完成任务，而不仅是功能是否开发完成。
优先条件
- 有企业级 AI 产品、Agent 产品、低代码工作流或复杂内部系统开发经验。
- 有工业软件、设备软件、半导体测试、研发工具或售后服务系统经验。
- 有 IDE 插件、桌面应用、本地服务或客户现场交付经验。
- 有离线部署、私有化部署或受限网络环境适配经验。",Agent 容器化 React Vue Python Java Go Node.js C# 大模型 RAG Docker 项目管理 知识库 自动化测试,https://jobs.51job.com/suzhou-gxq/172539770.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
(德资) 高级AI Agent开发工程师,苏州美名软件,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-22 17:18:54,job51,"Requirement 任职要求
1. Bachelor Degree in Computer Science, Automation, Industrial Engineering, or related fields, with more than 3 years of work experience in software development; or Master Degree with more than 2 years of work experience.
计算机科学、自动化、工业工程或相关专业本科三年以上工作经验，或硕士两年以上工作经验。
2. At least 1 year of hands-on experience in developing AI Agents in industrial or enterprise settings, with proven track record of delivering real-world projects.
至少一年以上在工业或企业环境中开发 AI Agent 的实际经验，并有实际落地项目。
3. Experience in AI Agent projects within the manufacturing industry, especially in planning &amp; logistics domains (e.g., production scheduling, material planning, warehouse operations, or supply chain coordination), is a strong plus.
具备制造业 计划与物流 领域（如生产排程、物料计划、仓储作业或供应链协同）的 AI Agent 落地项目经验者优先。
4. Strong programming skills in C# and Python, with solid experience in workflow automation and API integration. Familiarity with n8n and Microsoft Agent Framework is highly preferred.
精通 C# 和 Python，具备扎实的工作流自动化和 API 集成经验。熟悉 n8n 及 Microsoft Agent Framework 者优先。
5. Good command of spoken and written English, capable of participating in technical discussions and documentation in English with global teams.
具备良好的英语听说读写能力，能够参与英文技术讨论并撰写英文文档。
6. Strong problem-solving skills and ability to work effectively in cross-functional teams.
优秀的解决问题能力，并能在跨职能团队中高效协作。

Responsibilities 工作职责
1. Design, develop, and deploy AI Agent solutions to support manufacturing planning and logistics processes, ensuring high reliability and scalability.
 设计、开发和部署 AI Agent 解决方案，支撑制造业计划与物流业务流程，确保系统高可靠性和可扩展性。
2. Integrate AI Agents with existing enterprise systems (e.g., MES, WMS, ERP) using workflow engines like n8n and Microsoft Agent Framework.
 利用 n8n、Microsoft Agent Framework 等工作流引擎，将 AI Agent 与现有企业系统（如 MES、WMS、ERP）进行集成。
3. Collaborate with business stakeholders and operation teams to identify automation opportunities, translate requirements into technical specifications, and deliver iterative improvements.
 与业务方及运营团队协作，识别自动化机会，将需求转化为技术方案，并持续迭代优化。
4. Take ownership of agent performance monitoring, troubleshooting, and continuous enhancement in production environments.
 负责 AI Agent 在生产环境中的性能监控、故障排查与持续优化。
5. Mentor junior developers, contribute to technical documentation, and participate in code reviews and architecture decisions.
指导初级开发人员，参与技术文档撰写、代码评审及架构决策。
6. Communicate technical progress and solutions to both local and international stakeholders in English.
使用英语向本地及海外相关方沟通技术进展和解决方案。",Gin AI Agent C# Python ROS Agent Go Scala 供应链 技术方案 故障排查 技术文档,https://jobs.51job.com/suzhou-gyyq/173007884.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
AI算法工程师,苏州铠策微机械科技,1.5-2万,昆山,苏州,硕士,3年及以上,2026-08-01 17:07:01,job51,"岗位职责：
1. 核心算法开发与优化
1.1. 实现并优化计算机视觉算法，包含球体跟踪、球员标记与跟踪、攻守转换识别（基于行为模式与位置逻辑的实时判断）。
1.2. 设计动作识别模型，包含射门/传球等关键时序动作检测/分类、动作质量评估。
1.3. 实现事件驱动的视频剪辑，包含事件发生的时空定位、自动生成精彩片段（基于事件重要性评分）。
2. 群体行为分析
2.1. 构建攻守阵型识别模型，包含球员位置聚类与阵型模式提取、阵型动态变换检测。
2.2. 开发战术分析工具，包含热点图生成（基于球员移动密度）、战术路径可视化（如传球网络图）。
3. 工程化落地
3.1. 将算法部署至移动端/云端（TensorRT、ONNX优化），及提供安卓/后端开发人员调用接口。
3.2. 设计低延迟处理流水线。

任职要求：
1. 硕士以上学历，软件、计算机、模式识别、深度学习相关专业。
2. 必备基本技能：3年以上AI开发经验，主导过计算机视觉项目，精通Python/C++，熟悉PyTorch/TensorFlow框架；
3. 必备专业技能：掌握目标检测、复杂场景下的多目标跟踪、有时序动作识别经验、熟悉视频处理技术及性能优化。
4. 加分项：有体育视频AI分析经验。
5. 能快速将运动领域需求转化为技术方案，跨团队协作能力（与产品、标注团队配合）。",计算机视觉 ONNX 深度学习 Python C++ PyTorch TensorFlow 技术方案,https://jobs.51job.com/kunshan/173120067.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
AI测试工程师（英语基本沟通）,恩士迅信息科技（中国）,8千-1万·13薪,苏州·苏州工业园区,苏州,本科,无需经验,2026-07-07 14:22:30,job51,"岗位目标：
协助人工智能算法的开发工作，并对现有项目进行测试。与研发及工程团队协作，打造具有影响力的视频分析类产品及解决方案。
岗位职责：
1. 开发并维护自动化测试脚本（Python 语言），验证算法的性能与精度。
2. 为人工智能视频分析模型及集成产品设计测试用例。
3. 分析测试结果，诊断问题根源，并出具详尽的质量检测 / 测试报告。
4. 管理大规模视频 / 图像数据集：负责数据采集、预处理及标注质量管控（包括督导标注人员开展工作）。
5. 与工程团队协作，确保人工智能解决方案的无缝集成及发布就绪。
6. 与技术支持团队协作，排查、调试并维护已部署在生产环境中的人工智能产品。
核心重点工作：
1. 确保在各类真实视频场景下，数据标注工作的高质量完成。
2. 针对快速迭代的生成式人工智能及计算机视觉模型，及时调整测试策略。
3. 快速协助推进问题定位的相关开发与落地工作。

岗位要求：
掌握 Python 或同类脚本编程语言。
理解人工智能 / 机器学习的基础概念，熟悉人工智能模型测试的核心指标。
优先条件
精通 Python 语言，能够熟练开展自动化测试工作。
熟悉 Linux 操作系统环境及脚本编写。
具备计算机视觉相关知识。
有生成式人工智能评估或提示词工程的相关经验。
软技能：
具备优秀的英文书面与口头沟通能力。
拥有团队协作精神，能够与不同职能的团队成员协同工作",Python 计算机视觉 机器学习 Linux 自动化测试 产品设计 测试用例 数据采集 技术支持,https://jobs.51job.com/suzhou-gyyq/170330895.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
国昇数智数据工程部主管,苏州高新区国有资本控股集团,23-32万/年,苏州·高新区,苏州,本科,5年及以上,2026-06-11 09:15:45,job51,"35周岁及以下，本科及以上学历，机器人与智能系统、计算机科学与技术、大数据、人工智能、软件工程，基础理学类等具身智能相关专业毕业。
应聘人员需具备5年以上数据管理、数据治理或数据资产化相关领域工作经验，其中至少2年聚焦具身智能、机器人或AI行业的数据体系搭建与管理实践；熟悉数据全生命周期管理，具备数据治理框架设计、数据标准制定、数据质量评估等能力；对数据资产化路径有实际参与或深入研究经验者优先；良好的跨部门沟通协调能力，能推动业务与技术部门协同构建数据管理体系。
具体薪资面议",数据治理,https://jobs.51job.com/suzhou-gxq/172507363.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
AI应用工程师,庆虹电子（苏州）,1.5-2.5万,昆山,苏州,本科,2年及以上,2026-08-06 08:33:30,job51,"岗位职责
一、企业AI平台建设
1. 负责公司AI应用平台规划、建设和运营；
2. 基于私有化大模型（如Qwen、DeepSeek等）进行企业AI能力建设；
3. 负责大模型部署、优化、调优及应用集成；
4. 建设企业知识库（RAG）、智能问答、AI Agent等应用；
5. 推动AI与现有系统（ERP/MES/MOM/WMS/PLM/OA等）的融合。
二、制造业务AI应用开发
参与并推动以下场景落地：
 1. 研发领域：产品设计辅助AI、工程文件智能分析、- BOM智能检查、 图纸、规格书智能解析、技术资料知识库、工艺参数辅助分析、 研发经验沉淀等
2. 生产制造领域：生产异常智能分析、 制造过程数据分析、- 工艺优化辅助、设备运行数据分析、 质量问题根因分析、 AI辅助改善报告生成等；
3. 生产计划与排程：AI智能排产、APS智能优化、生产资源优化、订单交付预测、产能分析、 物料需求预测等；
4. 质量管理AI应用：AI质量分析、缺陷分类、检验数据分析、质量报告自动生成、8D报告辅助生成等；

任职要求
教育背景：本科及以上学历：计算机科学、人工智能、 软件工程、自动化、数据科学等相关专业。
技术能力：必须具备：
1. 熟悉Python开发；
2. 熟悉以下至少一种AI技术：大语言模型LLM、 RAG知识库、Prompt Engineering、Agent应用开发；
3. 熟悉： REST API、数据库、Linux环境；
4. 具备AI应用项目开发经验。
加分能力
大模型方向具备：
- Qwen、DeepSeek、Llama、 ChatGLM等国产或开源大模型部署经验。
熟悉：
- Ollama、vLLM、FastChat、Open-WebUI优先。",大模型 RAG AI Agent Python LLM Prompt Gin Agent Linux 知识库 产品设计 数据分析,https://jobs.51job.com/kunshan/173168430.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
AI项目专员（AI应用）,苏州超集信息科技,1-2万,苏州·苏州工业园区,苏州,本科,1年,2026-07-27 15:44:15,job51,"岗位职责 
1. 负责公司AI产品（包括AI Gateway、Token Router、企业知识库、AI Agent等）的项目规划、实施、交付及全生命周期管理，确保项目按计划、高质量完成。 
2. 深入理解客户业务需求，结合大模型、AI Agent、RAG等AI技术，制定项目实施方案，推动AI产品在企业场景中的落地应用。 
3. 负责项目需求分析、方案设计、项目计划制定、进度控制、风险管理及验收交付，保障项目目标达成。 
4. 协调产品、研发、算法、测试、运维及客户等多方资源，推动跨部门协作，确保项目顺利实施。 
5. 与AI研发团队紧密合作，参与技术方案评审，能够理解AI系统架构、模型应用及接口集成，推动技术方案高效落地。 
6. 跟踪人工智能领域的新技术、新产品和行业发展趋势，结合客户需求不断优化项目实施方案和产品应用能力。 
7. 建立和完善AI项目实施流程、交付规范及***实践，持续提升项目交付质量和客户满意度。 
8. 支持售前方案交流、项目汇报及客户培训，协助推动AI项目持续拓展和价值提升。 

任职要求 
1. 本科及以上学历，计算机科学、软件工程、人工智能、信息管理等相关专业优先。 
2. 3年以上项目管理经验，具备企业级软件项目或数字化项目实施经验，有AI项目管理经验者优先。 
3. 熟悉大模型（LLM）、AI Agent、RAG（检索增强生成）、知识库等AI应用技术，具备完整AI项目实施经验者优先。 
4. 具备一定AI开发经验者优先，能够理解AI应用开发流程，熟悉Python开发、Prompt Engineering、大模型API调用、LangChain、LlamaIndex、FastAPI等相关技术框架。 
5. 熟悉AI产品架构及技术实现，能够与研发团队进行技术沟通，具备较强的问题分析和解决能力。 
6. 具有优秀的项目统筹能力，能够独立制定项目计划，协调客户、产品、研发及实施团队，推动项目按期交付。 
7. 具备良好的客户沟通能力、需求分析能力及文档编写能力，能够准确理解业务需求并输出解决方案。 
8. 具备较强的学习能力和创新意识，关注AI技术发展动态，能够快速适应新技术、新场景和新业务。 
9. 有企业AI平台、大模型平台、AI Gateway、Token Router、智能客服、企业知识库等相关项目经验者优先。 
10. 持有PMP、ACP、Scrum Master等项目管理认证者优先。",AI Agent 大模型 RAG LLM Python Prompt Gin LangChain FastAPI 知识库 需求分析 方案设计 风险管理 跨部门协作 技术方案 培训 项目管理 客户沟通 文档编写,https://jobs.51job.com/suzhou-gyyq/173053949.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
AI 开发工程師,神讯电脑（昆山）,1-2万,昆山,苏州,本科,1-3年,2026-08-03 13:55:09,job51,"岗位职责：
1. 与生产、工程、品质团队紧密协作，挖掘真实业务痛点，将AI技术转化为可量化的生产价值。
2. 独立完成面向工厂场景的AI Agent设计与开发，覆盖业务流程、生产流程、品质管理和产品管理等核心业务，打造可落地的工业智能体解决方案。
3. 持续监控 AI 工具运行效果，收集用户反馈，重点优化 RAG 检索准确率及模型响应速度，完善AI功能优化用户体验。
4. 在公司内部推广 AI应用，提供相应的技术培训与支持。
5. 跟进AI Agent***，搭建适配全生产流程的智能体协同体系，持续迭代优化。
任职要求:
1. 本科及以上学历，计算机、人工智能等相关专业，1-3年AI应用开发经验。
2. Python 编程与工程化：精通 Python 编程，熟练掌握Web API 服务开发，具备良好的代码规范与工程化落地能力。
3. AI 开发框架掌握：熟练掌握 LangChain生态系统，深刻理解并能运用 Chain、Agent、Memory 等核心概念。
4. 向量数据库技术：精通 Vector Database (如 Milvus/Pinecone/Chroma) 的搭建、索引优化以及数据清洗入库流程。
5. 实战经验：具备实际的 AI Agent (智能体) 开发经验，能设计复杂的任务规划与工具调用逻辑。
6. 独立解决问题能力和项目管理能力，能清晰汇报进度；对新技术敏感，能主动提出利用 AI 解决业务痛点的创新方案。",AI Agent RAG Python LangChain Agent 向量数据库 培训 项目管理,https://jobs.51job.com/kunshan/172899760.html?s=sou_sou_soulb&t=0_0&req=4b8dfb3fa75229e77a639b8f696103a3
