job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
高级光学工程师（保偏光纤激光器）,苏州国顺激光技术,2-4万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-07-09 14:45:30,job51,"【岗位职责】：
1、负责保偏脉冲光纤激光器的研发工作，包括激光器的总体设计、光路搭建、性能测试及优化改进等；
2、负责保偏光纤激光器相关光学元器件的选型及验证；
3、协助处理保偏光纤激光器在设计、工艺、生产、测试、试验方面的技术问题和质量问题；
4、参与编写技术及测试文档。

【任职要求】：
1、硕士及以上学历，光电信息科学与技术、光学工程等相关专业；
2、熟悉激光原理，熟悉光纤激光器和放大器的设计原理和基本结构，3年以上脉冲保偏光纤激光器设计经验；
3、光纤光学理论基础扎实；
4、具备优秀的团队合作、沟通协调能力、逻辑思维能力、动手能力和抗压能力。",性能测试,https://jobs.51job.com/suzhou-gyyq/172854720.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
高级光学工程师（窄线宽光纤激光器）,苏州国顺激光技术,2-4万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-07-13 15:51:52,job51,"【工作内容】:
1、负责窄线宽光纤激光器的研发工作，包括光纤激光器的总体设计、光路搭建、性能测试及优化改进等;
2、负责窄线宽光纤激光器中光学元器件的选型、测试以及检验标准的建立等；
3、负责窄线宽光纤激光器相关技术文件的编制工作;
4、负责窄线宽光纤激光器在设计、工艺、生产、测试、试验方面的技术问题和质量问题。

【任职要求】:
1、硕士及以上以上学历，光学工程、光信息科学与技术、光电子、激光等相关专业；
2、有3年以上窄线宽光纤激光器研发设计相关工作经验；",性能测试,https://jobs.51job.com/suzhou-gyyq/172890352.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
高级光学工程师（深紫外激光器）,苏州国顺激光技术,2-4万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-07-13 14:27:48,job51,"【工作内容】:
1、负责266nm深紫外激光器的研发工作，包括皮秒深紫外激光器的总体设计、光路搭建、性能测试及优化改进等;
2、负责266nm深紫外激光器中光学元器件的选型、测试以及检验标准的建立等；
3、负责266nm深紫外激光器相关技术文件的编制工作;
4、负责266nm深紫外激光器在设计、工艺、生产、测试、试验方面的技术问题和质量问题。

【任职要求】:
1、硕士及以上以上学历，光学工程、光信息科学与技术、光电子、激光等相关专业；
2、有3年以上266nm深紫外激光器研发设计相关工作经验；
3、 工作细致严谨，责任心强，具备良好的逻辑思维与问题解决能力。",性能测试,https://jobs.51job.com/suzhou-gyyq/172887792.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
高级光学工程师（飞秒激光器）,苏州国顺激光技术,2-4万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-06-30 16:15:47,job51,"【工作内容】:
1、负责飞秒激光器的研发工作，包括光纤激光器的总体设计、光路搭建、性能测试及优化改进等;
2、负责飞秒激光器中光学元器件的选型、测试以及检验标准的建立等；
3、负责飞秒激光器相关技术文件的编制工作;
4、负责飞秒激光器在设计、工艺、生产、测试、试验方面的技术问题和质量问题。

【任职要求】:
1、硕士及以上以上学历，光学工程、光信息科学与技术、光电子、激光等相关专业；
2、有3年以上飞秒激光器研发设计相关工作经验；
3、 工作细致严谨，责任心强，具备良好的逻辑思维与问题解决能力。",性能测试,https://jobs.51job.com/suzhou-gyyq/172743224.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
资深光学工程师,江苏集萃中科先进光电技术研究所,2-4万·14薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-05 15:41:09,job51,"岗位职责：
1.根据设计要求，完成系统指标分解，方案评估；
2.负责光学系统的设计、仿真建模与公差分析；
3.主导光学元件的选型、图纸绘制，并跟踪光学加工与检测；
4.制定系统装调方案，配合其他人员完成系统装调与测试；
5.开发光电测量仪器与系统；

任职资格：
1.硕士及以上学历，光学工程、光信息科学或精密仪器相关专业；
2.具备 5年以上 光学设计或光电产品开发实战经验，有至少一个完整产品（从设计到量产）的交付经历；
3.了解菲索干涉仪光路，显微系统光路等；
4.了解光学干涉测量仪器原理及相关技术；
5.至少掌握一种光学设计软件：Zemax 或 Code V；
6.至少掌握一种杂光分析软件 LightTools、TracePro ；
7.至少掌握一种编程语言Matlab；
8.具备较强的技术沟通能力与逻辑分析能力，能独立阅读英文文献及国际标准，有跨部门（结构、电子、软件）协同经验。",MATLAB Zemax Code LightTools TracePro,https://jobs.51job.com/suzhou-gyyq/172759799.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
光学工程师(J10021),致微（苏州）光学技术,2-4万·15薪,苏州·苏州工业园区,苏州,硕士,5年,2026-06-24 10:13:11,job51,"工作职责:
1.	根据光学系统的需求制定技术方案，从光学的角度论证技术方案的可行性； 根据系统需求完成光学设计，确定光学器件的选型； 
2.	承担新技术的预研和开发工作，并生成相关的技术文档和专利文件；
3.	协调光学零件的加工，采购，检测和装校工作； 
4.	参与光学系统的集成调试，编写光学系统集成流程文件。
任职资格:
1.	硕士及以上学历，光学、物理，光学检测及相关专业； 
2.	5年以上相关工作经验，本科8年以上经验； 
3.	熟悉像差理论，熟练掌握光学设计方法，熟练使用常用光学设计软件，以及数据处理分析软件； 
4.	熟悉各种光学器件、光电器件的特性；
5.	了解光学零件各加工指标的检测方法和检测仪器； 
6.	了解光学机械设计的基本知识，能够使用主流机械制图软件；
7.	熟悉光学制造方法和流程； 
8.	有良好的团队精神，善于沟通，能够承受较大的工作压力。",技术方案 技术文档 专利 采购,https://jobs.51job.com/suzhou-gyyq/172665008.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
资深光学工程师,光彩芯辰（浙江）科技,2-3万,苏州·虎丘区,苏州,本科,5年及以上,2026-08-05 11:13:21,job51,"岗位职责：
1.负责光模块中光学整体架构设计、光学仿真设计、关键物料的设计等;
2.负责光器件研发样品试制，结合试制问题提出优化改善设计方案;
3.对设计的产品可制造性以及可靠性进行分析;与电路、软件协同完成联调，解决光学相关的技术问题;
4.协助工艺及机构完成产品封装工艺确认及工艺文件制定、相关治具的设计;
5.相关有源、无源的关键物料的验证导入;
6.转产过程中光学和工艺关键问题的解决。

岗位要求：
1.本科及以上学历，光学或通信专业背景，熟悉光通信理论;
2.至少在光模块行业有五年及以上经验;
3.掌握至少一款光学设计仿真软件使用，如 Zemax、CodeV，精通光学设计仿真及公差分析等;
4.熟悉有源、无源光器件设计、工艺和设备等;
5.工作自驱能力强，责任心强，具有良好的学习能力、沟通能力和团队合作意识。",Zemax CodeV,https://jobs.51job.com/suzhou-hq/173157502.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
高级光学工程师,苏州卡门哈斯激光技术,3-6万,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-07-20 09:42:20,job51,"工作职责：
1.负责激光前沿应用的及时同步了解，跟进与评估；
2.负责公司高精度激光应用光学系统的研发与实施，包括激光成像聚焦，激光整形，激光衍射，非线性光学等；
3.负责公司当前激光应用光学镜头，系统的优化；
4.负责公司项目光学系统的评估与建议。

任职要求：
1.光学或物理及相关专业；
2.硕士及以上学历；
3.熟悉激光光学，有一定的激光应用了解；
4.有一定的项目管理与开发经验；
5.有团队管理经验优先。",项目管理 团队管理,https://jobs.51job.com/suzhou-gyyq/167316823.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
光学工程师,武汉职猎企业管理咨询,2-4万·15薪,苏州,苏州,硕士,3年及以上,2026-07-14 17:48:42,job51,"岗位职责：
1.根据设计要求，完成系统指标分解，方案评估；
2.负责光学系统的设计、仿真建模与公差分析；
3.主导光学元件的选型、图纸绘制，并跟踪光学加工与检测；
4.制定系统装调方案，配合其他人员完成系统装调与测试；
5.开发光电测量仪器与系统；
任职要求：
1.硕士及以上学历，光学工程、光信息科学或精密仪器相关专业；
2.具备3年以上 光学设计或光电产品开发实战经验，有至少一个完整产品（从设计到量产）的交付经历；
3.了解菲索干涉仪光路，显微系统光路等；
4.了解光学干涉测量仪器原理及相关技术；
5.至少掌握一种光学设计软件：Zemax 或 Code V；
6.至少掌握一种杂光分析软件 LightTools、TracePro ；
7.至少掌握一种编程语言Matlab；
8.具备较强的技术沟通能力与逻辑分析能力，能独立阅读英文文献及国际标准，有跨部门（结构、电子、软件）协同经验；",MATLAB Zemax Code LightTools TracePro,https://jobs.51job.com/suzhou/172910240.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
光学工程师（光纤激光器）,苏州国顺激光技术,2-4万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-07-09 18:03:53,job51,"【工作内容】:
1、负责连续光纤激光器的研发工作，包括连续光纤激光器的总体设计、光路搭建、性能测试及优化改进等;
2、负责连续光纤激光器中光学元器件的选型、测试以及检验标准的建立等；
3、负责连续光纤激光器相关技术文件的编制工作;
4、负责处理连续光纤激光器在设计、工艺、生产、测试、试验方面的技术问题和质量问题。

【任职要求】:
1、硕士及以上以上学历，光学工程、光信息科学与技术、光电子、激光等相关专业；
2、有3年以上连续光纤激光器研发设计相关工作经验；
3、有使用光纤熔接机的经验优先；
4、具有良好的团队协作精神，学习能力强，动手能力。",性能测试,https://jobs.51job.com/suzhou-gyyq/171479083.html?s=sou_sou_soulb&t=0_0&req=2340930ecffd5d8c84b769f38b0bb0d4
