job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
网络工程师,昆山爱光科技集团,1-2万,昆山,苏州,本科,5年及以上,2026-07-28 09:08:20,job51,"岗位职责
1. 负责企业交换机、无线AP、RF枪、车载终端等网络设备的日常维护、巡检与故障处理。
2. 负责AGV/AMR设备WiFi/5G信号覆盖、漫游切换测试与优化，解决移动设备断连、切换异常问题。
3. 负责局域网VLAN划分、网段规划、网络安全策略配置与维护，保障网络规范、安全、稳定。
4. 监控网络运行状态，分析网络延迟、丢包、掉线等问题，快速定位并闭环解决网络故障。
任职要求
1. 本科及以上学历，计算机、网络工程、通信等相关专业。
2. 熟悉局域网架构，精通交换机、无线AP等网络设备的配置、运维与故障排查。
3. 熟悉无线漫游机制，具备AGV/AMR设备WiFi/5G信号优化、漫游切换调试经验。
4. 熟练掌握VLAN划分、网段隔离、网络安全策略配置等常用网络运维技能。
5. 可快速排查网络延迟、丢包、断网等故障，具备独立分析和解决网络问题的能力。
6. 责任心强、逻辑清晰，具备良好的现场问题处理能力与团队协作意识。",WiFi 5G 故障排查,https://jobs.51job.com/kunshan/173059685.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
高级软件工程师,苏州博众仪器科技,1.5-2.5万·13薪,苏州·吴江区,苏州,本科,5年及以上,2026-08-07 11:34:24,job51,"岗位职责：
1、负责工控设备上位机软件的UI与交互模块开发（WPF/Windows桌面）；
2、设计并实现上位机图形UI交互功能；
3、负责图像与坐标系统的设计与实现，自定义用户控件的开发；
4、参与UI架构设计（MVVM/组件化/插件化）；
5、协同编制研发过程中控制系统相关的设计文件、技术文档、操作手册等。
任职要求：
1、电子信息技术、计算机科学与技术、自动化等相关专业； 
2、拥有5年以上工控设备上位机开发相关工作经验，本科及以上学历；
3、精通C#编程语言、熟悉.Net桌面开发、熟悉Web API开发；
4、熟练使用WPF主流UI开发框架、熟悉Mvvm设计模式及依赖注入；
5、熟悉运动控制，网络通信和串口通信；
6、工作认真负责，有较强的持续学习能力，同时具有较高的保密意识和团队合作能力；
7、有电子显微镜、精密光学仪器、自动化设备等工作经验者优先。",C# 技术文档 WPF MVVM,https://jobs.51job.com/suzhou-wjq/173188477.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
高级ARM软件工程师,固德威技术,2.5-4.5万,苏州,苏州,本科,3年及以上,2026-08-07 14:39:52,job51,"""岗位职责：
1、光伏逆变器产品通信及接口软件设计开发，编写代码，调试，测试以及试产与量产相关工作。
2、在现有产品基础上，进行功能升级，满足客户定制化要求。
任职要求:
1、5年以上新能源物联网行业嵌入式工作经验，精通C语言，熟练使用STM32系列MCU。
2、熟悉UCOS-III、RTThread操作系统
3、熟悉WiFi，GPRS，以太网的TCP/IP网络协议。熟悉各种编程工具以及行业工具的使用，诸如编译工具、调试工具、代码查看工具、代码比较工具、抓包工具、代码管理工具等。
4、能设计外围接口，如:UART、USB、CAN、EARTHNET电路等""",C语言 STM32 MCU WiFi TCP/IP UART CAN,https://jobs.51job.com/suzhou/173191450.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
光学工程师（偏检测方向）,前锦网络信息技术（上海）,1.3-2.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-21 11:43:08,job51,"1)负责光学系统(傅里叶光谱仪)的预研、开发工作;
2)负责光学系统模拟仿真和杂散光分析等原理验证工作;
3)负责光学零部件的选型及采购对接;
4)提出具体的技术要求,指导和审核光机工程师的系统设计方案,并提出建设性意见;
5)负责分析和解决光学模组在产品开发和量产中的相关光路问题;
6)负责光学系统的测试和验证,并出具相关报告;
7)负责与光学供应商的技术沟通,同时开发优质的光学配件供应链;
8)紧跟行业前沿技术,对固体红外光谱检测的开发方向,提出可行性建议;
9)其他临时事项处理;
要求
1)本科以上学历,光学设计相关专业三年以上工作经验;
2)熟练使用光学分析软件，例如lighttools、zemax、tracepro等;
3)了解傅里叶光谱仪工作原理;
4)有光学系统的设计能力,熟悉常见光学元件和模组的特性；
5)有基于红外光谱检测固体物质的经验者优先;
6)具有良好的文档撰写能力;
7)沟通能力和学习能力强,有责任感;及时反应工作中的问题和异常状况;
8)工作积极主动、有团队协作意识",采购 供应链 zemax,https://jobs.51job.com/suzhou-gyyq/172983385.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
光学设计工程师（资深）,前锦网络信息技术（上海）,1.9-3.8万,苏州,苏州,硕士,3年及以上,2026-07-17 17:42:32,job51,"1.硕士及以上学历，光学工程、光信息科学或精密仪器相关专业；
2.具备3年以上 光学设计或光电产品开发实战经验，有至少一个完整产品（从设计到量产）的交付经历；
3.了解菲索干涉仪光路，显微系统光路等；
4.了解光学干涉测量仪器原理及相关技术；
5.至少掌握一种光学设计软件：Zemax 或 Code V；
6.至少掌握一种杂光分析软件 LightTools、TracePro ；
7.至少掌握一种编程语言Matlab；
8.具备较强的技术沟通能力与逻辑分析能力，能独立阅读英文文献及国际标准，有跨部门（结构、电子、软件）协同经验。""",MATLAB Zemax Code LightTools TracePro,https://jobs.51job.com/suzhou/172955582.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
半导体激光器测试工程师,前锦网络信息技术（上海）,1-2万·13薪,苏州·吴江区,苏州,本科,2年及以上,2026-07-02 17:33:38,job51,"任职要求
1.&nbsp;学历专业：本科及以上，光学、半导体相关专业
2.&nbsp;行业经验：2年及以上化合物半导体行业经验，跳槽2次以内，有半导体激光器开发经验优先
3.&nbsp;能力工具：熟练Python、JMP数据处理分析；具备良好沟通、问题分析与执行能力
 
岗位职责
1.&nbsp;负责半导体激光器量产良率监控、数据统计与异常分析，每周输出良率报表
2.&nbsp;主导产品失效分析根因定位，推进产品优化改善
3.&nbsp;牵头处置生产重大异常，制定长效改善方案，提升产品良率",Python nbsp,https://jobs.51job.com/suzhou-wjq/172776387.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
资深光学工程师(J10003),科纳技术（苏州）,1.5-2.2万,苏州,苏州,本科,5年及以上,2026-07-29 10:14:03,job51,"工作职责:
This position will be responsible for OCS (optical circuit switch) product benchtop alignment test, related components test, and failure analysis. 
该职位将负责OCS（光电路开关）产品台式对准测试、相关组件测试和故障分析。
1、Test optical components at benchtop alignment station, cooperate with SNV R&amp;D team to validate optical components and summarize a report.
在台式对准站测试光学元件，配合SNV研发团队验证光学元件并总结报告。
2、Support failure analysis for reliability test and take actions to improve performance.
支持可靠性测试的故障分析，并采取措施提高性能。
3、Provide support for production lines to solve technical issues and enhance efficiency.
为生产线提供支持，解决技术问题，提高效率。
任职资格:
1、Bachelor’s degree or higher in Optical Engineering, Photonics, or a related field; master’s degree is preferred.
本科及以上学历，光学工程相关专业，硕士优先。
2、The ideal candidate will have significant engineering or R&amp;D experience
具有丰富的光通信行业工程或研发经验。
3、5+ years of hands-on experience in optical communications or related industries
5年以上光通信或相关行业实践经验。",Gin CAN be OCS Test SNV Provide Bachelor,https://jobs.51job.com/suzhou/173077352.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
YE良率工程师（激光器）,前锦网络信息技术（上海）,1.2-2万,苏州·吴江区,苏州,本科,2年及以上,2026-07-03 19:10:31,job51,"主导半导体激光器相关产品测试（研发阶段）:
1:主导量产品良率监控，数据统计和异常分析，
2:熟练掌握python，JMP等工具进行数据处理和分析，负责每周良率报表的输出3:主导产品失效分析的根因定位，以此来推动产品持续优化;
4:即时组织并及时处理制品生产中的重大异常事故，采取根本对策，来提升良品率。 
 任职要求： 
1.本科及以上学历，光学或半导体相关专业
2.工作经验2年以上； 
3.有较强的协调沟通能力，以及对问题的分析判断能力及执行力。有半导体激光器开发经验者优先",Python,https://jobs.51job.com/suzhou-wjq/172791681.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
光学工程师（偏检测方向）,前锦网络信息技术（上海）,1-1.8万,苏州,苏州,本科,3年及以上,2026-07-17 17:44:08,job51,"任职要求
1)本科以上学历,光学设计相关专业三年以上工作经验;
2)熟练使用光学分析软件，例如lighttools、zemax、tracepro等;
3)了解傅里叶光谱仪工作原理;
4)有光学系统的设计能力,熟悉常见光学元件和模组的特性；
5)有基于红外光谱检测固体物质的经验者优先;
6)具有良好的文档撰写能力;
7)沟通能力和学习能力强,有责任感;及时反应工作中的问题和异常状况;
岗位职责
1)负责光学系统(傅里叶光谱仪)的预研、开发工作;
2)负责光学系统模拟仿真和杂散光分析等原理验证工作;
3)负责光学零部件的选型及采购对接;
4)提出具体的技术要求,指导和审核光机工程师的系统设计方案,并提出建设性意见;
5)负责分析和解决光学模组在产品开发和量产中的相关光路问题;
6)负责光学系统的测试和验证,并出具相关报告;
7)负责与光学供应商的技术沟通,同时开发优质的光学配件供应链;
8)紧跟行业前沿技术,对固体红外光谱检测的开发方向,提出可行性建议;",采购 供应链 zemax,https://jobs.51job.com/suzhou/172955606.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
光学工程师,江苏集萃激光智能装备,1-1.6万,太仓,苏州,本科,3年及以上,2026-06-25 10:41:09,job51,"岗位职责：
1．负责激光器项目的组织、协调、跟踪、推进工程进度，组织质量检查，确保项目的投资、进度、质量和外部协调工作能达到目标值；
2．制定项目开展计划并推动实施，制定项目的工程质量标准、目标、规范的建立；参与检验验收、分部分项工程验收；
3．负责组织重大质量缺陷整改的方案制定和效果评估，建立预控措施；
4．参加项目技术交底、图纸会审，负责进行图纸会审交底，负责对外技术工作联系，审核现场签证变更和洽谈；
5．负责新产品导入（NPI）项目的整体规划与实施，确保项目按时完成；
6．收集并分析新产品导入过程中的数据，提出改进建议，优化生产工艺流程。
7．负责制程工艺维护、优化。

任职要求
1．本科及以上学历，光学、光电子、激光、光通信专业，硕士优先；
2．三年以上的相关工作经验，经验丰富者可适当放宽学历要求；；
3．掌握激光原理、激光技术、光纤光学等知识，掌握Matlab、TracePro、Zemax等光学仿真软件；
4．熟练掌握光谱仪、光束质量分析仪、示波器、光电探测器。熟练掌握切割刀、熔接机、涂覆机、显微镜、热分析仪等。
5．动手能力强，有较强的团队合作意识，有良好的逻辑推理、报告撰写、沟通协调能力。",MATLAB NPI TracePro,https://jobs.51job.com/taicang/170095825.html?s=sou_sou_soulb&t=0_0&req=557f9903cefceb2d5046ab9910ccdf0d
