job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
单片机软件工程师,均创人力资源（常州）,1.5-3万,常熟,苏州,本科,5年及以上,2026-06-15 13:42:26,job51,"工作职责：
1.负责汽车电子模块的嵌入式软件的设计，开发，执行，测试的全方位工作。包括分析需要，根据要求制定详细的软件说明及运算法则，CPU资源分析，设计，编写，发行；
2.根据软件开发程序，保证软件的质量及后续的改进工作；
3.撰写和维护工程文件满足质量体系的要求；
4.评审与发行软件工程文件和报告；
5.参与软件设计评审；
6.为软件验证过程提供支持。评审软件的验证计划；
7.参与标准程序的开发并实行；
8.与客户及电子工程师，机械工程师，项目管理人员，产品验证和生产等内部人员合作；
岗位要求：
1.嵌入式C和汇编语言,CAN和LIN总线，底层CAN驱动器配置，以及内嵌CAN模块应用知识。
2.有意法半导体STM8系统处理器开发经验
3.熟悉软件开发与测试流程
4.本科以上学历，电子信息、通信、软件技术、计算机应用、自动化、车辆工程等专业，5年以上工作经验",汇编 CAN 项目管理,https://jobs.51job.com/changshu/172556445.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
STM32单片机软件开发工程师,欧梯恩智能科技（苏州）,2-3万,苏州·姑苏区,苏州,本科,5年及以上,2026-06-22 09:36:39,job51,"岗位职责：

1、负责基于STM32的嵌入式软件设计、开发与维护

2、负责裸机或RTOS下的驱动开发、业务逻辑实现

3、配合硬件工程师完成板级调试及问题定位

任职要求：

1、本科及以上学历，计算机、电子、通信或相关专业

2、5年以上STM32嵌入式开发经验

3、精通STM32单片机开发，熟悉HAL/LL库、中断、DMA、定时器等

4、熟悉RTOS（FreeRTOS/RT-Thread/ucOS）下的多任务编程

5、熟悉常见接口：UART、SPI、I2C、CAN、ADC、PWM、USB

6、能使用示波器、逻辑分析仪等工具进行硬件调试

加分项：

1、有Linux开发经验

2、有网关、通信类产品开发经验

3、有WiFi、4G、蓝牙等无线模块驱动经验

4、有摄像头、视频处理经验",STM32 RTOS 单片机 UART SPI I2C CAN Linux WiFi 4G,https://jobs.51job.com/suzhou-gsq/172627928.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
单片机机械控制工程师,江苏雷镈智能科技,1.5-3万,苏州·相城区,苏州,本科,3年及以上,2026-08-03 15:56:59,job51,"1、电子、电气、自动化相关专业，具有 5 年以上电子模拟、数字电路及单片机应用 
产品开发经验。；
2、精通CAN/RS485/SPI/I2C 等接口编程；
3、熟练使用Altium Designer，能够设计原理图和 PCB 者优先 ；
4、动手能力强，能够焊接引脚间距为 0.5mm 的芯片及样机者优先 ；
5、设计过步进电机相关驱动者优先考虑；
6、熟练掌握 STM32 单片机开发流程，并有相关经验；
7、具有丰富的自动化设备控制经验；",单片机 CAN SPI I2C STM32 RS485 Designer PCB,https://jobs.51job.com/suzhou-xcq/167736875.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
嵌入式软件工程师,苏州市悠越电子,1.2-2.4万,苏州·高新区,苏州,本科,5年及以上,2026-08-07 13:39:12,job51,"负责汽车氛围灯控制系统的核心软件开发，确保产品与车辆网络无缝集成。具体工作包括： 
1、嵌入式软件开发：基于MCU（微控制器）平台，使用C语言进行氛围灯控制软件的设计、编码和调试。 
2、总线通信集成：实现CAN和LIN总线通信协议，负责氛围灯与车辆ECU（电子控制单元）的数据交换和命令处理。 
3、系统架构设计：参与软件架构规划，优化代码性能、功耗和可靠性，确保符合汽车行业标准（如AUTOSAR或功能安全要求）。 
4、测试与验证：进行单元测试、集成测试和实车测试，排查软硬件问题，确保产品稳定性和安全性。 
5、跨团队协作：与硬件工程师、测试工程师紧密合作，完成软硬件联调和技术文档编写。 
6、技术升级：跟踪汽车电子新技术，持续改进氛围灯功能（如动态效果、OTA升级等）。

要求：
1、 有单片机开发经验，偏软件，熟悉常用的开发工具，有一定的单片机编程经验；
2、 熟练掌握汇编语言和C语言；
3、5年以上相关经验。",MCU C语言 CAN 单片机 汇编 技术文档,https://jobs.51job.com/suzhou-gxq/173189877.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
单片机开发工程师,苏州普中智能科技,8千-1.1万,苏州·吴中区,苏州,大专,2年及以上,2026-06-23 16:55:19,job51,"工作职责：&nbsp;&nbsp;
1、负责LED驱动软件、通讯软件开发和系统测试；
2、学习新技术发展方向，针对产品作出优化改进；
3、根据项目在一定的时间内完成项目；
4、上级安排的其它工作事项。
任职要求：
1、2年以上相关工作经历优先考虑；
2、计算机、电子、通讯、自动化等相关专业大专以上学历，有扎实的计算机基础知识；
3、了解熟悉CAN bus、TCP/IP等网络协议，RS485网络、Profitbus、Modbus等常用通讯网络；
4、了解下位机与上位机的通讯原理及相关协议；
5、较强的学习能力，逻辑思维能力,良好的团队协作精神和服务意识；
6、有相关LED显示驱动产品研发经验者优先；
7、负责单片机项目开发，会C语言编写51单片机程序；
8、有相关LED显示驱动产品研发经验者优先考虑。",CAN TCP/IP Modbus 单片机 C语言 TCP Profitbus,https://jobs.51job.com/suzhou-wzq/172658337.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
嵌入式软件工程师,永联科技（常熟）,1.5-2万,常熟,苏州,本科,3年及以上,2026-06-23 18:35:44,job51,"岗位职责：
1.&nbsp;精通GD32、STM32系列单片机开发，熟练完成底层驱动、外设配置、硬件联调
2.&nbsp;熟练掌握FreeRTOS实时操作系统，能完成任务调度、中断管理、内存管理、多任务开发
3.&nbsp;熟练使用IAR开发环境，完成代码编写、编译、仿真、调试、烧录全流程操作
4.&nbsp;具备C语言扎实编程能力，熟悉嵌入式底层逻辑、硬件通信（串口、CAN、485等）
5.&nbsp;了解充电桩产品功能逻辑、安规要求、电气交互原理，能完成嵌入式软件与电气硬件适配开发
任职要求：
1.全日制本科学历，电子信息工程、电气工程、自动化等相关专业
2.嵌入式软件开发全职工作经验≥2年，具备独立单机开发、调试、迭代全流程经验，社招成熟型人才，无需从零培养",STM32 单片机 RTOS C语言 CAN,https://jobs.51job.com/changshu/171133796.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
嵌入式工程师,爱克斯瑞真空技术（苏州）,2-2.5万,苏州·高新区,苏州,本科,3年及以上,2026-08-06 10:48:41,job51,"岗位职责：
1.根据产品要求负责嵌入式固件设计
2.配合软硬件联调
3.其它领导安排的事项

任职要求：
1.有芯片移植经历
2.熟悉Xilinx Zynq-7000/Zynq MPSoC
3.熟悉 ARMCortex-M/A 系列或其他主流单片机/微处理器架构
(如 STM32、NXP、GD32等)。

公司福利：
元旦、劳动节、国庆节:每个节日发放福利现金200元
端午节、中秋节:每个节日发放福利礼品或者现金100元
提供停车位",ARM 单片机 STM32 Zynq-7000 Zynq MPSoC ARMCortex-M NXP,https://jobs.51job.com/suzhou-gxq/173171913.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
嵌入式软件工程师 (无锡）,无锡真源科技,1.2-2万·13薪,苏州,苏州,本科,3年及以上,2026-08-03 16:10:04,job51,"福利：包住宿；饭补；缴纳五险一金（含公积金）、双休；
该职位上班地址为无锡新区菱湖大道228号天安智慧城A1-504室
岗位职责：
1、负责公司室内定位产品嵌入式软件研发；
2、主要负责RFID射频类电子产品的开发
3、3年以上嵌入式软件开发经验

任职要求：
1、全日制本科以上，电子类或自动化类专业；
2、熟悉ST、NODIC系列单片机的开发；
3、熟悉射频等无线通讯开发者优先，如2.4G RFID、5.8G UWB 、蓝牙等。
4、有使用python开发应用工具经验者优先；
福利：旅游；团建；下午茶供应；专家培训；",单片机 4G Python 培训 RFID UWB,https://jobs.51job.com/suzhou/173132825.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
嵌入式研发电子工程师,苏州未来电器,1-2万,苏州·相城区,苏州,本科,2年及以上,2026-07-17 10:48:31,job51,"一、岗位职责
1.嵌入式软件设计与独立开发
1）独立完成产品功能模块的代码编写、软硬件联调与系统集成，对代码质量、性能指标及交付进度负责。
2）基于STM32等主流MCU平台，深入完成底层驱动、通信协议栈、应用层逻辑的全流程开发，具备从需求分析到量产维护的闭环能力。
2.硬件协同与全流程把控
1）深度参与原理图评审、PCB布局优化，基于数字/模拟电路基础，独立提出降噪、功耗、热管理、信号完整性等改进方案，并推动落地。
2）配合硬件工程师完成关键器件选型、接口定义、电源树设计及时序约束验证，确保软硬件设计的协调性与可制造性。
3.产线协同与量产支持
1）主导产线试产及量产阶段的软件相关支持，包括：烧录工装设计、产线测试程序（如ICT/FCT）开发、不良品分析及快速修复。
2）与生产工程、质量、工艺部门协同，解决产线上突发的软硬件耦合问题（如通信不稳定、功耗异常、静电干扰等），输出根因分析报告及改进措施。
4.全流程开发规范与文档管理
严格执行编码规范及开发流程，独立完成模块设计文档、接口说明、单元测试报告、集成测试报告、生产指导文件等的撰写，确保技术资料可追溯、可复用、可交接。
5.多协议通信开发与调试
独立完成UART、I2C、SPI、CAN、以太网等多种通信接口的驱动开发与协议调试，具备使用逻辑分析仪、示波器分析总线时序的能力。
6.视觉检测系统开发（具备此项能力者优先）
1）负责视觉检测相关设备的嵌入式算法集成与开发，如相机选型、图像采集接口驱动（OpenMV、OpenCV嵌入式移植）、图像处理算法优化。
2）协调硬件实现稳定的成像与照明结构，确保检测精度与可靠性，并能独立完成产线视觉工装的调试与维护。
二、职位要求
1.学历专业：本科及以上学历，通信、电子、自动化、机电、计算机等相关专业。
2.核心技能
1）精通单片机原理及底层驱动开发，熟悉数字电路、模拟电路基本原理，能独立阅读原理图并调试硬件。
2）熟练掌握C/C++语言，至少熟悉一种MCU开发环境（Keil、IAR、STM32CubeIDE等），有STM32/GD32等ARM Cortex-M系列平台实际项目经验（至少主导过2个以上量产项目）。
3）熟悉UART、I2C、SPI、CAN等常见通信接口，能独立完成驱动调试与总线时序分析，具备定位通信异常的能力。
4）产线协同能力
具备与生产、工艺、质量部门高效协同的经验，能独立处理产线试产/量产中的软硬件问题，并推动形成标准化流程。
5）文档与规范：具备规范的编码习惯和优秀的文档编写能力，能独立输出高质量的设计、测试及故障分析文档。
3.其他
1）逻辑清晰、善于分析，能独立解决软硬耦合的疑难问题。
2）优秀的沟通协作与跨部门推动能力，能与硬件、结构、测试、生产等团队高效配合。
3）工作细致、踏实，有责任心，对产品可靠性有追求，能独当一面。",STM32 MCU UART I2C SPI CAN OpenCV 单片机 C++ ARM 需求分析 文档编写,https://jobs.51job.com/suzhou-xcq/172946173.html?s=sou_sou_soulb&t=0_0&req=a8fc2e779edc16e424e27ca4dcb9b3b5
