job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
技术工程师,东昇电磁兼容技术（深圳）有限公司苏州,5-8千·13薪,苏州·虎丘区,苏州,本科,2-3年,2026-08-09 12:13:57,job51,"岗位职责：
1、负责公司项目安装调试交付；
2、负责公司项目售前售后支持；
3、学习并解读国际、国内EMC标准；
4、积极配合公司各部门之间项目运转，提供技术支持；

任职要求：
1、本科或以上学历电子技术或电气专业，2-3年工作经验；
2、熟练掌握office办公软件，具有良好的英语读写能力；
3、熟悉EMC测试标准；掌握接收机、信号源、功率计、示波器等仪器的使用；
4、具有良好的时间管理能力和沟通技巧;具备独立工作与团队协作能力;具备独立解决问题及问题总结的能力;具备执行主管或经理安排的多项任务的能力。

福利待遇:
1、试用期即缴纳五险一金
2、过节福利、定期体检、年底双薪、年终奖金
3、周末双休、国家法定节假日
4、满一年享有10天带薪年假，往后累计***可享17天带薪年假
5、每年薪资普调
6、其他各类员工活动，包括但不限于员工旅行、下午茶、年饭抽奖等......

上班地点：苏州
工资：面议",技术支持,https://jobs.51job.com/suzhou-hq/173172584.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
厂内售前调试（责任制）,苏州杰锐思智能科技,1-1.5万,苏州·吴中区,苏州,大专,5年及以上,2026-08-07 14:44:21,job51,"工作职责:
1、负责设备售前调试：锂电池电芯中段设备，包括卷绕机、叠片机等；
2、厂内电气接线，机械调试，机械装配等工作策应支持；
3、负责机台出货前的安装、培训、维护工作; （机械落位安装调试，电气接线调试）；
任职资格:
1、技能要求：电气接线，机械调试，机械装配等；
2、善于语言表达，具备自动化设备装配，调试及电气方面的知识和技能；
3、有团队意识，热爱本职工作，能吃苦耐劳，待人诚恳；服从公司安排 ，对售后服务有兴趣，有良好的服务意识；",培训,https://jobs.51job.com/suzhou-wzq/173191568.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
售后技术支持工程师,苏州市宏精电磁技术,8千-1万·13薪,苏州,苏州,大专,3年及以上,2026-07-23 11:10:42,job51,"岗位职责：
1.熟练掌握公司相关设备的操作及调试方法；
2.及时接收客户的异常问题反馈，有效的时间内，通过合理、专业的解决方案处理问题；
3.售后产品维修及配件更换，根据客户提供信息对已过期产品进行报价申请并维修；
4.为客户提供必要的产品使用、日常维护及简单故障排除的培训，提升客户的自我服务能力；
5.收集并分析客户反馈，识别产品或服务中的不足，形成报告，落实改进方案；
6.详细记录每一次服务活动，包括问题描述、解决步骤等，便于后续跟踪；
7.在服务过程中严格遵守公司政策、行业标准及安全规定，确保个人、公司及客户财产的安全；
8.完成上级交办的其它工作。
任职资格：
1.大专及以上学历，机械相关专业；
2.有设备制造类行业售后维护工作经验者优先；
3.具备较强的观察和应变能力，优秀的分析和解决问题的能力；
4.工作积极主动，具有强烈的责任心，且能够适应异地出差工作；
5.能够熟练使用Office办公软件Word，Excel，PPT等。",培训 Excel,https://jobs.51job.com/suzhou/173014462.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
售后技术支持工程师,深圳市速程精密科技,7千-1.3万,昆山,苏州,大专,3年及以上,2026-07-14 15:06:46,job51,"一、岗位职责：
1、负责公司核心产品--ZR机械手的技术支持，快速响应与解决客户技术问题，远程/现场故障诊断、技术排查及解决方案制定;请登录公司官网了解核心产品介绍；
2、重点负责伺服驱动器及电机相关的调试、测试及客户技术支持；
3、新产品性能指标测试，项目测试资料记录、归纳；
4、对客户提供产品应用指导与使用培训；
5、完成上级临时交待的工作任务。

二、任职要求：
1、全日制大专及其以上学历，电气、自动化、机电一体化或相关专业；
2、具备3年以上伺服电机、直线电机、PLC、运动控制卡应用调试经验；
3、精通电机原理、运动控制卡、驱动控制及伺服系统，能独立使用示波器、万用表等工具进行深度故障分析;
4、有高创、固高、相石、汇川、埃莫、松下、三菱等主流驱动器应用调试经验的优先录取。
5、能适应不定时短期出差

福利待遇：五险一金+年假+全勤奖+定期体检+商业意外险+年度旅游+法定节假日等",技术支持 培训 PLC,https://jobs.51job.com/kunshan/172905608.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
售后技术支持工程师,苏州广林达电子科技,8千-1.3万,苏州·相城区,苏州,大专,3年及以上,2026-07-01 16:43:47,job51,"岗位职责：
1.负责公司超声检测、面板检测等设备出货前调试，进行IO确认、气路确认、单轴动作调试、拆分动作调试、协助自动化部门整设备运行调试工作，软硬件联调等工作。
2.负责设备出货后的现场调试运行，设备交付。能够发现提出并解决设备问题，及时改善优化，满足生产需求。
3.收集整理客户需求，反馈并跟进改善进度，及时结案。推进项目验收。
4.为客户进行设备培训、编写操作SOP。汇总记录设备问题点，做好复盘优化。

任职要求：
1.熟悉PLC、电气控制、机械传动等相关技术。能够阅读和理解设备的技术文档、图纸和手册。
2.对自动化、半自动设备的工作原理、控制系统、传感器和执行器等有深入的了解。能够安装、调试、优化设备。
3.能够快速准确地定位自动化设备故障的原因，制定并实施有效的故障解决方案，恢复设备的正常运行。
4.具备良好的客户服务意识，沟通能力，能够与客户建立良好的合作关系。善于倾听客户的需求和反馈，提供针对性的支持和建议。
5.工作认真积极，具有责任心，适应出差任务。
6.熟悉面板、超声等检测设备者优先。",培训 技术文档 客户服务,https://jobs.51job.com/suzhou-xcq/172758689.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
售后技术支持,中国机械总院集团海西（福建）分院,8千-1.2万,苏州·苏州工业园区,苏州,大专,3年及以上,2026-06-16 17:18:41,job51,"岗位职责
1．根据需要完成样品的打样及工艺测试任务并撰写相关实验测试打样报告；
2．跟进设备的生产进度及工艺调试，应用；
3．客户现场对设备进行调试，工艺验证及对客户进行理论培训；
4．能配合业务部人员对客户需求进行归纳整理，并提出适当的解决方案。
5．跟进现场设备的培训验收，能适应长期出差。
任职资格
1．熟悉基础机械和电气相关原理；
2．有从事半导体晶圆切割设备相关调试经验者优先；
3．沟通能力强，能适应长期出差。",培训,https://jobs.51job.com/suzhou-gyyq/172582843.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
售后技术支持工程师,苏州迪泰奇自动化科技,6千-1万,苏州·苏州工业园区,苏州,大专,1年及以上,2026-07-16 11:46:21,job51,"岗位职责：
1、负责客户端自动化涂胶设备的安装、调试及异常问题处理
2、负责对客户端员工进行技术培训
3、协助客户端现场设备的维护与保养
4、现场设备改善总结、汇报，提供改善建议
5、依客户端所在地与任务地点，受派至各地区任务执行
6、协助客户端设备的验收工作
任职资格：
1、3年以上设备安装、调试经验，大专及以上学历，机电一体化、机械自动化专业毕业
2、有较强的沟通总结能力和优秀的服务意识
3、抗压力强，责任心强和良好的团队合作精神",培训,https://jobs.51job.com/suzhou-gyyq/169668327.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
售后技术支持工程师,江苏立讯机器人,1.1-1.3万,常熟,苏州,大专,1-2年,2026-07-03 15:32:03,job51,"【工作内容】
1、负责机械设备及自动化仪表产品的现场安装指导、调试运行及技术参数校准；
2、响应客户售后诉求，快速诊断设备故障原因，提供远程或现场解决方案并修复问题；
3、定期巡检重点客户设备状态，收集运行数据，输出技术分析报告以优化产品性能；
4、协助销售团队进行售前技术支持，参与招投标方案的技术答疑及演示讲解工作；
5、整理典型故障案例库，编制标准化操作手册，并对内部人员进行技术培训。

【任职要求】
1、机械自动化、仪器仪表或机电一体化相关专业大专及以上学历，具备扎实理论基础；
2、熟悉PLC控制逻辑、液压气动原理及常用传感器应用，能独立阅读电气图纸；
3、拥有1～2年以上自动化行业售后经验，能适应长期出差及高强度现场作业；
4、具备良好的沟通协调能力与抗压能力，性格沉稳，对解决复杂技术问题有热情；
5、持有电工证或相关职业资格证书者优先，熟练使用Office办公软件及绘图工具。",技术支持 招投标 培训,https://jobs.51job.com/changshu/172787444.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
售后技术支持工程师,深圳市同川科技,8千-1.5万,昆山,苏州,本科,2年及以上,2026-06-11 11:06:16,job51,"（谐波减速器及机电一体化方向）

岗位职责：
1. 负责谐波减速器及机电一体化产品的售后技术支持，通过现场、电话或远程方式，及时响应并解决客户在产品使用过程中遇到的技术问题；
2. 负责客户投诉问题的根本原因分析、改善对策的追踪与验证，并定期完成客诉问题的分类、汇总及报告输出；
3. 协助客户完成产品升级、调试及优化工作，提供现场或远程技术指导与培训，提升客户使用体验与满意度；
4. 深入掌握公司全系列产品技术特点，主动收集与分析客户需求，协助销售团队制定针对性技术解决方案，并进行方案讲解、演示及技术交流。

任职要求：
1. 全日制本科及以上学历，自动化、机械工程、电气工程、机电一体化等相关专业优先；
2. 具备机械传动基础，了解谐波减速器或精密传动部件者优先，熟悉伺服控制系统调试及常用工业通讯协议（如EtherCAT、CanFD、Modbus等）；
3. 具备较强的客户需求理解与分析能力，能够独立编写技术报告、问题反馈及解决方案文档；
4. 具有良好的沟通能力和服务意识，能适应高频次短期出差，为客户提供及时现场支持。",CAN Modbus 技术支持 培训 CanFD,https://jobs.51job.com/kunshan/172021154.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
非标设备售后技术支持工程师,苏州汶楠自动化,7千-1.2万,苏州·高新区,苏州,本科,5年及以上,2026-07-16 09:02:13,job51,"【工作内容】
- 负责非标自动化设备在客户现场的安装调试、故障排查与维修，确保设备稳定运行；
- 针对客户反馈的技术问题，提供及时有效的解决方案，撰写技术处理报告并跟踪闭环；
- 与研发、生产及销售团队协同，推动产品改进与技术优化，提升客户满意度；
- 编制和更新设备操作手册、维护指南等技术文档，支持客户培训与后期运维；
- 定期进行客户回访，收集使用反馈，识别潜在风险并提出预防性维护建议。
【任职要求】
- 本科及以上学历，机械工程、自动化、电气工程或相关专业；
- 具备2年以上非标设备或工业自动化领域售后技术支持经验，熟悉PLC、伺服系统、气动控制等核心技术；
- 熟练掌握常见工业设备故障诊断方法，具备较强的动手能力与独立解决问题的能力；
- 能适应频繁出差，具备良好的沟通表达能力和客户服务意识；
- 能够在压力下高效工作，具备责任心与团队协作精神。",故障排查 技术文档 培训 技术支持 客户服务,https://jobs.51job.com/suzhou-gxq/172928103.html?s=sou_sou_soulb&t=0_0&req=ba0f28e71cde98f7a5e839731d8c37c7
