job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
图像算法工程师(J10225),苏州威达智科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-08 17:47:54,job51,"工作职责:
1. 负责工业视觉检测算法的开发
2. 使用Halcon进行算法设计与实现
3. 参与深度学习模型的训练与部署
任职资格:
1. 本科及以上学历，3年以上相关经验
2. 精通Halcon，有项目经验
3. 熟悉C++或C#",深度学习 C++ C#,https://jobs.51job.com/suzhou-gyyq/173200588.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
成像设备研发专家,苏州镁伽科技,4-5万,苏州·苏州工业园区,苏州,硕士,8年及以上,2026-08-07 16:03:55,job51,"【工作内容】
1、主导成像设备核心光学系统研发，完成光路设计、像差分析及性能优化方案；
2、负责成像算法与硬件协同开发，解决高分辨率、低噪点等关键技术难题；
3、统筹样机试制与测试验证，主导整机联调，确保产品各项指标达到交付标准；
4、对接供应链与生产部门，推动关键零部件选型及量产工艺落地，解决制造问题；
5、跟踪行业前沿技术动态，规划下一代成像产品技术路线并输出专利布局。

【任职要求】
1、光学工程、物理或相关专业硕士及以上学历，8年以上成像设备研发经验；
2、精通Zemax、CodeV等光学设计软件，熟悉CMOS/CCD传感器特性及驱动原理；
3、具备大型精密机械项目全周期管理经验，有成功量产高端成像设备案例；
4、掌握图像处理算法基础，具备良好的跨学科协作能力及复杂问题解决能力；
5、具有强烈的创新意识和抗压能力，能适应高强度研发节奏及短期出差需求。",供应链 专利,https://jobs.51job.com/suzhou-gyyq/173193576.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
图像算法工程师,江苏芯长征微电子集团,1.5-2.5万·14薪,苏州,苏州,本科,3年及以上,2026-08-06 13:04:11,job51,"岗位职责：
1. 负责半导体缺陷检测设备图像算法研发、仿真与工程落地；
2. 超声信号与成像算法研发；
3. 基于超声扫描图像进行缺陷检测、分类与定量分析；
4.负责图像处理算法开发与AI识别模型构建。

任职要求：
1. 本科及以上学历，计算机、电子信息、自动化等工科专业，3 年及以上超声信号处理 / 工业图像算法研发经验；
2. 具备OpenCV、Halcon等图像视觉库应用经验；
4. 有C++/QT开发，精通多轴运动控制、高速海量数据处理优化经验者优先；
5. 有视觉测量、定位、缺陷检测等项目的实际经验，有深度学习项目落地经验者优先；
6.有 linux下的AI编程经验者优先。",OpenCV C++ 深度学习 Linux,https://jobs.51job.com/suzhou/173174342.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
图像算法工程师,苏州睿新微系统技术,1.8-2.5万·15薪,苏州·苏州工业园区,苏州,本科,2年及以上,2026-08-05 18:22:23,job51,"岗位职责
1. 负责新产品的研发阶段的试制，向工程端输出新产品试制流程，配合产品和项目推动新产品的开发；
2. 新产品试制中，及时提出由光学、结构、硬件、固件等引入导致的试制标定问题，拉通相应部门提出解决方案，保证新产品试制交付质量和速度；
3. 结合产品应用，向软件部门提供相应算法实现文档，保证软件部门正确开发产品功能；
4. 结合产品市场需求，负责对产品图像标定算法和测温算法进行技术专项研究，输出研究成果并落实到具体产品应用；
5. 负责图像标定算法以及测温标定算法等技术性文档的整理记录和归纳

任职要求
1. 211本科及以上学历，计算机、电子、数学、物理、光学等相关专业；
2. 熟悉图像处理基本原理，熟悉图像质量评价方法；
3. 熟练掌握C、C++、MATLAB、Python、Labview等一种或多种编程语言；
4. 具备较强的学习能力和逻辑思维能力，良好的沟通能力；
5. 有ISP算法开发经验、红外产品经验者优先；
6. 能够接受少量出差，需要去客户现场调试等；",C++ MATLAB Python,https://jobs.51job.com/suzhou-gyyq/173166894.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
初级图像算法工程师,苏州纬旭智能装备,1.5-2.1万,苏州·吴江区,苏州,本科,3年及以上,2026-08-07 17:31:25,job51,"岗位职责
1、根据项目或者产品研发需求，进行缺陷检测相关算法功能设计、代码实现、性能测试，并按照要求提供报告和文档；
2、负责具体项目的AI算法的数据收集、训练、模型优化以及检出提升工作；
3、负责具体项目图像算法相关的调试与跟进，以及编写算法相关文档；
4、负责算法相关专利文档的撰写。
任职要求
1、教育背景：计算机、电子工程、自动化、图像处理等相关专业本科及以上学历，硕士优先。
2、编程能力：熟练掌握 Python 或 C++，熟悉 OpenCV、Matlab 等图像处理工具。
3、算法基础：熟悉常用的数据结构和算法，具备扎实的图像处理和机器学习基础，熟悉深度学习框架（如 TensorFlow、PyTorch）。
4、项目经验：有图像处理或计算机视觉相关项目经验者优先。
5、软技能：具备良好的团队合作能力、沟通能力和学习能力。
6、其他：对图像算法研究有浓厚兴趣，能够快速适应新技术和工具。",Python C++ OpenCV MATLAB 机器学习 深度学习 TensorFlow PyTorch 计算机视觉 性能测试 专利,https://jobs.51job.com/suzhou-wjq/172411292.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
图像算法工程师,小蜂光电科技（苏州）,2-3万,苏州·高新区,苏州,本科,5年及以上,2026-06-22 16:09:23,job51,"职责描述：
1、负责计算机视觉相关算法的研究与开发；底层算法开发
2、解决图像分类、目标检测、目标跟踪/图像分割等实际问题；
3、使用深度学习C++框架进行模型开发训练，并完成模型的部署与优化；
4、优化算法性能以适应实际应用场景的需求，包括边缘终端设备或云端部署；
5、设计和实现图像处理相关的预处理、增强及后处理算法；
6、撰写技术文档，与团队成员分享技术经验与成果；
任职要求：
1. 本科及以上学历，计算机科学、电子工程、图像处理等相关专业
2. 具有较强的编程能力，熟练使用C/C++，熟悉OpenCV等常用算法库，熟悉VTK软件系统。
3. 掌握常用图像处理算法，有图像分割、特征提取、物体检测、图像识别等相关研究和项目经验
4. 有较强的文献阅读和算法实现能力；",计算机视觉 深度学习 C++ OpenCV 技术文档,https://jobs.51job.com/suzhou-gxq/166359139.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
图像算法工程师,苏州瑞仕达企业管理咨询,2.5-4万·14薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-08 10:14:37,job51,"工作职责：
1.负责 AOI 缺陷检测、精密量测及定位算法的设计与开发；
2.使用 Halcon 进行算法原型设计，并熟练移植/集成至 C#/C++ 环境；
3.负责 3D 视觉方案开发，重点针对高度图进行数据处理与量测算法实现；
4.负责 YOLO 模型训练、优化及在工业场景下的缺陷检测部署；
5.参与相机、镜头、激光传感器等光学硬件选型及成像质量验证。

任职要求：
1.全日制本科及以上学历，计算机、自动化或数学相关专业；
2.6年以上自动化相关工作经验；5年以上独立研发的产品设计开发经验；
3.熟练掌握 C++/C# 开发，有扎实的图像处理基础；
4.精通 Halcon（必须），熟悉 OpenCV；
5.具有 YOLOv8 实际项目经验，熟悉深度学习在工业检测中的应用；
6.有2D/3D 视觉量测或 AOI 设备开发经验者优先。",C# C++ OpenCV 深度学习 原型设计 产品设计,https://jobs.51job.com/suzhou-gyyq/172833299.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
图像算法工程师,凌云光技术,2.5-3.5万·14薪,苏州·吴中区,苏州,硕士,3-10年,2026-07-21 19:51:19,job51,"1、负责无图案场景检测算法子系统的方案设计与核心算法开发，覆盖隔膜、极片、玻璃、铜铝箔、光学膜等卷材/片材的多场景缺陷检测；

2、研发多尺寸滤波检测算法（均值滤波1~1024核、极值滤波1~32核、导向滤波、高通滤波），实现FPGA+ARM软硬协同的多尺度缺陷检出；

3、开发浅缺陷检测（自适应噪声阈值+线性增强）、划伤检测（Sobel梯度+积分图）、漏喷检测（Sobel梯度块统计）、周期性缺陷检测（等差序列提取）等专项算法；

4、实现自动寻边（多段/***宽度）、平场校正（列背景灰度直方图）、刀缝位置识别、图像亮度自适应、算法阈值自适应（局部动态阈值+逐行背景阈值）等成像与建模辅助算法；

5、构建插件化算法架构，实现隔膜/极片/玻璃场景解耦与动态热插拔，兼容集中式PC架构（VFProcess）与分布式智能相机架构（VFProcessSC）；

6、参与算法工具库的模块化建设，支撑检测/分类/定位/辅助/优化五大能力的跨场景复用与快速迭代；

7、配合现场调试与客户验收，解决实际部署中的算法适配与稳定性问题。

1、精通C++编程，熟悉面向对象设计与设计模式，具备大型算法工程项目经验；

2、深入掌握OpenCV图像处理库，熟悉滤波、形态学、阈值分割、Blob分析、模板匹配等核心算法；

3、熟悉机器视觉缺陷检测算法：多尺度滤波检测、浅缺陷检测（自适应阈值）、划伤检测（Sobel梯度+积分图）、周期性缺陷检测等；

4、具备FPGA+ARM软硬协同开发经验，了解FPGA流水线并行处理、游程编码等硬件加速方案；

5、熟悉嵌入式Linux（RK3588等ARM平台）算法开发与性能优化，了解CPU多线程调度、内存管理；

6、掌握平场校正、自动曝光、自动寻边、刀缝识别等成像建模算法；

7、具备AI缺陷分类经验，熟悉深度学习模型训练与部署（PyTorch/ONNX等），有轻量化模型在ARM端落地经验优先；

8、熟悉插件化/模块化架构设计，了解动态库加载、接口抽象、跨平台兼容；

9、了解工业相机（线阵相机SF/DALSA/海康/CIS）、光源系统、采集卡等硬件知识；

10、具备良好的算法方案文档撰写能力与团队协作沟通能力。",FPGA ARM 分布式 C++ OpenCV 嵌入式Linux 深度学习 PyTorch ONNX 方案设计,https://jobs.51job.com/suzhou-wzq/172974823.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
视觉图像算法工程师(J10138),苏州威达智科技,2-3.5万,苏州·苏州工业园区,苏州,硕士,5年,2026-07-07 10:34:49,job51,"工作职责:
1.机器视觉 AOI 系统及影像处理演算法程式设计
2.光学系统架构设计及取像测试验证，光学设备配型，规格制订。
3.AOI 标准模组开发
4.系统与演算法整合开发。
5.外观检测/定位量测开发
6.2D/3D 视觉量测开发
7.2D/3D 视觉定位系统开发
8.外观缺陷检演算法开发
任职资格:
1.全日制硕士及以上学历，有一定的英语读写能力；
2.熟悉 C / C++ / C#.NET / Python，有图像视觉算法开发相关经验；
3.熟悉 OpenCV or Halcon ；
4.具团队沟通协调和独立解决问题能力；
5.有 AOI 专案经验者优先；
6.熟悉 Tensorflow / Keras / Caffe 框架且有相关实作经验优先。",C++ C# Python OpenCV TensorFlow Keras Caffe,https://jobs.51job.com/suzhou-gyyq/172817601.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
中高级图像算法工程师,苏州纬旭智能装备,2.2-3万,苏州·吴江区,苏州,本科,3年及以上,2026-08-07 17:31:28,job51,"岗位职责:
1、根据项目或者产品研发需求，进行AOI检测或视觉对位相关算法功能设计、代码实现、性能测试，并按照要求提供报告和文档；
2、负责客户需求分析评估，能独立完成打光测试等工作，编制打光报告和设计方案，合理评估需求风险；
3、与项目经理、机械设计、电控设计等人员进行技术对接，能够将项目设计的思路和意图明确传达给相关人员；
4、负责解决项目实施前后出现的问题；
5、负责培训售后服务工程师对应功能模块的使用方法，必要时出差到客户现场处理问题。

任职要求:
1、计算机、自动化、光学等相关专业背景，本科三年工作经验或者硕士学历；
2、能够熟练使用C++，以及Halcon、OpenCV或Labview等至少一种视觉库及开发环境；
3、具备图像处理和机器视觉相关经验，能够独立完成AOI检测和视觉对位开发项目；
4、有晶圆检测相关项目经验或有独立编制视觉解决方案的经验的优先。
5、有cuda加速、opencl加速或工业检测AI项目经验者优先。",C++ OpenCV 性能测试 需求分析 培训,https://jobs.51job.com/suzhou-wjq/172411347.html?s=sou_sou_soulb&t=0_0&req=5d9150f9592a6e3ea887cd735e826877
