job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
融合定位算法工程师,苏州惠禾科技,2.3-3.5万·13薪,苏州·苏州工业园区,苏州,硕士,1-3年,2026-06-18 09:57:59,job51,"岗位职责
1. 负责割草机器人多传感器融合定位算法的设计、研发与工程化落地，解决户外草坪无GPS、弱GPS、遮挡场景下的定位漂移、丢定位、轨迹偏移等行业痛点，保障机器人长时间作业的定位稳定性。
2. 搭建适配割草机器人的多源融合定位框架，整合GNSS/RTK、IMU、激光雷达、视觉相机、轮速计、地磁传感器等多维度数据，实现高精度、高鲁棒性的实时位姿估计。
3. 优化融合定位核心算法，基于EKF、UKF、粒子滤波、图优化等算法，完成传感器数据校准、时空同步、异常数据剔除、姿态解算、位置修正，适配草坪起伏、低速行走、频繁转向等作业特性。
4. 针对草坪重复纹理、大面积空旷场景、树荫遮挡、信号干扰等特殊场景，迭代融合策略，提升全局定位一致性与局部定位精度，满足全覆盖割草、边界精准作业的定位需求。
5. 负责定位算法的算力优化、延时优化与稳定性测试，适配嵌入式硬件平台，完成实地调试、问题复盘、版本迭代，输出标准化算法方案与技术文档。
6. 联动SLAM、感知、规控团队，打通定位与建图、导航路径规划的闭环，支撑机器人自主回充、定点作业、区域复刻等高级功能实现。
任职要求
1. 硕士及以上学历，导航制导、自动化、机器人、计算机等相关专业，1-3年机器人融合定位算法研发经验，有户外移动机器人定位落地经验优先。
2. 精通多传感器融合定位原理，熟练掌握卡尔曼滤波、图优化等核心算法，熟悉IMU、RTK、轮速、视觉、激光定位的优缺点及融合适配方案。
3. 熟练使用C++编程，熟悉ROS/ROS2开发环境，掌握GTSAM、Ceres、Eigen等主流算法库，具备嵌入式算法优化与部署能力。
4. 熟悉户外机器人定位场景特性，具备解决弱信号、动态干扰、场景同质化下定位问题的实战经验。
5. 具备独立算法调试、数据分析、性能优化能力，能接受户外实地测试，严谨细致，具备良好的技术沉淀与迭代思维。",GPS SLAM C++ ROS SAM 技术文档 数据分析,https://jobs.51job.com/suzhou-gyyq/172606077.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
灵科-研发工程师（压力传感器方向）,苏州敏芯微电子技术,1.2-2万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-02 09:31:46,job51,"岗位职责：
1、根据新产品开发计划，负责新产品的设计、试制及性能测试，并输出开发报告。
2、整理并归档完整的新产品技术资料（图纸、BOM、规格书等）。
3、收集销售端的市场反馈，结合生产端工艺，提出产品优化与革新方案并推动落地。
4、对产品所用材料的品质、客户HSF要求及适用法律法规进行合规性技术评审。
5、协助项目负责人完成项目设计与分析工作，为其他部门提供技术问题解决支持。
任职要求：
1、学历专业： 本科及以上，电子科学与技术、电子信息工程、测控技术与仪器、电气工程等电子类相关专业。
2、工作经验（满足其一）：
2年以上汽车传感器研发经验；
或3年以上其他类型传感器开发经验。
3、知识技能：
熟悉传感器设计原理，具备电子、机械、材料等交叉学科知识；
熟悉数字集成电路基本原理、设计技巧及完整开发流程。
4、软素质： 具备良好的沟通能力、学习能力及团队协作精神。",性能测试 合规 BOM,https://jobs.51job.com/suzhou-gyyq/172663328.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
光学检测工程师,深圳市丹杨智能科技有限公司上海,1-2万,苏州,苏州,本科,2年及以上,2026-08-07 09:51:04,job51,"岗位职责：
1)负责光学系统(傅里叶光谱仪)的预研、开发工作;
2)负责光学系统模拟仿真和杂散光分析等原理验证工作;
3)负责光学零部件的选型及采购对接;
4)提出具体的技术要求,指导和审核光机工程师的系统设计方案,并提出建设性意见;
5)负责分析和解决光学模组在产品开发和量产中的相关光路问题;
6)负责光学系统的测试和验证,并出具相关报告;
7)负责与光学供应商的技术沟通,同时开发优质的光学配件供应链;
8)紧跟行业前沿技术,对固体红外光谱检测的开发方向,提出可行性建议;
9)其他临时事项处理;
岗位要求：
1)本科以上学历,光学设计相关专业2年以上工作经验;
2)熟练使用光学分析软件，例如lighttools、zemax、tracepro等;
3)了解傅里叶光谱仪工作原理;
4)有光学系统的设计能力,熟悉常见光学元件和模组的特性；
5)有基于红外光谱检测固体物质的经验者优先;
6)具有良好的文档撰写能力;
7)沟通能力和学习能力强,有责任感;及时反应工作中的问题和异常状况;
8)工作积极主动、有团队协作意识",采购 供应链 zemax,https://jobs.51job.com/suzhou/173185624.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
SLAM算法工程师,兰笺（苏州）科技,1.2-1.8万,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-06-17 10:28:33,job51,"岗位职责
1.负责公司室内定位与巡检产品中SLAM相关算法的研发与优化工作；
2.参与视觉SLAM、VIO、多传感器融合等算法的开发、测试与工程落地；
3.参与复杂场景下定位精度与稳定性优化，包括动态环境、弱纹理环境、光照变化等场景；
4.参与视觉、IMU等传感器数据处理与融合，提高定位和建图效果；
5.参与轨迹优化、重定位、地图构建等功能开发与性能优化；
6.配合产品及研发团队完成算法集成、问题定位和产品迭代工作。
工作经验/背景要求
1.计算机科学、电子工程、数学或相关专业硕士及以上学历；
2.熟练掌握C++及Linux系统，两年及以上C++编程经历，熟练使用ROS、opencv等常见库；
3.掌握SLAM领域常见数学知识，掌握李群李代数，熟悉图优化或卡尔曼滤波；
4.熟悉常见视觉SLAM框架中至少一种：例如Vins系列、ORB-SLAM系列、MSCKF、SVO等；
5.有SLAM、计算机视觉、多传感器融合、三维视觉重建及类似项目开发的经历。",SLAM C++ Linux ROS OpenCV 计算机视觉 产品迭代,https://jobs.51job.com/suzhou-gyyq/172589975.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
激光雷达点云感知工程师-[636035],安德烈斯蒂尔动力工具（青岛）,2-4万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-11 09:08:13,job51,"岗位职责 
负责激光雷达（LiDAR）点云感知算法开发与优化； 
负责3D目标检测、点云分割、多传感器融合等相关算法研发； 
负责点云数据处理、评估及部署； 
参与自动驾驶/机器人感知系统的工程化落地； 
配合完成数据分析、性能优化及问题定位。 
 
 
任职要求 
计算机、自动化、人工智能、机器人等相关专业； 
熟悉 C++ / Python 编程； 
了解常见点云算法； 
了解 ROS、Linux 开发环境； 
具备良好的算法理解与工程实现能力。 
 
 
加分项 
有自动驾驶、机器人相关项目经验； 
熟悉 CUDA、TensorRT、BEV 感知； 
有激光雷达、多传感器融合经验； 
有大规模点云训练与部署经验。",LiDAR C++ Python ROS Linux 数据分析,https://jobs.51job.com/suzhou-gyyq/172507152.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
感知算法工程师-广目智能,前锦网络信息技术（上海）,1.5-3万,苏州·姑苏区,苏州,硕士,2年及以上,2026-08-03 17:46:51,job51,"1、视觉感知开发：负责基于摄像头的视觉感知算法研发，实现复杂户外场景下的障碍物检测、可行驶区域分割、边界线识别、植被类型分类等任务。
2、激光雷达感知开发：负责基于激光雷达的点云感知算法研发，实现高精度障碍物检测与跟踪、地形建模、负障碍检测及语义分割。
3、多传感器融合：设计并实现视觉与激光雷达的前融合/后融合方案，提升感知系统在恶劣光照、雨雾天气下的鲁棒性。
4、数据闭环构建：建立自动化数据采集、清洗、标注及模型迭代Pipeline，持续优化算法在长尾场景下的表现。
5、模型轻量化与部署：负责感知模型在嵌入式平台上的量化、裁剪与加速，确保实时推理性能。

计算机视觉、计算机科学与技术、人工智能、电子信息工程、自动化

招聘公司：苏州广目智能科技有限公司
地址：苏州姑苏区联东U谷姑苏数字科技产业园10栋9楼

广目科技是一家深耕通用机器人领域，专注产业生态搭建与产品规模化落地的人工智能企业。公司先后荣获“高新技术企业”、“苏州市姑苏领军人才企业”等称号，拥有软件、硬件、算法、算力及数据的全产业链布局，深耕以安防、清洁、家政为核心业务的“三保”服务场景，打造“轮式设备拓局→场景数据沉淀→垂类 AI训练→人形机器人落地”的完整发展链路，致力于成为全球落地领先的机器人服务商。",计算机视觉 数据采集,https://jobs.51job.com/suzhou-gsq/173135265.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
激光雷达点云算法工程师,苏州赛瞳智能科技,3-5万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-07-24 17:10:02,job51,"职位描述：
1、负责激光雷达点云数据的预处理、去噪、滤波、分割、聚类、配准、融合、目标检测与跟踪等算法研发与优化。
2、能够完成激光雷达点云的测试以及标定。
3、面向自动驾驶、机器人、割草机、测绘、工业检测或智能交通场景，设计点云感知与理解算法方案。
4、完成点云与相机、毫米波雷达等多传感器数据融合、时空同步、标定及后处理。
5、基于点云特征实现障碍物检测、分类、车道线/可行驶区域提取、姿态估计等功能。
6、负责算法在嵌入式/车载平台的移植、优化、加速与落地验证，满足实时性与精度要求。
7、搭建点云算法测试、评估、可视化 pipeline，分析 BadCase 并持续迭代。
8、跟踪国内外点云相关前沿技术（传统几何算法、深度学习点云算法、SLAM、建图等）。

任职要求：
1、计算机、自动化、电子、测绘、数学、机器人等相关专业，本科及以上学历。
2、扎实的数学基础：线性代数、概率论、立体几何、优化理论、点云拓扑与空间变换。
3、熟练掌握 C++/Python 开发，熟悉 PCL、Open3D、VTK、Matplotlib 等点云工具库。
4、熟悉至少一种点云深度学习框架：PyTorch/TensorFlow/JAX，了解PointNet、PointRCNN、VoxelNet、CenterPoint 等经典模型。
5、熟悉点云常用算法：滤波、下采样、 registration（ICP/NDT等）、分割、聚类、目标跟踪。

有以下任一经验者优先：
1、自动驾驶/机器人激光雷达感知落地经验。
2、LiDAR SLAM、激光里程计、点云地图构建与更新。
3、多传感器融合（Camera+LiDAR+Radar）。
4、模型量化、TensorRT/ONNX 部署、嵌入式优化。
5、点云数据集制作、标注、评估与 pipeline 搭建。
6、良好的工程实现能力、问题定位能力与团队协作意识。

加分项
1、有 KITTI、Waymo、NuScenes、SemanticKITTI 等数据集竞赛或评测成绩。
2、熟悉 ROS/ROS2 开发，有实际机器人或自动驾驶项目部署经验。
3、了解激光雷达原理：线束、TOF/FMCW、点云成像特性、噪声模型。
4、发表过点云/3D 感知相关顶会论文（CVPR/ICCV/ECCV/ICRA/IROS 等）。
5、熟练使用 Linux 开发环境、CMake、Git、Docker 等工具链。",深度学习 SLAM C++ Python PyTorch TensorFlow LiDAR ONNX ROS Linux CMake Git Docker,https://jobs.51job.com/suzhou-gxq/173036285.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
感知算法工程师(J11968),烟台睿创微纳技术,2.5-3.5万·14薪,苏州·苏州工业园区,苏州,本科,3年,2026-07-10 11:11:40,job51,"工作职责:
1、负责公司视觉感知类算法的研发和迭代，包括但不限于：目标物感知、分类、跟踪、传感器融合等；
2、负责上述算法的优化与改进，根据客户需求及反馈，提升算法产品表现；
3、负责上述算法的实地测试与维护，与其他部门同事协作，解决实际问题，推进实现算法部署落地；
4、掌握常见的感知算法与深度学习开发框架；
5、与产品部门、嵌入式部门进行合作；
6、撰写、维护相关文档，交付客户。
任职资格:
1、本科及以上学历，熟练掌握目标检测、图像分割、目标跟踪等视觉相关算法；
2、具有感知算法相关经验(自动驾驶、自动化、无人机、机器人等)；
3、熟悉至少一种深度学习开发框架，掌握计算机视觉中的基本算法；
4、有FCW开发、维护经验者优先。",深度学习 计算机视觉,https://jobs.51job.com/suzhou-gyyq/172865185.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
算法工程师,苏州嘉诺创新科技,1.5-2.4万,苏州·吴江区,苏州,本科,3年及以上,2026-07-27 10:57:53,job51,"KEY RESPONSIBILITIES:
主要职责：
1、双能 X 光图像算法开发，有效原子序数 Zeff 计算，鲜肉碎骨、砂石、金属异物识别算法；
2、3D 激光轮廓重建，肉块体积、重量拟合，缺陷识别；
3、多传感器数据融合，训练肉糜、冻肉、冻干样本库；和上位机软件对接。

QUALIFICATION:
岗位要求：
1. 本科及以上学历，计算机、自动化等相关专业；
2. 具有三年以上食品 X 光异物检测、肉类视觉分选落地经验；做过残骨识别优先；
3. 熟悉双能 TDI 探测器成像原理；
4. 熟练掌握一种或多种tensorflow、pytorch等深度学习框架；
5. 有目标检测和分割等相关经验；有一定的管理能力。",TensorFlow PyTorch 深度学习 KEY RESPONSIBILITIES Zeff QUALIFICATION TDI,https://jobs.51job.com/suzhou-wjq/171776502.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
雷达Slam工程师-[465301],安德烈斯蒂尔动力工具（青岛）,2-4万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-03 16:40:02,job51,"岗位描述
负责公司机器人/智能设备的 激光雷达 SLAM（LIDAR SLAM）系统研发与优化，包括前端特征提取、后端优化、回环检测、建图策略、定位算法等核心模块。通过算法开发、仿真验证与实机测试，提升机器人在复杂环境中的定位精度、建图质量与鲁棒性。
________________________________________
岗位职责
1. 核心 SLAM 算法研发
•	负责 LIDAR SLAM 前端（特征提取、匹配、scan-to-map、ICP、NDT 等）实现与优化。
•	负责 SLAM 后端（位姿图优化、因子图优化、BA、回环检测）算法设计与落地。
•	优化 SLAM 在动态场景、多障碍场景下的稳定性与抗干扰能力。
2. 激光雷达数据处理
•	开发点云处理算法（滤波、分割、配准、地图融合等）。
•	优化点云处理在嵌入式平台上的性能（CPU/GPU/ARM）。
3. 建图与定位系统
•	构建高一致性、高精度的 2D/3D 地图。
•	优化机器人实时定位精度，包括多源融合（IMU、里程计、UWB 等）。
4. 系统整合与验证
•	在 ROS/ROS2 系统中构建 SLAM 模块并进行系统集成。
•	搭建仿真环境（Gazebo、Webots、CARLA）和实车测试流程。
•	优化算法边界条件、资源占用、延迟与稳定性。
5. 跨部门协作
•	与导航、路径规划、控制、硬件等团队合作，推动 SLAM 的产品化落地。
•	分析测试数据并持续提升 SLAM 性能。
________________________________________
任职要求
必备要求
•	计算机、机器人、自动化等相关专业本科及以上学历。
•	精通至少一种 LIDAR SLAM 框架或算法，如： 
o	LOAM / A-LOAM / LIO-SAM
o	Cartographer
o	Gmapping / HectorSLAM
o	FAST-LIO / VINS-LIO
•	熟悉点云处理（ICP、NDT、RANSAC、Kd-tree、特征提取等）。
•	熟练使用 C++，掌握 ROS/ROS2 的开发流程。
•	具备良好的数学基础（线性代数、最优化、概率论、几何）。
•	有机器人 SLAM、无人车、AGV、清洁机器人等相关项目经验。
加分项
•	有 Lidar + IMU 紧耦合（LIO）项目经验。
•	熟悉传感器标定：外参标定、时延补偿、畸变校正等。
•	有多传感器融合经验（IMU/Odom/UWB/视觉）。
•	熟悉算法嵌入式部署（ARM、DSP、GPU）。
•	有开源 SLAM 项目贡献记录者优先。",SLAM LiDAR CAN ARM ROS SAM C++ DSP 跨部门协作,https://jobs.51job.com/suzhou-gyyq/171125462.html?s=sou_sou_soulb&t=0_0&req=d5f5b394f28e43a14324882892e5dde8
