job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI大模型算法工程师,苏州中析生物信息,1.5-2.5万,苏州·吴中区,苏州,硕士,3年及以上,2026-07-02 15:37:23,job51,"应届生不适合谢谢~

[岗位职责]
1.大模型应用开发:负责基于GPT、Llama、Qwen等开源大语言模型的微调(SFT/LoRA)、部署及推理优化，
解决业务场景中的实际问题(如实验优化方案、文档分析、Agent等)。
3、参与推理增强与思维链建模:CoT、ToT、ReAct、树状推理、多阶段推理等技术，构建可解释的推理链路;
4、使用LangGraph/LangChain搭建多节点推理工作流、工具链调度、状态机设计;构建高可用、可监控的推理代
理系统，支持复杂任务编排。

[任职要求]
1. 硕士及以上学历，计算机科学、人工智能、软件工程等相关专业，具备扎实的数学功底，覆盖线性代数、概率统计、数值方法等核心领域。
2. 熟练掌握Python，具有扎实的编码能力，熟悉Linux环境开发，熟练使用PyTorch、TensorFlow或Kermpt Engineering或RAG(检索增强生成)开发经验。
3. 具备工程化理念，深刻理解 Hamess Engineering的核心思想，构建AI的生产级底座。
4. 熟悉大模型的部署工具(如vLLM、TGI、Ollama)，有模型压缩(量化、蒸馏)经验者优先。

[加分项]
1. 有生物信息学背景，或熟悉生命科学领域数据标准(如FASTQ,PDB，SMILES)者优先。
2. 有实际的生产环境Agent调试经验，了解如何处理模型幻觉与长尾错误。",大模型 GPT LoRA Agent React LangChain 高可用 Python Linux PyTorch TensorFlow Gin RAG LLM,https://jobs.51job.com/suzhou-wzq/172773060.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
AI算法工程师（大模型方向）,达智汇科技服务（苏州）,2-3.5万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:32:08,job51,"岗位职责：
1.负责工业领域大模型（LLM、多模态、时序大模型等）的研发、微调与部署，面向设备运维、工艺问答、文档理解等场景。
2.基于开源大模型进行指令微调、RAG、Prompt工程，提升模型在工业任务中的准确性与可控性。
3.将大模型能力集成到工业AI平台，实现高效推理服务与业务对接。
4.探索模型压缩、量化、分布式推理等工程优化，满足工业场景的响应时延与资源约束。
5.跟踪大模型前沿技术（LoRA、Agent、MoE等），推动在工业领域的创新落地。

任职要求：
1.硕士及以上学历（优秀本科生亦可），计算机、AI、数学等相关专业，2年以上NLP/多模态/大模型相关经验。
2.熟练掌握 Python 或 C++，熟悉至少一种大模型微调框架（LLaMA-Factory、FastChat、vLLM等）。
3.熟悉Transformer架构、常见开源大模型（Qwen、ChatGLM、LLaMA等）及其微调方法。
4.了解RAG、向量数据库、LangChain等组件，有实际调优经验。
5.有模型部署经验（TensorRT-LLM、ONNX、FastAPI等），熟悉Linux、Docker、Git。
6.良好的逻辑与沟通能力，能理解工业场景需求并转化为模型方案。

加分项：
1.有工业知识库问答、设备维护助手、工业报告生成等项目落地经验。
2.熟悉C++高性能推理或分布式训练（DeepSpeed、Megatron）。
3.有大模型量化（GPTQ、AWQ）或边缘端部署经验。",大模型 LLM 多模态 RAG Prompt 分布式 LoRA Agent Python C++ Transformer 向量数据库 LangChain ONNX FastAPI Linux Docker Git GPT 知识库,https://jobs.51job.com/suzhou-gyyq/171706677.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
大模型专家,海南博银合创科技,2.5-4万,苏州·吴中区,苏州,硕士,5年及以上,2026-06-10 16:42:18,job51,"岗位职责
1.负责视觉-语言-动作（VLA）模型及多模态大模型的设计、训练和优化；
2.负责将大模型能力应用于机器人控制，包括策略学习、动作预测、数据集处理及真机部署测试；
3.负责提升大模型训练与推理效率，如：分布式训练、模型并行、Flash Attention、LoRA 等技术；
4.跟进领域最新研究进展，评估和预研大模型在机器人控制、操作、导航等场景的应用；
5.熟悉 pi0/pi0.5 系列大模型。
任职要求
1.熟悉大语言模型、视觉-语言模型及多模态大模型的网络结构与训练方法；
2.精通 PyTorch 或 TensorFlow，熟练掌握 Python 或 C++ 至少一种编程语言；
3.熟悉分布式训练框架及大模型高效微调技术；
4.能够利用云端算力进行大规模数据处理和模型训练；
5.熟练掌握模仿学习算法（如 ACT、DP 等）及 Model-Based RL 算法者优先；
6.熟悉模型与机器人硬件接口及系统部署者优先；
7.在 AI、CV、NLP 顶会或顶刊（如 TIP、TRO、CVPR、ICLR、ACL 等）发表论文者优先；",多模态 大模型 分布式 LoRA PyTorch TensorFlow Python C++,https://jobs.51job.com/suzhou-wzq/172501850.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
云端多模态大模型工程师,安德烈斯蒂尔动力工具（青岛）,2-3.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-13 15:50:36,job51,"岗位职责 

负责云端多模态大模型（LLM / VLM）的训练、微调与评估； 
负责大模型在云端的部署、推理优化与服务化（API化）； 
设计并实现云端大模型与本地小模型之间的通信与协同机制（如蒸馏、路由、分层推理等）； 
基于 AWS（如 EC2、S3、EKS、ECR 等）搭建与维护训练与推理基础设施； 
负责模型性能优化，包括推理加速（TensorRT / vLLM / quantization 等）； 
参与多模态数据处理（图像、文本、语音等）与训练管道建设。 

 
任职要求 
计算机、人工智能或相关专业； 
熟悉 PyTorch / Deep Learning 训练框架； 
熟悉大模型训练或微调（LLM / Vision-Language Model）； 
熟悉模型部署与推理服务（FastAPI / Triton / vLLM 等）； 
熟悉 AWS 云平台（EC2、S3、EKS、IAM、ECR 等）； 
了解分布式训练或多机多卡（DDP / FSDP）； 
熟悉 Python，具备一定 C++ 或系统工程能力。 

 
加分项 
有多模态模型（如 CLIP、LLaVA、Gemini 类）经验； 
有云端大规模训练或推理优化经验； 
熟悉模型压缩（量化、蒸馏、剪枝）； 
有边缘端/本地小模型部署经验； 
熟悉 AWS 生产级 MLOps 架构； 
有 K8s / Docker / CI-CD 实践经验。",多模态 大模型 LLM AWS PyTorch FastAPI 分布式 Python C++ CLIP K8s Docker,https://jobs.51job.com/suzhou-gyyq/172890322.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
云端多模态大模型工程师-[649998],安德烈斯蒂尔动力工具（青岛）,2-4万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-11 09:06:10,job51,"岗位职责 

负责云端多模态大模型（LLM / VLM）的训练、微调与评估； 
负责大模型在云端的部署、推理优化与服务化（API化）； 
设计并实现云端大模型与本地小模型之间的通信与协同机制（如蒸馏、路由、分层推理等）； 
基于 AWS（如 EC2、S3、EKS、ECR 等）搭建与维护训练与推理基础设施； 
负责模型性能优化，包括推理加速（TensorRT / vLLM / quantization 等）； 
参与多模态数据处理（图像、文本、语音等）与训练管道建设。 
 
 
任职要求 
计算机、人工智能或相关专业； 
熟悉 PyTorch / Deep Learning 训练框架； 
熟悉大模型训练或微调（LLM / Vision-Language Model）； 
熟悉模型部署与推理服务（FastAPI / Triton / vLLM 等）； 
熟悉 AWS 云平台（EC2、S3、EKS、IAM、ECR 等）； 
了解分布式训练或多机多卡（DDP / FSDP）； 
熟悉 Python，具备一定 C++ 或系统工程能力。 
 
 
加分项 
有多模态模型（如 CLIP、LLaVA、Gemini 类）经验； 
有云端大规模训练或推理优化经验； 
熟悉模型压缩（量化、蒸馏、剪枝）； 
有边缘端/本地小模型部署经验； 
熟悉 AWS 生产级 MLOps 架构； 
有 K8s / Docker / CI-CD 实践经验。",多模态 大模型 LLM AWS PyTorch FastAPI 分布式 Python C++ CLIP K8s Docker,https://jobs.51job.com/suzhou-gyyq/172507091.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
大模型应用工程师,材料科学姑苏实验室,1.5-2万,苏州·苏州工业园区,苏州,本科,3-5年,2026-07-07 15:43:59,job51,"岗位职责
1.负责 AI Agent 系统的设计、开发与迭代，实现工具调用、功能路由、提示词工程及上下文管理等核心模块
2.独立完成智能体逻辑开发，与后端服务完成集成对接
3.优化模型调用效率、系统稳定性及输出准确性，配合团队完成 ToB AI 产品研发与交付
4.关注 AI Agent 技术前沿，结合业务需求优化技术方案，提升产品智能性与易用性
任职要求
1.3-5 年开发经验，有 AI Agent、大模型应用开发经验者优先
2.精通 Python，熟悉 LangChain、AutoGPT 等 Agent 框架，了解主流大模型（GPT、Claude 等）API 调用
3.具备良好的逻辑思维和问题解决能力，能独立承担模块开发任务
4.了解后端开发流程，能与业务开发、测试团队高效协作，沟通能力良好
5.接受孵化公司性质（非实验室正式岗位）",AI Agent 大模型 Python LangChain AutoGPT Agent GPT 技术方案,https://jobs.51job.com/suzhou-gyyq/172825259.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
AI工程师（大模型方向）,飞依诺科技,1.5-2.1万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-10 09:44:46,job51,"工作职责：
1.结合深度学习和计算机视觉算法，实现图像检测、分割、分类、识别等任务。
2.跟踪并研究图像分析领域的前沿技术，结合实际需求进行技术落地。
3.深入理解临床场景，与产品、医生协作，推进算法在临床中的验证和迭代，提高诊断效率与准确率。
4.推动算法模块向产品转化，协助算法部署、性能评估调优、支持产品持续升级。
5.与公司其他部门紧密合作，理解其业务需求，提供定制化的大模型服务API和解决方案。
6.负责大模型推理框架的调研、选型、开发与深度优化，提升推理效率和降低延迟。
任职要求：
1.计算机、人工智能、软件工程或相关专业研究生及以上学历；具备2年以上相关工作经验。
2.精通Python、C++编程，熟悉Linux开发环境；熟练掌握PyTorch/TensorFlow等主流深度学习框架。
3.深入理解Transformer架构，对主流大模型（如GPT系列、Llama、Mistral等）有实际使用或研究经验。
4.熟悉Docker/Kubernetes等容器化技术，具备大模型服务部署和监控经验。
5.具备较强的问题分析和解决能力。
6.具备良好的团队合作精神和沟通能力，能够与跨学科团队成员协作工作。",深度学习 计算机视觉 大模型 Python C++ Linux PyTorch TensorFlow Transformer GPT Docker Kubernetes 容器化,https://jobs.51job.com/suzhou-gyyq/172861576.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
AI算法工程师,达智汇科技服务（苏州）,1.8-2.8万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:34:30,job51,"岗位职责：
1.计算机科学、人工智能等相关领域的硕士、博士，或优秀本科生;
2.精通C/C++、Python;
3.熟悉深度学习框架，如PyTorch、Tensorflow等4.熟悉AI推理引擎框架，如TensorRT、TVM、NCNN
等:
5.熟悉cuBLAS、OpenBLAS等高性能计算库，擅长自定义算子。
6.有2年及以上模型在端侧AI芯片的部署经验，如地平线、华为、英伟达等平台，有LLama、ChatGLM等大模型部署经验的优先;
7.具有良好的团队合作能力和沟通能力;
8.加分项:熟悉llama.cpp、vLLM、deepspeed等大模型推理框架;
9.加分项:熟悉FlashAttention、XFormer、FasterTransformer等大模型推理加速方案，
任职要求：
1、硕士及以上学历，本科生优秀也可考虑，光学、计算机软件、物理、自动化、电子等相关专业。
2、熟悉计算机视觉、深度学习、图像视频处理相关的理论知识和实践技能。
3、精通主流编程语言Python或C/C++，对算法兴趣浓厚且具备一定经验、具备创造性思维、对研究工作充满热情，沟通能力强，具备良好的团队协作能力。
4、熟悉OpenCV等开源视觉算法库，熟悉底层代码实现。
5、对常用的机器学习/深度学习算法有深入理解，例如：LR、SVM、XGBOOST、ANN、RNN、CNN等，能够迅速复现前沿算法，积极地对算法进行迭代、优化、创新。
6、在实际项目中有成功落地AI算法的经验，能够理解业务需求并将技术解决方案转化为实际产品者优先，熟悉工业应用场景优先。",C++ Python 深度学习 PyTorch TensorFlow 大模型 LLM Transformer 计算机视觉 OpenCV 机器学习 XGBoost,https://jobs.51job.com/suzhou-gyyq/165296525.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
AI算法工程师-机器学习方向,达智汇科技服务（苏州）,1.6-2.8万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-07-22 16:34:24,job51,"岗位职责：
1.负责工业数据（时序、图像等）的建模与算法开发，包括特征工程、模型训练、调优与验证。
2.将算法封装并接入公司工业AI平台，配合完成模型部署、加速推理与边缘端适配。
3.深入客户现场，推动算法在故障预测、质量检测、工艺优化等场景的落地与持续迭代。
4.跟进前沿技术，探索少样本学习、时序大模型等在工业领域的应用。

任职要求：
1.硕士及以上学历（优秀本科亦可），2年以上机器学习经验。
2.扎实的Python编程能力，熟练使用PyTorch/TensorFlow、Scikit-learn等。
3.熟悉常用机器学习与深度学习模型（XGBoost、CNN、LSTM、Transformer等）。
4.有工业数据处理经验，了解噪声、不平衡、缺失值等问题。
5.熟悉Linux、Git、Docker，了解模型部署（ONNX/TensorRT等）或MLOps优先。
6.良好的沟通能力，能适应产线调研与快速迭代。

加分项：
1.有PHM、缺陷检测、工艺优化等工业AI项目落地经验。
2.熟悉时序数据库或工业协议（Modbus/OPC UA）。",大模型 机器学习 Python PyTorch TensorFlow Scikit-learn 深度学习 XGBoost Transformer Linux Git Docker ONNX Modbus,https://jobs.51job.com/suzhou-gyyq/171705956.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
AI检测算法工程师,固势（苏州）科技,2-3万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-23 16:09:27,job51,"岗位职责：
1、模型引入与适配
负责调研、选型并引入适合工业检测大模型，完成模型接入。针对具体缺陷检测、分类、定位等任务，对预训练模型进行微调、适配和数据增强，提升在工业场景中的泛化能力。
2、模型轻量与优化
主导模型压缩（剪枝、量化、蒸馏）与加速（算子融合、层合并、NAS搜索），确保模型满足产线对延迟（≤100ms）、吞吐量和内存占用的严苛要求。解决工业数据分布偏移、小样本缺陷下的模型鲁棒性问题，降低误检/漏检率。
3、系统工程与性能调优
搭建模型部署Pipeline，集成数据预处理、推理引擎、结果后处理与业务系统（如MES/SCADA）。
监控并优化推理性能（CPU/GPU/NPU利用率、内存泄漏、I/O瓶颈），实现7x24小时稳定运行。
4、技术前瞻与闭环建设
跟踪边缘AI、大模型轻量化、自监督学习等前沿技术，探索在质检场景中的可行性。
参与从数据标注、模型训练到边缘部署的MLOps闭环体系建设，推动模型迭代自动化。

【任职要求】
1.	计算机/电子信息/人工智能等相关专业本科及以上学历，3年以上AI模型部署经验。
2.	精通PyTorch/TensorFlow框架，具备扎实的模型训练、调试与调参能力。
3.	熟练掌握模型转换与部署工具链（ONNX、TensorRT、TFLite至少一种），有边缘设备（Jetson、ARM NPU、华为Atlas等）部署实战经验。
4.	掌握模型量化（INT8/FP16）、剪枝、知识蒸馏等轻量化方法，能独立解决精度损失与性能平衡问题。
5.	熟练使用C++/Python，具备嵌入式Linux环境下的开发、调试与性能剖析能力。
6.	有计算机视觉项目经验（缺陷检测、语义分割、目标检测、3D点云处理等）。

加分项
1.	有模型NAS、稀疏训练、动态推理、混合精度训练等高级优化经验。
2.	掌握工业级软件工程规范（单元测试、CI/CD、Docker容器化、日志监控）。
3.	边缘部署与引擎集成经验优先。
4.	熟悉工业质检场景，了解AOI设备、光学成像、3D视觉或多模态融合技术。",大模型 PyTorch TensorFlow ONNX ARM C++ Python 嵌入式Linux 计算机视觉 CI/CD Docker 容器化 多模态,https://jobs.51job.com/suzhou-gyyq/173021078.html?s=sou_sou_soulb&t=0_0&req=e22de1ea34106bc92d0c67b4d1524bc2
