job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
射频工程师,上海易讯微电子,2-3万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-20 10:29:02,job51,"岗位职责：
1、根据客户或者市场需求，负责设计并按项目要求完成PA器件和应用方案的开发与调试；
2、根据客户整机要求，负责将公司产品配合客户整机进行联调测试，完成产品在客户端设计导入；
3、根据战略规划，设计并且交付具有开拓性和创新性的器件产品，主要是宽带专网器件内匹配设计；
4、负责基于开发器件的功放电路设计，调试，优化和测试；
5、独立完成PA Demo PCB &amp;Baseplate版图绘制，并具有一定的创新能力，以及相关技术文档编写；
6、具有器件和电路的射频仿真和分析能力，以及一定的技术创新能力；
7、协助新产品的量产导入。
任职要求：
1、本科及以上，硕士优先，通信、电子等半导体相关专业；
2、射频、半导体行业、宽带专网5年以上从业经验，有多个PA芯片产品独立开发经验者优先；
3、熟悉宽带专网、ISM等应用场景，了解器件应用场景、应用优化方案；
4、ISM等专网器件开发经验，射频器件，电路设计与调测经验，具有仿真经验优先；
5、射频电路理论基础扎实，理解功率放大器器件设计原理，了解射频微波电路、半导体相关工艺、封
测、生产等技术；
6、熟悉功率放大器电路原理，具备射频PA电路设计，调试和测试。精通Doherty PA, Push-pull, 超宽
带PA等架构优先；
7、熟练使用射频电路仿真软件；
8、责任心强，工作积极主动，有较好的执行力和沟通能力和团队合作精神；
9、具备较好的学习能力和动手能力，有强烈的进取心，能在压力下工作。",技术文档 Demo PCB PA Push-pull,https://jobs.51job.com/suzhou-gyyq/172966120.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
射频工程师,苏州波发特电子科技,1.8-2.8万,苏州·相城区,苏州,本科,5年及以上,2026-07-03 17:13:14,job51,"岗位职责：
1.负责射频无源产品的设计和开发；
2.负责相关射频产品模块和系统产品中无源部分的设计和开发；
3.设计产品如滤波器，双工器，耦合器，合路器，衰减器，天线部件，基站射频前端子系统，微波拉远模块等；
4.对开发的新产品，完成其转产，优化过程，配合工程及生产部门提高产品可生产性，降低生产成本；
5.配合和支持销售部门进行市场技术支持工作，配合和支持生产实施过程，协助解决生产中的技术工艺问题；
6.完成领导安排各项日常工作。

任职资格：
1.通信或电子类专业，大学本科以上学历，5年以上工作经验；
2.有移动通信射频前端、器件及子系统独立开发能力，独立或联名撰写技术文献或专利者优先；
3.熟悉通讯行业，通讯设备的原理设计和运用；
4.熟悉研发流程，产品工艺，有较强的质量控制意识；
5.熟练使用HFSS、CST、Designer AWR等射频仿真软件，熟练使用CAD、Solidworks等制图软件；
6.可独立完成滤波器，功分耦合等无源产品及VSWR，LNA等有源器件的设计；
7.熟悉设计开发流程，负责技术文件的起草，新产品开发，项目的实施和监督；
8.熟悉滤波器相关物料生产工艺，材料特征，价格，对降成本有一定经验；
9.有爱立信项目经验优先。",技术支持 专利 CST Designer,https://jobs.51job.com/suzhou-xcq/172790119.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
RF射频工程师(J10183),强一半导体（苏州）,2-4万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-09 11:21:05,job51,"工作职责:
1.了解客户需求和项目方案，将项目方案进行论证；
2.测试插座PCB板电路的RF仿真，pogopin产品开发RF模拟；
3.设计前期的RF模拟分析；
4.Database维护；
5.处理项目中射频开发的相关问题，参与问题部分的分析定位和攻关；
6.射频相关产品生产技术支持；
7.配合上级工作，完成负责硬件项目的研发产生的各节点硬件开发任务；

任职资格:
1.本科及以上学历，电子、通讯、微波相关专业；5年以上半导体芯片行业，PCB板电路RF分析工作经验；
2.具有扎实的电磁场、微波、射频等射频通讯基础理论，熟悉主流射频通讯协议；
3.掌握射频通讯电路的设计和测试方法；
4.熟练使用网络分析仪、频谱仪、信号发生器等设备；
5.英语四级以上，能够熟练阅读英文技术资料。",Go 技术支持,https://jobs.51job.com/suzhou-gyyq/172843462.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
射频工程师,中科星空（苏州）微波系统,1.5-2万,苏州·苏州工业园区,苏州,硕士,2-5年,2026-07-17 10:16:29,job51,"岗位职责：
1.负责化合物半导体的射频功率放大器的开发与测试，文档撰写；
2.设计流程优化，设计软件仿真平台模板的建设与优化，设计硬件平台的优化；
3.参与公司预研项目的开发；
4.参与国家预研项目的开发；
5.专利发明撰写；
任职要求：
1.硕士及以上学历，微波、微电子相关专业；
2.2~5年以上射频功率放大器设计经验；
3.熟悉PA设计流程，熟练使用ADS等电磁仿真工具；
5.熟悉射频仪器的使用，能够快速定位和解决PA调试中的问题；
6.英语读写能力佳；
7.强烈的责任心，工作积极主动、执行力强。
工作地点：
苏州",流程优化 专利,https://jobs.51job.com/suzhou-gyyq/172945316.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
RF 射频工程师,宸微设备科技（苏州）,1.6-2.5万·13薪,苏州·吴江区,苏州,硕士,3年及以上,2026-07-21 14:07:50,job51,"职位描述：
1、调研、设计、开发产品或项目所需的 RF 设备技术，参与和实施整机设备的安装调
试；
2、进行产品 RF 应用研发和实验，并开展预研性的技术研究；
3、制订 RF 相关技术和实验方案，组织相关技术人员进行实施，并提出改进意见；
4、配合 RF 相关图纸的加工，修改设计方案及图纸，并保证图纸与最终产品的一致性；
5、根据公司要求编制相关的技术文件；
6、跟踪先进技术的发展，做好相关技术资料的存储、更新和共享；
7、负责对运行中的机台与 RF 相关的部件进行维护；
8、协助采购部门进行 RF 外购件的调研和选型，在采购实施过程中提供技术支持。
岗位需求：
1、电磁场与微波、低温等离子体、电子、无线电相关专业，硕士及以上学历，博士优
先；
2、具有扎实的电磁场理论和微波技术基础，熟悉射频通信系统及射频电路基本理论；
3、乐于学习、有钻研精神、具备抗压能力。",采购 技术支持 RF,https://jobs.51job.com/suzhou-wjq/166417124.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
射频工程师,苏州瑞地测控技术,1.5-2.5万·13薪,苏州·相城区,苏州,本科,3年及以上,2026-07-21 16:42:21,job51,"岗位职责：
- 负责射频器件和电路的开发设计；
- 负责毫米波雷达、5G设备测试系统设计和搭建；
- 完成产品调试测试并与客户联调；
- 与其他部门协作，完成系统中的射频部分的开发、测试。

岗位要求：
- 本科及以上学历，微波、雷达、通信、电子相关专业；
- 3年及以上雷达、天线测试经验；
- 熟悉功率计、信号源、频谱仪、网络分析仪等仪表和射频仿真工具；
- 具有紧缩场设计、测试经验优先；
- 工作积极主动，有强烈的责任心，具备良好的沟通能力和团队协作能力。",5G,https://jobs.51job.com/suzhou-xcq/156052064.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
射频工程师,润芯微智能科技,1.5-2.5万,苏州·相城区,苏州,本科,5年及以上,2026-07-06 11:36:19,job51,"岗位职责 
1,负责汽车电子产品射频模块设计评估，与硬件结构评估布局；
2,负责射频单元电路的设计和PCB 摆件工作；
3,负责射频单元性能指标调试，测试，性能优化；
4,负责处理生产过程中射频问题；
5,配合支持产品认证遇到问题。

任职资格 
1，本科以上学历，通信工程、电子信息工程、电磁场与微波等专业； 
2，有5年以上射频工作经验， 有汽车电子T-box产品 开发及认证经验优先。
3，具备扎实射频/天线开发和调试经验.熟练使用网分、频谱仪、示波器、焊接等工具； 
4，熟练使用 ADS、HFSS/CST 仿真工具，熟悉Allegro、AD、PADS。
5，工作积极，有较好的抗压能力，有较强的团队合作意识。",ADS HFSS CST AD PADS,https://jobs.51job.com/suzhou-xcq/172803384.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
研发/射频工程师,苏州戈拓微波科技,8千-1.6万,苏州·吴江区,苏州,本科,2-5年,2026-08-03 15:25:43,job51,"一、职位描述：
1. 负责射频同轴连接器，毫米波连接器，及电缆组件的设计开发；
2. 负责射频连接器及电缆组件的设计、试制、试验、批产、转产；
3. 负责射频连接器的设计，生产相关文件、标准的编制及修改；

二、岗位要求：
1. 大学本科以上学历、助理工程师2年以上经验，三年以上（工程师必备）、五年以上（主管必备）射频同轴连接器行业工作经验； 必备条件！！！
2. 具有独立设计射频连接器产品经验者优先考虑；
3. 了解射频同轴连接器、电缆组件的加工工艺流程；
4. 工作责任心强、沟通能力强；
5. 具有项目管理或团队组织能力者优先；",项目管理,https://jobs.51job.com/suzhou-wjq/173131589.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
功率器件可靠性工程师,上海微谱检测科技集团,6-9千·13薪,苏州·吴江区,苏州,大专,1年,2026-08-07 11:38:49,job51,"岗位职责：
1. 熟悉功率器件静态参数（B1506A机台），动态参数，热阻等特性参数测试并完成数据整理分析（T3ster），熟悉使用功率器件可靠性设备，例如功率循环试验机（杭可、Mentor机台），HTRB、HTGB、H3TRB等等设备。
2. 熟悉功率器件芯片（Si、IGBT、SiC MOSFET）测试方案（双脉冲，短路，浪涌等），具有丰富的功率器件测试及PCB设计和调试经验；
3. 熟练使用直流电源，示波器信号源、功率分析仪，电子负载电压及电流探头等功率测试仪器设备，进行功率器件电学特性测试（B1506A机台）；
4. 可根据客户提供的样品，利用相关测量仪器进行datasheet的测试和编制。
5. 熟悉Mosfet、IGBT、SiC、GaN等功率器件工作原理；
6. 熟悉车规芯片的AEC Q101和AQG324测试标准，且对可靠性部分测试和设备有丰富的经验。",GAN T3ster HTRB HTGB Si IGBT SiC MOSFET,https://jobs.51job.com/suzhou-wjq/173188565.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
射频工程师,苏州希拉米科电子科技,6千-1.2万,苏州·高新区,苏州,本科,无需经验,2026-07-23 09:16:57,job51,"工作内容：
1.射频滤波器，双工器，多工器设计，并协同版图工程师优化版图；
2.测试工装的协同电磁仿真，分析和解决匹配，寄生和耦合问题；
3.配合工艺工程师和产品工程师完成产品的数据评估，指标评估。


任职要求：
1、本科及以上学历，电磁场与微波技术、通信工程、电子信息等电子专业；
2、会HFSS、ADS、Auto cad等软件；
3、工作积极认真，责任心强。",ADS Auto,https://jobs.51job.com/suzhou-gxq/173011092.html?s=sou_sou_soulb&t=0_0&req=cf2413bd1b8f706b477ca64b1a854d92
