job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
CT工艺工程师,万东百胜（苏州）医疗科技,1.3-2万,苏州·高新区,苏州,本科,3年及以上,2026-08-07 14:13:28,job51,"主要职责：
1：负责CT新产品导入项目管理；
2：负责CT新产品设计转换，编写DHF和DMR等文档；
3：负责CT新品和量产品的工艺流程设计及优化；
4：负责产品工艺管理，BOM维护、图纸维护、SOP维护、变更管理、工艺验证，物料验证等；
5：负责产品技术故障分析、排查与解决；
6：负责开发或引进自动化设备、辅助工装设备等提高生产效率、保证产品质量；

任职要求：
1：本科及以上学历，生物医学工程、医学影像、电子电气、计算机、核工程、应用物理、实验物理、光电等相关专业；
2：3年以上CT设转及工艺工作经验；
3：熟悉医疗器械生产企业相关法律法规及体系，有ISO 13485培训证书者优先；
4：熟练使用CREO等3D绘图软件，CAD软件，AI绘图软件；
5：良好的英语听、说、读、写能力；
6：熟练使用SAP，PLM，MES等系统；
7：工作态度积极主动，独立工作能力强，善于沟通，有较强的团队意识；",项目管理 产品设计 培训 PLM,https://jobs.51job.com/suzhou-gxq/173190721.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
研发部技术文档工程师,比赫电气（太仓）,7千-1.2万,苏州·苏州工业园区,苏州,大专,5年及以上,2026-07-23 08:47:42,job51,"岗位职责：
1. 负责产品技术文档编制，如：产品技术规格书，产品手册，用户手册，安装指南等；
2. 负责技术文档标准化模板创建及维护；
3. 负责技术相关文档英文翻译；
任职要求：
1. 计算机，广告，英文等相关专业，专科及以上学历；
2. 具备出色的中文书面表达能力，逻辑清晰，良好的英语读写能力；
3. 熟练使用office软件，有Photoshop，solidworks等软件使用经验者优先；",技术文档,https://jobs.51job.com/suzhou-gyyq/172838533.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
光学检测工程师,深圳市丹杨智能科技有限公司上海,1-2万,苏州,苏州,本科,2年及以上,2026-08-07 09:51:04,job51,"岗位职责：
1)负责光学系统(傅里叶光谱仪)的预研、开发工作;
2)负责光学系统模拟仿真和杂散光分析等原理验证工作;
3)负责光学零部件的选型及采购对接;
4)提出具体的技术要求,指导和审核光机工程师的系统设计方案,并提出建设性意见;
5)负责分析和解决光学模组在产品开发和量产中的相关光路问题;
6)负责光学系统的测试和验证,并出具相关报告;
7)负责与光学供应商的技术沟通,同时开发优质的光学配件供应链;
8)紧跟行业前沿技术,对固体红外光谱检测的开发方向,提出可行性建议;
9)其他临时事项处理;
岗位要求：
1)本科以上学历,光学设计相关专业2年以上工作经验;
2)熟练使用光学分析软件，例如lighttools、zemax、tracepro等;
3)了解傅里叶光谱仪工作原理;
4)有光学系统的设计能力,熟悉常见光学元件和模组的特性；
5)有基于红外光谱检测固体物质的经验者优先;
6)具有良好的文档撰写能力;
7)沟通能力和学习能力强,有责任感;及时反应工作中的问题和异常状况;
8)工作积极主动、有团队协作意识",采购 供应链 zemax,https://jobs.51job.com/suzhou/173185624.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
技术工程师,张家港市沙工医疗器械科技发展,9千-1.2万·13薪,张家港,苏州,本科,3年及以上,2026-08-07 10:52:39,job51,"岗位职责:
1、负责新产品设计开发项目实施活动，维护完善产品设计开发文档；
2、负责产品市场调研，掌握和指导客户正确使用产品，根据市场需求提升产品竞争力；
3、负责客诉问题和不良事件的调查、分析、处理、改进；
4、负责组织产品工艺技术的优化改进活动，参与精益化生产管理实施、自动化设计与验收确认；
5、负责材料开发、测试、评价、验证、变更等活动；
6、协同开展产品注册、提供研发、工艺、技术等支持资料；
7、协同开展高企、专利、政府扶持等项目申报。

任职资格:
1、 本科学历、三年以上工作经验；
2、熟悉医疗器械产品开发的相关法律、法规优先；
3、 熟悉产品开发流程和工艺过程；
4、有责任心，具有一定工作抗压能力，具有很强分析和沟通能力；
5、能适应出差。",产品设计 市场调研 专利,https://jobs.51job.com/zhangjiagang/173187342.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
楼宇自控工程师,上海臻达翊通自动化科技,8千-1.5万,苏州,苏州,大专,3年及以上,2026-08-07 15:15:45,job51,"岗位职责: 
1. 负责电气自动化控制系统的设计、开发与实施，确保系统稳定高效运行。 
2. 参与自控系统的调试、优化及故障处理，保障设备自动化功能正常。 
3. 与工程及技术团队协作，完成电气自控方案的落地与集成。 
4. 编写相关技术文档，支持系统维护和后续升级。 
5. 跟踪系统运行状态，持续提升自动化水平和控制精度。 
任职要求： 
1.现场仪表
a 至少了解熟悉一种传感器例如温度，压力，流量，液位的工作原理，参数设置，使用调试。
b 了解熟悉一种开关型执行器的接线，调试
c 了解熟悉一种调节型执行器的接线，拨码，调试，故障排查。
d 了解熟悉Modbus rtu/tcp 通信或其他通讯方式
2. 了解或熟悉一种工艺流程，如洁净 dcc mau 排气 pcw 冷冻水 cda 冷却水 或其他工艺流程
3 .会使用cad 或eplan，熟练使用excel，会画盘柜原理图.平面图。
4 .熟练使用一种plc进行编程，如西门子1500，300，400系列plc
5 .了解熟悉一种上位机软件或触摸屏，如intouch wincc 组态王 ifix mcgs 威纶通等
能适应项目出差，拥有持续学习意愿，能适应新技术和新环境的挑战。可根据薪资面议，社保缴纳地上海或青岛",Modbus 技术文档 故障排查,https://jobs.51job.com/suzhou/173192330.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
机械设计师,苏州舍勒智能科技,8千-1.6万,昆山,苏州,本科,2年及以上,2026-08-07 15:58:13,job51,"岗位职责	
1．负责高精密运动平台的研发（标准品／非标品），职责包括但不限于：评估客户需求，负责机械结构设计及使用多种手段优化和评估方案，如有限元分析，误差分配，运动规划等，负责机构相关标准件计算选型（如电机、丝杆、导轨、编码器等），确立产品指标，建立初步技术方案；
2．制作BOM，绘制工程图纸，并整理图纸等技术文件，编写操作说明书、装配指导书等技术文档，在生产阶段提供必要的技术支持；
3. 负责精密机械零件加工工艺指导和质量控制，机械部件的精密装配与测试测量，配合跨部门团队完成产品总装与调试等；
4．探索超精密加工和装配工艺瓶颈，突破工程极限，打造领先的超精密运动机械产品；
5.完成领导安排的其他事宜。
岗位要求	
1. 机械设计与制造或相关专业，本科及以上学历；
2. 熟练掌握 SolidWorks、CAD等3维、2维软件；
3. 熟悉机械原理与设计、有限元分析；熟悉机械加工与装配工艺；熟悉常用机械材料；能独立开发与设计机械零部件；
4. 有半导体相关行业设备设计经验者优先，有设备安装与调试经验者优先；
5. 工作认真负责，严谨细致，有良好的创新精神和团队精神；
6. 具备工程图识图能力和三维模型绘制能力，能进行图纸的版本管理和图号维护；
7. 能完成项目信息整理，对项目问题记录追踪，准确收集记录工程现场信息。",技术方案 技术文档 技术支持 版本管理 SolidWorks,https://jobs.51job.com/kunshan/173193407.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
机械工程师,苏州毫格睿科技,1.2-2.3万·13薪,苏州·虎丘区,苏州,硕士,2-7年,2026-08-07 13:23:07,job51,"【岗位职责】
1. 产品开发与设计：
o 负责公司新产品的机械结构设计与开发，完成 3D 建模、2D 工程图绘制及
BOM（物料清单）的编制。
o 参与产品需求分析，制定机械技术方案，确保设计满足临床使用需求和法规
要求。
2. 设计验证与输出：
o 负责样机的制作、组装及调试，设计并执行机械相关的性能测试、可靠性测
试（如振动、寿命测试）。
o 编写设计验证报告、风险分析报告（DFMEA/PFMEA），确保设计输出文件的完整性。
3. 法规符合性：
o 严格遵循 ISO 13485 质量管理体系及相关法规要求进行设计开发。
o 参与产品的风险管理活动，识别并控制机械相关的潜在危害。
4. 工艺与转产支持：
o 配合工艺工程师进行生产工艺的开发和优化，解决试产及量产过程中的机械
技术问题。
o 完成生产所需的工装的设计制作以及调试验证。
o 参与供应商的筛选与评估，协助处理外协加工中的技术问题。
5. 文档管理：
o 按照公司体系要求，撰写并归档设计开发文档、技术报告及注册申报所需的
技术资料。

【任职要求】
1. 学历与专业：
• 硕士及以上学历，机械设计制造及其自动化、机械工程、材料成型、精密仪器等相关专业。
2. 工作经验：
• 2-7 年医疗器械行业机械设计经验，有完整（从立项到转产）项目经验者优先。
3. 专业技能：
• 设计软件能力： 精通至少一种三维设计软件，熟练按照机械制图规范完成机械零件/装配体的2D图纸的绘制。
• 材料与工艺： 熟悉常用金属材料和塑胶材料特性；了解机加工、钣金、注塑等常用制造工艺。
• 公差分析：具备扎实的尺寸链分析和公差配合能力，能够进行精密零件的公差设计。
4. 核心素质：
• 法规意识：具备良好的质量体系意识，了解医疗器械设计开发流程，熟悉 ISO 13485及 GMP 规范者优先。
• 学习能力：有自主学习的意愿和能力，能够根据需求查询资料，快速学习。
• 文档能力： 逻辑清晰，具备良好的技术文档撰写能力，能够编写规范的设计文档和测试报告。
• 解决问题： 具备较强的动手能力和分析能力，能独立分析和解决研发及生产中的技术问题。
• 团队协作： 具有良好的沟通能力和团队合作精神，能与电子、工艺及临床专员等多部门协同工作。


【加分项】
• 有源类医疗器械（如监护仪、超声、手术动力装置）结构设计经验。
• 熟悉 Ansys 等有限元分析软件，能进行静力学/动力学仿真。
• 英语听说读写流利，能读懂英文技术文献，无障碍进行英文沟通。",需求分析 技术方案 性能测试 风险管理 技术文档 BOM DFMEA PFMEA,https://jobs.51job.com/suzhou-hq/173189620.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
PC软件工程师,苏州欣华锐电子,8千-1万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 17:34:59,job51,"1.架构设计：负责 PC 端应用软件的整体架构设计，包括分层架构规划、模块划分、接口定义、数据流设计，搭建可扩展、可维护的软件架构。
2. 上位机通信开发：负责 PC 端与设备之间的通信协议设计与开发，精通网口（Ethernet/TCP/IP）、Type-C、USB 等主流通信接口的驱动开发与数据交互。
3. 设备控制软件：开发设备控制与数据采集上位机软件，实现设备状态监控、参数配置、数据上传下载、固件升级等功能。
4. 驱动开发：完成 USB 设备驱动、WinUSB/libusb 通用驱动封装、Type-C PD 协议交互、网口通信协议栈（Modbus TCP/UDP/自定义协议）的开发与调试。
5. 界面开发：负责 PC 端图形界面（GUI）设计与开发，提供直观、易用的设备控制与数据可视化界面。
6. 跨平台适配：完成软件在 Windows 与 Linux 双平台的编译与运行适配，维护跨平台构建脚本与 CI/CD 流程。
7. 调试与测试：使用主流开发工具进行代码调试、性能分析与单元测试，使用 Wireshark、USBlyzer 等协议分析工具进行通信报文抓包与问题定位。
8. 技术文档：编写软件架构设计文档、接口协议文档、调试手册及用户手册，其中含英文技术文档编写。
9. 跨团队协作：与嵌入式软件工程师、硬件工程师协作，对接设备固件协议、驱动接口与硬件寄存器映射，推动产品联调闭环。
10. 技术预研：跟踪 PC 端技术发展趋势，评估新技术方案（如微服务架构、跨平台框架、高性能通信等），完成技术调研与原型验证。",TCP/IP Modbus Linux CI/CD 微服务 数据采集 技术文档 技术方案,https://jobs.51job.com/suzhou-gyyq/173195865.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
pcb layout工程师,上海文洲信息科技,8千-1.2万,苏州·苏州工业园区,苏州,大专,3年及以上,2026-08-07 10:55:35,job51,"【工作内容】
1、负责机械及重工设备控制系统的PCB原理图审核与Layout设计，确保信号完整性；
2、独立完成多层板布局布线，优化电源分配网络（PDN）并解决电磁兼容（EMC）问题；
3、协同硬件工程师进行样机调试，分析并解决高频干扰、散热及结构干涉等工程问题；
4、输出规范的Gerber文件、BOM表及生产资料，跟进PCB打样及量产过程中的工艺对接。

【任职要求】
1、电子类相关专业大专及以上学历，具备3年以上工业控制或高功率设备Layout经验；
2、精通Altium Designer或Cadence等EDA工具，熟悉高速电路设计及阻抗匹配原则；
3、深入理解安规标准与EMC设计规范，能独立处理复杂电磁干扰及热管理方案；
4、具备良好的文档编写能力与跨部门协作意识，能适应项目节点压力及现场技术支持。",文档编写 跨部门协作 技术支持 PDN EMC,https://jobs.51job.com/suzhou-gyyq/173187431.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
研发工程师（国际技术文档）,苏州中天医疗器械科技,1-1.9万·13薪,苏州·苏州工业园区,苏州,本科,2年,2026-06-29 16:17:04,job51,"岗位职责:
1.负责神经介入、外周介入类产品技术文件的编制、审核与优化，确保文件符合海外医疗器械注册技术文档标准；
2.对接第三方咨询机构，统筹公司内部技术资料（DHF/DMR等）的检索、整合与交付，支持海外产品注册技术文档需求；
3.运用AI工具完成技术文档的中英文转换，对翻译结果进行专业术语校准与技术准确性验证；
4.建立并维护产品技术资料库，持续更新设计原理、材料特性、工艺参数及临床应用相关技术文档；
5.跟踪海外目标市场技术文件要求的变化，及时反馈并优化内部文档体系；
6.协助完善技术文件编制规范与审核流程，提升文档输出效率与质量;
7.完成公司安排的其他研发支持工作。
岗位要求:
1.本科及以上学历，机械工程、生物医学工程、材料科学、高分子材料等相关专业；
2.2年以上三类医疗器械研发经验，神经介入、外周介入或心血管领域背景优先：;
3.深入理解介入类产品的设计原理、材料特性（如镍钛合金、高分子管材）关键工艺及临床应用，能够准确判断技术文件的完整性与专业性；
4.具各优秀的技术文档撰写与审核能力，逻辑清晰，文字严谨，注重细节；
5.英语读写流利（CET-6或同等水平），具备AI翻译工具使用经验，能独立完成技术文档的中英互译与质控；
6.工作细致严谨，具备优秀的跨部门协调能力，能够高效推进多任务并行并确保交付质量。",技术文档 DHF CET-,https://jobs.51job.com/suzhou-gyyq/171305528.html?s=sou_sou_soulb&t=0_0&req=fc82e738e985d14da8fe10ddebf54b28
