job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
AI算法工程师,苏州华誉智能科技,1-2万,苏州·相城区,苏州,本科,3年及以上,2026-07-02 16:12:03,job51,"岗位职责
●针对业务场景（如视觉检测、语义理解、多模态生成、智能推荐等）进行算法选型、模型设计与性能优化。
●负责大语言模型在业务场景中的落地应用，包括智能体开发、知识库构建、检索增强生成等技术方向
●使用 PyTorch / TensorFlow 等框架完成模型训练、调参、验证及迭代，解决过拟合、长尾分布等实际问题。
●将算法模型进行推理优化（量化、剪枝、蒸馏等），并部署到云端、边缘端或移动端设备。
●编写核心算法模块的工程技术文档，沉淀可复用的算法库与工具链。
●跟踪国际***会议/期刊（CVPR、ICCV、NeurIPS、ACL、KDD等）最新进展，将前沿成果转化为落地生产力。
●与产品、工程、数据团队协作，将算法能力集成到产品中，保证端到端效果与业务指标达成。
技术能力
●编程基础：&nbsp;精通 Python，有规范的项目结构与面向对象设计能力；熟悉 C++ 优先，能够进行推理代码优化。
●框架应用：&nbsp;熟练掌握 PyTorch 或 TensorFlow 之一，熟悉常用库如 NumPy、OpenCV、Transformers、DeepSpeed 等。
●数学与算法基础：&nbsp;扎实的线性代数、概率统计、最优化理论功底，能够理解论文中的公式推导并复现核心算法。
●模型能力：&nbsp;深刻理解 CNN/RNN/Transformer、GAN、扩散模型、自监督学习等架构；在至少一个细分方向（CV/NLP/Speech/推荐/强化学习）有深入实践。
●工程化能力：&nbsp;熟悉 Linux 开发环境、Docker、Git，了解模型部署框架（如 ONNX、TensorRT、OpenVINO、Triton Server）或端侧部署流程。
●数据能力：&nbsp;熟练使用 SQL、Pandas 等工具进行大规模数据处理，有 Spark/Ray 等分布式数据处理经验优先。
●文档与沟通：&nbsp;具备良好的技术文档撰写习惯，能够清晰展示算法方案与实验结果。",多模态 PyTorch TensorFlow IPS Python C++ OpenCV Transformer GAN Linux Docker Git ONNX SQL Spark 分布式 知识库 技术文档,https://jobs.51job.com/suzhou-xcq/172774102.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
AI工程师,苏州市盈田商业管理,9千-1.1万,苏州·吴中区,苏州,本科,2年及以上,2026-07-13 14:06:23,job51,"岗位职责：
1. 负责利用 AI 编程工具（如 Cursor、GitHub Copilot 等）开展公司内部数字化产品、管理工具及自动化脚本的设计、开发、测试与部署工作，能够独立完成小型软件项目的全流程交付。
2. 负责 AI 工作流的设计、搭建与落地，结合 AI 工具完成多源数据的采集、清洗、分析与处理，持续提升数据应用效率与业务支撑能力。
3. 负责数字化产品的技术支持与持续优化，收集并分析用户反馈，快速定位和解决系统问题，协助开展系统培训，推动产品迭代升级。
4. 配合业务部门完成技术方案设计、评审与实施，负责相关软件系统的部署、初始化、交付及硬件安装过程中的技术对接工作。
5. 负责办公网络、域控、文件共享等基础 IT 系统的日常管理与维护，保障公司核心业务系统稳定、安全、高效运行。
任职资格：
1. 本科及以上学历，计算机科学与技术、软件工程、人工智能、信息工程等相关专业优先。
2. 熟悉 AI 编程范式，能够熟练使用至少一种主流 AI 编程工具（如 Cursor、GitHub Copilot、通义灵码等）进行高效的人机协作开发，具备独立完成软件应用设计与开发的能力。
3. 熟练掌握 Python、Java、Go 等至少一门编程语言，具备良好的工程化开发能力与代码规范意识。
4. 熟悉 MySQL、PostgreSQL 等关系型数据库。
5. 熟悉 Git 版本管理、Docker 容器化部署及 Linux 基本操作，具备基础的软件部署、运维和问题排查能力。
6. 具备较强的逻辑思维能力、问题分析与拆解能力、学习能力及沟通协作能力，能够将复杂业务需求转化为清晰可执行的技术方案。
7. 工作认真踏实，责任心强，具备良好的服务意识与团队合作精神。
加分项
1. 熟悉大模型（LLM）应用开发，有 LangChain、LlamaIndex 等相关框架实战经验者优先。
2. 具备数据爬取、自动化流程搭建、推荐算法或智能应用落地经验者优先。
3. 有企业内部信息化、数字化系统建设或城市级 IT 项目实施经验者优先。",Git Python Java Go MySQL PostgreSQL Docker 容器化 Linux 大模型 LLM LangChain 技术支持 培训 产品迭代 技术方案 版本管理,https://jobs.51job.com/suzhou-wzq/172887114.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
图像算法工程师(J10225),苏州威达智科技,1.5-2.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-08 17:47:54,job51,"工作职责:
1. 负责工业视觉检测算法的开发
2. 使用Halcon进行算法设计与实现
3. 参与深度学习模型的训练与部署
任职资格:
1. 本科及以上学历，3年以上相关经验
2. 精通Halcon，有项目经验
3. 熟悉C++或C#",深度学习 C++ C#,https://jobs.51job.com/suzhou-gyyq/173200588.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
生物信息分析工程师,苏州金唯智生物科技,1.3-2.3万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-07 16:29:05,job51,"岗位价值：
 作为研发实验室核心成员，您将参与高通量数据分析处理和科研项目交付，以高质量结果支持全球生命科学客户的创新研究。

主要职责：
1. 负责运用统计学方法、各类生物信息软件和现有流程，对高通量测序产生的数据进行分析。
2. 负责二代、三代高通量测序数据分析流程开发。
3. 负责其他项目相关生物信息数据的采集、整理、挖掘和利用。
4. 负责生物信息学分析流程的文档整理。

任职要求：
必备：
1. 具有生物信息学、分子生物学、计算机或数理学相关专业硕士及以上学历。2年以上相关工作经验。
2. 具有较好的编程能力，熟悉Perl/C++/MATLAB/R/Python中的一种或一种以上。
3. 熟悉Linux操作系统，具有高通量测序数据项目分析经验。
4. 能熟练阅读专业文献，自主查阅相关文献，具有较强的分析解决问题的能力。
5. 自我驱动型，沟通、学习能力强，有良好的团队合作精神。

优先：
1. 有三代Pacbio或ONT测序平台数据分析经验者优先。
2. 熟悉常用生物信息数据库，如UCSC、SwissProt、KEGG、NCBI、EBI，了解生物统计学相关知识者优先。

职业发展机会：
 我们提供技术专家和团队管理双通道职业发展路径。您可通过岗位培训、项目实践和跨团队协作，逐步成长为高级技术人员、实验室主管或专业技术专家。",Perl C++ MATLAB Python Linux 数据分析 团队管理 培训,https://jobs.51job.com/suzhou-gyyq/173194228.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
培训专员,博众精工科技,1-1.5万·13薪,苏州,苏州,本科,3年及以上,2026-08-07 09:24:42,job51,"岗位职责：

1. 培训体系搭建与运营
结合事业部战略及集团企业大学的整体培训框架，搭建覆盖新员工、在职技术骨干及管理梯队的分层培训体系。制定年度、月度培训计划，确保事业部的培训工作与集团整体人才培养方向保持一致，同时体现事业部的业务特色与专业深度。

2. 技术知识萃取与课程开发
与研发、工程专家协作，进行经典案例萃取并在内部分享推行，推动建立事业部的技术案例库与故障排查SOP知识库，将专家经验显性化。积极对接集团企业大学的课程资源平台，将事业部优质课程输出至集团共享，同时引入集团已有的通用类、管理类课程资源作为补充。

3. 培训资源开发与拓展
负责内训师队伍的选拔、培养与激励，推动工程师“上讲台”，并推荐优秀内训师参与集团企业大学的内训师认证与进阶培养项目。管理培训预算与供应商资源，引入外部优质技术课程作为补充；借助集团企业大学的供应商库与采购平台，提升资源获取效率与成本效益。

4. 培训效果评估与跟踪
建立培训效果评估模型，通过实操考核、业务主管反馈等多维度数据，验证培训的有效性并持续迭代。配合集团企业大学完成培训数据的汇总与上报，参与集团层面的培训质量对标与经验交流。

5. 人才发展支撑
配合人才盘点工作，针对高潜人才及关键岗位（技术骨干、储备干部）设计专项培养计划及晋升考核方案。联动集团企业大学的高潜人才培养项目（如领导力发展项目、继任者计划等），为事业部关键人才争取集团层面的培养资源与发展机会。

6. 闭环管理与集团协同
建立培训评估与反馈机制，定期输出培训对人才梯队建设的支撑报告。作为事业部与集团企业大学的对接窗口，负责集团各项培训政策、标准与项目在事业部的落地执行；定期向集团企业大学反馈事业部的培训需求与成效，参与集团培训体系的持续优化。

任职资格：

本科及以上学历，理工科（机械、自动化、电子、光学等）或人力资源管理、教育类专业优先。

具备3年以上培训相关工作经验，有半导体设备、光通信或3C自动化行业培训经验者优先，有从0到1搭建技术培训体系经验者优先；具有集团化企业培训体系下与总部/企业大学协同工作经验者优先。

具有较强的逻辑思维，能快速理解半导体封装流程（如Die Bond、Wire Bond）或光模块耦合工艺等业务场景的基本逻辑。

擅长将专业技术语言（如精度参数、软件算法）转化为一线人员易吸收的培训材料，具备优秀的PPT制作与授课技巧。

热爱培训工作，具备良好的跨部门沟通与协调能力，能够在事业部与集团总部之间起到有效的桥梁作用。",培训 故障排查 知识库 采购 Bond Wire,https://jobs.51job.com/suzhou/173184932.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
VLA算法工程师,苏州镁伽科技,3-5万·16薪,苏州·苏州工业园区,苏州,硕士,1年及以上,2026-08-07 16:07:03,job51,"工作职责:
具身大脑的研发工作
任职资格:
1、计算机、人工智能、自动化等相关专业硕士以上学历，985院校优先；
2、具备扎实的深度学习基础，熟悉 Transformer/BERT/VIT/CLIP/BLIP等主流视觉语言模型框架；
3、有大模型（VLM/LLM）训练推理优化的经验，熟悉其在多模态任务中的应用；
4、有VLA建模、生成式扩散模型例如（diffsuion、flowmaching）、多模态强化学习相关的技术背景；
5、熟练使用TensorFlow、PyTorch等深度学习框架，具备良好的工程能力与代码实现的能力；
6、具有良好的沟通能力与团队协作的能力，具备解决问题与接触新知识快速学习的能力；
7、熟悉开源大模型，例如PI0、RT2、GROOT N1、OpenVLA等，并有实际的使用经验与优化重构的能力；
8、熟悉具身智能领域常用的数据集；",深度学习 Transformer BERT CLIP 大模型 LLM 多模态 TensorFlow PyTorch,https://jobs.51job.com/suzhou-gyyq/173193654.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
感知算法开发工程师,腾飞科技,1-1.5万,昆山,苏州,本科,无需经验,2026-06-15 16:53:06,job51,"1. 信号预处理：负责从原始ADC采样数据中清洗噪声，处理基线漂移，提取时域/频域特征。
2. 动作识别模型开发：基于身体压力分布数据，构建机器学习/深度学习模型，实现对人体动作、接触状态和生理状态的分类与预测。
3. 算法验证与优化：在真实数据集上进行模型训练、交叉验证，不断优化模型的准确率。
4. 端侧部署支持：配合嵌入式工程师，将训练好的模型进行轻量化。
5. 数据闭环：参与制定数据采集标准，持续迭代算法性能。

学历背景：本科及以上学历，计算机、自动化、应用数学、生物医学工程等相关专业。
编程基础：熟练掌握 Python和科学计算库。
算法框架：熟悉 PyTorch 或 TensorFlow，有实际的分类/回归模型开发经验。
信号处理经验：熟悉常见的分类算法，有处理时间序列数据或传感器信号的经验。
具备良好的逻辑思维，能沉下心处理枯燥的数据清洗工作，具备良好的团队协作能力。
有智能服装、柔性传感、TWS耳机、智能手表等可穿戴项目经验者优先。
熟悉心率（PPG）、心电（ECG）、肌电（EMG）等生物信号采集电路的设计与噪声抑制者优先。
有柔性传感器、压力分布矩阵、足底压力或智能鞋垫相关的算法经验者优先。了解 TinyML，有将模型部署到MCU端的实战经验者优先。",机器学习 深度学习 Python PyTorch TensorFlow MCU 数据采集,https://jobs.51job.com/kunshan/172562956.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
AI架构工程师,江苏益展研创智能科技,1.1-1.5万,苏州·姑苏区,苏州,本科,3年及以上,2026-07-13 16:18:21,job51,"职位详情
1、能够提出并实施应用端到端的解决方案，对模型的可维护性、性能和可扩展性有良好把握。
2、对常见数据结构和算法有深刻理解，能为业务需求提供高质量的工程实现。
3、具备良好的沟通协作能力和团队精神，乐于同业务和产品团队探讨需求、与算法研究员讨论前沿技术。
4、有一定的文档撰写能力，能沉淀技术经验与实践。
任职要求
1、对AI领域的新技术保持敏锐，积极学习最新大模型技术发展及公开研究成果。
乐于探索新思路，并将创新思考转化为产品价值。
2、熟悉主流大模型(GPT、BERT、LLaMa、GLM等）及其相关生态等。具备NLP、机器学习/深度学习的理论与实践经验，能灵活应用Fine-tuning、Prompt Engineering、MCP等技术
3、有大模型训练量化、MoE等前沿优化技术的实战经验。",大模型 GPT BERT 机器学习 深度学习 Prompt Gin,https://jobs.51job.com/suzhou-gsq/172891230.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
AI应用开发工程师(J10844),华硕科技（苏州）,1.5-2.5万,苏州·虎丘区,苏州,硕士,3-5年,2026-07-24 15:19:41,job51,"工作职责:
1. AI业务领域模型构建与优化；
2. AI技术能力落地, 独立完成基于AI模型的应用设计与研发工作；
3. 用AI技术赋能业务，基于AI模型在新业务上做应用的探索；
4. 持续优化和迭代系统功能，确保系统高效运行；
5. 沉淀技术能力和行业经验，与平台和业务一起成长和发展。

任职资格:
1.硕士及以上学历，熟悉linux开发环境，精通python。
2.自然语言处理、文本挖掘、机器学习、人工智能、搜索等相关专业或者在该领域有相关经验，能快速落地到业务场景。
3.熟悉常见NLP库如NLTK, SpaCy, Gensim，并且对TensorFlow, PyTorch等深度学习框架有良好理解。
4.有大模型微调经验优先。",Linux Python 自然语言处理 机器学习 TensorFlow PyTorch 深度学习 大模型,https://jobs.51job.com/suzhou-hq/173033558.html?s=sou_sou_soulb&t=0_0&req=f19c14d59f8bba8efab61b23f3502c0e
