job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
erp实施工程师,广州深晓科技,1.3-1.6万,苏州·苏州工业园区,苏州,本科,1年及以上,2026-08-09 17:49:39,job51,"【工作内容】
1、负责ERP系统的需求调研、方案设计及客户现场实施部署，确保项目按时交付；
2、主导系统参数配置、基础数据导入及业务流程梳理，解决实施过程中的技术难题；
3、编写操作手册与培训课件，组织用户培训并指导客户完成系统上线后的日常运维；
4、收集并分析客户反馈的业务问题，协调研发部门进行功能优化或二次开发支持。

【任职要求】
1、本科及以上学历，计算机、信息管理或相关专业，具备ERP实施或项目管理经验；
2、熟悉主流ERP系统架构，掌握SQL数据库操作，能独立进行数据查询与简单脚本编写；
3、具备良好的沟通协调能力与文档撰写能力，能适应短期出差及项目驻场工作；
4、拥有较强的逻辑思维与问题解决能力，抗压能力强，对提升企业数字化效率有热情。",SQL 方案设计 培训 项目管理,https://jobs.51job.com/suzhou-gyyq/173202337.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
数字化IT工程师,上海泓衣商贸,8千-1.2万·13薪,昆山,苏州,本科,3年及以上,2026-06-26 13:54:09,job51,"【工作内容】
- 负责公司IT基础设施维护与管理，包括服务器、网络设备及存储系统的日常巡检、故障排查与性能优化；
- 参与企业级应用系统部署、配置及版本更新，保障业务系统稳定运行；
- 协助开发团队进行技术方案实施，完成代码调试、测试环境搭建及相关技术支持；
- 编写技术文档，记录系统操作流程及故障处理案例，提升团队协作效率；
- 配合安全团队开展网络安全防护措施，定期检查漏洞并提出改进建议；
- 根据业务需求参与新项目规划（如：数字化打通），协助设计信息化解决方案。
- 负责钉钉后台管理、企业邮箱管理、信息备份等工作。
【任职要求】
- 计算机科学、信息技术或相关专业本科及以上学历；
-3年以上大型制造业IT工程师工作经验；
- 熟悉Windows/Linux操作系统基础命令及常用工具，掌握TCP/IP协议栈原理；
- 具备基本编程能力（如Python/Shell脚本），能独立编写自动化运维脚本者优先；
- 具备云计算平台（AWS/Azure）实操经验者加分；
- 学习能力强，逻辑思维清晰，能快速理解复杂技术问题并提出有效解决方案；
- 工作细致严谨，责任心强，适应阶段性加班及突发性故障响应需求。",Linux TCP/IP Python Shell AWS Azure 故障排查 技术方案 技术支持 技术文档,https://jobs.51job.com/kunshan/171308020.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
数字化程序开发工程师,凯乐金霸智能工业科技（苏州）,1.3-1.6万·13薪,太仓,苏州,本科,2-3年,2026-07-13 13:23:13,job51,"Responsibilities 岗位职责
1.	Design, develop and lead implementation of digital transformation solutions for the end-to-end customer demand forecasting process. Establish and maintain demand forecasting analysis framework based on historical data and customer-provided forecasts to continuously improve the end-to-end response efficiency of the supply chain.
设计、搭建并主导落地面向端到端客户需求预测流程的数字化转型方案。依托历史数据及客户提供的预测数据，搭建并持续维护需求预测分析体系，不断提升供应链端到端响应效率。
2.	Design and build complete data verification logic and quantitative evaluation tools for customer forecasts, systematically verify the accuracy and reliability of customer demand forecast data, and establish industry-specific demand fluctuation early warning mechanisms to avoid customer production line shutdowns caused by stockouts.
设计搭建完整的客户预测数据校验逻辑与量化评估工具，系统化核验客户需求预测数据的准确度与可信度，建立行业特有的需求波动预警机制，防止因缺货导致客户停线。
3.	Dynamically iterate and optimize the underlying logic of forecasting models in combination with seasonal business fluctuations and the procurement cycle characteristics of various customers to steadily improve the accuracy of demand forecasting. Conduct in-depth research on inventory buffer logic under VMI (Vendor Managed Inventory) and JIT (Just-in-Time) modes to provide reliable data support for subsequent material planning and stocking arrangements.
结合业务季节波动、各类客户采购周期特点，动态迭代优化预测模型底层逻辑，稳步提高需求预测准确率；深入研究VMI（供应商管理库存）及JIT（准时制）模式下的库存缓冲逻辑，为后续物料计划、备货规划提供可靠数据支撑。
4.	Leverage MRP-generated data to support supply chain planning, material planning, and inventory management activities. Collaborate with headquarters and cross-functional teams to optimize MRP planning logic and improve planning accuracy. Develop inventory strategies based on domestic and international procurement lead times, supplier delivery performance, and demand patterns. Maintain optimal safety stock levels for critical SKUs to balance inventory turnover, service levels, and production continuity while minimizing stockout risks and enhancing overall supply chain responsiveness.
依托物料需求计划（MRP）生成的数据，支撑供应链计划、物料计划及库存管理相关工作。协同总部及跨职能团队优化 MRP 计划逻辑，提升计划精准度。结合国内外采购前置周期、供应商交付表现以及需求特征制定库存策略。为关键物料 SKU 设置合理的安全库存水平，平衡库存周转、订单服务水平与生产连续性，***限度降低缺货风险，全面提升供应链响应能。
5.	Monitor and continuously optimize inventory health across all product categories by balancing service levels, inventory turnover, working capital requirements, and stock availability. Identify excess inventory, slow-moving materials, and potential stockout risks, and develop corrective actions in collaboration with Supply Chain Planning and Procurement teams.
持续监控并优化全品类库存健康状况，统筹平衡服务水平、库存周转率、营运资金占用与物料保障能力。识别过剩库存、呆滞物料及潜在缺货风险，协同供应链计划与采购团队制定改善举措。
6.	Establish and maintain management reporting for inventory performance, including inventory value, stock development, inventory turnover, coverage days, slow-moving inventory, excess stock, service level, and stockout risks. Provide regular recommendations to management to support inventory optimization and working capital improvement initiatives.
搭建并维护库存绩效管理层报表体系，涵盖库存金额、库存变动趋势、库存周转率、库存周转天数、呆滞库存、过剩库存、服务水平、缺货风险等指标。定期向管理层输出改善建议，支撑库存优化与营运资金改善项目推进。
7.	Define and manage data governance rules related to customer agreements and operational performance requirements. Integrate contractual delivery obligations and demand fluctuation parameters into demand forecast validation processes, and continuously optimize forecasting model validation criteria to improve forecast accuracy and reliability.
制定并管理与客户协议、运营绩效要求相关的数据治理规则。将合同交付义务及需求波动参数纳入需求预测校验流程，并持续优化预测模型校验标准，提升需求预测的准确度与可靠性。

8.	Establish an automated report system covering multi-dimensional core operating indicators for various supply chain business scenarios, replacing manual statistical work and reducing repetitive inefficient labor.
针对供应链各业务场景搭建自动化报表体系，覆盖多维度核心经营指标，替代人工手工统计，减少重复低效工作。
9.	Build real-time supply chain data visualization dashboards with Power BI, configure dynamic monitoring indicators according to business requirements, provide unified and intuitive data decision-making basis for management, and realize visualized management and control of the full supply chain.
使用 Power BI 搭建供应链实时数据可视化看板，按业务需求配置动态监控指标，为管理层提供统一直观的数据决策依据，实现供应链全链路数据可视化管控。
10.	Cooperate with the internal IT team to complete demand research and system configuration of intelligent approval processes on DingTalk / WeCom, convert business approval rules into implementable system workflows, and advance EDI (Electronic Data Interchange) data docking with key customers.
协同内部 IT 团队完成钉钉/企业微信智能审批流程需求调研与系统配置，将业务审批规则转化为可落地的系统流程；推进 EDI（电子数据交换）与重点客户的数据对接。
11.	Research, evaluate, and implement AI-driven and data-centric solutions to support the company's supply chain digital transformation initiatives. Identify cross-functional process bottlenecks and digitalization opportunities, develop practical digital use cases, and drive the transition from manual workflows to automated, data-driven, and collaborative business processes.
研究、评估并落地以人工智能驱动、以数据为核心的解决方案，支撑公司供应链数字化转型项目。识别跨职能流程瓶颈与数字化机会，搭建可落地的数字化应用场景，推动人工工作流程向自动化、数据驱动、协同化业务流程转型。
12.	Follow up and complete other work assigned by superior
跟进并完成上级交付的其他工作
Qualifications 职位要求
1.	Bachelor’s degree or above, major in Computer Science, Data Science, Supply Chain Engineering, Industrial Engineering or other related engineering disciplines. 
本科或以上学历，计算机科学、数据科学、供应链工程、工业工程等相关工程类专业背景。
2.	Minimum 2–3 years of working experience related to supply chain processes, including but not limited to supply chain digital tool development, supply chain data modeling analysis, supply chain planning process optimization and other relevant fields. 
 2-3 年及以上的供应链流程相关工作经验，包括但不限于供应链数字化工具开发、供应链数据建模分析、供应链计划流程优化等相关工作领域。
3.	Proficient in Power BI; expert in advanced data modeling and DAX functions, capable of independently developing multi-dimensional business reports, completing multi-data source docking (e.g. SAP HANA, SQL database), and building full-process reports and visualization dashboards.
熟练使用 Power BI，精通高级数据建模、DAX 函数、多维度业务报表开发，可独立完成多数据源对接（如SAP HANA、SQL 数据库）、报表及可视化看板全流程搭建。 
4.	Skilled in the full suite of Office software; have an in-depth understanding of core modules of SAP system (especially MM, SD or PP modules), master professional supply chain knowledge such as demand forecasting and MRP operation, and be able to implement digital solutions based on business scenarios.
熟练操作 Office 全套办公软件；深入理解 SAP 系统（特别是MM、SD或PP模块）核心模块逻辑，掌握需求预测、MRP 运算等供应链专业知识，可结合业务场景落地数字化解决方案。
5.	Candidates with supply chain digital experience in auto parts (compliant with IATF16949 system) or rail transit industry, or working experience in well-known C-parts management/fastener trading companies are preferred.
有汽车件（符合IATF16949体系）或轨道交通行业供应链数字化经验者，有知名C类物料管理/紧固件贸易公司经验者优先录用。
6.	Fluent oral and written English, able to use English as daily working language (for daily emails in German enterprises, cross-border team collaboration and reading &amp; writing technical documents).
英语听说读写流利，可作为日常工作语言（用于德企日常邮件、跨国团队协作、读写技术文档）。
7.	Clear logical thinking, systematic problem decomposition and analysis capabilities; excellent cross-department communication and coordination skills; self-motivated working attitude and strong pressure resistance.
逻辑清晰，具备系统化问题拆解与分析能力；优秀跨部门沟通协作能力；工作主动自驱，抗压能力强。",Git RAG UART ROS Go Electron Gin SQL CAN 供应链 采购 数据治理 流程优化 技术文档,https://jobs.51job.com/taicang/172884878.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
精益工程师（数字化）,泰科电子（苏州）,2.2-2.8万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-03 09:34:16,job51,"职位职责
数字化项目管理与MES系统实施
作为项目经理，主导工厂数字化解决方案的实施，重点负责MES（制造执行系统）项目落地。
主要负责MPDV Hydra相关解决方案的实施与系统设计，包括追溯系统（Traceability System）等数字化系统建设。
负责项目进度、预算及质量管理，识别项目风险并制定相应的风险缓解方案。
协调内部及外部资源，确保项目需求按计划完成。
及时升级和反馈项目问题，确保项目利益相关方及团队成员的信息透明和沟通顺畅。
生产现场数字化窗口负责人
作为工厂生产现场数字化接口人（Digital Contact Window）。
具备基础编程知识，能够设计数字化项目架构并审核网络拓扑结构。
熟悉MPDV Hydra产品，具备相关部署实施经验。
具备优秀的跨部门沟通与协调能力，能够推动各职能团队达成共识。
具备卓越的项目管理和风险管理能力。
作为工厂数字化系统关键用户（Key User），全面负责系统升级、维护及技术支持工作。
数字化机会识别与业务赋能
识别企业数字化改进机会，通过数字化技术提升企业竞争力。
基于数据分析发现业务改善空间，并匹配合适的数字化解决方案以提升运营效率。
与各职能部门紧密合作，开展数字化项目试点（Pilot），验证方案可行性及业务价值。
精益运营与持续改善
熟悉精益运营体系（Lean Operation System），推动质量、准时交付及成本管理目标达成。
具备精益改善项目经验，能够独立推动项目从规划到落地的全过程管理。
具备成本分析经验，并掌握相关非财务管理知识。",Git 项目管理 风险管理 技术支持 数据分析 Traceability Contact Window,http://te.51job.com/show_job_detail.html?jobid=173123824
IT技术支持,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,大专,1年及以上,2026-08-09 18:19:32,job51,"【工作内容】
1、负责办公网络、终端设备及软硬件故障的排查与修复，保障日常业务系统稳定运行；
2、响应并处理员工提出的 IT 服务请求，提供远程或现场技术支持，确保问题高效闭环；
3、负责公司服务器、打印机及会议设备的定期巡检与维护，优化系统性能与安全策略；
4、协助搭建新员工入职环境，管理账号权限，配合完成数据备份及信息安全合规工作；
5、编写常见问题操作手册，开展内部 IT 培训，提升全员数字化办公技能与安全意识。

【任职要求】
1、计算机、通信工程或相关专业大专及以上学历，具备扎实的计算机网络基础理论；
2、熟悉 Windows/Linux 操作系统及主流办公软件，掌握常见硬件设备维护与调试技能；
3、拥有 1 年以上企业 IT 运维经验，具备独立解决网络故障及系统部署问题的能力；
4、具备良好的服务意识与沟通协调能力，工作严谨细致，能适应突发状况下的应急处理；
5、持有相关技术认证者优先，认同公司文化，具有强烈的责任心和团队协作精神。",Linux 技术支持 安全合规 培训 IT Windows,https://jobs.51job.com/suzhou-gsq/173202424.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
IT 数字化专员,苏州徕卡节能电气技术,8千-1.3万,苏州,苏州,大专,1年及以上,2026-06-24 15:54:01,job51,"岗位职责：
1、全权负责公司飞书后台搭建、流程配置、多维表格自动化，实现周报协助事项自动分派、任务跟踪；
2、落地简道云代码平台，搭建业务表单、数据看板，打通飞书消息联动；
3、梳理各部门数字化需求，输出分阶段落地计划，组织培训、沉淀操作文档；
4、每周落地追踪，主动优化协同流程，解决全员系统使用问题；
5、基础办公 IT 设备运维支持；
6、上级主管交办的其他工作；

任职要求：
1、大专以上学历，1 年以上独立飞书管理员实操经验，精通多维表格、自动化、审批流搭建；
2、做过「业务周报协同事项自动分配负责人」同类自动化场景优先；
3、有简道云搭建经验，或快速学习能力强，具备系统化落地思维；
4、优秀的跨部门沟通能力，能听懂业务需求并转化为数字化方案，可独立组织员工培训，解答解决各岗位系统使用问题；
5、主动推进、逻辑清晰，能输出阶段性落地方案，沟通对接各部门。",培训 IT,https://jobs.51job.com/suzhou/172674364.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
数字化推进专员,康普（苏州）食品,6千-1万,苏州·吴江区,苏州,本科,3年及以上,2026-06-23 13:12:59,job51,"岗位职责
1.负责部门硬件、网络及数据相关工作的统筹管理；
2.推进MES、WMS等系统落地实施，协调现场资源，提升生产效率；
3.组织数字化推进与实施工作，建立反馈渠道，收集用户使用反馈；
4.跟踪数字化项目进度，评估资源利用效率，提出优化建议。

任职要求：
1.熟悉网络、广域网、网络安全等知识，具备一定的网络运维经验；
2.熟悉物联网、大数据基础知识，掌握系统集成知识，了解PLC/工控机/数据采集/服务器硬件；
3.持有《智能化系统工程师》证书者优先。
责任心、成长思维、专业主导、敏锐度、使命感、举一反三、善规划、技术好心态、变革意识",数据采集,https://jobs.51job.com/suzhou-wjq/172651213.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
数字化专员_运营/制造（太仓）,舍弗勒（中国）,1.5-2.5万·14薪,太仓,苏州,本科,5-7年,2026-07-16 14:58:43,job51,"Job Purpose


负责推动生产环境的数字化转型：通过IT需求管理识别并优先级排序数字化需求，构建能力网络以评估方案潜力并促进运营创新，推动数字化战略相关项目与治理机制落地，确保与业务目标一致并产生可规模化的运营价值。

Lead and accelerate the digital transformation of the production environment 
by translating operational needs into prioritized digital demands, building 
competency networks to unlock innovation, and driving programs/governance to 
implement the digitalization strategy in alignment with business objectives and 
scalable operational value.

Your Key Responsibilities

 * 
牵头运营数字化IT需求管理，识别、评估并优先级排序数字化解决方案需求，明确业务价值、实施可行性与资源诉求。
Lead IT demand management for operations digitalization by identifying, 
evaluating, and prioritizing requirements for digital solutions with clear 
business value and feasibility.

 * 
建设并维护数字化能力网络/专家社区，评估数字化方案潜力，促进跨工厂、跨部门的知识共享与运营创新。
Build and maintain competency networks/communities to assess solution 
potential, enable knowledge sharing, and support innovation across plants and 
functions.

 * 
推动数字化战略项目群与治理机制落地，搭建并运行相关组织结构与流程，确保与业务目标、标准及变更管理要求对齐。
Drive programs and governance structures to implement the digitalization 
strategy effectively and ensure alignment with business objectives, standards, 
and change management.

 * 
负责项目与子项目管理，管理范围、进度、成本/绩效指标（KPI）、风险与干系人，确保按约定交付。
Manage projects and sub-projects end-to-end, ensuring delivery against agreed 
scope, timelines, KPIs, and risk mitigation.

 * 
制定并应用工厂级数字化方法论，与相关事业部/职能协作建立、整合并持续更新数字化路线图（Digital Roadmap）。
Develop and apply methodologies for plant-level digitalization strategies, 
including creating and consolidating digital roadmaps with relevant divisions.

 * 
识别并解决数字化与运营融合中的关键挑战，作为数字化推进与生产之间的桥梁/协调者，确保方案顺利集成与落地。
Identify and address digitalization and operations challenges, acting as a 
mediator to ensure smooth integration and adoption in production.

 * 

设计并推动培训与资质提升体系；开展IT软件接受度、部署与使用效果的对标与分析，持续改进应用价值；与中央IT、运营IT产品线及全球关键干系人紧密协作，保障转型成功。
Develop training and qualification concepts, benchmark adoption/usage of IT 
software, drive continuous improvement, and collaborate closely with central IT 
and key stakeholders across regions and plants.

Your Qualifications

必备条件（Essential）

 * 本科及以上学历，工商管理、工程类、工业工程、数字化转型、信息系统等相关专业。
Bachelor’s degree or above in Business Management, Engineering, Industrial 
Engineering, Digital Transformation, Information Systems, or related fields.
 * 3年以上制造业/物流/供应链相关经验；具备精益/持续改善相关经验者优先。
3+ years of experience in manufacturing, logistics, or supply chain; 
Lean/continuous improvement exposure preferred.
 * 有数字化和/或AI相关解决方案推广落地经验，能够以业务价值为导向推动上线、应用与迭代。
Demonstrated experience in rolling out digital and/or AI-related solutions
 with strong business engagement and measurable impact.
 * 能将成功试点/***实践标准化并在多工厂/多区域复制推广（规模化能力）。
Proven capability to leverage pilots/best practices and scale globally across 
sites.
 * 优秀的干系人管理与沟通协调能力，能够有效连接数字化/IT团队与业务用户并推动共识与决策落地。
Strong stakeholder management and communication skills to bridge digital teams 
and business users.
 * 具备社区/网络建设经验（知识共享、协同机制、能力沉淀等）。
Experience in building communities or networks for knowledge sharing and 
collaboration.
 * 理解数字化转型流程与AI技术对业务的影响（价值评估、流程变更、落地采用等）。
Solid understanding of digital transformation processes and business impact of 
AI technologies.
加分项（Preferred）

 * 熟悉敏捷方法（Scrum/Kanban等）及相关数字化工具/平台。
Knowledge of agile methodologies (Scrum/Kanban) and digital tools is an 
advantage.
 * 有全球化矩阵组织、多工厂协作与跨文化沟通经验。
Experience working in global/matrix, multi-plant environments.",Git Go Scala ROS Gin RAG 项目管理 培训 供应链,https://schaeffler.51job.com/jobdetail.html?jobid=171591554
数字化专家,苏州鼎坤企业管理咨询,3.5-4.5万·15薪,苏州,苏州,本科,5年及以上,2026-07-16 16:33:07,job51,"Job Title:Lean Digital Senior Engineer
Location:Suzhou
Reports To:Business Excellence Manager
SECTION 1:JOB SUMMARY*
The primary purpose of this role is to lead and support the digital transformation of 
operation.This role will be instrumental in simplifying and leaning processes ,enhancing 
digital capabilities,embedding digital tools and systems into the daily work of production 
team and fostering a culture of continuous improvement
Also ,this position will play a critical role in supporting the deployment and integration of 
large-scale enterprise systems such as SAP S/4HANA and MES ,ensuring that digital 
initiatives align with overall business objectives.
SECTION 2:DUTIES &amp;RESPONSIBILITIES*
80 Digital Transformation Strategy 
o Develop a strategy road map for digital transformation aligned with business 
objectives. 
o Identify opportunities to digitalize current processes and improve 
operational efficiency. 
o Drive the implementation and continuous improvement of Lean Digital 
initiatives within production processes.
80 Process Simplification &amp;Lean Integration 
o Partner with operation teams to analyze workflows and eliminate waste 
through Lean methodologies. 
o Design and deploy digital solutions that streamline operations to enhance 
production efficiency and data transparency.
80 Technology Implementation &amp;Support 
o Assist with the deployment ,configuration ,and optimization of enterprise 
systems like SAP S/4HANA and MES ,ensuring seamless integration with 
production workflows. 
o Provide training and support to ensure successful adoption and sustained 
usage of digital systems.
80 Data &amp;Analytics
o Collect ,organize ,and analyze production data to provide real-time , 
accurate decision support for management and foster continuous 
improvement. 
o Enable real-time data visibility and actionable insights for operation teams.
80 Change Management &amp;Capability Building 
o Champion a digital mindset and promote a culture shift towards digital 
working methods across the team and fostering a culture of innovation. 
o Build digital capabilities within the team through coaching ,workshops ,and 
hands-on support.
SECTION 3:EXPERIENCE AND EDUCATION*",Git Gin Embedding GAN ROS Title Lean Senior,https://jobs.51job.com/suzhou/172128954.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
行政企划专员（品牌与数字化传播方向）,深圳市嘉畅美电子,7千-1万·13薪,苏州·吴中区,苏州,本科,3年及以上,2026-07-15 11:55:54,job51,"【工作内容】
辅助业务宣传与数字化运营：
1. 负责公司官网、公众号、视频号的日常运营与内容更新，统筹中日团队内容素材对接，确保品牌信息统一、准确、有时效性；
2. 负责公司官网的SEO（搜索引擎优化），包括关键词布局、TDK标签优化、内链结构梳理、内容更新策略制定，提升网站在百度/Google的有机搜索排名与自然流量；
3. 监控网站流量及用户行为数据（使用百度统计/Google Analytics等工具），定期输出SEO效果报告，根据数据反馈调整内容策略；
4. 对接企业画册、展位搭建、宣传海报等品牌物料的策划与落地执行，把控视觉呈现质量；

企业文化与内部建设：
5. 策划并组织中、日公司团建、季度聚餐等内部文化活动，促进跨国团队融合；
6. 负责季度内部报纸的采编、排版与发行，记录海内外大事记及员工风采；
7. 协同各业务部门，完成对内对外的辅助性宣传事务及行政支持工作。
【任职要求】
1. 本科及以上学历，新闻传播、广告设计、行政管理、市场营销、电子商务等相关专业优先；
2. 三年以上企宣、行政或品牌相关工作经验，有制造业/科技企业/跨国企业背景者加分；
3. 熟悉公众号排版工具（如秀米、135编辑器），了解基础设计软件（如Canva、PS、AI）的操作，能完成简单修图与排版；
4. 熟悉SEO基础知识，了解关键词挖掘工具（如5118、百度关键词规划师）、百度/Google收录排名机制，有网站内容优化实操经验者优先；
5. 文字功底扎实，能独立撰写宣传稿件、活动通知及内刊内容；
6. 性格外向，具备活动策划与组织协调能力，有团建或员工活动组织经验者优先；
7. 责任心强，具备良好的沟通能力与跨部门协作意识；
8. 有留学经历或工作背景者优先，熟悉中日商业文化差异。",Go CAN 跨部门协作 Google PS AI,https://jobs.51job.com/suzhou-wzq/172917857.html?s=sou_sou_soulb&t=0_0&req=32296ef304059c2c2a4a56e0278c7993
