job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
仓储与质检专员,苏州晓洋智能科技,4-6千,苏州·吴中区,苏州,本科,1年及以上,2026-08-08 13:19:39,job51,"岗位职责：
1. 负责原材料、零部件及成品的入库、出库、保管、盘点和台账维护，确保账物一致；
2. 按照检验标准开展来料数量、外观、规格及基础质量检查，并完成检验记录；
3. 对不合格物料进行标识、隔离和问题反馈，协助跟进处理结果；
4. 做好物料分类、标识和库存状态管理，保持仓库现场整洁有序；
5. 整理库存及质量数据，及时反馈缺料、库存异常和质量问题；
6. 生产任务集中时，经培训后参与整车装配及成品质检，协助团队完成生产计划；
7. 完成公司安排的物流、质量及生产协同工作。
任职要求：
1. 本科及以上学历，物流管理、质量管理、机械、电气等相关专业优先；
2. 熟练使用 Excel、Word 等办公软件，具备良好的数据整理、台账管理及报表制作能力；
3. 学习能力强，能够快速掌握产品、物料及相关检验标准；
4. 工作认真细致、责任心强，具备良好的质量意识和执行力；
5. 具有良好的沟通能力和团队协作意识，能够配合生产任务开展跨岗位协同；
6. 有仓库管理、来料检验、制造业生产或 ERP 系统使用经验者优先；
7. 可接受条件优秀、学习意愿强的应届毕业生。",培训 Excel Word ERP,https://jobs.51job.com/suzhou-wzq/173199202.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
仓管员,苏州速连达科技,4.5-8千,昆山,苏州,中技/中专,3年及以上,2026-08-08 09:50:11,job51,"【工作内容】
1、负责各类原材料、半成品的入库验收、清点核对及系统单据录入，确保账实相符；
2、执行库内日常作业，包括物料分类摆放、定期盘点及库存数据维护更新；
3、根据生产计划准确及时完成物料拣选、配货及出库发运，保障交付时效；
4、监控仓库温湿度环境，落实防火防盗措施，确保存储物资安全无损；
5、协同物流与采购部门处理异常订单，优化库位规划以提升仓储周转效率。

【任职要求】
1、高中或中专及以上学历，物流管理、供应链相关专业优先，接受无经验者；
2、熟悉仓库作业流程，持有叉车证者优先，具备ERP或WMS系统操作基础；熟悉鼎捷ERP优先考虑。
3、有三年以上制造业仓储工作经验，了解汽配零部件特性及包装规范；
4、工作严谨细致，责任心强，具备良好的沟通协调能力和抗压能力；
5、身体健康，无不良嗜好，服从公司统一管理安排。",采购 供应链,https://jobs.51job.com/kunshan/173198100.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
辅材管理员,昆山鸿州兴光电材料,7-8千,昆山,苏州,高中,1年及以上,2026-08-08 18:53:36,job51,"岗位职责：
1. 根据分切计划，做好采购物料订单的发送，并接收辅材物料。
2. 执行日常物料数据的核对，监督各仓库物料库存情况并及时补充物料。
3. 整理物料来料数据，制作电子档存档并录入系统。
4. 根据公司物料存储的要求，负责辅材仓库的7s管控。
5. 负责物料返回总部的货车安排及物流对接。
6. 执行月度盘点工作，建立相应台账。
7. 对应总部相关工作安排。

招聘条件：
1．18-40岁，高中以上学历
2. 专业知识：通晓相应的生产管理等知识
3. 专业能力：计划管控能力
4. 通用能力：组织协调能力、表达能力（文字和语言）、熟练使用办公软件，熟悉仓库管理的各项流程
5. 其他：有强烈的责任心，工作细致
6．有相关工作经验者优先


福利待遇：
1．食宿无忧：包吃包住，免费提供宿舍2-4人/间（配备空调、洗衣机、热水器、饮水机等）； 提供餐费补助30元/天；晚班员工额外享受（夜班津贴+夜宵补助）30元/人/班次
2．核心保障：五险一金（入职即缴）
3．出勤激励：当月全勤奖励100元
4．工作时间：22天制（五天八小时），按国家规定标准支付加班工资
5．发薪日期：每月20日发放上月工资（遇节假日顺延）
6．人文氛围：节日福利、生日福利、部门团建、绩效奖、晋升空间等


薪资按照22天2660元底薪＋岗位工资+绩效奖+食宿补助+加班费＋全勤奖+学历补助+其他＝7000-8000",采购,https://jobs.51job.com/kunshan/173200690.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
库房管理员,北京氢羿能源科技,5-6千,常熟,苏州,大专,1年及以上,2026-08-04 16:55:05,job51,"岗位职责:

1、承担物料的领出工作，核实库房所发出物料的准确性，及时送达生产车间;
2、协助生产计划，跟进欠料进度，监督追踪到料情况;
3、生产半成品、成品的入库以及产品打包，确保成品、半成品妥善储存;
4、整理ERP工单异常汇总，协助处理工单结案工作，监督车间整改措施;
5、领料单据、入库单据的存档保管;
6、配合不合格品的工单原始数据核对工作。
7、主要职责是物料库管、报销采购等，其他时间负责电气装配
8、完成领导安排的其它工作。

任职要求:
1、专科及以上学历；
2、采购电器、生产管理及仓储管理相关专业，一年以上相关工作经验;
3、掌握office办公软件使用技能、 ERP系统操作技能，机械加工制造经验；
4、拥有组织协调能力、沟通能力、人际交往能力、团队合作能力、工作效率高;",采购,https://jobs.51job.com/changshu/173149737.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
仓库数据员,燎旺车灯（苏州）,7-9千,苏州,苏州,大专,3年及以上,2026-08-04 08:58:38,job51,"一、SAP系统
1. 物料库存查询
2. 货物移动业务（仓库常用移动类型）
3. 主数据核对（仓库重点）
4. 库存盘点相关
5. 库存异常处理
二、WMS系统
1.&nbsp;入库管理：来料收货、条码打印、质检上架、批次/序列号录入、收货任务创建
2.&nbsp;出库管理：销售拣货、生产备料、波次拣选、出库复核、装车发运
3.&nbsp;库内管理：库内转移、补货、移库、冻结物料、不良品隔离
4.&nbsp;盘点作业：动态盘点、循环盘点、盘点差异上报
5.&nbsp;单据管理：收货单、拣货单、出库单、退货单打印与归档
三、SAP ↔ WMS 对接核心工作【重中之重】
1.&nbsp;双向数据同步监控
2.&nbsp;差异排查（高频工作）
3.&nbsp;异常单据处理
4.&nbsp;禁止单边手工调账
四、日常报表 &amp; 数据分析（供应链/仓储专员必备）
1.&nbsp;每日出入库汇总、库存台账
2.&nbsp;呆滞料分析、库龄报表（MC46+WMS库龄报表结合）
3.&nbsp;物料周转率、超期物料预警
4.&nbsp;盘点差异汇总、差异原因分类（操作失误、系统问题、实物损耗）
5.&nbsp;交付相关：备货准时率、入库及时率
五、了解SRM采购板块系统***
不懂SAP/WMS***",数据分析 供应链 采购 SAP WMS MC46+,https://jobs.51job.com/suzhou/173137559.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
库房管理员,爱生华（苏州）光学,4-6千·13薪,苏州,苏州,大专,5年及以上,2026-07-24 16:58:32,job51,"【工作内容】
- 负责仓库物资的接收、验收、分类、存储及发放工作；
- 维护仓库环境整洁，确保库存物品安全、有序；
- 定期盘点库存，核对账目，确保数据准确；
- 配合采购与物流部门，保障物资供应及时、准确。
【任职要求】
- 具备良好的责任心和团队合作精神；
- 有较强的学习能力和适应能力，能快速上手工作；
- 无经验亦可，但需具备基本的沟通能力和执行力；
- 有仓库管理相关经验者优先考虑。",采购,https://jobs.51job.com/suzhou/169307120.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
单证主管（仓储数据主管）,美源供应链（苏州）,8-8.5千,太仓,苏州,高中,3年及以上,2026-08-03 13:34:19,job51,"1. 统筹管理单证团队日常工作，结合SAP/WMS系统接单情况、单证模块工作计划，合理分配工作任务，监督工作进度与质量，确保单证处理高效、准确，保障业务顺畅流转。
2. 负责单证团队与运作、业务、客户等各部门的衔接协调，及时同步工作进度，解决系统与现场作业衔接中的各类问题，提升跨部门协作效率。
3. 牵头处理工作中的重大异常（含WMS/SAP系统重大故障、复杂单证问题），指导团队成员反馈、跟进异常事宜，确保各类问题闭环处理，降低业务风险。
4. 主导对外沟通对接，统筹处理客户投诉及各类突发单证相关问题，维护客户关系，提升客户满意度。
5. 严格执行公司标准SOP流程及规章制度，结合业务发展趋势，牵头优化WMS系统操作流程、单证处理流程，提出合理化改进建议并推动落地，提升团队工作效率。
6. 负责团队建设与管理，包括成员的日常培训、工作指导、绩效考核，提升团队整体专业能力和执行力，营造积极向上的团队氛围。
7. 规范团队办公用品、耗材的使用，监督各类设备、工具的操作及维护，落实日常6S管理要求，遵守公司各项规章制度。
8. 协助上级领导制定单证模块工作规划、管理制度，处理部门相关核心业务，完成上级交办的其他各项工作任务。
9. 根据业务需求，统筹安排团队事宜。

1. 学历要求：高中及以上学历，物流管理、单证相关专业优先。
2. 工作经验：3年以上单证相关工作经验，1年及以上单证团队管理经验；有仓储、物流行业单证管理经验，熟悉SAP、WMS、ERP系统操作者优先。
3. 熟练使用Excel，精通数据透视表、Vlookup等常用函数，能熟练处理各类单证数据统计与分析；具备系统流程优化、问题排查及解决能力。
4. 具备极强的执行力、责任心和统筹协调能力，积极乐观，细心严谨，工作思路清晰，具备良好的团队管理、沟通表达及应急处理能力。
5. 能接受倒班安排（如需）；有较强的原则性，能严格把控单证处理质量，具备一定的抗压能力。",跨部门协作 培训 团队管理 流程优化 WMS,https://jobs.51job.com/taicang/173128575.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
仓库管理员,昆山凯科电子机械设备,4-7千,昆山,苏州,大专,1年及以上,2026-07-17 16:04:44,job51,"【工作内容】
1、负责仪器仪表及自动化设备的入库验收、分类上架与库存盘点，确保账实相符；
2、严格执行出库复核流程，核对物料规格型号，精准完成发货单据录入与系统更新；
3、定期维护仓储环境，落实防潮、防尘等防护措施，保障精密仪器存储安全；
4、协同采购与生产部门进行物料需求计划对接，及时反馈库存预警并优化周转效率；
5、配合完成年度资产清查及物流数据报表编制，协助处理异常订单与退换货事宜。

【任职要求】
1、大专及以上学历，物流管理、机械或相关专业优先，具备1年以上仓储管理经验；
2、熟悉WMS系统操作，精通Excel表格制作，了解仪器仪表类物品存储规范；
3、持有叉车证者优先，具备良好的数字敏感度与数据分析能力，工作严谨细致；
4、责任心强，能适应制造业节奏，具备优秀的跨部门沟通协作与突发事件处理能力；
5、认同企业文化，愿意接受国内出差或海外项目支持，有工业自动化行业背景更佳。",采购 数据分析,https://jobs.51job.com/kunshan/172952959.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
仓库管理员,太仓市宝来人力资源,6-7.5千,太仓,苏州,大专,1年及以上,2026-07-06 09:22:55,job51,"【工作内容】
1、负责仓库货物的日常出入库管理，严格执行收货验收与发货复核流程；
2、定期组织库存盘点工作，确保账实相符，及时分析并处理库存差异；
3、科学规划库区布局，规范货物分类存放与标识管理，维护仓库环境整洁；
4、操作仓储管理系统（WMS）SAP录入数据，准确生成各类库存报表及出入库单据；
5、协调配合运输部门完成货物装卸调度，保障物流环节高效顺畅流转。

【任职要求】
1、大专及以上学历，物流管理、供应链管理或相关专业优先；
2、熟悉仓库作业流程及物资管理知识，具备1年以上仓储实操经验；
3、熟练操作Office办公软件及ERP/SAP系统，持有叉车证者优先；
4、具备良好的数字敏感度与责任心，能独立完成数据统计与核对工作；
5、身体健康，吃苦耐劳，适应倒班工作制，拥有良好的团队协作意识。",供应链 WMS,https://jobs.51job.com/taicang/172799493.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
仓库管理,太仓市宝来人力资源,5-7千,苏州,苏州,大专,1年及以上,2026-07-20 09:35:16,job51,"【工作内容】
1、负责仓库日常物资的入库验收、分类存储及出库发货，确保账实相符；
2、执行库存盘点计划，定期分析库存数据，及时预警并处理呆滞物料；
3、维护仓储管理系统（SAP）数据录入与更新，保证信息流转准确高效；
4、优化库区布局与作业流程，落实防火、防盗等安全管理制度及现场5S；
5、协调物流承运商安排车辆调度，对接上下游部门保障货物及时交付。

【任职要求】
1、大专及以上学历，物流管理、供应链管理或相关专业优先；
2、熟悉仓库作业流程及ERP/WMS/SAP系统操作，具备基础数据分析能力；
3、持有叉车证/优先，有同行业仓库管理经验一年以上；
4、工作严谨细致，具备良好的沟通协调能力和突发事件处理能力；
5、长白班工作制，具有较强的责任心和团队精神",供应链 数据分析 SAP WMS,https://jobs.51job.com/suzhou/172964724.html?s=sou_sou_soulb&t=0_0&req=47871ac04e40fc3cbab43d870d5f2a96
