job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据分析师,急速国际物流科技（深圳）,9千-1.4万,苏州·姑苏区,苏州,本科,2年及以上,2026-08-06 09:09:42,job51,"岗位职责:
1.负责跨境电商物流领域的数据分析工作，包括
数据采集、清洗、处理、分析及报告编写2.根据业务需求，进行算法的优化。
3.与各部门紧密合作，提供数据支持与决策建
议，帮助提升业务运营效率。
4.完成其他上级交办的任务，
任职要求:
工作经验者优先
1.本科及以上学历，理工科专业优先，具有两年
及以上工作经验，电商、物流、供应链等领域的
2.中英文阅读，能够快速阅读、理解英文文献，
CET-4及以上:
数据分析工作，具备编程能力者优先;
3.精通Excel，熟悉SQL、Python，能够独立完成
式，能够清晰表达分析结果;
4.沟通能力较好，逻辑思维清晰，结构化思维方
5.学习能力强，乐于接受新鲜事物
大小周，入职缴纳社保",SQL Python 数据分析 数据采集 供应链 CET-,https://jobs.51job.com/suzhou-gsq/173169016.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
科技数据部数据分析师,中国平安财产保险股份有限公司苏州,14-20万/年,苏州,苏州,本科,1年及以上,2026-07-13 10:36:24,job51,"岗位职责：
1. 对接公司各中心真实业务需求，依托平安内部数据平台及AI工具，开展智能体开发、迭代与落地应用，赋能业务智能化升级。
2. 承接数据中心日常工作，协助开展部门日常管理、项目跟进及事务统筹。
3.负责日常数据安全管控、合规管理与风险自查，保障数据资产规范安全使用。
4.跟进部门考核指标，做好日常复盘优化，保障各项工作高效闭环落地。
任职要求
1.本科及以上学历，计算机、软件工程、自动化、通信、人工智能等相关专业。
2. 熟练掌握 Python开发，具备智能体开发经验，了解Codex、Claude Code 等coding工具优先。
3.具备良好的需求理解、沟通协调与问题解决能力。
4. 工作踏实负责，学习能力强，有较强责任心和执行力。",Python 合规 Claude Code,https://jobs.51job.com/suzhou/172882911.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
生物信息分析工程师,苏州金唯智生物科技,1.3-2.3万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-07 16:29:05,job51,"岗位价值：
 作为研发实验室核心成员，您将参与高通量数据分析处理和科研项目交付，以高质量结果支持全球生命科学客户的创新研究。

主要职责：
1. 负责运用统计学方法、各类生物信息软件和现有流程，对高通量测序产生的数据进行分析。
2. 负责二代、三代高通量测序数据分析流程开发。
3. 负责其他项目相关生物信息数据的采集、整理、挖掘和利用。
4. 负责生物信息学分析流程的文档整理。

任职要求：
必备：
1. 具有生物信息学、分子生物学、计算机或数理学相关专业硕士及以上学历。2年以上相关工作经验。
2. 具有较好的编程能力，熟悉Perl/C++/MATLAB/R/Python中的一种或一种以上。
3. 熟悉Linux操作系统，具有高通量测序数据项目分析经验。
4. 能熟练阅读专业文献，自主查阅相关文献，具有较强的分析解决问题的能力。
5. 自我驱动型，沟通、学习能力强，有良好的团队合作精神。

优先：
1. 有三代Pacbio或ONT测序平台数据分析经验者优先。
2. 熟悉常用生物信息数据库，如UCSC、SwissProt、KEGG、NCBI、EBI，了解生物统计学相关知识者优先。

职业发展机会：
 我们提供技术专家和团队管理双通道职业发展路径。您可通过岗位培训、项目实践和跨团队协作，逐步成长为高级技术人员、实验室主管或专业技术专家。",Perl C++ MATLAB Python Linux 数据分析 团队管理 培训,https://jobs.51job.com/suzhou-gyyq/173194228.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
数据分析师,巴马格（苏州）科技,1.2-1.6万,苏州,苏州,本科,3-8年,2026-06-25 08:29:21,job51,"【岗位职责】
1、负责复杂业务数据的分析、解读与可视化呈现，输出专业数据分析成果，为公司战略规划、日常运营决策提供核心数据支撑。
2、对接财务、销售、运营、IT等各业务部门相关负责人，深度挖掘业务需求，将业务问题转化为可落地的数据分析需求与技术开发需求。
3、熟练运用Power BI等BI工具，独立完成数据看板、业务报表、分析模型的设计、开发与迭代维护工作，保障数据展示高效、直观。
4、针对全业务流程开展深度专项分析，精准挖掘业务发展趋势、潜在风险、增长机会及问题根本原因，输出针对性分析结论与优化建议。
5、制定数据校验规则，联动数据负责人推进数据治理工作，持续保障企业数据的准确性、一致性与可靠性。
6、依据企业统一规范与标准，搭建并优化数据模型、核心KPI指标及业务度量体系，统一公司数据统计口径。
7、赋能各类数据驱动型项目落地，支撑绩效管理、业务预测、用户洞察、运营效率提升等核心业务工作。
8、指导初级数据分析师及业务端自主数据分析人员开展工作，推广数据分析、数据可视化、数据故事输出的标准化最优工作方法。
9、隶属于数据平台团队，负责本地业务的数据支撑、数据治理、跨部门沟通及需求梳理工作，夯实团队本地化服务能力；长期参与对接国际化业务需求，助力团队全球化布局。

【任职要求】
1、本科及以上学历，数据分析、计算机科学、统计学、工程学等相关专业优先。
2、具备优秀的数据分析与问题解决能力，可独立负责复杂业务场景的数据分析工作，高效推进问题落地解决。
3、具备扎实的业务需求转化能力，可精准将业务诉求转化为技术需求、数据产品方案，同时依托数据成果反哺业务优化。
4、熟练掌握数据建模原理、主流数据分析方法，深刻理解各类业务核心KPI指标体系及业务逻辑。
5、精通SQL数据查询与处理，熟练使用Power BI、Tableau、帆软等主流BI报表工具，具备成熟的可视化报表开发经验。
6、精通Excel高阶数据处理功能，掌握Python、R数据分析工具者优先。
7、具备优秀的数据分析成果输出与沟通能力，可面向技术、非技术等不同受众，清晰、精准地传递数据洞察与分析结论。
8、熟练掌握英语，具备优秀的中英文书面及口语沟通能力，可适配职业化、跨文化的工作沟通场景",SQL Python 数据分析 数据治理 BI Tableau,https://jobs.51job.com/suzhou/172679776.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
数据分析工程师,江苏西格数据科技,8千-1万,苏州·苏州工业园区,苏州,大专,2年及以上,2026-07-30 17:55:45,job51,"岗位职责：
1、边缘计算部产品功能迭代、新功能验证、历史功能优化；
2、协助处理现场问题；
3、支持POC的实施工作；
4、参与部门软件产品知识体系的构建；

任职资格：
1、计算机科学、软件工程、数控技术、统计分析、数据分析相关专业，2年及以上相关的工作经验，优秀应届毕业生也可以，要懂电气，或者统计分析、数学、算法相关背景的，然后做过软件行业相关工作的也行；
2、具备积极主动的沟通意识，较强的学习能力；",数据分析,https://jobs.51job.com/suzhou-gyyq/173104097.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
精益工程师,苏州杰锐思智能科技,1-1.5万,苏州·吴中区,苏州,本科,5年及以上,2026-08-07 09:23:58,job51,"岗位职责：
1、跟踪场地产能负荷、人力配置与加工需求的匹配度，建立产能预警机制，向总经理提出资源调配建议；
2、承接公司级运营改善课题，制定项目计划、里程碑与责任人，推动落地并验收成果；
3、运用精益工具（VSM、5S、TPM、标准化作业等）诊断运营流程痛点，输出改善方案；
4、组织运营周会/月度复盘会，督办改善事项闭环，建立改善案例库；
5、推动运营中心各职能部门流程标准化，减少跨部门协作摩擦；
6、协助搭建运营KPI监控体系（人效、OEE、库存周转率、一次合格率等），跟踪达成情况并预警异常；
7、编制运营周报/月报，输出经营成本与人效的基础分析，支撑管理层决策；
8、建立运营风险预警机制与应急预案，推动制度落地执行。
任职资格要求：
1、本科及以上，财务管理、统计学、工业工程、管理科学等相关专业；
2、拥有5年以上制造业精益改善/运营分析经验，非标制造业背景优先；
3、数据敏感度高，能将数据转化为业务管理；熟悉制造业成本核算逻辑；
4、能进行Excel高级应用（函数/透视表/图表）、Power BI等BI工具优先，
有制造业经营分析体系搭建经验。",跨部门协作 VSM TPM OEE Power,https://jobs.51job.com/suzhou-wzq/173184909.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
会计,信创智能科技（苏州）,5-7千,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 09:46:20,job51,"一、岗位职责:
1.负责日常原始凭证审核、记账凭证编制、账务登记与核对，确保账务处理符合企业会计准则及国家财经法规;
2.按时完成月度、季度、年度财务报表(资产负债表、利润表、现金流量表等)的编制、审核与上报，保证报表数据准确完整;
3.负责增值税、企业所得税等各类税种的纳税:申报、税金计提与缴纳，配合税务稽查，做好税务筹划基础工作，降低税务风险;
4.负责费用报销、付款申请的财务审核，严格执行公司费用管理制度，控制不合理开支;
5.管理往来账款(应收、应付)，定期进行对账与账龄分析，推动款项回收与支付合规;
6.配合内外部审计工作，提供所需财务资料与数据，协助完成审计报告;
7.负责财务档案(凭证、报表、税务资料等)的整理、归档与保管，确保档案规范可查;
8.研发费用辅助账。
9.熟悉当地政策，政策的申报工作。
二、岗位要求:
1、学历及专业要求:本科及以上学历，会计等相关专业，中级会计师以上职称优先。
2、工作经验要求:具有3年以上财务相关管理工作经验，具备出口退税实操经验，熟悉外贸企业出口退税政策及申报系统操作。
3、技能要求:熟练运用用友或金蝶等财务软件，具备扎实会计专业知识。",合规 审计,https://jobs.51job.com/suzhou-gyyq/173185478.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
资深IE工程师,苏州卡门哈斯激光技术,1-2万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 10:39:29,job51,"一、岗位职责
1. 制造系统规划与产能战略
·负责新厂区/新产线的全流程规划（概念至落地），统筹水电气配给、物流通道及洁净度分区，满足激光光学高精度制造要求。
·建立并维护公司级产能模型，精准测算人力、设备及场地需求，为经营决策提供数据支撑。
2. 精益生产体系搭建
·从0到1搭建或优化现有精益生产管理体系（含组织架构、流程制度、考核激励）。
·搭建公司级提案改善平台，营造全员改善文化，定期组织精益主题会。
·主导价值流图分析，重点识别振镜组装与光学调试环节的浪费，制定并实施未来状态图。
3. NPI可制造性导入
·深度介入新产品开发，主导可制造性评审，从工艺、装配效率及成本角度输出优化建议。
·负责NPI阶段产线搭建、工时预置、SOP预审及试产闭环，缩短新品爬坡周期。
4. 运营效率与成本控制
·建立多维度效率监控体系，设定挑战性目标并推动达成。
·主导重大降本增效项目（如自动化ROI评估、线体合并、人机作业优化）。
·运用方法论解决复杂制程变异，提升产品一致性。
5. 标准化与数字化赋能
·建立和维护标准工时数据库，确保数据准确与时效。
·利用大数据进行瓶颈分析与预测性维护。
·编制IE技术培训教材，培养内部工业工程人才梯队。
二、任职要求
1. 学历与背景
·本科及以上学历，工业工程、机械制造、光学工程或相关专业。
·5年以上制造业IE经验，有激光、光通信、精密光学或半导体封装行业背景优先考虑。
2. 专业技能
·精通设施规划，有大型新厂规划或旧厂搬迁成功经验；熟练使用设计及仿真软件。
·精通VSM、SMED、Poka-Yoke、Pull System等工具；持有Lean Six Sigma黑带（BB）证书优先。
·精通MOD法及秒表测时，擅长复杂多人多机作业分析，具备深厚动作经济学理论基础。
·具备PMP或同等项目管理能力，能独立领导跨部门变革项目。
3. 行业认知
·深刻理解光学元器件及激光器件的生产工艺流程。
·熟悉高精度装配对环境（温湿度、洁净度、防微震）的严苛要求，并能融入产线设计。
·了解激光焊接/清洗系统的装配逻辑，能识别关键质控点与效率瓶颈。
4. 软性素质
·具备极强的跨部门沟通及高层汇报能力，能有效推动变革方案落地。
·擅长将IE改善转化为财务语言，理解其对利润的贡献。
·适应制造业快节奏与多变环境，能在压力下驱动项目达成。",成本控制 培训 项目管理 SMED Poka-Yoke Pull Six BB,https://jobs.51job.com/suzhou-gyyq/173186960.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
功率器件可靠性工程师,上海微谱检测科技集团,6-9千·13薪,苏州·吴江区,苏州,大专,1年,2026-08-07 11:38:49,job51,"岗位职责：
1. 熟悉功率器件静态参数（B1506A机台），动态参数，热阻等特性参数测试并完成数据整理分析（T3ster），熟悉使用功率器件可靠性设备，例如功率循环试验机（杭可、Mentor机台），HTRB、HTGB、H3TRB等等设备。
2. 熟悉功率器件芯片（Si、IGBT、SiC MOSFET）测试方案（双脉冲，短路，浪涌等），具有丰富的功率器件测试及PCB设计和调试经验；
3. 熟练使用直流电源，示波器信号源、功率分析仪，电子负载电压及电流探头等功率测试仪器设备，进行功率器件电学特性测试（B1506A机台）；
4. 可根据客户提供的样品，利用相关测量仪器进行datasheet的测试和编制。
5. 熟悉Mosfet、IGBT、SiC、GaN等功率器件工作原理；
6. 熟悉车规芯片的AEC Q101和AQG324测试标准，且对可靠性部分测试和设备有丰富的经验。",GAN T3ster HTRB HTGB Si IGBT SiC MOSFET,https://jobs.51job.com/suzhou-wjq/173188565.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
SQE工程师,苏州汉瑞森光电科技,1-1.5万,苏州,苏州,本科,3年及以上,2026-08-08 13:22:05,job51,"【工作内容】
1、负责电子/半导体供应链来料质量管控，主导供应商制程审核与现场异常处理；
2、执行 IQC 进料检验标准制定，针对批量不良发起 8D 报告并追踪整改闭环；
3、协同研发与采购部门，推动新供应商导入评估及现有供应商年度绩效改进；
4、监控产线物料质量数据，分析良率波动原因，输出专项改善方案并落地实施。

【任职要求】
1、本科及以上学历，电子工程、材料科学或相关专业，具备 3 年以上 SQE 经验；
2、精通 ISO9001/IATF16949 体系，熟练掌握 8D、SPC、MSA、FMEA 等质量工具；
3、熟悉半导体封装测试或电子元器件特性，能独立解读图纸与技术规格书；
4、具备优秀的跨部门沟通协调能力，抗压性强，适应快节奏项目交付环境。",供应链 采购 IQC SQE ISO9001 IATF16949 SPC MSA,https://jobs.51job.com/suzhou/173199215.html?s=sou_sou_soulb&t=0_0&req=308f0c81b57d101a69746a4a2ccd972e
