job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据采集工程师,苏州博特勒机器人,5-8千,昆山,苏州,大专,无需经验,2026-08-04 15:27:57,job51,"岗位职责：
1、图像数据标注
2、外出采集客户实地现场数据
3、仿真流程可达性验证
4、YOLO模型训练
岗位要求：
1、大专及以上学历，必须是计算语言学专业。
2、编程基本功扎实；用过爬虫和chatgpt等数据处理工作的加分。 
3、对数据敏感，能踏实做好数据标注，收集，标注，清理工作； 
4、具有良好的团队沟通交流能力、文档撰写能力；",GPT,https://jobs.51job.com/kunshan/173147284.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
数据采集-线上面试,广州未来可期信息技术,5-7千,苏州·吴中区,苏州,大专,无需经验,2026-07-06 17:21:19,job51,"签订劳务合同，
工作内容:
1.佩戴动捕VR 设备，远程操控机器人/机械臂，按照场景操作要求，完成动作数据采集
2.辅助整理筛选原始数据，保障数据规范完整
3.辅助维护调试 VR/传感器设备，反馈故障并优化
岗位要求：
1.全日制专科及以上，计算机/AI电子信息等相关专业优先
2.肢体协调性好，能按指令复现动作，热爱本职工作，为人踏实守信
3.工作有责任心，能耐心接受操作培训，按照老师指导执行
4.有计算机调试、机器人/数据采集经验",数据采集 培训 VR,https://jobs.51job.com/suzhou-wzq/172811493.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
工业数据采集工程师,苏州晋佳电子科技,1-1.6万·14薪,苏州·吴中区,苏州,本科,5年及以上,2026-08-05 13:26:08,job51,"【工作内容】
-负责工业现场数据采集系统的规划、设计与实施，主导PLC、SCADA、DCS等工业设备的数据接入与通信协议对接;
-针对制造企业产线场景，搭建稳定高效的数据采集架构，实现设备状态、生产节拍、能耗等关键数据的实时采集与传输;
-与MES、ERP等上层系统进行接口集成，保障数据在不同系统间的准确流转与同步;
-编写数据采集方案文档、系统部署手册及技术规范，参与项目交付全过程并提供现场技术支持;
-持续优化数据采集效率与稳定性，推动系统自动化运维能力提升。
【任职要求】
-本科及以上学历，自动化、电气工程、计算机科学或相关专业;
-熟悉Modbus、OPC UA、Profinet、MQTT等主流工业通信协议，具备实际项目应用经验;
-掌握主流PLC品牌(如西门子、三菱、ABB)编程与数据读取技术，能独立完成设备级数据接入；
-具备良好的系统集成思维，熟悉工业物联网平台（如华为云loT、阿里云loT）者优先；
-具备较强的问题排查与跨部门写作能力，能适应短期出差及现场调试工作。",Modbus MQTT 华为云 阿里云 数据采集 技术支持,https://jobs.51job.com/suzhou-wzq/173159435.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
工业数据采集工程师,苏州晋佳电子科技,1-1.6万·14薪,苏州,苏州,本科,5年及以上,2026-08-02 17:17:06,job51,"【工作内容】
- 负责工业现场数据采集系统的规划、设计与实施，主导PLC、SCADA、DCS等工业设备的数据接入与通信协议对接；
- 针对制造企业产线场景，搭建稳定高效的数据采集架构，实现设备状态、生产节拍、能耗等关键数据的实时采集与传输；
- 与MES、ERP等上层系统进行接口集成，保障数据在不同系统间的准确流转与同步；
- 编写数据采集方案文档、系统部署手册及技术规范，参与项目交付全过程并提供现场技术支持；
- 持续优化数据采集效率与稳定性，推动系统自动化运维能力提升。
【任职要求】
- 本科及以上学历，自动化、电气工程、计算机科学或相关专业；
- 熟悉Modbus、OPC UA、Profinet、MQTT等主流工业通信协议，具备实际项目应用经验；
- 掌握主流PLC品牌（如西门子、三菱、ABB）编程与数据读取技术，能独立完成设备级数据接入；
- 具备良好的系统集成思维，熟悉工业物联网平台（如华为云IoT、阿里云IoT）者优先；
- 具备较强的问题排查与跨部门协作能力，能适应短期出差及现场调试工作。",Modbus MQTT 华为云 阿里云 数据采集 技术支持 跨部门协作,https://jobs.51job.com/suzhou/173122041.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
生物信息分析工程师,苏州金唯智生物科技,1.3-2.3万·13薪,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-07 16:29:05,job51,"岗位价值：
 作为研发实验室核心成员，您将参与高通量数据分析处理和科研项目交付，以高质量结果支持全球生命科学客户的创新研究。

主要职责：
1. 负责运用统计学方法、各类生物信息软件和现有流程，对高通量测序产生的数据进行分析。
2. 负责二代、三代高通量测序数据分析流程开发。
3. 负责其他项目相关生物信息数据的采集、整理、挖掘和利用。
4. 负责生物信息学分析流程的文档整理。

任职要求：
必备：
1. 具有生物信息学、分子生物学、计算机或数理学相关专业硕士及以上学历。2年以上相关工作经验。
2. 具有较好的编程能力，熟悉Perl/C++/MATLAB/R/Python中的一种或一种以上。
3. 熟悉Linux操作系统，具有高通量测序数据项目分析经验。
4. 能熟练阅读专业文献，自主查阅相关文献，具有较强的分析解决问题的能力。
5. 自我驱动型，沟通、学习能力强，有良好的团队合作精神。

优先：
1. 有三代Pacbio或ONT测序平台数据分析经验者优先。
2. 熟悉常用生物信息数据库，如UCSC、SwissProt、KEGG、NCBI、EBI，了解生物统计学相关知识者优先。

职业发展机会：
 我们提供技术专家和团队管理双通道职业发展路径。您可通过岗位培训、项目实践和跨团队协作，逐步成长为高级技术人员、实验室主管或专业技术专家。",Perl C++ MATLAB Python Linux 数据分析 团队管理 培训,https://jobs.51job.com/suzhou-gyyq/173194228.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
上位机工程师,苏州万贵源精密科技,1.5-2万,苏州,苏州,大专,3年及以上,2026-08-07 16:02:46,job51,"岗位职责：
1，基于 C++ + QT 开发工业上位机软件，包含设备控制界面、数据采集、工艺流程交互、报表存储、报警日志等完整功能模块；
2，在 Linux 环境下完成程序编译、调试、部署、性能优化，处理交叉编译、系统权限、后台守护进程、开机自启等底层适配；
3，对接底层电气 / 嵌入式设备，开发串口、TCP/IP、Modbus，实现设备数据收发与联动控制；
4，负责软件版本迭代、bug 修复、稳定性测试，解决界面卡顿、内存泄漏、多线程并发冲突、Linux 兼容性等问题；
5，编写软件使用文档、接口说明，配合产线调试，对接现场工程师完成设备交付与售后软件问题处理；
6，参与需求评审，根据机械、视觉、工艺需求梳理上位机交互逻辑，优化操作流程。

岗位要求：
1.熟练使用 C++11/14，精通面向对象、多线程、智能指针、STL 容器，能独立排查内存、并发类问题；,
2，精通 QT 框架，熟练使用 QWidget/QML，掌握信号槽、UI 布局、QNetwork、QSerialPort、数据库模块、自定义控件开发；
3，熟练 Linux 开发环境：会 Shell 基础命令、Makefile/CMake 编译、交叉编译、进程线程管理、日志调试、权限配置，能在 Linux 下独立调试 QT 程序；
4，3年及以上工业上位机真实项目开发经验，有自动化设备、机器视觉、检测设备上位机开发经历优先。",C++ Linux TCP/IP Modbus Shell CMake 数据采集,https://jobs.51job.com/suzhou/173193550.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
PC软件工程师,苏州欣华锐电子,8千-1万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 17:34:59,job51,"1.架构设计：负责 PC 端应用软件的整体架构设计，包括分层架构规划、模块划分、接口定义、数据流设计，搭建可扩展、可维护的软件架构。
2. 上位机通信开发：负责 PC 端与设备之间的通信协议设计与开发，精通网口（Ethernet/TCP/IP）、Type-C、USB 等主流通信接口的驱动开发与数据交互。
3. 设备控制软件：开发设备控制与数据采集上位机软件，实现设备状态监控、参数配置、数据上传下载、固件升级等功能。
4. 驱动开发：完成 USB 设备驱动、WinUSB/libusb 通用驱动封装、Type-C PD 协议交互、网口通信协议栈（Modbus TCP/UDP/自定义协议）的开发与调试。
5. 界面开发：负责 PC 端图形界面（GUI）设计与开发，提供直观、易用的设备控制与数据可视化界面。
6. 跨平台适配：完成软件在 Windows 与 Linux 双平台的编译与运行适配，维护跨平台构建脚本与 CI/CD 流程。
7. 调试与测试：使用主流开发工具进行代码调试、性能分析与单元测试，使用 Wireshark、USBlyzer 等协议分析工具进行通信报文抓包与问题定位。
8. 技术文档：编写软件架构设计文档、接口协议文档、调试手册及用户手册，其中含英文技术文档编写。
9. 跨团队协作：与嵌入式软件工程师、硬件工程师协作，对接设备固件协议、驱动接口与硬件寄存器映射，推动产品联调闭环。
10. 技术预研：跟踪 PC 端技术发展趋势，评估新技术方案（如微服务架构、跨平台框架、高性能通信等），完成技术调研与原型验证。",TCP/IP Modbus Linux CI/CD 微服务 数据采集 技术文档 技术方案,https://jobs.51job.com/suzhou-gyyq/173195865.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
数据服务专员（数据收集）,上海寰通商务科技,5-7千·13薪,苏州·苏州工业园区,苏州,本科,1-3年,2026-06-17 09:52:06,job51,"工作职责
1、监控每天的数据到达情况；
2、对未到达数据的经销商进行电话催收并记录；
3、每天根据药厂规定时间发送当天的催收报告‘；
4、服从领导安排，协助完成项目相关工作；
任职要求
1、本科及以上学历；
2、数据相关工作经历1年以上优先考虑；
2、能熟练运用 excel,ppt, word,visio 等 office 软件；
3、良好的逻辑思维能力，沟通能力及学习能力，能够承受压力工作；",excel ppt word,https://jobs.51job.com/suzhou-gyyq/167956196.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
信息化资深工程师(J12391),宁波震裕科技,1.4-2.2万·14薪,苏州·高新区,苏州,本科,5年及以上,2026-07-28 15:12:14,job51,"工作职责:
数据采集（DA/OPC/IIoT）

负责PLC（Siemens、Mitsubishi、Omron等）、CNC、仪表、DCS的数据采集；

配置并维护 OPC Server / OPC UA / Modbus / Profinet / MQTT 等通信；

对接边缘网关/IoT Box，完成设备联网与数据点表整理。

SCADA系统开发与维护

使用 SCADA 软件（如 WinCC、Ignition、iFix、Intouch 等）进行画面组态、报警、趋势、报表开发；

优化 SCADA 与底层设备、上层 MES/ERP 的数据交互；

负责 SCADA 系统版本管理、备份及日常故障处理。

SCADA/MES/IoT 运维支持

保障车间数采、SCADA 系统 7×24h 稳定运行；

快速响应现场数采中断、通讯异常、画面卡顿等问题；

协助生产、设备部门分析因信息化系统导致的停线/异常。

接口与数据治理

开发 SCADA ↔ MES / MES ↔ ERP 接口（Web API / REST / DB Link / MQTT）；

参与设备台账、测点字典、工位编码等基础数据标准化。

持续改进与项目配合

参与新产线/新设备的数采与SCADA方案评审与实施；

编写技术文档、操作手册，对生产/维修人员进行基础培训。
任职资格:
✅ 学历与专业

本科及以上，自动化、电气工程、计算机、机电一体化、测控技术与仪器等相关专业

✅ 工作经验

5年及以上行业，

3年制造业现场 PLC / SCADA / MES 实施或运维经验

参与过至少一条产线的设备数采或SCADA组态项目

✅ 专业技能

熟悉主流 PLC 编程与地址结构（S7-1200/1500、FX/Q系列等）

熟练使用至少一种 SCADA 软件（WinCC / Ignition / iFix / Intouch）

掌握工业通讯协议：

OPC / OPC UA、Modbus RTU/TCP、Profinet、S7、MQTT

了解关系型数据库（SQL Server / Oracle / MySQL），会基本 SQL

有以下任一加分：

了解 MES 系统（生产工单、报工、追溯）

会 Python / C# / JavaScript 做简单接口或脚本

接触过 Ignition、ThingWorx、阿里/华为工业互联网平台

✅ 素质要求

能适应车间现场环境，接受偶发夜班/加班抢修

较强的问题分析与沟通能力（需对接IT+OT）

注重文档规范与系统安全（账号、备份、变更记录）",Modbus MQTT SQL Server Oracle MySQL SQL Python C# JavaScript 数据采集 版本管理 数据治理 技术文档 培训,https://jobs.51job.com/suzhou-gxq/173068547.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
数据挖掘工程师（汽车行业）,巴施帝信息科技（上海）,1.7-2.4万,苏州,苏州,本科,3-5年,2026-08-04 21:29:50,job51,"数据挖掘工程师（候选人必须汽车行业）

我们正在招聘一名数据挖掘工程师，负责面向汽车场景开发数据驱动解决方案，重点围绕大规模车辆传感器数据进行挖掘、分析和应用。理想候选人应具备汽车行业实践经验，熟悉摄像头、激光雷达、毫米波雷达等车辆传感器，并具备开源视觉语言模型（VLM）部署经验，以及使用 Qwen、Doubao 等云端 VLM API 的经验。
主要职责

•	挖掘、分析并结构化来自车辆传感器、测试车队、仿真系统及量产数据源的大规模汽车数据集。
•	开发数据采集、清洗、去重、标注、质量评估及特征提取流程。
•	分析摄像头、激光雷达、毫米波雷达及多传感器数据，识别驾驶场景、长尾案例、感知失败问题及数据覆盖缺口。
•	构建支持自动驾驶、ADAS、感知模型开发、评估与验证的数据挖掘流程。
•	部署并评估开源视觉语言模型，用于汽车数据理解、场景标注、图文描述、检索及质量检查。
•	将 Qwen、Doubao 等云端 VLM API 集成到可扩展的数据处理和分析流程中。
•	与感知算法、数据工程、产品及车辆测试团队协作，将业务和工程需求转化为数据挖掘解决方案。
 任职要求

•	具备汽车行业实际经验，优先考虑自动驾驶、ADAS、智能座舱、车联网或车辆数据平台相关经验。
•	具备车辆传感器数据处理经验，包括摄像头以及激光雷达或毫米波雷达数据。
•	具备大规模数据集处理、挖掘和管理经验，包括结构化、非结构化、图像、视频及传感器数据。
•	具备开源视觉语言模型在真实数据分析或生产流程中的部署经验。
•	具备使用 Qwen、Doubao 或同类云端多模态模型服务的经验。
•	具备扎实的 Python 编程能力，熟悉 Pandas、Spark、PyTorch 或类似数据处理框架。
•	能够设计可扩展的数据挖掘流程，并评估数据质量、相关性、覆盖度及可用性。
•	具备良好的沟通能力，能够与跨职能工程团队协作。
 加分项

•	具备自动驾驶感知数据集、场景挖掘、长尾案例发现或数据闭环系统经验。
•	熟悉多模态检索、图像/视频理解、数据标注、主动学习或弱监督方法。
•	具备分布式数据处理、云存储、基于 GPU 的模型服务、Docker、Kubernetes 或 MLOps 流程经验。
•	了解汽车数据格式、标定、时间同步、传感器融合或感知评估指标。
•	有开源视觉语言模型、多模态 AI、数据挖掘或自动驾驶项目贡献经验。",多模态 Python Spark PyTorch 分布式 Docker Kubernetes 数据采集 数据分析,https://jobs.51job.com/suzhou/173152541.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
大数据开发工程师,安德烈斯蒂尔动力工具（青岛）,2-3.5万·14薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-13 15:47:53,job51,"一、岗位职责
1.	设备统筹与生产协调：负责数据采集设备的整体统筹规划，与研发团队、工厂紧密协作，完成数据采集设备的制作与生产，保障设备性能适配户外智能割草机器人数据采集需求。
2.	场景规划与数据采集：依据 AI 识别场景需求，自主筛选合适的外部场景或搭建模拟场景，开展全面的数据采集工作，确保采集数据覆盖欧美花园等典型应用场景。
3.	方案制定与协作：深入与 AI 算法工程师沟通，精准把握数据需求，制定并输出完整、可落地的数据采集方案，支撑算法模型训练与优化。
4.	数据全流程管理：全程把控数据采集、标注、验收工作，规范数据归档流程，保障数据质量与完整性，为机器人功能迭代提供可靠数据支撑。
5.	海外数据采集：按需出差至欧美地区，与当地工程师协同开展数据采集工作，深度获取欧美花园场景下的机器人运行数据 。

二、任职要求
1.	专业技能
-精通机器人数据采集方法与流程，熟悉图像数据、定位数据、VSLAM 数据格式，具备多模态数据处理能力。
-熟练使用 Python 进行数据采集脚本编写与处理，熟悉大模型文生图软件（如 Midjourney 等），能辅助数据采集与场景模拟。
-深入理解欧美花园场景特点，熟悉智能割草机在该场景下的运行需求与数据采集要点。
2.	工作经验：拥有户外智能设备数据采集经验，有割草机器人、清洁机器人等相关领域工作经历者优先。
3.	综合能力
-英语流利，可无障碍进行海外技术交流与协作，胜任欧美出差工作。
-具备高度责任心与数据敏感度，熟悉数据全生命周期管理流程，能高效完成数据采集全流程工作。
-擅长团队协作，与 AI 算法工程师等跨部门团队保持良好沟通，保障数据采集工作高效推进。",SLAM 多模态 Python 大模型 文生图 数据采集,https://jobs.51job.com/suzhou-gyyq/172890255.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
MES数采工程师,庆虹电子（苏州）,1-1.5万,昆山,苏州,大专,3年及以上,2026-07-01 13:53:35,job51,"工作职责:
1.负责MES系统和数据采集系统的日常监控、故障排查与性能优化；
2.负责维护设备加工数据&gt;上位机系统&gt;MES系统的完整传输链路，排查设备通信、PLC数据上报过程中的异常，确保数据采集的准确性与实时性；
3.根据业务部门的需求，对MES系统进行配置调整，梳理并优化车间业务流程在系统中的落地实现；
4.对业务深入理解，对接工艺部门和自动化部门，理解工单、工艺管理、追溯机制、设备效率OEE、安灯系统等业务场景和概念，对数据采集质量进行优化。
任职要求:
1.大专及以上学历，计算机、自动化相关专业，3年以上制造业MES系统运维或开发经验，有设备数据采集项目经验；
2. 熟悉主流 PLC 品牌（如 Siemens、Mitsubishi、汇川等）的通信机制，能独立进行 PLC 程序读取或寄存器地址映射;
3.熟悉设备加工数据采集过程，具备上位机、PLC等设备对接的实战经验，了解常见工业通信协议(如OPCUA、Modbus、MQTT等)；
4.至少掌握.NET/Java、Python等一门开发语言，能编写简单的数据采集脚本或服务；
5.熟练使用Oracle、SQL Server/MysQL等常见数据库；
6.熟悉制造业生产流程，理解MES与各信息系统的数据交互逻辑。",Modbus MQTT Java Python Oracle SQL Server MySQL 数据采集 故障排查 系统运维,https://jobs.51job.com/kunshan/172753845.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
数据分析师,急速国际物流科技（深圳）,9千-1.4万,苏州·姑苏区,苏州,本科,2年及以上,2026-08-06 09:09:42,job51,"岗位职责:
1.负责跨境电商物流领域的数据分析工作，包括
数据采集、清洗、处理、分析及报告编写2.根据业务需求，进行算法的优化。
3.与各部门紧密合作，提供数据支持与决策建
议，帮助提升业务运营效率。
4.完成其他上级交办的任务，
任职要求:
工作经验者优先
1.本科及以上学历，理工科专业优先，具有两年
及以上工作经验，电商、物流、供应链等领域的
2.中英文阅读，能够快速阅读、理解英文文献，
CET-4及以上:
数据分析工作，具备编程能力者优先;
3.精通Excel，熟悉SQL、Python，能够独立完成
式，能够清晰表达分析结果;
4.沟通能力较好，逻辑思维清晰，结构化思维方
5.学习能力强，乐于接受新鲜事物
大小周，入职缴纳社保",SQL Python 数据分析 数据采集 供应链 CET-,https://jobs.51job.com/suzhou-gsq/173169016.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
AI大数据分析工程师(A07006),苏州旭创科技,1.5-2万·15薪,苏州·苏州工业园区,苏州,本科,2年及以上,2026-08-03 17:05:03,job51,"职位描述：
生产测试数据全链路管理
1.对接生产测试环节的各类数据源（如测试设备终端、测试管理系统、MES 系统等），设计并落地多维度测试数据（测试参数、测试结果、测试耗时、设备状态、产品批次信息等）的采集方案，确保数据实时、完整、准确归集。
2.搭建生产测试数据专属数据集市，制定数据清洗、标准化、脱敏规则，建立数据质量校验机制（如异常值剔除、缺失值补全），保障测试数据的可用性与一致性，为后续分析提供可靠数据基础。
测试效率优化数据分析
1.基于测试数据，分析生产测试全流程的效率瓶颈，包括但不限于：单工位测试耗时过长、测试设备闲置率高、测试流程重复冗余、不同批次产品测试效率差异异常等。
2.运用统计分析、对比分析、流程拆解等方法，定位效率瓶颈根源（如某测试步骤参数设置不合理、测试设备老化导致测速下降），构建测试效率评估模型（如单位时间测试量、测试流程达标率），输出可落地的效率优化建议（如优化测试参数、调整测试工位布局、制定设备轮换维护计划）。
品质风险识别与预警分析
1.挖掘测试数据与产品品质的关联关系（如特定测试参数异常与产品不良率的相关性、测试结果波动与后续使用故障的关联性），识别潜在品质风险点（如测试合格但存在隐性缺陷的产品特征、某类测试设备检测精度下降导致的漏检风险）。
2.构建品质风险分析模型，量化风险等级（如高 / 中 / 低风险批次、风险影响范围），设定风险预警阈值（如某测试参数偏离正常范围的临界值），开发自动预警机制，当测试数据触发预警时，及时推送风险信息至生产、质检部门，协助快速介入排查。


职位要求：
1.本科及以上学历，统计学、大数据科学与技术、计算机应用技术、电子工程、工业工程、质量管理工程等相关专业。
2.具备生产测试流程基础知识，了解电子、机械、汽车零部件等行业生产测试环节（如功能测试、性能测试、可靠性测试）的基本逻辑与核心指标者优先。
3.熟练使用 Python（掌握 Pandas、NumPy、Scipy 等数据分析库）、SQL，能独立完成生产测试数据的清洗、筛选、聚合、关联分析等操作；熟悉 Hadoop、Spark 等大数据框架，具备百万级及以上测试数据处理经验者优先。
4.掌握数据仓库建模方法（如星型模型、维度建模），有生产测试领域数据仓库或数据集市搭建经验，能设计贴合测试效率与品质风险分析需求的数据模型者优先。
5.精通统计分析（如描述统计、假设检验、相关性分析）、机器学习基础算法（如逻辑回归、决策树、聚类算法），能独立构建测试效率优化模型、品质风险识别模型。
6.有生产测试流程优化、品质风险管控相关项目经验，或曾主导 / 参与通过数据分析实现测试效率提升、不良率下降的项目者优先。",Python SQL Hadoop Spark 机器学习 数据分析 功能测试 性能测试 流程优化,https://jobs.51job.com/suzhou-gyyq/173134370.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
数据建模工程师,沪士电子,1.5-2.5万·13薪,昆山,苏州,本科,1年及以上,2026-08-05 11:18:44,job51,"一、岗位职责
1.1制程异常识别与根因分析

利用统计建模、机器学习、时序分析等方法，对MES、传感器、检测等制造数据进行深度挖掘，识别良率波动、设备偏移、工艺缺陷的根因。

搭建制程监控与异常预警模型，实现从“事后分析”到“事前预测”的转变。

1.2工艺参数建模与优化

结合机理模型（物理/化学）与数据驱动模型（回归、树模型、神经网络、贝叶斯优化等），寻找最优工艺窗口，提高Cpk，降低变异。

配合DOE（实验设计），构建虚拟量测或代理模型，减少试产次数和测试成本。

1.3方法论沉淀与工具化落地

将分析流程、建模方法标准化，形成可复用的数据驱动方法论（如特征工程模板、模型评估框架）。

与IT、自动化团队协作，将模型部署到MES/SCADA/边缘端系统，推动实时优化与闭环控制。

1.4支撑工艺研发

在新产品/新工艺导入阶段，提供数据驱动的参数设计建议，建立预测模型缩短研发周期。

针对新制程痛点，设计数据采集方案，确保后续建模所需数据的完整性与质量。

1.5跨部门协作与知识转移

与工艺、设备、研发、质量等部门紧密合作，将复杂分析结果转化为可执行的工艺语言。

培训工艺工程师使用分析工具，培养数据驱动决策的文化。

任职要求
教育背景
本科及以上学历，统计学、应用数学、运筹学、工业工程、计算机、自动化、机械工程等相关专业。

工作经验
制造业数据建模/分析经验，有成功通过建模改善制程指标（良率、产能、缺陷率）的实际案例。

专业技能
扎实的数理与建模基础：精通概率统计、假设检验、回归分析、时间序列、多元分析；能独立构建数学/力学/热学等简单机理模型，并将其与数据模型结合。

机器学习与AI应用：熟练使用经典ML算法（SVM、随机森林、XGBoost、LSTM等），有深度学习（如异常检测、序列建模、CNN）项目经验者优先。

优化方法：掌握梯度下降、遗传算法、粒子群等优化算法，有贝叶斯优化或强化学习工艺调参经验者佳。

编程与数据处理：精通Python（Pandas、NumPy、Scikit-learn、PyTorch/TensorFlow）及SQL；熟悉至少一种可视化工具（Tableau、PowerBI、Matplotlib等）。了解Spark等大数据处理框架者优先。

制造数据认知：理解工业数据的多源异构、缺失、漂移等特点，有信号处理、滤波、对齐、特征工程经验。

junwei_deng(邓俊威） 7/23 上午09:39:51
出色的沟通表达力，能将技术方案翻译为业务语言，推动各方达成共识。

强烈的业务闭环意识，不止步于模型产出，追求现场落地与可量化的改善效果。

自驱力强，能在模糊的工艺问题中定义清晰的数据解决路径。",机器学习 XGBoost 深度学习 Python Scikit-learn PyTorch TensorFlow SQL Spark 数据采集 跨部门协作 培训 技术方案,https://jobs.51job.com/kunshan/173157629.html?s=sou_sou_soulb&t=0_0&req=672131bfdb6d2dabfe29058ad542211d
