job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
功率器件可靠性工程师,上海微谱检测科技集团,6-9千·13薪,苏州·吴江区,苏州,大专,1年,2026-08-07 11:38:49,job51,"岗位职责：
1. 熟悉功率器件静态参数（B1506A机台），动态参数，热阻等特性参数测试并完成数据整理分析（T3ster），熟悉使用功率器件可靠性设备，例如功率循环试验机（杭可、Mentor机台），HTRB、HTGB、H3TRB等等设备。
2. 熟悉功率器件芯片（Si、IGBT、SiC MOSFET）测试方案（双脉冲，短路，浪涌等），具有丰富的功率器件测试及PCB设计和调试经验；
3. 熟练使用直流电源，示波器信号源、功率分析仪，电子负载电压及电流探头等功率测试仪器设备，进行功率器件电学特性测试（B1506A机台）；
4. 可根据客户提供的样品，利用相关测量仪器进行datasheet的测试和编制。
5. 熟悉Mosfet、IGBT、SiC、GaN等功率器件工作原理；
6. 熟悉车规芯片的AEC Q101和AQG324测试标准，且对可靠性部分测试和设备有丰富的经验。",GAN T3ster HTRB HTGB Si IGBT SiC MOSFET,https://jobs.51job.com/suzhou-wjq/173188565.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
研发工程师（无线充）,瑞声声学科技（深圳）,2-3.5万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-18 16:53:43,job51,"职位描述：
1. 主导设计： 负责带磁吸功能的无线充电线圈天线（包括绕线线圈和FPC线圈）的电磁仿真、方案设计、参数优化及性能验证。 
2. 技术攻关： 深入研究并解决磁吸结构对线圈耦合效率、涡流损耗、温升及EMC/EMI性能的影响，确保产品性能出色。 
3. 跨部门协作： 与结构工程师紧密合作，完成线圈、磁片、屏蔽层、隔磁片等物料的堆叠设计，确保磁吸对齐的精准性和结构可靠性。 
4. 供应商管理： 负责线圈天线供应商的技术对接，制定技术规格书，主导样品打样、测试、验证及小批量生产过程中的问题分析与解决。 
5. 测试与认证： 建立和完善无线充电性能测试标准，主导线圈天线的性能、温升、可靠性测试，并确保设计通过WPC Qi等行业标准认证。

职位要求：
1. 学历与经验： · 本科及以上学历，电子工程、微波、电磁场与无线技术、材料科学等相关专业。 · 具备3年以上无线充电线圈天线独立设计经验，有成功量产项目案例。 
2. 核心技术能力： · 精通电磁理论： 深刻掌握电磁感应、耦合原理、阻抗匹配、Q值、耦合系数等核心概念。 · 仿真设计能力： 熟练使用至少一款电磁仿真软件（如ANSYS HFSS/Maxwell, CST, JMAG等）进行线圈建模、仿真和参数优化。 · 磁吸专项经验： 必须拥有带磁吸功能的无线充电产品设计经验，深刻理解磁铁对线圈性能的影响及应对措施（如涡流损耗、磁屏蔽等）。 · 工艺与材料： 熟悉绕线线圈和FPC线圈的制造工艺、流程及关键质量控制点。熟悉磁性材料（如钕铁硼、铁氧体、纳米晶等）和屏蔽材料的特性及应用。 
3. 测试与问题解决： · 能够熟练使用网络分析仪、功率计、示波器、热成像仪等设备进行线圈性能、效率和温升测试。 · 具备强大的数据分析能力和问题定位能力，能快速分析和解决测试及量产中出现的技术问题。",方案设计 跨部门协作 性能测试 产品设计 数据分析 HFSS Maxwell CST,https://jobs.51job.com/suzhou-gyyq/172615793.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
射频开发工程师(A52805),苏州鑫信腾科技,2-3万,苏州·吴江区,苏州,本科,5年及以上,2026-07-24 11:13:50,job51,"1.负责公司测试仪表和测试设备相关产品射频系统方案设计，核心硬件器件的选型；
2.负责定位解决项目中的射频重大技术问题；解决复杂系统问题，如射频主板，射频天线的系统性能问题；
3. 负责射频新技术方案的市场调研以及预研评估；
4. 指导公司射频测试系统的硬件开发方案、测试方案的设计，以及应用中难题的公关解决。

职位要求：
1. 通信、电子、微波等相关专业，全日制本科及以上毕业，5年以上工作经验；
2. 非常熟悉射频电路架构和原理，具备丰富的手机射频硬件layout经验；
3. 掌握射频电路设计，仿真设计以及系统设计能力；
4. 对无线通信原理和关键技术有深刻理解，熟悉信号源、频谱仪、网分的原理并能够熟练操作进行信号的测试和分析；
5. 具有较强的学习能力和的团队配合意识，思维敏捷，逻辑清晰，有责任感；
6. 了解天线设计技术，具备基本的通信算法，如基本的数字中频算法，基带算法及协议），具备设计经验优先；
7. 有汽车和消费类射频自动化测试相关产品的设计及量产经验优先。",方案设计 技术方案 市场调研 自动化测试,https://jobs.51job.com/suzhou-wjq/165411700.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
资深射频线圈研发工程师-低噪放开发,"飞利浦（中国）投资有限公司 Philips (China) Investment Co.,Ltd.",2.5-4.5万,苏州·苏州工业园区,苏州,本科,8年及以上,2026-06-25 09:40:35,job51,"加入本岗位，你将有机会改善大众健康生活
我们正在招聘一名射频 / 模拟开发工程师，要求具备通信或雷达系统相关专业背景，参与新一代磁共振射频线圈及配套信号链路元器件的研发工作。你将与全球***科研人员、工程师并肩合作，深耕前沿医学影像技术领域。

岗位职责
你的核心工作内容包括：
一、磁共振射频线圈及配套射频信号链路器件设计开发
涵盖器件类型：
低噪声放大器（LNA）
匹配调谐网络
巴伦与失谐电路
接收机前端模组

二、全流程产品研发参与
方案定义与系统架构搭建
电路原理图设计
样机试制、验证测试
技术文档编制、设计方案移交量产

三、射频性能指标优化
优化噪声系数、信噪比、线圈去耦性能、电路稳定性等射频关键指标

四、跨部门协同
对接系统工程、机械设计、供应商及生产制造等多职能团队开展协作

五、射频测试与故障调试
熟练使用矢量网络分析仪、频谱分析仪等专业设备完成射频测试、问题排查

所属团队
磁共振研发部 —— 射频线圈与人体成像环境研发组

任职要求
想要胜任本岗位，你需秉持客户至上理念，并满足以下硬性条件：

学历背景
本科 / 硕士学历，专业方向为以下其一：
电子电气工程
微波 / 射频工程
通信工程 / 雷达工程
电磁学及相关电子类专业

行业工作经验
5 年及以上通信系统、雷达系统或射频前端电路设计相关从业经验；
具备低噪声放大器（LNA）设计与性能优化实操经验。
专业理论储备

扎实掌握：
射频电路设计（阻抗匹配、滤波电路、电路稳定性设计）
微波器件与传输线理论
噪声分析、射频系统性能优化方法

实操技能
射频测试仪器实操：矢量网络分析仪、频谱分析仪等
射频仿真、电路设计软件：ADS、HFSS、CST 或同类仿真工具
项目经验
熟悉完整产品开发全生命周期：方案设计→样机制作→性能验证→量产落地

优先加分项
有多通道射频系统、相控阵架构开发经验
熟练掌握电磁仿真工具，具备多软件联合仿真项目经验
了解医疗器械行业标准（IEC 60601、ISO 13485）优先
高频前端集成、低噪声接收链路开发经验

个人素养要求
优秀问题解决能力，务实落地的工程思维
可独立开展工作，统筹多项技术研发任务
具备全球化研发团队沟通协作能力
英语读写、口语流利

为什么选择飞利浦？
在飞利浦工作，远不止一份职业。
我们怀揣使命，依托以客户为中心的创新医疗科技解决方案，打造更健康的社会。与我们一同守护数十亿人的健康福祉，成就***、超乎预期的职业发展之路。",技术文档 方案设计 LNA ADS HFSS CST IEC ISO,https://jobs.51job.com/suzhou-gyyq/172681262.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
RF射频工程师(J10183),强一半导体（苏州）,2-4万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-09 11:21:05,job51,"工作职责:
1.了解客户需求和项目方案，将项目方案进行论证；
2.测试插座PCB板电路的RF仿真，pogopin产品开发RF模拟；
3.设计前期的RF模拟分析；
4.Database维护；
5.处理项目中射频开发的相关问题，参与问题部分的分析定位和攻关；
6.射频相关产品生产技术支持；
7.配合上级工作，完成负责硬件项目的研发产生的各节点硬件开发任务；

任职资格:
1.本科及以上学历，电子、通讯、微波相关专业；5年以上半导体芯片行业，PCB板电路RF分析工作经验；
2.具有扎实的电磁场、微波、射频等射频通讯基础理论，熟悉主流射频通讯协议；
3.掌握射频通讯电路的设计和测试方法；
4.熟练使用网络分析仪、频谱仪、信号发生器等设备；
5.英语四级以上，能够熟练阅读英文技术资料。",Go 技术支持,https://jobs.51job.com/suzhou-gyyq/172843462.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
射频测试工程师(J10485),苏州苏纳光电,1.5-2.5万·16薪,苏州·苏州工业园区,苏州,硕士,3年及以上,2026-06-24 17:02:09,job51,"工作职责:
工作职责：
1)	制定电容、电感、电阻、传输线、MEMS等电子元器件及无源集成模块的电气性能测试方案，搭建测试系统并指导测试，以支撑电源、MEMS模块准确、可复现的测试验证；
2)	完成以上电子元器件或集成模块的可靠性试验方案制定，及时和研发经理沟通测试结果，并主导撰写测试报告；
3)	完成以上电子元件测试转接板设计、仿真、layout、EVB制作、测试验证、设计优化，并输出完整的测试验证报告；
4)	完成以上电子元件基于客户应用场景的仿真、layout、EVB制作、测试验证、方案优化，并输出产品应用方案文档；
5)	协助研发经理完成对产品在模块应用数据手册编写；
6)	熟悉ADS/HFSS仿真软件，依据测试结果和产品结构，完成产品建模和测试仿真偏差分析，并提出改善意见
任职资格:
任职资格：
1)	硕士及以上学历，从事射频或高速测试领域3年以上，熟悉电感、MEMS晶振基础概念及其前端产品指标参数者优先；
2)	熟悉常用专业PCB开发工具，熟悉EVB板设计和测试，有相关经验者优先；
3)	熟悉阻抗分析仪、矢量网络分析仪、信号源、频谱仪、功率计、示波器等射频测试仪器和时域仪器基本原理和使用，熟悉射频前端芯片测试方法流程或行业相关标准者优先；
4)	有过SIPI或射频调试经验优先；
5)	有使用ADS、HFSS软件者优先；",性能测试 layout,https://jobs.51job.com/suzhou-gyyq/172676483.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
射频工程师,苏州波发特电子科技,1.8-2.8万,苏州·相城区,苏州,本科,5年及以上,2026-07-03 17:13:14,job51,"岗位职责：
1.负责射频无源产品的设计和开发；
2.负责相关射频产品模块和系统产品中无源部分的设计和开发；
3.设计产品如滤波器，双工器，耦合器，合路器，衰减器，天线部件，基站射频前端子系统，微波拉远模块等；
4.对开发的新产品，完成其转产，优化过程，配合工程及生产部门提高产品可生产性，降低生产成本；
5.配合和支持销售部门进行市场技术支持工作，配合和支持生产实施过程，协助解决生产中的技术工艺问题；
6.完成领导安排各项日常工作。

任职资格：
1.通信或电子类专业，大学本科以上学历，5年以上工作经验；
2.有移动通信射频前端、器件及子系统独立开发能力，独立或联名撰写技术文献或专利者优先；
3.熟悉通讯行业，通讯设备的原理设计和运用；
4.熟悉研发流程，产品工艺，有较强的质量控制意识；
5.熟练使用HFSS、CST、Designer AWR等射频仿真软件，熟练使用CAD、Solidworks等制图软件；
6.可独立完成滤波器，功分耦合等无源产品及VSWR，LNA等有源器件的设计；
7.熟悉设计开发流程，负责技术文件的起草，新产品开发，项目的实施和监督；
8.熟悉滤波器相关物料生产工艺，材料特征，价格，对降成本有一定经验；
9.有爱立信项目经验优先。",技术支持 专利 CST Designer,https://jobs.51job.com/suzhou-xcq/172790119.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
射频工程师,润芯微智能科技,1.5-2.5万,苏州·相城区,苏州,本科,5年及以上,2026-07-06 11:36:19,job51,"岗位职责 
1,负责汽车电子产品射频模块设计评估，与硬件结构评估布局；
2,负责射频单元电路的设计和PCB 摆件工作；
3,负责射频单元性能指标调试，测试，性能优化；
4,负责处理生产过程中射频问题；
5,配合支持产品认证遇到问题。

任职资格 
1，本科以上学历，通信工程、电子信息工程、电磁场与微波等专业； 
2，有5年以上射频工作经验， 有汽车电子T-box产品 开发及认证经验优先。
3，具备扎实射频/天线开发和调试经验.熟练使用网分、频谱仪、示波器、焊接等工具； 
4，熟练使用 ADS、HFSS/CST 仿真工具，熟悉Allegro、AD、PADS。
5，工作积极，有较好的抗压能力，有较强的团队合作意识。",ADS HFSS CST AD PADS,https://jobs.51job.com/suzhou-xcq/172803384.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
硬件工程师（射频）,苏州易泰勒电子科技,8千-1.5万·13薪,苏州·苏州工业园区,苏州,本科,2年及以上,2026-06-29 12:15:54,job51,"岗位职责
(1)负责2-4层多层PCB的原理图设计、PCBLayout布线及优化，确保设计符合电气性能、可制造性及EMC/EMI规范;
(2)独立完成元器件选型、原理图绘制、PCB布局布线、信号完整性分析及设计优化;
(3)输出完整的生产文件(Gerber、钻孔文件、BOM、装配图等)，并确保文件准确无误;
(4)具备蓝牙(如BLE、2.4G)模块的硬件设计经验，熟悉射频电路布局、天线匹配及EMC设计，熟练使用扫频仪、网络分析仪;
(5)具备常用ARM的硬件设计经验，熟悉DDR2\SDRAM\NOR FLASH\NANDFFLASH等电路设计，有TFTLCD设计经验者更佳:
(6)熟悉12C、UART、SPI、USB等常用通信接口协议，能根据器件规格书完成硬件电路设计;
(7)具备手工焊接能力，能够对电路板进行焊接、调试与故障排查，熟练使用示波器、万用表、逻辑分析仪等测试仪器
(8)负责编写相关技术文档，包括但不限于:硬件设计文档、测试方案、调试记录、问题分析报告等;
(9)对产品在开发、试产及量产过程中出现的硬件问题进行分析定位，提出并实施有效解决方案;
(10)协同软件、结构、测试等团队完成产品开发与验证。
任职要求
(1)电子、通信、自动化或相关专业本科及以上学历;
(2)2年以上硬件开发经验，有独立完成多层PCB设计项目的经验
(3)熟练使用Altium Designer、Cadence Allegro或立创EDA等主流EDA工具;
(4)熟悉常用电子元器件特性，具备良好的器件选型能力，能阅读英文技术规格书;
(5)具备扎实的模拟与数字电路基础，了解电源管理电路(如LDO、DC-DC)设
(6)具备射频电路设计基础，了解天线工作原理，熟悉天线匹配网络设计(如元型匹配）、阻抗控制、RF布局布线规范；
(7)有蓝牙(BLE)、Wi-Fi、Zigbee等无线通信产品开发经验，熟悉射频性能测试与优化流程者优先;
(8)动手能力强，具备手工焊接(包括贴片元件)和电路调试能力:
(9)具备良好的文档编写习惯和技术表达能力;
具备较强的分析与解决问题能力，工作认真负责，具备良好的沟通能力和(10)团队协作精神
加分项
(1)有消费类电子、智能硬件或物联网(loT)产品开发经验(2)熟悉产品开发流程，具备从设计到量产的完整项目经验
(3)具备基本EMC整改经验",4G ARM UART SPI 故障排查 技术文档 性能测试 文档编写,https://jobs.51job.com/suzhou-gyyq/172722537.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
Wireless System工程师,灿芯半导体（上海）,3-5万·16薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-10 09:43:18,job51,"岗位职责：
1.	与无线系统、射频、天线团队协作，根据产品使用场景，定义产品需求的无线子系统关键性能指标。
2.	负责无线平台端到端系统性能基准测试、芯片验证；分析、调试并优化芯片及无线子系统性能（包括但不限于媒体访问控制层、协议及应用层）。
3.	与无线芯片/Device FW及Host Driver团队协作，开展媒体访问控制层与电源管理优化、验证相关工作。
4.	保障无线芯片顺利开发，包括审核并管理量产认证、验证与确认方案

任职资格：
1.	通信、电子信息、射频微波技术，计算机等相关专业本科及以上学历；
2.	精通C语言编程，掌握常用数据结构和算法。掌握嵌入式开发工具，能独立完成软件代码的编写和调试；
3.	熟悉并具备无线技术及标准相关经验，包括 WiFi（6、6E、7）、蓝牙、低功耗蓝牙音频、802.15.4等
4.	熟悉低功耗设计与电源管理设计、评估方法;
5.	熟悉系统端到端吞吐量、时延性能基准测试;
6.	具备实验室环境下无线系统性能与参数测试经验;
7.	熟悉WiFi相关协议标准和性能指标（802.11a/b/g/n/ac/ax等）；
8.	主导Wi-Fi产品的无线性能调优（如吞吐量、时延）;
9.	熟悉TCP/IP协议，熟练使用Wireshark、Tcpdump、Omnipeek等抓包和分析工具，能有效分析和解决无线网络问题;
10.	熟练使用CMW500、LitePoint和频谱仪等相关测试仪器者优先；
11.	有WiFi射频校准调优经验者优先，有量产经验者优先；
12.	有实际参与Wi-Fi Alliance (WFA) 认证测试经验者优先；
13.	有RF Calibration经验者优先；
14.	熟练阅读英文技术文档；
15.	自我驱动，具有良好的沟通能力和团队合作精神。",C语言 WiFi TCP/IP 技术文档 Device Tcpdump Fi Alliance,https://jobs.51job.com/suzhou-gyyq/171448370.html?s=sou_sou_soulb&t=0_0&req=adee2d10f457b69ab685279e57e9d6ae
