job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
智能线束工程师（传感器集成/PHM方向）,欧梯恩智能科技（苏州）,1.5-3万,苏州·姑苏区,苏州,本科,2年及以上,2026-06-30 15:16:29,job51,"岗位职责：
1、负责智能线束的 3D 路径规划、干涉检查及分区隔离设计，针对高温、振动、EMC 等环境制定屏蔽、防护与固定方案。
2、负责输出 2D 线束展开图、接线清单、BOM 表及安装工艺规范，编制 DFMEA 并闭环设计风险。
3、负责将温度、振动、电流等传感器集成于线束，定义信号采集与传输方案，明确线束健康监测指标（温升、磨损、松动等）并对接 PHM 系统需求。
4、负责完成热 / EMC 仿真，按 AS50881、DO-160 等标准进行合规设计，跟产跟装并解决现场布线及信号异常问题。
5、负责审核外协方案与样件质量，管控设计变更及文档全生命周期可追溯性。

任职要求
1、全日制本科及以上学历，电气、自动化、机电一体化等相关专业。
2、2 年以上线束设计或电气互联相关经验。
3、熟练使用至少一种主流线束设计工具（CATIA 电气模块 / Capital Harness / EPLAN / CHS 等）。
4、熟悉线束选型及电气参数计算，了解 IPC-620 等线束工艺标准。
5、有传感器集成、智能线束或 PHM 相关项目经验者优先。
6、了解 SAE AS50881、RTCA DO-160 等航空级标准者优先。",合规 EMC BOM DFMEA PHM AS50881 DO-160 CATIA,https://jobs.51job.com/suzhou-gsq/172741659.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
TOWA封装设备工程师,苏州晋佳电子科技,8千-1.6万·14薪,苏州·吴中区,苏州,大专,5年及以上,2026-08-07 11:52:39,job51,"核心工作是将客户现场服役多年的TOWA老机型（Y1/Y1E/Y1R/YPM系列等）通过加装传感器、改造控制系统、接入工业互联网平台等方式，实现设备状态透明化、工艺参数可追溯、维护预测智能化。
岗位职责：
1. 设备改造方案设计与实施，针对TOWA全系列塑封设备（重点为Y1/Y1E/Y1R等老机型，兼顾YPM/CPM/PMC系列）；
2. 跨专业技术协作，参与系统级联调，确保改造后的设备在MES/SCADA/工业互联网平台侧的数据完整性及控制指令下发的可靠性；
3. 技术文档与标准化沉淀，编制改造项目的技术交付文档，总结不同机型的标准化改造模板，提炼复制，降低后续交付成本；
4. 客户技术对接与培训
任职资格（5年以上·硬性筛选标准）
1.大专及以上学历，机械工程、自动化控制、电气工程、机电一体化、电子封装等相关专业，本科优先，但大专+丰富老机型改造实战者同等对待；
2.5年以上半导体封装Molding设备相关经验，熟悉TOWA新老机型
3.具备现场技术评估能力，能快速判断一台TOWA设备改造的技术可行性、难点及风险点
4.有项目时间管理意识，能配合项目经理把控客户产线停机窗口与交付节点。
5.能适应客户现场短期出差。
能力优异者，薪资可面议",方案设计 技术文档 培训 Y1 Y1E Y1R CPM SCADA,https://jobs.51job.com/suzhou-wzq/173188883.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
智能家居软件工程师,苏州变风量科技,8千-1.2万·13薪,苏州·相城区,苏州,本科,3年及以上,2026-07-26 23:01:39,job51,"【工作内容】
1、负责智能家居终端设备嵌入式软件架构设计与核心代码开发，确保系统稳定运行；
2、主导智能网关与各类传感器、执行器的通信协议对接及数据交互逻辑实现；
3、协同硬件团队完成产品功能联调，解决现场部署中的技术难题并优化系统性能；
4、编写高质量技术文档，参与产品全生命周期管理，持续迭代升级固件版本。

【任职要求】
1、计算机、电子信息或相关专业本科及以上学历，具备3年以上嵌入式开发经验；
2、精通C/C++语言，熟悉RTOS实时操作系统及ARM/MCU等主流芯片平台开发；
3、熟练掌握Wi-Fi、ZigBee、Bluetooth Mesh、modbus 485等无线通信协议及MQTT等应用层协议；
4、具备良好的逻辑思维与团队协作能力，拥有智能家居或物联网项目成功案例者优先；
5、工作严谨负责，抗压能力强，能适应项目节点要求并享受公司完善的薪酬福利体系。",C++ RTOS ARM MCU Bluetooth Modbus MQTT 技术文档,https://jobs.51job.com/suzhou-xcq/173043415.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
渠道销售经理（工业读码器及智能相机产品）,上海视界纵横智能科技,7千-1.4万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-28 09:55:25,job51,"岗位职责：
1、负责公司工业读码器、智能相机产品的渠道开发与管理，拓展代理商、系统集成商、行业合作伙伴等B端渠道资源；
2、制定区域渠道策略，筛选、评估并签约优质合作伙伴，完成渠道销售目标；
3、培训和支持渠道伙伴，提供产品技术培训、市场推广方案及销售工具，提升渠道销售能力；
4、协调渠道与公司内部资源，解决合作伙伴在项目推进中的技术、商务及售后问题；
5、收集行业竞品渠道政策及市场动态，优化渠道合作模式，维护长期稳定的渠道生态。

任职要求：
1、要求本科及以上学历；
2、5年及以上工业自动化、机器视觉、传感器或相关产品的渠道销售经验；
3、有成熟代理商网络资源或系统集成商合作经验者优先；
4、具备渠道开发与管理能力，能独立完成合作伙伴谈判、签约及业绩跟进",培训 市场推广,https://jobs.51job.com/suzhou-gyyq/166746579.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
感知算法工程师-广目智能,前锦网络信息技术（上海）,1.5-3万,苏州·姑苏区,苏州,硕士,2年及以上,2026-08-03 17:46:51,job51,"1、视觉感知开发：负责基于摄像头的视觉感知算法研发，实现复杂户外场景下的障碍物检测、可行驶区域分割、边界线识别、植被类型分类等任务。
2、激光雷达感知开发：负责基于激光雷达的点云感知算法研发，实现高精度障碍物检测与跟踪、地形建模、负障碍检测及语义分割。
3、多传感器融合：设计并实现视觉与激光雷达的前融合/后融合方案，提升感知系统在恶劣光照、雨雾天气下的鲁棒性。
4、数据闭环构建：建立自动化数据采集、清洗、标注及模型迭代Pipeline，持续优化算法在长尾场景下的表现。
5、模型轻量化与部署：负责感知模型在嵌入式平台上的量化、裁剪与加速，确保实时推理性能。

计算机视觉、计算机科学与技术、人工智能、电子信息工程、自动化

招聘公司：苏州广目智能科技有限公司
地址：苏州姑苏区联东U谷姑苏数字科技产业园10栋9楼

广目科技是一家深耕通用机器人领域，专注产业生态搭建与产品规模化落地的人工智能企业。公司先后荣获“高新技术企业”、“苏州市姑苏领军人才企业”等称号，拥有软件、硬件、算法、算力及数据的全产业链布局，深耕以安防、清洁、家政为核心业务的“三保”服务场景，打造“轮式设备拓局→场景数据沉淀→垂类 AI训练→人形机器人落地”的完整发展链路，致力于成为全球落地领先的机器人服务商。",计算机视觉 数据采集,https://jobs.51job.com/suzhou-gsq/173135265.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
IT工程师（智能制造方向）,苏州新业电子,9千-1.2万,苏州·吴中区,苏州,本科,2年及以上,2026-07-13 13:43:44,job51,"一、岗位职责:
1. MES系统建设与数采落地 
（1）参与MES系统需求调研、方案设计、测试上线及后续迭代。 
（2）负责车间设备联网、数据采集（PLC、传感器、工控机等）的现场实施与调试。 
（3）协同供应商或自研团队，确保MES与ERP、WMS等系统接口稳定。
2. 软件系统运维 
（1）负责ERP、MES系统日常维护，包括基础数据配置、异常处理与流程优化。 
（2）协助业务部门梳理操作规范，编写操作手册，组织用户培训。
3. 数据报表开发 
（1）基于业务需求，利用BI工具开发生产、质量、设备等主题的报表与看板。 
（2）负责数据治理基础工作，保障数据准确性、及时性。
4. AI应用探索与落地 
（1）识别生产、质检、设备维护等场景中可应用AI的机会点。 
（2）配合技术团队或供应商完成AI模型的概念验证、试点部署与效果评估。 
（3）跟踪AI在制造业的前沿应用，推动数字化与智能化融合。
二、任职要求：
1. 基本条件 
（1）大学本科及以上学历，计算机、自动化、信息管理、工业工程等相关专业。 
（2）2年以上制造业IT相关经验。
（3）40岁以内。
2. 技术能力 
（1）熟悉至少一种主流ERP系统，了解财务、采购、生产、库存等模块业务逻辑，能独立处理常见问题。
（2）了解MES基础架构与核心功能（生产追溯、工艺管控、设备集成等）；熟悉常见工业通信协议，有现场设备联网经验者优先。
（3）熟练使用SQL（增删改查、多表关联、视图等），掌握至少一种BI报表工具，能独立完成从取数到可视化呈现的开发工作。
（4）至少熟悉Python或C中的一种，能编写简单脚本用于数据处理、接口调试或自动化任务。",SQL Python 方案设计 数据采集 系统运维 流程优化 培训 数据治理 采购,https://jobs.51job.com/suzhou-wzq/171262034.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
智能自动化仓储工程师,昆山广兴电子,1.5-2万,昆山,苏州,本科,3年及以上,2026-08-04 10:23:32,job51,"一、核心工作职责 (Key Responsibilities) :
1.自动仓储软硬件系统整合：负责 WMS(仓储管理)、WCS(设备控制)等上层软件与底层硬设备(PLC、AGV 派车系统、机械手臂)之间的接口对接与集成
2.异质设备与外围整合：整合现场物流外围硬件(如：Barcode Reader条形码扫描仪、RFID 卡片阅读机、电子磅秤、光电传感器..)，实现数据的自动化采集与实时比对
3.现场调试与项目上线 (On-site Commissioning)：执行工厂现场的软/硬件联调测试（FAT/SAT），配合项目时程进行现场调试、压力测试与异常故障排除（Troubleshooting）
4.技术文件撰写：汇整/撰写软硬件通讯规格书（API Document、ICD Interface Control Document）、系统架构图及标准操作与维护 SOP
5.软硬件系统维运：项目上线完成后之供货商技转承接、现场问题排除(Trouble Shooting)、跨部门沟通协调、部门定期会议与报告、主管交办事项

必备条件：
1.学历背景：本科以上学历，资讯工程、电机工程、自动化控制、机械电子或信息管理等相关专业
2.3年以上智能仓储项目实施、AGV/AMR无人搬运、自动化系统整合之项目实务经验
3.具备大型自动化仓储现场独立调试与项目验收经验
5.面对工厂现场复杂的软硬件异常，能冷静分析并系统化排除错误
2.跨团队沟通能力&amp;良好的团队协作精神
3.抗压性与适应力：能适应配合项目进度至客户工厂现场（可能包含无尘室或传统厂房）进行调试与加班
4.思维灵活，能够快速学习新技术
PS：此岗位会常驻外地",Key Responsibilities WMS WCS PLC AGV Barcode RFID,https://jobs.51job.com/kunshan/172912130.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
IMU资深姿态算法工程师-顺景智能,前锦网络信息技术（上海）,30-40万/年,苏州,苏州,硕士,2年及以上,2026-08-03 17:51:04,job51,"岗位职责：
1、负责IMU姿态产品的算法设计与优化，包括IMU标定、姿态解算法等核心模块开发；
2、针对惯性器件（陀螺仪、加速度计）进行误差建模与补偿算法设计；
3、负责具身姿态感知应用场景的姿态算法落地；
4、搭建算法仿真验证平台，完成算法性能评估与工程化落地；
5、配合软、硬件团队完成传感器标定、系统联调及现场测试验证。
任职要求：
1、精通卡尔曼滤波（KF/EKF/UKF）及其扩展算法；
2、具备具身姿态感知姿态算法量产经验者优先；
3、熟悉C/C++，有算法在ARM或DSP等嵌入式平台应用经验优先。

公司介绍：
丹阳顺景智能科技股份有限公司苏州分公司位于苏州市高新区向阳路54号5幢2层，注册资本为，成立于2024-07-10，目前公司的主要经营范围是一般项目：承接总公司工程建设业务",C++ ARM DSP KF EKF UKF,https://jobs.51job.com/suzhou/172709304.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
硬件研发经理,苏州捷研芯电子科技,1.5-2.5万·14薪,苏州·苏州工业园区,苏州,本科,5-7年,2026-07-28 18:31:36,job51,"岗位职责：
1、负责产品线为以温振复合传感器和网关为主的无线和有线传感器及网关等相关产品；
2、负责硬件(包含嵌入式软件)产品设计开发各阶段中的组织和协调管理工作，如各开发项目的任务分配，项目负责人安排以及与相关职能部门的协调配合等；
3、负责硬件产品系统、技术方面的开发和管理（硬件产品改进、新产品开发、新产品规格建议）、组织解决开发过程中所遇到的疑难问题；
4、负责硬件开发部各项资源的分配与管理，以及对部门工作人员的工作考核；
5、参与开发项目的评审，监督促进开发工作按照质量管理体系流程进行。
任职要求：
1、本科及以上学历，自动化、电子工程、通讯工程、计算机或相关专业毕业；
2、五年以上硬件和嵌入式开发经验，精通硬件电路的原理图设计和PCB绘制，具有良好的编程习惯和程序管理习惯；
3、熟练应用Linux系统、C语言、C++语言完成开发工作；
4、精通STM32的程序开发，熟悉UART、I2C、SPI协议，熟练运用C语言嵌入式编程；
5、具有蓝牙、ZigBee、LoRa、WiFi、NB-IoT、LoRaWAN一种及以上的硬件和嵌入式独立开发经验者优先；
6、熟悉振动传感器工作原理或应用者优先；
7、对电子技术有浓厚的兴趣，实际动手能力强，热爱开发工作；
8、利用丰富的管理经验、专业知识、规划能力、分析能力，严谨的工作作风来完成工作内容，要公平公正的对待下级。",Linux C语言 C++ STM32 UART I2C SPI LoRA WiFi 产品设计,https://jobs.51job.com/suzhou-gyyq/147837686.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
硬件系统工程师（机器人二次开发方向）,山东恒元智启智能具身,1.2-1.8万,常熟,苏州,本科,3年及以上,2026-06-29 11:39:33,job51,"职位概述
 
基于主流人形机器人、轮式移动机器人及通用机器人开发平台，开展硬件系统二次开发与场景化适配工作。负责外设集成、接口拓展、电气改造与系统调试，支撑工业制造、物流分拣、商业服务等场景的定制化落地，保障机器人硬件系统在客户现场的稳定运行与功能迭代。
 
岗位职责
 
1.&nbsp;平台适配与二次开发
​
- 基于机器人现有硬件架构（关节模组、算力控制系统、多传感器网络），根据客户场景需求制定硬件二次开发方案，完成功能拓展与性能优化
​
- 负责机器人本体外设集成，包括工业传感器、视觉模组、末端执行器、专用作业工具等的硬件选型、接口设计与电气集成
​
- 开展供电系统、通信总线、线束拓扑的适配改造，解决新增模块与原生系统的兼容性问题
​
2.&nbsp;系统集成与调试验证
​
- 统筹硬件子系统联调，排查供电异常、通信不稳定、信号干扰、EMC/EMI、热可靠性等系统级问题
​
- 负责定制化硬件方案的原型搭建、功能测试、性能验证与可靠性测试，输出测试报告与整改方案
​
- 配合软件、算法团队完成整机联调，定位并解决软硬件接口、时序匹配等交叉领域问题
​
3.&nbsp;现场交付与技术支持
​
- 支撑客户现场部署与硬件调试，快速排查并解决现场硬件故障，保障项目交付进度
​
- 编写硬件二次开发技术文档，包括方案说明、接线定义、调试手册、维护规范等
​
- 沉淀标准化硬件适配方案与组件库，提升二次开发效率与方案复用性
​
4.&nbsp;技术预研与迭代
​
- 跟踪人形机器人硬件技术发展，评估新型传感器、执行器、算力平台的适配可行性
​
- 参与硬件接口标准化、模块化设计，推动二次开发平台的能力建设
 
任职要求
 
基础要求
 
- 本科及以上学历，电子工程、自动化、机电一体化、测控技术等相关专业
​
- 3年及以上硬件开发或系统集成经验，有人形机器人、工业机器人、智能装备相关项目经验优先
​
- 具备独立的硬件问题分析与排查能力，逻辑清晰，动手能力强
 
专业技能
 
- 熟悉复杂机电系统组成，掌握电源、执行器、传感器、嵌入式控制、通信总线等子系统原理
​
- 精通CAN、EtherCAT、RS485、以太网等常用工业总线与接口协议，具备接口调试与问题定位能力
​
- 熟练使用示波器、频谱仪、电子负载、电源等测试仪器，能独立完成硬件功能与性能测试
​
- 掌握原理图与PCB设计基础知识，能读懂硬件电路，完成简单的接口板、适配板设计优先
​
- 了解EMC/EMI设计规范与接地屏蔽技术，具备现场电磁干扰问题整改经验
​
- 具备基本的机械结构认知，能配合结构团队完成硬件安装布局与结构适配
 
优先条件
 
- 有人形机器人、工业机器人平台二次开发或现场部署经验
​
- 熟悉ROS/ROS2系统架构，了解硬件驱动与上层软件交互逻辑
​
- 具备工业产线、物流仓储、商业服务等场景机器人落地项目经验
​
- 有电机驱动、电池管理、力觉/触觉传感器集成相关经验
​
- 具备良好的客户沟通能力与项目推动能力，能独立对接客户技术需求",CAN ROS 功能测试 技术支持 技术文档 性能测试 客户沟通,https://jobs.51job.com/changshu/172721682.html?s=sou_sou_soulb&t=0_0&req=ea1f30334f07ea59aec9cba6b79c1556
