job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
酒店智控交付专员,北木斋集团,8千-1.2万,常熟,苏州,大专,3年及以上,2026-07-21 11:29:00,job51,"【工作内容】
- 负责酒店智能空调、家电、门锁等设备的安装与调试工作；
- 协助完成弱电线路的布设与系统连接，确保设备正常运行；
- 与项目团队协作，按照交付流程推进智能化系统的落地实施；
- 提供现场技术支持，解决客户在使用过程中遇到的问题。
【任职要求】
- 具备相关电子、电气或弱电工程背景，有酒店智能化系统交付经验者优先；
- 熟悉智能门锁、空调及家电设备的安装与调试流程；
- 具备良好的沟通能力和团队协作精神，能适应出差；
- 持有电工证或其他相关资格证书者优先考虑。",技术支持,https://jobs.51job.com/changshu/172979445.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
楼宇自控调试工程师,南京艾艾图智能科技,6千-1.2万,苏州·相城区,苏州,大专,2年,2026-07-17 15:52:11,job51,"岗位要求：
1. 大专及以上学历，建筑智能化、电气自动化、机电一体化、暖通专业；
2. 能够熟练运用CAD制图软件，熟悉楼宇自控BA系统，熟悉江森，霍尼韦尔、施耐德、、西门子产品者优先；
3. 熟悉弱电或强电系统者优先；
4. 相关专业优秀毕业生优先。
主要工作职责：
1. 负责在安装现场与用户及总包单位等其他相关单位施工协调，以及合同范围内的调试工作；
2. 根据技术部门提供的配置清单、设备定位安装图纸进行现场设备定位安装、调试、深化等施工工作；
3. 项目前期可以协同其他部门进行前期的工作；
4. 负责工程施工过程中质量、进度、现场的控制和协调管理；
5. 对工程管理过程中的文件、资料、进行整理，配合项目的竣工验收和移交工作；
6. 对工程中出现的不合格事项进行检查记录，并提出处理意见和建议，及时上报；
7. 完成上级部门交办的其他事项。
薪资待遇：
1. 带薪年假，节日福利，员工体检等等；
2. 每年组织员工集体旅游，不定时部门聚餐等活动；
3.员工可享有具有市场竞争力的培训包括但不限于入职培训、销售培训、管理技能培训及外派学习等。
4. 该岗位根据能力 5W-15W/年。",培训,https://jobs.51job.com/suzhou-xcq/172951202.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
智控交付专员,北木斋集团,7千-1万,常熟,苏州,大专,3-10年,2026-07-21 15:05:18,job51,"【工作内容】
1、负责智能家居系统交付项目的现场实施，完成设备调试、网络配置及功能联调；
2、主导客户现场技术交底与操作培训，确保用户熟练掌握智控产品使用及日常维护；
3、协调施工方、设计方及供应链资源，把控项目进度，及时解决交付过程中的技术异常；
4、收集并整理交付验收资料，输出项目结案报告，跟进售后问题闭环处理。

【任职要求】
1、大专及以上学历，机电一体化、自动化或计算机相关专业，具备智能硬件基础认知；
2、有装修装饰行业智能化交付经验，熟悉主流智能家居协议及常见故障排查逻辑；
3、具备优秀的现场沟通协调能力，能独立应对客户需求变化及突发状况；
4、持有电工证者优先，工作严谨负责，适应短期出差及弹性工作制安排。",培训 供应链 故障排查,https://jobs.51job.com/changshu/172987312.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
设备安装调试员,施普发智能科技（昆山）,5-6千·13薪,昆山,苏州,大专,3年及以上,2026-08-06 17:45:29,job51,"岗位职责： 

1、负责设备装配、机架组装、管路走线、机构对位安装；
2、设备现场调试、动作优化、故障排查、参数整定、联动试运行；
3、客户现场装机、调试、售后维保。
4、配合电气工程师完成、点位调试、传感器标定、信号核对；
5、做好安装调试记录、备品备件核对、现场安全文明施工。

三、任职要求
1、懂电工基础，会接线、识图（机械图+电气原理图），有电工证优先录用；
2、能完成自动化设备装机、走线、调试、排故；
3、熟悉气缸、伺服、电机、传感器、电磁阀、低压电器常用配件；
4、能接受出差调试，动手能力强，吃苦耐劳；
5、有自动化设备、生产线、安装调试经验均可，熟手加急优先；
6、服从管理，安全意识强，干活细致利落。",故障排查,https://jobs.51job.com/kunshan/173182115.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
售后运维技术员,苏州中亿丰光电,8千-1万,苏州·苏州工业园区,苏州,大专,3年及以上,2026-08-05 08:59:21,job51,"岗位职责:
1、主要负责公司EMC项目、光伏项目、能源托管项目的现场售后运维与落地实施工作，涵盖室内外灯具节能改造、空调节能改造等各类节能改造工程的全流程售后支撑，保障项目稳定落地运行。
2、负责项目现场设备、电路系统的安装调试、日常巡检、故障排查、维修保养及迭代优化工作，及时处理设备运行异常，快速解决现场技术问题，杜绝安全及运行隐患。
3、严格按照施工及安全规范开展室内外高空作业、电路施工等实操工作，规范完成现场施工、改造验收等工作，确保施工质量达标、作业安全合规。
4、做好项目售后运维台账记录、施工记录、验收资料整理归档，定期提交运维工作报告，同步项目运行及运维情况。
5、对接客户做好售后沟通、技术答疑、运维培训工作，维护良好的客户关系，提升客户服务满意度。
6、配合部门完成项目售后复盘、问题汇总，反馈现场施工及设备运行问题，协助优化项目运维服务流程。
任职要求：
1、学历要求：大专及以上学历，机电、电气、新能源、工程类相关专业优先。
2、年龄要求：40周岁以内，身体健康，能够适配室内外现场施工、高空作业及出差驻场运维工作。
3、工作经验：具备3年及以上电路工程、机电设备、节能改造、光伏/能源项目售后运维实操经验，熟悉灯具、空调节能改造及相关电路施工流程，精通现场故障排查与维修实操技能。
4、资质证书：必须持有有效电工证、高空作业证，证书齐全且在有效期内，可熟练持证上岗作业。
5、能力要求：具备过硬的电路工程实操能力，熟悉EMC、光伏、能源托管相关项目运维标准及安全施工规范，能独立完成现场运维、改造、故障处理等全流程工作，具备良好的问题解决能力、现场应变能力和沟通能力。
6、职业素养：工作认真负责、严谨细致，遵守安全施工规章制度，具备较强的责任心、执行力和团队协作意识，能适应项目现场工作节奏。",故障排查 安全合规 培训 客户服务,https://jobs.51job.com/suzhou-gyyq/173153569.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
售后工程师,苏州雷格特智能设备,5.5-8千,苏州·吴中区,苏州,大专,2-3年,2026-08-05 09:23:04,job51,"岗位职责：
1、负责售检票系统设备、机场、演出类、民用设备的日常维修、测试工作;
2、各类文旅演出、体育赛事、机场类、民用等设备现场统筹协调和售后服务；
3、完成维修、保养、排查、等工作的填写、汇总、汇报等工作；
4、负责客户现场技术支持，如安装调试，培训，售后故障处理，客诉受理等；
5、远程/现场对接处理客户设备使用问题、需求、远程视频指导客户操作和使用；
6、各类文旅演出、体育赛事等设备现场统筹协调和场次交付；
7、产品问题表单汇总输入协助公司内部改善。

任职要求：
1、轨道交通类、机电类、通信类、计算机类、电气自动化等专业，大专及以上学历（应届毕业生亦可），有类似维修或交付经验者优先；
2、有自主学习意识、能够吃苦耐劳，且有担当、有责任心，良好的服务意识和表达沟通能力；
3、需考取低压电工证（转正前考取）、持有登高证、驾驶证优先；
4、切割、打磨、焊接、打孔、驾驶、钣金整形、走线工艺等特殊技能优先；
5、能适应出差：江浙沪皖短期出差为主，其他出差为辅，能接受国外出差安排的优先。",技术支持 培训,https://jobs.51job.com/suzhou-wzq/169337677.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
售后安装调试,昆山标新智能科技,6-8千·13薪,昆山,苏州,大专,2年及以上,2026-06-30 08:49:03,job51,"岗位职责：
1、负责非标设备的售后维护及故障排查工作，根据客户要求，对设备进行调试及改善，保证设备正常运作及验收。（3C、汽车等行业）
2、熟悉气路及机械原理，能看懂机械图纸，能够解决设备常规故障问题。
3、记录设备异常问题，分析异常问题，解决异常问题
4、对客户人员进行设备应用、操作维护培训。

任职要求：
1、机电、自动化等相关专业，2年以上经验；
2、具有良好的沟通能力和执行能力，具有团队协作精神；
3、能适应长期出差，配合上夜班。",故障排查 培训,https://jobs.51job.com/kunshan/171815656.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
售后安装调试服务人员,乐加地智能装备（苏州）,5-8千,苏州·苏州工业园区,苏州,中技/中专,2年及以上,2026-08-03 09:09:22,job51,"公司介绍：
本公司专业从事商用厨房设备的研发、生产和销售。产品涉及餐具传送系统、预洗分拣设备、餐余垃圾处理设备、餐具清洗设备、餐用具清洗设备、餐具存储消毒设备以及厨房整体清洁解决方案设计等。
任职条件：
1.中专及以上学历，机电类相关专业优先
2.二年以上工作经验，有电工证、驾驶证。
3.为人踏实，肯吃苦耐劳，动手能力强，服从领导，安排有一定的沟通能力

岗位职责：
1.负责产品安装，调试及维修，确保产品正常使用
2.技术支持，定期对产品进行维护，并回访重点客户，定期提交客户回访记录
3.同客户有效沟通，准确了解客户方信息，控制二次服务率
4.完成上级主管交代的其他事项。",方案设计 技术支持,https://jobs.51job.com/suzhou-gyyq/138063838.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
设备安装工程师,昆山芯物联电子通讯,5-9千·13薪,苏州,苏州,大专,无需经验,2026-08-03 10:02:41,job51,"一、职位描述：
1.负责在Fab厂进行半导体设备的机械与电气安装，包括但不限于以下：设备的组装、维护、维修、调试、保养、售后、厂勘，料件申购与move in/out，记录机台数据记录等
2.在确保所有安装活动符合现场的无尘、安全及防静电规范的情况下，严格按照SOP、图纸和技术规范，进行设备就位、水平校准、管路连线、线缆铺设、硬件组装等；
3.协助客户及其他部门或独立完成设备的初步上电、硬件功能测试和基础软件配置、排查并解决安装过程中出现的软硬件故障；
4.准确、清晰地填写每日安装进度报告、检查清单及相关安装文档，及时汇报安装进度、遇到的问题；
5.与客户端保持有效沟通，解答客户有关初步疑问，提供专业的现场支持；
6.领导交代的其他工作。

二、任职要求：
1.配合公司安排进行机动性调动或外派或派驻至其他城市工作。
包括但不限于以下城市，如：北京、上海、武汉、南京、厦门、深圳、青岛、合肥、杭州、重庆等。
2. 有Fab厂和半导体行业设备安装的相关工作经验优先，无经验的优秀者亦考虑
3. 需配合平日和假日留守值班；
4. 大专及以上学历，机械工程、电气工程、自动化、电子科学与技术、半导体技术等相关工科专业背景。
5. 动手能力强，能吃苦耐劳。有较强的团队合作与沟通能力、抗压强
6. 为人诚恳，学习能力强，踏实，细心，谈吐清晰
7. 熟练操作Windows系统及Office办公软件；识读机械图纸，掌握水平仪等测量工具的使用；具备扎实的电气基础知识
8. 岗位会涉及5m内室内高空作业（恐高者慎重选择）
9. 有高空证（高空作业-高处安装、维护、拆除作业）、低压电工证、有C驾照会开车优先

三、薪资待遇：
1.基础薪资5000-7000，具体薪资视其工作经验/个人能力/面试表现等综合决定。
2.包住、有餐补
3.其他：周末双休、五险一金、全勤奖、生日补贴、过节费、带薪年假、补充医疗保险、员工旅游、定期体检、装机奖金、年终奖、季度奖金、每年分红、升职加薪机会等",功能测试 in out,https://jobs.51job.com/suzhou/166148543.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
电工-项目部(J10305),江苏博涛智能热工,5-8千,常熟,苏州,高中,1年及以上,2026-06-16 09:21:36,job51,"工作职责:
1. 安装与接线（硬件基础）
• 核对与安装：依据电气图纸，核对PLC、变频器、传感器等元件型号，并在控制柜内完成固定安装。
• 规范接线：进行控制线路和主电路接线，确保线号清晰、接地可靠，并整理好线槽。
2. 上电检 与参数设置（安全前提）
• 静态检查：用万用表确认无短路、开路后，按规范顺序上电。
• 参数配置：使用面板或软件设置变频器、伺服驱动器的关键参数（如频率、加减速时间》，并完成电机点动测试。
3. 配合 PLC调试（核心工作）
• 信号核对：模拟传感器信号，在 PLC端确认输入输出（I/0）点位正常，并配合工程师调整程序逻辑（如急停、联动）。
• 空载/带料运行：先空载测试设备动作，再带料或模拟负载运行，检查节拍与功能是否符合要求。
4. 故障排除与优化（问题解决）
• 排查故障：处理调试中出现的常见问题（如电机不转、信号干扰），区分是线路、元件还是程序问题。
•优化建议：记录异常并提出改进建议，如调整传感器位置或线径。
5. 现场交付与培训（客户界面）
•客户现场调试：在客户工厂复现调试，确保设备接入客户产线后运行稳定。
• 操作培训：向客户电工或操作员讲解基本操作、急停复位等日常维护要点。
任职资格:
1、一年以上电气自动化调试经验
2、有电工证",培训,https://jobs.51job.com/changshu/172567962.html?s=sou_sou_soulb&t=0_0&req=ddebd8fa2f929b44668da082fa34e0b1
