job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
it运维工程师,江苏益展研创智能科技,6-8千,苏州·姑苏区,苏州,本科,1年及以上,2026-07-13 16:11:55,job51,"岗位职责
1、安防监控设备、智慧交通道闸设备、网络、车载监控终端等各类IT硬件的配置、巡检、安装调试。
2、网络硬件运维，包含交换机、路由器、网线布线、工位网络调试，处理断网、网络异常等问题。
3、处理道路枢纽摄像头、录像机、车载GPS/车载监控终端调试、故障处理，保障车载及安防设备稳定运行。
任职要求
1、了解计算机软硬件基础知识，有1年以上IT硬件运维经验，应届生可培养。
2、熟悉监控、车载终端等主流硬件设备安装调试与故障排查，能独立处理监控、设备常见问题。
3、熟悉局域网、无线网络、综合布线，掌握基础网络及安防、车载设备联动运维能力。
4、工作踏实主动、响应快、有服务意识，能适应日常现场运维工作。",GPS 故障排查,https://jobs.51job.com/suzhou-gsq/172891014.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
资讯员（泰）,三积瑞科技（苏州）,8千-1.2万,苏州·苏州工业园区,苏州,大专,3年及以上,2026-07-02 10:14:10,job51,"1、负责公司内部网络架构的日常维护与优化，保障服务器及终端设备稳定运行；
2、负责公司相关硬件设备的日常维护、异常处理；；
3、执行网络安全策略部署，定期进行漏洞扫描、数据备份及系统补丁更新工作；
任职要求
1、计算机、通信工程或相关专业大专及以上学历，持有网络工程师相关证书优先；
2、具备优秀的故障排查能力与抗压能力，能适应突发紧急状况下的快速响应需求；
3、工作严谨细致，具备良好的服务意识、团队协作精神及较强的沟通协调能力。
4、英语熟练，能配合长期派驻出差",漏洞扫描 故障排查,https://jobs.51job.com/suzhou-gyyq/172763699.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
基础运维工程师(J10644),苏州天孚光通信,8千-1.4万·13薪,苏州·高新区,苏州,本科,3年及以上,2026-07-25 15:07:00,job51,"工作职责:
1.对桌面用户电脑使用负责
1.1 负责桌面用户的支援，及时解决桌面用户电脑系统软件故障；
1.2 负责系统硬件故障时，对无法排除的硬件故障，向用户提出明确解决方
案；
1.3 负责检查桌面用户电脑防毒软件是否正常运行；
1.4 负责桌面用户标准软件之外的软件需求安装；
1.5 负责桌面用户电脑运行效能评估；
1.6 负责桌面用户电脑使用效能降低时，电脑替代，资料备份
2.对各安防系统、会议室正常运行负责
2.1负责监控系统点检工作，对录象有效期、角度、清晰度负责
2.2 负责门禁系统点检工作，对门禁有效闭合、可控通行负责
2.3 负责会议室各系统点检工作，对会议室正常投入使用负责。
2.4 负责监控系统新增时的施工评估，协调参与监控新增时的安装工作
2.5 负责门禁系统新增时的施工评估，协调参与门禁新增时的安装工作
3.对资讯列管资产负责
3.1 负责对资讯列管资产（电脑、打印机等）进行验收
3.2 负责对资讯列管资产进行及时、准确资产登记
3.3、负责对租用打印机每季度读数登记
4. 对入职员工电脑交付负责
4.1 负责入职员工电脑系统、应用软件安装
4.2 负责入职员工电脑帐号的正确配置，网络盘映射
4.3 负责入职员工电脑打印机的正确安装（A4、三联纸）
4.4 负责入职员工电脑移交过程中的各系统密码交付
4.5 负责电脑交付确认单回函确认
任职资格:
1.全日制本科及以上、3年及以上企业桌面运维工作经验
2.熟悉桌面运维常见问题及处置方法
3.熟悉网络问题处理方法
4.有良好的沟通能力",A4,https://campus.51job.com/tfcsz/jobinfo.html?jobid=173040764
桌面运维工程师,苏州恒铭达电子科技,6千-1万,昆山,苏州,大专,1年及以上,2026-06-26 14:08:00,job51,"【工作内容】
1、负责办公电脑、打印机及网络设备的日常安装、调试与维护，确保终端设备稳定运行；
2、快速响应并处理员工提出的软硬件故障，提供远程或现场技术支持，保障业务连续性；
3、定期巡检印刷及包装产线相关工控机与网络设备，排查隐患并执行系统补丁更新；
4、管理公司资产台账，规范账号权限分配，协助完成新员工入职IT环境配置及离职交接；
5、优化内部网络架构，配合上级完成信息安全策略落地及数据备份恢复演练工作。

【任职要求】
1、计算机、通信或相关专业大专及以上学历，具备1年以上企业桌面运维实战经验；
2、精通Windows/Mac操作系统维护，熟悉主流办公软件、打印机驱动及常见外设故障排查；
3、掌握基础网络知识，能独立配置交换机、路由器及无线AP，了解TCP/IP协议原理；
4、具备良好的服务意识与沟通协调能力，责任心强，能适应突发故障的紧急处理需求；
5、有印刷行业ERP系统或工控设备维护经验者优先，持有网络工程师证书者加分。",TCP/IP 技术支持 故障排查,https://jobs.51job.com/kunshan/172082390.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
运维工程师,江苏云岫科技,6-8千·13薪,苏州,苏州,大专,2年及以上,2026-07-22 17:32:49,job51,"1. 驻场，负责单位内部网络系统日常运维，包含局域网、交换机、防火墙、综合布线、网络故障排查、终端运维，保障网络稳定运行。
2. 负责服务器、机房设备日常维护，包括服务器开关机、状态巡检、系统监测、磁盘整理、日志查看、故障处理、基础数据备份。
3. 负责视频会议系统、应急指挥会商系统日常维保，包含会议主机、功放、话筒、大屏显示、音视频信号调试、会前调试、会后设备归位、故障处置。
4. 负责信息化设备台账更新、运维记录、故障台账整理，配合完成系统升级、点位调整、搬迁改造配合工作。
5. 日常巡检、隐患排查、应急处置，保障单位信息化、会议系统、指挥系统7×24小时稳定运行。
6. 配合完成上级检查、信息化验收、资料整理归档等相关工作。

1. 学历要求：全日制大专及以上学历，计算机、网络、通信、信息化相关专业优先。
2. 工作经验：2年及以上网络、服务器、音视频会议系统运维相关工作经验，有机关单位、应急指挥中心、政务机房运维经验者优先。
3. 技能要求：熟悉局域网架构、交换机、防火墙基础配置；熟悉Windows服务器基础运维；熟悉视频会议、音视频信号调试、大屏系统日常维保，能独立排查常见软硬件故障,有建造师、华为、思科认证工程师证书、运维工程师证书优先。
4. 政治及征信要求：个人征信良好，无不良记录、无失信被执行人记录，作风踏实、责任心强、服从管理，适合机关单位工作环境。
5. 具备良好的沟通能力、服务意识，能接受临时性应急保障、会议保障加班。",防火墙 故障排查 系统运维,https://jobs.51job.com/suzhou/173008317.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
网络工程师,苏州易开迪新能源技术,7-9千·13薪,常熟,苏州,大专,3年及以上,2026-07-10 09:51:38,job51,"工作内容
1.负责数据中心服务器、交换机、动力环境等日常维护巡检
2.对数据中心服务器设备上下架，进行安装、硬件维护、硬件故障处理等工作;
3.负责数据中心设备迁移,服务器系统安装调试,如Wind ows/Linux系统等;
4.协助对Linux系统排错，定位解决故障，有问题及时反馈;
5.对数据中心网络设备、交换机故障排查及解决，如交换机替换链路故障等;
6.日常问题及突发事件的及时响应反馈并解决跟进故障处理;
任职要求
熟悉业界主流厂家服务器、存储的原理、操作;
具有扎实的专业经验,特别是动手操作能力,具备独立解决服务器、系统故障的能力。
熟悉Windows、Linux系统。
熟悉掌握OFFICE等办公软件。",Linux 故障排查 ows,https://jobs.51job.com/changshu/172862778.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
信创架构工程师,江苏益展研创智能科技,6.5-8.5千,苏州·姑苏区,苏州,本科,1年及以上,2026-07-13 16:09:32,job51,"岗位职责
1.熟悉银河麒麟、统信UOS 国产操作系统部署、故障排查与系统维护；
2.管理堡垒机权限、维护 VPN 远程接入系统；
3.基础网络、防火墙日常运维，处理网络及系统故障；
4.落实日常安全巡检，配合信创、网络安全相关工作。
任职要求
1.计算机、网络、信息安全相关专业，有运维相关经验；
2.熟练使用麒麟 / 统信UOS国产操作系统，掌握常用命令与适配调试；
3.熟悉堡垒机权限管理、日志审计，能独立配置维护 VPN；
4.了解基础 TCP/IP 网络、防火墙策略，具备故障排查能力。",防火墙 TCP/IP 故障排查 审计 VPN TCP IP,https://jobs.51job.com/suzhou-gsq/172890931.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
Network工程师,矽品科技（苏州）,6-8千·13薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-07-08 14:48:37,job51,"职位描述：
1.网络系统维运管理与异常排除；
2.网络相关设备(如:Router、Switch、Wireless、Firewall...等)之建制安装、需求设定、设备调试与维护；
3.网络系统运作点检&amp;监控与设定管理,熟练使用熟练使用网络监控和管理工具（例如 Wireshark、SolarWinds）
4.网络电话/仿真电话及综合布线等弱电系统维护管理
5.机房及固定资产维护管理
任职要求：
1. 本科学历，计算器/通信/网络等相关专业；
2. 熟悉Cisco，Huawei，H3C，Fortinet，Paloalto，F5等主流厂商设备；
3. 思维敏捷，工作有责任心和服务精神，具有良好的团队合作精神
4. 持有CCNA/HCIA/H3CNE或以上级别认证者优先考虑",Router Switch Wireless Firewall... Wireshark SolarWinds Huawei H3C,https://jobs.51job.com/suzhou-gyyq/172139150.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
it运维工程师,上海启佳信息科技,1-1.4万,常熟,苏州,本科,1年及以上,2026-08-04 17:45:39,job51,"【工作内容】
- 负责公司服务器、网络设备及各类系统的日常维护与监控；
- 处理日常IT技术支持问题，保障系统稳定运行；
- 配合完成系统部署、更新及优化工作；
- 协助制定和执行IT运维相关流程与规范。
【任职要求】
- 本科及以上学历，计算机相关专业优先；
- 对IT运维工作有浓厚兴趣，愿意学习并接受新知识；
- 具备良好的沟通能力和团队协作精神；
- 有责任心，能适应一定的加班需求。",技术支持,https://jobs.51job.com/changshu/173151043.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
网络工程师,江苏易瑞达智能装备,6-8千,苏州·吴中区,苏州,大专,3年及以上,2026-07-28 16:16:33,job51,"一、薪资：5天8小时，底薪6-8k，入职缴纳五险，周末加班双倍薪资，节假日正常休息，如果加班三倍薪资，2660加班基数

二、岗位职责
1.网络文档编制 — 根据项目需求，完成网络拓扑架构设计、IP 地址规划、VLAN 划分及路由策略制定，输出网络实施方案与相关技术文档
2.项目实施与部署 — 负责交换机、路由器、防火墙、负载均衡、无线 AP/AC 等网络设备的安装调试与上线交付，保障项目按计划推进
3.网络运维与保障 — 承担已交付网络的日常运维工作，包括设备巡检、配置备份、故障排查与应急响应，确保网络系统 7×24 小时稳定运行
4.安全策略管理 — 协同安全团队落实网络安全策略，包括访问控制列表（ACL）配置、VPN 搭建、入侵检测/防御策略调整，配合等保测评与安全审计
5.其他事项 — 完成上级交办的其他网络技术支持工作

三、任职要求
必备条件：
持有 C1/C2 驾照，熟练驾驶并适应短期外出或现场支援
熟悉 TCP/IP 协议栈，掌握 OSPF、BGP、VLAN、STP、链路聚合等主流网络协议与技术
熟练操作主流厂商（华为/华三/锐捷/思科）交换机与路由器，具备中大型局域网或园区网、政府专用网实施经验
熟悉防火墙、VPN、上网行为管理、负载均衡等安全设备的配置与管理
具备独立排查和处理复杂网络故障的能力，逻辑清晰，动手能力强
工作积极主动、责任心强，具备良好的沟通协调能力和文档编写能力

加分项（非必须但优先）：
有政府、公安、智慧城市类项目实施经验
持有 HCIP / H3CSE / CCNP 及以上认证，或同等级网络资格认证
熟悉国产化网络设备（华为/新华三信创系列）及信创环境部署",防火墙 TCP/IP 技术文档 故障排查 应急响应 审计 技术支持 文档编写,https://jobs.51job.com/suzhou-wzq/172681797.html?s=sou_sou_soulb&t=0_0&req=f441e96f003a943dd2f6ce4832461671
