job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
测试开发工程师,苏州东山精密制造,1.2-2.2万,苏州·吴中区,苏州,大专,3年及以上,2026-07-22 17:12:17,job51,"任职要求：
一、基础通用要求
学历专业	：大专及以上学历，中高端/主机厂岗位要求本科及以上；优先选择车辆工程、汽车工程、机械工程、电子信息、电化学、计算机、自动化、材料学等新能源/汽车相关理工类专业
工作经验	：要求3年以上新能源汽车行业的测试工作经验； 
软素质	：责任心强、细心耐心，能适应一定的现场/户外试车工作；具备良好的沟通协调能力、数据敏感度和团队协作意识，对新能源汽车行业有稳定发展意愿
二、岗位职责
1.	测试体系搭建与方案输出：针对储能逆变器、BMS电池管理系统、电池PACK、电驱等新能源产品，根据项目需求编制各阶段（EVT/DVT/PVT/量产）测试方案，制定测试计划，完成ATE测试平台、功能测试台等测试系统的搭建、调试与维护。
2.	过程跟进与文档输出：跟进新产品试产与项目测试进度，编写、发行测试SOP、测试报告等各类技术文件，完成认证测试相关协同工作，配合客审与审厂准备。
3.	问题分析与优化改善：分析测试过程中的异常数据与不良问题，输出改善方案，推动生产良率提升与产品设计优化；同时优化测试流程、降低误测率、提升测试效率，评估测试方法与测试覆盖有效性。
4.	设备与工装管理：负责测试治具、非标测试设备的申请、制作、调试验收，制定测试设备的日常保养、校准与维护计划，快速处理产线测试设备故障，保障测试系统稳定运行。
5.	团队协同与管理支持：跨部门对接研发、生产确认测试需求，跟进测试异常闭环；部分带教管理岗位还需负责内部测试人员的技能培训，统筹测试任务分配与进度管控
三、按测试方向细分的专业要求
1. 三电（电池/电机/电控）测试方向
熟悉动力电池电芯、模组、PACK的电性能、安全可靠性测试标准，掌握充放电测试设备操作
了解电机电控工作原理，熟悉电机控制器测试流程，了解并设计过EOL\RUNIN\二次吸水等设备优先，具备基于MATLAB的数据分析能力优先
熟悉新能源汽车高压系统原理，掌握高压安全操作规范，能开展高压安全、EMC测试工作
了解锂电池、电机相关最新国测标准，能协助实验室设备管理校准
2. 车载软件/智能网联测试方向
熟悉汽车电子系统原理，了解新能源车载电子产品开发与测试流程
掌握编程语言：C#/Python/Labview，具备嵌入式 / 硬件能力/脚本编写能力
熟悉功能测试方法，能独立制定测试计划、编写测试用例、定位并追踪缺陷
有自动化测试经验者优先
3. 新能源零部件测试方向
了解新能源汽车零部件（充电桩、储能设备、逆变器等）行业测试标准
掌握各类测试仪器（万用表、高压电源、电阻卡、CAN卡、DC负载、采集卡、功率计、双向交流源、示波器、充放电测试仪等）的选型和使用，掌握多个品牌的使用方式和原理(EA\ITECH等)
能独立完成试验记录、报告编制和设备日常维护工作",MATLAB C# Python CAN 测试计划 功能测试 产品设计 培训 数据分析 测试用例 自动化测试,https://jobs.51job.com/suzhou-wzq/172046209.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
Labview工程师 (功能测试开发),苏州赛莫测控科技,1.5-2万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-06-22 11:58:18,job51,"工作职责：
1. 电子产品功能测试系统的方案设计。
2. 测试板卡，仪表的选型。
3. 测试步骤及测试程序的开发。
4. 功能测试系统的搭建，调试。
5. 客户现场交付和售后技术支持。

主要能力要求：
1、电子，电力电子，电气及自动化，测试或测控相关专业 本科学历；
2、修过电路，模拟电子，数字电子等课程；
2、对电子产品的功能及原理有兴趣；
4、熟悉C sharp, TestStand, Labview 等软件优先

其他参考能力要求：
1. 熟练使用常规仪表如DMM，示波器，信号发生器，可编程电源等，并能够编程控制。
2. 熟悉数字/模拟电路，能读懂电路原理图。

经验要求：
有三年以上电子产品功能测试或电路设计的工作经验。",功能测试 方案设计 技术支持 TestStand Labview,https://jobs.51job.com/suzhou-gyyq/166265176.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
测试开发工程师,欧菲光集团,1.2-2.4万,苏州·相城区,苏州,本科,3年及以上,2026-07-10 11:40:59,job51,"岗位职责：
1.解读并捕捉产品需求，从产品功能、诊断、网络、物理、故障模拟等方面展开编写测试用例
2.搭建测试环境，实施测试，找出软件问题、协助软件人员排查问题，发现根本原因
3.专研测试技术，建立网络、诊断测试能力及自动化开发能力
4.客户端实车验证，装车技术支持，解决客户端问题
5.编写产线测试规范，支持产线搭建及问题排查
6.支持售后问题件的分析
7.对于测试过程中出现的具有参考借鉴意义的方法、问题、技巧或者知识点进行知识分享

任职要求
1、全日制本科及以上学历，3年以上汽车电子电器产品特别是车身控制器的软件测试工作经验；
2、熟悉汽车网络和诊断，掌握C语言或者Labview等自动化测试开发经验优先；
3、有电子电路知识，熟悉CANoe/Vehspy3等总线测试工具使用。",C语言 CAN 测试用例 技术支持 自动化测试,https://jobs.51job.com/suzhou-xcq/172865836.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
测试开发工程师,图达通智能科技（苏州）,1.5-2.5万·15薪,苏州·相城区,苏州,本科,3年及以上,2026-07-08 10:19:59,job51,"1. 负责激光雷达自动化测试用例设计，提升测试效率；
2. 负责激光雷达自动化测试工站的设计、开发和搭建；
3. 负责激光雷达自动化测试环境的部署和优化，自动化工具的开发和维护；
4. 参与激光雷达项目测试全流程，开发测试用例、制定测试计划、执行测试结果并推动问题管理闭环；
5. 深入理解产品的原理和方案，给出相应的自动化测试方案，通过新技术或方案提升测试服务质量。
任职要求：
1. 本科及以上学历，计算机、自动化、机器人等相关专业；
2. 熟练掌握Linux操作，熟练掌握Python编程语言，有自动化测试平台开发经验者优先；
3. 有测试接口开发、调试经验者优先；
4. 熟悉测试流程，能独立制定测试方案、编写测试用例并落地执行；
5. 较强的代码能力、系统思维和系统Knowhow，有丰富的debug经验",Linux Python 自动化测试 测试用例 测试计划,https://jobs.51job.com/suzhou-xcq/172833486.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
光学检测工程师,深圳市丹杨智能科技有限公司上海,1-2万,苏州,苏州,本科,2年及以上,2026-08-07 09:51:04,job51,"岗位职责：
1)负责光学系统(傅里叶光谱仪)的预研、开发工作;
2)负责光学系统模拟仿真和杂散光分析等原理验证工作;
3)负责光学零部件的选型及采购对接;
4)提出具体的技术要求,指导和审核光机工程师的系统设计方案,并提出建设性意见;
5)负责分析和解决光学模组在产品开发和量产中的相关光路问题;
6)负责光学系统的测试和验证,并出具相关报告;
7)负责与光学供应商的技术沟通,同时开发优质的光学配件供应链;
8)紧跟行业前沿技术,对固体红外光谱检测的开发方向,提出可行性建议;
9)其他临时事项处理;
岗位要求：
1)本科以上学历,光学设计相关专业2年以上工作经验;
2)熟练使用光学分析软件，例如lighttools、zemax、tracepro等;
3)了解傅里叶光谱仪工作原理;
4)有光学系统的设计能力,熟悉常见光学元件和模组的特性；
5)有基于红外光谱检测固体物质的经验者优先;
6)具有良好的文档撰写能力;
7)沟通能力和学习能力强,有责任感;及时反应工作中的问题和异常状况;
8)工作积极主动、有团队协作意识",采购 供应链 zemax,https://jobs.51job.com/suzhou/173185624.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
汽车电子测试开发工程师,环鸿电子（昆山）,1-2万·16薪,昆山,苏州,本科,2年及以上,2026-08-05 15:35:30,job51,"工作职责:
1. 测试方案制定与用例设计
· 负责公司汽车电子产品（智能驾驶、网联、新能源、底盘、座舱和车身控制等）各类ECU的需求评审，制定测试计划、测试策略和测试标准
· 根据内外部的需求，编写并维护详细的测试规范、测试方案及测试用例，覆盖功能、网络、性能、可靠性、安全等多维度
2. 测试环境搭建与维护
· 搭建桌面级BSW测试环境，制作测试线束、负载箱等测试工装
· 搭建、维护并优化测试环境，包括仿真平台、HIL测试台架、数据采集系统及相关软硬件
· 负责汽车电子功能测试系统的开发、集成、调试及日常维护
3. 测试执行与缺陷管理
· 执行台架测试、硬件在环（HIL）测试、网络测试、实车测试及白盒测试，采集并分析测试数据，撰写测试报告
· 针对MCU特定外设（ADC/CAN/SPI等）执行底层驱动测试并评估测试报告
· 精准定位缺陷，推动问题的复现、分析与解决，建立有效的问题跟踪与验证闭环
· 利用缺陷管理系统跟踪、登记、验证和关闭bug，协同开发团队定位并验证问题修复效果
4. 自动化测试开发
· 根据测试用例类型开发自动化测试脚本（Python/，C#, LabVIEW等），提升测试效率与覆盖率
· 构建和维护自动化测试框架及测试用例库
5. 协作与持续改进
· 与系统负责人、开发工程师协作，理解需求和设计，负责测试场景构建和测试用例评审工作
· 引入、评估并推进测试相关的改进措施和效率提升方案
· 参与软件发布流程，与策划、开发和项目管理团队紧密协作，确保软件版本按时、高质量交付

任职资格:
1. 教育背景
· 本科及以上学历，电子信息工程、车辆工程、自动化、计算机科学与技术、测控技术与仪器等相关专业
2. 工作经验
· 2年以上嵌入式系统或汽车电子产品的系统测试/软件开发或测试经验
· 有汽车电子（MCU、VCU、BMS等）HIL集成测试经验者优先
3. 专业技能
· 编程语言：熟练掌握C/C++、Python, LabVIEW等编程语言，具备自动化测试脚本开发能力
· 汽车通信协议：熟悉CAN、LIN、Ethernet等车载通信协议及UDS诊断协议
· 测试工具：熟练使用CANoe、CANalyzer、INCA等测试工具；能够使用Lauterbach或UDE调试器调试代码
· 测试方法论：熟悉软件测试流程和方法，了解黑盒测试、白盒测试基础知识；熟悉ASPICE测试相关要求者优先
· 硬件基础：具备嵌入式硬件电路、芯片、操作系统、底层软件等相关知识，能看懂电路原理图等
4. 综合素质
· 具备优秀的问题分解与根因分析能力，善于在复杂的软硬件交织环境中定位问题
· 学***动性强，具备系统化的问题分析和解决能力
· 良好的沟通协作能力和团队合作精神
· 良好的英文读写能力，能够流畅阅读英文技术资料",MCU CAN SPI Python C# C++ 测试计划 测试用例 数据采集 功能测试 缺陷管理 自动化测试 项目管理,https://jobs.51job.com/kunshan/173162831.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
Labview测试开发工程师（汽车电子）,苏州赛莫测控科技,1.8-2.5万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-02 13:14:48,job51,"工作职责：
1. 测试程序的开发与调试；
2. 测试板卡，仪器仪表的驱动软件开发；
3.自动化相关上位机软件开发 ；
4. 客户现场交付和售后技术支持；

任职资格：
1. 大专及以上学历，电子、自动化、计算机、机械设计及自动化、测控技术等相关专业；
2. 工作年限：电子产品测试开发, LabVIEW, Teststad 测试软件开发 3年及以上；
3. 具有Python/C#/.Net开发经验优先考虑；熟练使用TestStand软件；
4. 熟悉PXI/PXIe、CAN、RS232/485、TCP/IP、GPIB、OPC等通讯协议及接口；
5.有使用上位机软件和三菱、西门子PLC交互开发自动化控制系统；
6.熟悉Access、SQL Server数据库， 具有报表生成、数据导出能力；

其他参考能力要求：
1、具备一定英语沟通能力
2、熟悉汽车电子CAN，LIN，UART等通信协议的使用和编程。
3、能够熟练使用Labview / Labwindows CVI / C#, 及TestStand等相关软件及各种测试设备仪器仪表。",Python C# CAN TCP/IP SQL Server UART 技术支持,https://jobs.51job.com/suzhou-gyyq/166520899.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
高级测试开发工程师,固势（苏州）科技,2.2-2.8万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-08 15:53:47,job51,"岗位职责：
1. 负责测试需求分析、方案设计、技术可行性研究，做好项目成本评估、交期评估、风险评估等工作；
2. 负责测试程序开发，使用 LabVIEW或Python、TestStand编写自动化测试脚本，实现仪器控制、数据采集与逻辑判断；
4. 负责标准仪器驱动的编写、待测产品离线的调试、上位机程序的开发及整套测试系统的调试
5. 负责编写调试报告、统计分析、客户使用说明书等技术材料，严格执行项目的进度要求和质量要求。
6. 指导和培养初级工程师进行测试用例开发，定期开展培训。

任职要求：
1. 精通LabVIEW或Python或C#开发，能熟练编写仪器驱动、数据采集、自动化测试序列；
2.熟悉Teststand软件，掌握测试原理，具备扎实的电子电路基础，电气原理图、PCBA原理图；
3. 熟悉常用仪器仪表（万用表、示波器、频谱仪、功率分析仪等）的编程控制；
4. 熟悉常用传感器、数据采集卡、总线通讯协议的使用与编程；
5.5年以上系统集成测试或自动化测试相关经验；有航天军工或功率半导体设备行业背景者优先。",Python C# 需求分析 方案设计 自动化测试 数据采集 测试用例 培训,https://jobs.51job.com/suzhou-gyyq/172841226.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
测试开发工程师(MEMS),斯贝亚（苏州）自动化检测设备,1-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-15 10:28:17,job51,"日常工作
售前：
-协助销售，提供技术支持，分析客户需求，帮助解答客户技术问题。针对客户产品，运用现有软件，按照标准流程生成测试程序，完成测试报告。
-在办公室接待客户，和客户进行技术交流，和客户一起进行测试调试。
-偶尔需要去客户端，做测试演示，和客户近距离交流，使客户在技术上认可我司设备能力。
售后：
-到客户端，对新客户进行培训，针对客户产品，运用现有软件，按照标准流程和客户一起生成测试程序使客户掌握我司程序开发的过程。
-解决客户日常使用中碰到的问题，做好问题的follow up，提升客户使用体验。
-与我司意大利总部工程师保持密切沟通，反馈遇到的问题，并追踪进展。
任职要求：
本科及以上学历，电子/电气工程，计算机及相关专业；
具有MEMS测试3年以上经验，有压力传感器，磁传感器测试设备经验；
有快速学习的能力和意愿；
熟悉运用C++, C# and Visual Studio
可以接受出差和加班；
（优选）英语应用能力：口语和书面能力良好.
（优选）若有编程语言的基础则更佳。
具有高度的责任心，吃苦耐劳，具备现场工作抗压能力",C++ C# 技术支持 培训 Visual Studio,https://jobs.51job.com/suzhou-gyyq/169755807.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
测试开发工程师,苏州通富超威半导体,1-1.4万·13薪,苏州,苏州,本科,3-4年,2026-08-07 08:45:52,job51,"岗位描述
1．Open/short测试站新产品导入，配置新程序，程序管控。
2．Open/short测试站测试异常分析。
3．OS测试数据和FT测试数据匹配。
4．CP测试93K测试机的安装调试。
岗位要求
1. 本科及以上学历，有测试设备工作经验，工作经验1年以上。
2. 会软件编程或有测试程序开发经验优先。
3. 有数据分析能力和工程汇报能力。",数据分析 Open,https://jobs.51job.com/suzhou/143899005.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
测试开发工程师,法雷奥新能源汽车（常熟）,1.1-1.3万·13薪,常熟,苏州,本科,3-5年,2026-07-28 22:25:14,job51,"主要职责：
1、承担绝缘耐压，校准，老化和功能测试人员的责任。
2、针对新产品开发，分析研发项目团队定义的需求
3、根据客户SOR标准需求定义测试器规格
4、根据产品线spec标准管理测试设备的设计和验证
5、发送验证报告，与产品端测规形成一致
6、管理测试设备在生产线上的集成工作
7、在生产开始后培训和支持量产测试工程师
8、协助量产测试工程师找出测试设备故障和产品报警的原因

任职要求：
1、逆变器/OBC/DCDC EOL开发经验
2、设备验收经验
3、非标自动化测试经验，独立编写测试程序能力",功能测试 培训 自动化测试 OBC DCDC,https://valeo.51job.com/jobinfo.html?jobid=173074216
测试开发电子工程师,捷鹏威电子（苏州）,1.2-1.8万·13薪,常熟,苏州,本科,3年及以上,2026-07-29 12:55:17,job51,"As a TD engineer, you'll need to: 
Develop test system electronics and electrical in test development projects （在测试开发项目中开发测试系统电子和电气方面） 
•	Design test fixtures and equipment, including electronics and electrical（设计测试夹具和设备，包括电子和电气方面）
•	Design test fixture electronics circuits based on test specifications or requirements with software tools such as Altium. （使用软件工具（如Altium）根据测试规范或要求设计测试夹具电子电路）
•	Design needed cables for the test fixture. （设计测试夹具所需的电缆）
•	BOM creation, ECN and maintain. （BOM的创建，ECN的维护）
•	Document the design work including the needed manufacturing documents.（编制设计工作文件，包括所需的制造文件）
Work closely with a project team and customers.（与项目团队和客户紧密合作）
•	Write test specifications and technical reports.（编写测试规范和技术报告）
•	Participate and organize reviews and verifications. （参与和组织评审和验证）
•	Discuss proposals with clients.（与客户讨论建议）
Test prototypes （测试原型）
•	Make sure the test fixture or test system meets the requirements and specifications. (确保测试夹具或测试系统符合要求和规范)
Verify the design work 
• Verify that the test fixture or test system meets the requirements and is suitable for the intended use. (验证测试夹具或测试系统符合要求并适合预定用途。)

Required know how and skills:
学历： 本科及以上
工作经验：3年以上电子电气设计，以及电子产品的电性能测试工作经验。
项目经验：独立的、从头到尾的、完成过5个以上FCT测试系统的电子电气部分的设计、调试工作。
英文水平：英语4级及以上。
设计工具：熟练使用Altium Designer。
原理图设计：可以根据Test Spec,PCBA文件或者实物，选择测试点，熟练设计测试使用的通讯电路、ADC采样电路、DIO控制电路、继电器电路、测试转接电路板等各类电路板。
PCB Layout: 可以独立的熟练完成2层和4层板的Layout。
不良品分析：可以根据Test Spec、PCBA原理图、测试系统接线图、测试不良项等相关资料，分析出测试不良的根本原因。",Gin Electron GAN 性能测试 As TD Develop Altium,https://jobs.51job.com/changshu/172810136.html?s=sou_sou_soulb&t=0_0&req=1e8d1cac45179ea4e2468f7163ea070b
