job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据采集工程师,苏州博特勒机器人,5-8千,昆山,苏州,大专,无需经验,2026-08-04 15:27:57,job51,"岗位职责：
1、图像数据标注
2、外出采集客户实地现场数据
3、仿真流程可达性验证
4、YOLO模型训练
岗位要求：
1、大专及以上学历，必须是计算语言学专业。
2、编程基本功扎实；用过爬虫和chatgpt等数据处理工作的加分。 
3、对数据敏感，能踏实做好数据标注，收集，标注，清理工作； 
4、具有良好的团队沟通交流能力、文档撰写能力；",GPT,https://jobs.51job.com/kunshan/173147284.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
IT开发工程师JDTDHY,张家港保税区泰德瑞尔轨道科技,7千-1万,张家港,苏州,大专,3年及以上,2026-07-30 11:25:30,job51,"岗位职责
负责CRM系统与低代码平台的数据打通，在无API文档的情况下，通过直连MySQL数据库、编写复杂SQL查询或构建数据中间表等方式，实现核心业务数据的实时/定时同步；
负责竞价系统与低代码平台的数据打通，解析MySQL底层数据结构，将竞价数据、转化数据等安全、稳定地接入低代码平台，支持业务报表与流程自动化；
设计并开发针对本地人才网的自动化简历抓取程序，通过网页解析、RPA或浏览器自动化技术，实现简历信息的自动提取、清洗，并无缝推送至低代码平台；
设计高可用、高安全性的数据同步方案，包含数据校验、异常告警、断点续传及日志监控，确保数据一致性与系统稳定性；
任职要求
计算机相关专业大专及以上学历，3年以上系统集成、数据ETL、爬虫开发或RPA自动化经验；
精通MySQL数据库，具备极强的SQL编写与调优能力，熟悉数据库底层架构、索引原理及锁机制，有在无文档情况下进行数据库逆向分析、表结构梳理经验者优先；
具备丰富的无API系统对接经验，能独立设计基于数据库层面的数据同步方案，并具备数据安全与合规意识；
熟练掌握网页数据抓取技术，精通至少一种自动化/RPA工具（如Python Selenium/Playwright/Puppeteer、UiPath、影刀等），有针对招聘网站或复杂动态页面的抓取实战经验；
精通至少一种后端语言（Python/Java/Go/.NET），熟悉HTTP协议、JSON/XML数据格式及RESTful接口设计；
熟悉主流低代码平台的连接器开发或数据接入规范者优先；
具备较强的抗压能力与独立攻坚能力，能在信息不全、文档缺失的极端情况下快速定位问题并输出解决方案；
具备良好的技术文档编写习惯，能输出清晰的集成方案、数据字典与自动化脚本说明。",MySQL SQL 高可用 Python Java Go 合规 技术文档,https://jobs.51job.com/zhangjiagang/173095663.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
软件工程师,上海矩子科技,1-1.5万·15薪,苏州,苏州,本科,1年及以上,2026-07-23 16:30:32,job51,"岗位职责：
1. 深度学习与机器学习在工业检测领域的应用和开发；
2. 主要负责模型的设计，训练和优化。
3. 要有图像处理经验

岗位要求：
1.熟悉 python 语言、 熟悉C++语言，会使用Visual Studio调试C++程序；
2.掌握图像处理 和 深度学习 基本理论，熟悉OpenCV优先；
3.熟悉深度学习库，如：Pytorch、Keras、Tensorflow等，会熟练使用其中一种；
4.对基于深度学习的图像分类、图像识别、图像检测、图像分割的常用模型比较熟悉；
5. 有较强的独立解决问题能力；
6. 有较强的论文阅读能力；
7. 具有良好的团队协作能力。


15薪、免费零食、试用期工资不打折；周末双休
自有办公写字大楼环境宽敞舒适；
团队：小团队、高效率，扁平化。",深度学习 机器学习 Python C++ OpenCV PyTorch Keras TensorFlow,https://jobs.51job.com/suzhou/173021760.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
AI部署工程师,杭州盈泽商业管理,8千-1.3万,苏州·苏州工业园区,苏州,本科,1-3年,2026-07-13 13:21:47,job51,"岗位职责：
1. 负责利用 AI 编程工具（如 Cursor、GitHub Copilot 等）开展公司内部数字化产品、管理工具及自动化脚本的设计、开发、测试与部署工作，能够独立完成小型软件项目的全流程交付。 
2. 负责 AI 工作流的设计、搭建与落地，结合 AI 工具完成多源数据的采集、清洗、分析与处理，持续提升数据应用效率与业务支撑能力。 
3. 负责数字化产品的技术支持与持续优化，收集并分析用户反馈，快速定位和解决系统问题，协助开展系统培训，推动产品迭代升级。 
4. 配合业务部门完成技术方案设计、评审与实施，负责相关软件系统的部署、初始化、交付及硬件安装过程中的技术对接工作。 
5. 负责办公网络、域控、文件共享等基础 IT 系统的日常管理与维护，保障公司核心业务系统稳定、安全、高效运行。 
任职资格：
1. 全日制统招本科及以上学历，计算机科学与技术、软件工程、人工智能、信息工程等相关专业优先。 
2. 熟悉 AI 编程范式，能够熟练使用至少一种主流 AI 编程工具（如 Cursor、GitHub Copilot、通义灵码等）进行高效的人机协作开发，具备独立完成软件应用设计与开发的能力。 
3. 熟练掌握 Python、Java、Go 等至少一门编程语言，具备良好的工程化开发能力与代码规范意识。 
4. 熟悉 MySQL、PostgreSQL 等关系型数据库。 
5. 熟悉 Git 版本管理、Docker 容器化部署及 Linux 基本操作，具备基础的软件部署、运维和问题排查能力。 
6. 具备较强的逻辑思维能力、问题分析与拆解能力、学习能力及沟通协作能力，能够将复杂业务需求转化为清晰可执行的技术方案。 
7. 工作认真踏实，责任心强，具备良好的服务意识与团队合作精神。 
加分项
1. 熟悉大模型（LLM）应用开发，有 LangChain、LlamaIndex 等相关框架实战经验者优先。 
2. 具备数据爬取、自动化流程搭建、推荐算法或智能应用落地经验者优先。 
3. 有企业内部信息化、数字化系统建设或城市级 IT 项目实施经验者优先。",Git Python Java Go MySQL PostgreSQL Docker 容器化 Linux 大模型 LLM LangChain 技术支持 培训 产品迭代 技术方案 版本管理,https://jobs.51job.com/suzhou-gyyq/172884561.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
AI工程师,苏州艾木自动化设备,7千-1.4万·13薪,常熟,苏州,本科,无需经验,2026-07-27 15:04:53,job51,"岗位职责：
1、负责AI领域的软件工程化实施，设计高可扩展，可靠的AI系统架构；
2、开发AI驱动的应用，将机器学习、深度学习等算法集成到软件系统，自动化设备系统；
3、构建智能监控系统，实时分析日志与性能，自动预警并与自动化设备关联，实现故障自诊断；
4、AI协作推广：培训团队使用AI开发工具，优化协作流程；
5、技术分享：编写技术文档，分享AI/自动化***实践。

任职要求：
1、学历：本科及以上学历，电气工程、自动化相关专业，毕业于985/211工程院校优先；
2、精通python/java/c++，熟悉javascript/typescript；
3、掌握至少一种AI框架（pytorch/tensorflow/keras）；
4、理解机器学习基础算法；脚本编写与任务调度；
5、API设计与继承，服务间通信优化；持续学习新AI技术能力；
6、英语读写、英语水平六级优先；
7、具有出色的逻辑思维、系统性分析问题及解决复杂技术难题的能力；
8、能适应短期出差，对深入一线保持积极态度。

岗位福利：
入职即缴纳五险一金；包吃；年度健康体检/旅游；年节福利；商业保险；年终奖金及绩效奖金",机器学习 深度学习 Python Java C++ JavaScript TypeScript PyTorch TensorFlow Keras 培训 技术文档,https://jobs.51job.com/changshu/170275779.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
Python应用开发工程师,苏州梦利达电子,9千-1.3万·13薪,昆山,苏州,本科,1年及以上,2026-07-27 10:31:37,job51,"任职要求：
1.本科及以上学历，计算机相关专业；本科对口专业优先。
2.具备1年及以上软件开发相关经验；
3.熟悉Python开发（必要）；
4.熟悉关系数据库系统MySQL、SQL SERVER、PostgreSQL等，熟悉标准SQL语言；
5.熟悉Python后端常见WEB开源框架/系统，熟悉前端VUE框架开发技术；
6.具备编写需求、设计、使用说明等常见软件工程文档能力；
7.具备良好的沟通表达能力、责任心和团队协作能力；
8.有MDC、MES、WMS开发经验者优先。
9.具有AIcoding工具使用经验；
10.熟悉web前端技术框架或具备一定开发能力；
岗位职责：
1.参与公司MES开发、升级、运维及重点项目的设计与开发编码工作；
2.能够独立主持开展软件开发项目；
3.完成B/S架构软件产品或项目的前、后端程序业务设计、代码实现，完成前后端接口设计与开发实现；
4.完成软件产品或项目的数据库规划与设计。",Python MySQL SQL Server PostgreSQL SQL Vue,https://jobs.51job.com/kunshan/173046390.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
AI测试工程师（英语基本沟通）,恩士迅信息科技（中国）,8千-1万·13薪,苏州·苏州工业园区,苏州,本科,无需经验,2026-07-07 14:22:30,job51,"岗位目标：
协助人工智能算法的开发工作，并对现有项目进行测试。与研发及工程团队协作，打造具有影响力的视频分析类产品及解决方案。
岗位职责：
1. 开发并维护自动化测试脚本（Python 语言），验证算法的性能与精度。
2. 为人工智能视频分析模型及集成产品设计测试用例。
3. 分析测试结果，诊断问题根源，并出具详尽的质量检测 / 测试报告。
4. 管理大规模视频 / 图像数据集：负责数据采集、预处理及标注质量管控（包括督导标注人员开展工作）。
5. 与工程团队协作，确保人工智能解决方案的无缝集成及发布就绪。
6. 与技术支持团队协作，排查、调试并维护已部署在生产环境中的人工智能产品。
核心重点工作：
1. 确保在各类真实视频场景下，数据标注工作的高质量完成。
2. 针对快速迭代的生成式人工智能及计算机视觉模型，及时调整测试策略。
3. 快速协助推进问题定位的相关开发与落地工作。

岗位要求：
掌握 Python 或同类脚本编程语言。
理解人工智能 / 机器学习的基础概念，熟悉人工智能模型测试的核心指标。
优先条件
精通 Python 语言，能够熟练开展自动化测试工作。
熟悉 Linux 操作系统环境及脚本编写。
具备计算机视觉相关知识。
有生成式人工智能评估或提示词工程的相关经验。
软技能：
具备优秀的英文书面与口头沟通能力。
拥有团队协作精神，能够与不同职能的团队成员协同工作",Python 计算机视觉 机器学习 Linux 自动化测试 产品设计 测试用例 数据采集 技术支持,https://jobs.51job.com/suzhou-gyyq/170330895.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
软件安全检查专员,江苏网进科技,8千-1.2万,昆山,苏州,本科,1年及以上,2026-07-02 09:24:51,job51,"【岗位职责】
1、漏洞扫描与渗透测试:定期对Web应用、移动App、小程序、API接口及后端系统进行自动化漏洞扫描和人工渗透测试，识别SQL注入、XSS、越权访问等常见安全漏洞。
2 、代码审计:参与软件开发过程中的代码安全审查，检查源代码中的安全缺陷、逻辑漏洞，从源头降低安全风险。
3、配置核查:检查服务器、数据库、中间件及安全设备的配置是否符合安全基线要求，防止因配置不当导致的安全隐患。
4、实时追踪最新的软件漏洞，更新公司漏洞知识库和检查事项。
5、其他相关工作。

【任职要求】
1、计算机、网络工程或信息安全相关专业本科及以上学历，持有CISP、CISSP等证书者优先。
2、具备1年以上软件安全测试或渗透测试经验，熟悉主流安全工具（如Burp、AWVS）的使用。
3、工作严谨细致，对数据安全高度敏感，拥有良好的职业道德及团队协作精神。

本公司只认可学信网学历。",漏洞扫描 渗透测试 SQL 审计 知识库 XSS AWVS,https://jobs.51job.com/kunshan/172763488.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
后端实施开发工程师,苏州派维斯信息科技,8千-1.2万,苏州·高新区,苏州,本科,1-2年,2026-06-16 17:34:37,job51,"需要有英语四级证书，偏实施，要做测试
岗位职责
1. 系统配置： 能够通过培训快速理解产品架构，通过配置 SQL、XML 等文件，完成标准界面的微调及定制化数据的提取；
2. 客制化开发： 独立开发并配置客制化的报表、自动化执行逻辑；
3. 数据查询： 编写复杂业务流程中的多表关联查询 SQL，并进行数据库层面的性能优化；
4. 问题排查： 使用监控工具进行问题排查，快速定位问题并输出解决方案；
5. 文档与沟通： 阅读英文技术文档，理解客户的业务英语需求并转化为系统逻辑；解决技术问题。

任职要求
• 教育背景： 全日制统招本科及以上学历。 计算机 / 软件工程等相关专业
• 工作经验： 1-2年，需要有一定的后端开发经验。
• 专业技能： 精通 SQL 基础语法与多表关联查询，能按业务要求提取多表关联数据。
• 语言能力：最少CET-4证书，具备基础的英语阅读能力，能熟练使用翻译工具阅读英文技术文档。",SQL 培训 技术文档 XML,https://jobs.51job.com/suzhou-gxq/172425499.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
AI工程师,研扬科技（苏州）,8千-1.2万·13薪,苏州·苏州工业园区,苏州,大专,1-3年,2026-07-09 13:54:15,job51,"1.专科及以上学历，计算机、电子、通信等相关专业;
2.具有ARM电脑产品公司的PE工作经验;
3.了解电脑产品生产工艺流程;
4.熟悉ARM 平台功耗性能调优、嵌入式 Linux 性能表征相关工作经验优先；
5.掌握Ubuntu、Linux性能调试，熟练使用 Python/Shell 编写自动化测试脚本;
6.良好跨部门沟通，能配合出差驻厂;",ARM Linux Python Shell 自动化测试,https://jobs.51job.com/suzhou-gyyq/172852645.html?s=sou_sou_soulb&t=0_0&req=51891047d7f8df7b07c372f7f9a9b2c6
