job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
机械工程师-电梯,苏州拉森电梯,1-1.4万,苏州·吴江区,苏州,大专,3年及以上,2026-07-22 10:14:49,job51,"岗位职责：
一. 设计与开发： 
 - 负责电梯机械系统及零部件的设计、选型、优化及图纸绘制。 
 - 制定技术方案，解决设计中的技术难点（如减重、降噪、提升可靠性等）。 
二. 技术支持： 
 - 协助生产部门解决制造工艺问题，优化生产流程。 
 - 参与电梯安装、调试及售后技术支持，分析现场故障并提出改进方案。 
三. 测试与验证： 
 - 主导或参与样机测试，完成试验数据分析及报告编写。 
 - 确保产品符合安全、性能及法规要求。 
四. 文档管理： 
 - 编制技术文档（BOM表、设计说明书、测试报告等）。 
 - 维护和更新设计数据库及标准化文件。 

任职要求：
一.学历：
- 大专及以上，
- 机械工程、机电一体化、自动化或相关专业。
- 熟悉机械原理、材料力学、机械设计、机械制造工艺等课程知识。

二.专业知识与技能：
1.电梯专业知识： 
 - 熟悉电梯机械系统（如曳引机、导轨、轿厢、门机系统、安全部件等）的设计原理及结构。 
 - 了解电梯相关国家标准（如GB 7588《电梯制造与安装安全规范》）、国际标准（如EN 81）和行业规范。 
2.机械设计能力： 
 - 熟练使用CAD（AutoCAD）、SolidWorks、Pro/E、UG等机械设计软件。 
 - 具备有限元分析（FEA）能力（如ANSYS、ABAQUS等工具），能够进行结构强度和疲劳分析。 
3.材料与工艺知识： 
 - 熟悉金属材料（如钢材、铝合金）和非金属材料的选型与应用。 
 - 了解机械加工、焊接、冲压、表面处理等制造工艺。 
4.安全与合规性： 
 - 熟悉电梯安全装置（如限速器、安全钳、缓冲器）的设计与测试要求。 
 - 了解电梯安装、调试、维护的技术规范。

三.行业经验： 
 - 3年以上电梯机械设计、制造或相关领域工作经验（部分企业要求5年以上）。 
 - 有电梯整机设计、部件开发或优化项目经验者优先。
 
四. 项目经验： 
 - 参与过电梯新产品开发、旧梯改造或技术升级项目。 
 - 熟悉电梯从设计、样机试制到量产的全流程。

五、优先考虑条件
1. 证书资质： 
 - 持有机械工程师职称证书或相关资格认证（如注册机械工程师）。 
 - 熟悉特种设备相关法规者优先（如电梯检验员资格证）。 

2.经验：
- 有电梯曳引系统、门机系统、安全部件（如限速器）设计经验。 
- 熟悉电梯智能化、节能化趋势（如永磁同步曳引技术、物联网监控系统）。 
- 了解电梯行业前沿技术（如磁悬浮电梯、超高速电梯）。",技术方案 技术支持 数据分析 技术文档 合规 AutoCAD SolidWorks Pro,https://jobs.51job.com/suzhou-wjq/135084675.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
厂内售前调试（责任制）,苏州杰锐思智能科技,1-1.5万,苏州·吴中区,苏州,大专,5年及以上,2026-08-07 14:44:21,job51,"工作职责:
1、负责设备售前调试：锂电池电芯中段设备，包括卷绕机、叠片机等；
2、厂内电气接线，机械调试，机械装配等工作策应支持；
3、负责机台出货前的安装、培训、维护工作; （机械落位安装调试，电气接线调试）；
任职资格:
1、技能要求：电气接线，机械调试，机械装配等；
2、善于语言表达，具备自动化设备装配，调试及电气方面的知识和技能；
3、有团队意识，热爱本职工作，能吃苦耐劳，待人诚恳；服从公司安排 ，对售后服务有兴趣，有良好的服务意识；",培训,https://jobs.51job.com/suzhou-wzq/173191568.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
售后工程师,上海东庚设备工程技术,8千-1.2万·13薪,苏州·吴中区,苏州,大专,3年及以上,2026-07-14 17:24:33,job51,"【工作内容】
- 负责客户设备故障诊断与维修服务，通过电话/远程指导或现场处理解决技术问题；
- 根据客户需求提供产品使用培训、操作演示及维护建议，提升客户满意度；
- 记录并跟踪售后服务流程，及时反馈设备运行状态及潜在风险至研发部门；
- 协调内外部资源完成复杂技术问题攻关，确保服务响应时效性；
- 定期回访客户，收集产品改进建议并推动实施闭环管理。
【任职要求】
- 大专及以上学历，理工科专业优先（机械/电子/自动化相关专业背景更佳）；
- 持有电工证、低压电工操作证等基础资质者优先考虑；
- 具备良好的沟通表达能力与客户服务意识，能独立应对突发状况；
- 熟悉Office办公软件操作，具备基本文档编写与数据分析能力；
- 接受应届毕业生或转行人员，公司提供系统化带教培训及职业发展通道；
- 工作细致严谨，责任心强，适应阶段性出差及灵活排班安排。",培训 客户服务 文档编写 数据分析,https://jobs.51job.com/suzhou-wzq/170344677.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
售后技术工程师,苏州市泰裕企业管理,8千-1.2万·13薪,常熟,苏州,大专,1-3年,2026-08-06 10:47:39,job51,"【工作内容】
- 负责汽车地毯发泡生产中工业机器人的程序编写、现场调试及维护工作；
- 为客户提供技术支持和故障排查，确保设备正常运行；
- 协助客户解决技术问题，提供操作指导与培训；
- 配合公司完成售后服务流程，提升客户满意度；
- 根据需要进行全国范围内的出差支持。
【任职要求】
- 大专及以上学历，机械、自动化或电气工程等相关专业优先；
- 熟悉工业机器人编程，具备ABB或FANUC机器人操作经验；
- 具备1-3年设备调试或相关工作经验，有汽车行业背景者优先；
- 熟悉地毯发泡工艺或相关技术者优先考虑；
- 具备良好的沟通能力与客户服务意识，能适应全国范围出差。",技术支持 故障排查 培训 客户服务,https://jobs.51job.com/changshu/170283360.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
售后调试工程师,江苏立讯机器人,7千-1.2万·13薪,常熟,苏州,大专,3年及以上,2026-08-01 18:35:00,job51,"岗位职责:
1.负责3C非标自动化设备现场组装、机构调校、电气接线及整机调试;
2.按图纸规范完成设备气路、电路安装，保障装配精度与布线标准;
3.配合研发调试设备功能，优化运行节拍与稳定性，处理现场设备异常;
4.驻客户现场负责陪产、故障排査及应急抢修，保障设备正常投产:
5.汇总调试问题并同步设计团队，推动结构与程序优化;
6.开展客户操作培训，跟进设备验收交付。
任职要求:
1.大专及以上，机械/电气/机电一体化相关专业;
2.三年或以上非标自动化装配调试经验，必须有3C行业从业经验;
3.可独立识读机械、电气、气路原理图;
4.熟练使用万用表、测距仪等工具，实操能力扎实;
5.具备三菱/欧姆龙/基恩士等基础PLC调试能力，可配合改程序;
6.熟悉传感器、气缸、电机、导轨等标准件调试:
7.能接受中长期驻场出差、紧急项目响应:
8.吃苦耐劳有责任心，沟通及客户服务意识良好。
加分项:
1.有项目带队独立落地经验:
2.有AA设备、耦合设备调试经验;
3.具备视觉调试基础。
岗位福利:
入职五险一金、包吃包住、年终奖金。",培训 客户服务,https://jobs.51job.com/changshu/173120399.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
机器人维修工程师-现场面试,广州未来可期信息技术,7千-1.3万,苏州·吴中区,苏州,大专,1年及以上,2026-07-29 13:43:17,job51,"""## 岗位职责

1. 主要负责公司人形机器人产品在研发试制阶段的维修工作（包括拆卸和组装）；
2. 记录维修问题点和出问题的零件，编写故障案例库、维修记录等；

## 任职要求

1. 学历：** 大专及以上，机电 /电气 / 自动化 / 机械 / 电子 / 机器人 / 车辆工程等相关专业；
2. 1年以上各类产品或设备维修经验；
3. 熟练使用常用工具（螺丝刀、扭力扳手、压床、卡尺、电动工具等）；
4. 具备机器人 / 无人机 / AGV / 新能源汽车维修经验的优先考虑；
5. 具备机器人行业售后服务经验，具备同行业维修经验（优必选 / 宇树 / 智元等机器人企业）的优先考虑""",AGV,https://jobs.51job.com/suzhou-wzq/173081721.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
售后技术工程师,苏州天星能源,7千-1万,昆山,苏州,中技/中专,2年及以上,2026-07-09 15:52:46,job51,"岗位要求
1、C1驾照，能独立开车出行
2、优先登高证、电工证
3、能接受经常出差售后工作。
岗位职责
1.负责公司销售产品的安装，售后服务，产品支持。
2.负责对项目工程的费用估算及成本控制
3.配合营销部开发新市场
4.客户信息反馈的跟踪处理
5.统计维修成本
6.对客户现场进行判断，对项目整体进行评估
7.对负责的服务项目进行跟踪督办，确保项目如期完成
8.持续提升技术能力与服务能力
9.负责产品的定期例行保养工作",成本控制,https://jobs.51job.com/kunshan/172856649.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
售后工程师（工业移动机器人),苏州寻迹智行机器人技术,6-9千,苏州·相城区,苏州,大专,1-3年,2026-07-10 08:55:34,job51,"岗位职责
1、负责项目现场 AGV、调度系统、配套输送线安装布线、整机调试、项目验收交付
2、接收客户报修，远程指导或上门处理机械、电气、传感器、调度软件故障，保障产线不停工
3、执行年度 / 季度预防性巡检，更换易损件，出具维保报告
4、对客户运维人员开展设备操作、日常保养、基础排障培训
5、完整填写服务工单，汇总高频故障，同步研发优化产品
6、管理现场备件，配合销售完成售后续约、增值服务沟通
任职要求
1、大专及以上，机电一体化、电气自动化相关专业
2、1-3 年自动化 / AGV / 物流设备售后调试经验，熟悉 PLC、伺服、传感器优先
3、可独立看懂电气原理图，具备电路故障排查能力，持有电工证优先
4、适应全国短期 / 长期出差，抗压能力强，服务意识佳
5、良好沟通，能独立对接客户，妥善处理售后客诉",培训 故障排查 AGV PLC,https://jobs.51job.com/suzhou-xcq/172861485.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
售后维修/调试工程师,深圳市盛世智能装备,9千-1.3万,苏州·相城区,苏州,大专,2年及以上,2026-07-23 09:02:59,job51,"岗位职责：
1、负责直线电机、直线模组以及平台等产品售后维护，维修工作;
2、负责客户项目现场异常处理等相关事宜汇报;
3、严格遵守客户现场以及终端作业要求及管理规章制度;
4、产品性能测试工作，做好项目测试资料统计、归纳，及时反馈客户现场调试信息，了解直线电机在设备上的应用工艺;
5、主动了解其它合作部门的工作流程内容与自身工作的相关性，学习新的知识能够运用到工作。

任职资格：
1、大专及以上学历，工科类专业，2年以上同岗位工作经验;
2、具备电机及驱动器系统的使用及操作培训能力;
3、适应出差，抗压能力强、服从上级管理，态度端正;
4、性格稳重、有耐心、忠诚守信、工作严谨、敬业、责任心强、抗压力强、能严守机密、有创新理念、有团队合作精神、有奉献精神;
5、掌握直线电机的组装调试原理，并熟悉直线电机和驱动器的工作原理，能独立完成电机的维修和养护工作，有电控调试工作经验或特长者优先考虑。",性能测试 培训,https://jobs.51job.com/suzhou-xcq/173010808.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
设备安装调试员,施普发智能科技（昆山）,5-6千·13薪,昆山,苏州,大专,3年及以上,2026-08-06 17:45:29,job51,"岗位职责： 

1、负责设备装配、机架组装、管路走线、机构对位安装；
2、设备现场调试、动作优化、故障排查、参数整定、联动试运行；
3、客户现场装机、调试、售后维保。
4、配合电气工程师完成、点位调试、传感器标定、信号核对；
5、做好安装调试记录、备品备件核对、现场安全文明施工。

三、任职要求
1、懂电工基础，会接线、识图（机械图+电气原理图），有电工证优先录用；
2、能完成自动化设备装机、走线、调试、排故；
3、熟悉气缸、伺服、电机、传感器、电磁阀、低压电器常用配件；
4、能接受出差调试，动手能力强，吃苦耐劳；
5、有自动化设备、生产线、安装调试经验均可，熟手加急优先；
6、服从管理，安全意识强，干活细致利落。",故障排查,https://jobs.51job.com/kunshan/173182115.html?s=sou_sou_soulb&t=0_0&req=e82796ee7b3d6719f64427c27abd88ba
