job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
销售经理-MES/MOM/WMS/APS/QMS/IOT/EAM/EMS,福州汉思信息技术,8千-1.5万,苏州,苏州,大专,3年及以上,2026-07-29 13:58:33,job51,"1. 负责指定区域制造业客户开发，主动拓展汽车及零部件、注塑、电子电气、通用装备、医疗器械、新能源、医药、食品等目标工厂，建立客户分层档案（潜在/意向/存量），持续维护客情并挖掘二次销售机会；
2. 联动自动化集成商、设备厂商、ERP 服务商搭建渠道合作体系，共享客户资源，批量获取项目线索；
3. 独立对接客户，深度调研车间生产痛点（排产混乱、工艺追溯缺失、设备 OEE 低、质量管控难、库存积压等），精准匹配 MOM 平台功能价值；
4. 协同售前顾问完成现场调研、需求梳理、方案宣讲、系统演示、样板工厂参观，输出业务价值简报，引导客户认可数字化方案；
5. 主导商务全流程：报价测算、合同条款谈判、招投标文件配合、合同评审与签订，把控付款节点、交付范围、知识产权、验收标准等关键条款；
6. 跟进项目交付进度，协调实施与售后团队解决客户落地问题，保障项目验收与全额回款，管控逾期账款风险；
7. 承接公司年度/季度销售指标，拆解月度商机、拜访、签单、回款任务，定期向销售总监汇报进度；
8. 规范使用 CRM 系统，完整录入客户跟进记录、商机阶段、竞品信息与客户异议，定期复盘丢单/签单案例，输出竞品分析报告；
9. 收集行业政策、客户预算周期及竞争情报，反馈产品部优化 MOM 功能与报价体系。

二、职位要求
1. 学历专业：统招大专及以上，工业工程、机械、自动化、机电、计算机、市场营销等专业优先；
2. 工作经验：3-5 年工业软件 ToB 项目销售经验，须有MES（制造执行系统）/MOM/WMS/APS/QMS/IOT/EAM/EMS任意一类制造软件完整签单案例，熟悉离散制造工厂业务流程；
3. 行业资源：有汽车及零部件、注塑、电子电气、通用装备、医疗器械、新能源、医药、食品等客户资源者优先，能独立跟进 50 万-300 万软件信息化项目；
4. 制造流程理解：熟悉车间排产、工艺管控、设备联网、质量追溯、仓储管理基础逻辑，能理解生产管理人员的专业术语与痛点；
5. 产品认知：理解 MOM 平台一体化架构，能区分 MOM 与传统单一 MES 的差异，独立向客户讲解数字化工厂整体价值；
6. 商务谈判：擅长平衡客户需求与公司利润，把控合同风险，具备异议处理与高层客户公关能力；
7. 基础技能：熟练使用 PPT、Excel，可独立完成客户汇报材料；能常态化出差；
8. 综合素质：目标感极强，抗压能力突出，适应项目型长周期销售节奏；逻辑清晰，沟通表达流畅，擅长倾听挖掘隐性痛点；诚信稳重，具备长期经营客户思维；主动学习，持续钻研制造业新工艺与数字化新技术。",招投标 知识产权 竞品分析 商务谈判 ERP OEE MOM CRM,https://jobs.51job.com/suzhou/173082142.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
初级项目实施工程师,北京广元科技,6千-1.1万,苏州·吴中区,苏州,本科,1年及以上,2026-07-30 14:36:23,job51,"【任职要求可适当放宽，优秀的2026应届毕业生亦可投递。】
Base地：苏州·张家港市，岗位需要全国范围内出差

一、岗位职责
1. 现场设备调试：负责能源管控项目现场的物联网设备、电表、配电相关设备的安装、调试、试运行；
2. 现场沟通对接：对接项目客户、集成商等相关人员，做好现场需求沟通、问题反馈，同步完成现场各类数据、资料的收集整理；
3. 技术资料管理：负责工程项目及各类技术文档、运维文档、业务资料的编制、修改、更新、整理及归档，规范完成项目的文件管理工作；
4. 项目跟进落地：协助跟进项目整体进度，配合完成现场签证、项目验收、进度汇报等收尾及落地工作，熟悉工程项目全流程。

二、任职要求
重点：2026届优秀应届生无经验可培养
1. 本科学历，通信工程、电子信息、电气自动化、仪器仪表等专业优先；
2. 了解基础配电系统知识，熟悉电表基础安装、配置原理；愿意学习工业自动化、能源管控相关技术，对MODBUS、DLT645、MQTT电力规约，PLC、SCADA、组态软件、水电气表集抄等相关领域有了解或浓厚兴趣均可；
3. 持有电工证等相关职业证件优先，无证件可入职后配合考取；
4. 沟通表达顺畅，学习能力、执行力强，工作踏实有责任心；
5. 能接受国内出差；
6. 做过水电气表集抄、电能表、主站抄表等上位机组态软件优先；
7. 有电气仪表、自动化设备、能源行业相关实习、实训经历者优先录用

三、薪资待遇：月薪范围 6K~11K ｜ 根据经验面议，应届生可谈；根据个人的综合能力进行定薪，六险一金，出差补贴，其他福利津贴，月度评优，团建福利，年度奖金等。

四、工作时间：9：00~12：00 &amp; 13：30~18：30，12：00~13：30午休",Modbus MQTT 技术文档 DLT645 PLC SCADA,https://jobs.51job.com/suzhou-wzq/173099116.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
强弱电主管,苏州工业园区独墅湖科技服务,11-13万/年,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-24 11:30:29,job51,"一、岗位职责 
1、统筹保障公司全项目强弱电智能化系统、高低压配电及综合弱电系统稳定运行，建立总公司层级强弱电故障应急响应机制。
2、督导各项目做好设备日常运维、告警处置、故障闭环管理，管控全公司强弱电设备完好率、故障闭环率等核心指标。
3、持续优化数字化、精细化的强弱电运维管理体系。
二、任职要求 
1、 年龄35周岁以下，本科及以上学历，电气工程、自动化、机电、物联网等理工类相关专业优先。
2、扎实的强弱电及智能化系统专业基础，熟悉物业集团化运维管理模式。
3、可独立研判、统筹处理多项目强弱电故障及各类技术难题，具备应急处置能力。
4、5年及以上商业、产业园物业工程管理经验，有物业集团/总公司多项目强弱电统筹管控经验者优先，熟悉物业设施品质管控、标准化体系搭建及落地流程。",应急响应,https://jobs.51job.com/suzhou-gyyq/173029548.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
技术支持工程师,江苏西格数据科技,6千-1万,苏州·苏州工业园区,苏州,大专,3年及以上,2026-07-16 11:31:21,job51,"岗位职责
1. 负责机床监控物联网设备安装及系统异常处理
2. 负责数控机床过程监控数据分析及监控策略优化
3. 负责项目资料规整，为客户提供后续的技术及优化服务
4. 负责客户现场机加工工艺优化及应用总结报告
5. 负责客户应用培训
6. 上级领导交代的其它任务

任职资格
1、学历背景：机电、数控、机械工程、计算机等相关专业专科或以上学历。
2、工作经验：从事机加工工艺编制、刀具、机床等相关行业的应用服务岗位3年以上工作经验，或者对设备、刀具、工艺等具备一定了解的机加工行业工厂基层管理人员。
3、技能要求：具备一定的机械基础知识，了解初级的电气常识，有电工证者优先；有较强的动手能力， 具备良好的协调能力；会操作办公软件；有驾照且能独自上高速。
4、素质要求：团队协作意识强；敬业、服务意识强；抗压，适应频繁出差。",数据分析 培训,https://jobs.51job.com/suzhou-gyyq/159953914.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
售前工程师,儒拉玛特自动化技术（苏州）,1.5-2.5万·15薪,苏州·苏州工业园区,苏州,本科,10年及以上,2026-08-05 14:37:01,job51,"工作职责
1.负责售前项目调研、需求分析、方案撰写、方案讲解呈现、产品演示以及初步预算。 
2.负责项目投标过程中的标书应答、制作和审核投标配置及技术方案等。
3.负责与产品开发和项目团队紧密配合，确保售前过程中的方案功能在项目实施过程中的充分落地。
4.完善行业方案及产品规划、样板客户案例以及企业管理模式和业务模式的总结提炼。
5.为市场部的宣传资料、公众微信号、官网等媒介提供案例素材。
6.定期为内部人员培训，提升整体业务能力。 
7.完成公司交办的其他任务

任职资格
1.本科及以上学历、MES系统、WMS系统、智能制造、工业IoT、生产制造全流程（数字化产品售前/实施）相关工作背景10年以上经验者为佳；
2.熟悉食品行业、非标自动化产线、汽车零部件、医疗医药等行业领域；熟悉自动化系统、生产运营系统、自动化控制、计算机系统等相关知识；
3.善于敏锐洞察客户业务诉求，具备优秀的沟通能力，并在售前过程中获得客户的信任和支持；
4.精通售前方案的编写和销售工具制作，有较强的文档编辑功底，有较高的审美意识，优秀的个人气质和谈吐；
5.独立主导百万级的企业生产制造信息化项目经验；
6.具有较强责任心、价值意识、项目思维，能够换位思考，结果导向思维；
7.具备较强的沟通表达、业务处理能力，较强的团队管理能力，较强的适应能力； 
8.抗压能力强、能适应短期的全国出差；",需求分析 投标 技术方案 产品规划 培训 团队管理,https://jobs.51job.com/suzhou-gyyq/170006919.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
CIM工程师,苏州通富超威半导体,1.5-1.8万·13薪,苏州,苏州,本科,3年及以上,2026-08-07 08:45:52,job51,"一、岗位职责
【EAP 设备自动化方向】
设备集成开发：负责封测产线（测试机、分选机、贴片机、划片机等）的 EAP 系统开发，基于 SECS/GEM、HSMS、Modbus TCP/IP、OPC UA、PLC 等协议完成设备联机与自动化改造；
自动化流程落地：实现设备远程 Control/Monitor、Job 自动下发、Recipe 自动校验与切换、Id Reader 交互、Bin 定义同步等核心功能；
数据采集与监控：构建高并发、低延迟的设备数据采集（EDA）通道，保障秒级/毫秒级数据上传至 MES 与大数据平台；
稳定性保障：解决产线 7×24h 运行中的通信掉线、Transaction 超时、端口并发、异常恢复等技术难点，确保系统可用性 ≥ 99.9%。
【RTD 实时派工方向】
智能派工系统开发：负责 RTD（Real-time Dispatch）系统的架构设计与核心模块开发，支持基于多约束条件（设备产能、工艺优先级、交期、换线时间、人员资质等）的动态调度；
调度算法与规则引擎：设计并优化派工规则与算法模型（规则引擎、运筹优化、启发式算法或 AI 强化学习），持续提升设备综合效率（OEE）与生产周期（Cycle Time）；
系统协同集成：实现 RTD 与 MES、EAP、WMS、ERP 及 APS 系统的深度集成，确保 Lot 派工指令实时、准确地下发与闭环反馈；
数智化升级：利用实时数据中台与 AI 算法，推动从“经验派工”向“预测性/自适应派工”转型。
二、任职要求
学历背景：本科及以上学历，计算机、软件工程、自动化等相关专业；
开发经验：3年以上制造行业系统开发经验，至少 1 年以上半导体封测或晶圆制造（Fab/OSAT）行业 EAP/RTD/MES 项目经验；
EAP 技术栈：
精通 C#/.NET 或 C++/Java，熟悉多线程、异步编程、TCP/IP 网络通信；
深入理解 SECS-I/SECS-II/GEM/HSMS 标准协议，具备至少一种 SECS 库的实际开发经验；
熟悉主流 PLC 通信协议或工业物联网（IIoT）网关开发；",Modbus TCP/IP 高并发 C# C++ Java 数据采集,https://jobs.51job.com/suzhou/172941842.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
电气自动化工程师(J10017),苏州真懿医疗,1-1.5万·14薪,苏州,苏州,本科,3年及以上,2026-07-14 14:07:44,job51,"工作职责:
一、非标工装电气系统设计与开发
 负责非标工装电气方案设计、元器件选型、BOM编制及电气图纸绘制；使用西门子、三菱等主流PLC，编写设备动作逻辑、安全联锁及数据交互程序；完成HMI触摸屏组态、画面设计与参数调试。
二、运动系统调试与电气工程落地
 负责伺服、步进、变频器等运动系统调试与参数优化；独立完成电控柜成套设计、布线规划、装配指导及现场整机调试；落地企业电气标准，维护电气标准件库及台账。
三、工业通讯与系统集成
 基于Profinet、Modbus、CAN等工业协议，完成设备通讯方案设计与对接；实现PLC与MES、SCADA等上位系统数据集成；排查现场通讯故障，优化通讯稳定性与传输效率。
四、现场数据采集与工厂数字化改造
 负责生产设备数据采集方案实施，完成传感器接入、数据网关及边缘节点调试；实现设备产量、节拍、报警、能耗等数据实时上传；配合完成数据处理、可视化看板搭建及工厂设备联网、数字化改造工作。
五、技术沉淀、协同协作与技术赋能
 配合机械团队完成机电联调与设备验收，编制电气设备技术及维护手册；提供电气技术支撑，开展一线运维人员技能培训；跟进行业新技术，输出工装设备优化升级方案。
六、安全规范管控
 参与电气安全风险评估，严格依照行业安全规范开展设计，排查并规避电气隐患，保障设备合规、安全运行。
任职资格:
一、 学历与专业
 本科及以上学历，电气工程、自动化、机电一体化、电子信息等相关专业；3 年以上电气自动化相关工作经验，有非标设备或工装设计经验者优先；
二、 专业技能要求
 PLC 编程：精通西门子 S7-1200/1500 或三菱 FX/Q 系列，能够独立完成程序架构设计与调试
 触摸屏：熟悉 WinCC / WinCC Flexible / GT Designer 或同类 HMI 组态软件
 运动控制：熟悉变频器、伺服系统的调试与应用
 电气设计：熟练使用 EPLAN / CAD / SolidWorks Electrical 等电气设计工具，能够独立出图
 通讯技术：掌握工业以太网、串口通讯等协议原理与实际应用
 数据采集：了解工业物联网（IIoT）架构，熟悉数据采集网关、边缘计算或 SCADA 系统基础
三、综合能力
 具备良好的机电协作意识，能够与机械工程师高效配合完成工装开发
 逻辑清晰，具备独立分析问题和解决问题的能力
 工作主动，动手能力强，能够适应现场调试环境",Modbus CAN 方案设计 数据采集 培训 合规,https://jobs.51job.com/suzhou/172903781.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
信息化工程师(J12349),宁波震裕科技,1.5-2.3万·14薪,苏州·高新区,苏州,本科,5年及以上,2026-07-14 17:11:25,job51,"工作职责:
数据采集（DA/OPC/IIoT）

负责PLC（Siemens、Mitsubishi、Omron等）、CNC、仪表、DCS的数据采集；

配置并维护 OPC Server / OPC UA / Modbus / Profinet / MQTT 等通信；

对接边缘网关/IoT Box，完成设备联网与数据点表整理。

SCADA系统开发与维护

使用 SCADA 软件（如 WinCC、Ignition、iFix、Intouch 等）进行画面组态、报警、趋势、报表开发；

优化 SCADA 与底层设备、上层 MES/ERP 的数据交互；

负责 SCADA 系统版本管理、备份及日常故障处理。

SCADA/MES/IoT 运维支持

保障车间数采、SCADA 系统 7×24h 稳定运行；

快速响应现场数采中断、通讯异常、画面卡顿等问题；

协助生产、设备部门分析因信息化系统导致的停线/异常。

接口与数据治理

开发 SCADA ↔ MES / MES ↔ ERP 接口（Web API / REST / DB Link / MQTT）；

参与设备台账、测点字典、工位编码等基础数据标准化。

持续改进与项目配合

参与新产线/新设备的数采与SCADA方案评审与实施；

编写技术文档、操作手册，对生产/维修人员进行基础培训。
任职资格:
✅ 学历与专业

本科及以上，自动化、电气工程、计算机、机电一体化、测控技术与仪器等相关专业

✅ 工作经验

5年及以上行业，

3年制造业现场 PLC / SCADA / MES 实施或运维经验

参与过至少一条产线的设备数采或SCADA组态项目

✅ 专业技能

熟悉主流 PLC 编程与地址结构（S7-1200/1500、FX/Q系列等）

熟练使用至少一种 SCADA 软件（WinCC / Ignition / iFix / Intouch）

掌握工业通讯协议：

OPC / OPC UA、Modbus RTU/TCP、Profinet、S7、MQTT

了解关系型数据库（SQL Server / Oracle / MySQL），会基本 SQL

有以下任一加分：

了解 MES 系统（生产工单、报工、追溯）

会 Python / C# / JavaScript 做简单接口或脚本

接触过 Ignition、ThingWorx、阿里/华为工业互联网平台

✅ 素质要求

能适应车间现场环境，接受偶发夜班/加班抢修

较强的问题分析与沟通能力（需对接IT+OT）

注重文档规范与系统安全（账号、备份、变更记录）",Modbus MQTT SQL Server Oracle MySQL SQL Python C# JavaScript 数据采集 版本管理 数据治理 技术文档 培训,https://jobs.51job.com/suzhou-gxq/172909303.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
技术支持（苏州、杭州、上海）,深圳市东微智能科技,6千-1万,苏州,苏州,本科,1年及以上,2026-06-12 19:02:49,job51,"职责描述： 
1.负责公司产品的安装及调试等交付工作； 
2.完成售前相关基础工作，如清单配置、方案编写、绘制图纸等；
3.负责常规产品的演示、客户培训工作； 
4.负责客户需求的收集；

任职要求： 
1.本科及以上学历，计算机、网络、音响工程、电子技术等相关专业优先；
2.经验不限；
3.熟悉专业音视频基础理论知识，具备同行业交付类工作经验优选；
4.具有上进心及工作热情、善于主动沟通、具备良好的团队合作精神；
5.抗压能力强，精神面貌好，吃苦耐劳，情绪稳定，可接受出差。",培训,https://jobs.51job.com/suzhou/171427502.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
售后技术支持,奥茵绅智能装备（苏州）,6-8千,苏州·虎丘区,苏州,本科,1年及以上,2026-07-30 14:44:04,job51,"岗位职责:
1、负责电机售后问题对接处理，处理相关项目方案落实及相关信息反馈；
2、负责配合电机现场的安装调试工作：包括安装进度、客户沟通、问题处理、相关信息反馈等；
3、负责提供客户相关技术支持，协助客户处理现场问题；
4、负责电机现场日常维护及巡检工作；
5、完成主管交代的其他工作。

任职要求:
1、本科及以上学历，机电一体化、电气自动化等相关专业。
2、1年以上工作经验，懂电气知识，有设备维修基础，动手能力强，优秀的应届毕业生亦可。
3、有驱动器调试经验，熟悉高创/松下/繁易驱动器的优先考虑；
4、具备吃苦耐劳的精神，良好的沟通表达、协调及执行能力，责任心强能够接受频繁外出和出差。",客户沟通 技术支持,https://jobs.51job.com/suzhou-hq/170295717.html?s=sou_sou_soulb&t=0_0&req=0db5c05a7edb94c9837656a417d18b3f
