job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
产品经理（智慧零售）(J10616),研华科技（中国）,1.5-2.5万,昆山,昆山,本科,3年及以上,2026-06-23 00:01:45,job51,"工作概要Job Purpose：
负责中国区智慧零售项目的产品研发专案管理，负责追踪、协调、解决项目实施过程中出现的问题，确保项目执行质量，推动产品上市。

工作任务Task：
（1）智慧零售项目产品开发, 包括项目团队建立, 新产品研发及客制化标准建立；
（2）新产品市场调研, 成本分析, 技术可行性分析及风险管理；
（3）负责整体项目schedule制定和资源协调, 负责研发部门及各部门间的沟通协调. 解决开发过程中出现的问题, 保证产品导入计划按时达成；
（4）拜访客户, 洽谈产品规格, 协助客户解决产品问题, 为客户提供解决方案, 提升客户满意度；
（5）产品报价及成本管理。

专业知识与技能Professional Knowledge and skill：
（1）熟悉电子硬件的专业知识，例如电脑、服务器、安卓平板、POS等；
（2）掌控产品开发流程；
（3）具备x86/ARM主板与系统架构能力，或机构结构热处理等知识；
（4）良好的Presentation技巧及沟通能力。
（5）若有相关嵌入式系统产品（Android POS/手持/边缘网关）经验及产品外包经验更佳；",ARM 市场调研 风险管理 资源协调 Purpose Knowledge Android POS,https://jobs.51job.com/kunshan/168532370.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
产品工程部经理,昆山富田技研精密零组件,1.9-2.2万,昆山,昆山,大专,5年及以上,2026-07-04 10:35:11,job51,"任职要求：大专以上学历，从事产品设计和开发工作5年以上（汽车件优先），可熟悉操作3D绘图软件；
主要工作：
1.任职产品开发经理，负责产品工程部日常事务管理，；
2.产品工程师的工作分配和工作进度追踪、绩效考核；
3.产品的成本分析、报价，新产品开发和实现、产品生产工艺策划、降本；
4.主导专案改善；
5.主导与客户之间的技术讨论和标准制定；
6.主导手工样品的制作；
7.协助特殊工艺的资源开发；
8.协助质量处理品质异常的投诉和制程质量问题的分析；",产品设计,https://jobs.51job.com/kunshan/144959065.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
产品经理（工业连接器or汽车连接器）,昆山安费诺正日电子,40-60万/年,昆山,昆山,本科,6年及以上,2026-07-27 13:59:30,job51,"该岗位必须要有连接器行业经验，且英语口语流利！

任职要求：
1、本科及以上学历，电气、机械工程、材料，工业工程等相关专业优先。
2、连接器行业经验，熟悉需求管理，产品线路图，评审与发布，变更与管理。
3、具备产品全生命周期管理经验，至少主导过1-2款连接器产品从立项到量产的完整流程。
4、逻辑清晰，具备市场敏感度和数据分析能力。
5、优秀的跨部门协作与沟通能力，能适应快节奏工作。
6、英语口语流利，可作为工作语言。

岗位职责：
1、产品需求与趋势归纳
(1)参与建立并维护需求库，（来自客户、市场、技术）推动需求登记、去重。合并与可追溯
(2)定期从需求库归纳产品与技术趋势，为路线图产品及评审机制提供依据
识别可复用的相似概念，推动既有产品或设计的复用，降低重复立项与平衡开发
2、制定产品基线
 将公司定义的主导产品形态。核心竞争力、技术演进方向，并在评审中落实为一直结论。包括能力域对齐。形态与平台对齐，产品规格对齐。
3、制定产品线路
(1)制定并维护中长期产品路线图与年度季度发布节奏：理清各阶段目标与安排，并与两条路径上的里程碑、认证与发布对齐（路径A需求驱动：路径B路径驱动）
4、市场推广支持
(1)协助市场部制定产品宣传资料，参与行业展会及技术研讨会。
5、产品生命周期管控
(1)明确产品在定制/路线图/标准品各阶段的准入，收敛与退出规则（何时，和条件，客制品可沉淀为标准品；路标产品何时视为成熟并转入标准品维护策略）。
（2）在生命各阶段推动文档，互配表，应用说明与实物状态同步；组织变更通知与替代关系管理。",数据分析 跨部门协作 市场推广,https://jobs.51job.com/kunshan/166443494.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
产品工程经理,深圳市华科精密工业股份有限公司昆山,2-2.5万,昆山,昆山,大专,8年及以上,2026-07-24 15:42:29,job51,"岗位职责：
1.部门年度规划、KPI制定、预算、人事管理、教育训练及绩效考核的计划识别重点项目,精准服务, 涉入项目开发,推进整体进度, 协调资源,做出有利项目进度的决策。
2.工程开发体系和流程的建立完善、改进及推动部属工作指导及异常问题协助创新技术与工艺改善的推动。
3.公司内、外部沟通协调以促进项目的顺利完成。
4.团队目标与规划。技术标准与工作规范建立, 工作指导,团队技术能力提升, 团队凝聚力打造
5.上级主管临时安排的事项的执行，主动及时反馈工作进度。
任职要求：
1.工科电子专业本科或以上学历，大专学历，经验丰富者亦可;
2.受过企业管理、项目管理、财务管理、ISO9000、14000等培训;
3.至少八年以上连接器行业相关工作经验，其中三年以上工程开发部门管理经验;
4.可制订并推动工程部管理体系;
5.能全面掌握新产品开发专案；
6.对塑胶、五金、电镀有较深刻认识；
7.对连接器产品及市场有较深刻认识；
8.熟练使用绘图软件；
9.熟悉ISO9000、ISO14000体系及Rohs管控要求，有内审经验并可推动相关管控措施;
10.敏锐分析、判断能力、出色的项目管理能力、极强的业务指导能力、善于沟通协调、亲和力强;
11.勇于承担责任、良好的职业操守、认真仔细、思维敏捷、有创新意识、具有团队协作精神。",项目管理 培训 ISO9000,https://jobs.51job.com/kunshan/162792198.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
产品经理,立讯电子科技（昆山）,1.5-3万·13薪,昆山,昆山,本科,8年及以上,2026-08-06 20:28:19,job51,"【岗位职责】
1.端到端产品规划： 主导硬件产品全生命周期管理，基于市场洞察与竞品分析，挖掘用户需求，输出高质量的 MRD 与 PRD。
2.全链路研发推进： 协同 ID、结构（MD）、硬件、嵌入式及供应链团队，严格把控产品从概念到量产（EVT/DVT/PVT/MP）的各阶段里程碑。
3.成本与质量管理： 深度参与 BOM 成本核算与产品定价，平衡性能与商业目标；跟进并推动解决 NPI（新产品导入）及生产过程中的工艺与质量异常。
4.GTM 与市场赋能： 提炼核心卖点，协同营销与销售团队制定 GTM（走向市场）策略，并基于市场反馈驱动产品持续迭代。
5.供应链协同： 协助评估与管理 ODM/OEM 厂商，把控核心元器件选型，保障产品定义的高质量落地。

【任职要求】
1.背景与经验： 理工科（电子、自动化、机械、通信等）本科及以上学历；8年以上硬件产品管理经验，具备完整的从0到1量产上市成功案例。
2.领域深耕： 拥有个护或生活家电（如吹风机、美容仪、脱毛仪、按摩仪、吸尘器等）实操经验者优先。
3.技术与业务理解： * 精通硬件开发及 NPI 流程，熟悉模具开发与制造工艺。
4.具备跨界沟通能力，能无障碍阅读基础电路原理图或结构堆叠图。
5.熟练掌握 Visio、Axure、XMind 等工具，文档撰写能力强。
6.语言能力： 英语可作为工作语言，听说读写精通。
7.加分项： 持有 PMP 证书；熟悉 IoT 平台对接逻辑；或具备智能穿戴/医疗器械行业经验。",产品规划 竞品分析 供应链 MRD PRD ID MD EVT,https://jobs.51job.com/kunshan/172359037.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
产品经理/主管,江苏中正检测,1.5-3万,昆山,昆山,本科,3年及以上,2026-07-10 10:21:15,job51,"【工作内容】
1、负责防溺水系统产品全生命周期规划，制定产品路线图及功能迭代策略；
2、主导需求调研与分析，结合AI算法与物联网技术，设计智能预警与救援方案；
3、协调研发、测试及算法团队推进项目开发，确保核心功能按时高质量交付；
4、对接检测认证机构，推动产品通过行业安全标准认证并优化合规性流程；
5、收集用户反馈与市场数据，持续优化产品体验，提升系统在实战中的可靠性。

【任职要求】
1、本科及以上学历，计算机、电子信息或相关专业，具备3年以上智能硬件或安防产品经验；
2、熟悉人工智能、物联网技术应用，有涉水安全监测或预警类产品成功案例者优先；
3、精通产品管理工具，具备优秀的跨部门沟通协调能力及项目统筹管理能力；
4、对水安全领域有深刻认知，了解相关检测认证标准，具备较强的数据分析能力；
5、责任心强，抗压能力强，能适应快节奏工作环境，具备良好的职业素养与创新思维。",合规 数据分析,https://jobs.51job.com/kunshan/172863619.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
产品经理（工控机）,苏州桦汉科技,9千-1.4万·13薪,昆山,昆山,本科,2年及以上,2026-06-12 09:38:27,job51,"岗位职责
1、负责产品从开发到量产的全流程管理，制定计划、把控进度、预算与质量；
2、开展市场 / 竞品分析，参与产品线规划与创新，推动项目落地。
3、跟进各产品线业绩与利润目标达成，提升 RFQ（含 DTOS 项目）成功率。
跨部门协作与关系维护
4、协调研发、生产、业务等部门资源，解决项目问题，保障客户、代理商及内部部门满意度。
5、执行公司制度，持续提升专业能力，保障团队高效协作。
任职要求
1、本科及以上学历，理工科背景优先；
2、有2 年以上产品开发 / 项目管理经验，熟悉产品从开发到量产流程；
3、具备良好的项目统筹、跨部门沟通与问题解决能力，有业绩导向意识。",竞品分析 跨部门协作 项目管理 RFQ DTOS,https://jobs.51job.com/kunshan/172526175.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
产品经理（机器人）,苏州博特勒机器人,1.5-3万,昆山,昆山,本科,3年及以上,2026-07-06 09:27:59,job51,"核心定位：统筹智能机器人全生命周期产品管理，打通市场需求、客户诉求与公司自研全链条（硬件、软件、算法、制造、测试、销售），打造贴合市场、性能达标、客户认可的智能机器人产品。

岗位职责：
1、尝试调研机器人行业市场趋势、竞品动态、技术发展方向，挖掘行业潜在需求；对接公司现有客户资源，深度访谈、梳理客户真实使用场景、功能诉求，性能指标与痛点问题，形成标准化需求分析报告；
2、将市场及客户需求转化为公司内部可落地的产品需求，输出完整的产品需求文档、产品规格书、核心参数标准，明确机器人硬件、软件、算法的设计方向和功能要求，同步对接硬件设计组开展研发工作。
3、全程管控机器人从硬件设计-软件系统开发-生产制造-产品测试的全流程，跟进各环节进度与质量，核对产品最终性能、功能、参数是否匹配前期需求档准，确保研发与生产不偏离市场与客户诉求；
4、基于产品测试、场景使用、客户反馈的各类数据、梳理产品的优化方向，推动硬件、软件、算法、制造等环节持续迭代升组，不断提升产品性能、稳定性与客户满意度。
5、作为产品核心对接人，协同各部门打通沟通壁垒，解决产品研发、生产、落地过程中的各类问题，保障产品顺利推进与市场化。
6、领导临时安排的其它任务。

岗位要求：
1、全日制本科及以上学历，机器人工程、自动化、电子信息、计算机、机械设计等相关专业优先；
2、3年以上机器人、自动化设备、智能硬件产品经理相关工作经验，有管理复杂产品从概念到上市的全流程经验优先；
3、具备扎实的需求调研，分析与转化能力，能独立输出产品需求文档；熟悉机器人产品研发、生产、测试全流程把控产品核心参数与质量；；
4、具有良好的团队沟通交流、项目推进与问题解决能力；
5、对机器人行业有浓厚兴趣，具备较强的市场洞察力，逻辑思维能力与产品迭代思维，工作严禁负责，执行力强。",需求分析 产品迭代,https://jobs.51job.com/kunshan/169983482.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
矿山软件产品经理,三一重工,1.3-2.5万,昆山,昆山,本科,5年及以上,2026-07-24 17:37:58,job51,"1. 产品规划与设计
- (1) 负责矿山软件平台产品的市场调研与用户需求分析，深入理解露天矿/井工矿采、运、排等典型作业场景，分析矿区生产流程、调度模式及安全合规要求，完成产品规划与版本管理。
- (2) 负责产品核心功能模块的定义与设计，涵盖地质保障系统、综合管控平台、露天矿无人驾驶调度系统、智能调度等关键方向，编写高质量的产品需求文档（PRD）及原型设计，协同研发、测试、UI设计团队，推动产品功能高效落地。
- (3) 跟踪产品上线后的用户反馈和数据表现，结合矿区一线作业人员与管理人员的真实使用反馈，持续进行产品迭代优化，提升产品在矿山场景下的适配性、易用性与稳定性。
2. 需求分析与方案落地
- (1) 深入矿山业务场景，聚焦矿山企业在生产效率、安全管理、成本控制、合规监管等方面的核心痛点，定期赴矿山现场走访，与矿长、生产负责人、设备管理人员等关键角色深度沟通，收集需求反馈并输出结构化需求调研报告。
- (2) 主导智慧矿山工业软件套件、综合管控平台、露天矿无人驾驶调度系统、地质保障系统等产品的需求分析与设计工作，将复杂的矿山业务流程转化为可落地的产品解决方案。
- (3) 跨部门协作与项目管理，协调算法、车端软件、云平台、硬件、测试、运维等跨职能团队，确保产品需求与自动驾驶技术方案一致，制定项目风险管理机制，定期输出项目进度报告。
- (4) 与解决方案、交付等团队紧密配合，协助支撑市场开发工作；对大客户项目产品交付负责，推动产品在真实矿区长期稳定运行。
3. 市场推广与生态建设
制定矿山软件产品的市场推广策略，利用行业展会、技术交流会等渠道，提炼产品核心卖点并输出培训材料；联合行业专家资源，提升产品在矿山数字化领域的品牌形象与市场占有率。
4. 按时完成上级领导交办的其他工作任务
任职要求
1. 本科及以上学历，采矿工程、矿物加工工程、计算机、自动化、软件工程等相关专业优先，5年以上软件产品经理工作经验，具有矿山行业软件解决方案经验者优先。
2. 精通矿山生产全流程（采矿方法、核心设备类型、运输调度模式），深入了解矿山安全监管、环保合规等政策要求，具备智慧矿山工业软件、综合管控平台、无人驾驶调度系统等产品从0到1完整落地经验者优先。
3. 熟悉露天矿无人驾驶作业场景，掌握无人驾驶技术原理、生产调度逻辑及云边端协同系统架构，深刻理解矿卡/工程车辆自动驾驶能力、智能调度与车路协同、生产效率与安全监控等核心业务逻辑。
4. 具备强烈的用户思维与行业敏感度，能够深刻理解矿山客户在“降本增效”及“安全合规”方面的核心诉求，具备优秀的逻辑思维、数据分析与文档撰写能力。
5. 对AI大模型技术、数字孪生、物联网、5G等新技术在矿山领域的应用有浓厚兴趣，能够作为桥梁沟通业务、技术与算法团队。
6. 具备优秀的产品设计与原型能力，精通Axure、Figma、墨刀等设计工具，可独立完成PRD及高保真原型设计；理解自动驾驶或相关技术背景（感知、规划控制、系统集成），可与算法及工程团队高效沟通。
7. 能适应矿山行业特性，接受短期出差及矿区驻场，具备较强的执行力和问题解决能力，能主动推动产品优化迭代与项目顺利落地。",大模型 5G 产品规划 市场调研 需求分析 安全合规 版本管理 原型设计 产品迭代 成本控制 合规 跨部门协作 项目管理 技术方案 风险管理 市场推广 培训 数据分析 产品设计,https://jobs.51job.com/kunshan/173036882.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
热管理产品经理,中绿空间液态金属科技（江苏）,2-3万,昆山,昆山,本科,5年及以上,2026-06-24 10:39:20,job51,"岗位职责：
1.负责数据中心、储能、军工等领域热管理产品的规划，并完成实验到市场论证工作；
 2.负责市场、行业调研分析，能够把握产品市场方向和趋势，并规划产品方向；
 3.负责市场分析论证、产品需求论证，以及产品拓展和推广的分析论证工作；
 4.负责产品实现，与研发团队紧密配合，完成产品设计、方案、用户方案、推广策略等工作； 
5.完善产品、市场、研发团队的配合工作，完善产品推广策略，引导技术与产品从研发端到市场端的转化。
 任职条件：
 1本科及以上学历，5年及以上相关工作经验；
 2.熟悉热管理相关产品设计开发流程，曾主导产品全生命周期工作； 3.熟悉水、油等流体换热回路，管壳式、板翅式换热器，制冷系统等常见散热相关产品的设计与开发；
 4.熟练应用SW三维建模软件，制作工程图纸；
 5.具备良好的沟通协调能力，及统筹产品相关经验；
 6.熟悉数据中心、储能、军工等领域的热管理需求及热管理产品。",产品设计,https://jobs.51job.com/kunshan/161237406.html?s=sou_sou_soulb&t=0_0&req=0ba23628641820b65d78dc1c474f7a56
