job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
硬件开发工程师,苏州弘远电气,1.5-2.5万·15薪,苏州·吴江区,苏州,本科,3年及以上,2026-08-07 11:53:59,job51,"岗位职责：
1、负责控制类硬件开发 
2、按照产品需求与规格书制定硬件设计方案，完成器件选型与计算，电路设计与调试 
3、根据规格书及技术方案，完成原理图设计 
4、配合结构、PCB工程师等完成产品结构及PCB设计 
5、进行产品的测试与调试，保证其能够按照设计正常运行 
岗位要求：
1、本科以上 电力电子、自动化等相关专业 
2、能够独立完成硬件原理图设计及计算，熟悉使用PADS等绘图软件；
3、积极向上，团队合作能力、沟通能力、执行力强，能够独立解决产品的市场应用问题.",技术方案,https://jobs.51job.com/suzhou-wjq/173188899.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
硬件研发工程师（电源方向）,苏州矽凯力科技,3-3.5万·14薪,苏州·苏州工业园区,苏州,本科,6年及以上,2026-08-07 17:07:18,job51,"【工作内容】
1、负责硬件电路原理图设计、PCB布局及元器件选型，确保方案满足性能与成本指标；
2、主导样机调试与测试，解决信号完整性、EMC等关键技术问题并优化产品稳定性；
3、编写硬件设计文档、测试报告及技术规范，配合软件团队完成系统联调与交付；
4、跟进量产导入过程，协同供应链处理物料异常，持续改进生产工艺以提升良率。

【任职要求】
1、电子工程、通信或相关专业本科及以上学历，具备扎实的模拟/数字电路理论基础；
2、精通Altium Designer或Cadence等EDA工具，熟悉高速电路设计及常用芯片应用；
3、拥有6年以上硬件研发经验，有半导体或消费电子项目落地成功案例者优先；
4、具备良好的逻辑分析能力与问题解决技巧，工作严谨细致，能适应项目节点压力。",供应链,https://jobs.51job.com/suzhou-gyyq/173195217.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
pcb设计工程师,苏州绿的谐波传动科技,1-1.5万,苏州·吴中区,苏州,本科,3-5年,2026-08-08 16:22:16,job51,"岗位职责
1.负责伺服驱动器控制板、功率板、PCB全流程设计；协同硬件工程师、进行设计评审，确保PCB满足电气性能、散热及可靠性要求；解决PCB设计中EMI/EMC问题，针对Layout导致的性能缺陷进行整改与提升。

任职要求
精通Altium Designer等EDA设计工具，具备6层板 设计能力，有变频器、逆变器、电源等产品设计并量产经验者优先。",产品设计,https://jobs.51job.com/suzhou-wzq/173200205.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
电气开发工程师,立臻科技（昆山）,1-2万,昆山,苏州,大专,3年及以上,2026-08-07 14:37:39,job51,"【工作内容】
1、负责集成电路或电子产品的电气原理图设计、PCB布局及电路仿真验证；
2、主导核心模块的硬件开发，完成元器件选型、电路调试及功能测试工作；
3、协同软件与结构团队解决系统级电磁兼容问题，优化产品电气性能指标；
4、编写并维护详细的技术文档，包括设计规范、测试报告及生产作业指导书；
5、跟进样机试产过程，分析并闭环解决量产阶段出现的电气异常与可靠性问题。

【任职要求】
1、大专及以上学历，电子信息工程、微电子或相关专业，具备扎实电路理论基础；
2、精通模拟/数字电路设计，熟练掌握Altium Designer等EDA工具及常用测试仪器；
3、拥有3年以上电子行业硬件开发经验，熟悉半导体工艺特性及信号完整性处理；
4、具备良好的逻辑思维能力与问题分析能力，能独立承担项目模块攻关任务；
5、工作严谨细致，责任心强，具备良好的跨部门沟通协作能力及抗压素质。",功能测试 技术文档,https://jobs.51job.com/kunshan/173191380.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
硬件工程师,苏州安驰控制系统,1.5-2.5万·14薪,苏州·高新区,苏州,本科,2年及以上,2026-08-02 19:51:45,job51,"岗位职责：
1、负责硬件方案设计、器件选型、电路图设计、PCB布局；
2、协助整机产品调试和测试；
3、协助产品转量产工作；
4、负责制定硬件设计相关模板和文档。
任职要求：
1、电气、电子信息、自动化等相关专业本科以上学历，5-8年硬件工作经验；
2、有变频器、逆变器、UPS、大功率电源等相关产品开发经验优先；
3、熟悉IGBT和MOSFET器件的应用，了解开关电源设计、模拟电路原理；
4、熟悉常用绘图工具使用，如altium designer使用；
5、有较强的沟通能力和团队合作能力，能积极主动推动项目开展。",方案设计 UPS,https://jobs.51job.com/suzhou-gxq/172849660.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
电子硬件工程师,芯旸微（苏州）电子,1.5-2.5万·13薪,苏州·相城区,苏州,本科,5年及以上,2026-08-03 15:45:01,job51,"【岗位职责】
硬件系统设计与开发：负责电子产品硬件方案的选型与架构设计，独立完成原理图绘制及PCB Layout（多层板），确保电路设计的可靠性与可制造性；
核心电路攻关：负责主控芯片（MCU/ARM/DSP/FPGA）外围电路、电源管理、信号调理及接口电路的设计与调试，解决电磁兼容（EMC）与信号完整性（SI）问题；
调试与测试：制定硬件测试计划，使用示波器、逻辑分析仪、频谱仪等仪器进行板级调试与系统联调，撰写测试报告并推动问题解决；
器件选型与成本控制：负责关键元器件的选型、评估与替代，在保证性能的前提下优化BOM成本，并对接供应链处理物料问题；
生产导入支持：配合软件团队进行底层驱动调试，协助工厂解决试产及量产过程中的硬件技术问题，输出生产指导文件（SOP）。
【任职要求】
学历背景：本科及以上学历，电子信息工程、自动化、通信工程、微电子等相关专业；
经验要求：5年以上硬件开发经验，有完整的产品从研发到量产的实战经历；
专业技能：
精通模拟电路与数字电路设计理论，具备扎实的电路分析能力；
熟练使用Cadence（OrCAD/Allegro）、Altium Designer或PADS等EDA设计软件；
熟悉常用接口协议（如I2C, SPI, UART, CAN, USB, Ethernet等）及存储器应用；
仪器操作：熟练操作示波器、万用表、信号发生器、频谱分析仪等常用电子测试仪器；
综合素质：具备良好的英文数据手册（Datasheet）阅读能力，逻辑思维严密，工作细致，具有强烈的责任心与团队协作精神。
【加分项】
有高速电路设计经验，熟悉DDR、PCIE、HDMI等高速信号处理者优先；
具备EMC/EMI整改经验，熟悉安规认证标准（CE/FCC/UL）者优先；
具备一定的C语言基础，能配合软件进行底层驱动调试者优先。
【福利待遇】
基础保障：入职即缴纳五险一金；
作息规律：周末双休，严格执行国家法定节假日，享受带薪年假；
餐饮关怀：提供午餐津贴补助或自建员工餐厅；
成长支持：定期技术分享会，提供专业技能培训与广阔的职业晋升通道。",MCU ARM DSP FPGA I2C SPI UART CAN PCIe C语言 测试计划 成本控制 供应链 培训,https://jobs.51job.com/suzhou-xcq/173132121.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
硬件工程师,菲托斯三维科技（苏州）,1.5-2.5万·13薪,苏州·吴中区,苏州,本科,5年及以上,2026-08-05 13:20:49,job51,"岗位职责：
1、负责硬件控制系统主控电路板开发设计，关键技术的研究开发；
2、负责各个硬件模块、芯片的方案选型，原理图设计，PCB设计；
3、负责配合内外部开发人员完成硬件系统联调，针对调试出现的问题快速定位并解决；
4、负责已有产品硬件部分的不断迭代优化升级。
任职要求：
1、统招本科以上学历，自动化、通信、电子信息、计算机等相关专业毕业；
2、3-5年硬件产品开发经验，独立负责过工业控制、3D打印机、机器人等相关自动化产品的硬件开发工作，有成功上市的产品案例及经验，有NXP，瑞芯微等高级ARM芯片核心板和电机驱动电路设计经验者优先；
3、熟练掌握使用至少一种EDA设计工具进行原理图和PCB设计，具备电路设计及PCB Layout相关独立开发能力；
4、有扎实的电子理论基础，熟悉数字，模拟电路设计及电路模块的评估与测试、熟练使用各种相关测试仪器；
5、熟悉SMT贴片相关流程与工艺；
6、具备产品可靠性测试、EMC测试等相关经验；
7、具备良好的沟通能力和团队合作意识，善于跨部门沟通协作。",ARM,https://jobs.51job.com/suzhou-wzq/173159341.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
硬件工程师,昆山水木元鲲科技,1.4-2.8万·13薪,昆山,苏州,本科,3年及以上,2026-06-10 17:12:46,job51,"岗位：传感器硬件设计工程师（柔性器件方向）
工作地点： 江苏昆山
【岗位职责】
1. 传感器器件硬件设计：负责柔性压力/应变传感器器件层面的硬件方案，支撑灵巧手触觉指膜与固态电池压力监测两类应用。
2. 器件测试与标定硬件开发：设计用于传感器器件性能标定与可靠性验证的测试电路与治具，搭建自动化测试的电气环境。
3. 器件规格定义与交付：编写传感器器件硬件规格书，输出电极图纸、引脚定义、推荐外围电路及工作参数，提供清晰、可落地的电气接口。
4. 新型传感结构探索：参与固态电池压力传感的早期硬件架构定义。
【任职要求】
1. 学历/背景：本科及以上，电子工程、测控技术与仪器、微电子、机械电子等专业。
2. 经验：2年以上传感器硬件或微弱信号调理电路设计经验，有柔性压力/应变传感器、MEMS压力传感器或触觉传感器硬件开发经历者优先。
3. 技能：
 - 精通模拟电路设计，熟练使用Altium Designer/Cadence等EDA工具进行原理图及PCB设计，有柔性/刚柔结合板Layout经验为加分项。
 - 深入理解电阻式/电容式传感器测量原理，掌握小信号放大、滤波、高精度模数转换电路设计。
 - 熟练使用示波器、信号源、LCR表等调试工具，能独立制作测试工装及验证板。
4. 协作意识：能理解后端模组集成对传感器电气特性的诉求，将系统级需求转化为器件级硬件设计规格。",自动化测试 Designer,https://jobs.51job.com/kunshan/172502785.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
硬件工程师,苏州聚晟太阳能科技,1.5-3万,苏州,苏州,本科,5年及以上,2026-07-16 15:05:47,job51,"一、岗位职责
1.硬件方案与详细设计
负责电控系统硬件的模块级方案设计，独立完成原理图绘制、PCB Layout（至少4层板）、关键器件选型与BOM整理输出，确保设计满足功能、性能与成本目标。
2.样机调试与测试验证
主导样机硬件调试，执行功能、电气性能、环境适应性及可靠性测试，针对问题进行分析定位并推动整改，保障产品按节点进入试产阶段。
3.量产导入与制程支持
协同生产、工艺团队完成NPI导入，跟踪试产过程，分析并解决制程中暴露的硬件相关不良问题，参与提出可制造性优化与降本方案。
认证测试配合与资料输出
4.配合工程师完成IEC、UL等国际认证测试，参与EMC、安规、环境类问题的现场整改，输出认证所需的硬件技术文档与测试报告。
5.户外工况可靠性优化
针对宽温、高湿、强干扰、雷击浪涌等户外极端工作环境，参与电源防护、通信抗扰、驱动保护等关键电路的设计评审与优化验证。
6.技术文档与问题闭环
按流程输出设计说明、测试报告、DFMEA等标准化文档，针对现场或售后反馈的硬件问题，独立完成根因分析并推动整改方案落地。
7.技术预研与迭代支持
跟踪行业新技术（如新型通信方案、功率器件、电源架构），参与新一代产品硬件方案预研，为技术迭代提供可行性评估与实验数据。
8.完成上级交办的专项技术任务或临时支持工作。

二、任职要求
1.学历专业
全日制本科及以上学历，自动化、电气工程、电子信息工程、通信工程等相关专业，985/211院校优先。
2.工作经验
5年及以上电子电气产品硬件开发经验，具备完整参与至少1个量产项目的全流程经历（从原理设计到小批量爬坡）。
有光伏跟踪支架、逆变器、储能变流器、新能源电控或户外工业控制类产品经验者优先。
3.专业技能
熟练使用Altium Designer进行原理图与PCB设计，能够独立完成多路电源、通信接口、I/O驱动等常规电路设计，有STM32系列MCU外围硬件设计经验者优先；
熟悉UART、RS485、SPI、IIC等常用有线通信接口设计，了解LoRa/Zigbee等无线方案的基本应用，对信号完整性（串扰、反射）有基本认知，能配合EMC整改；
掌握电源（DCDC/LDO）、时钟、复位、存储（FLASH/EEPROM）等基础电路设计，了解直流有刷/无刷电机驱动原理，能参与驱动级硬件选型与调试；
具备独立调试与故障分析能力（能使用示波器、频谱仪、逻辑分析仪等工具定位问题），熟悉硬件开发流程与文档规范，有国际认证（CE/UL/IEC）配合经验者加分。
4.综合素质
责任心强，做事严谨，有良好的文档习惯；
善于跨部门沟通，能与软件、结构、测试、生产等团队高效协作；
英语阅读能力良好，能无障碍阅读芯片手册及技术文献，书面英语可用于撰写测试报告、认证资料，口语可基础工作交流者优先。",STM32 MCU UART SPI LoRA 方案设计 技术文档,https://jobs.51job.com/suzhou/172936512.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
电子硬件工程师,派姆特科技（苏州）,1.8-2.8万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-06 16:44:44,job51,"岗位职责：
1、模拟方案设计：负责仪器仪表产品中模拟电路子系统的方案设计，包括信号调理、数据采集、电源分配等模块的架构规划与器件选型。
2、微弱信号调理：主导高速、高精度微弱信号的检测与调理电路设计，运用低噪声放大、滤波、阻抗匹配等技术，有效从噪声背景中提取有用信号，确保系统灵敏度与信噪比达标。
3、电源完整性优化：针对电源纹波和噪声对精密测量及射频链路的干扰，进行深入的电源完整性分析与设计。优化LDO及开关电源的选型与滤波网络，降低电源引入的噪声和杂散，改善系统的电源抑制比（PSRR）性能。
4、全流程开发：负责原理图设计与仿真、指导PCB布局布线（重点关注模拟、数字及射频区域的隔离与分区）、样机调测及EMC/EMI问题整改。
5、技术文档与支持：编写规范的设计开发文档，并协助生产部门解决产品校准、标定及测试中的技术问题。

岗位要求：
1、电力电子、自动化、电气传动、电机电器相关专业，本科及以上学历； 
2、熟悉电子产品原理图及多层板PCB设计、电子产品可靠性设计及EMC设计；
3、熟练掌握AltiumDesigner等电路开发工具,熟练使用示波器、逻辑分析仪、频谱仪、相噪仪、网分等调试工具.
4、强大的高速模拟电路、数字电路技术知识功底;
5、熟悉单片机、FPGA、DSP、嵌入式的外设电路、电源电路等设计；
6、熟悉小信号方法，高速精密精密运放和ADC采集电路。",单片机 FPGA DSP 方案设计 数据采集 技术文档,https://jobs.51job.com/suzhou-gyyq/173180633.html?s=sou_sou_soulb&t=0_0&req=140997fff9ac59e605c6affd4bc19e64
