job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
低压锂电系统工程师,江苏优利卡新能源科技,1-2万·13薪,苏州·吴中区,苏州,本科,2年及以上,2026-08-07 15:23:24,job51,"此岗位是：控制器开发的系统工程师

职位描述：
1、客户方案制定
2、客户跟踪，交流需求确认
3、内部系统需求编写
4、内部开发进度管理跟踪，推进
5、产品级功能验收
任职要求：
1、具备电池BMS开发经验2年以上
2、接触过DCDC
3、独立开发过嵌入式硬件软件
4、对结构有概念",进度管理,https://jobs.51job.com/suzhou-wzq/173192505.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
机器人系统软件工程师,苏州镁伽科技,2.5-3.5万·16薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-07 16:08:47,job51,"工作职责:
1、负责机器人系统软件架构设计、核心模块开发与集成。
2、主导机器人操作系统(比如ROS 2、RTOS)、中间件(比如实时主站)、驱动及硬件抽象层的开发与优化。
3、与硬件、嵌入式、算法等团队协作，实现传感器数据流、运动控制、任务调度等系统模块的高效实时处理，优化系统整体性能。
4、保障系统稳定性、安全性与性能，解决底层关键技术难题。
5、编写核心代码、技术文档，主导代码审查，推动团队工程能力提升。
任职资格:
1、计算机、自动化、机器人等相关专业本科及以上学历，5年以上系统软件开发经验，需有机器人行业工作经验。
2、精通C++，熟悉Python，具备扎实的Linux系统、多线程/进程、网络编程能力。
3、熟悉机器人操作系统（ROS 2、RTOS），熟悉实时主站，有完整的机器人产品系统开发与部署经验。
4、熟悉常见的传感器、执行器通信与驱动开发（如EtherCAT、CAN等）。
5、具备嵌入式系统、实时系统或高性能计算优化经验者优先。
6、具备优秀的系统调试、性能分析与解决问题能力，能独立主导技术模块。",ROS RTOS C++ Python Linux CAN 技术文档,https://jobs.51job.com/suzhou-gyyq/173193686.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
系统工程师,苏州索唯智能科技,1-1.5万,苏州·高新区,苏州,本科,5年及以上,2026-08-07 14:51:07,job51,"岗位要求：
1.自控、电子、通讯、计算机网络相关专业本科及以上学历；
2.熟悉系统设计、系统集成、系统测试；
3.熟悉以太网技术，了解RS232、RS485、CAN等总线及接口；
4.能独立完成系统调试环境搭建，具有较强的动手能力、沟通能力；
5.具有较强的文档编写能力；
6.具有良好的英文读写和交流能力，能有效使用英文专业资料；
7.五年以上的系统设计或同等设计经验，具有轨道交通行业PIS、CCTV、PA系统的工作经历者优先；

岗位职责：
1、负责组织项目系统集成的设计、规划及实施管理；
2、参与项目交流、联络，理解、挖掘客户需求；
3、根据项目需求，编写投标文档、系统方案、概要设计等相关技术文档；
4、参与产品性能、运维系统的优化和改进；
5、提供产品生产、现场调试维护的相关技术支持；",CAN 文档编写 投标 技术文档 技术支持 RS485 CCTV,https://jobs.51job.com/suzhou-gxq/173191745.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
系统工程师,苏州信卓胜电子科技,5-8千,苏州·高新区,苏州,本科,1年及以上,2026-08-09 13:11:37,job51,"岗位职责
1.参与数字样机项目的需求调研、方案设计、系统实施及交付工作。
2.使用SysML开展系统需求、功能、逻辑架构、物理架构、接口及行为建模。
3.梳理客户业务流程和工程数据，建立需求、模型、仿真与验证之间的追溯关系。
4.配合机械、电子、软件、控制等专业团队完成多学科模型集成。
5.参与数字样机的功能验证、性能分析、方案评估及模型迭代。
6.负责建模规范、模型库、模板和项目技术文档的编制与维护。
7.开展数字样机平台的部署、配置、测试、培训及技术支持。
8.协助解决项目实施过程中的工具集成、数据转换和模型一致性问题。
任职要求
1.本科及以上学历，本科及以上学历，计算机科学与技术、系统工程、软件工程、数学、自动化、控制科学与工程、机械工程、机械电子工程、电子信息、航空航天、车辆工程、工业工程、智能制造等相关专业。
2.了解系统工程基本方法，具备需求分析、系统分解和架构设计能力。
3.了解SysML语言，理解需求图、块定义图、内部块图、活动图、状态机图、序列图等常用图形。
4.具备良好的逻辑分析、抽象建模和问题解决能力。
5.能够阅读和编写需求规格、系统设计、测试验证等技术文档。
6.具备良好的沟通协调能力、学习能力和团队合作意识。
7.能够适应项目制工作及必要的客户现场实施或短期出差。
常驻工作地点太原及苏州。（太原本地优先）",方案设计 技术文档 培训 技术支持 需求分析,https://jobs.51job.com/suzhou-gxq/173201666.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
高级ARM软件工程师,固德威技术,2.5-4.5万,苏州,苏州,本科,3年及以上,2026-08-07 14:39:52,job51,"""岗位职责：
1、光伏逆变器产品通信及接口软件设计开发，编写代码，调试，测试以及试产与量产相关工作。
2、在现有产品基础上，进行功能升级，满足客户定制化要求。
任职要求:
1、5年以上新能源物联网行业嵌入式工作经验，精通C语言，熟练使用STM32系列MCU。
2、熟悉UCOS-III、RTThread操作系统
3、熟悉WiFi，GPRS，以太网的TCP/IP网络协议。熟悉各种编程工具以及行业工具的使用，诸如编译工具、调试工具、代码查看工具、代码比较工具、抓包工具、代码管理工具等。
4、能设计外围接口，如:UART、USB、CAN、EARTHNET电路等""",C语言 STM32 MCU WiFi TCP/IP UART CAN,https://jobs.51job.com/suzhou/173191450.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
电气开发工程师,立臻科技（昆山）,1-2万,昆山,苏州,大专,3年及以上,2026-08-07 14:37:39,job51,"【工作内容】
1、负责集成电路或电子产品的电气原理图设计、PCB布局及电路仿真验证；
2、主导核心模块的硬件开发，完成元器件选型、电路调试及功能测试工作；
3、协同软件与结构团队解决系统级电磁兼容问题，优化产品电气性能指标；
4、编写并维护详细的技术文档，包括设计规范、测试报告及生产作业指导书；
5、跟进样机试产过程，分析并闭环解决量产阶段出现的电气异常与可靠性问题。

【任职要求】
1、大专及以上学历，电子信息工程、微电子或相关专业，具备扎实电路理论基础；
2、精通模拟/数字电路设计，熟练掌握Altium Designer等EDA工具及常用测试仪器；
3、拥有3年以上电子行业硬件开发经验，熟悉半导体工艺特性及信号完整性处理；
4、具备良好的逻辑思维能力与问题分析能力，能独立承担项目模块攻关任务；
5、工作严谨细致，责任心强，具备良好的跨部门沟通协作能力及抗压素质。",功能测试 技术文档,https://jobs.51job.com/kunshan/173191380.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
ECD工程师,信创智能科技（苏州）,1-1.5万,昆山,苏州,大专,2年及以上,2026-08-07 16:26:08,job51,"岗位职责：
1、负责电梯电气控制系统（ECD）的硬件设计，包括电气原理图绘制、电气部件选型及系统配置。
2、参与电梯控制器的嵌入式软硬件开发，熟悉基于C/C++的程序设计及电路板设计流程。
3、负责电梯产品的可靠性分析、电气故障排查与现场调试支持。
4、制定电气产品标准，优化系统设计，确保现有产品稳定运行。
5、编写产品规格说明书、技术文档及接线指导文件。
任职要求：
1、大专及以上学历，电气自动化、机电一体化、电子信息等相关专业。
2、2年以上电梯行业电气设计或调试经验，熟悉电梯控制技术及行业标准。
3、熟练使用CAD等电气绘图软件，能独立完成电气图纸设计。
4、了解嵌入式系统（如EV-ECD01控制系统）基本原理，具备C/C++基础者优先。
5、熟悉各品牌电梯控制技术，具备现场故障分析与处理能力。
加分项：
1、有电梯控制器（如ECD控制器）实际开发或调试经验。
2、熟悉串行通信系统（SCL）及变频控制技术",C++ 故障排查 技术文档 ECD SCL,https://jobs.51job.com/kunshan/173194159.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
FDE工程师,苏州富纳智能科技,1-2万,苏州,苏州,本科,3年及以上,2026-08-07 13:23:41,job51,"岗位职责 深⼊客户⼀线，将模糊业务需求拆解为清晰的技术架构⽅
案与执⾏计划；
负责数据集成与系统对接；AI ⽅向负责⼤模型微调、RAG
系统构建、Agent ⼯作流搭建；
将⽅案⾼质量部署⾄客户私有云 / 本地基础设施，处理边
界案例与性能优化；
沉淀前线通⽤需求与产品缺陷，⾼保真反馈总部研发，推
动标准化产品迭代；
制作操作⼿册、开展客户培训，保障⽅案⻓期稳定运⾏。
⼯作内容 场景拆解 · 定制开发（RAG / Agent）· 现场部署（Docker
/ K8s / 私有云）· 客户培训 · 项⽬全周期交付与持续优化 ·
产品反馈闭环。
具体要求 本科及以上，计算机相关；扎实算法与代码功底，精通
Python / Java / Go ⾄少⼀种；
熟悉 LLM 原理，有 RAG、向量数据库、Agent 开发或⼤
数据组件（Spark / Flink）实战经验；
熟练 Docker / Kubernetes，熟悉主流公有云（阿⾥云
等）部署；
极强沟通⼒，兼具""⼯程脑""与""商业脑""，能快速理解制造
业业务逻辑；
抗压⾃驱，适应短期出差 / 驻场（富纳含常熟、苏州及合
作基地驻场）。",RAG Agent Docker K8s Python Java Go LLM 向量数据库 Spark Flink Kubernetes 产品迭代 培训,https://jobs.51job.com/suzhou/173189629.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
硬件研发工程师（电源方向）,苏州矽凯力科技,3-3.5万·14薪,苏州·苏州工业园区,苏州,本科,6年及以上,2026-08-07 17:07:18,job51,"【工作内容】
1、负责硬件电路原理图设计、PCB布局及元器件选型，确保方案满足性能与成本指标；
2、主导样机调试与测试，解决信号完整性、EMC等关键技术问题并优化产品稳定性；
3、编写硬件设计文档、测试报告及技术规范，配合软件团队完成系统联调与交付；
4、跟进量产导入过程，协同供应链处理物料异常，持续改进生产工艺以提升良率。

【任职要求】
1、电子工程、通信或相关专业本科及以上学历，具备扎实的模拟/数字电路理论基础；
2、精通Altium Designer或Cadence等EDA工具，熟悉高速电路设计及常用芯片应用；
3、拥有6年以上硬件研发经验，有半导体或消费电子项目落地成功案例者优先；
4、具备良好的逻辑分析能力与问题解决技巧，工作严谨细致，能适应项目节点压力。",供应链,https://jobs.51job.com/suzhou-gyyq/173195217.html?s=sou_sou_soulb&t=0_0&req=788194277efdaee6375e848aac267080
