job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光学检测工程师,深圳市丹杨智能科技有限公司上海,1-2万,苏州,苏州,本科,2年及以上,2026-08-07 09:51:04,job51,"岗位职责：
1)负责光学系统(傅里叶光谱仪)的预研、开发工作;
2)负责光学系统模拟仿真和杂散光分析等原理验证工作;
3)负责光学零部件的选型及采购对接;
4)提出具体的技术要求,指导和审核光机工程师的系统设计方案,并提出建设性意见;
5)负责分析和解决光学模组在产品开发和量产中的相关光路问题;
6)负责光学系统的测试和验证,并出具相关报告;
7)负责与光学供应商的技术沟通,同时开发优质的光学配件供应链;
8)紧跟行业前沿技术,对固体红外光谱检测的开发方向,提出可行性建议;
9)其他临时事项处理;
岗位要求：
1)本科以上学历,光学设计相关专业2年以上工作经验;
2)熟练使用光学分析软件，例如lighttools、zemax、tracepro等;
3)了解傅里叶光谱仪工作原理;
4)有光学系统的设计能力,熟悉常见光学元件和模组的特性；
5)有基于红外光谱检测固体物质的经验者优先;
6)具有良好的文档撰写能力;
7)沟通能力和学习能力强,有责任感;及时反应工作中的问题和异常状况;
8)工作积极主动、有团队协作意识",采购 供应链 zemax,https://jobs.51job.com/suzhou/173185624.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
LED设备程师-编带机/测试机,苏州市悠越电子,7千-1.2万,苏州·高新区,苏州,中技/中专,5年及以上,2026-08-07 11:10:26,job51,"岗位职责/要求：
1.负责LED产线之分光机、编带机安装、调试、维修、编程及日常维护，保障设备稳定运行；
2.优化设备工艺，提升生产效率与产品质量；
3.制定设备操作规范与维护计划，配合生产提供技术支持；
任职要求：
1.中技 / 中专及以上，电子、机械自动化相关专业；
2. 5年及以上 LED 设备相关工作经验，熟悉分光机、编带机调试与编程；
3.熟悉 DB 固晶机、WB 焊线机工艺流程，会设备维修与编程优先；
4.身体健康，沟通协作良好，抗压能力强，可适应加班。",技术支持 LED DB WB,https://jobs.51job.com/suzhou-gxq/173187827.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
自动化测试工程师,泓浒（苏州）半导体科技,9千-1.2万,苏州·相城区,苏州,大专,2年及以上,2026-07-24 18:16:15,job51,"岗位职责：
1. 负责大气端晶圆传输核心部件 (大气机械手、运动模组、预对准、末端执行器、传输平
台、静电消除模组) 部件级、模组级性能验证，编制测试方案、验收标准、检验 SOP;
2. 运动精度专项测试 重复 / 绝对定位精度、XYZR 运动抖动、直线度、平面度、搬运节拍
晶圆偏移验证：适配 6/8/12 寸标准 / 超薄晶圆量化检测。
3. 静电与 ESD 专项验证大气于燥环境静电积累测试、晶圆表面电位检测、离子除静电棒中
和效果、摩擦起电电压、ESD 抗扰测试，满足 SEMI ESD 标准，杜绝晶圆击穿风险。
4. 环境与耐久可靠性测试 常温 / 高低温循环、洁净室内长期百万次循环耐久、振动冲击
丝杆、同步带、轴承、吸附吸盘寿命衰减验证，记录磨损、打滑、定位漂移失效。
5. 吸附与气动系统测试真空发生器、吸盘、气路调压、泄漏、吸附保持力、超薄晶圆负压
适配、断气保护、气路洁净度测试。
6. 失效分析与闭环改善复现卡片、掉片、颗粒超标、定位漂移等问题，协同结构、电气、
软件工程师定位根因，输出复测验证报告。
7. 配合整机集成、量产来料规格确认、异常状况测试分析，可靠性检测等.
任职要求：
1. 专科及以上，机械设计、机电一体化、自动化、测控、电子电气专业；
2. 有半导体类，非标自动化，光伏类设备测试经验 2 年以上；
3. 能独立编写测试方案、失效改善报告，测试验证报告等；
4. 熟悉半导体设备类相关标准及规范，无尘室相关经验优先:",SOP XYZR ESD SEMI,https://jobs.51job.com/suzhou-xcq/173037484.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
高级自动化测试开发工程师(J11030),苏州联讯仪器,20-40万/年,苏州·高新区,苏州,本科,5年及以上,2026-07-03 10:58:08,job51,"工作职责:
a、负责采样示波器产品的测试，包括功能测试、软件测试、性能测试、耐久测试等
b、对测试方案中的各项用例进行自动化开发，包括UI界面识别判定、后台SCPI命令的发送读取判定、自动生成报告等
c、针对客户端或产线端反馈的问题进行复现、验证和分析，协助研发解决问题
d、协助各项临时需要自动化实现的测试任务，快速响应、及时完成开发
任职资格:
a、本科及以上学历，有5年以上自动化测试开发经验
b、电子、通信、计算机或仪器仪表相关专业
c、精通一门以上编程语言Labview/teststand、Python 、C#/C++用于自动化测试开发
d、熟悉AI模型在图像识别上的训练和应用
e、熟悉示波器、网分、频谱分析仪、信号发生器等仪器设备的操作和SCPI命令远程控制，有一定测试基础
f、抗压强，愿意配合加班",Python C# C++ 功能测试 性能测试 自动化测试,https://jobs.51job.com/suzhou-gxq/172782221.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
半导体自动化测试设备设计工程师,鸾起科技（苏州）,1.2-2.4万·14薪,苏州,苏州,本科,1年及以上,2026-07-20 16:03:37,job51,"工作职责：
1.参与新产品开发全流程：方案设计、3D结构设计、BOM建立、设计验证与迭代改进
2.输出BOM表、装配图纸、操作说明书、技术文档及专利申请
3.与采购、生产、电气团队协作，确保设计与制造、装配的衔接
4.与客户对接技术需求，评估机构设计可行性，提供解决方案
5.跟进样机组装调试，分析故障原因，持续优化设计

专业技能要求：
1. 精通CAD设计软件，熟悉3D建模、装配设计及2D工程图绘制
2. 熟悉自动化设备关键部件选型与计算（精密传动部件/气动元件/传感器/电机等）
3. 熟悉机械原理、机械加工工艺（CNC、钣金等）及表面处理工艺，具备公差分析、应力分析、结构优化能力，熟悉材料选型及热处理方法
4. 熟悉电气控制原理，能与电气工程师协作
5. 有平移式（Pick &amp; Place） 或转塔式（Turret） Handler开发经验，具备高速高精度（μm级） 平台设计经验优先
6. 熟悉半导体存储芯片测试分选/FT测试分选工艺，有半导体存储自动化设备交付或维护经验者优先

学历与专业背景：
学历 本科及以上学历
专业 机械工程、机电一体化、自动化等相关专业",方案设计 技术文档 专利 采购 CNC Pick Place Turret,https://jobs.51job.com/suzhou/172973731.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
QE工程师,苏州丹鹤自动化科技,6-8千,苏州·高新区,苏州,大专,3年及以上,2026-08-07 14:37:42,job51,"岗位职责
1、质量管理体系维护：负责 ISO9001/IATF16949 体系日常维护，完成内部审核、客户审核、第三方审核对接，跟进不符合项整改闭环，更新检验规范、控制计划等质量文件。
2、全流程质量管控：负责来料 IQC、制程 IPQC、成品 OQC 质量管控；监督首件、巡检、末件执行；处置来料、生产现场质量异常，做好不合格品隔离、评审、处置，避免批量质量事故。
3、质量问题改善：主导内部异常、客户投诉、客退问题处理；运用 8D、5Why、QC 七大手法做根因分析，制定纠正预防措施，跟进改善落地，完成问题闭环；输出 8D 改善报告给到客户。
4、质量数据分析：统计良率、不良率、报废、客诉等质量数据，编制质量周报 / 月报，识别质量风险，推动持续改善，降低不良与客诉率。
5、供应商质量协同：协助采购开展供应商质量评估、来料异常推动供应商整改，必要时参与供应商现场稽核。
6、新品质量跟进：参与新产品试产，识别质量风险，输出质量相关要求，跟踪试产问题整改，支撑产品顺利转量产。
7、质量培训宣导：对检验员、生产人员开展质量标准培训，提升全员质量意识，完成上级交办其他工作。

【任职要求】
1、大专及以上学历，机械、自动化、电子或计算机相关专业，具备扎实理论基础；
2、熟悉ISO9001体系及SPC、FMEA等质量管理工具，拥有3年以上相关岗位经验；
3、具备相关制造业（如3C消费电子、汽车电子、半导体、机械等）的质量管理或测试工作经验；
4、具备优秀的跨部门沟通协调能力，能够推动研发、生产、采购等部门协同解决复杂质量问题；
5、工作严谨细致，责任心强，具备敏锐的质量风险意识和抗压能力；
6、具备良好的文字表达能力，能独立撰写高质量的质量分析报告及体系文件。",数据分析 采购 培训 ISO9001 IATF16949 IQC IPQC OQC,https://jobs.51job.com/suzhou-gxq/173191381.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
泰国测试自动化开发工程师,苏州旭创科技,1.3-1.7万·14薪,苏州·苏州工业园区,苏州,本科,1-5年,2026-07-22 09:41:16,job51,"【工作内容】
1、负责半导体测试自动化系统的脚本开发与维护，覆盖ATE设备及量测仪器控制；
2、设计并实施自动化测试用例，优化测试流程以提升晶圆及芯片的测试效率与良率；
3、协同硬件与软件团队进行设备接口调试，解决测试过程中的技术瓶颈与异常问题；
4、编写详细的技术文档与测试报告，持续改进测试系统架构以适配新产品导入需求。

【任职要求】
1、本科及以上学历，计算机、电子工程或相关专业，具备扎实的编程基础；
2、精通Python或C++语言，熟悉Linux环境，有半导体测试（ATE）开发经验者优先；
3、了解半导体工艺流程，掌握SPI、I2C等常见通信协议及测试仪器操作规范；
4、具备良好的英语读写能力，能适应短期出差或海外项目支持，抗压能力强；
5、拥有团队协作精神与创新意识，对新技术保持高度敏感，认同公司长期发展。",Python C++ Linux SPI I2C 自动化测试 技术文档,https://jobs.51job.com/suzhou-gyyq/172996184.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
AI原生测试自动化工程师,昆山斯达欧盛航空科技,1-1.5万,苏州,苏州,本科,2年及以上,2026-06-23 11:14:04,job51,"一、岗位简介
负责公司飞行器生态产品的软件测试、自动化测试和软硬件联调测试。测试范围包括手机APP、后端接 口、遥控器界面、后台工具、飞行记录、电子围栏、图片/视频上传、飞行场地预约、设备状态联动等。 该岗位不是传统手工测试岗位，而是AI 原生测试自动化岗位，需要熟练使用ChatGPT、Apifox、Postman、Playwright、Appium、 Maestro等工具，实现测试用例自动生成、接口测试自动化、UI回 归测试自动化、测试报告自动生成。
二、岗位职责
1.负责APP、后端、遥控器界面、后台工具的整体测试体系建设。
2. 根据需求文档和设计稿编写测试计划、测试用例、验收标准和发布检查表。
3.使用AI 工具根据PRD自动生成测试用例和异常场景。
4.根据接口文档自动生成接口测试脚本，并维护接口回归测试集。
5.根据APP 用户流程生成UI自动化测试脚本。
6.负责核心功能测试，包括登录注册、设备绑定、电子围栏、飞行记录、飞行轨迹、图片视频、分 享、飞行场地、预约系统等。
7. 负责遥控器界面测试，包括飞行状态、电量、信号、飞行模式、告警提示、设置页面等。
8. 负责软硬件联调测试，包括设备连接、断连、异常状态、低电量告警、信号异常、数据同步等。
9.负责弱网、权限异常、数据一致性、预约冲突、上传失败、重复提交等异常测试。
10.负责Bug复现、日志分析、问题跟踪、回归验证和质量报告输出。
11.推动建立自动化回归测试流程，并接入CI/CD或版本发布流程。
12.使用Al自动生成测试报告、版本风险说明、Bug复现步骤和回归测试清单。
三、任职资格
1.2年以上APP、Web、接口或loT 产品测试经验。
2.熟悉软件测试流程，能独立编写测试计划、测试用例、测试报告。
3.熟悉Apifox/Postman/Playwright /Appium/Maestro/Selenium 中至少一种测试工具。
4.熟悉接口测试、功能测试、兼容性测试、弱网测试、异常测试和回归测试。
5.能进行APP 抓包、日志查看、问题复现和缺陷定位协助。
6.有自动化测试经验，能编写或维护基础自动化测试脚本。
7.熟练使用ChatGPT等AI 工具生成测试用例、测试脚本、测试报告和 Bug分析。
8.有智能硬件、loT、无人机、车机、运动设备测试经验优先。
9.能主动推动问题闭环，不满足于简单记录Bug。
10.具备良好的责任心和细节意识，对发布质量有较强把控能力。
四、AI能力要求
1.能根据PRD 使用AI自动生成测试点和测试用例。
2.能根据接口文档使用Al 生成接口测试脚本。
3.能根据APP 用户流程使用Al 生成UI自动化测试脚本草案。
4.能使用AI生成异常测试场景，例如弱网、断连、重复提交、权限不足、预约冲突等。
5.能使用AI 根据 Bug描述生成复现步骤和回归测试用例。
6.能使用AI辅助分析日志，定位问题可能原因。
7.能使用AI自动生成测试报告和版本发布风险说明。
8.能通过Al 和自动化工具将测试用例设计、接口测试、回归测试、报告生成等工作效率提升到传统 方式的3-4倍。
9.能明确区分哪些测试可以自动化，哪些必须人工真机验证。
五、重点测试范围
1.APP 登录注册、权限、设备绑定流程。
2.电子围栏设置与异常提示。
3.飞行记录生成、展示、同步和删除。
4.飞行轨迹、飞行时长、高度、速度等数据展示。
5.图片/视频上传、失败重试、缓存、分享。
6.飞行场地查询、管理、预约、取消、审核、冲突处理。
7.遥控器界面状态显示、告警提示、操作反馈。
8. 后端接口权限、数据一致性、异常码、重复请求。
9.弱网、断网、断连、低电量、信号异常等场景。
10.APP与遥控器、设备、后端之间的数据联动。
六、加分项（能力优秀者薪资可谈）
1.有APP 自动化测试经验。
2.有接口自动化测试平台搭建经验。
3.有 Playwright、Appium、Maestro、Apifox 自动化经验。
4.有CI/CD 测试流程接入经验。
5.有智能硬件、飞控、无人机、遥控器、loT 产品测试经验。
6.会使用Python、JavaScript、Shell等脚本语言。
7.有测试数据构造、Mock 服务、日志分析经验。
8.有安全类或可靠性要求较高产品的测试经验。
七、投递须知
公司采用Al 原生研发模式，希望通过ChatGPT、Cursor、GitHub Copilot、Codex、Figma Al、 MasterGo Al、Apifox、Playwright、 Maestro 等工具，将代码生成、交互设计、图片素材生成、 测试用例生成、接口测试、回归测试和文档生成自动化。候选人需要能证明自己通过AI 工具显著 提高过工作效率，并能展示具体案例。不会系统使用AI 工具、只能传统方式开发/设计/测试者，不适合本岗位。",GPT CI/CD Python JavaScript Shell Git Go 自动化测试 测试用例 测试计划 功能测试 日志分析,https://jobs.51job.com/suzhou/172649174.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
中级集成测试工程师（自动化）,尊芯（上海）半导体科技,1.5-2.5万,苏州,苏州,大专,5年及以上,2026-06-17 14:11:00,job51,"定位：独立负责集成测试方案设计与执行，支撑系统交付质量。
岗位职责：
1、集成测试：能独立解决复杂集成问题、制定测试方案，根据计划，执行系统功能、性能、稳定性的集成测试，并详细记录测试结果和数据；
2、环境搭建： 协助搭建和维护测试平台，包括硬件连接、软件部署等；
3、问题分析：负责标准化的设备出厂测试SOP、测试用例库及验收规范，对集成测试中的简单问题进行定位和反馈；
4、数据整理： 能独立解决复杂集成问题、制定测试方案进行测试数据的整理、统计和基本分析，编写集成测试报告；
5、文档维护： 维护测试用例库和相关技术文档；
6、负责测试团队日常管理、技能培训、绩效考核与团队能力建设并指导初级测试工程师。
任职资格：
1、大专及以上学历，机械、自动化、计算机、电子工程等相关专业；
2、5年自动化设备测试经验或AMHS/AGV/仓储物流设备出厂集成测试项目经验；
3、精通AMHS机械、电控、PLC、伺服系统，熟悉TCP/IP、Profinet通讯协议；
4、具备处理复杂问题的能力，能独立编写测试方案和报告；
5、具备良好的逻辑分析和问题排查能力；
6、能接受出差，良好的学习能力和沟通能力，有责任心和团队精神。",TCP/IP 方案设计 测试用例 技术文档 培训 AGV PLC IP,https://jobs.51job.com/suzhou/172595092.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
嵌入式软件工程师（苏州）,铭剑电子（南昌）,1.2-2万·13薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-08-07 13:08:09,job51,"岗位职责
1）根据系统或产品功能要求，负责嵌入式程序开发；
2）负责上位机软件开发和自动测试程序；
3）协助系统整体调试、测试。
任职要求
1）统招本科及以上学历，电子、通信、测控、控制、软件、自动化等相关专业；
2）熟悉嵌入式系统，3年以上嵌入式软件开发经验；
3）具备FPGA/硬件电路设计/软件开发能力者优先；
4）熟悉测试系统软件开发者优先。
本岗位需要配合客户项目出差提供技术支持。",FPGA 技术支持,https://jobs.51job.com/suzhou-gyyq/173189472.html?s=sou_sou_soulb&t=0_0&req=5bff17844a9d58a8f0253e306699d8d4
