job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
TPM （具身大脑/自动驾驶域控制器）,苏州天准科技,1.5-3万,苏州·虎丘区,苏州,本科,2年及以上,2026-07-29 14:05:36,job51,"岗位职责：
1. 根据客户需求评估测量方案，设计并落实方案验证
2. 负责光学部件选型，制定光学BOM，
3. 制定测量系统标定方案，并设计标定块及专用量块
4. 主导样机调试、测量任务编制、数据采集分析并完成验证报告
5. 主导项目运行，直至验收，对项目结果负责
6. 维护客户技术端与运营端的客情关系
7. 带领团队，扎根某个业务领域 
职责要求：
1.具备汽车电子行业2年及以上项目管理相关工作经验，学历本科及以上
2.与客户对齐需求，具备需求任务拆解下发，跟进闭环能力；
3.对产品的需求开发闭环、生产交付、质量、成本目标负责；
4.具备风险识别、抗压能力，能接受一定的出差；
5.了解自动驾驶技术以及发展趋势，对自动驾驶感兴趣；
6.具备跨部门协调能力，包括：应用开发、底软、软硬件测试、硬件、生管等，并清晰地传达项目拆解需求以及目标，协调各资源冲突问题；",数据采集 项目管理,https://jobs.51job.com/suzhou-hq/173082338.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
系统工程师（应用及系统集成）,辅易航智能科技（苏州）,1-1.5万,苏州·高新区,苏州,本科,3年及以上,2026-06-12 14:17:35,job51,"岗位职责：
 1. 负责车载超声波雷达产品的系统需求分析、功能定义、性能指标拆解与分配（探测距离、精度、分辨率、盲区、抗干扰能力等）；
 2. 主导超声波雷达在智能驾驶系统（尤其是自动/远程泊车、低速行人/障碍物检测、侧方/后方感知等场景）中的应用方案设计与验证；
 3. 与客户（OEM/ Tier1）对接需求，输出系统功能规范书（FRS）、性能规格书、接口控制文档（ICD）、测试规范等工程化文档；
 4. 统筹超声波雷达的软硬件集成、标定策略、测试，保证项目交付；
 5. 组织/参与系统级联调、实车验证、故障定位与优化，解决量产中的系统级问题；
 6. 参与产品从概念→原理样机→工程样机→PPAP→量产的全生命周期技术支持；
 7. 跟踪行业前沿（如新一代USS、4D成像超声、融合感知趋势、功能安全要求），为公司下一代超声波雷达产品提供技术路线建议。
任职要求（必备）：
 1.本科及以上学历，车辆工程、电子工程、自动化、测控、声学、计算机等相关专业；
 2.3年以上汽车电子/智能驾驶领域工作经验，有车载超声波雷达、泊车系统或相关传感器系统集成经验优先（特别优秀者可放宽至2年）；
 3.熟悉车载超声波雷达工作原理、信号处理流程、典型性能指标及测试方法；
 4.了解自动泊车（APA/RPA/HPA）、低速ADAS场景对超声波的需求与边界条件；
 5. 熟练使用C/C++、Python，熟悉嵌入式Linux或RTOS开发调试；
 6. 熟悉常见汽车通信协议（CAN/CAN-FD、LIN、Ethernet等）及诊断协议（UDS）；
 7.逻辑清晰，具备优秀的系统问题分析与debug能力，能独立主导问题归零；
 8.良好的跨部门/跨团队沟通协调能力，责任心强，能适应一定出差与压力。""",C++ Python 嵌入式Linux RTOS CAN 需求分析 方案设计 技术支持,https://jobs.51job.com/suzhou-gxq/172479483.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
测试专家（智能驾驶、ADC）,苏州爱情之音科技,40-50万/年,常熟,苏州,本科,8年及以上,2026-07-01 19:13:49,job51,"岗位职责：① 负责车载智能显示屏、车载功放、中央控制器、T-BOX等车载电子产品的测试设备（含功能测试、电性能测试、老化测试等）方案设计、选型、开发及落地实施，主导测试设备从需求分析、方案论证到调试、验收、量产适配的全流程工作。
②精通相关产品原理，能熟练解读产品电路图、系统架构图，结合产品测试需求，设计贴合生产的测试方案，优化测试流程，提升测试准确性、效率及覆盖率。
③精通测试设备原理，熟练掌握上位机软件、编程、伺服控制、传感器应用等，能独立完成测试设备的软件调试、程序优化及故障排查。
④ 负责测试设备技术标准、操作规范、维护手册的编制与更新，指导设备团队进行设备日常维护、故障诊断及技术提升，搭建设备技术知识库。
⑤对接测试设备供应商，开展供应商评估、技术沟通、合同谈判及履约监督，确保设备质量、交付周期及售后服务符合工厂生产及测试要求。
⑥参与工厂生产工艺改进、新产品导入过程中的测试设备适配工作，结合产品原理及测试需求，提供测试设备相关的技术支持，推动测试自动化、智能化升级。
⑦培养设备技术团队，传承产品原理、测试设备软件及硬件相关核心技术，提升团队整体测试设备调试、维护及优化能力。
⑧ 关注行业内车载电子测试设备的新技术、新趋势，结合公司产品特点，引入先进测试技术及方案，降低测试成本、提升测试竞争力。

岗位要求：
学历：本科及以上
专业：机械设计制造及其自动化、电气工程、自动化、机电一体化等相关专业
年龄：35-45周岁",功能测试 性能测试 方案设计 需求分析 故障排查 知识库 技术支持,https://jobs.51job.com/changshu/171659347.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
ADAS功能软件开发,博世（中国）投资,1.3-1.5万·13薪,苏州,苏州,本科,3年及以上,2026-07-13 15:31:12,job51,"Key Responsibilities
•	负责ADAS核心功能（AEB/ACC/RCTB等）的软件开发，包括但不限于感知融合、功能仲裁、规划控制等模块；
•	客户及系统需求分析review，进行软件解决方案的设计与开发；
•	辅助驾驶相关法规分析与实现，包括但不限于CNCAP, ENCAP等；
•	分析实车ADAS功能及性能问题，并优化轨迹规划和控制相关问题；
•	使用SIL仿真工具进行问题分析debug与算法优化效果验证；
•	运用基于AI的数据驱动解决方案，包括但不限于机器学习、深度学习等，持续优化辅助驾驶功能。

Qualifications
•	本科及以上学历，计算机科学、车辆工程、自动化、机器人、人工智能等相关专业；
•	熟练使用C/C++、Matlab、Python等编程语言，具备较强的编程能力；
•	具备ADAS功能软件开发，轨迹规划和控制软件开发等3年以上相关工作经验；
•	熟悉纵向、横向功能软件架构，软件功能链路/交互接口，优先考虑；
•	熟悉基于AI模型（Claude, GPT, Gemini等）的软件开发，优化考虑；
•	良好的英语阅读与沟通表达能力，团队协作能力，责任心和自驱力。",机器学习 深度学习 C++ MATLAB Python GPT 需求分析,https://jobs.51job.com/suzhou/172889825.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
机器人测试工程师,深圳市弗斯德智能科技,1.5-2.5万,苏州,苏州,本科,3-5年,2026-07-16 11:37:56,job51,"1.负责单 / 双臂机器人整机、关节模组、中空走线传动系统的性能、可靠性全流程验证，输出标准化测试方案、出厂验收规范；
2.独立完成重复定位精度、极限负载、动静刚度、长期耐久、振动噪声、关节线缆弯折寿命等整机试验，操作激光跟踪仪、振动分析仪、重载测力工装采集分析试验数据；
3.模拟高温、多粉尘、持续重载等复杂现场工况开展老化可靠性测试，复现精度漂移、线缆磨损、整机共振等设备故障；
4.配合研发完成机器人整机标定、零点校准，输出完整测试报告，跟踪结构 / 算法研发整改并完成复测，实现问题闭环管理；
5.自主搭建重载机器人专用测试工装、自动化老化测试工位，沉淀测试数据库、故障案例库，持续优化测试流程与检测效率；
6.支撑标杆客户样机试点、项目现场复测，出具标准化性能检测材料，配合招投标与客户整机验收工作。
任职要求:
1.机械、机电一体化、自动化相关本科及以上学历，2 年及以上工业机器人整机测试实操经验，完整参与至少一款机器人从样机到小批量的全测试流程；
2.熟悉六轴 / 双臂机器人本体结构、关节中空走线结构原理，可看懂机械图纸，熟练使用激光跟踪仪、振动测试仪等检测设备；
3.掌握机器人动力学基础，能独立撰写测试计划、试验记录、标准化测试总结，可分析整机振动、刚度、精度相关故障问题；
4.熟悉工业机器人出厂检测、可靠性老化测试完整流程。
加分优先条件
拥有双臂协同机器人整机测试实操经验；
做过机器人关节中空线缆弯折磨损寿命专项测试；
具备力控、具身智能机器人软硬件联合测试经验；
可自主搭建自动化测试工装、编写简易测试程序。",招投标 测试计划 自动化测试,https://jobs.51job.com/suzhou/172932556.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
仿真测试工程师,中国汽车工程研究院,1.2-2万,苏州·虎丘区,苏州,本科,3年及以上,2026-07-22 08:47:37,job51,"岗位职责：
职责一：仿真测试实施
制定各类仿真测试、台架测试的测试规划；
解读分析客户输入资料，制定测试计划和实施方案；
完成测试实施，包括不限于测试平台搭建、仿真模型开发、接口开发、测试用例设计、测试脚本编写、测试执行、数据分析及问题定位、报告编写及问题跟踪。
职责二：仿真场景搭建
完成仿真测试场景搭建、泛化与维护升级工作，包括智能驾驶仿真场景开发、标准法规、功能定义、SOTIF 来源等。
职责三：售前支持
配合和推动仿真业务（包括不限于 SIL/HIL/VIL 等仿真产品，军工产品和院校产品等业务方向）售前支持工作，包括范围沟通、需求引导、SOR 编写、报价单整理、解决方案设计、投标方案编写、答标等；
审核、支持仿真业务成员的售前工作和输出物，参与提供关键项目的决策；
整理完善仿真相关流程文档，包括调查问卷模板、上会材料模板、售前方案模板、报价单模板、投标方案模板等；
配合和推动市场团队的仿真业务宣传工作，包括宣传彩页制作、文章宣传、直播推广、测试博览会等。
职责四：专业领域能力建设
参与系统开发与测试流程体系等各类规范体系建设，包括各类仿真测试的测试系统搭建、环境调试、用例编写和测试执行等方面的建设。
职责五：其他
完成上级领导交办的其他工作。

岗位要求：
1.本科及以上，车辆工程、计算机开发、信息技术、电子信息、电子电气相关专业；
2.汽车服务行业3年及以上相关工作经验；
3.熟练掌握仿真测试服务方向相关测试标准、法规；
4.掌握数据仿真测试工具和平台，熟悉软件测试原理和流程，了解测试方法和技术；
5.具备问题分析和解决能力，能够快速定位问题根源并提出解决方案；
6.具有一定的学习能力、抗压能力和自驱力。",测试计划 测试用例 数据分析 方案设计 投标 SOTIF SIL HIL,https://jobs.51job.com/suzhou-hq/169122742.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
汽车电子测试开发工程师,环鸿电子（昆山）,1-2万·16薪,昆山,苏州,本科,2年及以上,2026-08-05 15:35:30,job51,"工作职责:
1. 测试方案制定与用例设计
· 负责公司汽车电子产品（智能驾驶、网联、新能源、底盘、座舱和车身控制等）各类ECU的需求评审，制定测试计划、测试策略和测试标准
· 根据内外部的需求，编写并维护详细的测试规范、测试方案及测试用例，覆盖功能、网络、性能、可靠性、安全等多维度
2. 测试环境搭建与维护
· 搭建桌面级BSW测试环境，制作测试线束、负载箱等测试工装
· 搭建、维护并优化测试环境，包括仿真平台、HIL测试台架、数据采集系统及相关软硬件
· 负责汽车电子功能测试系统的开发、集成、调试及日常维护
3. 测试执行与缺陷管理
· 执行台架测试、硬件在环（HIL）测试、网络测试、实车测试及白盒测试，采集并分析测试数据，撰写测试报告
· 针对MCU特定外设（ADC/CAN/SPI等）执行底层驱动测试并评估测试报告
· 精准定位缺陷，推动问题的复现、分析与解决，建立有效的问题跟踪与验证闭环
· 利用缺陷管理系统跟踪、登记、验证和关闭bug，协同开发团队定位并验证问题修复效果
4. 自动化测试开发
· 根据测试用例类型开发自动化测试脚本（Python/，C#, LabVIEW等），提升测试效率与覆盖率
· 构建和维护自动化测试框架及测试用例库
5. 协作与持续改进
· 与系统负责人、开发工程师协作，理解需求和设计，负责测试场景构建和测试用例评审工作
· 引入、评估并推进测试相关的改进措施和效率提升方案
· 参与软件发布流程，与策划、开发和项目管理团队紧密协作，确保软件版本按时、高质量交付

任职资格:
1. 教育背景
· 本科及以上学历，电子信息工程、车辆工程、自动化、计算机科学与技术、测控技术与仪器等相关专业
2. 工作经验
· 2年以上嵌入式系统或汽车电子产品的系统测试/软件开发或测试经验
· 有汽车电子（MCU、VCU、BMS等）HIL集成测试经验者优先
3. 专业技能
· 编程语言：熟练掌握C/C++、Python, LabVIEW等编程语言，具备自动化测试脚本开发能力
· 汽车通信协议：熟悉CAN、LIN、Ethernet等车载通信协议及UDS诊断协议
· 测试工具：熟练使用CANoe、CANalyzer、INCA等测试工具；能够使用Lauterbach或UDE调试器调试代码
· 测试方法论：熟悉软件测试流程和方法，了解黑盒测试、白盒测试基础知识；熟悉ASPICE测试相关要求者优先
· 硬件基础：具备嵌入式硬件电路、芯片、操作系统、底层软件等相关知识，能看懂电路原理图等
4. 综合素质
· 具备优秀的问题分解与根因分析能力，善于在复杂的软硬件交织环境中定位问题
· 学***动性强，具备系统化的问题分析和解决能力
· 良好的沟通协作能力和团队合作精神
· 良好的英文读写能力，能够流畅阅读英文技术资料",MCU CAN SPI Python C# C++ 测试计划 测试用例 数据采集 功能测试 缺陷管理 自动化测试 项目管理,https://jobs.51job.com/kunshan/173162831.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
标定工程师（ESC方向）,浙江孔辉汽车科技,1.5-2万·13薪,苏州·虎丘区,苏州,本科,3年及以上,2026-06-18 09:16:38,job51,"岗位职责：
1、负责车辆ESC（电子稳定性控制）系统的标定工作，包括高附、低附、对开路面等复杂工况下的数据采集与参数优化。
2、负责线控底盘系统（如线控制动、线控转向）的联合标定，确保各子系统间的协调控制。
3、参与整车动态性能调校，共同达成整车操控性、稳定性的开发目标。

任职要求：
1、本科及以上学历，车辆工程、机械电子、自动化等相关专业。
2、具备有ESC或转向系统标定经验；
3、热爱驾驶，具备扎实的车辆动力学主观评价能力，能准确描述车辆瞬态响应、转向手感、侧倾控制等动态特性。",数据采集,https://jobs.51job.com/suzhou-hq/172504542.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
感知算法工程师-广目智能,前锦网络信息技术（上海）,1.5-3万,苏州·姑苏区,苏州,硕士,2年及以上,2026-08-03 17:46:51,job51,"1、视觉感知开发：负责基于摄像头的视觉感知算法研发，实现复杂户外场景下的障碍物检测、可行驶区域分割、边界线识别、植被类型分类等任务。
2、激光雷达感知开发：负责基于激光雷达的点云感知算法研发，实现高精度障碍物检测与跟踪、地形建模、负障碍检测及语义分割。
3、多传感器融合：设计并实现视觉与激光雷达的前融合/后融合方案，提升感知系统在恶劣光照、雨雾天气下的鲁棒性。
4、数据闭环构建：建立自动化数据采集、清洗、标注及模型迭代Pipeline，持续优化算法在长尾场景下的表现。
5、模型轻量化与部署：负责感知模型在嵌入式平台上的量化、裁剪与加速，确保实时推理性能。

计算机视觉、计算机科学与技术、人工智能、电子信息工程、自动化

招聘公司：苏州广目智能科技有限公司
地址：苏州姑苏区联东U谷姑苏数字科技产业园10栋9楼

广目科技是一家深耕通用机器人领域，专注产业生态搭建与产品规模化落地的人工智能企业。公司先后荣获“高新技术企业”、“苏州市姑苏领军人才企业”等称号，拥有软件、硬件、算法、算力及数据的全产业链布局，深耕以安防、清洁、家政为核心业务的“三保”服务场景，打造“轮式设备拓局→场景数据沉淀→垂类 AI训练→人形机器人落地”的完整发展链路，致力于成为全球落地领先的机器人服务商。",计算机视觉 数据采集,https://jobs.51job.com/suzhou-gsq/173135265.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
底层软件开发工程师,宝时得科技（中国）,2-3.5万,苏州,苏州,本科,5年及以上,2026-06-11 14:18:35,job51,"岗位职责:
1、负责智能驾驶机器人产品的底层驱动开发及维护工作，特别关注传感器接口的高效集成与优化，包括但不限于摄像头、雷达、激光雷达等传感器；
2、负责嵌入式文件系统构建工作，确保系统高效稳定运行，支持快速的数据交换与存储需求；
3、主导嵌入式系统安全工作，特别是在传感器数据的安全传输与加密存储方面。
4、负责嵌入式系统相关技术和解决方法的探索和落地，在传感器融合技术方面的应用；
5、解决产品开发、质量控制等方面的技术问题，并形成报告或相关文件；
6、参与方案、架构、协议及代码评审；
7、参与公司新技术的评估及预研

任职资格:
1、本科及以上学历，计算机、软件工程、电子、自动化或相关专业优先；5年以上底层驱动相关工作经验，其中至少3年专注于传感器技术；
2、精通各种传感器的工作原理和技术细节，例如陀螺仪、加速度计、摄像头、激光雷达等；
3、熟悉Linux内核配置，熟悉内核内部知识（进程调度程序，中断处理，内存管理，并发/同步，内存分配，文件系统缓存）以及网络或存储子系统架构；
4、熟练掌握C或C++编程语言，具备良好的编程习惯和代码优化能力；
5、有实际的传感器驱动开发经验，包括但不限于I2C、SPI、UART等接口的传感器；
6、熟悉buildroot, yocto，debootstrap等构建工具，熟悉dpkg包管理工具， 熟悉docker，qemu，了解工具链生成，熟练使用git及repo；
7、具备良好的沟通能力和团队合作精神，能够承担压力并在紧急情况下迅速解决问题。",加密 Linux C++ I2C SPI UART Docker Git,https://jobs.51job.com/suzhou/172515583.html?s=sou_sou_soulb&t=0_0&req=c1946ab72a726e3193f011985da5cdd6
