job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
芯片测试开发工程师-苏州,胜达克半导体科技（上海）,9千-1.8万·13薪,苏州·姑苏区,苏州,本科,2年及以上,2026-08-06 10:15:33,job51,"【岗位职责】
1.负责新项目测试验证，以及量产测试程序开发和调试;测试数据分析以及Adaptstar平台软硬件性能的优化与验证；
2.对客户的产品相关ATE硬件开发参与全程沟通，对客户进行Adaptstar平台的使用与测试程序开发培训；
3.收集市场信息并反馈给公司以供决策参考，包括用户对公司平台软硬件使用的反馈与改善建议，潜在的销售机会，以及竞品信息的收集；
4.跨部门沟通与协作;
5.客户关系的维护；
6.其他上级交办事项。

【任职资格】
1.本科及以上学历，微电子、电科、自动化以及其他电子相关专业，需要有模数电相关知识以及C/C++编程基础；
2.优秀应届毕业生，或者两年以内工作经验，有较强的学习能力，具备主动做事的态度以及较强的人际交往能力；；
3.有较好的自我管理能力，主动学习善于总结，及时汇报项目进度与问题；
4.能适应短期中短途出差；
5.具备良好的沟通能力和团队合作精神，对客户基础问题的支持。",C++ 数据分析 培训,https://jobs.51job.com/suzhou-gsq/173170911.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
产品工程师（芯片方向）,江苏多维科技,7千-1.3万·13薪,张家港,苏州,本科,1年及以上,2026-08-06 16:59:20,job51,"为芯片生产提供可靠、高效、稳定、可执行的技术方案
【岗位职责】
1、芯片各参数数据间相关性发掘及分析，以量化良率提升所需参数调整方向及幅度
2、识别晶圆/芯片生产流程优选路径，协助保障产出物及时交付
3、与以上工作内容相关的辅助系统工具操作
4、 统计报表及分析报告撰写
5、异常样本准确及时提交至检验团队，检验结果分析归档
【任职资格】
1、本科及以上，微电子、自动化、工业工程、材料、物理等专业；
2、1-2年磁性材料、数理统计、电路设计相关背景优先；
3、英文文件阅读能力，准确理解JEDEC，AEC等组织相关英文标准文件内容。",技术方案,https://jobs.51job.com/zhangjiagang/173179716.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
芯片测试工程师(J10521),苏州苏纳光电,1.8-2.8万·16薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-09 10:50:06,job51,"工作职责:
1）	根据测试规范编写测试程序并进行工程验证、调试，完成相关测试报告的编写与归档；
2）	配合芯片设计工程师实施芯片的可测性设计；
3）	根据测试需求完成竞品测试，与研发人员共同制定全面可行的测试计划与方案；
4）	支撑公司芯片测试单板硬件方案设计，物料选型原理图与PCB版图设计以及调试工作。

任职资格:
1)	学历：本科及以上，微电子、机电、光电、自动化等相关专业
2)	年龄：无
3)	经验：3年以上芯片测试相关工作经验
4)	具备模拟电路/数字电路理论基础，具有FPGA和单板硬件设计经验者优先
5)	熟练使用示波器、频率计、相噪仪等仪器，具有丰富的仪器测试自动化开发经验。熟练掌握仪器自动化编程语言，具备一定的Python/C/C#/Matlab脚本编程技能;
6)	综合能力：优秀的团队合作、跨部门沟通和解决问题的能力；较强的项目管理和时间管理能力，确保各项任务按时完成",FPGA Python C# MATLAB 测试计划 方案设计 项目管理,https://jobs.51job.com/suzhou-gyyq/172849997.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
FAE/芯片应用工程师（ASIC方向）,苏州赛米德半导体科技,1.5-2.5万·14薪,苏州·苏州工业园区,苏州,本科,1年及以上,2026-07-07 15:37:26,job51,"职位亮点： 
1、深度参与产品定义：你将直接切入芯片产品的核心定义与落地环节，你不只是支持，将从技术前端就参与决策，帮助客户提升其产品的竞争力。
2、全流程能力锻造：能贯通从市场分析、设计链、供应链到客户支持的全链条，快速成长为行业稀缺的“芯片全栈型”人才。
3、核心窗口，价值凸显：你将直接面对客户与合作伙伴（EDA/IP/Design House），成为连接技术、产品与市场的关键桥梁，个人价值清晰可见。 
4、洞察前沿技术动态：持续跟进最新工艺、IP与行业趋势，不断拓宽个人技术视野。
你将负责： 
1、技术规划与决策：主导ASIC芯片的竞品分析与技术可行性研究，为项目立项提供核心依据；负责芯片的工艺选择、关键IP选型及PPA目标制定。 
2、项目全流程管控：牵头芯片项目的封测方案、Schedule（时间线）管控与风险协调，确保项目按既定目标推进。 
3、客户技术合作：作为核心技术接口，建立并维护客户关系，全程跟踪项目从预研、实施到量产及后续Debug的技术支持，保障客户成功。 
4、竞争力与生态建设：分析预研产品的市场竞争力；与主流EDA/IP/Design House厂商保持紧密互动，构建技术生态网络，洞察行业最新动态。 
我们希望你： 
必备条件： 
1、集成电路、微电子等相关专业本科及以上学历。 
2、熟悉IC设计/生产全流程，对SerDes、PCIe、DDR、USB等常见IP的关键规格有基本了解。 
3、具备出色的沟通协调能力、项目管理能力与复杂问题解决能力。 
4、拥有强烈的自驱力和好奇心，乐于追踪芯片行业的新技术与新应用。 
优先考虑（加分项）： 
1、拥有1年及以上半导体行业经验，有FAE、芯片设计、Foundry厂客户工程（CE）或研发经验者优先。 
2、研究生学历。 
3、具备优秀的英文技术交流能力。 
工作地点： 上海莘庄商务区（日常工作地）。本岗位需根据项目情况出差。",PCIe 供应链 竞品分析 技术支持 项目管理 EDA IP House,https://jobs.51job.com/suzhou-gyyq/172824988.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
芯片产品工程师,上海觉鑫智能科技,1.5-3万·13薪,苏州,苏州,本科,2年及以上,2026-07-23 16:35:58,job51,"岗位职责
- 负责芯片后硅（Post-Silicon）特性测试，评估性能、功耗、电压、频率及良率。
- 分析测试数据，确定产品性能边界、工作范围及量产可行性。
- 支持产品定义，包括工作点（Operating Point）及Bin策略制定。
- 分析并定位性能、良率、质量及制造相关问题。
- 与设计、固件、验证及制造团队协作，推动问题解决及产品量产。
- 支持产品Bring-up、认证、量产导入及后续维护。
- 开发自动化工具及数据分析方案，提升测试效率和工程生产力。

任职要求
- 3年以上半导体产品工程、芯片特性测试（Characterization）、验证、产品定义或相关经验。
- 熟悉芯片性能、功耗、良率及可靠性数据分析。
- 具备良好的数据分析及问题解决能力。
- 熟练使用Python进行自动化开发、数据分析及工程工具开发。
- 良好的中英文沟通能力。
- 电子工程、计算机工程、计算机科学或相关专业本科及以上学历。",Python 数据分析 Post-Silicon Operating Point Characterization,https://jobs.51job.com/suzhou/173021906.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
光芯片测试工程师,前锦网络信息技术（上海）,1-2万,苏州·吴江区,苏州,本科,2年及以上,2026-07-01 16:40:37,job51,"岗位职责
1. 负责bar 测试平台、COC 测试平台、可靠性老化台的日常维护与状态保障，确保测试稳定准确。
2. 承接研发阶段芯片性能测试 + 可靠性测试，辅助设计与工艺收敛，输出研发测试报告。
3. 制定可靠性策略，执行可靠性实验，计算 FIT 率、搭建可靠性模型，完成 Qualification 认证与 Certification 方案。
4. 负责量产阶段芯片测试与可靠性验证，分析量产数据并预警异常，输出量产测试与 Certification 报告。

任职要求
1. 本科及以上，物理 / 微电子 / 材料 / 自动化 / 电气 / 半导体 / 光电子相关专业。
2. 2 年以上光芯片 / 半导体测试相关经验。
3. 熟悉芯片性能测试、可靠性测试流程，逻辑与数据分析能力强：
1)熟悉 Bar 测试、COC 测试 操作与平台维护
2)掌握光芯片性能测试、可靠性测试全流程
3)能执行可靠性实验、计算 FIT 率、建立可靠性模型
4)会撰写 Qualification/Certification 报告
5)熟练进行数据处理、异常分析与风险预警",性能测试 数据分析 COC FIT Qualification Certification Bar,https://jobs.51job.com/suzhou-wjq/172758598.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
芯片测试工程师,苏州明皜传感科技,1-2万·13薪,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-20 12:10:58,job51,"岗位职责：
1、负责MEMS加速度计产品测试项目(CP/FT)，支持研发团队调试并搭建用于产品测试系统，以满足生产需求；
2、分析MEMS加速度计产品良率问题，推动产品质量持续改进的专项；
3、为MEMS加速度计产品提供技术支持，维护测试设备处于良好状态并负责故障排除，减少停机时间；
4、新产品测试方案开发与量产导入；
5、管理测试文件与测试loadbarod等相关图纸。

任职要求：
1、5年以上半导体测试程序开发/测试设备工程师工作经验；
2、需严谨熟练Labview编程环境、C++语言； 
3、需熟练使用各种仪器仪表(PXI,電表,示波器..等)，熟悉各类数据库的操作，可独立完成自动化测试程序开发；
4、具有良好的数电、模电和电子线路基础，掌握IC产品测试的相关知识，有传感器测试经历优先；
5、熟悉测试版的设计及制作，熟练使用PCB制作的相关软件。",C++ 技术支持 自动化测试 CP FT PXI,https://jobs.51job.com/suzhou-gyyq/172968961.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
可靠性工程师（芯片研发验证）,苏州鼎芯光电科技,8千-1万·13薪,苏州·吴江区,苏州,本科,无需经验,2026-06-23 16:26:32,job51,"应届生专投

【工作内容】
- 负责芯片产品在不同环境下的可靠性测试与分析，确保产品符合行业标准和客户要求；
- 参与制定并执行芯片可靠性验证方案，优化测试流程和方法；
- 分析测试数据，撰写测试报告，并提出改进建议以提升产品稳定性；
- 与设计、工艺及测试团队协作，推动产品可靠性问题的解决与改进。
【具体工作】
1. 芯片研发阶段可靠性验证（核心）
- 承接公司光芯片（VCSEL、DFB激光器等）研发全流程可靠性验证需求，深度对接芯片设计、流片、晶圆工艺等核心团队，明确验证标准、范围及时间节点，确保验证工作与研发进度同频，保障芯片研发质量，助力实验室成果向量产转化。

- 辅助完成光芯片设计及工艺收敛，基于HTOL、TC、ESD、电迁移等核心验证数据，结合公司IDM全流程管控要求，输出精准优化建议，提升芯片设计可靠性及流片良率，降低研发成本，助力打破国外技术垄断。

- 独立主导光芯片研发阶段可靠性实验，规范实验操作流程，精准记录、分析实验数据，确保实验过程可追溯、数据真实有效，解决实验过程中的各类技术难题，适配5G通信、数据中心、AI算力等核心应用场景芯片的可靠性需求。

- 计算光芯片FIT率，搭建芯片可靠性模型，运用Weibull分析、FTA故障树分析等工具预测产品寿命，识别关键失效风险点，为芯片设计优化、工艺改进提供核心数据支撑；独立撰写研发可靠性验证报告、Qualification报告，确认Certification认证方案，满足行业认证及项目验收要求。

- 结合AEC-Q100、JEDEC、ISO 16750等芯片行业核心标准及公司光芯片业务需求，制定芯片产品可靠性策略，搭建标准化研发阶段可靠性验证体系，同步对接国际规范，提升产品核心竞争力。

2. 芯片量产阶段可靠性管理

- 负责公司光芯片量产阶段可靠性数据的整理、深度分析，监控芯片良率、失效率等关键指标波动，及时识别潜在风险并发出预警，推动研发、生产、质量等跨部门协同闭环解决，保障量产芯片稳定性。

- 执行量产阶段可靠性验证实验，验证量产光芯片可靠性水平，适配公司化合物半导体产线量产需求，保障芯片批量生产稳定性，降低量产损耗，助力公司实现年产能7000万颗高速光模块配套芯片的目标。

- 撰写量产可靠性测试报告、Certification认证报告，配合完成芯片批量上市认证，确保产品符合行业标准及头部光模块客户核心需求，助力产品进入批量供货阶段。

- 联动生产、质量部门，同步量产阶段光芯片可靠性问题，主导现场失效件的根因分析（8D/RCA），推动生产工艺优化，持续提升量产芯片可靠性及一致性，支撑公司光芯片在5G、AI算力等场景的规模化应用。
【任职要求】
- 本科及以上学历，电子工程、微电子、材料科学等相关专业；
- 对芯片可靠性原理有基本了解，具备良好的逻辑思维和数据分析能力；
- 具备较强的学习能力和责任心，能适应快节奏的工作环境；
- 有相关实习或项目经验者优先，不限工作经验。",5G 数据分析 VCSEL TC ESD Q100 JEDEC ISO,https://jobs.51job.com/suzhou-wjq/171448417.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
测试工程师（芯片量产）,苏州四方杰芯电子科技,8千-1.5万·13薪,苏州·苏州工业园区,苏州,本科,2-5年,2026-07-27 16:02:12,job51,"岗位职责：
1.按照产品设计要求，制定产品测试规范；
2.根据产品测试规范，评估测试平台，制作测试治具；
3.根据产品测试规范，在测试平台上开发测试程序；
4.在工厂导入测试方案 ，并制定合适的管控和预警机制；
5.维护量产产品良率，及时处理产线异常，保证生产顺利进行；
6.改善量产良率，提升量产效率；
7.配合公司内其他部门进行测试相关工作。

岗位要求：
1.学历及专业： 本科，微电子，电子或通信相关专业
2.年龄：不限
3.工作经验： 2-5年工作经验
4.知识技能： 精通电子电路相关知识，有一定的数字电路和模拟电路基础；熟悉C或者C++等计算机编程语言；有一定的PCB软件绘图能力；
5.素质能力： 有测试开发经验，有工厂工作经验优先
6.语言能力： 英语熟练",C++ 产品设计,https://jobs.51job.com/suzhou-gyyq/173054502.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
芯片测试工程师-ATE,中国汽车工程研究院,1.5-3万·15薪,苏州·虎丘区,苏州,本科,3年及以上,2026-07-24 16:29:43,job51,"岗位职责
1.编写指定芯片testplan， 参与测试硬件例如loadboard，HTOL板等的设计，评审和调试。
2.根据项目进度要求，完成芯片的FT测试软件开发和调试。
3.负责与上下游相关方就技术方案和问题进行沟通，推动项目按进度完成。
4.编写各类测试文档，及时输出和归档，测试程序版本管控。
岗位要求
1.大学统招本科及以上学历，微电子，电子工程，通信工程，自动化，电力电子等相关专业
2.熟练使用各种调试仪表，定位和分析问题，有PCB设计经验。具有车规芯片ATE测试开发和调试成功经历。
3. 有较强的模电，数电，射频基础知识，具有C/C++等编程能力，熟悉主流ATE测试平台，具有ATE测试开发至少3年工作经验。
4.工作积极主动，能吃苦，有较强的沟通能力，分析和独立解决技术问题能力",C++ 技术方案,https://jobs.51job.com/suzhou-hq/173035350.html?s=sou_sou_soulb&t=0_0&req=e9e16eaf7bb7a9bf2d13b394b4e14665
