job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
规控算法工程师,宁波大叶园林设备股份有限公司苏州,2.5-3.5万·15薪,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-07 10:31:26,job51,"岗位职责
1. 负责机器人的地图分区，导航任务决策、导航规划、全覆盖路径规划、搜路等算法的实现；
2. 负责获取地图、位姿、障碍物信息来做规划和代价计算；
3. 负责机器人的弓字/回字规划、点对点导航、回充导航等功能的实现。

任职资格
1. 本科以上学历，有机器人、⽆⼈机、⾃动驾驶等行业经验优先；
2. 有一定的数学、⼏何基础，数学、电子电气、计算机等软件相关专业优先，熟悉数字图像处理；
3. 熟悉A*、RRT*、JPS、DWA等导航规划算法以及弓字/回字等路径规划算法；
4. 熟悉DWA、TEB、MPC、PID等常用的运动控制算法",RRT JPS TEB MPC,https://jobs.51job.com/suzhou-gyyq/172817488.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
算法工程师,苏州镁伽科技,2.5-4万·16薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-08-07 16:02:11,job51,"岗位职责
负责半导体检测AOI设备的AI缺陷检测算法开发与迭代，覆盖三大方向：
视觉检测AOI（显示面板）：粒子检、偏移检测、裂纹、异物、Peeling、脏污、划痕等（LCD/OLED/PCB/ITO产品线）；
晶圆检测：晶圆表面缺陷检测、裂片检测、外挂AI检测系统（客户模型训练、APP/服务部署）；
先进封装：Bonding AOI、清洗AOI、TGV玻璃基检测、激光加工检测（划裂机/开槽检测）；
主导缺陷检测模型的训练、验证与上线：数据采集与标注规范、模型选型、训练迭代、过漏检指标优化（漏检率&lt;1%、过检率&lt;1%）；
负责算法在产线设备的部署与落地：C++推理库集成、TensorRT/ONNX模型转换与推理优化、多线程性能调优，保障产线节拍要求；
参与客户现场过漏检问题排查与算法调优，输出检测方案与验收报告；
沉淀公共算法模块（CBB）：检测框架、推理组件、工具链标准化，提升团队复用效率；
跟踪前沿技术（零样本异常检测、视觉大模型、检测大模型等），推动算法预研与技术选型；
指导初中级算法工程师，参与代码评审与算法发布规范建设。
任职要求（必须项）
硕士及以上学历，计算机/电子/自动化/光学等相关专业，5年以上工业视觉或AI算法经验；
熟练掌握深度学习目标检测/图像分割算法（YOLO系列、Faster R-CNN、U-Net等），有模型从训练到部署的完整落地经验；
精通Python与PyTorch，熟悉模型训练全流程（数据增强、训练策略、调参、评估指标）；
熟练使用OpenCV/Halcon进行图像处理与ROI分析；
具备良好的过漏检分析与指标优化意识，能基于现场数据定位算法问题并迭代；
具备工程化交付能力：代码规范、版本管理、文档沉淀、跨部门协作（软件/测试/售后/客户）。",C++ ONNX 大模型 深度学习 Python PyTorch OpenCV 数据采集 版本管理 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173193528.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
规控应用资深工程师,宝时得科技（中国）,30-50万/年,苏州,苏州,硕士,5年及以上,2026-06-25 11:18:15,job51,"岗位职责:
1. 路径规划与决策算法开发：参与或主导割草机器人全局/局部路径规划、行为决策、动态避障等核心算法的设计、开发与调试，负责算法在嵌入式平台上的工程化落地，确保在复杂草坪环境中的稳定性与实时性。
2. 运动控制与系统联调：参与或主导运动控制模块的方案设计（包括轨迹跟踪、速度控制、转向控制等），与感知、定位、建图等上下游模块紧密配合，完成联合调试与系统标定，优化整体运动性能。
3. 前瞻性算法研究与验证： 跟踪并调研前沿路径规划、决策优化、强化学习、多机协同等方向的技术趋势，主导原型算法的设计、仿真验证及实车测试，为产品迭代提供技术储备。
4. 其他算法研究工作：参与算法工具链建设、性能分析、问题诊断与修复，协助编写技术文档，推动团队知识沉淀与代码规范。

任职资格:
1. 硕士及以上学历，数学、计算机、自动化、电子工程、机器人学等相关专业。
2. 深入理解路径规划（如A*、DWA、RRT、Lattice Planner）、行为决策（状态机、决策树、POMDP等）或最优控制/MPC等基本原理，具有实际算法调参和问题排查经验。
3. 精通C++编程，具备良好的面向对象设计思维、代码风格和单元测试习惯，熟悉Linux开发环境。
4. 熟悉嵌入式系统性能优化（内存、CPU、实时性），具备传感器数据融合、里程计/IMU处理等基础认知，能独立完成实车调试与问题复现。
5. 经验加分项
 · 具有割草机器人、服务机器人、AGV或自动驾驶系统相关项目经验者优先；
 · 有仿真环境（如Gazebo、Carla、Webots）或强化学习框架（如RLlib、TensorFlow Agents）使用经验者优先；
 · 有量产产品算法落地经验者优先。
6. 综合素质
 逻辑清晰，善于跨模块协作，具备技术文档撰写能力，对机器人技术有热情，愿意深入田间地头解决实际问题。",C++ Linux TensorFlow Agent 方案设计 产品迭代 技术文档,https://jobs.51job.com/suzhou/172684574.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
算法工程师（控制）,敏捷医疗科技（苏州）,2.5-3.5万·16薪,苏州·吴中区,苏州,硕士,3-5年,2026-07-23 16:27:57,job51,"职责描述：
1.负责机器人运动学算法的开发， 包括前向运动学，逆向运动学，微分运动学等；
2.负责机器人运动学参数标定算法的开发，调试和验证；
3.负责机器人动力学算法的开发和调试，包括动力学建模和参数辨识等；
4.负责机器人关节空间和操作空间运动控制算法的开发和调试；
5.对算法模块指定测试方案和测试用例， 编写相应技术文档；
6.参与整体机器人系统的设计开发， 从控制角度对机器人系统进行性能分析，验证和设计优化建议等。

任职要求：
1.自动化控制、机器人、计算机、机械电子等相关专业硕士及以上学历；
2.熟练掌握经典控制理论、现代控制理论、系统辨识和优化等相关理论；
3.具有扎实的机器人理论基础，包括运动学，动力学， 轨迹规划，运动控制等；
4.有良好的编程习惯，至少熟练掌握C++/C/PLC 其中一种编程语言；
5.具有较强的论文检索、阅读能力，有良好的文档整理能力；
6.有良好的工程应用落地能力， 具备独立调试和解决问题的习惯和能力；
7.有机器人行业经验者优先。",C++ 测试用例 技术文档 PLC,https://jobs.51job.com/suzhou-wzq/173021483.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
算法工程师,江苏超达智能科技,2-3.5万,苏州·吴江区,苏州,本科,3年及以上,2026-06-17 18:08:02,job51,"岗位职责：
1、负责农业机器人车身 / 底盘运动控制算法开发：横纵向控制、轨迹跟踪、速度闭环、差速 / 阿克曼转向控制。
2、基于车辆动力学 / 运动学建模，设计与实现 PID、LQR、MPC、滑膜等控制算法。
3、负责机器人底盘标定、参数辨识、仿真验证与实车调试，提升行走精度与稳定性。
4、适配田间复杂工况，优化抗干扰、防打滑、越障、差速控制策略。
5、与嵌入式、硬件团队协作，完成算法在 Linux / 嵌入式平台部署、优化与产品化。
6、编写算法设计文档、测试报告与标定规范。
任职要求：
1、本科及以上学历，自动化、控制工程、车辆工程、机器人、机电等相关专业。
2、3年以上运动控制 / 车身控制 / 底盘控制算法开发经验。
3、扎实控制理论基础，熟练掌握至少一种主流控制算法（PID/LQR/MPC/ 自适应控制）。
4、熟练使用 C/C++/Python，熟悉 Matlab/Simulink/ROS 仿真与验证。
5、熟悉无人车 / AGV / 机器人底盘动力学、差速 / 转向机构、电机与驱动器。
6、有实车调试、底盘标定、轨迹跟踪项目经验优先。
7、有农业机器人 / 智能农机 / 无人车行业背景优先",Linux C++ Python MATLAB ROS PID LQR MPC,https://jobs.51job.com/suzhou-wjq/172387886.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
路径规划算法工程师,苏州顺造科技,2-4万·14薪,苏州·高新区,苏州,本科,4年及以上,2026-07-09 14:46:13,job51,"岗位职责：
1、负责机器人路径规划、决策、避障算法的开发、实现与调试；
2、负责机器人运动轨迹规划算法和优化相关研究工作，提高机器人控制精度、流畅性、稳定性；
3、根据项目要求，负责相应算法的移植、优化及产品化。
任职要求：
1、计算机、控制、电子工程、机械电子等相关专业；
2、熟悉常用的路径规划算法，包括但不限于A*Hybrid A*、DWA、TEB、lattice planner；
3、熟悉扫地机项目者优先；
4、熟悉C/C++编程，熟悉常用的数据结构；
5、有ROS 开发经验者优先，熟悉Linux；
6、了解MDP、PID、 MRP、LQR等算法。",C++ ROS Linux Hybrid DWA TEB PID MRP,https://jobs.51job.com/suzhou-gxq/164606148.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
软件算法工程师,泓浒（苏州）半导体科技,1.5-3万,苏州·相城区,苏州,硕士,3年及以上,2026-06-17 17:30:26,job51,"岗位职责：
1、机器人运行相关轨迹规划，运动学等算法研究；
2、负责研究、开发、测试面向半导体晶圆传送场景的机械臂实时自主运动规划模块。
3、负责设备软件的开发，包括设备控制的GUI、运动控制、数据处理等部分；
4、负责软件系统的需求分析、架构设计、总体设计等；

任职要求：
1、硕士研究生或以上学历，自动化、计算机、机械电子等相关专业，有研发经验。
2、熟练掌握机器人运动学、动力学基础框架及知识，如D-H参数法，正/逆运动学等；
3、熟悉机器人运动规划算法，至少精通一类算法；
4、编程和算法基本功扎实，精通C++语言；
5、至少三年以上机械臂的控制软件开发经验。",C++ 需求分析,https://jobs.51job.com/suzhou-xcq/172601468.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
算法工程师,深圳市弗斯德智能科技,3-6万,苏州,苏州,硕士,3-5年,2026-07-27 17:21:18,job51,"1.进行双臂机器人/单臂工业机器人算法研究与开发
2:算法包抬运动学、动力学、协同、有路径规划和控制等关键模块
3:设计实现高精度实时1k求解，协同轨迹规划
4:协同实成算法在物理样机上的部置测试和优化
5:完成关算法在matlab上验证
6:完成机器人与2D视觉.3D视觉,多传感体融合算法。
任职资格
1:硕士以上学历
2:有完整开发过一套机器人算法的经险
3:熟悉机器人运动学、动力学
4:熟练运用matlab/C#
5.对计算机视觉.有深入了解与实践路径
6:扎突掌握双臂协同操作的核心算术",MATLAB C# 计算机视觉,https://jobs.51job.com/suzhou/173056741.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
机器人运控算法工程师,苏州镁伽科技,3-6万·14薪,苏州·苏州工业园区,苏州,硕士,5年及以上,2026-07-01 10:30:22,job51,"工作职责:
1、负责机器人肢体、躯体的运动控制算法研发，包括运动学与动力学建模与仿真、关键参数标定和辨识等相关工作。
2、负责机器人双臂控制模型分析，机器人双臂协作、自身避障、碰撞检测等算法的开发。
3、负责双足/轮式机器人的运动控制和步态算法，并负责所写算法的调试和测试。
4、与硬件工程师密切合作，确保算法在实际机器人硬件上的顺利应用。
5、参与系统软件集成开发和机器人系统调试以及相关技术文件的编制。
任职资格:
1、硕士以上学历，计算机、控制科学、自动化、机器人、人工智能等相关专业。
2、五年以上工作经验，其中三年以上机器人运动控制算法开发经验，具备协作机械臂、人形机器人项目经验者优先。
3、精通机器人学相关理论知识，具备运动控制相关的算法研究、设计与实现等方面的经验。
4、具有多关节机器人控制经验，熟悉机器人动力学、运动学、轨迹规划、状态估计和最优控制以及多自由度机器人的本体建模、深度强化学习和模仿学习具体算法等。
5、熟悉坐标空间变换原理，掌握物体运动学和动力学建模与仿真方法和工具。
6、熟练掌握C/C++、Python，熟悉PyTorch等AI框架，熟悉ROS系统，了解ISSAC SIM或MuJoCo。
7、具备创新思维与系统性解决问题的能力，拥有良好的团队协作与跨部门沟通能力，文档习惯良好，对人形机器人行业有强烈热情，适应快节奏研发环境。",C++ Python PyTorch ROS,https://jobs.51job.com/suzhou-gyyq/171694164.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
机器人运控算法工程师,苏州镁伽科技,2.5-4万·14薪,苏州,苏州,硕士,5年及以上,2026-08-07 16:10:58,job51,"工作职责:
1、负责机器人肢体、躯体的运动控制算法研发，包括运动学与动力学建模与仿真、关键参数标定和辨识等相关工作。
2、负责机器人双臂控制模型分析，机器人双臂协作、自身避障、碰撞检测等算法的开发。
3、负责双足/轮式机器人的运动控制和步态算法，并负责所写算法的调试和测试。
4、与硬件工程师密切合作，确保算法在实际机器人硬件上的顺利应用。
5、参与系统软件集成开发和机器人系统调试以及相关技术文件的编制。
任职资格:
1、硕士以上学历，计算机、控制科学、自动化、机器人、人工智能等相关专业。
2、五年以上工作经验，其中三年以上机器人运动控制算法开发经验，具备协作机械臂、人形机器人项目经验者优先。
3、精通机器人学相关理论知识，具备运动控制相关的算法研究、设计与实现等方面的经验。
4、具有多关节机器人控制经验，熟悉机器人动力学、运动学、轨迹规划、状态估计和最优控制以及多自由度机器人的本体建模、深度强化学习和模仿学习具体算法等。
5、熟悉坐标空间变换原理，掌握物体运动学和动力学建模与仿真方法和工具。
6、熟练掌握C/C++、Python，熟悉PyTorch等AI框架，熟悉ROS系统，了解ISSAC SIM或MuJoCo。
7、具备创新思维与系统性解决问题的能力，拥有良好的团队协作与跨部门沟通能力，文档习惯良好，对人形机器人行业有强烈热情，适应快节奏研发环境。",C++ Python PyTorch ROS,https://jobs.51job.com/suzhou/171115668.html?s=sou_sou_soulb&t=0_0&req=cc5f761c1aa408570bcbd19945ceee67
