job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
软件项目经理(SPM),立讯电子科技（昆山）,1.2-2.4万·13薪,昆山,苏州,本科,3年及以上,2026-08-06 20:28:19,job51,"【工作内容】
1、统筹消费电子及通信项目全生命周期管理，制定详细实施计划并监控关键节点交付；
2、协调研发、测试及供应链等多部门资源，解决跨团队技术瓶颈与协作冲突；
3、负责项目需求分析、范围界定及变更控制，确保产品功能符合客户规格书要求；
4、主导项目风险评估与应对策略制定，定期汇报进度、成本及质量状态给管理层；
5、组织项目复盘会议，沉淀标准化流程文档，持续优化软件交付效率与产品质量。

【任职要求】
1、计算机、通信工程或相关专业本科及以上学历，拥有3年以上软件项目管理经验；
2、精通PMP等项目管理方法论，熟悉敏捷开发流程及DevOps工具链；
3、具备消费电子或网络设备行业背景，能独立编写高质量技术方案与项目报告；
4、持有PMP证书者优先，英语可作为工作语言，具备良好的沟通协调能力；
5、抗压能力强，结果导向，能适应快节奏环境及短期出差，对技术细节有敏锐度。",DevOps 供应链 需求分析 项目管理 技术方案,https://jobs.51job.com/kunshan/172409673.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
软件项目经理,苏州斯莱克精密设备,1.3-2.5万,苏州,苏州,本科,5年及以上,2026-06-17 17:34:38,job51,"负责组织内外部资源，主导公司生产基地智能化软件系统的规划、设计与落地建设。需要深入理解制造业工艺流程，能够有效对接基地业务需求与技术实现方案，确保项目高质量、按时交付。
岗位职责：
1.项目规划与管理：负责智能化软件项目从立项、需求调研、方案设计、实施上线到验收复盘的全生命周期管理，制定项目计划，控制进度、成本与质量。
2.沟通与资源协调：作为核心接口人，深度对接生产基地的各部门，挖掘核心业务痛点并梳理需求；同时对接总部软件开发团队，推进软件系统的搭建与实施，协调各方资源，推进项目正常进行。
3.业务与技术落地：深入理解制造业生产流程与工艺，结合已有软件资源，将业务需求转化为可落地的技术实现方案，确保系统贴合实际业务场景。
4.进度汇报与风险管控：定期向管理层汇报项目进度、成果与风险，制作项目报告，组织项目关键节点的评审与确认，做好过程资料的沉淀与管理。
5.产品设计与改善提升：根据实际业务需求制定合理化产品设计方案，协助智能化软件团队优化流程、改善操作、提升产品竞争力。包括规划迭代、培训活动组织与项目申报支持。
任职要求：
1.学历专业：本科及以上学历，计算机、软件工程等相关专业。
2.工作经验：5年以上制造业ERP、MES、SPC、QMS、WMS等在工厂落地实施经验；汽车零部件、消费电子行业经验者优先； PMP证书优先；
3.核心技能： 沟通能力强；精通制造业经营管理、工厂生产流程、供应链管理、品质管理等业务流程；熟悉制造业软件系统集成（具备定制化系统现场实施经验者优先）。具备优秀的沟通协调、项目推进与跨部门协作能力。",方案设计 资源协调 产品设计 培训 供应链 跨部门协作,https://jobs.51job.com/suzhou/172601550.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
软件项目经理,苏州超集信息科技,2-3万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-08-03 18:46:21,job51,"岗位职责：
- **成本核算与控制:**
 - 制定详细的项目预算，并进行成本估算和预测。
 - 跟踪项目实际成本，分析成本差异，并制定成本控制措施。
 - 识别和评估潜在的成本节约机会，例如项目集管理、流程优化等。
- **人力分配优化:**
 - 分析项目需求和资源可用性，制定最优的人力资源分配计划。
 - 监控项目进度和资源利用率，及时调整人力分配以应对变化。
 - 评估外包团队绩效，并提供反馈和改进建议。
- **项目价值与收益分析:**
 - 建立项目价值评估体系，量化项目成果和收益。
 - 进行项目投资回报率 (ROI) 分析，评估项目的长期收益潜力。
 - 识别和评估项目风险，制定风险缓解计划。
- **沟通与协作:**
 - 与内部团队和外包供应商保持密切沟通，确保项目顺利进行。
 - 定期向管理层汇报项目进展、成本状况和收益分析结果。
 - 参与制定公司项目管理战略，并提供专业建议。

岗位要求：
- **工作经验:**
 - 5年以上计算机软件/人工智能领域项目管理经验。
 - 至少 3 年以上外包项目管理经验，具备成本核算和收益分析经验者优先。
 - 具有多个项目集 (Program) 管理经验，能够协调和管理多个相关项目。
 - 具备人工智能/AI 相关项目管理经验，熟悉机器学习、深度学习等技术者优先。
- **专业技能:**
 - 熟练掌握项目管理工具和方法论 (例如 PMP、敏捷开发等)。
 - 具备扎实的财务分析能力，熟悉成本核算和投资回报率分析。
 - 优秀的沟通、协调和谈判能力。
 - 了解软件开发流程和工具 (例如 Jira、Confluence 等)。
 - 对人工智能/AI 技术有基本了解，能够与技术团队进行有效沟通。
- **个人素质:**
 - 具备强烈的责任心和结果导向。
 - 具备优秀的分析能力和解决问题的能力。
 - 能够在压力下工作，并按时完成任务。
 - 具备团队合作精神和良好的职业道德。",机器学习 深度学习 成本控制 流程优化 项目管理 ROI Program AI,https://jobs.51job.com/suzhou-gyyq/161952894.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
软件项目经理,宸微设备科技（苏州）,1-2万,苏州·吴江区,苏州,本科,3年及以上,2026-06-30 10:17:35,job51,"岗位职责：

负责半导体相关软件产品的全生命周期管理，包括需求分析、计划制定、进度跟踪及交付验收。

协调研发、测试与客户支持团队，确保项目按计划高质量交付。

识别并管理项目风险，推动问题解决，优化项目管理流程。

任职要求：

计算机、软件工程或相关专业本科及以上学历，3年以上软件项目管理经验。

熟悉敏捷开发（Scrum/Kanban）及常用项目管理工具（Jira/禅道等）。

优秀的跨部门沟通与风险管控能力，有PMP或CSM认证者优先。

无需半导体行业经验，欢迎具备快速学习能力、对新技术领域有兴趣的候选人。

加分项（非必需）： 有嵌入式系统或工业软件背景者优先。",需求分析 项目管理 Scrum Kanban Jira,https://jobs.51job.com/suzhou-wjq/171417318.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
技术经理,江苏旷博智能技术,1.7-2.5万,苏州,苏州,本科,5年及以上,2026-08-07 17:30:31,job51,"岗位职责：
1.负责平台组自有项目的立项、计划、执行、监控和收尾工作，确保项目按时、按质、按量完成，并对项目的风险进行评估和控制；
2.组织配置各种资源投入项目开发工作，控制开发成本，并监督实施；
3.负责所有项目的整体质量和进度管控；
4.负责机器人产品的操作软件/界面的开发工作。
5.组建、管理和凝聚团队，提升团队整体的技术水平和研发能力。
任职要求：
1.&nbsp;本科及以上学历，计算机、自动化、软件工程等相关专业。
2.有智能行业平台项目技术负责人实战经验，有完整平台项目落地交付经历者佳。
3.&nbsp;熟练Java/Go/C++至少一门开发语言，熟悉分布式、微服务架构及常用中间件；了解AI集成、设备接入、软硬协同相关场景。
4.&nbsp;具备项目级方案设计、技术选型、风险评估能力，擅长复杂系统集成问题排查；熟悉研发工程流程，具备较强项目管控能力。
5.&nbsp;有煤矿、制造业、物联网、智慧园区、巡检机器人智能平台等项目经验优先。",Java Go C++ 分布式 微服务 方案设计,https://jobs.51job.com/suzhou/173195772.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
汽车软件项目管理PM,上海文洲信息科技,1.5-2万,苏州·苏州工业园区,苏州,本科,3年及以上,2026-07-28 19:24:10,job51,"职位描述
1.负责项目前期及开发过程软件需求的沟通，确认和管理 
2.与软件开发团队成员进行充分沟通和交流，确保信息畅通和项目顺利进展 
3.负责软件项目开发计划的制定，落实和监控 
4.负责软件发布前的冒泡测试和软件版本管理
职位要求
1.本科及以上学历； 英文流利沟通
2. 3年及以上汽车行业工作经验；
3.熟悉嵌入式软件开发流程，熟悉汽车软件开发流程 
4.熟悉汽车audio相关开发经验",版本管理,https://jobs.51job.com/suzhou-gyyq/173073760.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
需求分析师,广州深晓科技,1-1.6万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-08-09 17:50:38,job51,"【工作内容】
1、负责业务需求的全生命周期管理，主导需求调研、访谈与分析，输出高质量需求规格说明书；
2、深入理解业务流程，将模糊的业务目标转化为清晰的功能逻辑，绘制流程图与原型图；
3、协调产品、开发及测试团队，确保需求准确传达，全程跟进需求落地与验收交付；
4、持续跟踪系统上线后的运行数据，收集用户反馈并迭代优化，提升产品体验与业务价值。

【任职要求】
1、本科及以上学历，计算机、信息管理或相关专业背景，具备扎实的业务分析理论基础；
2、拥有2年以上需求分析或产品经理经验，熟悉敏捷开发流程，能熟练使用Axure、Visio等工具；
3、具备优秀的逻辑思维与沟通协调能力，能独立撰写文档并有效推动跨部门协作；
4、工作严谨细致，责任心强，具备良好的抗压能力，能适应快节奏的项目交付环境。",需求分析 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173202342.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
软件交付项目经理,四川中讯数智科技,1.5-2万,苏州·苏州工业园区,苏州,本科,5年及以上,2026-07-08 13:51:51,job51,"主要职责
1、负责统筹数字化工厂项目，负责整个项目全周期的管理，保证项目实施效果与质量。
2、制定详细的项目计划，明确项目目标、范围、进度安排、预算分配等，确保项目与公司战略目标一致。
3、负责项目周期与关键环节的管理,包括项目启动、编制项目计划、识别和控制项目风险、监控项目进度和质量。
4、参与建立项目管理体系,协助制定项目总体管理计划，供应商、合作方管理，关键干系人维护。
5、负责项目实施团队与开发团队的工作沟通和协调:

任职要求
1、本科学历，计算机或自动化相关专业。
2、具备5年以上项目管理及交付的实战经验，熟悉操作系统（Linux）、数据库（MySQL/Oracle）、网络基础。对主机、网络、存储等相关知识有一定理解。
3、熟悉特定领域业务（如机电、工业设备、园区、工厂），有电气、自动化、公辅系统（空调、空压、配电等系统）经验优先。
4、具备良好的表达、沟通和协调能力，分析与解决问题的能力，项目掌控能力。
5、熟练使用项目管理工具（如tapd、Jira、禅道）。
5、可接受华东区域出差。",Linux MySQL Oracle 项目管理 Jira,https://jobs.51job.com/suzhou-gyyq/167331020.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
erp实施工程师,广州深晓科技,1.3-1.6万,苏州·苏州工业园区,苏州,本科,1年及以上,2026-08-09 17:49:39,job51,"【工作内容】
1、负责ERP系统的需求调研、方案设计及客户现场实施部署，确保项目按时交付；
2、主导系统参数配置、基础数据导入及业务流程梳理，解决实施过程中的技术难题；
3、编写操作手册与培训课件，组织用户培训并指导客户完成系统上线后的日常运维；
4、收集并分析客户反馈的业务问题，协调研发部门进行功能优化或二次开发支持。

【任职要求】
1、本科及以上学历，计算机、信息管理或相关专业，具备ERP实施或项目管理经验；
2、熟悉主流ERP系统架构，掌握SQL数据库操作，能独立进行数据查询与简单脚本编写；
3、具备良好的沟通协调能力与文档撰写能力，能适应短期出差及项目驻场工作；
4、拥有较强的逻辑思维与问题解决能力，抗压能力强，对提升企业数字化效率有热情。",SQL 方案设计 培训 项目管理,https://jobs.51job.com/suzhou-gyyq/173202337.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
AMHS智能仓储事业部总监,苏州光斯奥光电科技,2.5-3万,苏州·相城区,苏州,本科,10年及以上,2026-08-07 13:03:18,job51,"1、职位描述
1.1、基础条件
本科及以上学历，机械工程、自动化、机电一体化、微电子、市场营销等相关专业优先；年龄35-48周岁。
10年以上AMHS、智能仓储行业从业经验，精通AMHS系统设备行业工艺、技术标准及市场规则；具备半导体、LCD、新能源行业AMHS项目实操经验者优先。
5年以上同等部门总监、事业部负责人、高级管理岗位工作经验，具备成熟的团队管理、全盘运营管控能力，有30人以上团队管理经验者优先。
1.2、专业能力
精通AMHS行业业务模式，熟悉液晶显示、晶圆制造、封测、新能源锂电等行业生产工艺流程，熟练掌握AMHS、MCS、智能仓储、智能工厂系统方案设计、项目招投标、商务谈判全流程。
具备丰富的行业高端客户资源，拥有成熟的客户渠道，能够快速开拓市场、落地优质项目，过往有千万级重大项目操盘成功案例者优先。
具备优秀的战略规划、经营决策、成本管控能力，能够精准预判行业风险，制定合理的经营策略，完成年度经营考核指标。
具备较强的技术研判能力，了解行业前沿智能搬运、自动化仓储技术，能够统筹技术优化、产品升级工作。
1.3、综合素养
具备出色的商务谈判、沟通协调、资源整合能力，抗压能力强，能够适应出差，可接受高频次行业商务对接、项目考察工作。
具备优秀的团队管理、统筹规划、问题解决能力，逻辑思维清晰，管理思维成熟，具备高度责任心、职业素养。
具备敏锐的市场洞察力、商业判断力，有强烈的事业心、进取心，认同公司企业文化，能够长期稳定发展。
品行端正、诚信自律，无不良从业记录，具备良好的职业口碑。
2、岗位职责
2.1、事业部战略运营管理
结合行业发展趋势、市场行情及公司战略规划，制定AMHS事业部中长期发展战略、年度经营目标及业务拓展计划，统筹把控事业部营收、利润、回款等核心经营指标，对事业部整体业绩负责。
统筹事业部全链路运营管理，涵盖市场开发、商务洽谈、项目招投标、方案设计、生产交付、安装调试、售后运维等全流程工作，优化业务流程，降低运营成本，提升事业部运营效率与盈利能力。
深度研判显示、半导体、新能源、高端制造等下游行业市场动态，分析行业政策、竞品信息及客户需求，精准把握市场机遇，调整业务布局，提升公司在AMHS、智能仓储行业的市场占有率与品牌影响力。
2.2、业务拓展与客户管理
主导高端客户开发与维护，重点对接LCD、新型显示、晶圆厂、IDM企业、新能源电池、医药、化妆品、高端智能制造等大中型企业客户，搭建优质客户资源体系，维护长期战略合作关系。
负责重大项目商务谈判、报价议价、合同签订工作，统筹跟进重点项目全生命周期，协调内外部资源，保障项目顺利落地、按期交付及回款。
拓展行业渠道资源，整合上下游供应链、合作伙伴资源，搭建多元化业务拓展渠道，挖掘增量业务机会，拓宽业务版图。
2.3、团队搭建与管理赋能
负责事业部组织架构搭建、人员编制规划，统筹销售、技术、工程、运维等团队管理工作，制定团队管理制度、绩效考核体系，规范工作流程。
搭建人才培养体系，开展团队专业技能、商务能力、管理能力培训，优化人才梯队，提升团队凝聚力、执行力与专业服务能力。
统筹部门人员调配、工作分工，协调解决团队工作中的重难点问题，管控部门运营风险，营造高效、合规、良性的工作氛围。
2.4、技术管控与品质优化
熟悉AMHS系统（含物料输送机器人、轨道搬运系统、MCS调度系统、智能仓储系统等）技术架构，统筹项目技术方案评审、优化，把控方案可行性、专业性与经济性，符合显示、车载、SEMI行业标准及客户生产工艺要求。
联动研发、生产部门，跟进产品迭代升级、技术优化改良，把控项目生产、安装、调试质量，监督售后运维服务，处理重大技术、质量问题，保障客户使用体验。
收集行业前沿技术、新工艺、新材料信息，推动事业部技术创新与产品升级，提升公司核心技术竞争力。",团队管理 方案设计 招投标 商务谈判 供应链 培训 合规 技术方案 产品迭代,https://jobs.51job.com/suzhou-xcq/173189399.html?s=sou_sou_soulb&t=0_0&req=79a4981da07a31e4f043e8834ff749d9
