job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
电梯销售技术支持,苏州美的楼宇设备销售,6千-1.2万·13薪,苏州,苏州,本科,3年及以上,2026-07-14 10:20:54,job51,"岗位职责：
1、为销售团队提供电梯/扶梯产品的技术解决方案，包括配置选型、土建图纸审核、参数优化等
2、制作技术标书（投标方案设计、技术标答疑、偏离表对应），协助销售竞标
客户沟通与服务
3、协同销售拜访客户（开发商、设计院、总包单位），解答技术问题，提供专业咨询
4、处理客户对产品性能、安装条件、规范合规性（如国标/欧标）的疑问
内外部协作
5、联动研发、生产部门，推动产品需求落地与技术改进
6、培训销售团队及渠道代理商，提升产品技术理解能力
任职要求：
1、机械工程、电气自动化、机电一体化等工科本科及以上学历
2、3年以上电梯行业技术/设计/项目管理经验
3、熟悉电梯结构（曳引系统、控制系统）及安装工艺
4、具备土建图纸解读能力（CAD识图/修改基础），了解GB 7588等安全规范
核心能力
1、	技术方案制作（方案图制作、土建偏离表对应）
2、	逻辑清晰，能将技术语言转化为客户价值
3、	抗压能力（应对项目周期紧、多方协调场景）
加分项
1、	持有注册建造师资格证/工程师资格证
2、	熟悉BIM建模或智能化电梯系统（如AI客流分析）",投标 方案设计 客户沟通 合规 培训 项目管理 技术方案,https://jobs.51job.com/suzhou/171578337.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
销售技术支持工程师,博乐环境系统（苏州）,8千-1.3万,苏州·苏州工业园区,苏州,大专,1-3年,2026-08-03 13:32:13,job51,"一岗位职责：
（一）销售日常需求对接与技术支持
1.为销售团队提供产品销售资料，包括风机规格书、风机3D/2D图纸、性能测试数据、型式
实验报告等专业技术资料；
2.搭建并持续维护销售技术资料知识库，确保所有资料的时效性、准确性、完整性，为销售端
提供稳定、规范的技术资料支撑；
3.快速响应销售团队的日常技术咨询，解答客户提出的产品技术相关问题，保障销售沟通的顺
畅性。
（二）销售项目全流程技术跟进与方案交付
1.配合销售完成客户技术交流，深度挖掘客户核心需求，提供定制化技术解决方案与产品选型
匹配，支撑销售项目的商务推进；
2.按需配合销售团队完成客户现场拜访，开展现场技术勘查、需求确认、技术沟通，精准匹配
客户场景需求；
3.负责项目技术规格书的编制，确保技术方案同时符合客户需求与公司技术标准，按项目节点
完成方案交付；
4.全流程跟进项目落地，覆盖样机制作、软件调试、性能测试、验收资料制作与归档全环节，
保障项目顺利闭环；
5.负责项目技术风险识别与管控，提前预判项目技术难点并制定应对方案，降低项目落地的技
术风险。
（三）销售订单技术评审与生产全流程管控
1.负责所有销售订单的技术可行性评审，核对工况参数、特殊定制要求、交付标准；
2.负责订单BOM表的制作、审核与下发，保障BOM表的准确性与完整性；
3.编制与审核产品验收要求、出厂检验标准，保障产品交付的合规性。
二、任职资格要求
1.学历与专业：大专及以上学历，机电、机械、电气工程、自动化等相关专业优先；
2.工作经验：1-3年电机、风机、工业设备相关行业销售技术支持、技术研发、工艺工程师
相关工作经验，熟悉产品选型、技术方案制定、生产全流程管控者优先；
3.核心能力：
1.具备扎实的机械、电机、风机类产品专业知识，能独立完成产品选型、技术方案编
写与客户技术沟通；
2.具备良好的逻辑思维能力与问题解决能力，能快速响应并闭环处理销售、生产环节
的各类技术问题；
3.具备良好的沟通协调能力，能高效串联销售、研发、生产、品质等多团队，保障工
作顺畅推进；
4.具备较强的责任心与细节把控能力，对技术资料、订单评审、BOM表等工作的准
确性有严格的要求；
5.熟练使用CAD、SolidWorks等绘图软件，能看懂并制作2D/3D图纸；熟练使
用Office办公软件，能独立完成技术文档、方案的编写；熟悉ERP系统、钉钉
等办公工具的使用。",技术支持 性能测试 知识库 技术咨询 技术方案 合规 技术文档,https://jobs.51job.com/suzhou-gyyq/173128529.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
电气工程师（销售技术支持）(J10224),深圳深浦电气,9千-1.3万·13薪,苏州·姑苏区,苏州,大专,1-3年,2026-08-06 17:52:46,job51,"工作职责:
1、负责本地区的客户的售前应用选型测试及培训。
2、负责本地区客户及经销商的售后服务，产品调试等。
3、培训并支持销售工程师和经销商共同完成销售目标。
4、其他相关的技术工作。
任职资格:
1、工业电气自动化或相关专业专科以上学历。
2、2年以上电气相关行业工作经验。
3、具有较强的表达沟通能力，能独立完成产品培训及应用讲座
4、具备PLC实际编程能力，熟悉主流（基恩士/松下/欧姆龙/三菱/西门子）PLC 品牌编程者优先。
5、具有非标设备电气设计经验者优先。
6、熟悉计算机语言者优先。",培训 PLC,https://jobs.51job.com/suzhou-gsq/168378306.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
销售服务支持,苏州飞托克金属制品,8千-1万·14薪,常熟,苏州,本科,1年及以上,2026-08-08 14:54:39,job51,"岗位职责：
1、协助售前技术支持工作，配合销售团队参与客户技术交流、记录客户需求，协助完成产品选型及基础方案整理；
2、在指导下完成产品参数匹配、性能评估及技术可行性初步分析，协助客户解决常见使用问题；
3、为客户提供产品使用指导，收集客户反馈，协助提升客户满意度；
4、收集并整理客户反馈及市场需求，向研发、产品部门传递产品改进建议，参与新产品开发的需求讨论；
5、协助编制产品应用技术文档（如应用指南、常见问题解答、典型案例等），支持市场推广活动；
6、协助处理客户投诉中的技术问题，参与原因分析并跟进内部改善措施的执行。
任职要求：
1、统招本科学历，机械、材料、仪器仪表等相关专业，优秀应届生亦可；
2、有1年以上机械液压气动阀门仪器仪表或相关行业的产品应用、技术服务经验；
3、了解机械加工基础工艺，能看懂简单机械图纸，了解常见工业标准及规范；
4、具备基本额沟通能力和服务意识，愿意学习现场技术问题的处理方法。
该岗位前期1-2年base常熟公司基本无出差，后面转为应用工程师薪资再做调整，会有华东区域的出差",技术支持 技术文档 市场推广,https://jobs.51job.com/changshu/173199704.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
销售工程师/应用工程师,苏州飞托克金属制品,1.1-1.5万·14薪,常熟,苏州,本科,2年及以上,2026-08-08 14:27:18,job51,"岗位职责：
1、负责核心半导体客户选型、技术交流等工作，结合客户应用场景吗，推荐合适的产品解决方案；
2、在客户现场驻厂支持，主导解决客户现场技术问题，并完成客户问题答疑工作；
3、收集并分析竞品信息，输出竞品对比报告，支持产品差异化定位与改进方向；
4、根据现场应用情况，输出对应案例，熟悉产品知识，并具备面向销售团队及客户的培训交流能力。
任职要求：
1、统招本科学历，工科类专业（机械相关专业优先）；
2、有2年以上设计、技术服务、销售或应用支持等相关工作经验，有B端制造业背景优先；
3、主要负责华东区域，能接受出差。",培训,https://jobs.51job.com/changshu/173199564.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
IT技术支持,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,大专,1年及以上,2026-08-09 18:19:32,job51,"【工作内容】
1、负责办公网络、终端设备及软硬件故障的排查与修复，保障日常业务系统稳定运行；
2、响应并处理员工提出的 IT 服务请求，提供远程或现场技术支持，确保问题高效闭环；
3、负责公司服务器、打印机及会议设备的定期巡检与维护，优化系统性能与安全策略；
4、协助搭建新员工入职环境，管理账号权限，配合完成数据备份及信息安全合规工作；
5、编写常见问题操作手册，开展内部 IT 培训，提升全员数字化办公技能与安全意识。

【任职要求】
1、计算机、通信工程或相关专业大专及以上学历，具备扎实的计算机网络基础理论；
2、熟悉 Windows/Linux 操作系统及主流办公软件，掌握常见硬件设备维护与调试技能；
3、拥有 1 年以上企业 IT 运维经验，具备独立解决网络故障及系统部署问题的能力；
4、具备良好的服务意识与沟通协调能力，工作严谨细致，能适应突发状况下的应急处理；
5、持有相关技术认证者优先，认同公司文化，具有强烈的责任心和团队协作精神。",Linux 技术支持 安全合规 培训 IT Windows,https://jobs.51job.com/suzhou-gsq/173202424.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
技术支持工程师（HS2280）,大族激光科技产业集团,6千-1万,苏州·吴中区,苏州,本科,2年及以上,2026-08-05 15:33:03,job51,"任职要求：
1、本科及以上学历，机电相关专业毕业；
2、有2年以上自动化设备同岗位工作经验，熟悉相关软件安装、配置和使用，能看懂电气图和气路图纸；有PLC或运动板卡编程能力等；
3、具备良好的语言沟通能力，较强的客户服务意识及动手、动脑能力，能独立完成项目的实施；
4、可以接受经常出差；

岗位职责：
1、在现场为交付的设备提供安装和调试服务，并持续进行运维服务；
2、负责相关产品线的技术支持工作；
3、辅助销售人员跟进重点客户和项目，根据客户项目要求，及时达成现场安装技术指导及调试等工作；",客户服务 技术支持,https://jobs.51job.com/suzhou-wzq/172851834.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
电梯售前技术支持工程师,苏州通润驱动设备,7千-1万·13薪,常熟,苏州,本科,2年及以上,2026-07-28 13:58:57,job51,"1、负责绘制电梯土建图纸，为销售项目提供技术支持；
2、对接海外客户及国内外贸公司，处理技术咨询与沟通事宜，确保把客户信息准确及时反馈给业务部门；
3、协助处理报价、排产、发货及售后等全流程销售支持工作；
4、完成部门交办的其他工作任务。

任职要求：
1、本科及以上学历，机械、电气工程相关专业；
2、熟练使用word/excel/AutoCAD等办公软件，具备良好的英语书面表达能力；
3、持有驾照，能是熟练驾驶，有电梯行业工作者优先。",技术支持 技术咨询 excel,https://jobs.51job.com/changshu/173066354.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
售前技术支持工程师,苏州康代智能科技,9千-1.3万,苏州·苏州工业园区,苏州,本科,3-5年,2026-07-30 15:30:46,job51,"职位描述：

1. Responsibility for evaluations and strategic installations
负责评估以及战略设备安装。
2. Solving immediate technical problems at strategic sites
解决战略客户点的即时技术问题。
3. Communicating issues to R&amp;D, tech. experts and sales
与研发、技术和销售部门及时进行问题沟通。
4. Assisting to sales in sales process
在销售过程中提供技术支持。
5. Other responsibilities as assigned by the superior
上级交办的其他工作。

岗位要求：
1. Bachelor degree.
本科学历。
2. More than 2 years experience of mechanical, electrical or software engineer;
有机械、电气或软件工程师等相关工作经验。
3. Experience with industrial systems;
有相关工业制度经验。
4. Background in service;
有客户服务等相关背景。
5. Communicative and positive attitude;
积极的沟通态度。
6. Good oral and written English;
英文读写流利。",Gin Go 技术支持 客户服务 Solving Communicating Assisting Other,https://jobs.51job.com/suzhou-gyyq/172061433.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
技术支持工程师,苏州中来光伏新材,6千-1.2万,常熟,苏州,本科,3年及以上,2026-08-03 15:46:15,job51,"一、岗位职责

1. 产品推广与技术营销（45%，核心工作）：协同销售部、市场部面向客户端及终端客户开展技术交流与产品推广，提供技术数据支持并撰写推广报告；参与行业展会、技术论坛及研讨会，宣传公司产品及技术能力，收集行业动态与市场信息，助力市场拓展与品牌建设。
2. 客户端异常处理与技术培训（30%）：协助处理客户端制程、测试过程中的技术异常问题，收集归纳客户端使用及测试异常，输出异常分析改善报告；按计划为内部销售、客服等人员提供产品技术培训，提升团队技术服务能力。
3. 客户信息分析与协议管理（10%）：负责客户端质量技术协议的核查及内部对应数据收集；收集整理客户端使用材料、测试项目与方法、重点性能要求等技术资料，定期形成分析报告；收集客户端非常规测试方法并反馈内部，协调开展相关测试验证。
4. 竞品分析与需求反馈（10%）：负责市场主流竞争对手产品的收集与对标分析，输出竞品分析报告；收集新材料应用趋势及客户端需求信息，及时反馈给研发部门，为产品迭代和技术升级提供市场输入。
5. EHS 与合规管理（5%）：对本岗位 EHS 负直接责任，接受 EHS 教育和培训，贯彻执行部门 EHS 规定与要求，确保出差及现场技术服务符合安全规范。
二、任职要求

1. 专业：材料科学与工程、高分子材料、新能源、化学工程等理工类专业，或市场营销、国际商务等商科背景且具备技术理解力；
2. 学历与经验：
●本科及以上学历，CET-4 及以上英语水平；
●3 年及以上工作经验，其中 2 年以上光伏、新能源材料或高分子材料行业技术支持 / 应用工程师 / 产品工程师相关经验；
●有胶膜、背板等光伏封装材料行业经验者优先。
三、能力要求

1.熟悉光伏封装材料（EVA/POE 胶膜、背板等）的产品性能、应用场景及测试标准，具备扎实的产品技术功底；
2.具备较强的客户技术沟通能力，能独立完成客户技术交流、产品宣讲及异常问题分析处理；
3.熟练掌握 Office 办公软件，具备良好的报告撰写能力和数据呈现能力；
4.具备竞品分析和市场信息敏感度，能从技术角度识别产品优劣势及市场机会；
5.具备良好的跨部门协作能力，能有效对接销售、市场、研发、质量等团队；
6.能适应经常性出差，具备较强的抗压能力和客户服务意识；
7.英语读写熟练，能阅读英文技术文献和资料，具备基本的英文沟通能力者优先。
四、我们能提供

1. 平台：国内头部光伏新材料企业，产品覆盖国内外主流组件客户，接触行业前沿技术与头部客户，平台视野广阔；
2. 成长：专业 + 管理双通道晋升（技术支持工程师→高级工程师→技术支持主管），可横向发展至销售经理、客服主管、测试工程师、质量工程师等多岗位；定期技术培训与行业交流，持续提升专业能力；
3. 激励：年度绩效奖金、项目奖金、客户拓展激励、差旅补贴；
4. 福利：五险一金、带薪年假、年度体检、员工宿舍、免费午餐、节日福利、定期团建、出差补贴等完善福利体系。",培训 竞品分析 产品迭代 合规 技术支持 跨部门协作 客户服务,https://jobs.51job.com/changshu/173132157.html?s=sou_sou_soulb&t=0_0&req=b2e4df735cbad8ca4f87242c35736925
