job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
需求分析师,广州深晓科技,1-1.6万,苏州·苏州工业园区,苏州,本科,2年及以上,2026-08-09 17:50:38,job51,"【工作内容】
1、负责业务需求的全生命周期管理，主导需求调研、访谈与分析，输出高质量需求规格说明书；
2、深入理解业务流程，将模糊的业务目标转化为清晰的功能逻辑，绘制流程图与原型图；
3、协调产品、开发及测试团队，确保需求准确传达，全程跟进需求落地与验收交付；
4、持续跟踪系统上线后的运行数据，收集用户反馈并迭代优化，提升产品体验与业务价值。

【任职要求】
1、本科及以上学历，计算机、信息管理或相关专业背景，具备扎实的业务分析理论基础；
2、拥有2年以上需求分析或产品经理经验，熟悉敏捷开发流程，能熟练使用Axure、Visio等工具；
3、具备优秀的逻辑思维与沟通协调能力，能独立撰写文档并有效推动跨部门协作；
4、工作严谨细致，责任心强，具备良好的抗压能力，能适应快节奏的项目交付环境。",需求分析 跨部门协作,https://jobs.51job.com/suzhou-gyyq/173202342.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
erp实施工程师,广州深晓科技,1.3-1.6万,苏州·苏州工业园区,苏州,本科,1年及以上,2026-08-09 17:49:39,job51,"【工作内容】
1、负责ERP系统的需求调研、方案设计及客户现场实施部署，确保项目按时交付；
2、主导系统参数配置、基础数据导入及业务流程梳理，解决实施过程中的技术难题；
3、编写操作手册与培训课件，组织用户培训并指导客户完成系统上线后的日常运维；
4、收集并分析客户反馈的业务问题，协调研发部门进行功能优化或二次开发支持。

【任职要求】
1、本科及以上学历，计算机、信息管理或相关专业，具备ERP实施或项目管理经验；
2、熟悉主流ERP系统架构，掌握SQL数据库操作，能独立进行数据查询与简单脚本编写；
3、具备良好的沟通协调能力与文档撰写能力，能适应短期出差及项目驻场工作；
4、拥有较强的逻辑思维与问题解决能力，抗压能力强，对提升企业数字化效率有热情。",SQL 方案设计 培训 项目管理,https://jobs.51job.com/suzhou-gyyq/173202337.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
需求分析工程师,浙江孔辉汽车科技,1.2-2.4万,苏州·虎丘区,苏州,本科,3年及以上,2026-07-29 11:06:07,job51,"1、负责汽车零部件研发项目的需求调研，收集并分析客户及内部业务部门的详细功能与非功能需求；
2、撰写高质量的需求规格说明书，定义系统边界、业务流程及数据交互逻辑，确保需求清晰可追溯；
3、协同硬件、软件及测试团队进行需求评审与技术可行性分析，推动需求在开发阶段的准确落地与交付；
4、跟踪项目全生命周期中的需求变更，评估变更影响并协调各方资源，确保项目进度与质量目标达成。

【任职要求】
1、本科及以上学历，机械电子、车辆工程或计算机相关专业，具备汽车零部件行业背景者优先；
2、熟悉汽车电子架构及软件开发流程，掌握建模、Visio等需求分析与文档编写工具；
3、具有3年以上需求分析经验，能独立主导复杂系统的需求拆解与转化工作；
4、具备良好的逻辑思维与跨部门沟通能力，责任心强，能适应快节奏的项目交付环境。",需求分析 文档编写,https://jobs.51job.com/suzhou-hq/173079162.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
测试工程师,深圳市微恒信科技,8千-1.3万,苏州·姑苏区,苏州,本科,1年及以上,2026-08-09 18:21:07,job51,"【工作内容】
1、负责制定测试计划与用例，执行功能、接口及性能测试，确保交付质量；
2、搭建并维护自动化测试环境，编写脚本提升回归测试效率与覆盖率；
3、精准定位并跟踪缺陷生命周期，协同开发团队推动问题修复与验证闭环；
4、参与需求评审与技术架构讨论，从测试视角提出优化建议以规避风险；
5、输出专业测试报告，分析系统稳定性数据，为产品迭代提供决策依据。

【任职要求】
1、计算机或相关专业本科及以上学历，具备软件测试理论基础与实战经验；
2、精通至少一种编程语言（Java/Python），熟悉主流测试工具及Linux操作；
3、掌握SQL数据库技能，能独立编写复杂查询语句进行数据验证与分析；
4、具备良好的逻辑思维能力与沟通协作能力，对新技术有强烈探索欲；
5、工作严谨负责，抗压能力强，能适应项目节点要求及必要的弹性加班。",Java Python Linux SQL 测试计划 性能测试 自动化测试 产品迭代,https://jobs.51job.com/suzhou-gsq/173202430.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
精益工程师,苏州杰锐思智能科技,1-1.5万,苏州·吴中区,苏州,本科,5年及以上,2026-08-07 09:23:58,job51,"岗位职责：
1、跟踪场地产能负荷、人力配置与加工需求的匹配度，建立产能预警机制，向总经理提出资源调配建议；
2、承接公司级运营改善课题，制定项目计划、里程碑与责任人，推动落地并验收成果；
3、运用精益工具（VSM、5S、TPM、标准化作业等）诊断运营流程痛点，输出改善方案；
4、组织运营周会/月度复盘会，督办改善事项闭环，建立改善案例库；
5、推动运营中心各职能部门流程标准化，减少跨部门协作摩擦；
6、协助搭建运营KPI监控体系（人效、OEE、库存周转率、一次合格率等），跟踪达成情况并预警异常；
7、编制运营周报/月报，输出经营成本与人效的基础分析，支撑管理层决策；
8、建立运营风险预警机制与应急预案，推动制度落地执行。
任职资格要求：
1、本科及以上，财务管理、统计学、工业工程、管理科学等相关专业；
2、拥有5年以上制造业精益改善/运营分析经验，非标制造业背景优先；
3、数据敏感度高，能将数据转化为业务管理；熟悉制造业成本核算逻辑；
4、能进行Excel高级应用（函数/透视表/图表）、Power BI等BI工具优先，
有制造业经营分析体系搭建经验。",跨部门协作 VSM TPM OEE Power,https://jobs.51job.com/suzhou-wzq/173184909.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
IE工程师,苏州华之杰电讯,20-25万,苏州·吴中区,苏州,大专,5年及以上,2026-08-07 11:23:54,job51,"岗位职责
1.主导新产品可制造性设计评审，过程风险识别，产品工艺
过程设计，组织团队进行产品过程设计评审，识别过程风险
并制定预防管控措施，完成产品工艺策划;
2.主导制程异常问题处理，工艺变更管控，推动制程工艺优
化和持续改善，提升生产品质与效率;
3.基于项目进度，准备产品所需生产资料(文件/工治具等),
试产异常问题收集与分析处理，主导试产总结会议召开，追
踪并推动试产问题点的改善闭环;
4.参与或主导新工艺、新材料、新设备、新客户、新产品、新供应商的导入，及后续需求的推动与执行
5.参与新产品报价，主导效率达成，UPPH提升

岗位要求
1.5年以上PCBA行业经验，精通DIP，组装工艺
2.精通NPI导入流程，主导NPI导入，并对NPI问题点进行总
结及跟进直至问题的关闭
3.有工艺创新、制程品质改善相关工作经验，主导制程异
常、QA批退异常、客户端异常等异常的分析与改善
4.有较强的责任心，沟通能力及团队精神，有较强的压力承
受能力
5.大专以上学历，英语可作为工作语言
6.熟悉 ISO9001.IATF16949标准
7.熟练使用IE七大手法、八大浪费、5W1H、PDCA
SPC、FMEA、QCP、MSA、APQP等工具",ISO9001. PDCA SPC FMEA QCP MSA,https://jobs.51job.com/suzhou-wzq/173188180.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
电子电器产品国际认证项目经理,通标标准技术服务有限公司苏州,1.2-2万,苏州,苏州,本科,3年及以上,2026-08-07 11:28:18,job51,"看看你的工作内容：
1、熟悉电子电器产品安规、EMC、能效产品全球市场准入认证的法规及标准要求；
2、负责与客户高效对接，精准输出符合客户需求的认证方案，并全程统筹认证项目的推进与管理，确保项目有序开展；
3、协调内部及外部合作方资源，搭建高效协作机制，保障认证项目严格按照计划推进；
4、及时协调并解决项目执行过程中的各类问题，确保项目如期交付，提升客户满意度；
5、持续追踪海外电子电气产品相关法规动态，深入研究法规更新内容并进行专业解读与梳理，为公司业务开展及客户服务提供合规支持。


我们希望你是：
1、本科及以上学历，理工科相关专业优先；
2、3年及以上工作经验，具备第三方电子电器多国准入相关岗位工作经验或电子电器制造商合规岗位工作经验者优先考虑。
3、CET-6及以上，具备良好的英语听说读写能力，能熟练处理英文法规资料及客户沟通事宜；
4、具备优秀的项目统筹与协调能力，具备较强的问题分析和解决能力；
5、具备良好的沟通能力、执行能力和抗压能力，工作严谨负责；
6、具备良好的客户服务意识和团队合作精神。",客户服务 合规 客户沟通 EMC CET-,http://sgs.51job.com/jobDetail.html?id=173188295
PMC应用工程师,上海培风图南半导体,1.7-3万,苏州·苏州工业园区,苏州,硕士,2年及以上,2026-08-09 03:00:07,job51,"1、为用户提供等离子仿真软件的技术支持，包括安装、使用、模型搭建、结果分析等。
2、收集并分析用户在实际工程中的物理需求，转化为产品功能需求。
3、设计仿真与实验/文献数据的对比方案，评估软件中等离子体模型的准确性。
4、跟踪并解决用户在使用过程中遇到的问题，必要时与研发团队协同定位软件缺陷或性能瓶颈。
5、基于典型工业或科研场景，开发标准仿真案例与教程，编写用户文档，提升软件易用性与推广效果。

职位要求：
1、硕士及以上学历，等离子体物理、电气工程、物理电子、微电子、机械工程等相关专业。
2、等离子体物理基础、理解低温等离子体中的基本过程。
3、熟练、使用以下一种或多种等离子仿真工具：COMSOL、VSim / VSimPD、PICMC / XPDP1、CST Particle Studio、ANSYS Maxwell。
4、有多物理场耦合（电磁+等离子体+热+化学反应）经验者优先。
5、了解PIC、流体模型等基本数值方法，能使用Python / MATLAB进行数据处理、曲线拟合或简单模型开发。
6、有半导体刻蚀/沉积工艺或等离子体设备（如ICP刻蚀机、PECVD）使用经验优先。",Python MATLAB 技术支持 COMSOL VSim VSimPD PICMC XPDP1,https://jobs.51job.com/suzhou-gyyq/173200996.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
DIP工程师,江苏凯能宏光电子,8千-1万,苏州·吴江区,苏州,大专,2年及以上,2026-08-07 09:42:39,job51,"【工作内容】
1、负责DIP自动化产线的设备调试、参数优化及日常运行维护，确保生产效率达标；
2、主导SMT与DIP制程的异常分析，快速定位并解决焊点质量、元件贴装等工艺问题；
3、协同研发与品质部门导入新产品，完成试产验证、BOM核对及作业指导书编制；
4、持续监控产线良率数据，实施防错机制，推动工艺流程改进以提升直通率；
5、管理备品备件库存，定期执行设备预防性保养计划，保障设备稼动率稳定。

【任职要求】
1、大专及以上学历，电子工程、自动化或机械相关专业，具备两年以上PCBA制造经验；
2、精通DIP波峰焊、选择性焊接工艺，熟悉SPI、AOI等检测设备原理及操作规范；
3、熟练掌握常用办公软件，能独立编写工艺文件，具备基础的数据分析与报告能力；
4、具备良好的现场问题解决能力，抗压性强，能适应倒班工作制及生产紧急需求；
5、持有IPC-A-610或相关电子组装认证者优先，具有团队协作精神及良好沟通素养。
6、精通三防和测试设备调试",SPI 数据分析 A-,https://jobs.51job.com/suzhou-wjq/173185386.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
高级需求分析师（保险系统）,益进信息服务（苏州）,1.8-2.5万,,苏州,本科,5年及以上,2026-07-20 14:31:36,job51,"一、职位目的
以日语作为主要工作语言，独立完成客户需求沟通、文档编写、签收及交付协作，引导客户采用标准功能，减少定制化。本岗位欢迎具有业务分析（BA）或软件测试（QA）背景的候选人，只要您具备保险业务理解力与客户面对面的沟通能力。

二、核心职责
·主持需求研讨会，编写功能规格文档，管理变更与优先级
·对复杂业务信息进行流程建模、数据建模，确保需求可被开发、测试团队落地执行；
·作为需求解释人，全程对接开发、测试团队，参与端到端测试验证；
·独立管理自身工作流的任务计划、风险上报与质量度量；
·独立面对日本客户，负责日常沟通、邮件答复及正式签收。

三、硬性任职资格
·日语商务流利（能独立主持会议、撰写邮件与文档），英语听说读写良好（内部技术沟通）；
·必须有保险行业经验（核保/理赔/计费/佣金/产品等至少一个领域）；
·岗位经验（满足其一）：
BA方向：3年以上业务分析经验；
测试方向：5年以上保险系统测试经验，意愿转型BA；
·本科及以上（理工、计算机、经济优先）；
·能接受赴日出差；
·独立决策、跨文化协作、表达与引导能力强。

四、加分项
·持有CCBA、CPCU、IIA等认证；
·熟悉ACORD标准；
·掌握Python、Java或数据库编程基础；
·有敏捷（Scrum）开发环境工作经验；
·有日本或欧美本土保险项目实施经验",Python Java 文档编写 BA QA CPCU Scrum,https://jobs.51job.com/all/172971162.html?s=sou_sou_soulb&t=0_0&req=da89e2efdd8f6af6753ccff9a74a7d96
