job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
安卓安全测试工程师,深圳斐卓信息咨询有限公司,薪资面议,深圳-福田区,深圳,本科,5年以上,7月22日更新,liepin,"About PayJoy

PayJoy is a mission-first credit provider dedicated to helping under-served customers in emerging markets to achieve financial stability and success.  Our patented technology for secured credit provides an on-ramp for new customers to enter the credit system.  Through PayJoy’s point-of-sale financing and credit cards, customers gain access to a modern quality of life.  PayJoy’s credit also allows our customers to seize opportunities as micro-entrepreneurs, and provide safety acts as insurance for tough times. Through our cutting-edge machine learning, data science, and anti-fraud AI, we have served over 18 million customers as of 2025 while achieving solid profitability for sustainable growth.


This role
The Software Security Test Engineer is responsible for consistent effort in monitoring Android-based attack tools and performing security testing on all tools that may be a threat to PayJoy’s lock products.


Responsibilities
Collect and evaluate hacking tools; continuously monitor emerging attack techniques and tools that could impact company products.
Perform security testing on OEM mobile phones using hacking tools and techniques.
Reproduce and verify security issues discovered on social media, public forums, and other open sources.
Produce, manage, and maintain clear security testing reports.
Coordinate with internal teams and external parties to track, prioritize, and verify fixes for security issues.


Requirements
Bachelor’s degree in a technical discipline such as computer science, software engineering, or a related field. 
4+ years of experience in financial technology services.
Strong understanding of Android security architecture.
Practical knowledge of secure boot and the device boot chain.
Hands-on experience with Android permissions, app sandboxing, and privilege models.
Proven experience in security testing — identifying, reproducing, and documenting vulnerabilities in mobile devices or applications.
Ability to write clear and structured technical reports.
Good English reading and writing skills for report preparation and cross-team communication.


Benefits
Company holidays; 15 days vacation (20 at 3rd year); unlimited sick leave
$2,000 USD annual Coworking Travel Perk
$2,000 USD annual Professional Development Perk
$500 USD annual wellness Perk


PayJoy is proud to be an Equal Employment Opportunity employer and we welcome and encourage people of all backgrounds. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.

PayJoy Principles

Finance for the next billion * Ownership * Break Through Walls * Live Communication * Transparency & Directness * Focus on Scale * Work-Life Balance * Embrace Diversity * Speed * Active Listening",Gin Go ROS RAG Express About PayJoy Through,https://www.liepin.com/job/1979629253.shtml
Software Architect 软件架构师 (智能座舱/车载OS),整车制造10000人以上,薪资面议,上海-浦东新区,上海,本科,5-10年,7月13日更新,liepin,"Objective of job (abbreviated)


Define Software Architecture related to Software Update, incl. OTA (Over-The-Air) and wired update mechanisms incl. update of Android operations system and other environments, systems and VMs.
Participate in the evaluation of products, planning and discussion of functions, as well as implementation and release according to project needs
Responsible for system architecture design and implementation
Responsible for the analysis and solution of architectural problems, as well as the optimization and stability maintenance of system;
Responsible for explaining the core capabilities of the software to customers. Provide technical guidance to other departments. Explain expertise to developers;
Research and learn new technologies to meet the iterative updates of smart cockpit product needs.

Education
Bachelor degree or above (including degree), major in computer, software engineering, electronic engineering, artificial intelligence, pattern recognition, automotive electronics and other related majors;


Experience
More than 5 years of Experience in Android architecture, solution architecture, framework & application development
More than 3 years of Experience in Linux Platform Development
More than 3 years of Experience in QNX Platform Development
More than 3 years of Experience in Android Automotive Systems
Knowledge
Proficient in C/C++/Java language, familiar with java virtual machine principles;
In-depth understanding of Android Automotive system
Very good understanding of QNX system and environment
Deeply understand the Android Framework, HAL architecture, software update mechanisms
Familiar with the car power control process, system startup principle, vehicle signals, lifecycle management of processes
Have sufficient sensitivity to technical risks and excellent problem-solving ability. Be able to support and maintain the problems found at all stages of the product life cycle, and undertake technical attacks on key and difficult points;
Preferred:
Have experience in large-scale operating system architecture design and technical proposals, have sufficient software security awareness, and master data encryption, performance optimization and other technologies
Software Architect
Requirements analysis
Android Architecture design and solution architecture design
Development process, standards and performance requirements defining.
System optimization, scalability and extendibility defining and designing.
System key performance indicators defining and monitoring
Solution reviewing
New technologies research and introduction.
Provide guidance, tutorials to stake holders, explaining and presenting architecture and solution designs, Collaborate with stakeholders and partners on technical solution and requirements
 ",Gin Electron Linux C++ Java Go Scala,https://www.liepin.com/job/1983297839.shtml
Audio开发工程师,汽车零部件及配件5000-10000人,18-35k,深圳-南山区,深圳,统招本科,5年以上,7月29日更新,liepin,"岗位职责：
负责音频子系统的开发和维护，设计音频通路，实现音频功能，对Android/Linux音频架构深度制定和优化，对外置/内置DSP开发，实现混音、音效、ECNR、AVAS等功能，根据项目任务要求交付软件、设计文档等工作产物，参与实车调音工作
1. 熟悉Radio的逻辑（DAB/AM/FM等）开发，了解Android/Linux音频体系架构；
2.熟悉Android Audio Framework、Linux kernel，能对音频链路进行定制修改；
3.熟练掌握Audio driver驱动实现和移植；
4.具备Audio/Radio DSP调试开发经验；
5.具备一定的音效算法开发、集成和Audio/Radio Tuner能力；
6.具备问题分析和总结能力，能完成各类设计文档输出
任职要求：
1、5年以上嵌入开发，2年以上音频DSP开发经验，计算机及数字音频等相关专业；
2、熟悉Linux Audio alsa驱动框架、Android Audio HAL层框架；
3、熟悉高通ADSP平台，有相关项目经验；
4、熟悉Radio/DAB标准及相关知识；
5、有AKM，NXP等数字音频DSP开发经验；
6、精通C/C++编程和数字信号处理相关理论；
7、具备良好的英语沟通能力；
8、有强烈的责任心，具有良好的团队合作、沟通能力。",Linux DSP C++ ECNR DAB AM Audio Framework,https://www.liepin.com/job/1983878181.shtml
Android Development Lead/安卓开发工程师 (MJ002557),整车制造5000-10000人,薪资面议,上海-嘉定区,上海,统招本科,3-8年,7月30日更新,liepin,"岗位职责：
核心产品与服务研发：主导安卓端核心产品及服务的全流程开发，重点负责System UI、Launcher的架构设计、开发、调试与优化，牵头APP core services（互联中心、投屏服务、多屏共播等）的架构设计、模块开发与功能迭代，保障服务稳定、高效运行。
架构设计与技术决策：精通软件架构设计，主导核心模块的架构设计、技术选型与技术方案决策，梳理技术难点，优化代码结构、性能及兼容性，提升产品可维护性与扩展性，推动技术架构迭代升级。
技术统筹与团队管理：统筹安卓端核心产品开发工作，搭建并管理开发团队，分配开发任务、制定开发计划，监督项目进度与质量，协调解决团队工作中的各类问题，提升团队整体开发效率与技术水平。
疑难问题攻坚与技术把控：牵头解决开发过程中出现的各类重大技术疑难问题，包括系统级bug、性能瓶颈、兼容性问题等，组织技术评审，把控代码质量与技术落地效果。
技术研究与团队赋能：跟踪安卓最新技术动态、框架特性及行业实践，组织团队开展技术研究与学习，将新技术、新方案应用到实际开发中，提升产品技术竞争力，赋能团队技术成长。
开发规范与流程优化：制定并完善安卓开发规范、代码评审标准及开发流程，沉淀开发经验与技术文档，推动开发流程标准化、规范化，提升团队协作效率。
跨部门协同与需求落地：具备强烈的责任心，主动对接产品、测试等跨部门需求，协调资源推进开发任务落地，主动发现问题并推动解决，确保项目按计划交付。

职位要求：
本科及以上学历，计算机科学与技术、软件工程、电子信息等相关专业；
有5年及以上安卓开发经验，2年及以上团队管理经验，有车载安卓开发、智能座舱相关安卓开发经验者优先。具备系统级应用、核心服务开发及技术统筹经验者优先（有System UI、Launcher、投屏/多屏相关开发经验者重点优先）。
熟悉Android框架、系统机制（如四大组件、生命周期、IPC通信等）、中间件及系统级应用开发，具备Android系统framework层源码的阅读、分析与调试能力。
有System UI、Launcher开发经验，熟悉APP core services（互联中心、投屏服务、多屏共播等）相关开发逻辑与技术方案者优先
具备优秀的软件架构设计能力，能独立主导核心模块及整体项目的设计、开发与优化，精通安卓应用架构设计思路，具备技术方案决策能力。
具备扎实的Java、Kotlin及Android基础，熟悉面向对象编程思想、设计模式，具备良好的代码编写规范与习惯。
具备独立解决重大技术疑难问题的能力，能快速定位并解决开发过程中的系统bug、性能问题、兼容性问题等，具备技术攻坚与风险把控能力。
具备优秀的逻辑思维能力、问题分析能力及跨部门沟通协调能力，能带领团队独立完成开发任务，高效对接跨部门协作工作。 对技术有热情，注重细节，追求高质量的产品交付，具备良好的抗压能力，能适应项目迭代节奏。",Java Kotlin 技术方案 团队管理 流程优化 技术文档 跨部门协作,https://www.liepin.com/job/1983501895.shtml
Android Development Lead/安卓开发工程师 (MJ002557),整车制造5000-10000人,薪资面议,上海-嘉定区,上海,本科,5-10年,7月30日更新,liepin,"What you'll do
·         核心产品与服务研发：主导安卓端核心产品及服务的全流程开发，重点负责System UI、Launcher的架构设计、开发、调试与优化，牵头APP core services（互联中心、投屏服务、多屏共播等）的架构设计、模块开发与功能迭代，保障服务稳定、高效运行。
·         架构设计与技术决策：精通软件架构设计，主导核心模块的架构设计、技术选型与技术方案决策，梳理技术难点，优化代码结构、性能及兼容性，提升产品可维护性与扩展性，推动技术架构迭代升级。
·         技术统筹与团队管理：统筹安卓端核心产品开发工作，搭建并管理开发团队，分配开发任务、制定开发计划，监督项目进度与质量，协调解决团队工作中的各类问题，提升团队整体开发效率与技术水平。
·         疑难问题攻坚与技术把控：牵头解决开发过程中出现的各类重大技术疑难问题，包括系统级bug、性能瓶颈、兼容性问题等，组织技术评审，把控代码质量与技术落地效果。
·         技术研究与团队赋能：跟踪安卓最新技术动态、框架特性及行业实践，组织团队开展技术研究与学习，将新技术、新方案应用到实际开发中，提升产品技术竞争力，赋能团队技术成长。
·         开发规范与流程优化：制定并完善安卓开发规范、代码评审标准及开发流程，沉淀开发经验与技术文档，推动开发流程标准化、规范化，提升团队协作效率。
·         跨部门协同与需求落地：具备强烈的责任心，主动对接产品、测试等跨部门需求，协调资源推进开发任务落地，主动发现问题并推动解决，确保项目按计划交付。


What you'll bring
·         本科及以上学历，计算机科学与技术、软件工程、电子信息等相关专业；
·         有5年及以上安卓开发经验，2年及以上团队管理经验，有车载安卓开发、智能座舱相关安卓开发经验者优先。具备系统级应用、核心服务开发及技术统筹经验者优先（有System UI、Launcher、投屏/多屏相关开发经验者重点优先）。
·         熟悉Android框架、系统机制（如四大组件、生命周期、IPC通信等）、中间件及系统级应用开发，具备Android系统framework层源码的阅读、分析与调试能力。
·         有System UI、Launcher开发经验，熟悉APP core services（互联中心、投屏服务、多屏共播等）相关开发逻辑与技术方案者优先
·         具备优秀的软件架构设计能力，能独立主导核心模块及整体项目的设计、开发与优化，精通安卓应用架构设计思路，具备技术方案决策能力。
·         具备扎实的Java、Kotlin及Android基础，熟悉面向对象编程思想、设计模式，具备良好的代码编写规范与习惯。
·         具备独立解决重大技术疑难问题的能力，能快速定位并解决开发过程中的系统bug、性能问题、兼容性问题等，具备技术攻坚与风险把控能力。
·         具备优秀的逻辑思维能力、问题分析能力及跨部门沟通协调能力，能带领团队独立完成开发任务，高效对接跨部门协作工作。 对技术有热情，注重细节，追求高质量的产品交付，具备良好的抗压能力，能适应项目迭代节奏。",Java Kotlin 技术方案 团队管理 流程优化 技术文档 跨部门协作,https://www.liepin.com/job/1982151573.shtml
安卓Android开发工程师,深圳市微光视界科技有限公司,15-25k·13薪,深圳-宝安区,深圳,本科,3-5年,90天前更新,liepin,"岗位职责：
1、负责Android系统移植，驱动开发、HAL层、Framework层等开发工作；
2、负责Android平台驱动的编写、调试和优化；
3、负责Android系统架构及性能优化；
4、完成相关API接口程序的编写及调试；
5、解决在产品开发中遇到的各种问题，并进行总结与改进。

任职要求：
1、本科及以上学历，计算机、电子信息、自动化等相关专业；
2、具有3年以上Android开发工作经验；
3、良好的java/C++/C语言编程开发能力和调试技能；
4、熟悉Linux内核，深入理解驱动架构、文件系统、进程管理机制和内存管理机制；
5、熟悉Andriod开发框架，能独立完成Andriod平台下系统集成；
6、有较强的逻辑思维能力和独立解决问题的能力；
7、责任感强，工作认真负责，富有团队精神和敬业精神。",Java C++ C语言 Linux,https://www.liepin.com/job/1939919803.shtml
安卓开发工程师Andriod,互联网天使轮50-99人,13-22k·13薪,西安-雁塔区,西安,学历不限,1-3年,90天前更新,liepin,"职责描述：
1. 熟悉安卓应用安全机制优先
2. 熟悉apk逆向脱壳优先
3. 熟悉hook机制优先
4. 负责Android APP的研发和打包工作
5. 熟悉googleplay上架及相关政策者优先

任职要求：
1. 2年或以上Android APP开发经验，有成功开发并上线APP的经验
2. 扎实的Java功底，对设计模式有很好的理解，能够写出高质量, 可读可维护的代码
3. 对Android系统和Android程序框架有深入了解
4. 对Android打包加固，反编译，安全性有深入了解
5. 熟悉网络编程、多线程、图形界面编程、熟悉TCP/UDP、HTTP协议；
6. 遇到问题肯钻研，富有责任心，吃苦耐劳，积极上进
7. 能独立承担Android产品开发工作
8. 有很好的英文基础，喜欢和善于学习新的技术和开源框架
9. 良好的沟通和团队协作能力",Go Java UDP,https://www.liepin.com/job/1942082255.shtml
Android开发工程师／安卓开发工程师,深圳市邻里农园智慧农业有限公司,15-25k,深圳,深圳,大专,1-3年,90天前更新,liepin,"岗位职责
一、负责售卖机APP功能实现，APP运行日志，排查问题并记录和优化

二、负责售卖机日常维护升级，机器APP代码优化

三、对接后台，商品在机器端和补货端的具体实现；机器APP和监控APP两者的跨进程消息传递；

四、参与产品的开发工作并进行测试完成上线;

五、处理售卖机故障问题



任职资格：

1、大专以上学历，计算机或相关专业

2、一年以上安卓系统开发工作经验，对物联网技术通信有较扎实的基础，熟悉通信协议、在无人售卖机行业做过，懂安卓与下位机沟通技术优先考虑

3、技能：

     ◆熟悉JAVA语言，具有扎实的JAVA语言基础，有良好的编码风格，能独立承担任务和把控项目进度

     ◆熟悉MVP/MVVM框架思想，有相关的开发经历，有过使用JetPack中Navigation,paging库的开发经验

     ◆熟悉Okhttp/Retrofit,Glide等常用的开源组件，熟读过某组件源码加分

     ◆ 熟悉Andriod程序设计，理解Andriod的体系结构，

     ◆熟悉Android下网络编程，网络数据传输，Andriod中界面绘制、后台运行、数据存储、消息推送，Socket/Websocket, 熟悉TCP，HTTP等网络协议，

     ◆熟悉Android开发平台及框架原理，Android的基本组件使用

     ◆熟练使用多种常用设计模式，良好的设计文档撰写能力，

     ◆熟练使用Android中常用的性能调优工具，熟练使用Git等版本控制工具，对性能调优，崩溃处理，各种系统版本和机器适配有一定的开发经验

     ◆熟悉软件工程基本理论和方法，熟悉分层软件架构的概念和方法，熟练掌握面向对象编程；

     ◆熟悉动态化，多媒体等相关开发经验      

4.能  力：◆具备良好的学习能力、问题解决能力、团队协作能力和沟通协调能力；

              ◆良好的语言表达能力和逻辑思维能力;

       

面试和工作地址：深圳市南山区高新南七道德维森大厦413",Java Gin WebSocket Git Retrofit Socket Websocket,https://www.liepin.com/job/1942264929.shtml
android安卓开发工程师,山东新思软件有限公司,5-10k,济南,济南,大专,1-3年,90天前更新,liepin,"职责描述：
1. 负责Android手机、平板终端软件的开发/调试/维护/优化工作；

2. 能够独立完成移动应用的系统架构设计与开发；

3. 根据研发规范和项目流程编写相关的技术文档。

任职要求：
1、计算机相关专业背景，本科以上学历；

2、熟练Java开发，具有两年以上andriod开发经验，有安卓产品可展示； 

3、精通Android开发平台的框架原理，能够熟练使用Android SDK；

4、熟悉框架及各种特性，掌握Android中界面绘制、后台运行、数据存储等的原理，熟悉 xml/json、http、TCP/IP等协议；

5、熟悉HTML5技术，熟练使用前端JS；

5、能独立完成安卓产品开发；

6、强烈的责任感和良好的团队合作精神和沟通协调能力； 

7、有IOS或PC端开发经验者优先。",Java TCP/IP HTML5 技术文档 SDK TCP,https://www.liepin.com/job/1921407585.shtml
高级算法工程师,广州美央创新科技有限公司,25-50k,广州-黄埔区,广州,硕士,5-10年,7月29日更新,liepin,"算法岗位：高级算法工程师
岗位定位
建议岗位名称不要写普通“算法工程师”，而是写：
高级算法工程师｜视觉算法 / 智能体 / 2D&3D 图像算法方向

这个岗位的真实定位是：
补齐当前算法核心能力缺口，承担 FAITH Auto、FAITH Mobile、AI 面诊、二维图像算法、三维建模、对话智能体、报告解读智能体等关键模块的持续优化。
主要工作内容
1. 负责公司 AI 面诊、皮肤/面部图像分析、二维图像算法、三维建模相关算法的开发、优化和工程落地。
2. 负责现有算法模块的效果评估、问题定位、指标优化和稳定性提升。
3. 参与 FAITH Auto、FAITH Mobile 等产品中的算法链路建设，包括图像采集质量判断、面部区域识别、皮肤问题识别、美学特征分析、前后对比、标准脸匹配、试妆试戴、3D 表达等。
4. 参与对话智能体、播报智能体、报告解读智能体的算法能力建设，包括知识库、RAG、Prompt、工具调用、状态机、多轮对话、评估体系等。
5. 对现有算法项目进行重构和工程化治理，包括数据集管理、评估集建设、算法版本管理、效果回归、日志分析、异常 case 收集等。
6. 与 Unity、Android/iOS、后端、测试、产品团队协作，推动算法在真实设备、真实 App、真实业务流程中稳定运行。
7. 主动发现产品和算法链路中的问题，提出可执行优化方案，并推动落地。
必备技术能力
1. 计算机视觉基础扎实
必须熟悉以下能力中的多数：
- 图像增强、去噪、锐化、颜色校正、光照归一化；
- 人脸检测、人脸关键点、区域分割、姿态估计；
- 皮肤/面部图像分析、瑕疵检测、纹理分析、色斑/红区/毛孔/皱纹等视觉问题识别；
- 图像配准、前后对比、变化检测；
- OpenCV / Python 图像处理能力扎实；
- 能判断什么时候该用传统算法，什么时候该用深度学习，而不是所有问题都丢给模型。
2. 深度学习能力扎实
需要具备：
- 熟悉 PyTorch 或 TensorFlow，优先 PyTorch；
- 熟悉分类、检测、分割、关键点、图像生成、图像质量评估等任务；
- 熟悉数据清洗、标注规范、训练集 / 验证集 / 测试集构建；
- 能做模型调优、错误样本分析、消融实验；
- 能把模型指标和真实业务效果关联起来，而不是只看论文指标。
3. 算法工程化能力强
这是你们当前最需要的能力之一。候选人必须能：
- 把算法从 Demo 做到产品可用；
- 建立评估集和回归测试机制；
- 定位线上 / 设备端 / App 端算法异常；
- 处理不同光照、角度、设备、肤色、人脸状态下的稳定性问题；
- 能和 Unity / Android / iOS / 后端对齐接口、输入输出、异常码、日志和容错机制；
- 具备一定部署经验，了解 ONNX、TensorRT、OpenVINO、端侧推理、GPU/CPU 性能优化者优先。
4. 智能体能力，至少要能快速上手
如果候选人主攻智能体方向，需要重点看：
- 是否做过真实业务智能体，而不是只写过 Prompt；
- 是否理解 RAG、知识库、工具调用、多轮对话、状态管理、意图识别、上下文管理；
- 是否能设计“检测报告解读—用户追问—项目推荐—风险提示—销售辅助”的完整链路；
- 是否能做智能体评估，例如回答准确率、幻觉率、流程命中率、用户满意度、销售转化辅助效果；
- 是否理解医疗 / 医美场景下的合规边界，知道哪些内容不能让 AI 直接替代医生判断。
5. 3D / 多模态能力是强加分项
优先考虑熟悉以下方向的人：
- 3D 重建、单图 / 多图三维人脸建模；
- 点云、Mesh、高斯表示、Gaussian Splatting、NeRF；
- 人脸三维表达、数字人、面部变形、表情迁移；
- 2D+3D 融合分析；
- 手机端 3D 建模、AR 试妆、虚拟试戴、面部美学分析；
- 医学影像、超声图像、皮肤影像、光学成像相关经验。
候选人来源画像
HR 和猎头重点找这些背景的人：
1. 美颜 / 相机 / 手机影像 / AR 试妆 / 虚拟试戴方向算法工程师
    这类人对人脸、肤色、光照、妆容、局部区域识别、前后对比更敏感。
2. 医疗影像 / 皮肤检测 / 口腔影像 / 超声影像 / AI 诊断辅助方向算法工程师
    这类人更懂图像质量、医学合规、检测稳定性和真实场景落地。
3. 工业视觉 / 智能硬件 / 机器人视觉方向算法工程师
    这类人通常工程化能力更强，知道如何处理设备端复杂环境。
4. 3D 视觉 / 数字人 / 三维重建 / ARVR 方向算法工程师
    对 FAITH Mobile、3D 高斯、标准脸、试妆试戴、数字人方向有帮助。
5. AI Agent / RAG / LLM 应用工程化方向人才
    但必须要求有真实项目，不要只会调用大模型 API。",RAG 计算机视觉 OpenCV Python 深度学习 PyTorch TensorFlow ONNX LLM 大模型 知识库 版本管理,https://www.liepin.com/job/1984503681.shtml
