job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
Linux软件开发工程师-C语言方向,汽车零部件及配件科创板上市5000-10000人,20-25k,北京-朝阳区,北京,硕士,应届,90天前更新,liepin,"工作职责：
1. 负责车云安全通信、车内安全通信、防火墙、入侵检测防御系统、Linux系统安全等安全方案的设计与开发；

2. 针对车联网系统各个关键节点进行渗透攻击、挖掘漏洞、识别安全风险，分析并设计应对方案；

3. 负责智能网联汽车信息安全相关法规、标准和要求的解析，设计并实现对应的解决方案；

4. 与整车厂和零部件供应商一起合作，确保车联网信息安全解决方案顺利实施；


任职资格：
1. 计算机、网络空间安全、电子信息、自动控制、密码学等相关专业硕士学历；

2. 熟练掌握C语言或者C++语言，熟悉操作系统、计算机网络等相关知识。

3. 熟悉以太网通信协议、工业实时以太网，具有相关开发经验者优先；

4. 具有信息安全基础，熟悉常见的密码学基础知识、安全机制和渗透测试过程者优先；

5. 有信息安全开发课题和实践经验者优先；

截止日期：2026年10月13日
招聘人数：10人",防火墙 Linux C语言 C++ 渗透测试,https://www.liepin.com/lptjob/77702997
c语言工程师,电子/半导体/集成电路A轮50-99人,10-20k,北京-昌平区,北京,本科,应届,90天前更新,liepin,"职责描述：
1. 参与雷达算法开发；
2. 负责嵌入式代码编写及调试；

任职要求：
1. 通信、电子、计算机、自动化等相关专业本科以上学历；
2. 1年以上嵌入式软件或驱动开发经验；
3. 熟悉C语言编程，能看懂Matlab/Python代码；
4. 沟通能力强，优秀的团队精神。

招聘人数：1人",C语言 MATLAB Python,https://www.liepin.com/lptjob/34580611
C语言软件工程师,瞰鉴科技,10-25k,西安-高新区,西安,硕士,应届,5月18日更新,liepin,"工作职责：
1)	负责无人器导航算法的资料收集整理
2)	负责导航算法的c代码优化
任职要求：
1)	具备本科以上学历
2)	计算机，通信，电磁场，信号处理等相关专业
3)	必须具备C或C++ 较强的编码能力
4)	有linux开发经验和兴趣者优先
5)	有信号处理相关理论论文背景和DSP开发经验者优先
6)	熟悉opencv,eigen,slam等算法者优先
7)	有动态滤波，回环检测，3d导航建图等算法背景者优先
8)	需要有良好的沟通能力，抗压能力，执行能力
 

截止日期：2027年01月23日
招聘人数：1人",C++ Linux DSP OpenCV SLAM,https://www.liepin.com/lptjob/79952879
c语言软件工程师,三一集团,16-20k,珠海-金湾区,珠海,硕士,应届,90天前更新,liepin,"工作职责：
从事港机物流设备（正面吊、堆高机、重叉、伸缩臂叉车、抓料机等）无人化、智能化方面的研发工作；
负责港机物流设备（正面吊、堆高机、重叉、伸缩臂叉车、抓料机等）车端管控软件设计开发；
控制链路调试；
系统厂内联调；

任职资格：
1、深入理解机器人操作系统ROS的架构和原理，具备基于ROS或Apollo 或Autoware的机器人项目开发经验者优先；
2、熟悉C、C++或Python编程，熟悉CMAKE/Makefile等工程化工具的使用，具备较为丰富的Ubuntu系统使用经验，ROS机器人功能仿真和实际运行的调试，具有ros实际开发经验。
3、熟悉ompl算法优先，熟悉ROS Moveit和ROS control软件栈优先,熟悉Nvidia Jetson边缘计算开发经验优先；
4、具有较强的学习能力与动手能力，较强的沟通协调能力，较好的团队合作精神；


招聘人数：5人",ROS C++ Python CMake,https://www.liepin.com/lptjob/44950821
C语言研发工程师（实习生）,博雅中科,200元/天,北京-海淀区,北京,博雅中科,,90天前更新,liepin,"岗位职责：
1. C、C++语言系统开发；
2. 按照项目管理流程，参与产品部产品研发总体设计评审；
3. 进行详细设计、代码实现，配合测试，高质量完成项目；
4. 参与技术难题攻关、组织技术积累等工作。
任职资格：
1、C、C++语言基本功扎实、概念清晰、模块化编程经验、独立快速解决开发、编译、测试、调试中的错误；
2、跨平台静态库、动态库、控制台程序熟练开发经验；
3、多线程开发、调试。熟悉网络socket开发的概念、流程和实操；
4、编译软件熟练使用、deubg熟练；
5、linux系统基本操作、脚本编写技术；
6、C/S,B/S，三层架构、模式等理论概念清晰。软件工程、项目管理知识概念；
7、数据库操作及开发；
8、扎实的测试基本功：基本概念、流程、测试程序的开发、规范的测试报告；
9.对C、C++编程有浓厚兴趣；
10.良好的沟通与表达能力，思路清晰，积极上进、工作责任心强，有较强的逻辑分析能力和代码质量意识，善于沟通和团队协作。

招聘人数：1人",C++ Linux 项目管理,https://www.liepin.com/lptjob/41597169
汽车软件工程师,FEV,150-180元/天,廊坊-三河,廊坊,本科,,6月26日更新,liepin," 控制器软件开发，要求熟悉C语言或者编程，比较熟悉python语言、MATLAB等；
岗位职责
负责汽车/工业控制器底层及应用层软件开发，包括控制算法实现、信号处理、逻辑策略开发等；
基于模型设计（MBD）流程开展控制策略建模、仿真及代码生成（MATLAB/Simulink）；
负责C语言手写代码的编写、调试与维护，参与底层驱动、通信协议栈、诊断等功能开发；
配合系统/硬件工程师完成控制器联调、标定及台架/整车测试验证；
使用Python脚本进行自动化测试、数据处理、标定文件转换等工具链开发；
参与软件需求分析、架构设计、单元测试及文档编写，确保代码符合MISRA C等相关规范。
任职要求
必备条件：
本科及以上学历，车辆工程、自动化、电子信息、计算机等相关专业；
熟练掌握C语言，具备良好的编码习惯，熟悉指针、结构体、内存管理等；
熟悉MATLAB/Simulink，有基于模型开发（MBD）、自动代码生成经验者优先；
熟悉Python，能独立编写脚本用于数据处理、自动化测试或工具开发；
了解嵌入式系统基本原理，熟悉单片机（如ARM Cortex-M/R系列）或DSP开发流程；
熟悉常用车载通信协议（CAN/LIN/FlexRay/Ethernet）者优先；
具备良好的问题分析能力和团队协作意识，有较强自驱力。
加分项：
有汽车电子ECU开发经验（VCU/BCM/BMS/EMS等）；
熟悉AUTOSAR CP/AP架构及相关工具链（Vector/ETAS/EB）；
熟悉ISO 26262功能安全标准，有ASIL等级项目经验；
掌握版本管理工具（Git/SVN）、CI/CD流程；
有Simulink代码生成（Embedded Coder）量产项目落地经验。

截止日期：2027年06月25日
招聘人数：1人",C语言 Python MATLAB 单片机 ARM DSP CAN Git SVN CI/CD 自动化测试 需求分析,https://www.liepin.com/lptjob/83704731
2026届本科生应届岗位,辉芒微电子(深圳)股份有限公司,8-15k·14薪,深圳-南山区,深圳,本科,应届,90天前更新,liepin,"一、版图设计工程师
岗位要求：
1、微电子，电子等相关专业，有一定的电路，模电、数电基础；
2、会使用版图设计验证相关的工具，态度端正，勤奋好学，积极向上；
3、良好的沟通能力和团队合作精神；
4、有一定的英文阅读能力，良好的成绩是加分项。
岗位职责：
1、负责产品模块版图设计、验证等工作；
2、按照项目要求，保证重要器件的匹配、敏感信号的屏蔽和保护，完成芯片版图最优化设计；
3、标准单元库版图设计；
4、协助完成tape out review 以及checklist等文档检查，完成产品mask 的JDV工作；
5、完成上级交付的其他工作事项。

二、测试开发工程师
岗位要求：
1.本科学历，有一定的模拟电路和数字电路技术理论基础，掌握C/C++编程基础；
2.能熟练使用电子相关的测试仪器, 如示波器、各类电表等;
3.动手能力强，有现场解决测试难题的能力;
4.具有较强的数据和逻辑分析能力, 能整理分析各类测试数据;
5.熟悉单片机、EEPROM、电源应用者优先考虑;
 岗位职责：
1.负责新产品的量产测试验证: 搭建测试环境，编写代码，按照规格书和设计工程师的要求，对新产品进行各种功能/性能/可靠性测试;
2.负责开发测试程序，制定测试流程，设计制作测试板卡等；
3.负责量产测试导入，量产程序维护升级, 并持续跟进各代工厂的量产良率情况；
4.协助其他部门对工程品进行各类认证对比和可靠性分析。

三、产品验证工程师
岗位要求：
1、本科学历，电子信息、通信工程、计算机、微电子等相关专业；
2、掌握模拟和数字电子基础知识；
3、有一定的C语言和汇编语言编程基础；
4、工作负责，有耐心，思维灵活，学习能力和团队协作能力较好。
5、有MCU、EEPROM应用经验者有先。
岗位职责：
1. 负责新产品芯片的功能和性能测试和实验，负责测试需求分析，测试风险评估，制定测试策略及计划，负责测试方案和测试用例的编写，处理测试过程中的问题及测试数据处理分析，保证测试交付质量和全面性；
2. 分析测试竞争对手芯片，为芯片设计人员提供参考信息；
3. 分析当前热门应用方案，参与项目的立项，需求分析和讨论；
4. 协助解决FAE反馈的技术问题，配合重点客户的项目开发。

四、MCU应用工程师
岗位要求：
1、熟练掌握C语言和汇编语言，熟悉8位和32位单片机的内部架构和硬件组成
3、能够熟练操作常规测试仪器包括万用表，示波器，逻辑分析仪等
4、基本了解软件产品品质体系和品质保障的基本措施
5、能够熟练使用单片机开发工具进行软件开发，了解版本控制系统的操作使用
6、具体良好的口头表达能力和书面表达能力
7、本科以上学历
岗位职责：
1、按照产品规格开发其需要的实时嵌入式软件，从而使其达到客户需求。
2、根据产品规格要求设计出具体实施方案
3、通过细心的代码编写，使得方案最优（代码量最少，实时最短，消耗硬件资源最少，等等）
4、评估产品实现的多种方案. 在有设计不确定因素的情况下自行查阅中，英文技术资料寻找解决方案.
5、支持公司内部其他部门的相关工作，包括市场部，测试部的相关技术需求.
6、积极主动与必要的公司内部和外部人员沟通以达到完成任务的目的
7、积极努力学习新知识，新技能，不断完善自我

六、现场应用工程师（MCU）
岗位职责
1、协助MCU、EEPROM、BMS、电机驱动等芯片产品的推广及应用；
2、客户端的技术支持和客诉处理；
岗位要求
1、本科及以上学历，电子类相关专业为主
2、熟练掌握数电、模电、C语言等基础知识；
3、熟悉8位MCU和32位MCU的特性、编程语言、开发工具及开发流程；
4、精通I2C, SPI, UART等接口时序；
5、有良好的沟通和表达能力，思维逻辑性强；
6、诚实守信，态度积极，抗压力强，有团队合作精神；

七、电源应用工程师
岗位要求
1. 本科及以上学历，电子相关专业，有一定的模拟电路和数字电路技术理论基础；
2. 能熟练使用电子相关的测试仪器, 如示波器、各类电表等;
3. 动手能力强，有现场解决技术难题的能力和决心;
4. 具有较强的数据和逻辑分析能力, 能整理分析各类测试数据;
5. 具有一定的开关电源拓扑结构知识者优先考虑；
岗位职责
1、负责电源芯片(AC-DC, DC-DC等)的功能/性能/可靠性测试，协助设计工程师发现并解决芯片可能存在的问题；
2、负责电源芯片的应用方案参考demo设计，测试，优化方案性能，以及demo文档编写；
3、必要时，协助FAE 推广新产品，解决客户可能遇到的问题；

截止日期：2026年07月31日
招聘人数：30人",C++ 单片机 C语言 汇编 MCU I2C SPI UART 性能测试 需求分析 测试用例 技术支持,https://www.liepin.com/lptjob/80568905
AE工程师,江苏润石科技有限公司,薪资面议,无锡-新吴区,无锡,本科,应届,7月13日更新,liepin,"岗位职责：
1、制作芯片测试PCB、完成C语言、Python测试程序编写和PCB调试工作，对芯片或Demo方案进行详细测试，并及时提交测试报告；
2、制作产品规格书，编写产品应用资料，提供及时、准确的测试文档；
3、应用电路分析，协助客户改善方案，解决芯片应用问题；
4、失效样品分析，协助定位芯片失效原因，提供失效分析报告。
任职要求：
1、本科及以上学历，电子信息、微电子、通信工程、电力电气等相关专业；
2、熟悉电源、示波器、万用表、信号发生器等测试仪器使用；
3、熟悉C语言、Python程序编写；
4、熟悉AD、Kicad、立创EDA等PCB绘制软件使用；
5、具备良好的学习能力、沟通能力、团队协作精神以及较强的责任心。

截止日期：2027年07月09日
招聘人数：5人",C语言 Python Kicad,https://www.liepin.com/lptjob/84029109
北方华创微电子-电气工程师（博士）-2027校园招聘(J15895),电子/半导体/集成电路10000人以上,20-35k,北京-大兴区,北京,博士,应届,7月9日更新,liepin,"职责描述：
方向一：控制算法分析
1.数据模型与算法研究，涵盖故障预测和健康管理(PHM)、故障检测和分类(FDC)、预测性维护(PdM)、先进过程控制(APC)；
2.多物理场仿真与数据科学融合研究，包括数据动的CFD模型优化及基于物理信息神经网络(PINN)的CFD求解优化；
3.数据项目全流程开发，从数据收集到模型部署，提供针对不同数据规模的定制解决方案；
4.数据科学工具链的研究与评估，持续改进现有模型和方法论。

方向二：嵌入式系统硬件开发
1.嵌入式系统硬件架构设计与实现，包括原理图设计、PCB布局及关键元器件选型；
2.嵌入式固件开发与系统集成，实现底层驱动开发及基于RTOS的任务调度；
3.系统级测试验证，包括电气测试、功能测试和环境可靠性测试。

方向三：电气工程
1.半导体装备电气系统架构设计与开发，包括电气控制方案制定和关键供应商开发；
2.复杂电气工程问题的分析与解决，开展实验验证并开发创新解决方案；
3.电气工程组件设计、选型与工程分析，完成电图纸设计和产品规格制定。

方向四：电气工程-系统集成
1.复杂电气系统架构设计与开发，包括系统级解决方案验证和工程文档编制；
2.电气系统测试验证与性能优化，利用实验室设备进行系统性能表征；
3.数据驱动的系统设计改进，通过数据分析推动产品研发创新。

方向五：电力电子
1.电源系统及功率器件控制架构的全流程设计与可行性验证；
2.电气元件选型与技术指导，供应商培训与技术支持；
3.现场技术问题诊断与解决方案制定，为客户提供专业技术支持。

方向六：供配电技术
1.半导体设备交直流配电系统设计与控制方案开发；
2.软硬件系统集成验证与OEM部件选型成本分析；
3.电气图纸绘制与技术文档编制，包括原理图、接线图及设备手册等；
4.现场技术问题诊断与解决方案实施。

方向七：电磁兼容与屏蔽
1.半导体装备电磁兼容设计与解决方案开发，涵盖整机/模块/单板各级电磁兼容设计；
2.电磁屏蔽与吸波材料设计与测试，开展电磁材料仿真建模研究；
3.电磁兼容与静电放电等先进技术研究，支撑测试与仿真平台建设；
4.电磁材料(吸波/屏蔽/超材料)的性能测试与应用研究。

方向八：热工自动控制和热工结构设计
1.热功率计算、多输入多输出耦合加热系统建模及温度控制算法设计；
2.进行热工实验平台的设计与搭建，热工控制系统设计开发经验（辐射加热、风冷降温），如热工控制算法设计（PID或先进控制算法）的开发和调试；
3.材料选型及成型加工工艺研究（适用于高温加热的电阻丝、隔热保温材料等）。

方向九：运动控制平台开发
1.运动控制平台设计如机械手研究（轨迹规划、运动插补、自动示教）；
2.多轴协同运动控制算法设计开发，对于运动控制的末端抖动、不同负载适配研究开发；
3.根据机器视觉或者雷达信息进行多传感器信息融合处理机械手位姿确认和偏差分析；
4.研究机械手相关的智能控制、实时通讯或者结构设计。
任职要求：
方向一：控制算法分析
1.应用数学、统计学、自动化、计算机工程、电气工程、微电子工程等相关专业；
2.熟练掌握统计学习和机器学习模型，精通时间序列模型、回归和分类模型，以及神经网络(LSTM、RNN、AutoEncoder等)；
3.熟悉数据处理和特征工程，掌握PCA、LDA、ICA等数据降维方法，精通特征筛选、构造和融合技术；
4.精通Python/Matlab/C/C++/R中至少一种编程语言，熟悉Scipy、Sklearn等科学计算库，了解Pytorch/Tensorflow/Keras等深度学习框架；
5.具备PHM/FDC/半导体相关项目经验；
6.拥有数据项目全流程开发经验，能够独立设计和实现高效模型；
7.曾在数据科学会议/期刊发表论文；
8.特别优秀者可放宽要求。

方向二：嵌入式系统硬件开发
1.电气工程、自动化等相关专业；
2.精通模拟和数字电路设计，掌握电源管理、信号完整性和热管理设计；
3.熟练使用Solidworks Electrical、Eplan等EDA设计工具；
4.精通C/C++编程，具备RTOS应用经验；
5.熟悉SPI、I2C、UART、以太网和EtherCAT等通信协议；
6.具备出色的分析和故障排查能力；
7.具备ARM/DSP开发或高精度运动系统项目经验；
8.具备复杂系统嵌入式开发及跨团队协作项目经历；
9.特别优秀者可放宽要求。

方向三：电气工程
1.电气工程、自动化等相关专业；
2.精通Solidworks Electrical、Eplan等EDA软件，具备完整的电气系统设计能力；
3.熟练掌握倍福、汇川、欧姆龙等主流PLC编程与系统集成；
4.具备强大的工程分析能力，能够解析电气数据并开发创新解决方案；
5.掌握电气布线、控制柜设计规范及低压电气标准；
6.具备优秀的批判性思维和问题解决能力；
7.具备半导体装备产品开发生命周期经验；
8.特别优秀者可放宽要求。

方向四：电气工程-系统集成
1.电气工程等相关专业；
2.具备电气架构和系统集成的系统级理解，掌握电源与控制技术的自动化应用；
3.精通5-why、8D、fishbones等故障分析工具熟练使用DVM、示波器、协议分析仪等测试设备；
4.拥有出色的技术沟通能力，能够与跨职能团队有效协作；
5.具备半导体领域调度/嵌入式/电气系统成功案例；
6.具备OEM系统组件设计和跨职能团队合作经历；
7.特别优秀者可放宽要求。

方向五：电力电子
1.电气工程、自动化等相关专业；
2.熟悉电源常见拓扑结构，具备完整的电气图纸设计与技术文档编制能力；
3.掌握CAN、EtherCAT、Modbus等电源常用通讯协议；
4.精通IGBT、MOSFET、SCR等功率器件的驱动设计及MCU、DSP、FPGA控制系统设计验证；
5.熟练掌握电力电子计算方法，熟悉电源相关国家标准；
6.熟练使用Solidworks Electrical、EPlan等电气设计士具及Matlab、PSpice等仿真软件；
7.具备数字电源或变频电源项目研发经历；
8.具备完整的电源产品开发全流程实践经验；
9.特别优秀者可放宽要求。

方向六：供配电技术
1.电气工程、自动化等相关专业；
2.具备扎实的自动化、电力驱动及动力电气专业知识，善于实践；
3.精通交直流配电系统:(1000VAC以下)设计计算，熟悉国家标准规范；
4.熟练使用EPlan、Solidworks Electrical等电气设计工具；
5.具备优秀的抗压能力和自我管理能力；
6.拥有良好的中英文沟通协调能力；
7.具备半导体设备供配电项目经历；
8.具备完整的电气系统设计经验；
9.特别优秀者可放宽要求。

方向七：电磁兼容与屏蔽
1.物理、电气工程、机械电子工程、电磁场与微波技术、仪器仪表等相关专业；
2.具备解决半导体装备电磁兼容问题的能力，能通过设计提升装备抗干扰性能；
3.掌握扎实的电气工程和物理基础知识，包括模拟电路、光电子设计、电磁理论等；
4.熟悉电磁场与电磁波技术，能进行电磁仿真或高性能磁屏蔽防护设计；
5.具备电磁材料测试与仿真建模能力；
6.具有电磁场、电磁兼容、静电放电等相关项目经验；
7.具备电磁兼容测试与仿真平台建设经验；
8.特别优秀者可放宽要求。

方向八：热工自动控制和热工结构设计
1.工程热物理、自动控制、材料成型与加工、机械工程等相关专业；
2.具有热工自动化，热传类（辐射、对流、导热）研究基础背景；
3.自动控制类需掌握C语言编程或者PLC编程和COMSOL、MATLAB/Simulink仿真以及Python数据处理分析、AI类算法应用等；
4.具有辐射、对流、传热类仿真，并计算其热功率和热设计的项目开发经历或具有参与搭建实验热工实验平台或完成复杂仪器自动化控制的项目经历；
5.特别优秀者可放宽要求。

方向九：运动控制平台开发
1.自动控制、机电一体化、机械工程、计算机、人工智能等相关专业；
2.掌握嵌入式C语言编程或者运动控制板卡编程和MATLAB/Simulink仿真以及Python数据处理分析及AI类算法应用等；
3.参与过高精密运动控制平台项目或完成涉及复杂运动的装备自动化控制的项目者优先；
4.特别优秀者可放宽要求。

截止日期：2027年07月09日
招聘人数：20人",RTOS 机器学习 Python MATLAB C++ PyTorch TensorFlow Keras 深度学习 SPI I2C UART,https://www.liepin.com/lptjob/84021747
汽车电子/制动工程师（校招）,爱德克斯(常州)汽车技术研发有限公司,7-9k,常州-武进区,常州,硕士,应届,7月7日更新,liepin,"岗位职责：

车用控制制动器（ABS、ESP等）的匹配、开发

1.车用控制制动器的匹配开发。

2.ABS/TCS/ESC/ADAS相关经验优先考虑

3.有一定的C语言软件运用能力


技能要求：
1、工科专业（电子类、车辆工程类）/汽车相关专业。

2、有C语言基础。

3、对汽车电子类产品开发感兴趣。

4、较强的逻辑思维和专研精神。

5、有驾照


学历要求：硕士及以上（26年应届生）

截止日期：2027年07月07日
招聘人数：2人",C语言 ABS TCS ESC,https://www.liepin.com/lptjob/83944885
