job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
FPGA开发工程师,澎峰(北京)科技有限公司,150-300元/天,西安-雁塔区,西安,本科,,90天前更新,liepin,"1. 熟练使用Verilog或VHDL语言，具有较强的编码能力；
2. 掌握FPGA相关设计开发工具，如Vivado、Quartus II、Modulesim等；
3. 掌握Xilinx、Altera等主流FPGA硬件架构，掌握FPGA开发、调试、验证流程和方法，具备基本的调试技能；
4. 熟悉FPGA常用接口：SPI、IIC、GTX、LVDS、DDR3、AXI4等通信协议；
5. 具有Zynq 7000系列FPGA开发经验优先；
6. 熟悉嵌入式开发或具备硬件电路原理图及PCB设计能力优先；
7. 大学专科以上学历，具备良好的沟通表达能力及较强的团队合作意识。
 

招聘人数：1人",Verilog VHDL FPGA UART LTE SPI,https://www.liepin.com/lptjob/67753391
FPGA开发岗（校招）(J10084),上海垣信卫星科技有限公司,15-25k,上海-松江区,上海,硕士,应届,5月15日更新,liepin,"职责描述：
1) 负责FPGA软件代码编写、模块设计及仿真；
2) FPGA硬件调试，以满足各种需要的功能及性能；
3) 进行系统的功能定义，算法实现，接口调试等；
4) 分析并解决开发过程中的问题，FPGA的资源及时序优化；
5) 配合软、硬件设计人员完成相关任务目标；
6) 协助测试工程师制定测试计划， 定位发现的问题。
任职要求：
 熟练掌握数字信号处理的FPGA处理过程；
 熟悉Altera、Xilinx FPGA结构以及设计流程，有Actel FPGA开发经验者优先；
 熟练使用 Quartus、ISE、vivado、modelsim等工具；
 熟悉FPGA设计开发、调试流程，能够使用相关测试工具和示波器、逻辑分析仪、频谱仪等仪表；
 熟悉卫星通信、扩频通信相关知识，有相关开发经验者优先；
 具备较强的学习能力和团队合作精神，诚信，有责任感。

截止日期：2027年04月29日
招聘人数：2人",FPGA LTE UART 测试计划 Xilinx Quartus ISE,https://www.liepin.com/lptjob/82177955
fpga开发工程师,积成电子股份有限公司,9-12k·14薪,济南-高新区,济南,硕士,应届,90天前更新,liepin,"职责描述：
负责电力系统自动化相关项目中FPGA逻辑开发及软硬件联调。
任职要求：
1、电子、自动化、通信等相关专业，硕士研究生学历；
2、具有xilinx或Intel(altera) FPGA实际使用经验；
3、熟练掌握verilog或VHDL语言，熟悉ISE/Vivado/Quartus等EDA软件设计工具，熟悉MAC/UART/SPI等常用接口。
4、具有良好的逻辑思维及分析能力，有志于从事FPGA开发工作，具有一定的动手能力，有良好的沟通和团队合作精神。


招聘人数：1人",FPGA LTE Verilog VHDL UART SPI,https://www.liepin.com/lptjob/33964141
FPGA开发工程师-应届职位,北京昊海雅正科技有限公司,8-12k·13薪,北京-海淀区,北京,本科,应届,90天前更新,liepin,"岗位职责：
1.负责项目开发过程中的FPGA开发、维护工作；
2.负责项目方案设计、编码实现；

任职要求：
1.雷达、通信等相关专业本科以上学历，具有FPGA相关工作经验；
2.熟练掌握Verilog，VHDL语言；
3.熟练使用Verilog，ISE等软件；
4.熟练使用System Generator建模工具；
5.熟练使用示波器、信号源、频谱仪等各种仪器；
6.从事过通信信号处理或模拟器开发经验者优先；
 

截止日期：2026年10月14日
招聘人数：1人",FPGA Verilog VHDL 方案设计,https://www.liepin.com/lptjob/77742919
FPGA开发工程师,北京翱翔惟远科技有限公司,300-400元/天,北京-海淀区,北京,硕士,,90天前更新,liepin,"岗位职责：
1、负责项目中FPGA子系统的方案选择、模块划分、接口定义等；
2、负责项目中FPGA子系统的各功能模块的编写、验证、逻辑综合、资源评估、时序分析；
3、负责项目中FPGA子系统的模型搭建、仿真环境搭建、测试用例准备、仿真比对；
4、负责项目中FPGA子系统的相关技术文档的撰写、勘误、修订；
5、负责项目中FPGA子系统的相关代码的维护、迭代、版本管理；
6、负责项目中FPGA子系统的调试平台搭建、与软硬件开发团队密切配合，完成产品的联调测试。
任职要求：
1、熟悉模拟数字电路设计，具有良好的电子相关知识基础；
2、具有较强的电路分析能力；
3、熟练掌握Verilog或VHDL开发语言，有良好的FPGA程序设计基础；
4、 精通ModelSim，Synplify、Matlab等工具；
5、熟悉Altera/Xilinx FPGA的内核架构。熟练使用Quartus II、Vivado等设计软件；
6、具有良好的总结归纳、文档书写能力。
其他要求：
1、电子、计算机、自动化或相关专业本科及以上学历；
2、专业基础扎实，对FPGA开发有浓厚兴趣，并向往系统级方向发展；
3、具有良好的合作精神，勤奋，有专研精神；
4、良好的沟通和团队合作能力，工作积极主动，认真负责；
5、具有良好的发现并解决问题的能力，具有一定的抗压能力 。

招聘人数：5人",FPGA Verilog VHDL MATLAB LTE UART 测试用例 技术文档 版本管理,https://www.liepin.com/lptjob/58223919
FPGA开发工程师,互联网港股上市10000人以上,0-50元/天,上海-徐汇区,上海,本科,,90天前更新,liepin,"1) 本科及以上学历，熟悉Xilinx/Altera系列FPGA芯片的开发；
2) 熟练掌握Verilog或VHDL逻辑电路设计编程语言，熟悉FPGA设计及仿真验证流程；
3) 熟悉DDR、PCIe 、100G以太网等关键IP优先
4) 熟悉网络芯片设计，QoS，TM，路由查找等设计优先
5) 熟悉TCP/IP协议。有L2~L4层网络FPGA加速经验优先；熟悉VPC网络优先。
6) 熟悉linux，掌握自动化测试脚本语言的应用，并能够编写自动化测试程序；
7) 思维缜密，逻辑性强，沟通能力强，良好的团队协作精神。

招聘人数：1人",LTE FPGA Verilog VHDL PCIe TCP/IP Linux 自动化测试,https://www.liepin.com/lptjob/56628593
FPGA逻辑开发工程师（26届）,扬州宇安电子科技股份有限公司,15-20k,扬州-广陵区,扬州,硕士,应届,90天前更新,liepin,"岗位职责：
1、负责FPGA逻辑设计；
2、根据部门工作安排，承担其他FPGA相关研发工作。
任职要求：
1、硕士学历，计算机、电子、通信工程、自动化类专业；
2、熟悉Xilinx/Altera 系列芯片和开发环境；
3、熟悉常见接口如：SRIO，PCIE，以太网，DDR，SPI，IIC，UART等，了解具体协议，有开发经验者优先。
4、具有丰富的ADC/DAC高低速接口开发和调试经验的优先；
5、具有FPGA开发经验，能够熟练使用示波器、万用表、信号源、频谱仪等调试工具。
【多样化补贴护航成长】
六险一金（住房公积金全额缴纳）、提供餐补、交通补助、通讯补助、部分岗位还有高额出差补贴等。
【福利尽显人文关怀】
年度健康体检、免费健身、节假日福利、工会福利、生日福利、多种小零食供给、定制工服、年度旅游、不定期团建活动。
【完善的人才培养计划】
大班化集中授课：入职当月集中带薪培训，助力加速融入公司，理解文化制度；
小班化技术培训：针对不同岗位，部门提供技术性培训，提高培训效果；
老带新全面指导：入职后，人性化的“传帮带”体系，一对一指导助成长；
不定期线上课程：长期有计划性的系统培训，助力员工持续赋能，提升自我。
【健全的职业晋升通道】
“技术+管理”双通道模式，总有一条适合你，让人才在合适的位置发光发热。

截止日期：2026年11月25日
招聘人数：1人",FPGA LTE PCIe SPI UART 培训,https://www.liepin.com/lptjob/78705313
FPGA硬件开发工程师 (MJ000009),倍漾量化,800-1000元/天,南京-栖霞区,南京,本科,,90天前更新,liepin,"岗位职责:

1.设计开发基于FPGA的低延时量化交易系统；

2.配合量化研究员和开发工程师，针对交易场景进行优化提升；

3.研究并应用前沿技术，提升开发效率；

要求:

1.本科及以上学历，计算机/电子工程等相关专业，编程能力出色，熟练掌握C语言，VHDL或Verilog；

2.熟悉ASIC，FPGA或其他硬件的架构设计，实现和验证；

3.有RTL开发经验，熟悉Xilinx或Altera等主流FPGA的开发；

4.熟悉Linux内核，精通网络协议,具有丰富的TCP,UDP网络编程经验和框架设计经验；

5.有HLS经验，低延时网卡的开发、调优经验者优先；

招聘人数：1人",FPGA C语言 VHDL Verilog LTE Linux,https://www.liepin.com/lptjob/74974567
FPGA技术工程师,电子/半导体/集成电路融资未公开100-499人,15-27k,广州-黄埔区,广州,硕士,应届,90天前更新,liepin,"职责描述：
1.负责FPGA全流程开发工作，包括设计、开发、调试与优化，深入参与客户基于FPGA及IP核的开发项目，进行技术交流与需求分析，确保方案贴合客户实际应用。
2.诊断并解决FPGA软硬件开发中出现的各类问题，涵盖逻辑设计、时序收敛、接口通信（如PCIe、Ethernet、DDR等）及系统级调试，保障项目顺利推进。
3.组织并参与FPGA平台及开发工具的相关培训，有效传递技术方案，协助客户实现方案落地与应用迁移。
4.深入学习以太网技术（包括TSN、车载以太网及相关协议栈），掌握常用测试工具使用方法，结合客户场景输出技术文档、应用案例及实践；
5.根据客户需求撰写和设计验证方案，主导FPGA开发实施，配合完成系统前期可行性验证与原型开发。
任职要求：
1.硕士研究生及以上学历，电气工程、电子信息、通信工程、车辆工程、自动化、计算机等相关专业背景；
2.掌握至少一种HDL开发语言（VHDL/Verilog/SystemVerilog），有Xilinx/Altera等FPGA开发工具使用经验，熟悉基本开发流程与时序约束方法；
3.具备良好的学习与自适应能力，对以太网协议、嵌入式系统或高速接口技术有一定了解，有相关实践或项目经验者优先；
4.具有较强的沟通表达和团队协作能力，能够清晰理解并传递客户需求，推动问题高效解决；
5.执行力强，工作踏实认真，具备较强的责任心、抗压能力和持续自我提升意识；
6.具备良好的英文技术文档阅读与基础沟通能力，能够熟练查阅数据手册与开发资料。
加分项：
1.对于汽车/航空领域有经验，或之前参与过TSN相关项目。
2.有FPGA软硬件协同开发、高速接口开发或嵌入式系统项目经验。
3.熟悉C/C++、Python等辅助开发语言。
4.了解常见的总线与通信协议（如AXI、Ethernet、I2C, SPI等）。

截止日期：2027年03月18日
招聘人数：5人",FPGA PCIe VHDL Verilog LTE C++ Python I2C SPI 需求分析 培训 技术方案,https://www.liepin.com/lptjob/81036015
【实习】FPGA工程师 - 上海(J19271),上海联影,250元/天,上海-嘉定区,上海,硕士,,6月11日更新,liepin,"职责描述：
1.负责联影医疗设备核心部件FPGA代码开发和交付；
2.负责系统的数据和控制链路的定义和设计，FPGA选型等；
3.参与设计方案制定及文档撰写；
4.完成FPGA代码的模块级、单板级仿真验证；
5.完成单板测试和系统测试。
任职要求：
1.硕士及以上学历，优秀本科亦可。微电子、电子工程、通信工程、计算机、自动化等相关专业；
2.熟悉FPGA开发流程，能够应用Verilog或VHDL及Modelsim/Synplipfy/Debussy等EDA工具进行FPGA开发；
3.熟悉AXI/Avalon等标准总线，有DDR、CAN/CANOpen、HDMI、Ethernet、Serdes、PCIe等接口开发调试经验之一；
4.具有如下开发经验之一者优先：
   （1）Zynq/SoC；
   （2）国产FPGA开发；
   （3）信号处理或图像处理；
5.英文读写能力良好；有较强的学习能力、分析能力、沟通能力和团队合作精神。

备注：
1.联影医疗方向：
涉及业务包括CT、PET/CT、超声影像链、磁共振谱仪、放疗设备运动控制及X光设备逻辑控制。
2.联影智融方向：
涉及业务包括内窥镜、医疗机器人、医疗可穿戴设备。

截止日期：2027年06月11日
招聘人数：1人",FPGA Verilog VHDL CAN PCIe Synplipfy CANOpen HDMI,https://www.liepin.com/lptjob/83349513
