job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
研发工程师JAVA,本科,薪资面议,杭州,杭州,实习,3个月,90天前更新,liepin,"职位描述
如果你想了解JAVA开发在饿了么业务中应用的广度与深度，如果你热衷于高性能分布式技术，喜欢研究基础技术，那就加入我们吧！

具体职责包括但不限于：
1、参与基础软件的设计、开发和维护，如分布式中间件、DevOps平台、应用监控系统等；
2、参与高性能分布式服务端程序的系统设计，为饿了么的产品提供强有力的后台支持，在海量的网络访问和数据处理中，设计并实施最强大的技术解决方案；
3. 参与互联网2C/2B产品的开发和维护，完成从需求到设计、开发和上线等整个项目周期内的工作。
职位要求
【必备项】
1、热爱编程，熟悉掌握但不限于JAVA等编程语言中的一种或几种，有良好的编程习惯；
2、熟练Java语言，具有扎实Java功底。熟悉Java虚拟机原理、Java高级特性和类库、Java网络与服务器编程、Java多线程编程；
3、学习能力强，对新事物保有好奇心，有良好的沟通能力和团队协同能力，善于独立思考并反思总结。

【加分项】
1、有互联网公司实习经验，参与过互联网软件的设计和开发；
2、熟练掌握常见的Java开源软件，如Spring、MyBatis等的设计原理，有过较深入的使用经验，或有参与开源项目开发的经验；
3、热衷于ACM，在校期间参与过大学生数学建模竞赛，“挑战杯”，机器人足球比赛等，或作为骨干参与过学生网站的建设和开发；
4、在相关领域国际顶级会议、期刊发表论文，或相关学术会议组织的权威比赛中获奖。

招聘人数：1人

职位来源：该职位来自第三方企业官网",Java 分布式 DevOps Spring MyBatis,https://www.liepin.com/lptjob/73661521
研发工程师JAVA,本科,薪资面议,上海,上海,实习,3个月,90天前更新,liepin,"职位描述
如果你想了解JAVA开发在饿了么业务中应用的广度与深度，如果你热衷于高性能分布式技术，喜欢研究基础技术，那就加入我们吧！

具体职责包括但不限于：
1、参与基础软件的设计、开发和维护，如分布式中间件、DevOps平台、应用监控系统等；
2、参与高性能分布式服务端程序的系统设计，为饿了么的产品提供强有力的后台支持，在海量的网络访问和数据处理中，设计并实施最强大的技术解决方案；
3. 参与互联网2C/2B产品的开发和维护，完成从需求到设计、开发和上线等整个项目周期内的工作。
职位要求
【必备项】
1、热爱编程，熟悉掌握但不限于JAVA等编程语言中的一种或几种，有良好的编程习惯；
2、熟练Java语言，具有扎实Java功底。熟悉Java虚拟机原理、Java高级特性和类库、Java网络与服务器编程、Java多线程编程；
3、学习能力强，对新事物保有好奇心，有良好的沟通能力和团队协同能力，善于独立思考并反思总结。

【加分项】
1、有互联网公司实习经验，参与过互联网软件的设计和开发；
2、熟练掌握常见的Java开源软件，如Spring、MyBatis等的设计原理，有过较深入的使用经验，或有参与开源项目开发的经验；
3、热衷于ACM，在校期间参与过大学生数学建模竞赛，“挑战杯”，机器人足球比赛等，或作为骨干参与过学生网站的建设和开发；
4、在相关领域国际顶级会议、期刊发表论文，或相关学术会议组织的权威比赛中获奖。

招聘人数：1人

职位来源：该职位来自第三方企业官网",Java 分布式 DevOps Spring MyBatis,https://www.liepin.com/lptjob/73661519
研发工程师JAVA,本科,薪资面议,北京,北京,实习,3个月,90天前更新,liepin,"职位描述
如果你想了解JAVA开发在饿了么业务中应用的广度与深度，如果你热衷于高性能分布式技术，喜欢研究基础技术，那就加入我们吧！

具体职责包括但不限于：
1、参与基础软件的设计、开发和维护，如分布式中间件、DevOps平台、应用监控系统等；
2、参与高性能分布式服务端程序的系统设计，为饿了么的产品提供强有力的后台支持，在海量的网络访问和数据处理中，设计并实施最强大的技术解决方案；
3. 参与互联网2C/2B产品的开发和维护，完成从需求到设计、开发和上线等整个项目周期内的工作。
职位要求
【必备项】
1、热爱编程，熟悉掌握但不限于JAVA等编程语言中的一种或几种，有良好的编程习惯；
2、熟练Java语言，具有扎实Java功底。熟悉Java虚拟机原理、Java高级特性和类库、Java网络与服务器编程、Java多线程编程；
3、学习能力强，对新事物保有好奇心，有良好的沟通能力和团队协同能力，善于独立思考并反思总结。

【加分项】
1、有互联网公司实习经验，参与过互联网软件的设计和开发；
2、熟练掌握常见的Java开源软件，如Spring、MyBatis等的设计原理，有过较深入的使用经验，或有参与开源项目开发的经验；
3、热衷于ACM，在校期间参与过大学生数学建模竞赛，“挑战杯”，机器人足球比赛等，或作为骨干参与过学生网站的建设和开发；
4、在相关领域国际顶级会议、期刊发表论文，或相关学术会议组织的权威比赛中获奖。

招聘人数：1人

职位来源：该职位来自第三方企业官网",Java 分布式 DevOps Spring MyBatis,https://www.liepin.com/lptjob/73661517
Java工程师,家具/家居10000人以上,8-16k,厦门-思明区,厦门,本科,应届,5月20日更新,liepin,"岗位工作内容
1. 协助资深开发工程师参与公司后端Java业务系统的需求梳理、代码开发、功能迭代及单元测试工作；
2. 参与数据库表结构设计、SQL语句编写与优化，配合测试人员完成系统功能测试、Bug修复及上线前后的调试工作，跟进项目全流程基础研发环节，熟悉企业级项目完整开发流程。
3. 学习并熟练运用主流Java开发框架及企业常用技术栈，配合团队完成接口开发、数据对接、后台功能优化等基础研发工作，快速适配企业职场开发节奏与团队协作模式。
4. 跟进行业前沿Java技术及公司技术迭代更新；
5. 配合产品、测试、运维等跨部门团队完成业务需求落地、系统运维支撑、用户使用问题排查等相关工作，保障业务系统稳定高效运行。
任职核心要求
1、本科及以上学历，计算机、软件工程等相关专业，需正常毕业取得双证，作风踏实、愿意长期深耕Java开发赛道。
2、Java核心基础扎实：熟练掌握Java基础语法、面向对象、集合、多线程等核心基础知识，了解SpringBoot、MyBatis等主流开发框架基础用法，无需实战项目经验，校招课程基础达标即可。
3、数据库与工具基础：熟悉MySQL基础增删改查操作及常用SQL语句，掌握IDEA、Git等常用开发工具基础使用，具备基本的代码调试和简单问题排查思维。
4、热爱后端开发工作，主动愿意学习新技术，工作认真负责、有良好团队协作意识和逻辑思维。

截止日期：2027年05月20日
招聘人数：1人",Java SQL Spring MyBatis MySQL Git 功能测试 系统运维,https://www.liepin.com/lptjob/82710011
开发工程师(Java、前端)-26校招(J78227),泰康在线财产保险股份有限公司,9-15k·14薪,北京-西城区,北京,本科,应届,90天前更新,liepin,"职责描述：
开发工程师岗位包含Java开发工程师、前端开发两个方向。
1、Java开发工程师：
（1）参与公司核心项目的设计、开发和维护；
（2）编写高质量的 Java 代码，完成模块开发任务；
（3）撰写技术文档，包括需求分析、设计文档和测试报告；
（4）记录开发过程中的问题和解决方案。
2、前端开发：
（1）负责与团队成员合作，按照设计师提供的设计稿进行页面的开发；
（2）使用HTML、CSS和JavaScript等技术实现网站的前端交互效果；
（3）根据产品需求和用户体验进行界面的优化和改进。

任职要求：
1、本科及以上学历，计算机、软件工程、电子信息等相关专业。
2、Java开发岗：要求熟悉 Java 编程语言，了解数据结构、算法和计算机网络等基础知识，熟悉 Spring、Spring Boot、Spring Cloud、MyBatis 等主流框架，了解 MySQL、Redis 等数据库技术，具备基本的 SQL 编写能力，了解 Maven/Gradle 等构建工具，熟悉 Git 版本控制，熟悉Linux常用命令。
3、前端开发岗：要求熟悉HTML、CSS和JavaScript等前端开发技术，掌握常用的前端框架。对用户体验和界面设计有一定的了解和认识，能够根据产品需求进行页面的优化和改进。
4、具备学习和独立解决问题的能力，能够快速学习新技术和工具。
5、具备出色的团队合作和沟通能力，具备团队合作精神，能够与业务团队、产品团队及其他技术团队紧密协作。

截止日期：2026年09月12日
招聘人数：2人",Java JavaScript Spring Spring Boot Spring Cloud MyBatis MySQL Redis SQL Maven Gradle Git,https://www.liepin.com/lptjob/77195021
java开发工程师（实习生）,武汉导航与位置服务工业技术研究院有限责任公司,120-200元/天,武汉,武汉,本科,,90天前更新,liepin,"岗位职责：
1. 软件开发：在导师的指导下，负责使用Java编程语言开发高质量的软件应用程序；
2. 编码和调试：编写可维护、可扩展的Java代码，并进行调试以解决代码中的错误和问题；
3. 系统设计：参与系统需求分析和架构设计讨论，确保系统的可靠性、可扩展性和性能优化；
4. 数据库开发：参与设计和开发与应用程序相关的数据库，编写和优化SQL查询；
5. 测试和质量保证：编写单元测试和集成测试用例，确保软件的功能和性能符合预期，并参与代码审查和质量保证活动；
6. 故障排除和维护：识别和解决软件中的故障和问题，并对现有系统进行维护和性能调优；
7. 文档编写：撰写清晰、准确的技术文档，包括需求规格、设计文档、用户手册等；
8. 团队合作：与项目经理、产品经理和其他开发人员密切合作，确保项目的顺利进行，并根据需要提供技术指导和支持；
9. 持续学习：跟踪Java和相关技术的最新发展，不断学习和提升自己的技术能力，并将新的技术和实践应用到项目中。
岗位要求：
1.2024届毕业生，计算机、软件工程等相关专业，把后端开发作为自己首要职业选择；
2. Java语言基础扎实，有Java后端实际项目开发经验，学校课程外代码开发时间大于3个月；
3. 熟悉Spring+SpringMVC+Mybatis等框架，熟悉SQL语法和编写，熟悉MySQL数据库；
4. 有SpringBoot, SpringCloud, MQ，Redis等后端常用技术栈开发使用经验者优先；
5. 具备良好的学习能力、沟通能力、问题解决能力和团队协作能力；
6. 有技术博客、Gitee(GitHub)项目或其他相关实习经验者优先。



招聘人数：1人",Java SQL Spring MyBatis MySQL Redis Git 需求分析 质量保证 测试用例 文档编写 技术文档,https://www.liepin.com/lptjob/64700997
后端JAVA开发工程师（实习生）-广州,星展科技(中国),150-200元/天,广州-黄埔区,广州,本科,,7月16日更新,liepin,"岗位介绍：
这是一个不可多得的机会，让你作为后端JAVA开发工程师，加入DBS银行在广州的核心团队，投身于Big5项目！我们正在为对公业务打造一个全新的、全面AI赋能的核心系统。这里是AI技术从0到1的创新战场，如果你对技术充满好奇心和追求，渴望在AI领域有所建树，这里将是你的理想起点！
我们为实习生提供完善的导师培养机制，资深工程师将手把手带你入门。如果你学习速度快，表现出色，将有机会直接参与一线重点项目，快速提升实战能力，并适应互联网职场节奏。未来，你还有机会申请并参与管理培训生计划，为你的职业发展打下坚实基础。
岗位职责：
作为团队的一员，你将：
•	独立且有指导地开发和维护后端服务及API，参与构建DBS银行未来的AI赋能系统。
•	编写整洁、文档完善且高效的代码，培养良好的编程习惯。
•	积极参与代码审查，通过与资深开发人员的交流学习，快速提升编程能力和代码质量意识。
•	在导师的帮助下，调试和解决现有应用程序中的问题，锻炼解决实际问题的能力。
•	在资深工程师的指导下，参与新功能的设计和实现，亲身体验从需求到落地的全过程。
•	理解并遵守软件开发最佳实践和安全标准，为未来的职业生涯打下坚实基础。
【招聘要求】
•	国内外院校2027届毕业生。
•	期望岗位是： Java开发工程师，期望在广州工作。
•	扎实的计算机基础知识： 熟悉常见的数据结构、算法，对技术有足够的热爱和探索精神。
•	编程语言基础： 熟练掌握一种JAVA，并有一定项目经验（能提供项目源码或沉淀总结将是加分项），我们鼓励和欢迎有国际国内认可的竞赛成绩、论文、开源项目贡献者加入。
•	必备技术技能（我们将提供学习和实践机会）：
o	Java生态： 了解或学习使用最新LTS版本的JDK (如JDK 17或后续版本)，理解其新功能和优化特性，以提升系统性能和开发效率。
o	数据库： 熟悉关系型数据库 (例如：SQL, PostgreSQL, MySQL, MariaDB) 和ORM框架 (如MyBatis Plus)。
o	Web开发： 对RESTful API原则有基本理解，并熟悉Spring Boot Starter Web开发。了解SSM框架。
o	版本控制： 了解版本控制系统 (例如：Git)，掌握团队协作的基础工具。
•	优秀的综合能力： 良好的逻辑思维、分析能力、团队合作精神，强烈的学习能力和责任心。
•	工作时间： 工作日都能来公司，实习3个月或以上。
【职位描述（成长路径）】
1.	参与相关项目的整体解决方案的设计和开发：在资深工程师的带领下，你将有机会了解并参与企业级项目的全貌。
2.	参与重大项目架构设计、开发、调优：通过实践，你将学习如何解决各种疑难杂症、进行系统优化，并逐步提升自身的架构理解能力。
3.	深入理解业务，围绕业务的发展、产品规划等做技术规划：这不是简单的敲代码，我们会帮助你理解技术如何驱动业务发展。
4.	为团队引入创新的技术、创新的解决方案：我们鼓励创新，你的想法和建议将有机会为项目带来新突破。
【福利】
•	专属导师制： 经验丰富的“师兄”将提供一对一指导，助你快速成长。
•	技术分享： 定期的技术与行业态势分享，让你紧跟前沿。
•	一流设备： 配备最新的笔记本电脑，提供最佳开发体验。
•	国际化视野： 在DBS这样的国际化银行工作，提升你的英语阅读、撰写技术文档以及进行日常技术交流的能力。

【关于我们】
DBS Tech China (DTC) is a wholly-owned subsidiary of DBS Bank Singapore. As DBS Group’s third technology hub after Singapore and Hyderabad, India, DTC was officially soft launched in August 2024. 
 
It is strategically positioned to leverage DBS's technology expertise, balancing resiliency, innovation, security and efficiency to enable joyful and seamless banking experiences for customers. DTC attracts the best-in-class talents from top-tier institutions, providing them with opportunities to apply their expertise in cutting edge innovation. 
 
By taking on more core tech development work for DBS Group, DTC drives technological breakthroughs and business innovation, strengthening crucial link between China and Singapore and providing a broader development opportunities for talents in financial technology. As an AI powered technology centre, DTC is dedicated to contributing to the Group’s digital transportation journey, delivering value to customers and stakeholders.
 
 
星展科技产业（中国）有限公司【简称 “星展科技（中国）”】是亚洲领先金融机构星展银行的全资子公司。作为继新加坡和印度海得拉巴之后，星展集团建立的第三个科技研发中心，星展科技（中国）于2024年8月正式投入试运营。
 
凭借其战略地位，星展科技（中国）充分依托集团深厚的技术底蕴，开拓创新，助力星展为客户创造愉悦、无缝的银行服务体验，为集团持续平衡业务韧性、创新、安全与成本效益作贡献。星展科技（中国）致力吸纳来自顶尖机构的科技人才，为其提供施展所长，投入前沿创新的机会。
 
未来，星展科技（中国）将进一步承接集团核心金融科技研发任务，推动技术突破与业务创新，加强中新两国在金融科技领域的合作，并为相关领域人才提供更广阔的发展空间。与此同时，星展科技（中国）将持续为星展客户和集团各利益相关方创造价值，赋能集团持续的数字化转型之旅。

截止日期：2027年07月16日
招聘人数：1人",Java SQL PostgreSQL MySQL MyBatis Spring Boot Git RAG 培训 产品规划 技术文档,https://www.liepin.com/lptjob/84176325
Java开发工程师 (MJ000066),深圳市富兰瓦时技术有限公司,24-25k,深圳-宝安区,深圳,硕士,应届,7月22日更新,liepin,"岗位职责
1、负责监控系统后端整体研发、迭代优化及维护工作，保障系统稳定高效运行；
2、负责运维系统后端整体研发、功能升级、问题排查及性能优化工作；
3、负责Agent端的对接调试、功能开发及迭代优化，打通后端服务与Agent终端的数据通信链路；
4、负责Agent相关业务逻辑设计、接口开发、协议适配，保障Agent与后台系统的数据同步、指令交互稳定可靠；
5、参与Agent采集、上报、管控等核心功能研发，配合后端业务场景完成Agent功能定制与优化；
6、配合团队完成系统需求分析、技术方案设计、代码编写、单元测试及文档编写工作，持续优化系统架构与服务性能。
任职要求
1、27届应届生，硕士及以上学历，计算机科学与技术、计算机网络、软件工程等相关专业；
2、对Java开发有浓厚兴趣，具备扎实的Java基础，有完整的Java项目开发实战经验；
3、具备独立数据库表设计能力，熟练掌握SQL编写、优化技巧，熟悉数据库索引设计、使用及性能调优；
4、熟练掌握Java EE主流框架，精通Spring Boot框架，能够独立完成Spring Boot后端应用的开发、调试与部署；
5、熟悉主流后端中间件，熟练使用Nginx、Redis、RocketMQ、MySQL等，了解中间件原理及实战优化方式；
6、熟悉Agent终端对接与开发流程，掌握前后端、服务与终端的通信协议适配，具备Agent功能开发、接口联调、问题排查能力，有监控/运维类Agent开发经验者优先；
7、英文听说读写熟练，可作为日常工作语言，具备海外游学、海外项目开发经验者优先；
8、学习能力强，逻辑思维清晰，具备良好的代码规范和团队协作能力，能吃苦耐劳，具备优秀的抗压能力和问题攻坚能力。

截止日期：2027年07月08日
招聘人数：2人",Java SQL Spring Boot Nginx Redis RocketMQ MySQL 需求分析 技术方案 文档编写,https://www.liepin.com/lptjob/83989363
Java开发实习工程师（重庆）,普惠恒丰,150-250元/天,重庆,重庆,本科,,今日更新,liepin,"实习方式：线上远程+线下实践（医院用户项目现场）
1.	Java后端开发：协助团队开发和维护后端服务，使用Spring、Spring Boot等框架完成相关功能模块的开发、调试和优化。
2.	接口开发与优化（须有前端开发基础）：参与设计、开发和维护Restful API，与前端工程师及小程序开发团队合作，确保后端服务的稳定性和高效性。
3.	数据库管理：学习并运用数据库技术（如MySQL），完成数据模型设计、优化查询性能等任务，确保系统稳定、高效运行。
4.	AI工具辅助开发：掌握并使用AI辅助开发工具（如GitHub Copilot）提升代码编写效率，并在开发过程中积极尝试运用AI技术提升工作效率。
5.	代码调试与测试：参与代码调试、单元测试和功能测试，确保系统各个模块的正常运行和无Bug。
6.	文档编写：协助编写技术文档和开发文档，确保项目文档齐全，便于后续维护和升级。
7.	团队协作：与团队成员密切合作，按时完成安排的开发任务，学习并实践软件开发的完整流程。
________________________________________
岗位要求：
1.	学历要求
•	本科及以上，计算机科学、软件工程等相关专业
•	优秀的大三、大四学生或研究生在读优先考虑。
2.	技术基础：
•	熟悉Java编程语言，具备一定的编程基础。
•	掌握Spring、Spring Boot等Java开发框架，了解其基本功能和使用场景。
•	对Restful API开发有基本理解，了解接口设计、数据传递和安全性。
•	了解常见数据库（如MySQL）的基本操作，有一定的数据库设计和优化意识。
•	拥有一定的前端开发能力，能够与前端团队高效协作，参与前端页面功能的实现和优化；熟悉常见的前端技术，如HTML、CSS、JavaScript、vue，并能根据项目需求配合完成相关开发任务；
3.	AI工具应用：
•	对AI辅助开发感兴趣，愿意学习并掌握使用AI工具（如GitHub Copilot）来提升代码开发效率。
•	对前沿技术有好奇心，能够积极应用新技术解决问题。
4.	学习能力与成长意愿：
•	具备较强的学习能力和主动性，能够快速适应新的技术环境，并对开发中的问题进行深入分析和解决。
•	热衷于在实际项目中学习和应用新知识，能够高效完成开发任务。
5.	团队协作能力：
•	良好的沟通能力，能够积极与团队成员合作，参与代码评审和问题讨论。
•	有责任心，工作细致，能够按时完成任务并确保代码质量。
6.	其他要求：
•	具备较好的英语阅读能力，能够理解技术文档和学习新的技术框架。
•	有开源项目参与经验、GitHub项目经验者优先。
________________________________________
我们提供：
•	丰富的项目实践机会，参与医疗行业的创新型软件开发项目。
•	真实的企业级产品0-1的开发机会，帮助你在实际项目中提升Java开发技能。
•	灵活的工作安排，支持弹性实习时间。
•	充满活力和学习氛围的团队环境，帮助你快速成长。
•       实习结束提供实习证明。
 

截止日期：2027年03月26日
招聘人数：4人",Java Spring Spring Boot MySQL Git JavaScript Vue 功能测试 文档编写 技术文档,https://www.liepin.com/lptjob/81273321
后端开发实习生（Java为主）,普永咨询,100-120元/天,南宁-良庆区,南宁,本科,,90天前更新,liepin,"深圳市普永管理技术有限公司，以下简称普永， 是一家侧重于为大型国企及上市公司提供内控及风控、合规体系建设，流程管理、企业战略，数字化转型等管理咨询服务的咨询公司，在南宁及广州均成立了分公司，公司拥有自主产权的内控及全面风险等信息化管理系统，是一家高成长性的从事企业管理研究及信息化系统服务的复合型咨询公司。主要长期合作客户均为大型国企集团及上市公司，公司潜心研究的“以风险为导向，以合规为基础，以控制为核心，以流程为载体，以制度为平台，以IT为支撑”的六位一体咨询方法论受到众多客户认可。
有兴趣的求职者可以关注微信gzh“****”了解更多。
因广西分公司业务发展迅速，拟在南宁招聘后端开发实习生（Java为主），本招聘岗位的要求如下：

1.本科以上，计算机相关专业在读，每周出勤5天及以上，实习预计3个月以上，具体面试沟通
2.逻辑强，能看技术文档，主动沟通问题
3.学习能力强，抗压好，配合项目节奏
4.有软件开发经验，以Java开发为主

▸ Java方向

1. 掌握Java基础，懂集合/多线程入门，了解SpringBoot优先

2. 会MySQL增删改查+简单索引，能写基础SQL语句

3. 熟悉Git操作，能独立搭简单开发环境

▸ Python方向

1. 熟练Python基础语法，了解Django/Flask任一框架优先

2. 掌握MySQL基础操作，会简单数据处理

3. 会Git版本控制，能独立完成小功能开发
 

截止日期：2027年02月11日
招聘人数：1人",Java Spring MySQL SQL Git Python Django Flask 合规 技术文档,https://www.liepin.com/lptjob/79713603
