job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
云存储软件开发工程师,新华三集团,15-30k·14薪,郑州,郑州,统招本科,经验不限,90天前更新,liepin,"岗位职责：

1.     负责存储产品底层软件设计和开发。

2.     负责跟踪开源社区技术发展，新技术分析和预研。

岗位要求：

1.      本科及以上学历（研究生优先），英语四级以上，计算机、通信、电子等相关专业。

2.      熟悉C++/C或熟悉Python语言，具有2年以上开发经验。

3.      理解linux内核原理，熟悉linux编程。

4.      具有较强的逻辑思维能力和学习能力。

5.      良好的沟通能力及团队合作精神，责任心强，有一定承压能力。
",C++ Python Linux,https://www.liepin.com/job/1942407559.shtml
云存储软件开发工程师,新华三集团,15-30k·14薪,郑州-高新区,郑州,统招本科,1-3年,90天前更新,liepin,"岗位职责：

1.     负责存储产品底层软件设计和开发。

2.     负责跟踪开源社区技术发展，新技术分析和预研。

岗位要求：

1.      本科及以上学历（研究生优先），英语四级以上，计算机、通信、电子等相关专业。

2.      精通C编程语言，具有2年以上开发经验。

3.      理解linux内核原理，熟悉linux编程。

4.      具有较强的逻辑思维能力和学习能力。

5.      良好的沟通能力及团队合作精神，责任心强，有一定承压能力。

满足以下条件者优先

1.      熟悉存产品主要架构和原理，如SAN、NAS、SCSI、NVMe、CACHE、多路径、双活等；

2.      具备存储模块开发经验，如PCIe、TCP/IP、RDMA、FC、NVMoF、iSCSI、RAID等；

3.      熟悉Linux 文件系统、块设备驱动、Linux IO 栈等；

4.      熟悉DPDK\SPDK相关开发。",Linux PCIe TCP/IP NAS SCSI NVMe CACHE TCP,https://www.liepin.com/job/1941364609.shtml
云存储软件开发工程师,新华三集团,15-30k·14薪,杭州-滨江区,杭州,统招本科,1-3年,90天前更新,liepin,"岗位职责：

1.     负责存储产品底层软件设计和开发。

2.     负责跟踪开源社区技术发展，新技术分析和预研。

岗位要求：

1.      本科及以上学历（研究生优先），英语四级以上，计算机、通信、电子等相关专业。

2.      熟悉C++/C，具有2年以上开发经验。

3.      理解linux内核原理，熟悉linux编程。

4.      具有较强的逻辑思维能力和学习能力。

5.      良好的沟通能力及团队合作精神，责任心强，有一定承压能力。

6.       做过存储相关（分布式、集中式均可），支撑相关业务的优先",C++ Linux 分布式,https://www.liepin.com/job/1941661127.shtml
云存储软件开发工程师,新华三集团,15-30k·14薪,成都-高新区,成都,统招本科,1-3年,90天前更新,liepin,"岗位职责：

1.     负责存储产品底层软件设计和开发。

2.     负责跟踪开源社区技术发展，新技术分析和预研。

岗位要求：

1.      本科及以上学历（研究生优先），英语四级以上，计算机、通信、电子等相关专业。

2.      熟悉C++/C或熟悉Python语言，具有2年以上开发经验。

3.      理解linux内核原理，熟悉linux编程。

4.      具有较强的逻辑思维能力和学习能力。

5.      良好的沟通能力及团队合作精神，责任心强，有一定承压能力。
",C++ Python Linux,https://www.liepin.com/job/1942407557.shtml
软件设计师 （网络软件开发、云存储软件开发方向）,智想信诚科技(北京)有限公司,25-50k,上海-闵行区,上海,统招本科,3年以上,7月2日更新,liepin,"岗位职责：
1)	熟悉Linux操作系统，有在Linux环境下进行实际软件开发和调试的经验
2)	具有C/C++开发经验，熟悉服务端开发与网络编程，深入理解TCP/IP、FTP、UDP、HTTP等协议；
3)	具有Restful和OSS（对象存储）开发、测试等相关工作经验；
4)	对大规模分布式系统有浓厚兴趣，有存储系统、任务调度、迁移系统或运维平台构建经验者优先；
5)	熟悉软件开发流程，有良好的工程质量意识；
6)	根据项目需求，编写系统设计文档、接口文档及使用说明等技术文档；
7)	与硬件、测试等团队协同工作，完成系统联调和现场测试支持。
任职要求：
1)	工作年限：3年以上网络工程、云存储行业开发工作经验，有卫星软件开发经验者优先；
2)	了解RS422、LVDS、以太网等各种通信接口和协议者优先；
3)	学历：本科及以上学历，计算机、软件工程、通信工程、电子信息、自动化等相关专业；
4)	具备良好的学习能力、沟通能力和团队协作能力。
5)	工作认真负责、责任心强，能适应出差。",Linux C++ TCP/IP 分布式 技术文档 IP FTP UDP,https://www.liepin.com/job/1983869329.shtml
软件设计师 （网络软件/云存储软件开发方向),智想信诚科技(北京)有限公司,30-50k,上海-徐汇区,上海,本科,5年以上,7月16日更新,liepin,"工作职责：
1) 熟悉Linux操作系统，有在Linux环境下进行实际软件开发和调试的经验
2) 具有C/C++开发经验，熟悉服务端开发与网络编程，深入理解TCP/IP、FTP、UDP、HTTP等协议；
3) 具有Restful和OSS（对象存储）开发、测试等相关工作经验；
4) 对大规模分布式系统有浓厚兴趣，有存储系统、任务调度、迁移系统或运维平台构建经验者优先；
5) 熟悉软件开发流程，有良好的工程质量意识；
6) 根据项目需求，编写系统设计文档、接口文档及使用说明等技术文档；
7) 与硬件、测试等团队协同工作，完成系统联调和现场测试支持。
任职要求：
1) 工作年限：3年以上网络工程、云存储行业开发工作经验，有卫星软件开发经验者优先；
2) 了解RS422、LVDS、以太网等各种通信接口和协议者优先；
3) 学历：本科及以上学历，计算机、软件工程、通信工程、电子信息、自动化等相关专业；
4) 具备良好的学习能力、沟通能力和团队协作能力。
5) 工作认真负责、责任心强，能适应出差。
6) 工作地点：上海、杭州
""",Linux C++ TCP/IP 分布式 技术文档 IP FTP UDP,https://www.liepin.com/job/1983969077.shtml
百度智能云存储方向测试开发工程师,在线社交/媒体已上市10000人以上,18-28k·15薪,北京-海淀区,北京,本科,1-3年,90天前更新,liepin,"工作职责：
-负责百度智能云对象存储、块存储、文件存储等分布式存储相关业务的质量保证工作
-开发测试工具和自动测试框架、自动测试脚本，进行自动化测试
-根据产品需求进行测试，包括测试方案、设计、执行、BUG提交和追踪、测试报告和测试改进等
-深入理解用户场景，解决项目痛点问题，优化与改进用户体验，发挥产品影响力
-参与单元测试、代码评审、持续集成、自动部署、线上监控等工作，确保代码质量和交付效率
职位要求：
-具备至少1年以上互联网开发测试经验
-良好的软件工程、数据结构、算法等基础；良好的LINUX基础
-熟练地应用一下一门或几门语言：Python/C++/JAVA
-在以下领域有经验者优先考虑：云计算、分布式计算、分布式存储、虚拟化等。
-对质量保证工作感兴趣，并且有自己独特的理解
-学习能力强，有较强分析和解决问题的能力，具有较强逻辑思维能力和表达能力 
-工作积极主动，有强烈责任心和严谨工作作风，积极思考，不断创新，良好的协作沟通能力和团队合作精神",分布式 Linux Python C++ Java 质量保证 自动化测试,https://www.liepin.com/job/1931408949.shtml
C++软件工程师2,北京中科数联科技股份有限公司,12-29k·13薪,杭州-西湖区,杭州,本科,3-5年,90天前更新,liepin,"1、参与智能交通管控平台产品研发；
2、负责或参与智能交通系统或组件的设计、开发、维护更新；
3、负责系统或模块分析与设计，并负责完成相关代码编码；
4、根据开发规范编写相关文档。


任职资格：
 1、本科及以上学历，计算机相关专业； 4年及以上开发相关工作经验。
 2、熟练掌握C/C++ 语言、熟悉面向对象开发，能够熟练使用Microsoft Visual Studio集成开发环境；
 3、精通Windows或Linux操作系统下开发，包括IO，多线程，网络编程等常用开发技术； 
4、有开发过视频管理平台，熟悉H264、GB28181开发者优先。
 5、有过海康、华为的云存储开发经历，对接过海康、华为云存储开发经验者优先。
 6、熟悉Webrtc相关技术，JSON/HTTP相关技术在模块中的应用方式优先；
 7、态度端正，责任心强；学习力佳，热爱创新。善于与他人沟通、合作，具有团队精神；职",C++ ROS Linux 华为云 Visual JSON,https://www.liepin.com/job/1951969617.shtml
C++软件工程师,北京中科数联科技股份有限公司,12-29k·13薪,杭州-西湖区,杭州,大专,3-5年,90天前更新,liepin,"职责描述：
1、参与智能交通管控平台的研发；
2、负责或参与智能交通系统或组件的设计、开发、维护更新；
3、负责系统或模块分析与设计，并负责完成相关代码编码；
4、根据开发规范编写相关文档。

任职资格：
 1、本科及以上学历，计算机相关专业； 4年及以上开发相关工作经验。
 2、熟练掌握C/C++ 语言、熟悉面向对象开发，能够熟练使用Microsoft Visual Studio集成开发环境；
 3、精通Windows或Linux操作系统下开发，包括IO，多线程，网络编程等常用开发技术； 
4、有开发过视频管理平台，熟悉H264、GB28181开发者优先。
 5、有过海康、华为的云存储开发经历，对接过海康、华为云存储开发经验者优先。
 6、态度端正，责任心强；学习力佳，热爱创新。善于与他人沟通、合作，具有团队精神；

",C++ ROS Linux 华为云 Visual,https://www.liepin.com/job/1951969543.shtml
云存储/云融合/云计算高级软件工程师,北京惠鑫天空科技有限公司,20-28k,北京-石景山区,北京,统招本科,5年以上,90天前更新,liepin,"职位描述：
具有丰富经验的高级软件工程师，专注于云存储、云计算和云融合技术的研发与优化，参与企业级云平台的融合设计、开发、部署与维护，致力于提供稳定、高效、可扩展的云服务解决方案。

岗位职责：
1.	云存储开发与优化
1)	设计并实现高性能、高可靠性的分布式存储系统。
2)	优化存储系统的性能、可用性和安全性，满足大规模数据存储需求。
3)	研究并应用主流云存储技术（如对象存储、块存储、文件存储等）。
2.	云计算平台开发
1)	参与云计算平台的架构设计，开发核心功能模块（如虚拟化、容器化、资源调度等）。
2)	支持弹性计算、负载均衡和自动化运维功能的实现与优化。
3)	深入研究云计算相关技术栈（如OpenStack、Kubernetes、Docker等），并将其应用到实际项目中。
3.	云融合存储技术研究
1)	研究并实现多云/混合云/私有云的融合方案，提升跨云平台的兼容性与协同能力。
2)	开发并优化跨云数据迁移、同步和管理工具。
3)	解决云平台间的互操作性问题，确保系统的稳定性和高效性。
4.	技术创新与团队协作
1)	跟踪云计算领域的最新技术趋势，提出创新性解决方案。
2)	与产品经理、架构师及其他团队成员密切合作，推动项目按时交付。
3)	指导初级工程师，分享技术经验，提升团队整体技术水平。

任职要求：
1.	教育背景与经验
1)	计算机科学、软件工程或相关专业本科及以上学历（硕士学历及以上优先）。
2)	5年以上云存储、云计算或相关领域开发经验，具备大型分布式系统开发经验优先。

2.	技术能力
1)	熟练掌握至少一种主流编程语言（如C++、Go、Golang、Java等）。	
2)	熟悉主流云服务平台（如AWS、Azure、阿里云、华为云等）的架构及相关服务。
3)	熟悉虚拟化技术（如KVM、VMware）和容器技术（如Docker、Kubernetes）。
4)	熟悉存储协议（如NFS、iSCSI、S3等）及分布式存储系统（如Ceph、HDFS）。
5）深入理解分布式系统原理，熟悉CAP理论、数据一致性模型等。
3.	其他要求
1)	具备良好的问题分析与解决能力，能够独立承担复杂的技术难题。
2)	具有良好的沟通能力和团队合作精神。
3)	对云计算领域的技术发展有深入了解，具有较强的学习能力和技术敏感度。
 
加分项：
1）有开源项目贡献经验或技术社区活跃经历。
2）持有云计算相关认证（如AWS Certified Solutions Architect、阿里云ACP认证等）。
3）具备大规模数据处理或AI/ML相关经验。
4）具有计算机中级以上职称。
5）具有PMP项目管理证书。

薪资与福利：
薪资范围：面议（根据能力与经验）
福利：五险一金、年终奖、带薪年假、技术培训、灵活工作时间等",分布式 容器化 Kubernetes Docker C++ Go Golang Java AWS Azure 阿里云 华为云,https://www.liepin.com/job/1978538635.shtml
