job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
云计算软件开发工程师,通信设备10000人以上,13-26k·15薪,杭州-滨江区,杭州,本科,经验不限,90天前更新,liepin,"云计算软件研发工程师 
【岗位职责】： 
负责云计算领域产品代码设计开发工作
【岗位要求】 
1.本科及以上学历，计算机相关专业，1年以上软件类产品系统研发工作经验 
2.熟悉java/python语言至少一种，掌握常见数据结构，算法，熟悉软件开发基本流程 
3.善于独立思考，能主动发现问题、分析问题，有系统化的解决问题的能力；喜欢挑战性的工作，有较强的自我驱动能力和承压能力。 
4.具备开放的思想，对于主流的开源 
优招条件 
1.有任一云计算主流产品（openstack。Azure，AWS，VMware，阿里云，腾讯云等）开发经验者优先
2、熟悉网络虚拟化领域相关技术和开源组件（Openstack Neutron或者Opendaylight）等 
3.有高并发高性能分布式系统开发经验优先 
4.熟悉TCP/IP网络技术，了解，具备传统网络组网的设计能力和工程经验者优先",Java Python Azure AWS 阿里云 腾讯云 高并发 分布式 TCP/IP,https://www.liepin.com/job/1944521947.shtml
云计算软件开发工程师python,通信设备10000人以上,20-40k·14薪,杭州-滨江区,杭州,统招本科,经验不限,90天前更新,liepin,"云计算软件开发工程师
岗位要求：
1、全日制本科及以上学历；
2、掌握常见数据结构和算法，对操作系统/计算机网络/数据库等有一定了解；
3、熟悉java/python/c/c++/go等至少一种语言，有良好的编程习惯；
4、具备独立解决问题的能力、善于沟通，乐于合作。
优先条件：
1、熟悉TCP/IP协议、Linux系统者优先；
2、有分布式系统开发经验者优先；
3、有python运维脚本和多线程开发经验者优先。
4、有redis/kafka/zookeeper/etcd等中间件开发和维护经验者优先。
5、有sprintboot/mybatis/hibernate等开源软件开发经验者优先。
6、有任一云计算领域（Openstack/阿里云/AWS/Azures）开发经验者优先；


岗位待遇：
长期合同、五险一金、年终奖（具体详聊）",Java Python C++ Go TCP/IP Linux 分布式 Redis Kafka Zookeeper MyBatis Hibernate,https://www.liepin.com/job/1935951099.shtml
云计算软件开发工程师,通信设备10000人以上,15-45k·14薪,杭州-滨江区,杭州,统招本科,经验不限,90天前更新,liepin,"云计算软件开发工程师
岗位要求：
1、全日制本科及以上学历；
2、掌握常见数据结构和算法，对操作系统/计算机网络/数据库等有一定了解；
3、熟悉java/python/c/c++/go等至少一种语言，有良好的编程习惯；
4、具备独立解决问题的能力、善于沟通，乐于合作。
优先条件：
1、熟悉TCP/IP协议、Linux系统者优先；
2、有分布式系统开发经验者优先；
3、有python运维脚本和多线程开发经验者优先。
4、有redis/kafka/zookeeper/etcd等中间件开发和维护经验者优先。
5、有sprintboot/mybatis/hibernate等开源软件开发经验者优先。
6、有任一云计算领域（Openstack/阿里云/AWS/Azures）开发经验者优先；


岗位待遇：
长期合同、五险一金、年终奖（具体详聊）",Java Python C++ Go TCP/IP Linux 分布式 Redis Kafka Zookeeper MyBatis Hibernate,https://www.liepin.com/job/1935951231.shtml
外企德科-华为云计算工程师java/c++/python,通信设备10000人以上,15-40k·14薪,西安-高新区,西安,本科,经验不限,90天前更新,liepin,"外企德科-华为云计算Java高级开发工程师
【团队介绍】
华为云计算数据库产品服务，服务于华为云计算底层上的海量客户，为客户提供高可靠高可用、响应及时、完善的数据库体验。数据库作为所有系统必不可少的底座，是每个云计算厂商必须角逐的领域。华为云数据库服务目前上线了众多高品质服务：rds for mysql、gaussdb系列数据库、nosql系列引擎等等，与数据库管理服务das、数据库迁移服务drs等协同作战，在云计算领域与形成了一套富有竞争力的打法，目前数据库客户规模以及实例个数快速增加，团队急需扩充人员。
【岗位职责】
1 负责云计算底座上的数据库实例的生命周期管理、计费系统、指标采集与告警、高可用切换、备份与
恢复系统等其中一个或者多个方面的代码开发与方案设计
2 对现有系统的方案设计、性能瓶颈进行优化改进，满足日益增加的客户规模
3 利用代码技术，实现了运维效率、问题定位的自动化、高效化。
【技术要求】
1 技术栈背景java或者Python
2 责任心强，踏实勤奋，对所负责模块能够端到端负责到底，具有主人翁意识
3 有云计算背景或者高并发计算背景更佳。

外企德科-华为云计算C/C++高级开发工程师
【团队介绍】
华为云计算数据库产品服务，服务于华为云计算底层上的海量客户，为客户提供高可靠高可用、响应及时、完善的数据库体验。数据库作为所有系统必不可少的底座，是每个云计算厂商必须角逐的领域。华为云数据库服务目前上线了众多高品质服务：rds for mysql、gaussdb系列数据库、nosql系列引擎等等，与数据库管理服务das、数据库迁移服务drs等协同作战，在云计算领域与形成了一套富有竞争力的打法，目前数据库客户规模以及实例个数快速增加，团队急需扩充人员。
【职责描述】
1、负责MySQL域数据库内核/管控层研发工作与性能调优；
2、与产品经理互动，参与产品功能竞争力调研、方案设计及开发等整体流程；
3、加入团队与最顶尖的数据库专家们一起打造一流的云数据库服务能力。
【招聘要求】
1、熟练掌握C/C++，良好编程习惯；
2、熟悉基础数据结构和常用算法，熟悉linux下开发和调试环境；
3、拥有MySQL/PG等数据库开发经验者优先。

外企德科-华为云计算Python高级开发工程师
【团队介绍】
华为云计算数据库产品服务，服务于华为云计算底层上的海量客户，为客户提供高可靠高可用、响应及时、完善的数据库体验。数据库作为所有系统必不可少的底座，是每个云计算厂商必须角逐的领域。华为云数据库服务目前上线了众多高品质服务：rds for mysql、gaussdb系列数据库、nosql系列引擎等等，与数据库管理服务das、数据库迁移服务drs等协同作战，在云计算领域与形成了一套富有竞争力的打法，目前数据库客户规模以及实例个数快速增加，团队急需扩充人员。
【岗位职责】
1 负责MySQL RDS的数据库实例的生命周期管理、计费系统、指标采集与告警、高可用切换、备份与恢复系统等其中一个或者多个方面的代码开发与方案设计
2 对现有系统的方案设计、性能瓶颈进行优化改进，满足日益增加的客户规模
3 利用代码技术，实现了运维效率、问题定位的自动化、高效化。
【岗位优势】
1.技术领先，能够接触到对实际生产中MySQL实例备份管理，实例管理，实例监控，计费统计等各个方面的技术，拥有全国TOP2级别的数据库规模来验证技术的领先性。
2.数据库技术通用，MySQL作为全球最流行的开源数据库，这份岗位学习到的技能在整个行业都是最通用的。对于未来职业发展都很有优势。
3.数据库具有一定的专业性和门槛，可以提升从业人员的竞争力，延长职业生涯。
4.团队人员能力强，技术交流多。人员大多来自国内top级别的高校和互联网公司以及海外从事数据库的专家会定期分享和讲座。
【技术要求】
1 技术栈背景Python
2 责任心强，踏实勤奋，对所负责模块能够端到端负责到底，具有主人翁意识
3 有云计算背景或者高并发计算背景更佳。",华为云 Java 高可用 MySQL SQL Python 高并发 C++ Linux 方案设计,https://www.liepin.com/job/1956154875.shtml
云计算高级工程师岗位,深圳市讯方技术股份有限公司,12-19k,南京-玄武区,南京,本科,3-5年,90天前更新,liepin,"岗位职责：
1、负责华为云计算相关产品的维护及管理工作，虚拟化、桌面云、存储、服务器、数据中心、相关产品的工程项目交付及维护管理工作；
2、承担云计算维护工程师职责，从事上述产品维护和故障分析，支撑IT产品的日常维护、故障定位、问题处理和性能优化；
任职要求：
1、具备有效沟通能力：与中基层客户有效沟通技术方案、项目计划和进度等，获得客户支持和认可；
2、具备需求分析与引导能力：正确理解、有效分析和管理客户需求；
3、具备项目管理能力：初步掌握项目管理基本方法和工具，并运用到工作中，具备项目技术管理成功实践；
4、技术要求：掌握服务器、存储、、云计算、网络等基础知识，掌握Linux常用配置文件作用；掌握添加、删除软件包和服务的方法；
5、 熟悉华为存储/云计算产品或其它厂商虚拟化云计算项目实施经验者优先考虑；
6、 具有HCIE证书优先；",华为云 Linux 技术方案 需求分析 项目管理,https://www.liepin.com/job/1964330049.shtml
华为云计算工程师,通信设备不需要融资1000-2000人,7-10k,哈尔滨-道里区,哈尔滨,学历不限,1-3年,90天前更新,liepin,"职责描述：
1、华为云计算ASP工程师
2、承担华为云计算和虚拟化产品和解决方案技术支持工作；
3、负责华为云计算和虚拟化产品产品的技术问题处理，重大工程项目管理；
4、负责华为云计算和虚拟化产品产品技术资料的编写、培训工作




任职要求：
1.1～2年以上云计算和虚拟化产品技术支持工作经验；
2.熟练掌握网络、linux和数据库等相关技术，
3.勤奋、敬业，具备良好的学习意愿与团队合作精神；
4.具有计算机、通信工程、电子相关专业本科或以上学历优先；
5.具有华为认证证书者优先；
季度奖金 双休 法定节假日 加班工资 团建 餐补 通讯 交通补助 五险",华为云 Linux 技术支持 项目管理 培训,https://www.liepin.com/job/1952227081.shtml
云计算工程师,农/林/牧/渔融资未公开1000-2000人,7-10k,郑州-郑东新区,郑州,大专,1-3年,90天前更新,liepin,"云计算中级工程师
（1）对云计算平台系统的整体架构设计有深刻理解，能完成云平台的整体规划设计。
（2）对华为FusionCloud解决方案有深入了解，熟悉华为Fusionsphere openstack、Fusionsphere等云计算产品，能独立完成安装调测工作；
（3）熟悉华为各类服务器、存储产品，能独立完成安装调测工作。
（4）具备一定的网络知识与调测能力，熟悉主流的网络设备情况。
（5）具备良好的沟通、协调能力，能进行多方沟通，了解客户的潜在需求。
（6）积极主动，能独立处理和解决问题。
（7）具备HCIP-Cloud证书，具备HCIE证书者为加分项，优先考虑",openstack,https://www.liepin.com/job/1930185267.shtml
云计算工程师,某深圳大型通信设备公司,10-15k,广州,广州,统招本科,经验不限,6月29日更新,liepin,"职位详情
任职要求：1、具备云计算和数据中心网络规划设计和交付实施经验，熟悉云计算和数据中心集成交付流程和技术管理方法
2、熟悉OpenStack架构，具备开源OpenStack或友商OpenStack产品规划设计和交付实施经验者优先
3、熟悉KVM或XEN虚拟化架构，熟悉VMware vSphere、Citrix XenServer、FusionCloud等至少一种主流厂商虚拟化或云计算产品
4、熟悉SAN、NAS、分布式存储相关技术和解决方案
5、了解数据中心的网络架构和规划设计，熟悉网络产品和安全产品，熟悉SDN技术，具备一定的网络解决方案规划设计和交付实施经验者优先
6、具有HCIE、CCIE、VMware VCAP、VMware VCP、Citrix CCA、ITIL相关认证证书者优先
7、熟悉金融、能源、交通、医疗、教育等行业应用和软件，具有成功云计算和数据中心大型项目交付经验者优先
岗位职责：1、负责中国区混合云业务交付，包括IaaS/PaaS/大数据等的集成规划设计和交付工作，同时识别交付过程中的共性问题和客户需求，推动产品持续改进
2、负责中国区混合云项目的交付方案评审，识别项目方案风险点，对项目提供专家意见和建议
3、支撑混合云项目的售前拓展活动以及集成交付的核心能力建设，保障项目顺利交付",分布式 产品规划 vSphere Citrix XenServer NAS CCIE VMware,https://www.liepin.com/a/77273317.shtml
高级云计算工程师,成都峰潮信息技术,15-25k,成都,成都,大专,3-5年,7月7日更新,liepin,"岗位职责：
1、掌握服务器、存储、数据库、云计算、网络等基础知识，熟悉Windows、Linux操作系统，掌握常用命令，熟悉shell脚本，熟悉华为FusionCloud解决方案；
2、负责华为云平台的维护和客户问题需求对接；

岗位要求：
1、大专及以上学历，两年以上相关工作经验，有做过包含云迁移、云灾备，云运维、EI等方面的项目，其中有HUAWEI CLOUD Stack-云项目经验者优先；
2、拥有华为云计算HCIE证书，熟悉华为配置RH系列服务器、OceanStor SAN/NAS存储,能迅速定位服务器/存储故障诊断；
3、具备FusionSphere OpenStack云数据中心系统规划设计，部署配置与操作管理能力，熟练使用华为云数据中心运维工具；
4、能独立承担华为云平台相关工程交付、高危操作方案编写；
5、能独立排查华为云平台各种组件故障，并在不影响现网业务的情况下进行排障。
6、具备较强的学习能力、沟通能力、应变能力、组织协调能力和抗压能力。
7、能适应短期全国出差、吃苦耐劳、服从工作安排，具备客户至上的服务理念。",Linux Shell 华为云 CLOUD Stack- OceanStor SAN,https://www.liepin.com/job/1954560577.shtml
云计算工程师,某保险公司,30-50k·15薪,北京,北京,统招本科,5-10年,7月29日更新,liepin,"职位描述

我们正在寻找富有创新精神的人才，加入我们充满活力的技术团队。该团队由横跨全球三大中心的200多名专业人士组成。在我们的企业价值观——协作、勇气、关爱、开放包容和诚信——的指引下，我们的团队致力于开发为世界提供保障的技术。加入我们，一起创造不同！

我们大力投资云原生技术。作为云工程师，您将负责开发、优化和维护我们的中国多云平台，该平台用于支持基础设施预置和解决方案部署。我们需要一位能够设计并编写Terraform模块，以在多个中国云平台上部署资源的工程师。您将成为我们全球云工程师团队的一员，该团队始终致力于站在云创新的前沿。

岗位职责

主要职责包括：

使用Kubernetes等云原生技术，设计、开发、部署和维护基于云的模块化系统。

为平台实施合理的云解决方案，以满足产品负责人（PO）提出的要求（包括架构、存储与计算服务、成本监控与优化、角色管理）。

识别、分析并解决基础设施漏洞和应用部署问题。

对云基础设施进行审计，并持续提出改进建议。

与工程和开发团队协作，评估并识别我们多云平台所需的改进/扩展方向。

与跨国团队中的同事及全球利益相关者保持良好的工作关系。

熟练使用Confluence等工具进行文档整理，以确保业务连续性。

接收、处理并记录来自利益相关者和开发团队的反馈，以持续改进我们的基础设施。

任职资格

专业经验

至少5年作为云工程师或类似职位的工作经验，涉及主流云平台（阿里云、阿里金融云、Azure等）。

具备在生产环境中使用阿里云和/或阿里金融云的实践经验。

深入了解云原生开发、CNCF技术及开源生态系统。

具备Docker、Kubernetes及容器化环境的实践经验。

精通Kubernetes部署、网络、存储、安全、高可用性和多租户管理。

具有管理、维护和排查云基础设施及Kubernetes集群（包括数据科学工作负载）的经验。

对微服务架构和云原生设计模式有深入理解。

具有跨多个云平台集成和管理服务的经验。

深入理解云安全原则，包括HTTPS、证书管理、OAuth2、凭证管理以及合规要求。

扎实掌握基础设施即代码（IaC）技术，并具有将IaC解决方案集成到工程环境中的经验。

具有CI/CD流水线、DevOps实践和AI辅助编码工具的经验，同时确保代码质量、验证和优化。

具备较强的分析和风险评估能力，有在敏捷/Scrum环境中按时交付高质量解决方案的经验。

在云基础设施预置方面，具有设计、开发和维护可复用Terraform模块的丰富实践经验。

具有运维支持数据科学、AI或机器学习工作负载的Kubernetes集群的经验。

软技能

展现出领导力和辅导能力，能够促进团队合作和知识共享。

能够适应不断变化的优先级，致力于持续学习和创新。

具备较强的分析和解决问题的能力，在云运维和优化中注重细节。

能够熟练使用专业和技术英语进行书面和口头沟通，以适应国际化和多元文化的工作环境。

乐于与不同时区的全球团队和利益相关者进行协作。",云原生 Terraform Kubernetes 阿里云 Azure Docker 容器化 高可用 微服务 CI/CD DevOps 机器学习,https://www.liepin.com/a/78147529.shtml
