job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
光网络工程师,司络数码(深圳)有限公司,18-22k,香港-观塘区,,学生可投,3年以上,90天前更新,liepin,"关于我们
我们是一家总部位于香港的企业通讯解决方案提供商，拥有全球电信资源与自研SaaS平台。凭借与全球160多家电信运营商的战略合作，我们为企业提供从底层CPaaS（语音、短信、虚拟号码）到智能客服平台的一体化解决方案，助力客户连接全球员工与客户，提升业绩与体验。

您将负责：
•	在分布式环境中设置、配置、升级、测试和排查网络问题
•	维护高网络可用性，确保所有网络设备正常运行
•	为平台客户提供技术支持和维护服务
•	提出并执行网络运维的持续改进方案
•	记录所有网络变更、升级及新实施项目
•	必要时在非正常工作时间内工作

任职要求
•	持有电信、计算机工程、计算机科学、信息技术或相关专业的高级文凭/学士学位
•	具备 CCNP、CCIE 或同等级别网络认证者优先
•	扎实的Layer 2和Layer 3网络知识，包括TCP/IP、VLAN、生成树、OSPF和BGP
•	具备IP Transit和BGP对等互联的实操经验，包括eBGP/iBGP、路由策略控制和流量工程
•	有与上游供应商、互联网交换中心(IX)及私有Peer建立BGP互联经验
•	至少3年设备的配置和支持实操经验：
o	Juniper、Cisco、华为路由器/交换机
o	FortiGate防火墙
o	Citrix负载均衡器
•	有IPSec VPN配置经验者优先
•	有AWS/阿里云网络经验者优先
•	熟悉网络监控工具，如Cacti、Nagios、Zabbix或同类工具
•	良好的沟通能力，具备流利的中英文听说读写能力
•	能够独立工作，积极主动，自我驱动，具备较强的问题解决能力
•	对学习新技术和在ISP/数据中心环境工作有浓厚兴趣
•	经验较少者可考虑网络工程师职位
•	语言能力： 流利粤语、普通话及英语，能够适应国际化工作环境
•	可立即到岗者优先
",分布式 TCP/IP 防火墙 IPS AWS 阿里云 技术支持,https://www.liepin.com/job/1981309689.shtml
光网络工程师,河南润全网络科技有限公司,4-6k,郑州-郑东新区,郑州,学生可投,1年以下,90天前更新,liepin,"职位描述：A、负责传输网管 OTN 设备新建、入网、调测等工作；
B、根据现场及客户需求，完成相关规划、调测工作，并与客户
进行技术交流和沟通；
C、负责工程开工、完工、验收等相关资料的制作及完善。
职位要求：A、通信技术、计算机专业、电子信息等相关专业，大专及以上
学历，2022 届毕业生、2023 届实习生；
B、性格外向，善于沟通，能吃苦耐劳，适应驻场工作，责任心
强，工作细心；
C、能处理与通信有关的问题，完成公司及相关领导安排的工作，
熟练掌握办公软件。",OTN,https://www.liepin.com/job/1961740103.shtml
光网络工程师,甘肃华通伟业通信科技有限公司,3-8k,兰州,兰州,学生可投,经验不限,90天前更新,liepin,"1、负责光网络设备（DWDM、OTN、NG-SDH、SDH、U2000网管）等设备的安装、调试、维护及故障处理工作，能独立完成传输网络的组网工作。
2、负责所在地区的故障维护、版本升级等；
3、需与客户沟通交流，及时处理客户需求；
4、协调各方面资源，及时处理项目进展中的各种问题；
任职要求：
1、通信工程\计算机\电子等相关理工类专业均可；
2、本工作要求应认真负责,能吃苦耐劳，能适应长期出差；
3、有华为光网络项目经验和铁路系统交付经验者优先。
4、具备有效沟通能力：能高效的与中基层客户沟通技术方案、项目计划和进度等，获得客户支持和认可。 
5、具备客户需求分析与引导能力：正确理解、有效分析和管理客户需求。 
6、具备项目管理能力：初步掌握项目管理基本方法和工具，并运用到工作中，具备项目技术管理成功实践。
7、工作地点：甘肃、宁夏、青海、西藏、新疆、西安、山西、北京
8、交付行业：铁路、军队、三大运营商",客户沟通 技术方案 需求分析 项目管理 DWDM OTN NG-SDH SDH,https://www.liepin.com/job/1926070721.shtml
5G光网络传输工程师,河北华讯科技有限公司,3-6k,石家庄,石家庄,学生可投,经验不限,90天前更新,liepin,"可接收应届毕业生！有无工作经验均可
岗位职责：
1、负责华为光传输设备（PTN、光端机、波分）日常维护工作；
2、相关工程资料的撰写，整理。
3、领导安排的其他工作。
任职要求：
1、大专以上学历，计算机、通信、电子工程等相关专业；
2、有一定的网络基础，对基础网络故障有基本的判别能力；
3、踏实、认真、谦虚、好学，学习能力较强、较快的接受新知识；
4、有良好的沟通与表达能力。",PTN,https://www.liepin.com/job/1941779975.shtml
光网络智能化科研和开发工程师2026SBZ08,中国信息通信研究院,14-16k,北京-海淀区,北京,学生可投,1-3年,90天前更新,liepin,"职位介绍：
 1、研究AI大模型和智能体、多模态数据采集分析等核心技术和产品的测评方法，开展光网络智能化的AI大模型和智能体测评工具链研发，支撑知识图谱及数据集构建；
2、开展光网络数字孪生系统的关键技术、网络模型仿真、数据集构建及测试验证平台研发；
3、光网络智能化管控前沿技术跟踪研究、国内国际标准研制、新技术测试验证、科研课题和专题报告撰写工作。

任职要求：
1、具备人工智能、光网络智能化、数字孪生和大数据采集分析等方面的专业知识，熟悉相关技术和开发软件工具；
2、英语能力：通过CET-6或具有等效英语水平，具有较强的听说读写能力，能参加国际标准会及学术交流会议；
3、具有良好的沟通表达能力，具有较强的自驱型学习能力，对新技术新应用有较强好奇心和研究开发能力；
4、具备较强的文字分析撰写、工作总结汇报和PPT制作介绍能力。 ",大模型 数据采集,https://www.liepin.com/job/1980596775.shtml
光网络工程师,长沙华保建设工程有限公司,5-6k,湘西-吉首,,大专,经验不限,5月15日更新,liepin,"岗位职责：
1.监控值班：对网管进行7*24小时监控值班，对全网隐患点排查、跟进、上报，做好值班日志、交接班、故障通报；
2.设备维护：网管平台管理，进行网管监控、告警信息筛选梳理、性能数据分析、隐患排查、故障定位、故障排除、链路临时调度，发现数据配置问题、设备运行问题等及时提出解决方案，对全网传输设备、端口、波道、部分配套电源、备品备件等进行管理；
3.故障处理：对全网传输设备进行故障的分析与处理；
4.网络优化：根据全网网络运行情况，及时进行梳理、优化、改造，提出扩容建议；
5.技术支持：为公司其他部门提供技术支持，为各省、子公司维护人员技术支持，对设备故障排查、设备搬迁现场技术支；
6.文档管理：对网络中断运行维护数据进行统计分析，完成各类文件的整理归档工作；
7.资产管理：对仪器仪表、通信设备等进行统计管理，做好设备验收及出入库记录；
8.完成领导交办的其他工作。
职位要求：
1.大专以上学历，计算机、通信、网络相关专业；
2.3年以上工作经验，有大型传输网络经验，运营商网络维护工作经验者优先，有技术工作经验者优先；
3.具备传输NP及以上认证，具有传输IE认证者优先；
4.能够熟练使用传输网管，熟练完成网络优化、配置，能够独立完成方案编写，有良好的沟通协调能力，有良好的团队意识。",数据分析 技术支持 故障排查,https://www.liepin.com/job/1982575399.shtml
光网络工程师,嘉环科技股份有限公司,6-9k,南昌-红谷滩区,南昌,大专,1年以上,90天前更新,liepin,"岗位职责：
1、负责光传输网产品（SDH/WDM/PTN/OTN等）现场工程实施、调试开通；
2、负责光传输网产品（SDH/WDM/PTN/OTN等）运行设备的维护、故障处理；
3、对用户和维护人员的技术指导。
任职资格：
1、通信工程、计算机、电子信息工程等相关专业；
2、熟悉光传输网，熟悉国内设备厂商SDH、PTN、WDM设备原理及构造者优先；
3、1年以上SDH/WDM/PTN设备调测、维护或网络优化经验，熟悉国内设备厂商相关产品者优先。

",SDH WDM PTN,https://www.liepin.com/job/1977286791.shtml
FAE光网络应用工程师,格第电子(深圳)有限公司,12-17k,深圳-宝安区,深圳,本科,5-10年,90天前更新,liepin,"岗位要求：
1、大学本科以上学历，电子信息、计算机相关专业；
2、熟悉Linux平台，至少懂一种语言，可以编写一些测试脚本
3、 熟悉主流交换机和OLT的配置方法，如华为，中兴，诺基亚等
4、熟悉OSI七层模型，网络拓扑，有HCIA/P等证书优先
5、有做过ONU产品测试，能够搭建测试环境，对GPON/XGSPON等协议有一定了解
职责：
6、 负责ONU/OLT以及相关网络设备的功能测试
7、负责产品售后技术对接






岗位职责：
1、	负责公司GPON产品的市场推广，对接客户及协助业务对接客户，并为客户提供技术支持，应用评审，产品调试，故障定位和解决；
2、	收集客户反馈，并获取市场信息，反馈给产品开发团队和销售团队；
3、	具备独立开展工作能力以及灵活的现场反应能力、沟通能力，配合推动业务的项目进展，
4、	了解客户发展需求及方向，并解答客户提出的各类产品技术相关问题，提供准确的方案选型；
5、	推广公司的新产品，拓展目标客户、挖掘GPON、EPON机会；
6、	针对客户应用需求，开发出PON产品供评价参考并协助客户解决开发过程中的技术问题，了解客户在技术上的发展要求及方向,并解答客户提出的各类产品技术相关问题，提供准确的方案选型，理解客户需求并引导需求；",Linux 功能测试 市场推广 技术支持,https://www.liepin.com/job/1975101347.shtml
光网络工程师,IT服务50-99人,6-9k,太原-小店区,太原,学历不限,3年以上,90天前更新,liepin,"1、本科及以上学历，计算机、通信、电力系统及网络等相关专业毕业，专业经验丰富者，学历可放宽；
2、具备华为/烽火/中兴等传输设备及附属产品的安装、调测、维护能力，熟悉SDH、OTN相关原理及产品知识；
3、具有一定的IT基础，能够完成网管类的IT设备调测、维护；
4、有良好的客户沟通能力，较强的客户服务观念，能够独立完成客户项目开通、现场问题处理、网络巡检等工作；
5、持厂商职业认证证书、通信传输工程师证书，有中级工程师职称优先。
",客户沟通 客户服务,https://www.liepin.com/job/1970793459.shtml
光网络工程师,通信设备5000-10000人,8-10k,杭州,杭州,大专,1-3年,90天前更新,liepin,"1、有两年以上中兴，烽火，IPRAN，PON，PTN，OTN工程交付&维护经验。
2、负责IPRAN，PON，PTN，OTN产品的技术支持、安装调试、故障处理等。
3、中兴，烽火产品方案沟通、项目支撑、交付等。
4、中兴，烽火IPRAN，PON,PTN,OTN 中高级认证",技术支持 IPRAN PON PTN OTN,https://www.liepin.com/job/1958556395.shtml
