job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
前端开发高级工程师(J11533),工业自动化D轮及以上1000-2000人,12-18k·13薪,广州-黄埔区,广州,统招本科,7年以上,6月30日更新,liepin,"关于明珞
全球数字制造革命引领者 | 业务覆盖20+国 | 国际订单占比90%+
明珞装备成立于2008年，以“价值驱动智能制造与数字化”为使命，致力于成为全球智能制造行业的“苹果”与“特斯拉”。作为国家级制造业单项冠军企业，我们拥有1,440项自主知识产权，为奔驰、宝马等全球顶尖客户提供：
✅ 全栈智能制造解决方案：覆盖数字孪生、智能控制、柔性产线与标准化工作站等
✅ 工业数据服务：基于MISP平台实现产线效能、运维与能耗的实时优化
✅ MaaS制造即服务：从工艺研发到运维增值的全生命周期技术服务
全球布局：在美国、德国、沙特、墨西哥等地设立分支机构，90%+营收源于国际市场。加入我们，共同参与定义下一代智能产线，赋能全球制造转型。

职位名称：前端开发高级工程师
汇报对象：数字制造智能产品事业部 - 开发测试组经理
工作地点：广东省广州市黄埔区 明珞数字制造与工业互联网全球总部

✅ 岗位使命
我们正在寻找一位前端开发高级工程师（工业工作台体验技术专家），加入数字制造智能产品事业部-标准控制技术研发中心-开发测试组。你将负责工业工程数据平台Web工作台的整体前端架构与关键交互落地，打造承载产线定义、数据编制、任务状态、结果查看、日志展示和演示链路的综合型工业工作台。你不只是界面开发者，更是工作台体验的Owner与技术质量的把关者——将复杂的工业业务逻辑与技术数据转化为可操作、可理解、可演示的直观界面，用卓越的前端工程能力，支撑明珞数字制造智能产品在阶段1对外展示与内部使用中的核心体验。

✅ 你将带来的核心价值
1. 主导工业工作台前端架构与实现：负责工业工程数据平台Web工作台及轻量验证工作台的整体前端设计与关键交互落地，打造承载复杂工程数据的综合型工作台体验；
2. 构建核心交互视图体系：负责导出结果、差异视图、日志视图、验证结果视图等关键交互模块的设计与实现，确保复杂工程数据的清晰呈现与高效操作；
3. 架起工业逻辑与用户界面之间的桥梁：与后端和工业专家深度协同，将复杂控制逻辑、验证规则与数据结构转化为直观、可操作的用户界面；
4. 保障演示与可用性质量：支撑当前版本形成可演示、可理解、可操作的工作台体验，确保内部使用效率与对外展示效果双重达标。

✅ 关键职责
1. 工作台前端架构与核心开发
(1) 负责工业工程数据平台Web工作台的前端架构设计与核心功能实现，包括产线定义、数据编制、任务状态监控、结果查看等模块；
(2) 负责当前版本轻量验证工作台的前端实现，确保验证流程的界面交互完整、流畅；
(3) 设计并实现导出结果、差异视图、日志视图、验证结果视图等关键交互模块，支撑工程数据的多维度呈现与操作。
2. 跨角色协同与业务逻辑转化
(1) 与后端开发工程师深度协同，明确接口契约与数据结构，确保前后端高效联调；
(2) 与工业专家（PLC、电气、工艺）紧密配合，理解验证逻辑与工程数据含义，将复杂业务规则转化为符合用户心智模型的界面交互；
(3) 参与需求与设计评审，从前端可行性与用户体验角度提供专业意见，推动产品定义更加清晰、可落地。
3. 用户体验与工程质量管理
(1) 持续优化工作台交互体验，确保界面响应速度、操作流畅度与信息呈现清晰度达到工业级软件标准；
(2) 负责前端代码质量与工程规范，包括代码审查、性能优化、组件复用与可维护性建设；
(3) 跟踪前端技术发展趋势，推动团队技术栈演进与工程效能提升。

任职要求：
✅ 我们期待这样的你
必备条件
1. 学历与专业：本科及以上学历，计算机、软件工程、工业设计或相关专业；
2. 经验要求：具备复杂B端工作台或工程类软件前端开发经验，有独立承担复杂模块或整体工作台前端架构与落地的完整经历；
3. 硬技能：
（1） 具备扎实的TypeScript + React + Vue3实战能力，能独立承担复杂工作台的前端设计与开发；
（2）有大表格、树结构、差异视图、日志视图等工程类交互组件的实际开发经验；
（3）深入理解结果回看、差异对比、日志查看和验证过程可视化等场景的前端实现方案；
4. 软素质：具备优秀的跨角色协同能力，能与后端工程师和工业领域专家共同梳理界面职责与交互范围；具备良好的英文技术文档阅读能力者优先。

核心能力
1.卓越的协同思维：深刻理解复杂项目的协同本质，善于成为跨领域技术对话的“翻译官”与“连接器”；
2.创新与逻辑思维：能创造性地提出解决方案，并以严谨的逻辑将想法结构化、可执行化；
3.系统性解决问题能力：不仅能识别表面问题，更能界定根本原因，推动团队制定兼顾多方约束的综合性方案；
4.快速学习与适应能力：对未知领域保持强烈好奇心，能主动、高效地吸收新知识、掌握新技能，并快速应用于实践；
5.强烈的跨界意愿与驱动力：主动寻求不同领域间的融合机会，乐于接受挑战，在拓展边界中获得成就感。

我们尤为看重
1.主人翁精神：主动担当，为最终结果负责，将团队与公司的成功视为己任，不设边界；
2.成长型心态：你拥抱挑战，在持续学习、解决复杂问题的过程中获得深层成就感，即使在压力下也能保持专注与热忱。

优先考虑条件
1. 有工业软件、设备平台、验证工具或调试工具的前端开发经验者优先；
2. 具备私有部署或内网环境下B端工作台开发经验者优先；
3. 在汽车、新能源或零部件制造行业有验证平台或工业控制系统前端成功落地案例者优先；
4. 具备良好的英文口语沟通能力者优先。

✅ 在明珞，你将获得
1.清晰的职业路径：公司处于高速发展期，提供技术专家、项目管理、团队管理等多元发展通道。
2.高价值的实战平台：直接参与服务全球顶级客户的重大项目，你的工作将产生广泛影响力。
3.创新驱动的文化：在一个崇尚“创新创造价值”的环境中，你的专业意见将被充分倾听与授权。
4.顶尖的伙伴与团队：与行业顶尖人才共事，在使命必达的团队中快速成长。
5.竞争力的全面回报：提供行业领先的“固定薪酬 + 绩效工资 + 创新激励”组合。",TypeScript React Vue 知识产权 技术文档 项目管理 团队管理,https://www.liepin.com/job/1983771465.shtml
web前端开发工程师+周末双休 13薪,武汉览山科技有限公司,12-17k·13薪,武汉-洪山区,武汉,大专,3-5年,90天前更新,liepin,"岗位职责：
1、 负责开发PC、桌面客户端、微信端和移动端H5项目；
2、 配合后端工程师，将后端接口数据以最优的方式展现到前端界面；
3、 与产品经理、交互设计师和UI设计师密切配合，完成优质的用户体验；
4、 负责参与技术评审，提出建议和解决方案；
5、 热衷学习研究新技术，实践在项目中。
职位要求：
1、 全日制大专及以上学历，计算机，软件等相关专业有限，
2、2年以上前端开发经验，大型互联网工作经验优先；
3、 熟悉前后端分离的开发模式、前端工程化和设计模式；
4、 精通HTML(5)、CSS(3)、JavaScript(ES6) 前端开发，能独立完成Javascript代码的编写和优化工作；
5、 熟悉 Vue.js 框架，能独当一面高质完成项目；
【我们给你的】
五险一金+员工期权+双休+年终奖+各种福利
【晋升空间】：
1、技术路线：初级前端开发工程师-＞ 中级前端开发工程师 -＞ 高级前端开发工程师 -＞ 资深开发工程师-＞ 专家级开发工程师-＞ 架构师
     管理路线：技术组长-＞技术主管-＞部门副经理-＞部门经理-＞技术总监or总工程师
2、公司招募职位以内部竞选员工优先，存在其他部门发展通道；
3、入职满6个月并表现优异的员工可称为公司合伙人，分配期权、股权。
【你的福利】：
1.完善的培训体系（专业培训，行业培训，技能培训）；
2.丰富多彩的社团生活、集团年度活动等 ；
3.每周三下午茶免费供应；
4.员工体检+每月生日会；
5.带薪年假 。",JavaScript Vue 培训 CSS ES6 Vue.js,https://www.liepin.com/job/1944337999.shtml
百度-JAVA前端开发工程师,中软国际科技,15-30k,北京,北京,本科,1-3年,90天前更新,liepin,"岗位一: 前端开发工程师(FE)
岗位职责：
1.负责金融业务产品线平台前端的设计，研发，优化工作
2.参与H5、Vue、Node.js应用框架体系建设以及前端工程体系建设 
3.与产品团队充分沟通，快速理解需求与迭代开发，优化WEB交互方式，提升用户体验

任职要求：
1.计算机及相关专业本科以上学历
2.具有前端性能优化经验，熟悉模块化的前端开发, 3.熟练运用主流的移动端JS库和开发框架，并深入理解其设计原理，例如：Vue、React等
4.熟练 Node.js Web应用开发，有大型Node.js项目的开发经验, 且熟练掌握移动端H5开发
5.有较强的主动性和责任心，具有良好的沟通能力和团队合作精神、优秀的逻辑分析和解决问题的能力
6.对技术有强烈的进取心,关注业内动态，有开源社区贡献者优先

岗位二:前端开发工程师(VUE)
岗位职责：
1. 熟练掌握js/css/html等web开发领域相关技术
2. 能熟练运用至少一种JS框架，如Vue/Zepto
3. 了解至少一种构建框架，如webpack/fis等
4. 能熟练运用ts/less/jade等预处理语言者更佳
5. 能熟练运用nodejs者更佳

任职要求：
1.   本科毕业
2.  1年以上工作经历，(培训学校的经历不算工作经历）
3.  代码能力要过关
6. 有小程序/hybrid应用开发经验者更佳
7. 了解web标准者更佳
8. 具备较强的沟通交流和团队合作能力
9. 具备较强的工作主动性和学习进取精神


岗位三:前端开发工程师(VUE)

岗位职责： 
1.负责公司基础云相关平台的前端设计和开发 
2.负责公司基础云平台用户使用行为监测体系的建立、用户体验优化、使用效率的提升 
3.协助团队改进前端框架、优化前端性能、完善前端技术栈与研发规范 
4.根据需求编写相关开发文档及项目文档 

任职要求： 
1.熟练掌握HTML、JavaScript、CSS/CSS3等Web标准技术 
2.熟练掌握Vue框架，熟悉vue2、vue3，有独立开发相关项目经验 
3.熟悉Http、Websocket等协议 
4.熟悉前端工程化与模块化开发，对webpack有深入使用及理解 
5.熟悉使用git，了解linux常用操作w及命令 
6.对前端技术有持续的热情，具备良好的团队协作能力 
7.计算机及相关专业本科或以上学历，1年及以上前端研发经验",Vue Node.js React Webpack JavaScript CSS3 WebSocket Git Linux 培训,https://www.liepin.com/job/1940884395.shtml
App开发工程师+Web前端开发工程师+Java高级工程师,成都云莲智投科技有限公司,15-30k,成都-高新区,成都,本科,3年以上,90天前更新,liepin,"一 Java高级工程师
1 岗位职责：
（1）参与公司平台系统的架构设计与搭建工作，结合业务发展需求，设计并落地合理的服务架构，为系统的扩展性和稳定性奠定坚实基础。
（2）负责后端业务代码的开发与维护，编写高质量代码，确保服务在高并发、大流量场景下的稳定性和可用性。
（3）参与数据库表结构的设计，结合业务特点优化数据库性能，制定数据备份与恢复策略，保障数据存储的合理性、安全性和完整性。
（4）设计并开发供前端调用的API接口，制定统一的接口规范，确保接口的易用性、一致性和可扩展性，提升前后端协作效率。
（5）持续对业务逻辑和代码进行优化，重构冗余代码，提升系统性能，增强代码的可维护性，降低技术债务。
（6）参与后端系统的安全防护体系设计，针对性解决SQL注入、DoS攻击、XSS攻击、接口恶意调用等安全问题，保障系统安全稳定运行。
（7）负责敏感数据的加解密处理，设计完善的数据安全方案，确保用户信息和业务数据的机密性。
（8）与前端开发工程师、产品经理、测试工程师等跨团队成员紧密协作，积极沟通需求与技术实现细节，推动项目高效落地。
2 技术要求：
（1）本科及以上学历，计算机相关专业，具备3年以上Java软件开发经验，有中大型分布式系统开发经验者优先。
（2）精通JDK17及以上版本，熟练掌握springboot3框架，深入理解JPA/MyBatis 等持久层框架的原理与应用，熟悉mysql/postgreSQL等关系型数据库的使用与优化。
（3）能熟练运用Redis、ThreadPool、Mapstruct、Websocket、Swagger/OpenApi等组件与技术，深刻理解Restful API设计规范并能在项目中灵活应用。
（4）熟悉 Spring Security & Oauth2 的核心流程与技术实现，具备客户端应用集成Oauth2的实战经验者优先。
（5）对本地事务和分布式事务有深刻理解，能根据业务场景选择合适的事务解决方案，并在项目中正确应用。
3 加分项：
（1）熟悉devops相关概念与流程，有使用gitee+Jenkins搭建CI/CD流程的实际经验。
（2）精通Linux操作系统，能熟练运用常用命令进行系统管理与问题排查。
（3）具备docker、k8s、istio等容器化与服务网格技术的编排和使用经验。

二 Web前端开发工程师
1 岗位职责：
（1）主导公司业务系统与后台管理系统的Web前端开发工作，独立完成前端页面搭建、组件封装及交互逻辑实现，确保界面美观、功能完善。
（2）深度参与系统技术方案设计环节，基于对业务和前端技术的理解，提出具有建设性的技术建议，优化开发方案。
（3）与产品团队紧密配合，将产品需求转化为直观、易用的前端实现，同时积极反馈开发过程中存在的问题与可优化点。
（4）协同测试工程师开展功能验证工作，高效定位并修复前端 BUG，保障产品上线质量。
（5）聚焦前端系统性能优化，从代码层面、资源加载、缓存策略等多维度入手，解决性能瓶颈，提升系统运行效率。
（6）负责前端技术债务管理，持续改进代码质量，增强系统的可扩展性、可维护性，为团队开发效率提升奠定基础。
2 技术要求：
（1）本科及以上学历，计算机科学与技术、软件工程等相关专业，3年及以上Web前端开发实战经验。
（2）精通React.js/Next.js框架，能熟练运用其完成复杂前端页面与组件开发，深入理解服务器端渲染（SSR）原理并能独立支撑相关场景开发；具备丰富的图片加载优化经验，可在低带宽环境下保障图片加载流畅性，显著提升用户体验。
（3）熟悉WebSocket协议及应用场景，能独立开发高性能的全局实时通信组件，确保各页面高效处理后端推送的消息与事件，保障实时交互的稳定性。
（4）深入理解Oauth2用户授权与鉴权机制，能熟练集成相关接口，实现令牌自动刷新、注销、权限变更强制重登等完整功能，保障系统安全。
（5）具备令牌解析与权限控制能力，能动态解密用户令牌并提取权限信息，精准实现基于权限的功能展示与操作控制。
（6）掌握前端国际化解决方案，能独立完成多语言适配开发，满足全球化业务需求。
（7）具备扎实的前端工程化知识，能熟练运用各类调试工具进行内存泄漏检测与修复，高效解决前端各类疑难BUG，保障应用稳定运行。
（8）拥有良好的代码规范意识和文档编写习惯，具备较强的学习能力和问题解决能力，能快速响应技术挑战。

三 App开发工程师
1 岗位要求：
（1）参与公司手机App产品的需求分析、架构设计和技术方案制定，基于React Native技术栈为产品研发提供坚实的技术支持。
（2）负责使用React Native进行APP的代码编写、单元测试和集成测试，确保代码质量和产品功能的精准实现。
（3）针对React Native跨平台开发特性，进行App的开发、调试和性能优化，提升应用在 iOS、Android 等不同平台的性能和稳定性。
（4）与产品经理、UI设计师、测试工程师等团队成员紧密协作，推进项目进度，及时解决React Native开发过程中出现的技术问题，如组件兼容性、原生模块集成等。
（5）深入研究React Native框架及相关生态，关注行业新技术、新趋势，将其合理应用到实际开发中，持续提升产品的竞争力。
（6）编写相关的技术文档，包括React Native开发文档、原生模块集成文档等，为团队的知识沉淀和传承提供支持。
2 技术要求：
（1）本科及以上学历，计算机科学与技术、软件工程等相关专业，具有3年以上基于React Native的手机App软件开发经验。
（2）精通React Native框架及相关技术，熟悉JavaScript/TypeScript、Redux等，能够熟练使用React Native进行跨平台App开发。
（3）熟悉React Native与原生（iOS/Android）的交互原理和方法，能够独立完成React Native与原生模块的集成开发。
（4）支持App应用的语言国际化。
（5）具备良好的编程习惯和代码规范，熟悉面向对象编程思想，有扎实的数据结构和算法基础。
（6）了解App开发的整个流程，包括需求分析、设计、开发、测试、上线等环节，有完整React Native项目开发经验者优先。
（7）具备较强的问题解决能力和学习能力，能够快速应对和解决React Native开发过程中的各种技术难题，如性能优化、兼容性问题等。
（8）拥有良好的沟通能力和团队合作精神，能够积极融入团队，高效完成工作任务。
（9）有电商类使用React Native开发经验者优先。
（10）熟悉Flutter优先。

四 薪资待遇
1 上班时间为10:00-19:00，中午休息一个半小时。
2 周末双休，不提倡加班。
3 每月享受多一天的调休假，调休假可累计，可调休可抵扣病假或事假。
4 每月15号之前发薪。
5 购买五险一金。
6 员工：婚假14天，产假98天，生育假60天；男员工：陪产假15天，其中怀孕或配偶怀孕的员工可申请居家办公，在不影响工作效率的情况，工资不打折。
7 公司自备零食区和饮料区，微波炉，冰箱等。
8 公司统一安排置办新的电脑与主机。
9 薪资面议：根据面试情况定薪。
10 以上内容可根据公司实际情况做进一步的调整。",Java 高并发 SQL 分布式 Spring MyBatis MySQL PostgreSQL Redis WebSocket DevOps Git,https://www.liepin.com/job/1977133843.shtml
前端开发工程师（双休/五险一金）,某重庆通信设备公司,8-12k,重庆-渝中区,重庆,统招本科,3-5年,7月20日更新,liepin,"地址：重庆市渝中区虎踞路80号重庆总部城A区
薪资：8-10k 面试定级定薪
软件研发组：前端开发工程师
工作职责：
1、负责公司或项目中的前端开发工作，包括但不限于页面开发、组件开发、API 调用等;
2、根据设计师提供的设计稿，实现和维护前端界面，保证页面的美观性和易用性;
3、开发符合业务需求的应用，保证代码质量，关注前端性能优化，提高页面加载速度和用户体验；
4、对前端技术进行研究和探索，了解新的前端技术和趋势，并将其应用到项目中例如3d建模语言、thingworx等;
5、配合后端、产品、测试、运维人员完成系统功能交付和目标达成；

要求：
1、计算机、软件工程、通信工程、电子信息等专业，本科及以上专业。；
2、React，Vue中至少熟练使用一种框架，掌握其原理，能独立开发常用组件;
3、3年以上前端开发经验，熟练使用 HTML、CSS、JavaScript等技术；
4、熟悉各种浏览器、移动平台的特性，能够很好地解决兼容问题；
5、对工业前端、可视化大屏、智慧项目、智能制造、工业互联网有相关经验更佳；",React Vue JavaScript API HTML CSS,https://www.liepin.com/a/74153427.shtml
资深前端开发工程师,维登营销策划(上海)有限公司,17-20k·13薪,上海-长宁区,上海,大专,3-5年,90天前更新,liepin,"JOB DESCRIPTION
职位描述

Position: Senior Front-End Developer
职位：资深前端开发工程师

Location: Shanghai
地点：上海

Experience: Middle Level
经验级别：中级

Reporting line: Lead Developer
汇报对象：开发工程师主管

A very strong Front-End Developer who's able to drive feature development end to end, and collaborate across UX/PM/QA and other engineering teams in a fast moving environment.
我们需要一位能力出众的前端开发工程师，能够全程主导功能特性的开发，并在快节奏的工作环境中，与用户体验、产品管理、质量保证及其他工程团队进行跨部门协作。

To thrive in this role, you should be confidently coding in JavaScript, TypeScript, React, Astro, Next.js, Web Components, CSS, and HTML, with solid experience working with REST.
要在此职位上取得成功，您应能熟练使用 JavaScript、TypeScript、React、Astro、Next.js、Web Components、CSS 和 HTML 进行编码，并拥有扎实的 REST 接口工作经验。

Experience in WeChat Mini Program development is a must.
必须具备微信小程序开发经验。

Familiarity with OA / WeCom is a plus.
熟悉办公自动化/企业微信者优先。

ROLE & RESPONSIBILITIES
角色与职责

Build, maintain, and evolve Next.js / Astro–based web applications and Wechat Miniprogram, ensuring performance, SEO, and scalability.
构建、维护并优化基于 Next.js / Astro 的 Web 应用程序和微信小程序，确保其性能、搜索引擎优化和可扩展性。

According to the project requirements, you will be responsible for the front-end development and maintenance of WeChat Mini- Programs / H5 front-end modules.
根据项目需求，您将负责微信小程序/H5 前端模块的开发与维护工作。

Commitment to producing high-quality, well-tested solutions.
致力于产出经过充分测试的高质量解决方案。

A passion for building delightful customer-facing products.
对打造令客户满意的面向用户的产品充满热情。

Work closely with UX/UI designers to create interactive pages with a high degree of restoration.
与用户体验/用户界面设计师紧密合作，实现高度还原的交互式页面。

Work closely with back-end developers to complete data interaction and debugging.
与后端开发人员紧密合作，完成数据交互与调试。

Experience developing, maintaining & integrating with REST or GraphQL APIs.
拥有开发、维护和集成 REST 或 GraphQL API 的经验。

Occasionally prototype 2D/3D/animation features, which is a plus.
偶尔需要进行 2D/3D/动画功能的原型开发，具备此经验者优先。

According to business requirements, encapsulate reusable and high-maintenance components.
根据业务需求，封装可复用且易于维护的组件。

IDEAL PROFILE
理想人选

Must Have:
必备要求：

Minimum 4 years of experience in a similar position.
拥有至少 4 年相关职位的工作经验。

Strong proficiency in React, and solid experience with Next.js and/or Astro.
精通 React，并具备 Next.js 和/或 Astro 的扎实经验。

Proven experience building WeChat Mini Programs, debugging within the WeChat environment.
拥有经证实的微信小程序构建经验，并能进行微信环境内的调试。

Proficient with HTML, CSS, Typescript.
精通 HTML、CSS、Typescript。

Proficient with git version control tools.
熟练使用 git 版本控制工具。

Understand conventional front-end optimization solutions.
理解常规的前端优化方案。

Deep understanding of modern frontend architecture, React, TypeScript / JavaScript.
深入理解现代前端架构、React、TypeScript / JavaScript。

Strong computer science fundamentals - solid understanding of OOP concepts.
扎实的计算机科学基础——深刻理解面向对象编程概念。

Good communication skills and learning ability.
良好的沟通技巧和学习能力。

Nice to Have:
优先考虑：

Full-stack experience (NodeJS, Express, Nest, Next).
具备全栈开发经验。

Experience with using wireframe tools (Invision, Figma, zeplin or similar).
有使用线框图工具的经验。

Familiarity with VR / AR / 3D / three.js.
熟悉 VR / AR / 3D / three.js。

Experience with Taro is preferred.
有 Taro 经验者优先。

Able to communicate in English, written and spoken.
具备英语书面和基本的口语沟通能力。",ROS Gin JavaScript TypeScript React Next.js Scala Git Go Express Taro 质量保证,https://www.liepin.com/job/1978503375.shtml
前端开发工程师（React Native / Web）,深圳语言魔方科技有限公司,14-20k,深圳-南山区,深圳,本科,3-5年,7月3日更新,liepin,"## 职位描述
我们正在寻找一位优秀的有C端项目经验的前端开发工程师，参与 AI + 翻译 + 社交产品的研发工作。你将负责移动端和Web端产品开发，与产品、设计及后端团队紧密协作，打造高质量用户体验。

### 岗位职责
1. 负责移动端 App 的前端开发与维护（React Native）。
2. 负责 Web 管理后台及相关业务系统开发。
3. 根据产品需求完成页面设计、功能开发及性能优化。
4. 与后端工程师协作完成 API 对接与业务逻辑实现。
5. 参与产品架构设计及技术选型，持续提升系统稳定性和开发效率。
6. 使用 AI Coding / Vibe Coding 工具提升开发效率和代码质量。
7. 参与跨平台项目开发，包括 AI 应用、翻译产品、社交功能及数字资产相关业务模块。

## 任职要求

*** 必备条件
1. 3年以上前端开发经验，本科及以上学历（优秀者可放宽）。
2. 熟练掌握 JavaScript / TypeScript。
3. 熟练掌握 React、React Native 开发框架。
4. 熟悉 HTML5、CSS3、ES6+ 等前端基础技术。
5. 熟悉 RESTful API，对前后端分离架构有较深理解。
6. 熟悉 Git 版本管理及团队协作开发流程。
7. 具备良好的编码规范和代码质量意识。

***加分项
1. 具备 Cocos Creator 开发经验，了解游戏化产品开发流程。
2. 了解 Node.js、NestJS、Express 等后端技术栈，可独立完成简单后端开发工作。
3. 有 AI 产品开发经验，熟悉 OpenAI、Claude、Gemini 等大模型接口调用。
4. 熟悉 Cursor、Windsurf、Claude Code、GitHub Copilot 等 AI 编程工具。
5. 具备 Vibe Coding 工作习惯，能够利用 AI 工具快速完成需求分析、代码生成和调试优化。
6. 有即时通讯（IM）、音视频、WebRTC、翻译类产品经验优先。
7. 有 Web3、钱包、区块链应用开发经验优先。
8. 有原生 ios、android 开发经验优先。

## 我们希望你具备
- 良好的产品思维和用户体验意识。
- 较强的学习能力和问题解决能力。
- 对 AI Coding 和新技术保持持续关注。
- 能够独立推动项目落地。
- 具备创业精神和结果导向意识。

## 技术栈
- React
- React Native
- TypeScript
- Node.js（加分）
- Cocos Creator（加分）
- WebSocket
- REST API
- Git
- AI Coding（Cursor / Claude Code / Copilot）
- Vibe Coding

## 薪资待遇
- 薪资面议（根据能力及经验）
- 绩效奖金
- 项目奖金
- 弹性工作制
- AI工具补贴
- 核心项目成长机会",React Native JavaScript TypeScript React HTML5 CSS3 Git Node.js Express 大模型 WebSocket 版本管理,https://www.liepin.com/job/1983697601.shtml
前端开发工程师（初级）,专业技术服务100-499人,10-20k·14薪,杭州-余杭区,杭州,本科,1-3年,7月29日更新,liepin,"前端开发工程师（Vue + Electron）
岗位职责
1、参与公司 Web SCADA 系统 的前端架构建设与功能开发，支持工业现场的数据采集、实时监控与远程控制；
2、基于已有的 Vue 3 + TypeScript 前端框架，扩展功能模块、优化交互逻辑；
3、负责 实时通信 功能的前端实现，如基于 Socket.IO 的设备推送、告警、状态同步等；
4、使用 ECharts 进行数据可视化开发，构建趋势图、仪表盘、拓扑图等工业可视化组件；
5、维护和开发现有信息安全产品 的前端页面，包括防火墙、审计系统、综合管理平台等；
6、参与公司 主机卫士（Electron 桌面端） 的前端开发与迭代，处理跨平台兼容与本地功能集成；
7、编写高质量、可维护的代码，参与前端工程规范制定、组件封装和性能优化；
8、与产品、后端、测试等协作完成项目交付，推动系统持续升级与演进。
技术要求
1、精通 Vue 3 + Composition API，具备组件化开发经验；
2、熟练掌握 TypeScript，能编写类型清晰、结构严谨的代码；
3、熟悉 Element Plus 等主流组件库，能进行二次封装；
4、熟悉 Socket.IO 或 WebSocket 实时通信机制，具备相关项目经验；
5、熟练使用 ECharts 进行数据可视化开发，了解性能调优；
6、熟悉 Electron 应用开发流程，了解主/渲染进程通信、跨平台构建等；
7、熟悉 Vite、ESLint、Git 等前端工程工具；
8、具备良好的代码规范、沟通能力与团队协作精神。
加分项
1、有 Web SCADA、工业控制系统、可视化监控平台等相关项目经验；
2、有信息安全产品（如防火墙、审计系统）前端开发经验；
3、熟悉 Node.js，有一定后端或服务端联调能力；
4、有前端自动化测试、性能优化、CI/CD 实践经验；
5、有 UI/UX 敏感度，能关注用户交互体验与细节优化。

我们希望你是
有工程思维，能独立推进模块开发；
对技术有热情，愿意在一个复杂但有挑战性的系统中持续打磨；
能在多产品线共存的场景下写出整洁、高质量的前端代码。",Vue Electron TypeScript 防火墙 WebSocket Vite Git Node.js CI/CD 数据采集 审计 自动化测试,https://www.liepin.com/job/1957116837.shtml
初级前端开发工程师,武汉东齐财富科技工作室(个人独资),10-15k,上海-长宁区,上海,本科,2年以上,7月13日更新,liepin,"岗位名称：前端开发工程师
薪资待遇：8,000-20,000元/月（根据经验能力面议）+ 五险一金 + 项目奖金 + 年终奖 + 节日福利

职位介绍：
1. 负责公司Web产品、移动端H5页面、微信小程序等的前端页面开发与实现
2. 根据设计图进行前端页面开发，设计编写业务交互脚本
3. 持续优化前端应用的性能，改善用户交互体验，确保页面响应速度和兼容性
4. 与产品经理、UI设计师、后端开发人员紧密配合，确保产品功能正确实现
5. 参与前端技术架构的设计与优化，制定前端开发规范和标准

任职要求：
1. 本科及以上学历，计算机相关专业，2年以上前端开发经验
2. 精通HTML5、CSS3、JavaScript，熟悉ES6+语法
3. 熟练掌握Vue.js、React、Angular等至少一种主流前端框架
4. 熟悉Webpack、Vite等构建工具，了解前端工程化
5. 具备良好的沟通能力和团队协作精神，有责任",HTML5 CSS3 JavaScript Vue React Angular Webpack Vite,https://www.liepin.com/job/1984090783.shtml
前端开发工程师,某杭州学术/科研公司,30-45k,杭州,杭州,统招本科,1-3年,6月30日更新,liepin,"【岗位｜前端开发工程师｜DeepSeek｜杭州/北京】
📍杭州/北京｜💰面议｜🎂经验不限｜本科及以上
【职责】
负责DeepSeek网页版、开放平台等产品的迭代开发，探索Agent等新交互范式，寻找AGI时代的人机交互方式。深度参与前端设计与实现，持续优化体验，服务千万日活用户，发现AI产品的更多可能性。
【要求】
1. 熟练使用JavaScript、TypeScript
2. 熟练使用至少一个主流前端框架
3. 熟练掌握HTML、CSS、HTTP等前端基础知识
4. 有Node.js、前端工具链、WASM等前端技术经验者加分
5. 对用户体验、交互操作及用户需求分析有一定了解，有产品或界面设计经验者优先
6. 有优秀的个人技术产品、开源作品，或活跃的开源社区贡献者优先",JavaScript TypeScript Node.js 需求分析 DeepSeek CSS,https://www.liepin.com/a/77281129.shtml
