job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
MCU / 单片机硬件实习生,芯元(南京)半导体有限公司,100-150元/天,南京-浦口区,南京,硕士,,7月10日更新,liepin,"岗位职责
协助工程师完成 STM32 等 MCU 单片机外设驱动调试、样机硬件功能验证
看懂原理图，配合单板测试，使用万用表、示波器采集测试数据
整理测试报告、BOM、实验文档，记录硬件故障并协助复现整改
完成研发交办的电路辅助设计、元器件核对等配套工作
任职要求
在读硕士研究生，计算机、电子信息、通信、自动化专业
掌握单片机 / MCU 基础，模电数电基础扎实，有课程 / 项目实操优先
每周到岗≥4 天，连续实习 3 个月及以上，时间稳定
岗位福利
1v1 资深硬件工程师带教；开具正规实习证明；深度参与真实项目；表现优异可拿转正 offer；岗位长期有效

截止日期：2027年07月10日
招聘人数：1人",STM32 MCU 单片机 BOM,https://www.liepin.com/lptjob/84036203
单片机开发工程师,深圳市宏图远见电子科技有限公司,180-300元/天,深圳-宝安区,深圳,本科,,90天前更新,liepin,"本公司是一家专业研发单片机方案及智能控制器、智显、工控
如：电量显示屏，电子烟，充电宝，小夜灯，倒计时屏，小家电等民用产品系列的控制器。

1、工作时间：8天8小时制
2、工资（面议）
3、购买五险，包中餐，有薪年假，年终奖、节假日等其它福利。
岗位职责:
1.负责单片机工作所需的外围电路设备的驱动；
2.编写单片机软件，并对软件进行仿真调试。独立完成项目。
3. 熟悉STM32、STM8，有经验者优先。
4.优秀应届生，可考虑。

招聘人数：1人",单片机 STM32 STM8,https://www.liepin.com/lptjob/50828007
单片机开发工程师,中芯同创,180-200元/天,深圳-宝安区,深圳,大专,,90天前更新,liepin,"岗位要求：
1、熟悉汇编或C语言开发，熟悉8位单片机；
2、在校有做过消费类电子产品的项目优先；
3、有较强的电子软硬件设计，调试等工程经验；
4、工作积极主动，良好的客户服务意识及沟通技巧，有责任心及团队合作精神；
5、具备良好的自我驱动能力，学习新知识能力强；
需求专业：电子信息工程、通信工程、自动化

招聘人数：5人",汇编 C语言 单片机 客户服务,https://www.liepin.com/lptjob/54828239
单片机工程师,上海康路联医疗科技有限公司,200-250元/天,上海-杨浦区,上海,硕士,,90天前更新,liepin,"工作时间：自由
+每周到公司一次
结算方式：月结
岗位职责：
	负责医疗电子系统的需求分析和系统方案架构的设计和验证；
	负责嵌入式硬件设计、程序开发；
	根据系统要求进行系统的信号处理设计、实现、验证、调试；
	完成设计文档的整理、编写；
	完成医疗电子产品的检验、转产和认证。

任职要求：
	电子、机电一体化、自动化相关专业，本科及以上学历，2年以上实际嵌入式产品开发经验；
	熟悉常用的单片机（stm32 AVR）、蓝牙、音频信号处理、喇叭驱动、等外围电路设计；
	熟练使C语言程序设计经验，有良好的编程风格和一定的编程技巧；
	对EMC、安规有一定了解，有医疗电子产品开发经验和第三方检验整改经验尤佳；
	为人正直诚信，爱好钻研，富有责任心和创新精神，团队合作意识强。
	开发期间，每周到公司与结构工程师沟通项目，提交开发进展；
	应聘时需要提供自己的展示作品。

工作地点：上海



招聘人数：1人",单片机 STM32 C语言 需求分析 AVR,https://www.liepin.com/lptjob/62636659
单片机,北京佳普维尔科技有限公司,100-200元/天,北京-海淀区,北京,本科,,90天前更新,liepin,"岗位职责：
1. 协助完成电器产品的嵌入式系统设计与开发工作；
2. 参与产品功能模块的调试与优化；
3. 配合团队完成产品设计文档的编写与整理；
4. 协助解决产品开发过程中的技术问题。

截止日期：2027年02月01日
招聘人数：1人",产品设计,https://www.liepin.com/lptjob/59637731
单片机工程师,上海舟胜智能科技有限公司,薪资面议,上海,上海,学历不限,,90天前更新,liepin,"职责描述：
1：负责基于单片机/ARM芯片的软件开发
2：负责与上位机相关软件编写
3：负责完成开发设计文档
4：负责相关软件的调试工作，协助测试。

任职要求：
1：大学本科及以上学历，机械，电气，电子，自动化，通信，计算机等相关专业；
2：软硬件知识均衡，熟悉数模电路的优先；
3：熟悉ARM及DSP芯片的优先；
6：熟悉电路板绘制的优先；



招聘人数：2人",单片机 ARM DSP,https://www.liepin.com/lptjob/44821867
单片机工程师,集万讯,100元/天,北京,北京,集万讯,,90天前更新,liepin,"职责描述：
主要工作描述： 电子测控产品应用设计 
岗位职责：
1.参与嵌入式产品的研发和设计工作；
2.参与电路原理图设计和PCB设计；
3.参与硬件部分调试，参与软硬件联合测试；
4.参与相关产品技术文档的编写和维护。

任职要求：
1.电子/计算机/自动化/仪器仪表/通信工程等相关专业的大四在校学生；
2.对嵌入式行业工作有较大兴趣；
3.有较好的数字模拟电路设计基础；会使用万用表、示波器等常用测
试调试工具；
4.拥有良好的沟通能力，责任心强；
5.能够保证每周在公司实习工作4天以上；（待遇面议）
6.实习期满，公司会依据实习表现情况优先录用。



招聘人数：3人",技术文档,https://www.liepin.com/lptjob/44931209
嵌入式软件工程师,牧原食品股份有限公司,150-300元/天,南阳,,本科,,90天前更新,liepin,"职责描述：
1、负责参与嵌入式设备方案制定及测试工作；
2、负责单片机的程序调试，设备调试；
3、负责嵌入式产品测试维护、优化等工作，并对设计质量负责。
4、编制规范的设计及维护文档；
5、负责解决嵌入式智能终端运行维护问题。
6、负责各个系统调试工程师管理和考核

任职要求：
1、计算机、电气工程、自动化、电子科学、测控仪器、控制相关专业。掌握C语言，能够完成ARM单片机小型程序开发，掌握单片机调试。
2、具有电气自动化、过程控制相关项目开发经验优先；
3、了解单片机原理，看懂电路图，熟悉各类型传感器，编码器、电磁阀、接近开关、变频器、温湿度传感器等，并且了解设备选型。
4、能熟练运用万用表、示波器及各类调试工具；
5、思路清晰，有较强的分析、处理和解决问题的能力，喜欢学习新的技术；
6、具有认真的工作态度，积极上进，善于学习，责任心强，具有较好的沟通能力和团队合作精神；

招聘人数：15人",单片机 C语言 ARM,https://www.liepin.com/lptjob/50075997
嵌入式硬件工程师,矩阵感知(上海)技术有限公司,8-10k,上海-浦东新区,上海,本科,应届,6月30日更新,liepin,"关于我们
矩阵感知（上海）技术有限公司是一家专注于高精度成像干涉雷达的硬科技初创企业。我们的雷达产品聚焦地表形变沉降监测、结构健康监测等真实场景，客户覆盖自然资源、基建、能源等领域。团队核心成员在岩土地质、雷达系统、硬件、信号处理、嵌入式系统方向有深厚积累。
我们正在寻找一位硬件工程师（应届生）加入。

岗位职责
这是一个综合型的岗位，涉及嵌入式硬件和软件开发：
1. 原理图设计 — 在资深工程师指导下完成电路原理图设计，参与方案评审与器件选型
2.单片机开发 — 基于 STM32 等 MCU 平台，完成摄像头、网络模块、GPS、报警器、转台等外设的驱动开发与系统联调
3. 硬件调试 — 电路板 bring-up、功能验证、信号测试、故障定位与修复
4. Layout 协作 — 与 Layout 工程师紧密配合，完成 PCB 布局布线；根据能力独立承担简单板卡的 Layout 工作
5. 文档维护 — 编写硬件设计文档、调试报告、BOM 管理等
6. 持续学习 — 随着产品迭代，逐步深入射频、雷达、嵌入式软硬件等领域

任职要求
硬性条件
- 本科及以上学历，电子工程、电子信息、自动化、通信工程等相关专业，2026 届应届生
- 扎实的模拟电路、数字电路基础，能阅读和理解电路原理图
- 熟悉 STM32（或同类 MCU）单片机开发，能用 C 语言完成外设驱动编写与调试
- 动手能力强，会焊接 — 烙铁拿得稳，示波器、万用表用得熟
- 熟练使用一种 EDA 工具（Altium Designer / Cadence / 相应国产 EDA 均可）

我们更希望你是
- 在校期间参加过电子设计竞赛并获奖（电赛、智能车、挑战杯、RoboMaster 等）
- 自己捣鼓过东西 — 画过板子、焊过电路、调过 bug，哪怕是个小玩意儿
- 对雷达、电路、单片机有好奇心，愿意往深了钻
- 能读中英文 Datasheet解决实际问题

为什么选择我们
在矩阵感知，你不会只做一颗螺丝钉，而是摸得到整机 — 从原理图到整机测试，全链路参与；你不会 3 年后还在画同一个模块，而是跟着产品一起长 — 产品在迭代，你的能力边界也在扩张；你不会不知道自己做的东西有什么用：你设计的雷达在实实在在解决客户的问题。

在这里，创始团队成员直接带 — 你的问题就是公司的问题。
- 技术深度：机载SAR/干涉雷达是交叉学科硬骨头，射频、高速数字、机电一体化全涉及，不愁没东西学
- 成长速度：初创公司没有玻璃天花板，能扛事就上
- 团队氛围：工程师文化，不内耗，不卷 PPT，不卷加班

工作信息
- 地点：上海
- 薪资：面议（有竞争力的应届生薪酬）
- 类型：全职
- 招聘人数：2人
- 截止日期：2026 年 12 月 30 日

截止日期：2027年06月30日
招聘人数：2人",单片机 STM32 MCU GPS 产品迭代 Layout PCB BOM,https://www.liepin.com/lptjob/83780187
嵌入式软件工程师,上海汇芯拓半导体技术有限公司,9-15k·13薪,上海-浦东新区,上海,硕士,应届,5月6日更新,liepin,"1.精通ST系列单片机，能用HAL库编程，精通C语言
2.精通FOC电机控制算法
3.熟悉C#、QT软件
4.独立开发过单片机项目
5.熟悉AD、DA、SPI、IIC通讯
6.熟悉瑞萨单片机编程
7.本科及其以上学历
8.能适应高强度工作、抗压性强。
9.性格开朗、有扎实的软件编程基础

截止日期：2027年05月06日
招聘人数：1人",单片机 C语言 C# SPI DA,https://www.liepin.com/lptjob/82275465
