job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
天线工程师（2026届卫通）,亨鑫科技,8-15k,成都-金牛区,成都,硕士,应届,6月25日更新,liepin,"岗位职责:
1.负责天线项目的开发全流程工作，涵盖开发、仿真、调试、测试及可靠性跟进，保障项目顺利推进。
2.承担产品图纸绘制、BOM 制定，并参与样机组装，确保产品从设计到实物的精准转化。
3.制定并跟踪产品开发计划，对接中试环节，及时处理产线问题，保障项目按计划实施。
4.参与平台化仿真与制图，撰写项目资料、完善 IPD 资料，为项目积累经验和知识沉淀。

岗位要求：
硕士及以上学历，电子信息类、电磁场与微波技术、通信工程等相关专业

截止日期：2027年06月25日
招聘人数：1人",BOM IPD,https://www.liepin.com/lptjob/83704545
天线工程师实习生,京信通信技术(广州)有限公司,100-200元/天,广州-黄埔区,广州,硕士,,90天前更新,liepin,"一、岗位职责
1.参与国家及省级重大专项，协助天线工程师完成基站天线、5G/6G天线等产品的电磁仿真建模与性能分析。
2.参与天线样机的打样、测试与验证，操作网络分析仪、频谱分析仪等仪器，记录并整理测试数据。
3.协助完成天线设计方案的文档撰写，包括仿真报告、测试报告等。
4.跟进天线产品的样品制备、组装及工艺改进，配合团队解决试产中的技术问题。
5.跟踪天线及射频前端领域的前沿技术，参与小型预研课题或新工艺应用验证工作。
二、任职要求
1.学历专业：硕士在读，电磁场与微波技术、通信工程、无线电物理、电子工程等相关专业。
2.基础知识：具备电磁场理论、天线原理或射频电路基础，了解基本的天线参数和测试方法。
3.软件技能：熟悉电磁仿真软件HFSS，能独立完成简单的天线建模与仿真任务。
4.实践能力：了解网络分析仪等仪器基本操作优先；有天线设计或射频调试项目/竞赛经历者更佳。
5.实习时间：长期实习，可连续实习6个月以上。
 

截止日期：2026年09月30日
招聘人数：2人",5G,https://www.liepin.com/lptjob/82191115
射频天线工程师,电子/半导体/集成电路100-499人,20-25k,上海-浦东新区,上海,博士,应届,90天前更新,liepin,"职责描述：
1.	参与24G/60G毫米波雷达传感器模组的天线设计和测试 ；
2.	根据需求设计出可使用的天线，并完成天线的测试；
3.	参与天线跟芯片之间走线的设计和仿真 。

任职要求：
1.	电子、计算机、通信相关专业，博士及博士后（博士后年龄不超过35岁）； 
2.	熟悉毫米波雷达天线的设计，有相关的项目或者产品经验优先；
3.	精通天线的测试，熟悉天线测试的方法和流程；
4.	有熟练使用电磁场仿真软件的经验，能够对天线和各种射频走线进行仿真；
5.	有封装和PCB的设计经验，能进行原理图和PCB版图的绘制；
6.	拥有很强的自学能力；
7.	能熟练阅读英文技术文档和专业文献，具有良好的团队协作能力。
8.	积极向上，具有较强的学习主动性和抗压能力，行事严谨，实事求是，不畏困难，勇于接受挑战；
9.	具备良好的沟通能力和团队合作精神。

工作地点：南京/上海/苏州

截止日期：2026年10月17日
招聘人数：1人",4G 技术文档,https://www.liepin.com/lptjob/77845369
天线工程师,德氪微电子(深圳)有限公司,300-500元/天,深圳-南山区,深圳,硕士,,7月6日更新,liepin,"实习要求：
1、一周至少4天以上；
2、能持续实习六个月为佳；
3、外出实习已征得学校/导师同意。

职位介绍：
1、协助进行毫米波天线设计；
2、负责天线性能测试与报告整理；
3、负责前瞻性天线研究开发与执行；
4、负责电磁模拟软件进行仿真验证与实现。

任职要求：
1、硕士或以上学历，电磁场微波技术、微电子相关专业；
2、熟悉天线理论与电磁模拟软件(HFSS/CST/SONNET)；
3、有天线基本仪器、网仪操作、微波暗室操作经验；
4、良好的团队合作和沟通能力，责任心强。

截止日期：2027年07月06日
招聘人数：1人",性能测试 HFSS CST SONNET,https://www.liepin.com/lptjob/83927061
天线工程师,汽车零部件及配件科创板上市5000-10000人,12-24k·15薪,天津,天津,硕士,应届,90天前更新,liepin,"1.车载天线系统的设计与仿真，针对5G, WIFI, V2X, GPS 等车载无线应用及相关射频链路进行设计。
2.天线的迭代测试与调优: 天线样品的实物性能测试与优化，优化天线的驻波比、隔离度等各项指标。
3.天线产品落地: 与生产团队紧密配合，实现天线性能、可靠性、制造成本三者之间的最优化平衡，掌握成熟的天线产品化理念。

任职资格:
1.天线、电磁场、电子电路专业，硕士及以上学历。
2.熟知各种小型化天线的构造与原理，如PIFA天线；有5G MIMO天线开发经验优先。
3.熟练掌握至少一种电磁仿真工具
4.良好的英文水平
5.较强的团队协作能力，能与其他研发工程师相互协同合作

截止日期：2026年08月21日
招聘人数：1人",5G WiFi GPS 性能测试 WIFI V2X,https://www.liepin.com/lptjob/57151265
电磁测试技术开发工程师,计算机硬件2000-5000人,14-16k,佛山-顺德区,佛山,硕士,应届,90天前更新,liepin,"岗位职责：
1、熟练掌握所从事的测试项目测试标准和测试方法，负责数据处理和数据分析；
2、负责项目测试大纲、测试标准/作业指导书（SOP）编制；并对技术员进行培训；
3、测试技术研究，电磁测试系统建设以及系统升级改造工作；
4、出具测试方案：测试载体设计、制作，测试工装设计；
5、按要求开展内部质量控制活动，参加能力验证和实验室比对，接受内部审核。
任职要求：
1、硕士及以上学历，电磁学，电子信息、通信类相关专业；
2、能够接受出差；
3、对电磁场理论有一定的基础，能够使用网络分析仪、频谱仪等仪表优先；
4、能够熟练运用电磁仿真软件（CST/HFSS等）和掌握matlab等数据分析软件优先；
5、有射频、暗室、天线设计调试相关工作经历或独立项目经验者优先。
 

截止日期：2027年03月27日
招聘人数：1人",MATLAB 数据分析 培训 SOP CST,https://www.liepin.com/lptjob/81301185
卫星大型天线设计,专业技术服务100-499人,50-80k,西安-未央区,西安,硕士,应届,90天前更新,liepin,"岗位职责：
1. 负责卫星大型天线的结构设计与优化  
2. 参与天线系统集成及性能验证工作  
3. 配合团队完成相关技术文档编制  

任职要求：  
1. 具备卫星天线或类似结构设计经验  
2. 善于沟通，能高效协同跨专业团队  
3. 具备较强的学习能力，能持续优化设计方法

截止日期：2027年03月19日
招聘人数：1人",技术文档,https://www.liepin.com/lptjob/81080633
雷达天线设计校招,智能硬件/消费电子沪深A股上市10000人以上,13-15k·14薪,石家庄-鹿泉区,石家庄,硕士,应届,90天前更新,liepin,"岗位职责：
1.负责雷达天线的方案论证、系统仿真与详细设计；
2.负责与射频通道的方案对接，并设计天线单元与馈电网络，有效实现脉冲信号或调频连续波信号的收发；
3.负责完成天线的加工生产、天线关键指标的性能测试，并参与系统大闭环联试。
任职要求：
1.硕士及以上学历，电子信息、通信工程、电磁场等相关专业，掌握电磁场理论基础、微波网络理论；
2.熟悉贴片天线设计技术、阻抗匹配技术，熟悉研发设计软件，熟练使用网络分析仪、频谱分析仪等测试仪器；
3.具有一定的英文读写能力，能读懂常用芯片的英文数据手册；
4.工作认真，吃苦耐劳，能够坚守科研工作，主动进行技术钻研。

截止日期：2027年02月10日
招聘人数：1人",性能测试,https://www.liepin.com/lptjob/80273365
芯片测试工程师实习,毫感科技,200-300元/天,上海-浦东新区,上海,本科,,90天前更新,liepin,"1.与芯片，天线以及系统工程师合作，设计毫米波雷达芯片的测试方案； 

2.根据测试方案，搭建具体的毫米波雷达芯片的软硬件测试环境，比如测试仪器，测试软件，测试机台等； 

3.制定毫米波雷达的具体的测试指标； 

4.依照测试要求，设计芯片测试所需的PCB板； 

5.调试及解决测试中出现的问题，及时给芯片，天线及系统工程师反馈； 

6.写脚本自动化测试程序； 

7.撰写测试文档； 

招聘人数：1人",自动化测试,https://www.liepin.com/lptjob/66175871
雷达应用与技术支持工程师,佛山市青松科技股份有限公司,6-8k,佛山-南海区,佛山,本科,应届,5月23日更新,liepin,"1.负责雷达的售前技术支持工作，包括方案编写、现场选点、供电与网络方案设计、设备清单配置及项目报价。
2.承担雷达产品在实际应用场景中的结构设计，确保雷达安装、防护、调节机构等满足现场环境与使用要求。
3.跟踪雷达产品场景下的使用效果，收集反馈并协同研发进行产品改进。
4.配合销售与客户进行技术交流，澄清需求，推动技术方案的落地与合同签订。
5.编写和维护技术文档，包括选型手册、安装指导书、典型配置案例及培训材料。
6.协助射频工程师完成天线仿真工作，包括建模、参数设置、仿真结果整理及报告输出。

任职资格：
1.电子、通信、自动化、土木工程、机械、仪器仪表等相关专业本科及以上学历。
2.欢迎应届毕业生投递；或2年以上相关行业从业经验，具备良好的结构设计能力，能使用软件进行制图（如AutoCAD、SolidWorks等）。
3.逻辑清晰，具备良好的文档撰写能力和客户沟通能力，适应短期现场勘查出差。
4.有安防、地质监测、智慧交通、雷达系统集成等领域售前或工程经验者优先。

截止日期：2027年05月23日
招聘人数：1人",技术支持 方案设计 技术方案 技术文档 培训 客户沟通,https://www.liepin.com/lptjob/82796545
