job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
助理嵌入式软件工程师,电子/半导体/集成电路不需要融资1-49人,5-10k,北京-朝阳区,北京,本科,应届,7月30日更新,liepin,"岗位职责
1. 负责协助嵌入式软件工程师（或以上）完成软件研发任务；
2. 参与嵌入式产品的上位机软件开发；
3. 参与产品生命周期维护；
4. 参与技术市场工作，协助完成方案设计和demo演示等，对客户提供技术咨询和服务

任职要求
1. 本科及以上学历，软件工程、计算机、电子信息、自动化、通信工程、物联网工程等专业毕业；英语四级及以上；
2. 熟练使用C、C++、Java等（至少熟练使用一门）；
3. 熟悉软件开发流程及工具；
4. 积极、勤奋、务实、有上进心；
5. 有无实习经历均可，应届生有人带！公司有培养！
此岗位非助理，培养方向：嵌入式软件工程师


交通便利：公司位于朝阳区东四环的住邦2000商务楼
公司附近有地铁1号线四惠站、6号线十里堡站、慈云寺公交站、慈云寺桥南站。

截止日期：2026年12月31日
招聘人数：5人",C++ Java 方案设计 技术咨询,https://www.liepin.com/lptjob/72715051
嵌入式软件工程师,,150-300元/天,深圳-龙岗区,深圳,本科,,90天前更新,liepin,"软件开发工程师
嵌入式软件开发工程师
岗位职责:
1、负责软件设计和交付，包括DSP嵌入式软件开发、大规模并行化软件设计、多线程多任务的动态调度，动态内存管理、Al Framework软件框架、编程语言模型等软件关键技术研究;
2、负责软件研发及商用过程中的功能、性能、可靠性等问题的定位解决;
3、负责软件新技术的预研和产品实现，提升产品优势。
岗位要求:
1、计算机、软件、电子、通信等相关专业;
2、熟练掌握汇编/C/C++编程语言，对CPU、操作系统、Linux驱动有一定的了解;
3、有AI、并行化、嵌入式软件开发经验者优先。

截止日期：2027年02月26日
招聘人数：5人",DSP 汇编 C++ Linux Al,https://www.liepin.com/lptjob/80425223
嵌入式软件工程师,,150-300元/天,东莞-松山湖,东莞,本科,,90天前更新,liepin,"软件开发工程师
嵌入式软件开发工程师
岗位职责:
1、负责软件设计和交付，包括DSP嵌入式软件开发、大规模并行化软件设计、多线程多任务的动态调度，动态内存管理、Al Framework软件框架、编程语言模型等软件关键技术研究;
2、负责软件研发及商用过程中的功能、性能、可靠性等问题的定位解决;
3、负责软件新技术的预研和产品实现，提升产品优势。
岗位要求:
1、计算机、软件、电子、通信等相关专业;
2、熟练掌握汇编/C/C++编程语言，对CPU、操作系统、Linux驱动有一定的了解;
3、有AI、并行化、嵌入式软件开发经验者优先。

截止日期：2027年02月26日
招聘人数：5人",DSP 汇编 C++ Linux Al,https://www.liepin.com/lptjob/80424951
嵌入式软件工程师,艾为电子,150-300元/天,上海-闵行区,上海,本科,,7月28日更新,liepin,"岗位职责：
1.负责与芯片/模组商/硬件厂商等合作伙伴共同实现IoT产品的开发；
2.负责IoT协议制定和各个端包括Linux/各类RTOS等的移植实现；
3.负责IoT某些核心模块能力，如网络协议栈等实现；
4.负责IoT传感器网络的开发；
职位要求：
1.精通C/C++语言编程，熟悉嵌入式开发，具有良好的编程风格和文档编制习惯；
2.精通嵌入式操作系统，熟练掌握任务调度／内存回收等实现原理，有freertos、UCOS、RT-Thread、linux等系统开发经验者优先；
3.熟悉主流ARM处理器体系架构，有STM32.NXP等芯片开发经验优先；
4.熟悉各类物联网通讯协议，如：LoRa、NB-IoT、eMTC、WiFi/BLE等，熟悉TCP/IP网络架构，有相关物联网开发经验优先；
5.熟悉RFID、条码、GPS等物联终端设备，熟悉红外、热敏等工业传感器设备及工作原理；
6.乐观开朗、乐于接受挑战，对技术和产品有热情，持续学习，有较好的沟通能力，有团队协作精神。

截止日期：2027年07月28日
招聘人数：1人",Linux RTOS C++ ARM STM32 WiFi TCP/IP GPS,https://www.liepin.com/lptjob/84476457
嵌入式软件工程师,矩阵感知(上海)技术有限公司,10-11k,上海-浦东新区,上海,本科,应届,7月28日更新,liepin,"职位介绍
关于我们

矩阵感知（上海）技术有限公司是一家专注于高精度SAR雷达的硬科技初创企业。我们的雷达产品聚焦地表形变沉降监测、结构健康监测等真实场景。团队核心成员在雷达系统、信号处理、嵌入式系统方向有深厚积累。

岗位职责

1. 基于高性能嵌入式 Linux 平台，完成多类型外设的用户态驱动开发与系统集成
2. 将现有前后端服务部署至边缘端设备，搭建本地局域网数据访问环境
3. 参与传感器数据预处理、标定及简单融合算法的工程实现

任职要求

硬性条件：
· 电子工程、电子信息、自动化、计算机、通信工程等相关专业在校本科生或研究生，2026 年暑假可在上海线下工作
· 曾带队参加全国大学生嵌入式芯片与系统设计竞赛并获奖（或同级别嵌入式系统竞赛，如 Intel 杯、ARM 相关赛事等）
· 熟练使用 Linux 用户态编程，掌握常用外设接口编程
· 具有良好的 C/C++ 编程能力

加分项：
· 独立搭建过嵌入式 Linux + 多外设的系统级项目
· 了解多传感器标定或数据融合的基本方法
· 熟悉 Docker 或类似容器化部署工具
· 在日常开发中熟练使用 AI 编程助手（如 Claude Code、Cursor、Copilot 等）
· 有边缘计算或物联网相关项目经验

为什么选择我们

独立负责：你不是来打杂的，你会直接负责一个完整的嵌入式模块，从方案到落地
技术密度：嵌入式 Linux + 多传感器 + 边缘计算，一次实习接触全栈嵌入式
直接带教：创始团队直接指导，你的问题就是公司的问题

工作信息
地点：上海
类型：全职
薪资：面议
福利：五险一金+补充公积金+年终奖
招聘截止日期2027年07月16日

招聘人数1人

截止日期：2027年07月28日
招聘人数：1人",Linux ARM C++ Docker 容器化 Intel AI Claude,https://www.liepin.com/lptjob/84475503
嵌入式软件工程师,汽车零部件及配件科创板上市5000-10000人,16-25k,北京-朝阳区,北京,本科,应届,7月27日更新,liepin,"岗位职责

在AE汽车电子软件团队里，你将可以采用敏捷开发模式、基于Autosar、MCAL等先进的软件设计开发理念，从事应用层软件、中间件软件、底层软件等的设计开发。你将参与全栈软件研发工作，包括但不限于:
1.完成从客户需求到软件需求开发、软件架构设计、详细设计及代码实现、再到量产维护等产品生命周期中的各个环节;
2.创造性解决产品软件在实现过程中的技术难题，应用前沿技术提升产品的核心竞争力，如性能调优、可靠性、功能安全、信息安全等;
3.有机会参与业界前沿技术研究和规划，参加汽车行业软件相关国际组织，与全球专家一起交流，打造恒润业界影响力;
4.与资深专家一起研究提升，开发有深度的专利等工作。

任职资格

1.本科及以上学历，电子信息、自动化、通信、计算机、车辆工程、软件、控制、测控、机械电子等相关专业;
2.热爱编程，基础扎实，熟悉掌握但不限于C++/C/Python/JAVA等编程语言中的一种或数种，有良好的编程习惯;
3.优先条件:
（1）了解汽车电子或网络相关标准者优先;
（2）不满足于课堂所学，在校期间积极参加校内外各类编程/电子大赛等者优先;
（3）熟练掌握单片机原理及其外设，有单片机使用经验者优先。

截止日期：2027年07月27日
招聘人数：2人",C++ Python Java 单片机 专利,https://www.liepin.com/lptjob/84425369
嵌入式软件开发工程师（2027届校招，可转正）,长城信息股份有限公司,8-13k,长沙-长沙县,长沙,本科,应届,7月27日更新,liepin,"一、岗位职责
1.根据项目进度和分配的任务，参与产品/模块的方案设计，输出固件设计方案；
2.根据结构工程师和原理设计工程师提供的技术文档，进行产品/模块嵌入式软件(固件)的详细设计，输出固件详细设计说明；
3.根据固件详细设计说明，进行固件编程及调试；
4.向上位机软件工程师提供模块编程接口说明书等技术文档；
5.协同结构工程师和原理设计工程师完成产品/模块的单机调试；
6.协同上位机软件工程师完成产品/模块的联机调试；
7.负责产品/模块的接入测试，提供相关技术支持。

二、任职要求
 • 技术能力‌：
. 精通C/C++语言，熟悉常用数据结构与算法
. 熟悉HarmonyOS‌ /Linux/RTOS嵌入式操作系统定制及驱动开发；
. 熟练使用Makefile、Linux Shell编程，掌握Git/SVN等版本管理工具；
. 熟悉SPI、I2C、UART、USB、TCP/IP等常见总线与通信协议，具备硬件协同调试能力；
. 熟悉Flash、DDR等外设的底层驱动开发调试，熟悉ARM平台开发；
• ‌优先条件‌：
. 具备良好的团队沟通能力，能与硬件团队协同完成需求评审与调试；
. 英文资料阅读无障碍，要求持有CET-4及以上证书。

截止日期：2027年07月27日
招聘人数：3人",C++ HarmonyOS Linux RTOS Shell Git SVN SPI I2C UART TCP/IP ARM,https://www.liepin.com/lptjob/84412541
2027校招-嵌入式软件工程师（九号星）,九号公司,15-25k,常州-武进区,常州,硕士,应届,7月23日更新,liepin,"1. 负责电机控制器，智能仪表，传感类，通信类的软件架构和软件研发工作；
2. 进行驱动类新算法的仿真，有效仿真结果的输出；
3. 软件的代码编写，故障诊断，算法实现；
4. 解决在试产，内测，可靠性测试中的软件问题。

任职资格：
1. 软件，电子，计算机等专业，硕士及以上学历；
2. 了解电机驱动相关的原理，熟悉主流MCU；
3. 有电动车驱动器、通信类项目经验者优先；
4. 熟悉电机无感驱动算法，单电阻驱动算法等高阶算法者优先；
5. 对研发有热情，学习能力强，自驱，自省，沟通协作能力佳。

截止日期：2027年07月23日
招聘人数：1人",MCU,https://www.liepin.com/lptjob/84371217
嵌入式软件开发工程师,电气机械/器材100-499人,10-15k·14薪,苏州-工业园区,苏州,硕士,应届,7月23日更新,liepin,"主要职能
负责新产品的软件开发。

主要职责
1.将需求/规格转化为控制逻辑/软件，并在规定时间内交付高质量项目。
2.与跨职能团队合作，设计、开发并优化具备认证的功能安全产品。
3.针对基于微控制器的嵌入式系统进行软件设计和优化，以满足严格的功能安全要求。
4.执行仿真和分析，优化产品性能，确保其在各种条件和环境下的可靠性。
5.使用先进的嵌入式工具和实践方法，解决数字产品的复杂问题。
6.提供技术专长和支持，解决生产或现场问题。
7.了解ARM Cortex-A/R/M 系列处理器架构。
8.了解 Verilog/VHDL 硬件描述语言，能够完成 FPGA 逻辑设计和时序优化。了解 DSP 架构，具有多核调度和中断管理经验。擅长硬件加速算法设计，如 CNN 量化、FFT 流水线处理和实时滤波算法映射。
9.关注新技术概念和市场，采用新方法开发创新且低成本的产品，特别是嵌入式领域的软件技术。
10.创建和维护产品文档。通过 InTouch 为现场和客户提供技术支持。
11.具备良好的团队精神和协作能力。具备良好的沟通技巧，能够清晰表达想法和需求。
12.与跨职能工程团队合作，理解项目需求，并在完全符合要求的情况下交付项目。
13.根据需要与其他部门沟通协作，确保项目成功。
14.能够进行深入研究，并就技术挑战或业务问题提出合理建议。
15.基于公司***利益进行决策。
16.对所负责领域的所有结果负责。
17.可能需要国内和国际出差。
18.完成分配的其他任务。

任职要求
1.电气与电子工程、计算机与电子工程或相关领域硕士及以上学历。
2.扎实的编程能力，熟悉函数式编程语言（如 C）、面向对象设计与编程语言（如 C++、Python），能阅读和理解元器件原理图及数据手册。
3.具备 ARM/Cortex 知识，熟悉 STM32/TI/Microchip 等平台；

优先（加分项）
1.具备嵌入式 Linux/FreeRTOS 开发经验；精通 SPI、I2C、Camera Link、USB 3.0 等接口的嵌入式驱动开发，能够实现传感器与处理器之间的高速数据交换。
2.熟悉模拟电路与数字电路。
3.拥有嵌入式设备的实际开发和调试经验。
4.能够并愿意承担责任，适应变化，并在快速变化的工程环境中保持灵活性。
5.自我驱动，积极主动，有团队合作精神，渴望学习，愿意接受挑战。

截止日期：2027年07月23日
招聘人数：1人",ARM Verilog VHDL FPGA DSP C++ Python STM32 Linux RTOS SPI I2C,https://www.liepin.com/lptjob/84366425
【校招】嵌入式软件开发工程师,武汉极目智能技术有限公司,9-15k,武汉,武汉,本科,应届,7月22日更新,liepin,"岗位职责：
1、负责产品软件框架的搭建、优化与扩展；
2、根据客户需求，编写嵌入式软件概要设计文档和详细设计文档，独立完成功能设计、代码编写及调试；
3、指导测试人员完成测试工作，完成设备调试，固件版本输出。

任职要求：
1、本科及以上学历，计算机、通信或电子等相关专业；
2、精通C/C++编程，有良好的编程习惯和代码风格；
3、熟悉linux编程开发环境，熟悉多线程、多进程、核间通信等开发技术；
4、具有车辆CAN通信、ADAS辅助驾驶、自动驾驶等相关工作背景者优先。

截止日期：2027年07月22日
招聘人数：5人",C++ Linux CAN,https://www.liepin.com/lptjob/84330359
