job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
技术文档工程师,中软国际科技,15-27k,北京-海淀区,北京,本科,经验不限,90天前更新,liepin,"职位描述： 
1. 负责根据草案，整理、撰写、管理各类产品文档、解决方案文档及实施相关文档； 
2. 和产品团队紧密联系，根据产品定位设计文档架构模型，组织并完成内容开发，保持内容、产品的强一致性和准确性 
3. 负责整合、分析各渠道的用户反馈，制定内容改进方案建议、跟踪改进进度及改进效果，负责用户体验持续改进计划 
4. 将产品、解决方案及实施文档按模版标准化，提升团队方案文档撰写效率；

职位要求： 
1. 大学本科及以上学历，计算机、信息科学等相关专业，1年以上文档相关工作经验 
2. 熟悉大数据领域相关技术文档工程师原理，包括但不限于：数据集成、数据存储和计算、数据开发、数据治理、数据资产、数据安全等 
3. 有快速学习能力，能尽快学习掌握产品，做到理解原理，有能力验证产品 
4. 具备良好的表达、沟通及协调能力；具备优秀的语言理解能力、信息架构能力、抽象能力 
5. 具备以下条件之一者优先： - 有公有云使用经验 - 有基础软件行业经验 - 熟悉云上文档开发流程和规范",产品文档 技术文档 数据治理,https://www.liepin.com/job/1952211823.shtml
技术文档工程师,某深圳科技推广服务公司,20-30k,深圳,深圳,统招本科,经验不限,7月14日更新,liepin,"1.建立并维护技术文档体系:规格书、手册、装配/测试SOP、release notes
2.维护多语言版本，保证文档与产品同步化文档与知识库:
任职要求：
1.能读懂技术细节
2.优秀的中英文技术写作能力
3.有硬件/软件产品文档经验，熟悉文档工具链
加分项：会用AI辅助文档生成/翻译/一致性校对有结构化文档/知识库体系建设经验",技术文档 知识库 产品文档,https://www.liepin.com/a/77865349.shtml
技术文档工程师,深圳市飞速创新技术股份有限公司武汉分公司,11-24k·13薪,北京-海淀区,北京,统招本科,2年以上,6月12日更新,liepin,"【岗位职责】
1、依据产品功能设计,研读标准协议,通过上机实操,高质量完成产品中英文用户手册的撰写,包括硬件手册、系统安装升级指导、软件配置手册、CLI命令行帮助、trouble shooting(故障定位排查恢复)、基于
Web UI的功能配置等文档。
2、文档开发严格按照文档写作、评审、测试和发布的流程,文档内容具备备规范性、准确性、高可读性和高易用性,确保文档与产品功能实现的一到姓。
3、参与文档平台建设优化,包括优化文档架构,优化文档模板,优化图文文和多媒体等形式文档的内容输出,为用户了解使用产品提供丰富的内容支支持,提升用户体验。
4、收集和处理来自用户和技术支持团队的反馈,持续提升文档质量和用户体验。
5、参与公司其他的项目文档撰写和翻译工作。
【任职资格】
 1.本科及以上学历,本科及以上学历,计算机、通信、电子等理工科村目关专业。
2.具备专业的技术文档写作能力,2年及以上文档写作经验。
3.了解网络通信技术,交换路由协议等,熟悉3GPP协议和RFC杨标准者优先
4.较强的英文读写能力,获得大学英语6级证书(CET6)。
5.熟练使用常用文档编辑和画图软件,包含但不限于Word,Visio,Photoshop等。
6.积极进取,具有良好的沟通能力、团队协作能力,学习能力强,抗压能力强
 ",技术支持 技术文档 trouble Web CET6 Visio,https://www.liepin.com/job/1983409645.shtml
技术文档工程师,高新兴科技集团股份有限公司,10-15k,西安-高新区,西安,本科,1-3年,7月26日更新,liepin,"一、岗位职责
1.负责公司产品技术文档的策划、撰写、编辑和持续更新。
2.输出和维护各类文档，包括用户手册、安装指南、快速入门、操作说明书、配置手册、API 文档、协议说明、FAQ 等。
3.推动文档标准化和模板化管理，建立文档库及版本控制机制，提升交付效率和质量。
4.收集客户、技术支持、销售等内外部反馈，持续优化文档结构、语言表达和可读性，降低用户理解门槛。
5.负责公司 Wiki 的搭建与日常维护。
二、任职要求
1.本科及以上学历，电子信息、通信工程、自动化、物联网等相关专业优先。
2.1 年以上技术文档写作经验，有硬件、通信、嵌入式或工业设备领域文档经验者优先。
3.文字表达和逻辑梳理能力过硬，能把复杂的技术内容讲清楚、写规范。
4.熟练使用 Office/WPS、Markdown、Visio/Xmind、PDF 编辑等工具；会 Git/SVN 是加分项。
5.英语能读写，能看懂英文技术资料，能写中英双语文档更佳。
6.做事细致、有条理，有责任心，沟通顺畅，能跟团队打好配合。
7.能同时跟多个项目，按时把文档保质保量交付出来。",Git SVN 技术文档 技术支持 API FAQ Wiki WPS,https://www.liepin.com/job/1984379781.shtml
高级技术文档工程师,计算机软件战略融资2000-5000人,25-30k·13薪,北京-海淀区,北京,统招本科,5年以上,7月8日更新,liepin,"职位描述
1. 负责服务器操作系统产品线相关产品的管理手册、运维技术文档、操作指南以及知识库内容体系的规划和编写工作，为用户解决产品使用和运维提供完整的支撑
2. 通过与产品、研发、测试和技术服务等岗位深入合作，早期介入产品文档规划，长期进行技术与运维文档的有效积累，保证内容的正确性和易用性
3. 负责整合、分析各渠道的用户反馈，制定内容改进方案建议、跟踪改进进度及改进效果，负责用户体验持续改进计划
4. 建立技术文档规范、风格指南和术语库，管理内部产品线文档和知识库体系

职位要求
1. 本科及以上学历，信息类（计算机、信息工程、软件等）专业毕业或有IT行业从业经验3年以上，有操作系统/数据库/云计算等领域技术文档写作经验优先
2. 熟悉操作系统基础理论知识，熟练掌握Linux/Unix操作系统体系架构及运行机制，熟悉常用命令与核心工具，了解并使用过至少2种以上国内外主流服务器操作系统产品
3. 熟练使用Markdown、Git、Docs-as-Code工作流等工具，熟悉至少一种文档平台（GitBook、Docusaurus、ReadTheDocs等）；具备前端布局框架能力优先（HTML、CSS等）
4. 有服务器操作系统管理、测试或运维经验优先，有RHEL、SUSE、Oracle等产品运维认证资质优先
5. 有快速学习能力，能快速学习掌握新的产品和技术
6. 具备良好的项目管理、表达、沟通及协调能力，对于复杂问题能够有独立分析和分解的能力
7. 具备优秀的语言理解能力和表达能力，具备阅读和翻译英文技术文档能力",Linux Unix Git Oracle 技术文档 知识库 产品文档 项目管理,https://www.liepin.com/job/1983983111.shtml
技术文档工程师,深圳市飞速创新技术股份有限公司武汉分公司,11-24k·13薪,武汉-洪山区,武汉,统招本科,2年以上,6月12日更新,liepin,"【岗位职责】
1、依据产品功能设计,研读标准协议,通过上机实操,高质量完成产品中英文用户手册的撰写,包括硬件手册、系统安装升级指导、软件配置手册、CLI命令行帮助、trouble shooting(故障定位排查恢复)、基于
Web UI的功能配置等文档。
2、文档开发严格按照文档写作、评审、测试和发布的流程,文档内容具备备规范性、准确性、高可读性和高易用性,确保文档与产品功能实现的一到姓。
3、参与文档平台建设优化,包括优化文档架构,优化文档模板,优化图文文和多媒体等形式文档的内容输出,为用户了解使用产品提供丰富的内容支支持,提升用户体验。
4、收集和处理来自用户和技术支持团队的反馈,持续提升文档质量和用户体验。
5、参与公司其他的项目文档撰写和翻译工作。
【任职资格】
 1.本科及以上学历,本科及以上学历,计算机、通信、电子等理工科村目关专业。
2.具备专业的技术文档写作能力,2年及以上文档写作经验。
3.了解网络通信技术,交换路由协议等,熟悉3GPP协议和RFC杨标准者优先
4.较强的英文读写能力,获得大学英语6级证书(CET6)。
5.熟练使用常用文档编辑和画图软件,包含但不限于Word,Visio,Photoshop等。
6.积极进取,具有良好的沟通能力、团队协作能力,学习能力强,抗压能力强
 ",技术支持 技术文档 trouble Web CET6 Visio,https://www.liepin.com/job/1983409643.shtml
技术文档工程师,互联网C轮100-499人,10-15k·13薪,无锡-新吴区,无锡,本科,3年以上,7月23日更新,liepin,"工作内容：
1、产品文档编辑
（1）编写智能硬件产品全生命周期文档，包括《用户手册》《开发者硬件接口手册》《安全合规声明》等。
（2）将硬件产品工作逻辑、通信协议等技术资料转化为开发者友好的教程（如“如何通过 Modbus 读取电表数据”）。
（3）负责 App 在线文档的更新与维护。
（4）管理多语言文档（中英双语优先），负责翻译及本地化适配。

2、技术协作与优化
（1）跨部门沟通合作，提前规划文档，确保准确理解和使用新功能/新产品，并按时产出文档。
（2）推动文档自动化管理，通过 Git 等工具跟踪版本历史，实现“文档即代码”。

3、用户体验提升
（1）结合用户反馈（客服工单、社区提问），持续优化文档盲点。
（2）创新文档呈现形式，图文结合，丰富页面展示，降低用户阅读障碍。

任职要求
1、硬性条件
（1）本科及以上学历，电子工程、通信工程、计算机相关专业优先。
（2）3年以上智能硬件文档经验，完整参与过至少一款量产硬件产品的文档开发。
（3）熟练使用绘图工具制作文档示意图。

2、核心文档能力
（1）掌握Markdown、Git、Docusaurus等工具链，具备“文档即代码”思维。
（2）擅长结构化写作，能设计分层内容（如小白用户版VS开发者深入版）。
（3）对细节强迫症：零容忍单位错误（如V与mV）、版本号遗漏、安全警示缺失。

3、软实力
（1）能用“人话”翻译技术黑话（例如将“I2C总线寻址”简化为“设备身份证号”）。
（2）具备跨团队协作能力，可高效与产品经理、硬件工程师、用户支持团队沟通。

4、加分项
（1）熟悉家庭能源领域硬件（如逆变器、储能电池、智能电表）的文档规范。
（2）有开源硬件项目贡献经验（如Arduino/Raspberry Pi社区文档维护）。
（3）掌握基础视频剪辑技能，可制作硬件操作演示短片。",Modbus Git I2C 产品文档 安全合规 App Raspberry,https://www.liepin.com/job/1984344735.shtml
技术文档工程师(J11753),计算机硬件科创板上市1000-2000人,12-18k,苏州-虎丘区,苏州,本科,3年以上,6月16日更新,liepin,"职责描述：
1.技术文档的交付：
a.文档类型包括但不限于用户手册、在线帮助、日志手册、命令行手册、硬件手册、入门指南、版本说明、案例手册、故障排查手册等；
b.覆盖的产品类型包括公司的全部自主研发产品；
c.对于公司自主研发的产品，根据规划，技术文档部提供中文和英文版本手册；
d.为OEM产品、认证项目、临时需求提供适度支持，并提供其所需中英文材料。
e.记录文档的生命周期、更新历史。
f.维护并运营“技术文档下载中心”网站
g.用户通过文档可准确使用产品
h.内容准确度高于96%；
i.除另行协商外，文档交付时间应于项目beta阶段之时。
2.语言服务：
a.提供上述文档类型的中文和英文语言转换服务；
b.提供公司自主研发产品的英文系统翻译服务；
c.对于外包的语言服务，负责文字质量的审查;语言转换的信息完整性应高于90%，信息准确度在80%以上
任职要求：
1.教育背景：学历和专业	本科及以上，通信、计算机、电子、英语等专业
2.相关工作经验：	在网络安全行业或技术文档写作领域里，工作3-4年以上经验。如内部晋升，在5级工作2年以上，业绩与能力符合晋级要求，且具备创新意识。
3.专业资格证书	
4.必备专业知识/技能:具备中英文写作的经验或相关的网络安全行业经验
5.素质:具有强烈的学习意愿、严密的逻辑思维，能够独立思考，注重团队协作	
6.特殊要求:了解网络安全专业知识者优先考虑。英语CET-6级优先考虑。",技术文档 故障排查 a.,https://www.liepin.com/job/1982579779.shtml
技术文档工程师,乐鑫科技,12-20k·13薪,深圳-宝安区,深圳,统招本科,经验不限,6月23日更新,liepin,"岗位职责
1、编写和维护物联网产品相关文档，包括使用教程与技术规格说明书；
2、起草产品认证、著作权申请等相关材料；
3、支持产品说明编写及推广展示；
4、协助技术支持工作。

任职要求
1、本科及以上学历，计算机、电子、自动化相关专业背景；
2、具备一定的 C/C++ 语言和嵌入式开发能力, 了解嵌入式常用通信协议;
3、通过英语四级，具备优秀的英语阅读与写作能力；
4、具备优秀的沟通表达能力、学习能力及技术文档编写能力；
5、熟悉 Arduino/Platform.IO 等开发平台优先；
6、熟练使用 Git 版本管理工具，开源项目贡献者优先。
加分项
· 具备优秀的英语读写能力
· 有个人博客制作经验者优先
· ESP32 开发经验者优先",C++ Git 技术支持 技术文档 版本管理 Arduino Platform.IO ESP32,https://www.liepin.com/job/1971730025.shtml
技术文档工程师,上海奔展信息技术有限公司,8-10k·13薪,常州-新北区,常州,统招本科,2年以上,7月13日更新,liepin,"主要职责：
技术文档编写 (70%)
-制定技术文档写作计划，并进行技术文档编写（用户手册、技术手册等给客户，英文为主）
-和项目经理、产品经理进行沟通，确定技术文档相关内容
-和研发、项目经理、产品经理、用户等进行说明书的评审
-确保技术文档的准确、始终确保技术文档的可阅读性
-确保技术文档的延续性和多样性，包括图片、视频等
-进行模块化文档管理，确保文档的一致性和复用性
-使用最新的技术和工具来进行技术文档写作，例如AI等
-维护技术文档中英文对照表
-维护技术文档写作指导手册
-协调集团技术文档的翻译
文档平台管理 (30%)
-建立技术文档的管理平台
-进行技术文档的生命周期的管理，包括说明书、照片、视频等
-进行技术文档版本和周期管理
-负责官网的技术文档更新
-
任职资格:
教育背景
-本科学历，专业不限
-热爱写作、word操作熟练
工作年限
-2年以上经验，有PLC/电子电气相关说明书编写经验优先
专业技能要求 
-熟练使用Microsoft办公软件，包括Word、Excel、PowerPoint、Outlook、Project等
-熟练操作SCHEMA ST4、InDesign、CAD等设计软件（优先）
-有XML写作经验
-熟悉操作SAP等工具
-关注细节，可以进行多任务操作
-较强的学习能力，积极主动
-良好的团队精神和工作责任心
-有项目管理经验优先
-良好的英语听说读写能力（主要是读和写）
-具有优秀的沟通技能",ROS 技术文档 项目管理 Excel PowerPoint Outlook ST4 InDesign,https://www.liepin.com/job/1982313467.shtml
AI技术文档工程师,互联网科创板上市1000-2000人,15-40k·16薪,北京-朝阳区,北京,统招本科,3年以上,6月24日更新,liepin,"岗位概述
摩尔线程 AI 研发团队正在寻找一位热爱技术、擅长写作的 Technical Writer 加入团队。你将负责为 AI 框架、分布式训练/推理系统和大模型产品创建高质量的技术内容。你将参与的产品：vLLM、SGLang、AI Agent、PyTorch3D、SimuMax、MooER、AnimateAnyone、LiteGS、torch_musa 等。

核心职责
1. 技术文档撰写
    ○ 编写 AI 框架（PyTorch、Megatron、DeepSpeed、vLLM、SGLang 等）的 API 文档、快速入门指南、教程
    ○ 创建分布式训练/推理系统的架构文档、部署指南和故障排查手册
    ○ 维护 GitHub 开源项目文档（README、Wiki、示例代码）
2. 开发者体验优化
    ○ 与产品、研发团队紧密合作，早期介入文档规划
    ○ 收集用户反馈，持续改进文档质量
    ○ 建立文档规范、风格指南和术语库
3. 技术内容创作
    ○ 撰写技术博客、产品发布文章、实践案例
    ○ 翻译和国际化技术文档（中英互译）
4. AI 工具应用
    ○ 运用 AI 工具辅助内容创作、翻译和审校

任职要求：
1. 本科及以上学历，计算机、软件工程、通信、数学或相关专业
2. 3 年以上技术文档写作经验，有 AI/ML/云计算/GPU 领域优先
3. 理解深度学习框架（PyTorch、TensorFlow、PaddlePaddle 等）
4. 了解分布式训练原理（数据并行、模型并行、流水线并行等）
5. 熟悉大模型概念（Transformer、LLM、LoRA、量化、推理优化等）
6. 能阅读 Python 代码示例，了解 CUDA/C++ 更佳
7. 优秀的中英文书面表达能力（CET-6 或同等水平）
8. 熟练使用 Markdown、Git、Docs-as-Code 工作流
9. 熟悉至少一种文档平台（GitBook、Docusaurus、ReadTheDocs 等）
加分项：
● 有开源项目贡献经历
● 有大模型推理框架（vLLM、SGLang、TGI）使用经验
● 熟悉 MLOps、模型部署、服务化
● 有技术社区运营、DevRel 经验
● 在技术媒体、公众号、知乎有文章发表",分布式 大模型 LLM PyTorch Git 深度学习 TensorFlow PaddlePaddle Transformer Python C++ 技术文档,https://www.liepin.com/job/1981311813.shtml
