job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数字化管理师,浙江波普环境服务有限公司,7-13k·13薪,杭州-上城区,杭州,本科,1-3年,今日更新,liepin,"岗位职责：
1．负责数字化、智能化运营的完善、推广及落地；
2. 负责公司日常数字化运营相关工作；
3．推动数据资产形成及相关规范化；
4．推动建立企业标准化、规范化的业务数字化管理流程；
岗位要求：
1．本科及以上学历；
2．熟练掌握数据分析工具、数字化技术，数学功底强，具有较强的逻辑分析能力； 
3．有数据资产形成的相关经验，熟练数据盘点、清洗分类、加工等；
4．熟悉及擅长信息化处理、整合和搭建；
5．对新知识充满热情，思维灵活，有良好的沟通能力，协作精神和进取心，工作态度积极。",数据分析,https://www.liepin.com/job/1975137963.shtml
财务数字化管理师,北京建龙重工集团有限公司,15-25k,北京-丰台区,北京,硕士,3-5年,90天前更新,liepin,"岗位职责：

1、负责数字化规划与设计，制定集团财务数字化战略及实施路线图，设计责财务系统的架构、流程优化和方案；

2、负责项目实施与交付，主导或核心参与集团及子公司财务、成本系统的新建、升级与推广实施项目，包括需求分析、方案设计、系统配置、测试、上线及运维支持的全流程管理；

3、负责业财融合与流程优化，设计和优化业财一体化流程，确保业务数据到财务数据的自动、准确流转；

4、负责财务相关系统的应用运维，解决系统运行中的关键问题；持续监控系统应用效果，收集用户反馈，推动系统的持续优化与迭代；

5、具有较强的语言和文字表达能力、逻辑思维能力、组织协调能力和应变能力，较强的团队合作精神。

 
任职基本条件：

1、财经、计算机、信息化相关专业，硕士及以上学历，32岁以下，特别优秀者可放宽到35岁；

2、具有中级以上会计、计算类技术职称；

3、从事大型制造业企业信息系统建设，熟悉生产、能源、销售、资材、物流等核心业务系统，并理解其与财务系统的集成逻辑，5年以上工作经验，具备扎实的财务、会计、信息化相关知识，熟悉钢铁企业业务流程者优先；

4、具备良好的数据分析和处理能力，熟悉SQL或相关BI工具；

5、具有较强的语言和文字表达能力、逻辑思维能力、组织协调能力和应变能力，较强的团队合作精神；

6、能适应经常出差者。",SQL 流程优化 需求分析 方案设计 数据分析,https://www.liepin.com/job/1977986021.shtml
数字化管理师(医疗行业，部署专员，实施交付),医疗器械新三板上市1000-2000人,4-8k,郑州-金水区,郑州,大专,经验不限,90天前更新,liepin,"职责描述：
1、对中台流入客户进行详细了解，要求每天全面覆盖；
2、对联系上的客户宣讲阿里钉钉价值，深入挖掘用户需求、管理痛点，讲解行业案例；
3、为意向客户安排钉钉城市部署专家上门服务，为不支持上门服务的客户提供远程培训服务，内容包括：阿里管理理念、钉钉对于管理的价值、部分功能使用；
4、完成医院内部部署，提供阿里高效工作方式，帮助企业深度使用钉钉，提升医院使用活跃度；
5、制定医院或行业专属管理方案，全方位提升企业沟通、协同效率，使其领先行业，获得持续竞争力；
6、跟进远程服务客户的后续使用情况，提高钉钉使用活跃度；
7、深入挖掘医院信息化需求，推荐钉钉定制化服务；
8、成为资深咨询专家，助力医院创新组织管理和互联网转型。
任职要求：
1、大专及以上学历，有实施、销售、培训、人事经验者优先，无经验者也可培养；
2、男女不限，沟通能力强，性格开朗、富有激情、语言表达能力强；
2、普通话标准，思维清晰，有较强的亲和力和感染力；
3、有良好的团队精神及协作能力和良好的抗压能力；
4、学习能力强，具备良好的沟通协调能力和人际关系。
",培训,https://www.liepin.com/job/1921053909.shtml
课程研发与教学管理专员,学校教育2000-5000人,薪资面议,天津-红桥区,天津,本科,1年以上,90天前更新,liepin,"职位描述
1.岗位职责
（1）依据国家职业技术技能标准，负责数字技术工程师（含人工智能、物联网、云计算、智能制造、工业互联网、区块链、数字化管理师、增材制造、密码工程技术人员等方向）等重点方向的课程体系开发与迭代，制定教学大纲、实训方案和考核标准。
（2）对接校内工科优势资源，整合行业专家、企业技术骨干等师资力量，协助组建高水平师资库，统筹线上教学平台与线下实训资源。
（3）协助建立覆盖“培训+考核”全流程的教学质量评估体系（学院已获批数字化管理师、区块链、物联网等考核站点），参与教学督导、学员评教及课程改进工作。
（4）跟踪国家及河北省数字技术人才培养最新政策，研究“专业技术人才知识更新工程”与数字技术工程师培育项目的融合路径，为项目升级提供建议。
2.任职要求
（1）本科及以上学历，理工科背景（计算机、电子信息、自动化、智能制造等与学院培训资质相关方向优先）。
（2）具有1年以上课程研发、教学管理或项目设计经验，具有高校继续教育或职业培训课程开发经验者优先。
（3）熟悉职业培训课程开发全流程，具备较强的逻辑思维能力、文档撰写能力，能独立完成课程方案设计与教学资源组织。
（4）具有创新意识和资源整合能力，工作严谨细致，对数字技术人才培养有持续的学习热情。
（5）有数字技术工程师培育项目培训或工作经历者优先。
3.用工形式
兼职，具体工作内容与报酬面议。",培训 方案设计,https://www.liepin.com/job/1981892305.shtml
人力资源数字化总监,电子商务已上市1000-2000人,70-100k·20薪,上海-宝山区,上海,本科,10年以上,5月29日更新,liepin,"岗位职责
1. 结合电商零售行业人力管理特性与公司数字化转型需求，制定能人科技数字化中长期规划与年度实施计划，支撑人力管理效率提升与业务增长。
2. 统筹人力资源数字化系统的搭建与整合，打通各系统数据链路，实现人力数据的统一管理与共享。
3. 负责人力资源数字化运营与优化，搭建数字化人力管理流程，提升人力管理的自动化、智能化水平。
4. 统筹人力数据的分析与赋能，搭建人力数据看板与分析体系，通过数据挖掘为人才招聘、绩效管控、人才梯队建设、人力成本管控提供决策支持，比如大促期间的人力需求预测、人力成本分析。
5. 负责人力资源数字化平台的用户运营，开展系统使用培训、问题答疑、用户反馈收集，提升员工与管理者对数字化平台的使用率与满意度，保障系统稳定高效运行。
6. 对接业务部门的数字化人力需求，提供定制化的数字化人力解决方案。

任职要求
1. 本科及以上学历，人力资源管理、计算机科学、信息管理、企业管理等相关专业优先，持有人力资源管理师、数字化管理师等相关证书者优先。
2. 10 年以上人力资源管理或数字化系统管理经验，其中 5 年以上人力资源数字化项目搭建与运营经验，熟悉电商零售行业人力管理特点。
3. 具备完整的人力资源数字化体系搭建经验，熟悉 HRIS、招聘系统、绩效系统等主流人力数字化产品，有系统整合与数据打通的成功案例。
4. 具备良好的数据思维与分析能力，能够通过人力数据挖掘为管理决策提供支持，熟悉数据可视化工具与数据分析方法。
5. 具备敏锐的行业洞察力与战略思维，能够结合行业趋势与公司需求制定人力资源数字化规划，适配电商行业快速变化的特点。",培训 数据分析 HRIS,https://www.liepin.com/job/1982953829.shtml
营销总监（AI行业）,浙江正凯集团有限公司,35-55k,杭州-萧山区,杭州,统招本科,10年以上,7月22日更新,liepin,"工作职责
1、依据集团战略与公司经营目标，制定年度销售战略、目标与计划，并确保落地达成；
2、全面负责销售业绩管控与团队管理，跟踪进度、分析数据、调整策略，保障回款与现金流；
3、洞察数字化/AI行业趋势与竞争格局，主导市场推广策略，提升产品市场占有率；
4、负责销售团队的招募、培训、考核与激励，打造高绩效专业化团队；
5、亲自承担个人销售指标，主导开发、维护全国性高价值客户及操盘百万级以上重大项目；
6、建立核心客户管理体系，深度维护战略客户关系，推动复购、增购与口碑推荐；
7、牵头组织重大市场活动，提升品牌影响力，拓展高端客户与合作伙伴资源；
8、高效协同技术、产品等部门，确保客户需求快速响应与解决方案顺利交付；
9、负责销售费用管控与资源优化，提升销售投入产出比；
10、定期汇报销售业绩与市场动态，为经营决策提供支持，并完成上级交办的其他任务。

任职要求 
1、本科及以上学历，专业不限，8年以上销售经验，其中5年以上数字科技/软件行业销售管理经验；
2、需具备3年以上销售总监/负责人岗位经验；
3、拥有带领团队完成千万级以上年度销售目标的成功经历，及独立操盘千万级重大项目案例；
4、掌握大量优质高价值客户资源（制造业、能源化工、政企单位优先），兼具分销管理经验；
5、具备出色的战略规划、目标拆解及市场洞察能力，能制定科学销售策略；
6、拥有优秀的团队搭建、激励与领导能力，能打造高绩效销售团队；
7、精通大客户开发、商务谈判与复杂项目操盘，个人销售能力突出；
8、熟悉数字化、AI行业（如企业转型、AI应用、数据平台），具备良好技术理解力；
9、具备优秀的跨部门沟通协调能力、强大的抗压能力和责任心，能适应高频出差；
10、持有MBA/EMBA、PMP、数字化管理师或相关高级职业资格证书者优先。",团队管理 市场推广 培训 商务谈判 EMBA PMP,https://www.liepin.com/job/1980787171.shtml
销售顾问,厦门科范信息技术服务有限公司,12-20k·13薪,厦门-思明区,厦门,大专,经验不限,90天前更新,liepin,"在投递简历前，请先了解钉钉，并对钉钉感兴趣。
认可钉钉与的理念和发展前景；
认同公司理念和企业文化，愿意和公司共同成长；
这是一个以90后为主，充满活力和热情的平台；
这是一份容易上手、个人成长飞快且有价值的工作。
【岗位职责】：
1.主动学习公司及钉钉渠道安排的产品或销售的学习培训计划，提高个人业务能力；
2.通过电话、面销、网络、会销等方式对公司存量客户进行顾问式销售；
3.分析客户的钉钉使用情况以及发现客户信息化新需求，匹配合适的产品或解决方案；
4.不定期联系拜访成交客户的关键KP人，维护客情关系并建立长期合作关系；
5.引导老客户介绍新客户进行转介绍的方式创造销售机会；
6.根据团队的销售计划，完成个人销售目标。
【任职要求】：
1.大专及以上学历，年龄22~30岁，有Saas软件、互联网、信息化等行业工作经验优先；
2.为人正直，诚信可靠，对互联网行业有一定的了解及兴趣，并愿意不断学习进取；
3.做事积极主动，性格坚韧，思维敏捷，具备良好的应变能力和抗压能力；
4.以结果为导向，具备良好的服务意识、团队合作精神，敢于挑战高薪。
【您将得到的】
4.有保障有钱赚：无责任底薪+提成+季度奖金，参考区间7K~2W，上不封顶。
5.一路往上升：销售顾问→销售主管→销售总监→副总
                          销售顾问→培训管理师→数字化管理师→咨询管理师
6.不鼓励无意义加班的工作。
上班时间：7.5小时/天，法定节假日照常放假。
其他节假日：至少5天带薪年假、15天婚假、158天产假、丧假、产检假、哺乳假。
【面试地址】
厦门市湖里区高新技术园区中众合大厦210室
公交线路：
乘坐出岛方向的快1、快2、快5、快6、快9到县后BRT站，再导航步行650米至中众合大厦。
地铁三号线到湖里创新园站，再导航步行950米至中众合大厦。
【我们的优势】：
1.福利待遇：无责任底薪+高额提成+业绩激励+五险一金+节日礼物+团建旅游+年假；
2.培训体系：新人训练营、师徒一对一帮带、业务体系全军培训、管理训等等。帮助新人快速融入团队，学习专业技能，获得长足发展；
3.晋升空间：公司处于快速发展期，晋升空间大，机会多；
4.团队氛围：年轻具有活力，氛围轻松活泼，同事志同道合；
5.人脉积累：对接客户均为企业端负责人、团队负责人、CEO，轻松丰富个人人脉圈。",培训 CEO,https://www.liepin.com/job/1950637373.shtml
销售顾问,厦门科范信息技术服务有限公司,12-20k·13薪,厦门-思明区,厦门,大专,经验不限,90天前更新,liepin,"在投递简历前，请先了解钉钉，并对钉钉感兴趣。
认可钉钉与的理念和发展前景；
认同公司理念和企业文化，愿意和公司共同成长；
这是一个以90后为主，充满活力和热情的平台；
这是一份容易上手、个人成长飞快且有价值的工作。
【岗位职责】：
1.主动学习公司及钉钉渠道安排的产品或销售的学习培训计划，提高个人业务能力；
2.通过电话、面销、网络、会销等方式对公司存量客户进行顾问式销售；
3.分析客户的钉钉使用情况以及发现客户信息化新需求，匹配合适的产品或解决方案；
4.不定期联系拜访成交客户的关键KP人，维护客情关系并建立长期合作关系；
5.引导老客户介绍新客户进行转介绍的方式创造销售机会；
6.根据团队的销售计划，完成个人销售目标。
【任职要求】：
1.大专及以上学历，年龄22~30岁，有Saas软件、互联网、信息化等行业工作经验优先；
2.为人正直，诚信可靠，对互联网行业有一定的了解及兴趣，并愿意不断学习进取；
3.做事积极主动，性格坚韧，思维敏捷，具备良好的应变能力和抗压能力；
4.以结果为导向，具备良好的服务意识、团队合作精神，敢于挑战高薪。
【您将得到的】
4.有保障有钱赚：无责任底薪+提成+季度奖金，参考区间7K~2W，上不封顶。
5.一路往上升：销售顾问→销售主管→销售总监→副总
                          销售顾问→培训管理师→数字化管理师→咨询管理师
6.不鼓励无意义加班的工作。
上班时间：7.5小时/天，法定节假日照常放假。
其他节假日：至少5天带薪年假、15天婚假、158天产假、丧假、产检假、哺乳假。
【面试地址】
厦门市湖里区高新技术园区中众合大厦210室
公交线路：
乘坐出岛方向的快1、快2、快5、快6、快9到县后BRT站，再导航步行650米至中众合大厦。
地铁三号线到湖里创新园站，再导航步行950米至中众合大厦。
【我们的优势】：
1.福利待遇：无责任底薪+高额提成+业绩激励+五险一金+节日礼物+团建旅游+年假；
2.培训体系：新人训练营、师徒一对一帮带、业务体系全军培训、管理训等等。帮助新人快速融入团队，学习专业技能，获得长足发展；
3.晋升空间：公司处于快速发展期，晋升空间大，机会多；
4.团队氛围：年轻具有活力，氛围轻松活泼，同事志同道合；
5.人脉积累：对接客户均为企业端负责人、团队负责人、CEO，轻松丰富个人人脉圈。",培训 CEO,https://www.liepin.com/job/1951047243.shtml
数字解决方案工程师（IOT）,工业自动化沪深A股上市10000人以上,15-20k·15薪,苏州-吴中区,苏州,本科,3-5年,90天前更新,liepin,"岗位职责：
1、深入生产现场，挖掘在工位作业、质量报警、物料呼叫、设备监控等方面的异常管理的痛点与需求
2、定期拉通、收集各工厂的异常管理需求，基于异常管理的数字化需求，设计解决方案与负责方案落地执行
3、基于汇川多工厂的业务场景及需求，实时了解外部新型技术，打通周边业务系统关系，负责异常管理系统产品迭代与蓝图规划
4、处理日常生产过程中异常管理系统的使用问题、定期为业务部门进行系统培训，掌握系统的部署、监控、故障处理与性能优化方法，保障系统7×24小时高可用
5、了解现场设备工作原理，能够通过IOT等物联工具实现与数据对接与控制

 任职要求：
1、本科及以上学历，工业工程、计算机科学、软件工程、机械自动化/技术专业背景优先
工作经验
2、3-5年制造业数字化经验，具备跨部门协作经验，能够有效协调技术、业务、产品等多团队资源。
3、熟练使用（Axure、Mockup...）等前端UI设计工具，设计系统功能原型（如工单流程、看板界面、报警逻辑），并与开发团队协同确定技术方案
4、理解基本开发框架（如Spring Boot、NFine），能参与技术评审，确保开发方案符合运维友好性、可扩展性要求。
5、熟悉数据库操作（MySQL/PostgreSQL）及网络通信协议（TCP/IP、HTTP），协助开发团队定位数据流或接口问题。
加分项
- 拥有电子行业数字化相关认证（如PMP、数字化管理师、数据分析师认证等）。
- 任职过生产异常管理、Andon产品经理优先
- 熟悉工业物联网（IIOT）优先",高可用 Spring Boot MySQL PostgreSQL TCP/IP 产品迭代 培训 跨部门协作 技术方案 数据分析,https://www.liepin.com/job/1981057589.shtml
软件销售总监,浙江正凯集团有限公司,30-50k,杭州-萧山区,杭州,本科,5年以上,5月27日更新,liepin,"工作职责
1、依据集团战略与公司经营目标，制定年度销售战略、目标与计划，并确保落地达成；
2、全面负责销售业绩管控与团队管理，跟踪进度、分析数据、调整策略，保障回款与现金流；
3、洞察数字化/AI行业趋势与竞争格局，主导市场推广策略，提升产品市场占有率；
4、负责销售团队的招募、培训、考核与激励，打造高绩效专业化团队；
5、亲自承担个人销售指标，主导开发、维护全国性高价值客户及操盘百万级以上重大项目；
6、建立核心客户管理体系，深度维护战略客户关系，推动复购、增购与口碑推荐；
7、牵头组织重大市场活动，提升品牌影响力，拓展高端客户与合作伙伴资源；
8、高效协同技术、产品等部门，确保客户需求快速响应与解决方案顺利交付；
9、负责销售费用管控与资源优化，提升销售投入产出比；
10、定期汇报销售业绩与市场动态，为经营决策提供支持，并完成上级交办的其他任务。

任职要求 
1、本科及以上学历，专业不限，8年以上销售经验，其中5年以上数字科技/软件行业销售管理经验；
2、需具备3年以上销售总监/负责人岗位经验；
3、拥有带领团队完成千万级以上年度销售目标的成功经历，及独立操盘千万级重大项目案例；
4、掌握大量优质高价值客户资源（制造业、能源化工、政企单位优先），兼具分销管理经验；
5、具备出色的战略规划、目标拆解及市场洞察能力，能制定科学销售策略；
6、拥有优秀的团队搭建、激励与领导能力，能打造高绩效销售团队；
7、精通大客户开发、商务谈判与复杂项目操盘，个人销售能力突出；
8、熟悉数字化、AI行业（如企业转型、AI应用、数据平台），具备良好技术理解力；
9、具备优秀的跨部门沟通协调能力、强大的抗压能力和责任心，能适应高频出差；
10、持有MBA/EMBA、PMP、数字化管理师或相关高级职业资格证书者优先。",团队管理 市场推广 培训 商务谈判 EMBA PMP,https://www.liepin.com/job/1982904947.shtml
