job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
数据仓库工程师（2026届实习）,本科,薪资面议,上海,上海,实习,3个月,90天前更新,liepin,"招聘对象：本、硕、博。

毕业时间：2025 年 9 月至 2026 年 8 月期间毕业（中国大陆以毕业证为准，非中国大陆地区以教育部学位认证为准）的学生。



你将会负责：

1、负责数据建模以及数据仓库应用产品的设计和开发；

2、负责数据仓库ETL流程的优化及解决ETL相关技术问题；

3、数据仓库和业务数据集市建设；

4、业务模型抽象、数据模型设计开发。



我们期望你：

1、精通SQL，具备海量数据开发能力，至少熟悉一种主流数据库(比如Oracle/MySQL/Teradata/Greenplum等)，有Hive使用经验优先考虑；

2、熟悉数据仓库理论和数据模型设计，有实际经验优先考虑；

3、至少熟悉Java/Python等一种开发语言；

4、了解hadoop/spark基本原理，有MR或Spark的开发经验优先考虑；

5、熟悉Linux系统优先考虑；

6、良好的团队合作精神，对解决挑战型问题充满激情。

招聘人数：1人

职位来源：该职位来自第三方企业官网",SQL Oracle MySQL Hive Java Python Hadoop Spark Linux,https://www.liepin.com/lptjob/73664535
数仓工程师,中国太平洋人寿保险股份有限公司,100-200元/天,上海-黄浦区,上海,学历不限,,90天前更新,liepin,"岗位职责：

1.基于对业务和数据的理解，搭建企业级数仓模型体系，构建离线数据模型；

2.负责数仓标准化分层体系建设和模型开发工作，并沉淀企业级数据资产；

3.不断探索行业内最新的数仓解决方案，提升数仓服务能力。

岗位能力：

1.计算机、信息相关专业本科以上学历；

2.有数据仓库开发实施、数据资产管理、需求调研和需求分析经验，熟悉数据仓库ETL过程，能根据业务需求设计数据仓库模型，并对数据仓库数据模型进行管理，保证数据质量；

3.熟悉sql开发和Hive sql性能调优工作，了解Shell、Python等脚本语言，具有Hadoop/Storm/Spark/Hive等系统的开发经验；

4.工作认真、负责、仔细，有良好的团队合作精神，良好的分析能力、沟通技巧。

招聘人数：1人",SQL Hive Shell Python Hadoop Spark 需求分析,https://www.liepin.com/lptjob/67539781
大数据分析与挖掘工程师,喆塔科技,10-15k,合肥-经开区,合肥,硕士,应届,90天前更新,liepin,"岗位职责：
1.负责数据仓库建模和ETL建模工作，确保项目实施过程中的数据源分析，能顺利有序地进行
2.负责ETL设计过程，参与数据平台架构的设计、开发、流程优化及解决ETL相关技术问题
3.负责工业数据仓库项目数据仓库、ETL架构设计 
4.与用户和项目组进行有效沟通，收集项目需求，并提出相应的解决方案
任职要求：
1.计算机技术、软件工程、大数据等相关专业
2.硕士及以上学历
3.有统计学基础知识，理解数据库、数据仓库模型设计原理和理论
4.对数据仓库、大数据技术有浓厚兴趣和钻研精神
5.良好的数据敏感度，能从海量数据提炼核心结果
6.热衷新技术，善于总结分享，喜欢动手实践
7.有良好的团队合作精神，沟通表达能力强，能很好的理解客户需求

截止日期：2027年03月10日
招聘人数：10人",流程优化,https://www.liepin.com/lptjob/80810887
数据管理实习生,西安东航赛峰起落架系统维修有限公司,150-180元/天,咸阳-渭城区,,本科,,90天前更新,liepin,"核心岗位职责：
1.	主数据全生命周期管理
负责企业核心主数据（生产、客户、订单、供应商等）的标准定义、模型设计、清洗落地与全生命周期管理，搭建与维护主数据管理平台，解决主数据分散、不一致、不权威的问题，保障主数据在全企业内的准确性与共享性。
2.	元数据体系与数据资产建设
负责企业级元数据体系规划与落地，覆盖业务元数据、技术元数据、管理元数据，搭建元数据管理平台，实现数据血缘追踪、数据地图、数据资产目录建设，提升企业数据的可发现性、可理解性与可复用性，实现数据资产的规范化管理
3.	数据仓库、数据湖与湖仓一体架构落地
负责企业数据架构的规划、设计与优化，搭建企业级数据仓库的分层架构与业务维度模型，设计与维护数据湖的存储、计算与权限体系，落地湖仓一体架构，实现冷热数据分层管理，支撑业务报表、经营分析、数据挖掘等全场景数据需求
4.	项目推动与跨部门协作
联合 IT、业务、合规、财务等多部门，主导数据管理相关项目的需求调研、方案设计、落地实施与验收，解决项目中的技术与流程卡点；为业务部门提供数据管理相关的培训、赋能与技术支持，推动数据文化在企业内的落地

本科及以上学历，计算机、软件工程、数据科学、信息管理、统计学等相关专业
有企业级数据管理、数据治理、数据仓库 / 数据湖建设相关工作经验，有完整的端到端企业级数据治理项目落地经验； 
熟悉数据管理体系与标准，有体系化的企业数据管理认知


专业技能要求
1.	精通主数据管理全流程，具备主数据模型设计、MDM 平台搭建、主数据清洗与落地的实操经验；
2.	精通元数据管理相关技术，熟悉元数据采集，有 DataHub、Atlas等元数据工具的落地使用经验；
3.	精通数据仓库建模，熟练掌握维度建模、范式建模方法，有企业级数仓的设计、搭建与优化经验；
4.	熟悉大数据技术栈（Hadoop、Spark、Flink 等），掌握湖仓一体核心技术（Iceberg、Hudi、Delta Lake 等），有湖仓一体架构落地经验者优先；
5.	熟练掌握数据质量管控方法，能设计数据质量规则，落地数据质量监控、告警与问题闭环流程；
6.	熟悉《数据安全法》《个人信息保护法》等相关法律法规，有数据分级分类、敏感数据管控、数据权限管理的实操经验；
7.	熟练使用 SQL，熟悉至少一种主流关系型数据库（Oracle、SQL Server、MySQL 等），有微软数据生态（Microsoft Fabric、Azure Data Lake 等）使用经验者优先。
 

截止日期：2027年03月24日
招聘人数：1人",Hadoop Spark Flink SQL Oracle SQL Server MySQL ROS Azure 跨部门协作 合规 方案设计,https://www.liepin.com/lptjob/81178059
大数据开发实习生-抖音/直播/电商/剪映,字节跳动,150-200元/天,北京-海淀区,北京,本科,,90天前更新,liepin,"职位描述

日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。

团队介绍：负责公司数个产品的推荐引擎、平台开发和大数据等工作。我们的工作涉及海量数据处理和对产品数据复杂深入的分析。在这里，你可以深入钻研大数据产品的改进和优化，探索前沿的技术；可以通过对产品的深度理解和思考，将数据应用到业务中去；也可以通过对产品和内容生态的深度分析，影响产品未来的发展方向。



1、参与字节抖音开放平台业务离线和实时数据仓库建设工作；

2、面向PB级超大规模数据问题，每天处理千亿增量的用户行为数据；

3、为大数据的全生命周期提供服务，覆盖数据产生，传输，建模，统计分析，实验评估，可视化的全流程；

4、构建设计良好的数据流、数据仓库、调度系统、查询引擎，数据服务、分析系统、流程规范，数据工具/产品，降低数据的使用门槛，保证系统稳定高效运行，以实现数据的最大价值。

职位要求

1、2025届及以后毕业，本科及以上学历在读，计算机相关专业，或具备同等计算机知识水平和学习能力的其他专业应届生；

2、熟悉数据仓库实施方法论、了解数据仓库体系；

3、会使用SQL，掌握Java、Python、R、Scala、C/C++ 中任意一门编程语言；

4、 有大数据集、分布式计算工具（Map/Reduce，Hadoop，Hive等）工作经验优先；

5、 思路清晰，善于思考，有很强的数据分析能力，能独立分析问题并推动解决问题；

6、 每周可以实习5天以上，连续实习3个月以上。

招聘人数：1人",SQL Java Python Scala C++ 分布式 Hadoop Hive 数据分析,https://www.liepin.com/lptjob/68105985
助理数据开发工程师,厦门金圆投资集团有限公司,6-8k·14薪,厦门-思明区,厦门,硕士,应届,5月14日更新,liepin,"1.岗位职责：
（1）参与集团数据仓库、数据集市的设计与开发，完成数据提取、清洗、转换、加载（ETL）等基础开发工作，支撑集团经营分析、全面风控、业务协同等应用系统数据需求。  
（2）协助编写数据开发相关文档，包括需求说明书、设计文档、操作手册等；参与数据标准、数据治理规则的落地执行。
（3）协助维护数据管道的稳定运行，监控数据质量，及时排查并修复数据异常；参与现有数据模型的优化，提升数据处理效率。  
2.任职资格：
（1）学历要求：研究生及以上学历；
（2）专业要求：计算机科学与技术、软件工程、统计学、数学等相关专业；
（3）工作经历：不限；
（4）岗位要求：
熟练掌握SQL语言，熟悉MySQL、Oracle等关系型数据库的使用与优化；了解Hive、Impala等大数据查询工具者优先。
了解ETL开发流程，熟悉至少一种ETL工具（如DataX、Informatica、Kettle）或数据集成框架。
熟悉Python/Shell/Scala等至少一种脚本语言，能独立完成简单的数据处理脚本开发。
了解数据仓库建模理论（如维度建模），有数据仓库项目参与经验者优先。
了解Hadoop、Spark等大数据平台组件，熟悉Linux系统基本操作者优先。

截止日期：2026年12月31日
招聘人数：1人",SQL MySQL Oracle Hive DataX Python Shell Scala Hadoop Spark Linux 数据治理,https://www.liepin.com/lptjob/81791657
校招-数据开发-实习转正(A57622),元气森林,180-250元/天,北京-朝阳区,北京,本科,,90天前更新,liepin,"职位描述：
负责公司快消品企业场景的数据仓库开发工作，研究使用大数据和AI技术的落地和改进方案，对公司的数据分析和业务决策提供可靠的数据支持，主要工作方向包括： 
1. 数据模型设计与开发：数据模型的设计、开发和维护工作，构建稳定可靠的数据模型。 
2. ETL优化：编写和优化ETL（Extract, Transform, Load）脚本，确保数据的高效传输与精准处理。 系统优化与维护：持续优化数据仓库系统，确保其高性能和可扩展性，支持公司业务的快速扩展。 跨部门协作：与数据分析师、数据科学家和业务团队紧密合作，深入理解数据需求，提供高质量的数据支持。 
3. 大数据与AI开发：参与大数据和AI技术的开发与应用，推动公司在智能化方向的技术突破。 
4. 问题解决：快速识别和解决数据相关问题，确保数据的完整性和一致性。

职位要求：
我们希望你具备以下条件： 
1. 计算机科学、软件工程、信息管理、大数据技术等相关专业 
2. 熟悉数据仓库概念和架构，了解数据建模、数据集成和数据管理的基本原理 
3. 掌握至少一种编程语言（如Python、Java、Javascript(Typescript)等） 
4. 熟悉SQL，能够编写高效的查询语句 
5. 具有较强的逻辑思维能力和解决问题的能力 
- 岗位亮点： 可以接触大数据最新技术的研究与落地（湖仓一体，流批一体，大数据+AI等)

招聘人数：1人",Python Java JavaScript TypeScript SQL 数据分析 跨部门协作,https://www.liepin.com/lptjob/73582217
数据库开发工程师(留学生优先),湖南爵纪网络科技有限公司,10-18k,上海-浦东新区,上海,本科,应届,7月29日更新,liepin,"岗位职责
1、负责业务系统数据库设计、开发、优化与维护，参与需求评审、表结构设计、字段规范制定，搭建稳定、高效、可扩展的数据存储架构。
2、负责SQL编写、存储过程、函数、视图、脚本开发，完成业务数据查询、统计、清洗、落地，保障数据准确性、一致性与完整性。
3、针对慢SQL、索引冗余、语句低效等问题进行数据库性能调优，优化查询效率、降低数据库压力，提升系统响应速度与并发能力。
4、负责数据库日常运维、备份恢复、容灾管理、权限管理、日志监控，及时处理数据库异常、死锁、数据报错等问题，保障系统7*24小时稳定运行。
5、参与数据接口、数据同步、数据仓库、数据中台相关开发工作，配合后端、产品、测试完成业务迭代、数据统计、报表开发、数据分析支撑。
6、梳理数据库规范、开发文档、运维手册，沉淀技术方案，推动团队数据库标准化、规范化建设。
7、配合项目上线、版本迭代、压力测试，完成数据库迁移、升级、扩容等技术支撑工作。
任职要求
1、本科及以上学历，计算机、软件工程、数据科学、信息技术等相关专业，海外留学生、硕士优先，优秀应届生可培养。
2、熟练掌握 MySQL、Oracle 等主流数据库，精通 SQL 语句优化、索引原理、事务机制、锁机制、数据库调优。
3、熟悉数据库架构、分库分表、读写分离、主从复制、数据备份与容灾方案，具备实际项目开发优化经验。
4、了解基础后端开发逻辑、数据流转逻辑，熟悉 Linux 基础命令者优先。
5、具备良好的数据敏感度、逻辑思维能力，善于排查问题、定位bug、解决性能瓶颈。
6、工作严谨负责、执行力强、具备团队协作能力，愿意持续学习新技术、新架构。
加分项（非硬性）
1、熟悉 Redis、MongoDB 等非关系型数据库；
2、了解数据仓库、ETL、大数据基础架构；
3、有系统开发、数据平台、信息化项目实习/项目经验；
4、英语读写能力良好，可阅读英文技术文档（留学生优势匹配）。
岗位优势
1、技术核心岗，深入底层数据架构与性能优化，技术壁垒高、成长性强；
2、留学生背景优先适配，尊重海外技术视野与学习能力，无严格内卷经验限制；
3、岗位稳定、刚需性强，适配互联网、政企、数字化、信息化各类赛道，职业发展路径清晰。


截止日期：2027年07月29日
招聘人数：1人",SQL MySQL Oracle Linux Redis MongoDB 数据分析 技术方案 技术文档,https://www.liepin.com/lptjob/84487707
数据开发-高潜实习（J15305）,慧策|旺店通(掌上先机),300-500元/天,北京-海淀区,北京,本科,,5月18日更新,liepin,"【公司亮点】
1、业务定位：专注ToB业务，以云计算SaaS模式，提供电商ERP、WMS等一体化智能零售解决方案，助力零售企业数字化升级、提升运营效率。
2、规模布局：2011年成立，现有员工约3000人，设立130+服务网点、覆盖400+城市及海外市场；对接400+主流平台，累计融资超4.52亿美元，创下国内SaaS行业单笔融资纪录。
3、行业实力：累计服务超70万家电商企业，含80+世界500强、500+上市公司；日处理订单1.38亿单以上，市场份额庞大，连续5年登胡润全球独角兽榜单，斩获多项行业荣誉。

【岗位亮点】
1、技术实战：直面日处理1.38亿单、支撑1/3线上交易履约的高并发分布式场景，有机会参与核心技术方案设计，攻坚订单处理等难点，快速沉淀企业级大规模场景实战能力。
2、学习成长：搭建系统化学习体系，覆盖多类职场技能；配备专属导师 1V1 带教，定制阶梯式学习计划，搭配高潜培养与开放交流环境，助力快速成长、学用落地。
3、发展空间：晋升标准清晰量化，每年2次高频晋升窗口，提供专业与管理双发展路径；支持跨部门转岗与轮岗，校招新人平均1–1.5年即可获得晋升，发展灵活透明。
4、福利保障：除基本福利外，为符合条件人才提供北京落户支持；设有长期价值激励与高潜破格晋升机制，让付出与回报同频，个人与公司共成长。

【岗位职责】
1、参与公司电商 ERP、业财一体化、供应链平台的数据体系建设，负责数据模型设计、ETL 开发与数据流程优化；
2、基于海量业务数据，构建稳定高效的数据仓库、实时数据链路与数据服务，支撑经营分析、智能决策、业务监控；
3、面对高并发、大数据量、低延迟要求，优化数据处理效率，保障数据准确性与稳定性；
4、与业务、产品、后端研发协同，理解业务痛点，用数据驱动产品迭代与业务增长；
5、参与数据平台工具建设与技术沉淀，推动数据治理、指标体系规范化。
任职资格
1、本科及以上学历，计算机、软件工程、大数据、统计等相关专业，校招/实习均有hc；
2、掌握至少一种数据库（MySQL/Oracle），了解 SQL 编写与优化；
3、了解数据仓库、ETL、数据建模基本概念，有相关课程设计 / 项目优先；
4、熟悉 Python/Java/Scala 任意一种开发语言即可；
5、对数据敏感、逻辑清晰，喜欢在复杂业务中挖掘价值；
6、积极主动、责任心强，愿意长期深耕电商 To B 领域。

截止日期：2027年05月18日
招聘人数：10人",高并发 分布式 MySQL Oracle SQL Python Java Scala 技术方案 供应链 流程优化 产品迭代,https://www.liepin.com/lptjob/82636141
数据开发-高潜实习（J15305）,慧策|旺店通(掌上先机),300-500元/天,北京-海淀区,北京,本科,,7月15日更新,liepin,"职责描述：
【公司亮点】
1、业务定位：专注ToB业务，以云计算SaaS模式，提供电商ERP、WMS等一体化智能零售解决方案，助力零售企业数字化升级、提升运营效率。
2、规模布局：2011年成立，现有员工约3000人，设立130+服务网点、覆盖400+城市及海外市场；对接400+主流平台，累计融资超4.52亿美元，创下国内SaaS行业单笔融资纪录。
3、行业实力：累计服务超70万家电商企业，含80+世界500强、500+上市公司；日处理订单1.38亿单以上，市场份额庞大，连续5年登胡润全球独角兽榜单，斩获多项行业荣誉。

【岗位亮点】
1、技术实战：直面日处理1.38亿单、支撑1/3线上交易履约的高并发分布式场景，有机会参与核心技术方案设计，攻坚订单处理等难点，快速沉淀企业级大规模场景实战能力。
2、学习成长：搭建系统化学习体系，覆盖多类职场技能；配备专属导师 1V1 带教，定制阶梯式学习计划，搭配高潜培养与开放交流环境，助力快速成长、学用落地。
3、发展空间：晋升标准清晰量化，每年2次高频晋升窗口，提供专业与管理双发展路径；支持跨部门转岗与轮岗，校招新人平均1–1.5年即可获得晋升，发展灵活透明。
4、福利保障：除基本福利外，为符合条件人才提供北京落户支持；设有长期价值激励与高潜破格晋升机制，让付出与回报同频，个人与公司共成长。

【岗位职责】
1、参与公司电商 ERP、业财一体化、供应链平台的数据体系建设，负责数据模型设计、ETL 开发与数据流程优化；
2、基于海量业务数据，构建稳定高效的数据仓库、实时数据链路与数据服务，支撑经营分析、智能决策、业务监控；
3、面对高并发、大数据量、低延迟要求，优化数据处理效率，保障数据准确性与稳定性；
4、与业务、产品、后端研发协同，理解业务痛点，用数据驱动产品迭代与业务增长；
5、参与数据平台工具建设与技术沉淀，推动数据治理、指标体系规范化。
任职要求：
1、本科及以上学历，计算机、软件工程、大数据、统计等相关专业，校招/实习均有hc；
2、掌握至少一种数据库（MySQL/Oracle），了解 SQL 编写与优化；
3、了解数据仓库、ETL、数据建模基本概念，有相关课程设计 / 项目优先；
4、熟悉 Python/Java/Scala 任意一种开发语言即可；
5、对数据敏感、逻辑清晰，喜欢在复杂业务中挖掘价值；
6、积极主动、责任心强，愿意长期深耕电商 To B 领域。

截止日期：2027年05月18日
招聘人数：1人",高并发 分布式 MySQL Oracle SQL Python Java Scala 技术方案 供应链 流程优化 产品迭代,https://www.liepin.com/lptjob/82630741
